Entity,Year,Number of Internet Users by Country (World Bank (2015))
Faeroe Islands,2010,37284.912
Faeroe Islands,2011,37262.352
Faeroe Islands,2012,39951.342
Faeroe Islands,2013,42197.057
Fiji,1996,784.647
Fiji,1997,1586.196
Fiji,1998,4803.696
Fiji,1999,7261.713
Fiji,2000,12174.705
Fiji,2001,15479.3
Fiji,2002,50606.694
Fiji,2003,54754.008
Fiji,2004,60605.63
Fiji,2005,69911.14
Fiji,2006,79493.76
Fiji,2007,91057.728
Fiji,2008,109700.63
Fiji,2009,144921.43
Fiji,2010,172111.8
Fiji,2011,173584.2
Fiji,2012,244927.76
Fiji,2013,296918.905
Finland,1990,19945.724
Finland,1991,70192.36
Finland,1993,131727.622
Finland,1994,249328.317
Finland,1995,709982.81
Finland,1996,860928.264
Finland,1997,1002267.825
Finland,1998,1314141.99
Finland,1999,1668448.102
Finland,2000,1925549.748
Finland,2001,2236031.448
Finland,2002,3245173.152
Finland,2003,3607405.688
Finland,2004,3785196.528
Finland,2005,3908341.52
Finland,2006,4197215.596
Finland,2007,4273285.76
Finland,2008,4447314.963
Finland,2009,4404568.575
Finland,2010,4660752.888
Finland,2011,4682408.368
Finland,2012,4802192.277
Finland,2013,4889635.828
France,1990,58409.202
France,1991,58557.072
France,1993,354630.438
France,1994,533932.137
France,1995,952651.376
France,1996,1553552.52
France,1997,2578443.056
France,1998,3791666.214
France,1999,5505087.77
France,2000,8710281.151
France,2001,16136555.68
France,2002,18664575.16
France,2003,22469533.11
France,2004,24579231.43
France,2005,27102609.53
France,2006,29836830.28
France,2007,42312310.09
France,2008,45510366.99
France,2009,46327291.44
France,2010,50262888.77
France,2011,50506389.18
France,2012,51064093.8
France,2013,53659125.83
French Polynesia,1996,219.282
French Polynesia,1997,447.468
French Polynesia,1998,2968.94
French Polynesia,1999,7920.504
French Polynesia,2000,15185.088
French Polynesia,2001,15200.388
French Polynesia,2002,20092.624
French Polynesia,2003,35043.576
French Polynesia,2004,45074.169
French Polynesia,2005,54800.06
French Polynesia,2006,64690.481
French Polynesia,2007,74463.246
French Polynesia,2008,89115.303
French Polynesia,2009,118373.752
French Polynesia,2010,131351.85
French Polynesia,2011,132728.26
French Polynesia,2012,134168.86
French Polynesia,2013,146443.599
Gabon,1998,2333.05
Gabon,1999,2391.838
Gabon,2000,14706.324
Gabon,2001,16318.887
Gabon,2002,24421.042
Gabon,2003,35527.14
Gabon,2004,40413.75
Gabon,2005,67593.785
Gabon,2006,77709.885
Gabon,2007,83948.504
Gabon,2008,91936.266
Gabon,2009,101783.385
Gabon,2010,112047.984
Gabon,2011,114770.448
Gabon,2012,130605.76
Gabon,2013,143767.146
Gambia,1997,1126.986
Gambia,1998,2318.542
Gambia,1999,8352.001
Gambia,2000,11059.767
Gambia,2001,16466.983
Gambia,2002,23520.006
Gambia,2003,32365.152
Gambia,2004,45933.822
Gambia,2005,54588.862
Gambia,2006,77080.848
Gambia,2007,94823.172
Gambia,2008,108880.896
Gambia,2009,123753.232
Gambia,2010,154618.88
Gambia,2011,159616.872
Gambia,2012,195243.525
Gambia,2013,229311.34
Georgia,1997,4531.6
Georgia,1998,4487.3
Georgia,1999,17810
Georgia,2000,22091.5
Georgia,2001,43864
Georgia,2002,69712
Georgia,2003,112551.4
Georgia,2004,168413.7
Georgia,2005,266045.4
Georgia,2006,329850
Georgia,2007,364237.2
Georgia,2008,438380
Georgia,2009,886590.9
Georgia,2010,1197803.2
Georgia,2011,1206021.15
Georgia,2012,1414570.5
Georgia,2013,1655776.8
Germany,1990,79433.029
Germany,1991,240041.688
Germany,1993,405781.815
Germany,1994,732945.132
Germany,1995,1470204.918
Germany,1996,2539359.761
Germany,1997,5496329.657
Germany,1998,8122672.305
Germany,1999,17076850.54
Germany,2000,24827875.42
Germany,2001,26104926.23
Germany,2002,40254385.56
Germany,2003,46136604.38
Germany,2004,53388020.22
Germany,2005,56656492.91
Germany,2006,59475797.62
Germany,2007,61864311.74
Germany,2008,64045875.66
Germany,2009,64702822.53
Germany,2010,67057082.6
Germany,2011,67074091.86
Germany,2012,65386194.1
Germany,2013,66371332.92
Ghana,1999,18384.302
Ghana,2000,37650.068
Ghana,2001,38586.784
Ghana,2002,158290.456
Ghana,2003,243620.232
Ghana,2004,354203.738
Ghana,2005,384912.612
Ghana,2006,592590.033
Ghana,2007,878500.701
Ghana,2008,993735.977
Ghana,2009,1279342.782
Ghana,2010,1892506.278
Ghana,2011,1936015.068
Ghana,2012,3576671.142
Ghana,2013,3186265.554
Greece,1993,20931.056
Greece,1994,42212.14
Greece,1995,74440.695
Greece,1996,149928.422
Greece,1997,193977.072
Greece,1998,346716.16
Greece,1999,750898.02
Greece,2000,993490.862
Greece,2001,1193742.276
Greece,2002,1614607.281
Greece,2003,1961261.672
Greece,2004,2365926.006
Greece,2005,2662299.12
Greece,2006,3594326.881
Greece,2007,4007517.718
Greece,2008,4273219.698
Greece,2009,4743324.04
Greece,2010,4952133.576
Greece,2011,4938706.572
Greece,2012,5723869.836
Greece,2013,6076179.499
Greenland,1995,55.8
Greenland,1996,1006.2
Greenland,1997,4480
Greenland,1998,8246.7
Greenland,1999,12117.6
Greenland,2000,17815.4
Greenland,2001,20004.25
Greenland,2002,25021.178
Greenland,2003,30936.925
Greenland,2004,31927.071
Greenland,2005,32851.495
Greenland,2006,33723.756
Greenland,2007,34555.105
Greenland,2008,35373.984
Greenland,2009,35370.844
Greenland,2010,35850.15
Greenland,2011,35840.7
Greenland,2012,36358.4
Greenland,2013,36657.467
Grenada,1996,302.388
Grenada,1997,1011.25
Grenada,1998,1519.53
Grenada,1999,2536.025
Grenada,2000,4166.42
Grenada,2001,5194.299
Grenada,2002,15110.652
Grenada,2003,19040.634
Grenada,2004,20120.38
Grenada,2005,21104.955
Grenada,2006,22097.64
Grenada,2007,23099.678
Grenada,2008,24112.224
Grenada,2009,25135.336
Grenada,2010,28262.79
Grenada,2011,28369.98
Grenada,2012,31644.9
Grenada,2013,33887.04
Guam,1994,428.418
Guam,1995,1018.934
Guam,1996,2072.84
Guam,1997,3457.038
Guam,1998,6852.375
Guam,1999,13085.835
Guam,2000,25007.808
Guam,2001,39729.918
Guam,2002,49059.192
Guam,2003,53186.351
Guam,2004,57266.228
Guam,2005,61142.786
Guam,2006,69550.331
Guam,2007,73148.922
Guam,2008,76622.04
Guam,2009,80262.226
Guam,2010,86097.6
Guam,2011,86863.32
Guam,2012,93941.37
Guam,2013,101551.26
Guatemala,1997,10449.636
Guatemala,1998,53455.45
Guatemala,1999,65651.478
Guatemala,2000,78429.281
Guatemala,2001,195142.728
Guatemala,2002,400035.092
Guatemala,2003,542827.575
Guatemala,2004,630757.8
Guatemala,2005,722698.383
Guatemala,2006,844699.31
Guatemala,2007,972208.963
Guatemala,2008,1132809.481
Guatemala,2009,1300975.884
Guatemala,2010,1505865.48
Guatemala,2011,1544190.69
Guatemala,2012,1855188.213
Guatemala,2013,2474912.48
Guinea,1999,8600.911
Guinea,2000,8746.128
Guinea,2001,17790.706
Guinea,2002,36182.992
Guinea,2003,46022.905
Guinea,2004,46898.105
Guinea,2005,47881.655
Guinea,2006,58793.778
Guinea,2007,80375.736
Guinea,2008,92832.102
Guinea,2009,95339.232
Guinea,2010,108760.33
Guinea,2011,111615.3
Guinea,2012,148866.549
Guinea,2013,176177.835
Guinea-Bissau,1999,1245.53
Guinea-Bissau,2000,2546.624
Guinea-Bissau,2001,3905.244
Guinea-Bissau,2002,13308.49
Guinea-Bissau,2003,19047.826
Guinea-Bissau,2004,25034.238
Guinea-Bissau,2005,27008.785
Guinea-Bissau,2006,30505.839
Guinea-Bissau,2007,32655.414
Guinea-Bissau,2008,36406.08
Guinea-Bissau,2009,35670.815
Guinea-Bissau,2010,39665.6
Guinea-Bissau,2011,40605.7
Guinea-Bissau,2012,44916.066
Guinea-Bissau,2013,49423.395
Guyana,1996,730.865
Guyana,1997,734.059
Guyana,1998,2212.578
Guyana,1999,29641.84
Guyana,2000,49135.086
Guyana,2001,98690.724
Guyana,2007,106316.166
Guyana,2008,141184.498
Guyana,2009,186672.145
Guyana,2010,235051.674
Guyana,2011,236473.718
Guyana,2012,246564.39
Guyana,2013,263872.29
Haiti,1999,8433.339
Haiti,2000,17156.468
Haiti,2001,26160.741
Haiti,2002,79736.715
Haiti,2003,143939.664
Haiti,2004,493016.382
Haiti,2005,592696.256
Haiti,2006,638427.656
Haiti,2007,684987.408
Haiti,2008,732507.38
Haiti,2009,790977.393
Haiti,2010,831297.6
Haiti,2011,842760.576
Haiti,2012,915639.75
Haiti,2013,1011111.178
Honduras,1997,11705.438
Honduras,1998,17940.456
Honduras,1999,36644.31
Honduras,2000,74826.732
Honduras,2001,89110.56
Honduras,2002,168890.826
Honduras,2003,318152.208
Honduras,2004,378695.856
Honduras,2005,448423.625
Honduras,2006,548919.384
Honduras,2007,674772.984
Honduras,2008,702947.328
Honduras,2009,732044.712
Honduras,2010,845953.644
Honduras,2011,863210.259
Honduras,2012,1261799.514
Honduras,2013,1465681.528
Hong Kong,1991,5752
Hong Kong,1993,76713
Hong Kong,1994,168991.2
Hong Kong,1995,196995.2
Hong Kong,1996,302468.5
Hong Kong,1997,681376.5
Hong Kong,1998,948836.5
Hong Kong,1999,1400578
Hong Kong,2000,1852870
Hong Kong,2001,2598434.1
Hong Kong,2002,2906707.1
Hong Kong,2003,3513477.6
Hong Kong,2004,3825894
Hong Kong,2005,3876710.8
Hong Kong,2006,4169116.8
Hong Kong,2007,4481762.4
Hong Kong,2008,4640852.6
Hong Kong,2009,4839123.2
Hong Kong,2010,5057424
Hong Kong,2011,5091552
Hong Kong,2012,5165621.2
Hong Kong,2013,5239687.5
Hungary,1993,20715.046
Hungary,1994,51716.775
Hungary,1995,72302.755
Hungary,1996,103112.38
Hungary,1997,195519.234
Hungary,1998,400396.23
Hungary,1999,604014.27
Hungary,2000,714767.97
Hungary,2001,1477198.52
Hungary,2002,1696487.536
Hungary,2003,2187983.232
Hungary,2004,2799679.442
Hungary,2005,3933955.35
Hungary,2006,4743615.27
Hungary,2007,5359730.74
Hungary,2008,6123294.68
Hungary,2009,6214043
Hungary,2010,6500014.95
Hungary,2011,6481622.55
Hungary,2012,6745846.16
Hungary,2013,6984515.892
Iceland,1991,1288.985
Iceland,1993,7120.575
Iceland,1994,18089.428
Iceland,1995,29956.416
Iceland,1996,39799.568
Iceland,1997,74560.2
Iceland,1998,99479.061
Iceland,1999,114558.353
Iceland,2000,125136.225
Iceland,2001,140774.192
Iceland,2002,227430.693
Iceland,2003,240591.951
Iceland,2004,245050.086
Iceland,2005,258158.58
Iceland,2006,271884.89
Iceland,2007,282278.796
Iceland,2008,288846.74
Iceland,2009,296204.07
Iceland,2010,297050.294
Iceland,2011,297959.076
Iceland,2012,304038.768
Iceland,2013,311460.968
India,1997,990460.131
India,1998,1007746.556
India,1999,3075044.133
India,2000,5211308.79
India,2001,7416506.216
India,2002,16150585.85
India,2003,18594374.95
India,2004,22212522.16
India,2005,27051445.15
India,2006,32012101.8
India,2007,46363810
India,2008,51685142.7
India,2009,60697041.52
India,2010,90421848.6
India,2011,91586723.93
India,2012,124905359.9
India,2013,157769589.1
Indonesia,1996,197097.887
Indonesia,1997,400100.888
Indonesia,1998,608972.766
Indonesia,1999,823787.324
Indonesia,2000,1880448.282
Indonesia,2001,4239407.42
Indonesia,2002,4515803.985
Indonesia,2003,5235494.808
Indonesia,2004,5753638.722
Indonesia,2005,8081312.436
Indonesia,2006,10930071.41
Indonesia,2007,13396422.86
Indonesia,2008,18505235.63
Indonesia,2009,16386595.69
Indonesia,2010,26233736.87
Indonesia,2011,26574378.65
Indonesia,2012,27401925.2
Indonesia,2013,36730247.76
Iran,1998,63713.397
Iran,1999,259435.016
Iran,2000,593199.468
Iran,2001,1002864.36
Iran,2002,3115454.604
Iran,2003,4729478.799
Iran,2004,5200659.45
Iran,2005,5682343.104
Iran,2006,6245939.392
Iran,2007,6821875.805
Iran,2008,7411410.474
Iran,2009,8163267.894
Iran,2010,10945960.16
Iran,2011,11087369.9
Iran,2012,16049133.03
Iran,2013,21297971.2
Iraq,2001,24516.842
Iraq,2002,126191.335
Iraq,2003,155757.186
Iraq,2004,240061.824
Iraq,2005,246393.405
Iraq,2006,280640.95
Iraq,2007,258665.67
Iraq,2008,294298.29
Iraq,2009,331795.189
Iraq,2010,774059.5
Iraq,2011,794000.5
Iraq,2012,1628910.45
Iraq,2013,2372640.796
Ireland,1991,3534.235
Ireland,1993,10728.783
Ireland,1994,21542.316
Ireland,1995,39697.251
Ireland,1996,80025.22
Ireland,1997,150641.011
Ireland,1998,300728.376
Ireland,1999,409271.674
Ireland,2000,681126.146
Ireland,2001,893102.133
Ireland,2002,1018374.273
Ireland,2003,1370806.703
Ireland,2004,1505996.94
Ireland,2005,1730524.224
Ireland,2006,2341927.868
Ireland,2007,2692152.504
Ireland,2008,2931672.232
Ireland,2009,3056842.75
Ireland,2010,3187548.345
Ireland,2011,3199179.006
Ireland,2012,3435585.853
Ireland,2013,3536088.086
Israel,1990,4660
Israel,1991,9898
Israel,1993,21044
Israel,1994,32394
Israel,1995,49905
Israel,1996,125224
Israel,1997,256784
Israel,1998,615013
Israel,1999,820750
Israel,2000,1314401
Israel,2001,1120386
Israel,2002,1169460
Israel,2003,1311181.2
Israel,2004,1552452
Israel,2005,1746385.2
Israel,2006,1967982.3
Israel,2007,3453628.1
Israel,2008,4341427.2
Israel,2009,4723413.6
Israel,2010,5145930
Israel,2011,5241915
Israel,2012,5450334.5
Israel,2013,5706126
Italy,1993,56831.821
Italy,1994,113686.8
Italy,1995,284221.515
Italy,1996,568602.81
Italy,1997,1308478.556
Italy,1998,2617710.224
Italy,1999,8195949.648
Italy,2000,13153626.95
Italy,2001,15496955.2
Italy,2002,15976521.96
Italy,2003,16620828.87
Italy,2004,19151528.56
Italy,2005,20289319.4
Italy,2006,22094712.02
Italy,2007,23842830.48
Italy,2008,26177895.3
Italy,2009,28838538.12
Italy,2010,31831972.93
Italy,2011,31886764.11
Italy,2012,32389606.05
Italy,2013,33610542.98
Jamaica,1995,2480
Jamaica,1996,15059.538
Jamaica,1997,20272.552
Jamaica,1998,51135.6
Jamaica,1999,61782.936
Jamaica,2000,80271.059
Jamaica,2001,101616.684
Jamaica,2002,159530.433
Jamaica,2003,204726.21
Jamaica,2004,263414.5
Jamaica,2005,338380.928
Jamaica,2006,435098.888
Jamaica,2007,561783.491
Jamaica,2008,630576.424
Jamaica,2009,651576.798
Jamaica,2010,745358.248
Jamaica,2011,747855.126
Jamaica,2012,1012719.07
Jamaica,2013,917580.092
Japan,1993,498144
Japan,1994,999688
Japan,1995,2007024
Japan,1996,5533308
Japan,1997,11597244
Japan,1998,16937600
Japan,1999,27099034
Japan,2000,38052900
Japan,2001,48952365
Japan,2002,59389370
Japan,2003,61815512
Japan,2004,79722864
Japan,2005,85480137
Japan,2006,87835698
Japan,2007,95104743
Japan,2008,96559502
Japan,2009,99876660
Japan,2010,100150740
Japan,2011,99953110.61
Japan,2012,100901137.8
Japan,2013,109893229.9
Jordan,1997,26664
Jordan,1998,59332
Jordan,1999,117000
Jordan,2000,124722
Jordan,2001,231099
Jordan,2002,302280
Jordan,2003,438940
Jordan,2004,618930
Jordan,2005,698019
Jordan,2006,769504
Jordan,2007,1132200
Jordan,2008,1330780
Jordan,2009,1537900
Jordan,2010,1644512
Jordan,2011,1681232
Jordan,2012,2204982
Jordan,2013,2648600
Kazakhstan,1997,15333.703
Kazakhstan,1998,15071.3
Kazakhstan,1999,74642.13
Kazakhstan,2000,104185.382
Kazakhstan,2001,148583.35
Kazakhstan,2002,252602.116
Kazakhstan,2003,298180.36
Kazakhstan,2004,405350.595
Kazakhstan,2005,454410.87
Kazakhstan,2006,505166.772
Kazakhstan,2007,619367.68
Kazakhstan,2008,1724140
Kazakhstan,2009,2928871.582
Kazakhstan,2010,5157619.596
Kazakhstan,2011,5231885.6
Kazakhstan,2012,8496461.05
Kazakhstan,2013,9079801.575
Kenya,1998,29702.246
Kenya,1999,30478.597
Kenya,2000,93855.15
Kenya,2001,192758.106
Kenya,2002,396006.288
Kenya,2003,983245.319
Kenya,2004,1045038.18
Kenya,2005,1109357.258
Kenya,2006,2756812.35
Kenya,2007,3020184.32
Kenya,2008,3373275.099
Kenya,2009,3982473.4
Kenya,2010,5727287.16
Kenya,2011,5883904.74
Kenya,2012,12089879.48
Kenya,2013,14237534.81
Kiribati,1998,480.108
Kiribati,1999,976.524
Kiribati,2000,1490.184
Kiribati,2001,1938.003
Kiribati,2002,2144.975
Kiribati,2003,2621.13
Kiribati,2004,3112.76
Kiribati,2005,3618.72
Kiribati,2006,4137.885
Kiribati,2007,5604.06
Kiribati,2008,6638.24
Kiribati,2009,8664.48
Kiribati,2010,8894.613
Kiribati,2011,9031.75
Kiribati,2012,10078.6
Kiribati,2013,10951.557
Kuwait,1995,3172.246
Kuwait,1996,14267.196
Kuwait,1997,35991.978
Kuwait,1998,53388.448
Kuwait,1999,87283.44
Kuwait,2000,127717.477
Kuwait,2001,170331.944
Kuwait,2002,208919.664
Kuwait,2003,474063.072
Kuwait,2004,502990.714
Kuwait,2005,594745.326
Kuwait,2006,696224.16
Kuwait,2007,889112.16
Kuwait,2008,1134932.82
Kuwait,2009,1447851.816
Kuwait,2010,1836830.12
Kuwait,2011,1918568.87
Kuwait,2012,2138826.368
Kuwait,2013,2374843.26
Latvia,1996,19657.776
Latvia,1997,51089.871
Latvia,1998,79530.627
Latvia,1999,105181.208
Latvia,2000,149155.65
Latvia,2001,168276.24
Latvia,2002,505927.887
Latvia,2003,617747.85
Latvia,2004,873565.092
Latvia,2005,1029847.54
Latvia,2006,1189039.352
Latvia,2007,1302592.4
Latvia,2008,1380422.148
Latvia,2009,1430634.892
Latvia,2010,1434727.62
Latvia,2011,1408840.956
Latvia,2012,1417920.343
Latvia,2013,1471244.957
Lebanon,1995,3033.406
Lebanon,1996,3070.984
Lebanon,1997,37112.616
Lebanon,1998,84078.378
Lebanon,1999,170462.124
Lebanon,2000,258830.4
Lebanon,2001,228316.8
Lebanon,2002,246092.28
Lebanon,2003,295208.8
Lebanon,2004,346822.38
Lebanon,2005,402673.365
Lebanon,2006,611973.45
Lebanon,2007,774145.031
Lebanon,2008,941869.8
Lebanon,2009,1278324.124
Lebanon,2010,1897057.204
Lebanon,2011,1915279.23
Lebanon,2012,2300941.76
Lebanon,2013,2734042.68
Lesotho,1999,1839.611
Lesotho,2000,3712.45
Lesotho,2001,5614.5
Lesotho,2002,20740.357
Lesotho,2003,28481.355
Lesotho,2004,42064.484
Lesotho,2005,50071.944
Lesotho,2006,58212.39
Lesotho,2007,66496.656
Lesotho,2008,70999.164
Lesotho,2009,73625.301
Lesotho,2010,78347.919
Lesotho,2011,79151.124
Lesotho,2012,86164.89
Lesotho,2013,95425.39
Liberia,2007,21133.764
Liberia,2008,18363.57
Liberia,2009,19107.2
Liberia,2010,91033.77
Liberia,2011,93833.031
Liberia,2012,125713.05
Liberia,2013,163174.926
Libya,1999,5092.939
Libya,2000,10352.37
Libya,2001,21034.708
Libya,2002,117488.558
Libya,2003,151833.136
Libya,2004,192745
Libya,2005,218183.55
Libya,2006,244518.425
Libya,2007,271759.076
Libya,2008,528912.45
Libya,2009,644147.1
Libya,2010,845685.68
Libya,2011,854452.62
Libya,2012,861647.22
Liechtenstein,2000,12078.945
Liechtenstein,2001,15097.225
Liechtenstein,2002,20123.495
Liechtenstein,2003,20074.908
Liechtenstein,2004,22044.8
Liechtenstein,2005,22025.16
Liechtenstein,2006,22487.976
Liechtenstein,2007,22985.508
Liechtenstein,2008,24907.4
Liechtenstein,2009,26888.25
Liechtenstein,2010,28896
Liechtenstein,2011,29110.4
Liechtenstein,2012,31157.6
Liechtenstein,2013,33010.95
Lithuania,1996,10804.839
Lithuania,1997,35751.37
Lithuania,1998,70986.62
Lithuania,1999,102202.902
Lithuania,2000,223970.304
Lithuania,2001,249898.896
Lithuania,2002,609422.859
Lithuania,2003,884540.167
Lithuania,2004,1053647.4
Lithuania,2005,1202755.136
Lithuania,2006,1435490.051
Lithuania,2007,1612415.706
Lithuania,2008,1765423.512
Lithuania,2009,1891423.768
Lithuania,2010,1923412.122
Lithuania,2011,1880459.415
Lithuania,2012,1900223.628
Lithuania,2013,1987567.008
Luxembourg,1993,1192.425
Luxembourg,1994,2014.625
Luxembourg,1995,6538
Luxembourg,1996,23196.6
Luxembourg,1997,29780.95
Luxembourg,1998,49689.9
Luxembourg,1999,74902.65
Luxembourg,2000,99912.7
Luxembourg,2001,159832.05
Luxembourg,2002,177577.65
Luxembourg,2003,246589.98
Luxembourg,2004,301884.605
Luxembourg,2005,325610.6
Luxembourg,2006,342661.825
Luxembourg,2007,378714.477
Luxembourg,2008,401670.3
Luxembourg,2009,434564.559
Luxembourg,2010,459299.418
Luxembourg,2011,469622.382
Luxembourg,2012,477851.4
Luxembourg,2013,499347.84
Macao,1995,1195.377
Macao,1996,2836.617
Macao,1997,9888.744
Macao,1998,29316.7
Macao,1999,39141.216
Macao,2000,58739.352
Macao,2001,98568
Macao,2002,111925.8
Macao,2003,115832.727
Macao,2004,144440.73
Macao,2005,163384.001
Macao,2006,222630.912
Macao,2007,233286.438
Macao,2008,249703.776
Macao,2009,281673.18
Macao,2010,295113.552
Macao,2011,301545.456
Macao,2012,335183.366
Macao,2013,347187.875
Macedonia,1996,1975.207
Macedonia,1997,9958.435
Macedonia,1998,20131.17
Macedonia,1999,30517.305
Macedonia,2000,51303.225
Macedonia,2001,72278.43
Macedonia,2002,358878.293
Macedonia,2003,397445.406
Macedonia,2004,508917.632
Macedonia,2005,553861.66
Macedonia,2006,598827.086
Macedonia,2007,761073.06
Macedonia,2008,965433.74
Macedonia,2009,1088089.044
Macedonia,2010,1091050.104
Macedonia,2011,1091918.91
Macedonia,2012,1193861.025
Macedonia,2013,1209508.692
Madagascar,1998,14790.245
Madagascar,1999,30525.634
Madagascar,2000,31489.622
Madagascar,2001,32471.534
Madagascar,2002,50208.087
Madagascar,2003,68981.1
Madagascar,2004,88816.835
Madagascar,2005,109742.364
Madagascar,2006,112956.756
Madagascar,2007,135597.161
Madagascar,2008,338755.345
Madagascar,2009,327931.12
Madagascar,2010,358352.044
Madagascar,2011,368541.878
Madagascar,2012,423584.366
Madagascar,2013,481421.871
Malawi,1999,11012.707
Malawi,2000,11321.496
Malawi,2001,23246.332
Malawi,2002,23853.556
Malawi,2003,36716.217
Malawi,2004,37707.273
Malawi,2005,51698.984
Malawi,2006,53230.14
Malawi,2007,137137.58
Malawi,2008,98967.449
Malawi,2009,160306.718
Malawi,2010,345314.962
Malawi,2011,355523.213
Malawi,2012,524913.939
Malawi,2013,719952.948
Malaysia,1995,20725.374
Malaysia,1996,191338.479
Malaysia,1997,501534.205
Malaysia,1998,1520143.876
Malaysia,1999,2816213.904
Malaysia,2000,5012040.714
Malaysia,2001,6388173.114
Malaysia,2002,7885655.785
Malaysia,2003,8711728.9
Malaysia,2004,10729432.65
Malaysia,2005,12559924.48
Malaysia,2006,13584782.57
Malaysia,2007,14935297.18
Malaysia,2008,15234710.18
Malaysia,2009,15534791.12
Malaysia,2010,15919295.11
Malaysia,2011,16191298.98
Malaysia,2012,17836355.47
Malaysia,2013,19553762.97
Maldives,1996,501.318
Maldives,1997,769.041
Maldives,1998,1571.838
Maldives,1999,2942.016
Maldives,2000,6000.39
Maldives,2001,10001.7
Maldives,2002,14985.379
Maldives,2003,17255.64
Maldives,2004,19305.33
Maldives,2005,20532.744
Maldives,2006,33310.75
Maldives,2007,50242.957
Maldives,2008,72811.576
Maldives,2009,79275.68
Maldives,2010,86308.91
Maldives,2011,87970.46
Maldives,2012,115070.28
Maldives,2013,134213.947
Mali,1999,9977.308
Mali,2000,10260.577
Mali,2001,21125.536
Mali,2002,21765.324
Mali,2003,33659.211
Mali,2004,46291.744
Mali,2005,59706.29
Mali,2006,86278.815
Mali,2007,101805.032
Mali,2008,210212.784
Mali,2009,244067.328
Mali,2010,265733.259
Mali,2011,273918.003
Mali,2012,297071.44
Mali,2013,336636.3
Malta,1995,740.866
Malta,1996,4099.557
Malta,1997,14634.204
Malta,1998,24538.54
Malta,1999,29590.08
Malta,2000,49958.553
Malta,2001,70352.012
Malta,2002,114435.041
Malta,2003,125951.912
Malta,2004,138838.728
Malta,2005,166379.608
Malta,2006,163744.432
Malta,2007,190753.556
Malta,2008,205098.879
Malta,2009,242948.953
Malta,2010,261140.04
Malta,2011,262248.84
Malta,2012,285229.4
Malta,2013,288741.068
Marshall Islands,1999,520.76
Marshall Islands,2000,782.415
Marshall Islands,2001,887.128
Marshall Islands,2002,1199.703
Marshall Islands,2003,1354.99
Marshall Islands,2004,1874.664
Marshall Islands,2005,2030.262
Marshall Islands,2006,1979.192
Marshall Islands,2007,2086
Marshall Islands,2008,2403.27
Marshall Islands,2009,2931.096
Marshall Islands,2010,3669.96
Marshall Islands,2011,3674.65
Marshall Islands,2012,4256.955
Marshall Islands,2013,5263.4
Mauritania,1999,2627.739
Mauritania,2000,5416.19
Mauritania,2001,8374.209
Mauritania,2002,11509.724
Mauritania,2003,11862.668
Mauritania,2004,15277.125
Mauritania,2005,22023.148
Mauritania,2006,32377.13
Mauritania,2007,46620.518
Mauritania,2008,65035.119
Mauritania,2009,80869.771
Mauritania,2010,144376.8
Mauritania,2011,148110.52
Mauritania,2012,170826.345
Mauritania,2013,210053.52
Mauritius,1996,2267.992
Mauritius,1997,5741.42
Mauritius,1998,30170.946
Mauritius,1999,55237.549
Mauritius,2000,86641.729
Mauritius,2001,105273.256
Mauritius,2002,124075.963
Mauritius,2003,148031.14
Mauritius,2004,167277.411
Mauritius,2005,186694.608
Mauritius,2006,206077.332
Mauritius,2007,250405.26
Mauritius,2008,271218.378
Mauritius,2009,280671.525
Mauritius,2010,353863.2
Mauritius,2011,354430.332
Mauritius,2012,439558.7
Mauritius,2013,445563.162
Mexico,1995,95392.647
Mexico,1996,194403.066
Mexico,1997,593811.348
Mexico,1998,1308825.271
Mexico,1999,1944018.839
Mexico,2000,5297553.957
Mexico,2001,7373791.39
Mexico,2002,12700115.66
Mexico,2003,13939264.25
Mexico,2004,15422798.55
Mexico,2005,19045874.07
Mexico,2006,21862755.33
Mexico,2007,23614202.35
Mexico,2008,24948064.46
Mexico,2009,30619183.78
Mexico,2010,36662671.64
Mexico,2011,37121343.46
Mexico,2012,44955261.44
Mexico,2013,48688294.8
Micronesia (country),1996,325.026
Micronesia (country),1997,651.036
Micronesia (country),1998,2056.484
Micronesia (country),1999,3018.624
Micronesia (country),2000,3974.91
Micronesia (country),2001,5036.99
Micronesia (country),2002,5991.048
Micronesia (country),2003,9827.072
Micronesia (country),2004,11723.25
Micronesia (country),2005,12637.562
Micronesia (country),2006,13527.808
Micronesia (country),2007,14293.192
Micronesia (country),2008,15152.21
Micronesia (country),2009,16013.382
Micronesia (country),2010,20723.8
Micronesia (country),2011,20684.8
Micronesia (country),2012,23574.06
Micronesia (country),2013,26922.74
Moldova,1998,10958.196
Moldova,1999,21882.006
Moldova,2000,47314.696
Moldova,2001,54471.93
Moldova,2002,137676.356
Moldova,2003,267352.676
Moldova,2004,382018.17
Moldova,2005,524897.302
Moldova,2006,702700.964
Moldova,2007,733266.55
Moldova,2008,835405.272
Moldova,2009,980541.1
Moldova,2010,1150540.535
Moldova,2011,1149875.478
Moldova,2012,1352617.22
Moldova,2013,1544417.644
Monaco,2000,13538.182
Monaco,2001,15082.556
Monaco,2002,15673.44
Monaco,2003,16319.16
Monaco,2004,17506.65
Monaco,2005,18763.44
Monaco,2006,21136.935
Monaco,2007,22548.372
Monaco,2008,24016.678
Monaco,2009,25456.114
Monaco,2010,27633.75
