Entity,Year,Human Development Index (without GDP metric)
Gambia,1990,0.10
Gambia,1995,0.12
Gambia,2000,0.14
Gambia,2005,0.16
Gambia,2007,0.17
Gambia,2010,0.19
Gambia,2015,0.20
Georgia,1990,0.46
Georgia,1995,0.44
Georgia,2000,0.44
Georgia,2005,0.45
Georgia,2007,0.46
Georgia,2010,0.46
Georgia,2015,0.53
Germany,1870,0.14
Germany,1880,0.16
Germany,1890,0.19
Germany,1900,0.21
Germany,1913,0.23
Germany,1925,0.26
Germany,1929,0.29
Germany,1933,0.31
Germany,1938,0.32
Germany,1950,0.37
Germany,1955,0.36
Germany,1960,0.39
Germany,1965,0.40
Germany,1970,0.43
Germany,1975,0.47
Germany,1980,0.47
Germany,1985,0.48
Germany,1990,0.51
Germany,1995,0.55
Germany,2000,0.60
Germany,2005,0.63
Germany,2007,0.64
Germany,2010,0.68
Germany,2015,0.76
Ghana,1870,0.01
Ghana,1880,0.01
Ghana,1890,0.01
Ghana,1900,0.01
Ghana,1913,0.02
Ghana,1925,0.02
Ghana,1929,0.03
Ghana,1933,0.03
Ghana,1938,0.03
Ghana,1950,0.07
Ghana,1955,0.08
Ghana,1960,0.09
Ghana,1965,0.11
Ghana,1970,0.12
Ghana,1975,0.13
Ghana,1980,0.15
Ghana,1985,0.16
Ghana,1990,0.18
Ghana,1995,0.19
Ghana,2000,0.19
Ghana,2005,0.21
Ghana,2007,0.21
Ghana,2010,0.22
Ghana,2015,0.26
Greece,1870,0.06
Greece,1880,0.07
Greece,1890,0.07
Greece,1900,0.09
Greece,1913,0.09
Greece,1925,0.13
Greece,1929,0.14
Greece,1933,0.16
Greece,1938,0.18
Greece,1950,0.23
Greece,1955,0.26
Greece,1960,0.28
Greece,1965,0.32
Greece,1970,0.35
Greece,1975,0.37
Greece,1980,0.40
Greece,1985,0.44
Greece,1990,0.46
Greece,1995,0.49
Greece,2000,0.50
Greece,2005,0.60
Greece,2007,0.66
Greece,2010,0.73
Greece,2015,0.74
Guatemala,1913,0.03
Guatemala,1925,0.03
Guatemala,1929,0.03
Guatemala,1933,0.03
Guatemala,1938,0.04
Guatemala,1950,0.07
Guatemala,1955,0.08
Guatemala,1960,0.09
Guatemala,1965,0.11
Guatemala,1970,0.13
Guatemala,1975,0.14
Guatemala,1980,0.16
Guatemala,1985,0.18
Guatemala,1990,0.20
Guatemala,1995,0.22
Guatemala,2000,0.26
Guatemala,2005,0.28
Guatemala,2007,0.31
Guatemala,2010,0.32
Guatemala,2015,0.34
Guinea,1870,0.01
Guinea,1880,0.01
Guinea,1890,0.01
Guinea,1900,0.01
Guinea,1913,0.01
Guinea,1925,0.01
Guinea,1929,0.01
Guinea,1933,0.01
Guinea,1938,0.02
Guinea,1950,0.02
Guinea,1955,0.02
Guinea,1960,0.03
Guinea,1965,0.04
Guinea,1970,0.05
Guinea,1975,0.06
Guinea,1980,0.08
Guinea,1985,0.09
Guinea,1990,0.09
Guinea,1995,0.09
Guinea,2000,0.11
Guinea,2005,0.14
Guinea,2007,0.16
Guinea,2010,0.14
Guinea,2015,0.16
Guinea-Bissau,1870,0.01
Guinea-Bissau,1880,0.01
Guinea-Bissau,1890,0.01
Guinea-Bissau,1900,0.01
Guinea-Bissau,1913,0.01
Guinea-Bissau,1925,0.01
Guinea-Bissau,1929,0.01
Guinea-Bissau,1933,0.01
Guinea-Bissau,1938,0.01
Guinea-Bissau,1950,0.02
Guinea-Bissau,1955,0.03
Guinea-Bissau,1960,0.04
Guinea-Bissau,1965,0.04
Guinea-Bissau,1970,0.05
Guinea-Bissau,1975,0.06
Guinea-Bissau,1980,0.07
Guinea-Bissau,1985,0.08
Guinea-Bissau,1990,0.08
Guinea-Bissau,1995,0.10
Guinea-Bissau,2000,0.11
Guinea-Bissau,2005,0.14
Guinea-Bissau,2007,0.16
Guinea-Bissau,2010,0.17
Guinea-Bissau,2015,0.19
Guyana,1950,0.19
Guyana,1955,0.21
Guyana,1960,0.24
Guyana,1965,0.28
Guyana,1970,0.28
Guyana,1975,0.29
Guyana,1980,0.31
Guyana,1985,0.30
Guyana,1990,0.32
Guyana,1995,0.33
Guyana,2000,0.38
Guyana,2005,0.40
Guyana,2007,0.41
Guyana,2010,0.33
Guyana,2015,0.32
Haiti,1950,0.04
Haiti,1955,0.06
Haiti,1960,0.06
Haiti,1965,0.07
Haiti,1970,0.08
Haiti,1975,0.10
Haiti,1980,0.11
Haiti,1985,0.13
Haiti,1990,0.15
Haiti,1995,0.17
Haiti,2000,0.18
Haiti,2005,0.20
Haiti,2007,0.19
Haiti,2010,0.19
Haiti,2015,0.22
Honduras,1913,0.04
Honduras,1925,0.04
Honduras,1929,0.05
Honduras,1933,0.05
Honduras,1938,0.06
Honduras,1950,0.09
Honduras,1955,0.10
Honduras,1960,0.12
Honduras,1965,0.14
Honduras,1970,0.15
Honduras,1975,0.17
Honduras,1980,0.20
Honduras,1985,0.23
Honduras,1990,0.26
Honduras,1995,0.28
Honduras,2000,0.30
Honduras,2005,0.34
Honduras,2007,0.36
Honduras,2010,0.37
Honduras,2015,0.38
Hong Kong,1870,0.02
Hong Kong,1913,0.04
Hong Kong,1950,0.16
Hong Kong,1955,0.19
Hong Kong,1960,0.23
Hong Kong,1965,0.26
Hong Kong,1970,0.28
Hong Kong,1975,0.31
Hong Kong,1980,0.35
Hong Kong,1985,0.38
Hong Kong,1990,0.43
Hong Kong,1995,0.45
Hong Kong,2000,0.48
Hong Kong,2005,0.56
Hong Kong,2007,0.57
Hong Kong,2010,0.65
Hong Kong,2015,0.74
Hungary,1870,0.05
Hungary,1880,0.07
Hungary,1890,0.09
Hungary,1900,0.10
Hungary,1913,0.12
Hungary,1925,0.15
Hungary,1929,0.18
Hungary,1933,0.20
Hungary,1938,0.22
Hungary,1950,0.28
Hungary,1955,0.33
Hungary,1960,0.36
Hungary,1965,0.40
Hungary,1970,0.38
Hungary,1975,0.38
Hungary,1980,0.39
Hungary,1985,0.42
Hungary,1990,0.42
Hungary,1995,0.42
Hungary,2000,0.46
Hungary,2005,0.52
Hungary,2007,0.54
Hungary,2010,0.55
Hungary,2015,0.57
Iceland,1980,0.50
Iceland,1985,0.52
Iceland,1990,0.55
Iceland,1995,0.59
Iceland,2000,0.65
Iceland,2005,0.74
Iceland,2007,0.77
Iceland,2010,0.79
Iceland,2015,0.90
India,1870,0.01
India,1880,0.01
India,1890,0.01
India,1900,0.01
India,1913,0.02
India,1925,0.02
India,1929,0.03
India,1933,0.03
India,1938,0.04
India,1950,0.06
India,1955,0.07
India,1960,0.09
India,1965,0.11
India,1970,0.12
India,1975,0.13
India,1980,0.14
India,1985,0.16
India,1990,0.17
India,1995,0.19
India,2000,0.20
India,2005,0.22
India,2007,0.24
India,2010,0.25
India,2015,0.29
Indonesia,1870,0.01
Indonesia,1880,0.01
Indonesia,1890,0.01
Indonesia,1900,0.01
Indonesia,1913,0.01
Indonesia,1925,0.02
Indonesia,1929,0.03
Indonesia,1933,0.03
Indonesia,1938,0.03
Indonesia,1950,0.06
Indonesia,1955,0.08
Indonesia,1960,0.09
Indonesia,1965,0.12
Indonesia,1970,0.14
Indonesia,1975,0.16
Indonesia,1980,0.18
Indonesia,1985,0.22
Indonesia,1990,0.26
Indonesia,1995,0.28
Indonesia,2000,0.31
Indonesia,2005,0.34
Indonesia,2007,0.36
Indonesia,2010,0.38
Indonesia,2015,0.39
Iran,1870,0.01
Iran,1913,0.01
Iran,1950,0.06
Iran,1955,0.07
Iran,1960,0.08
Iran,1965,0.10
Iran,1970,0.13
Iran,1975,0.15
Iran,1980,0.19
Iran,1985,0.20
Iran,1990,0.25
Iran,1995,0.29
Iran,2000,0.31
Iran,2005,0.33
Iran,2007,0.33
Iran,2010,0.35
Iran,2015,0.45
Iraq,1870,0.01
Iraq,1913,0.01
Iraq,1950,0.06
Iraq,1955,0.07
Iraq,1960,0.09
Iraq,1965,0.11
Iraq,1970,0.13
Iraq,1975,0.15
Iraq,1980,0.17
Iraq,1985,0.19
Iraq,1990,0.20
Iraq,1995,0.21
Iraq,2000,0.22
Iraq,2005,0.23
Iraq,2007,0.29
Iraq,2010,0.30
Iraq,2015,0.31
Ireland,1870,0.10
Ireland,1880,0.12
Ireland,1890,0.14
Ireland,1900,0.16
Ireland,1913,0.20
Ireland,1925,0.24
Ireland,1929,0.26
Ireland,1933,0.26
Ireland,1938,0.27
Ireland,1950,0.34
Ireland,1955,0.36
Ireland,1960,0.40
Ireland,1965,0.41
Ireland,1970,0.41
Ireland,1975,0.43
Ireland,1980,0.45
Ireland,1985,0.48
Ireland,1990,0.50
Ireland,1995,0.53
Ireland,2000,0.56
Ireland,2005,0.66
Ireland,2007,0.75
Ireland,2010,0.79
Ireland,2015,0.82
Israel,1950,0.25
Israel,1955,0.29
Israel,1960,0.35
Israel,1965,0.36
Israel,1970,0.36
Israel,1975,0.36
Israel,1980,0.39
Israel,1985,0.44
Israel,1990,0.45
Israel,1995,0.49
Israel,2000,0.55
Israel,2005,0.62
Israel,2007,0.69
Israel,2010,0.71
Israel,2015,0.78
Italy,1870,0.06
Italy,1880,0.07
Italy,1890,0.09
Italy,1900,0.10
Italy,1913,0.12
Italy,1925,0.15
Italy,1929,0.17
Italy,1933,0.18
Italy,1938,0.21
Italy,1950,0.25
Italy,1955,0.28
Italy,1960,0.30
Italy,1965,0.32
Italy,1970,0.38
Italy,1975,0.39
Italy,1980,0.43
Italy,1985,0.44
Italy,1990,0.47
Italy,1995,0.51
Italy,2000,0.57
Italy,2005,0.65
Italy,2007,0.70
Italy,2010,0.71
Italy,2015,0.80
Jamaica,1870,0.04
Jamaica,1880,0.06
Jamaica,1890,0.08
Jamaica,1900,0.09
Jamaica,1913,0.09
Jamaica,1925,0.10
Jamaica,1929,0.12
Jamaica,1933,0.12
Jamaica,1938,0.14
Jamaica,1950,0.20
Jamaica,1955,0.22
Jamaica,1960,0.26
Jamaica,1965,0.29
Jamaica,1970,0.31
Jamaica,1975,0.34
Jamaica,1980,0.35
Jamaica,1985,0.36
Jamaica,1990,0.35
Jamaica,1995,0.37
Jamaica,2000,0.38
Jamaica,2005,0.38
Jamaica,2007,0.38
Jamaica,2010,0.39
Jamaica,2015,0.43
Japan,1870,0.05
Japan,1880,0.08
Japan,1890,0.09
Japan,1900,0.12
Japan,1913,0.15
Japan,1925,0.16
Japan,1929,0.19
Japan,1933,0.21
Japan,1938,0.23
Japan,1950,0.31
Japan,1955,0.37
Japan,1960,0.39
Japan,1965,0.42
Japan,1970,0.44
Japan,1975,0.48
Japan,1980,0.52
Japan,1985,0.56
Japan,1990,0.58
Japan,1995,0.60
Japan,2000,0.65
Japan,2005,0.70
Japan,2007,0.73
Japan,2010,0.76
Japan,2015,0.81
Jordan,1950,0.07
Jordan,1955,0.11
Jordan,1960,0.12
Jordan,1965,0.14
Jordan,1970,0.19
Jordan,1975,0.23
Jordan,1980,0.27
Jordan,1985,0.29
Jordan,1990,0.32
Jordan,1995,0.35
Jordan,2000,0.37
Jordan,2005,0.41
Jordan,2007,0.42
Jordan,2010,0.43
Jordan,2015,0.47
Kazakhstan,1990,0.44
Kazakhstan,1995,0.41
Kazakhstan,2000,0.39
Kazakhstan,2005,0.45
Kazakhstan,2007,0.45
Kazakhstan,2010,0.44
Kazakhstan,2015,0.49
Kenya,1870,0.02
Kenya,1880,0.02
Kenya,1890,0.02
Kenya,1900,0.02
Kenya,1913,0.02
Kenya,1925,0.02
Kenya,1929,0.02
Kenya,1933,0.02
Kenya,1938,0.03
Kenya,1950,0.07
Kenya,1955,0.08
Kenya,1960,0.09
Kenya,1965,0.10
Kenya,1970,0.12
Kenya,1975,0.14
Kenya,1980,0.19
Kenya,1985,0.21
Kenya,1990,0.23
Kenya,1995,0.22
Kenya,2000,0.20
Kenya,2005,0.22
Kenya,2007,0.21
Kenya,2010,0.23
Kenya,2015,0.26
Kuwait,1950,0.09
Kuwait,1955,0.12
Kuwait,1960,0.17
Kuwait,1965,0.20
Kuwait,1970,0.23
Kuwait,1975,0.25
Kuwait,1980,0.29
Kuwait,1985,0.34
Kuwait,1990,0.36
Kuwait,1995,0.33
Kuwait,2000,0.43
Kuwait,2005,0.49
Kuwait,2007,0.46
Kuwait,2010,0.49
Kuwait,2015,0.45
Kyrgyzstan,1990,0.43
Kyrgyzstan,1995,0.41
Kyrgyzstan,2000,0.40
Kyrgyzstan,2005,0.42
Kyrgyzstan,2007,0.43
Kyrgyzstan,2010,0.43
Kyrgyzstan,2015,0.45
Laos,1950,0.04
Laos,1955,0.06
Laos,1960,0.06
Laos,1965,0.07
Laos,1970,0.09
Laos,1975,0.09
Laos,1980,0.14
Laos,1985,0.15
Laos,1990,0.17
Laos,1995,0.19
Laos,2000,0.22
Laos,2005,0.25
Laos,2007,0.25
Laos,2010,0.28
Laos,2015,0.29
Latvia,1980,0.43
Latvia,1985,0.44
Latvia,1990,0.44
Latvia,1995,0.41
Latvia,2000,0.45
Latvia,2005,0.53
Latvia,2007,0.56
Latvia,2010,0.56
Latvia,2015,0.56
Lebanon,1950,0.15
Lebanon,1955,0.17
Lebanon,1960,0.19
Lebanon,1965,0.23
Lebanon,1970,0.26
Lebanon,1975,0.27
Lebanon,1980,0.29
Lebanon,1985,0.30
Lebanon,1990,0.33
Lebanon,1995,0.34
Lebanon,2000,0.39
Lebanon,2005,0.40
Lebanon,2007,0.39
Lebanon,2010,0.42
Lebanon,2015,0.49
Lesotho,1870,0.01
Lesotho,1880,0.02
Lesotho,1890,0.03
Lesotho,1900,0.04
Lesotho,1913,0.03
Lesotho,1925,0.05
Lesotho,1929,0.05
Lesotho,1933,0.06
Lesotho,1938,0.08
Lesotho,1950,0.10
Lesotho,1955,0.11
Lesotho,1960,0.12
Lesotho,1965,0.15
Lesotho,1970,0.15
Lesotho,1975,0.17
Lesotho,1980,0.19
Lesotho,1985,0.21
Lesotho,1990,0.24
Lesotho,1995,0.24
Lesotho,2000,0.21
Lesotho,2005,0.19
Lesotho,2007,0.20
Lesotho,2010,0.18
Lesotho,2015,0.20
Liberia,1870,0.01
Liberia,1880,0.01
Liberia,1890,0.01
Liberia,1900,0.01
Liberia,1913,0.01
Liberia,1925,0.01
Liberia,1929,0.01
Liberia,1933,0.01
Liberia,1938,0.02
Liberia,1950,0.03
Liberia,1955,0.04
Liberia,1960,0.05
Liberia,1965,0.07
Liberia,1970,0.07
Liberia,1975,0.09
Liberia,1980,0.10
Liberia,1985,0.09
Liberia,1990,0.10
Liberia,1995,0.11
Liberia,2000,0.18
Liberia,2005,0.17
Liberia,2007,0.18
Liberia,2010,0.19
Liberia,2015,0.20
Libya,1870,0.01
Libya,1880,0.01
Libya,1890,0.01
Libya,1900,0.02
Libya,1913,0.02
Libya,1925,0.03
Libya,1929,0.03
Libya,1933,0.03
Libya,1938,0.04
Libya,1950,0.06
Libya,1955,0.07
Libya,1960,0.09
Libya,1965,0.11
Libya,1970,0.15
Libya,1975,0.18
Libya,1980,0.22
Libya,1985,0.26
Libya,1990,0.30
Libya,1995,0.38
Libya,2000,0.44
Libya,2005,0.45
Libya,2007,0.49
Libya,2010,0.51
Libya,2015,0.48
Lithuania,1980,0.47
Lithuania,1985,0.46
Lithuania,1990,0.44
Lithuania,1995,0.43
Lithuania,2000,0.47
Lithuania,2005,0.55
Lithuania,2007,0.57
Lithuania,2010,0.58
Lithuania,2015,0.58
Macedonia,1990,0.42
Macedonia,1995,0.38
Macedonia,2000,0.41
Macedonia,2005,0.43
Macedonia,2007,0.44
Macedonia,2010,0.45
Macedonia,2015,0.46
Madagascar,1870,0.02
Madagascar,1880,0.02
Madagascar,1890,0.02
Madagascar,1900,0.03
Madagascar,1913,0.03
Madagascar,1925,0.04
Madagascar,1929,0.05
Madagascar,1933,0.05
Madagascar,1938,0.05
Madagascar,1950,0.07
Madagascar,1955,0.07
Madagascar,1960,0.08
Madagascar,1965,0.10
Madagascar,1970,0.11
Madagascar,1975,0.13
Madagascar,1980,0.14
Madagascar,1985,0.16
Madagascar,1990,0.15
Madagascar,1995,0.16
Madagascar,2000,0.18
Madagascar,2005,0.22
Madagascar,2007,0.22
Madagascar,2010,0.23
Madagascar,2015,0.26
Malawi,1870,0.01
Malawi,1880,0.01
Malawi,1890,0.01
Malawi,1900,0.01
Malawi,1913,0.02
Malawi,1925,0.02
Malawi,1929,0.03
Malawi,1933,0.03
Malawi,1938,0.04
Malawi,1950,0.05
Malawi,1955,0.06
Malawi,1960,0.07
Malawi,1965,0.08
Malawi,1970,0.08
Malawi,1975,0.09
Malawi,1980,0.11
Malawi,1985,0.12
Malawi,1990,0.13
Malawi,1995,0.16
Malawi,2000,0.19
Malawi,2005,0.19
Malawi,2007,0.20
Malawi,2010,0.20
Malawi,2015,0.26
Malaysia,1870,0.01
Malaysia,1880,0.01
Malaysia,1890,0.01
Malaysia,1900,0.02
Malaysia,1913,0.02
Malaysia,1925,0.03
Malaysia,1929,0.04
Malaysia,1933,0.04
Malaysia,1938,0.06
Malaysia,1950,0.11
Malaysia,1955,0.14
Malaysia,1960,0.16
Malaysia,1965,0.17
Malaysia,1970,0.20
Malaysia,1975,0.23
Malaysia,1980,0.25
Malaysia,1985,0.28
Malaysia,1990,0.30
Malaysia,1995,0.32
Malaysia,2000,0.37
Malaysia,2005,0.39
Malaysia,2007,0.40
Malaysia,2010,0.41
Malaysia,2015,0.43
Mali,1870,0.01
Mali,1880,0.01
Mali,1890,0.01
Mali,1900,0.01
Mali,1913,0.01
Mali,1925,0.01
Mali,1929,0.01
Mali,1933,0.01
Mali,1938,0.01
Mali,1950,0.02
Mali,1955,0.02
Mali,1960,0.03
Mali,1965,0.04
Mali,1970,0.04
Mali,1975,0.05
Mali,1980,0.05
Mali,1985,0.06
Mali,1990,0.06
Mali,1995,0.07
Mali,2000,0.09
Mali,2005,0.11
Mali,2007,0.11
Mali,2010,0.12
Mali,2015,0.16
Malta,1980,0.34
Malta,1985,0.37
Malta,1990,0.41
Malta,1995,0.43
Malta,2000,0.47
Malta,2005,0.50
Malta,2007,0.52
Malta,2010,0.53
Malta,2015,0.54
Mauritania,1870,0.01
Mauritania,1880,0.01
Mauritania,1890,0.01
Mauritania,1900,0.01
Mauritania,1913,0.01
Mauritania,1925,0.01
Mauritania,1929,0.01
Mauritania,1933,0.01
Mauritania,1938,0.01
Mauritania,1950,0.02
Mauritania,1955,0.02
Mauritania,1960,0.03
Mauritania,1965,0.04
Mauritania,1970,0.06
Mauritania,1975,0.07
Mauritania,1980,0.10
Mauritania,1985,0.12
Mauritania,1990,0.12
Mauritania,1995,0.13
Mauritania,2000,0.15
Mauritania,2005,0.15
Mauritania,2007,0.16
Mauritania,2010,0.17
Mauritania,2015,0.20
Mauritius,1870,0.02
Mauritius,1880,0.02
Mauritius,1890,0.02
Mauritius,1900,0.03
Mauritius,1913,0.04
Mauritius,1925,0.05
Mauritius,1929,0.06
Mauritius,1933,0.06
Mauritius,1938,0.06
Mauritius,1950,0.13
Mauritius,1955,0.17
Mauritius,1960,0.20
Mauritius,1965,0.22
Mauritius,1970,0.22
Mauritius,1975,0.24
Mauritius,1980,0.25
Mauritius,1985,0.27
Mauritius,1990,0.29
Mauritius,1995,0.31
Mauritius,2000,0.34
Mauritius,2005,0.36
Mauritius,2007,0.39
Mauritius,2010,0.39
Mauritius,2015,0.43
Mexico,1870,0.02
Mexico,1880,0.02
Mexico,1890,0.03
Mexico,1900,0.03
Mexico,1913,0.04
Mexico,1925,0.06
Mexico,1929,0.06
Mexico,1933,0.07
Mexico,1938,0.08
Mexico,1950,0.14
Mexico,1955,0.16
Mexico,1960,0.18
Mexico,1965,0.21
Mexico,1970,0.23
Mexico,1975,0.25
Mexico,1980,0.30
Mexico,1985,0.33
Mexico,1990,0.35
Mexico,1995,0.36
Mexico,2000,0.39
Mexico,2005,0.42
Mexico,2007,0.44
Mexico,2010,0.45
Mexico,2015,0.47
Moldova,1980,0.33
Moldova,1985,0.36
Moldova,1990,0.40
Moldova,1995,0.39
Moldova,2000,0.39
Moldova,2005,0.41
Moldova,2007,0.41
Moldova,2010,0.41
Moldova,2015,0.44
Mongolia,1980,0.30
Mongolia,1985,0.32
Mongolia,1990,0.33
Mongolia,1995,0.32
Mongolia,2000,0.33
Mongolia,2005,0.39
Mongolia,2007,0.39
Mongolia,2010,0.43
Mongolia,2015,0.47
Morocco,1870,0.01
Morocco,1880,0.01
Morocco,1890,0.01
Morocco,1900,0.01
Morocco,1913,0.01
Morocco,1925,0.01
Morocco,1929,0.02
Morocco,1933,0.02
Morocco,1938,0.02
Morocco,1950,0.05
Morocco,1955,0.06
Morocco,1960,0.08
Morocco,1965,0.09
Morocco,1970,0.09
Morocco,1975,0.10
Morocco,1980,0.13
Morocco,1985,0.15
Morocco,1990,0.17
Morocco,1995,0.19
Morocco,2000,0.22
Morocco,2005,0.25
Morocco,2007,0.26
Morocco,2010,0.28
Morocco,2015,0.34
Mozambique,1870,0.01
Mozambique,1880,0.01
Mozambique,1890,0.01
Mozambique,1900,0.01
Mozambique,1913,0.01
Mozambique,1925,0.01
Mozambique,1929,0.01
Mozambique,1933,0.02
Mozambique,1938,0.02
Mozambique,1950,0.03
Mozambique,1955,0.04
Mozambique,1960,0.05
Mozambique,1965,0.05
Mozambique,1970,0.06
Mozambique,1975,0.07
Mozambique,1980,0.09
Mozambique,1985,0.09
Mozambique,1990,0.09
Mozambique,1995,0.10
Mozambique,2000,0.12
Mozambique,2005,0.14
Mozambique,2007,0.15
Mozambique,2010,0.15
Mozambique,2015,0.19
Myanmar,1870,0.02
Myanmar,1880,0.02
Myanmar,1890,0.02
Myanmar,1900,0.03
Myanmar,1913,0.04
Myanmar,1925,0.04
Myanmar,1929,0.05
Myanmar,1933,0.05
Myanmar,1938,0.05
Myanmar,1950,0.06
Myanmar,1955,0.10
Myanmar,1960,0.11
Myanmar,1965,0.13
Myanmar,1970,0.15
Myanmar,1975,0.16
Myanmar,1980,0.19
Myanmar,1985,0.21
Myanmar,1990,0.21
Myanmar,1995,0.23
Myanmar,2000,0.24
Myanmar,2005,0.24
Myanmar,2007,0.27
Myanmar,2010,0.28
Myanmar,2015,0.30
Namibia,1870,0.01
Namibia,1880,0.01
Namibia,1890,0.02
Namibia,1900,0.03
Namibia,1913,0.03
Namibia,1925,0.03
Namibia,1929,0.04
Namibia,1933,0.04
Namibia,1938,0.04
Namibia,1950,0.06
Namibia,1955,0.07
Namibia,1960,0.07
Namibia,1965,0.11
Namibia,1970,0.14
Namibia,1975,0.17
Namibia,1980,0.22
Namibia,1985,0.25
Namibia,1990,0.27
Namibia,1995,0.28
Namibia,2000,0.26
Namibia,2005,0.27
Namibia,2007,0.26
Namibia,2010,0.30
Namibia,2015,0.33
Nepal,1870,0.01
Nepal,1913,0.01
Nepal,1950,0.02
Nepal,1955,0.02
Nepal,1960,0.04
Nepal,1965,0.05
Nepal,1970,0.06
Nepal,1975,0.07
Nepal,1980,0.09
Nepal,1985,0.11
Nepal,1990,0.14
Nepal,1995,0.17
Nepal,2000,0.19
Nepal,2005,0.22
Nepal,2007,0.25
Nepal,2010,0.26
Nepal,2015,0.30
Netherlands,1870,0.13
Netherlands,1880,0.15
Netherlands,1890,0.17
Netherlands,1900,0.20
Netherlands,1913,0.24
Netherlands,1925,0.28
Netherlands,1929,0.31
Netherlands,1933,0.32
Netherlands,1938,0.34
Netherlands,1950,0.40
Netherlands,1955,0.41
Netherlands,1960,0.42
Netherlands,1965,0.43
Netherlands,1970,0.45
Netherlands,1975,0.47
Netherlands,1980,0.51
Netherlands,1985,0.52
Netherlands,1990,0.56
Netherlands,1995,0.62
Netherlands,2000,0.71
Netherlands,2005,0.75
Netherlands,2007,0.77
Netherlands,2010,0.79
Netherlands,2015,0.85
New Zealand,1870,0.16
New Zealand,1880,0.20
New Zealand,1890,0.22
New Zealand,1900,0.24
New Zealand,1913,0.29
New Zealand,1925,0.33
New Zealand,1929,0.34
New Zealand,1933,0.33
New Zealand,1938,0.34
New Zealand,1950,0.41
New Zealand,1955,0.44
New Zealand,1960,0.45
New Zealand,1965,0.47
New Zealand,1970,0.45
New Zealand,1975,0.46
New Zealand,1980,0.48
New Zealand,1985,0.48
New Zealand,1990,0.51
New Zealand,1995,0.58
New Zealand,2000,0.69
New Zealand,2005,0.78
New Zealand,2007,0.79
New Zealand,2010,0.80
New Zealand,2015,0.86
Nicaragua,1913,0.03
Nicaragua,1925,0.03
Nicaragua,1929,0.04
Nicaragua,1933,0.05
Nicaragua,1938,0.06
Nicaragua,1950,0.09
Nicaragua,1955,0.10
Nicaragua,1960,0.12
Nicaragua,1965,0.14
Nicaragua,1970,0.15
Nicaragua,1975,0.17
Nicaragua,1980,0.19
Nicaragua,1985,0.21
Nicaragua,1990,0.22
Nicaragua,1995,0.25
Nicaragua,2000,0.31
Nicaragua,2005,0.34
Nicaragua,2007,0.35
Nicaragua,2010,0.36
Nicaragua,2015,0.38
Niger,1870,0.01
Niger,1880,0.01
Niger,1890,0.01
Niger,1900,0.01
Niger,1913,0.01
Niger,1925,0.01
Niger,1929,0.01
Niger,1933,0.01
Niger,1938,0.01
Niger,1950,0.01
Niger,1955,0.01
Niger,1960,0.02
Niger,1965,0.03
Niger,1970,0.03
Niger,1975,0.03
Niger,1980,0.04
Niger,1985,0.05
Niger,1990,0.05
Niger,1995,0.06
Niger,2000,0.07
Niger,2005,0.09
Niger,2007,0.10
Niger,2010,0.09
Niger,2015,0.13
Nigeria,1870,0.01
Nigeria,1880,0.01
Nigeria,1890,0.01
Nigeria,1900,0.01
Nigeria,1913,0.01
Nigeria,1925,0.02
Nigeria,1929,0.02
Nigeria,1933,0.02
Nigeria,1938,0.03
Nigeria,1950,0.04
Nigeria,1955,0.05
Nigeria,1960,0.06
Nigeria,1965,0.06
Nigeria,1970,0.07
Nigeria,1975,0.09
Nigeria,1980,0.10
Nigeria,1985,0.13
Nigeria,1990,0.13
Nigeria,1995,0.14
Nigeria,2000,0.15
Nigeria,2005,0.15
Nigeria,2007,0.16
Nigeria,2010,0.16
Nigeria,2015,0.18
Norway,1870,0.19
Norway,1880,0.19
Norway,1890,0.22
Norway,1900,0.24
Norway,1913,0.26
Norway,1925,0.29
Norway,1929,0.30
Norway,1933,0.31
Norway,1938,0.33
Norway,1950,0.39
Norway,1955,0.41
Norway,1960,0.43
Norway,1965,0.43
Norway,1970,0.47
Norway,1975,0.49
Norway,1980,0.51
Norway,1985,0.52
Norway,1990,0.53
Norway,1995,0.59
Norway,2000,0.66
Norway,2005,0.78
Norway,2007,0.80
Norway,2010,0.79
Norway,2015,0.81
Oman,1950,0.03
Oman,1955,0.04
Oman,1960,0.05
Oman,1965,0.07
Oman,1970,0.08
Oman,1975,0.10
Oman,1980,0.13
Oman,1985,0.17
Oman,1990,0.23
Oman,1995,0.28
Oman,2000,0.32
Oman,2005,0.36
Oman,2007,0.39
Oman,2010,0.40
Oman,2015,0.44
Pakistan,1950,0.05
Pakistan,1955,0.06
Pakistan,1960,0.07
Pakistan,1965,0.08
Pakistan,1970,0.09
Pakistan,1975,0.10
Pakistan,1980,0.12
Pakistan,1985,0.12
Pakistan,1990,0.14
Pakistan,1995,0.16
Pakistan,2000,0.17
Pakistan,2005,0.19
Pakistan,2007,0.21
Pakistan,2010,0.21
Pakistan,2015,0.22
Panama,1950,0.18
Panama,1955,0.21
Panama,1960,0.22
Panama,1965,0.25
Panama,1970,0.27
Panama,1975,0.31
Panama,1980,0.35
Panama,1985,0.35
Panama,1990,0.36
Panama,1995,0.37
Panama,2000,0.41
Panama,2005,0.44
Panama,2007,0.45
Panama,2010,0.46
Panama,2015,0.49
Paraguay,1950,0.20
Paraguay,1955,0.22
Paraguay,1960,0.23
Paraguay,1965,0.25
Paraguay,1970,0.25
Paraguay,1975,0.26
