Entity,Year,J. Doyne Farmer and François Lafond (2016)
PolyesterFiber,1967,56.34013605
PolyesterFiber,1968,52.86730769
PolyesterFiber,1969,42.4269557
PolyesterFiber,1970,37.08679928
PolyesterFiber,1971,32.68787618
PolyesterFiber,1972,30.16499162
PolyethyleneHD,1958,34.42752868
PolyethyleneHD,1959,34.07223942
PolyethyleneHD,1960,33.38957055
PolyethyleneHD,1961,32.49897959
PolyethyleneHD,1962,31.5087001
PolyethyleneHD,1963,23.98157625
PolyethyleneHD,1964,21.24948665
PolyethyleneHD,1965,18.72920892
PolyethyleneHD,1966,17.42757937
PolyethyleneHD,1967,16.41885326
PolyethyleneHD,1968,14.92115385
PolyethyleneHD,1969,14.35061263
PolyethyleneHD,1970,12.49367089
PolyethyleneHD,1971,10.27773001
PolyethyleneHD,1972,9.80318258
PolyethyleneLD,1958,33.37643379
PolyethyleneLD,1959,33.03199174
PolyethyleneLD,1960,28.65235174
PolyethyleneLD,1961,23.52857143
PolyethyleneLD,1962,21.2691914
PolyethyleneLD,1963,18.60184237
PolyethyleneLD,1964,17.05338809
PolyethyleneLD,1965,17.06592292
PolyethyleneLD,1966,17.15079365
PolyethyleneLD,1967,14.31681244
PolyethyleneLD,1968,11.66730769
PolyethyleneLD,1969,11.4137606
PolyethyleneLD,1970,11.36166365
PolyethyleneLD,1971,10.85898538
PolyethyleneLD,1972,10.20268007
Polypropylene,1959,0.413
Polypropylene,1960,0.397
Polypropylene,1961,0.364
Polypropylene,1962,0.312
Polypropylene,1963,0.271
Polypropylene,1964,0.221
Polypropylene,1965,0.2
Polypropylene,1966,0.175
Polypropylene,1967,0.175
Polypropylene,1968,0.172
Polystyrene,1943,0.54
Polystyrene,1944,0.55
Polystyrene,1945,0.52
Polystyrene,1946,0.45
Polystyrene,1947,0.41
Polystyrene,1948,0.335
Polystyrene,1949,0.395
Polystyrene,1950,0.425
Polystyrene,1951,0.415
Polystyrene,1952,0.41
Polystyrene,1953,0.4
Polystyrene,1954,0.395
Polystyrene,1955,0.365
Polystyrene,1956,0.335
Polystyrene,1957,0.295
Polystyrene,1958,0.28
Polystyrene,1959,0.24
Polystyrene,1960,0.245
Polystyrene,1961,0.2
Polystyrene,1962,0.195
Polystyrene,1963,0.17
Polystyrene,1964,0.155
Polystyrene,1965,0.15
Polystyrene,1966,0.157
Polystyrene,1967,0.145
Polystyrene,1968,0.128
Polyvinylchloride,1946,0.526
Polyvinylchloride,1947,0.469
Polyvinylchloride,1948,0.465
Polyvinylchloride,1949,0.493
Polyvinylchloride,1950,0.462
Polyvinylchloride,1951,0.456
Polyvinylchloride,1952,0.446
Polyvinylchloride,1953,0.442
Polyvinylchloride,1954,0.424
Polyvinylchloride,1955,0.374
Polyvinylchloride,1956,0.341
Polyvinylchloride,1957,0.298
Polyvinylchloride,1958,0.27
Polyvinylchloride,1959,0.246
Polyvinylchloride,1960,0.223
Polyvinylchloride,1961,0.182
Polyvinylchloride,1962,0.17
Polyvinylchloride,1963,0.168
Polyvinylchloride,1964,0.156
Polyvinylchloride,1965,0.154
Polyvinylchloride,1966,0.141
Polyvinylchloride,1967,0.128
Polyvinylchloride,1968,0.123
Primary Aluminum,1929,0.472
Primary Aluminum,1930,0.483
Primary Aluminum,1931,0.473
Primary Aluminum,1932,0.58
Primary Aluminum,1933,0.593
Primary Aluminum,1934,0.511
Primary Aluminum,1935,0.481
Primary Aluminum,1936,0.48
Primary Aluminum,1937,0.451
Primary Aluminum,1938,0.456
Primary Aluminum,1939,0.463
Primary Aluminum,1940,0.426
Primary Aluminum,1941,0.35
Primary Aluminum,1942,0.283
Primary Aluminum,1943,0.264
Primary Aluminum,1944,0.258
Primary Aluminum,1945,0.251
Primary Aluminum,1946,0.225
Primary Aluminum,1947,0.201
Primary Aluminum,1948,0.198
Primary Aluminum,1949,0.215
Primary Aluminum,1950,0.221
Primary Aluminum,1951,0.222
Primary Aluminum,1952,0.222
Primary Aluminum,1953,0.237
Primary Aluminum,1954,0.243
Primary Aluminum,1955,0.26
Primary Aluminum,1956,0.277
Primary Aluminum,1957,0.282
Primary Aluminum,1958,0.269
Primary Aluminum,1959,0.265
Primary Aluminum,1960,0.252
Primary Aluminum,1961,0.215
Primary Aluminum,1962,0.226
Primary Aluminum,1963,0.211
Primary Aluminum,1964,0.218
Primary Aluminum,1965,0.221
Primary Aluminum,1966,0.215
Primary Aluminum,1967,0.213
Primary Aluminum,1968,0.21
Primary Magnesium,1929,1.186
Primary Magnesium,1930,0.974
Primary Magnesium,1931,0.67
Primary Magnesium,1932,0.746
Primary Magnesium,1933,0.763
Primary Magnesium,1934,0.711
Primary Magnesium,1935,0.704
Primary Magnesium,1936,0.702
Primary Magnesium,1937,0.674
Primary Magnesium,1938,0.683
Primary Magnesium,1939,0.625
Primary Magnesium,1940,0.615
Primary Magnesium,1941,0.477
Primary Magnesium,1942,0.424
Primary Magnesium,1943,0.361
Primary Magnesium,1944,0.352
Primary Magnesium,1945,0.343
Primary Magnesium,1946,0.307
Primary Magnesium,1947,0.275
Primary Magnesium,1948,0.258
Primary Magnesium,1949,0.259
Primary Magnesium,1950,0.274
Primary Magnesium,1951,0.286
Primary Magnesium,1952,0.28
Primary Magnesium,1953,0.301
Primary Magnesium,1954,0.301
Primary Magnesium,1955,0.324
Primary Magnesium,1956,0.361
Primary Magnesium,1957,0.362
Primary Magnesium,1958,0.352
Primary Magnesium,1959,0.347
Primary Magnesium,1960,0.341
Primary Magnesium,1961,0.337
Primary Magnesium,1962,0.333
Primary Magnesium,1963,0.329
Primary Magnesium,1964,0.323
Primary Magnesium,1965,0.318
Primary Magnesium,1966,0.309
Primary Magnesium,1967,0.306
Primary Magnesium,1968,0.296
Refined Cane Sugar,1935,0.116
Refined Cane Sugar,1936,0.1118
Refined Cane Sugar,1937,0.1087
Refined Cane Sugar,1938,0.1022
Refined Cane Sugar,1939,0.1088
Refined Cane Sugar,1940,0.0995
Refined Cane Sugar,1941,0.1059
Refined Cane Sugar,1942,0.1056
Refined Cane Sugar,1943,0.0988
Refined Cane Sugar,1944,0.0957
Refined Cane Sugar,1945,0.0924
Refined Cane Sugar,1946,0.0967
Refined Cane Sugar,1947,0.1108
Refined Cane Sugar,1948,0.097
Refined Cane Sugar,1949,0.1004
Refined Cane Sugar,1950,0.0995
Refined Cane Sugar,1951,0.0978
Refined Cane Sugar,1952,0.0984
Refined Cane Sugar,1953,0.0985
Refined Cane Sugar,1954,0.0972
Refined Cane Sugar,1955,0.0947
Refined Cane Sugar,1956,0.0935
Refined Cane Sugar,1957,0.094
Refined Cane Sugar,1958,0.0925
Refined Cane Sugar,1959,0.0916
Refined Cane Sugar,1960,0.091
Refined Cane Sugar,1961,0.09
Refined Cane Sugar,1962,0.091
Refined Cane Sugar,1963,0.1115
Refined Cane Sugar,1964,0.0977
Refined Cane Sugar,1965,0.0923
Refined Cane Sugar,1966,0.0913
Refined Cane Sugar,1967,0.0901
Refined Cane Sugar,1968,0.0886
Sodium,1957,17.38629283
Sodium,1958,17.28571429
Sodium,1959,17.15892673
Sodium,1960,16.66359918
Sodium,1961,16.56326531
Sodium,1962,16.9160696
Sodium,1963,16.86591607
Sodium,1964,16.93429158
Sodium,1965,15.99188641
Sodium,1966,15.22619048
Sodium,1967,14.9154519
Sodium,1968,14.86153846
Sodium,1969,14.95098963
Sodium,1970,14.41500904
Sodium,1971,13.97076526
Sodium,1972,14.22026801
SodiumChlorate,1958,8.541188738
SodiumChlorate,1959,8.40247678
SodiumChlorate,1960,8.258691207
SodiumChlorate,1961,8.308163265
SodiumChlorate,1962,8.21801433
SodiumChlorate,1963,8.103377687
SodiumChlorate,1964,8.087268994
SodiumChlorate,1965,7.411764706
SodiumChlorate,1966,6.639880952
SodiumChlorate,1967,6.003887269
SodiumChlorate,1968,5.730769231
SodiumChlorate,1969,5.770970782
SodiumChlorate,1970,5.608499096
SodiumChlorate,1971,5.39810834
SodiumChlorate,1972,5.358458961
SodiumHydrosulfite,1964,23.06570842
SodiumHydrosulfite,1965,23.73833671
SodiumHydrosulfite,1966,23.83234127
SodiumHydrosulfite,1967,22.49757046
SodiumHydrosulfite,1968,22.39326923
SodiumHydrosulfite,1969,24.04147031
SodiumHydrosulfite,1970,20.93128391
SodiumHydrosulfite,1971,19.16337059
SodiumHydrosulfite,1972,20.46482412
Sorbitol,1965,22.28904665
Sorbitol,1966,19.68849206
Sorbitol,1967,19.2866861
Sorbitol,1968,18.70480769
Sorbitol,1969,18.57492931
Sorbitol,1970,17.89059675
Sorbitol,1971,17.39208942
Sorbitol,1972,17.84422111
Styrene,1958,12.41397289
Styrene,1959,11.92363261
Styrene,1960,11.6605317
Styrene,1961,10.89387755
Styrene,1962,10.25997953
Styrene,1963,9.481064483
Styrene,1964,8.31724846
Styrene,1965,7.737322515
Styrene,1966,7.965277778
Styrene,1967,7.496598639
Styrene,1968,6.435576923
Styrene,1969,5.982092366
Styrene,1970,5.849005425
Styrene,1971,5.175408426
Styrene,1972,4.781407035
Titanium Dioxide,1964,26.93326489
Titanium Dioxide,1965,26.39350913
Titanium Dioxide,1966,25.38194444
Titanium Dioxide,1967,24.8143829
Titanium Dioxide,1968,24.57596154
Titanium Dioxide,1969,24.08953817
Titanium Dioxide,1970,22.47197107
Titanium Dioxide,1971,19.53052451
Titanium Dioxide,1972,20.01926298
Titanium Sponge,1950,6.25
Titanium Sponge,1951,5.84
Titanium Sponge,1952,5.72
Titanium Sponge,1953,5.66
Titanium Sponge,1954,5.58
Titanium Sponge,1955,4.44
Titanium Sponge,1956,3.39
Titanium Sponge,1957,2.53
Titanium Sponge,1958,2.02
Titanium Sponge,1959,1.7
Titanium Sponge,1960,1.55
Titanium Sponge,1961,1.4
Titanium Sponge,1962,1.3
Titanium Sponge,1963,1.23
Titanium Sponge,1964,1.21
Titanium Sponge,1965,1.19
Titanium Sponge,1966,1.16
Titanium Sponge,1967,1.12
Titanium Sponge,1968,1.08
Transistor,1968,4.678589286
Transistor,1969,3.567396669
Transistor,1970,2.155532171
Transistor,1971,1.103027409
Transistor,1972,0.589689161
Transistor,1973,0.32748535
Transistor,1974,0.195507392
Transistor,1975,0.065019757
Transistor,1976,0.032767453
Transistor,1977,0.018281466
Transistor,1978,0.010952251
Transistor,1979,0.005058634
Transistor,1980,0.002938864
Transistor,1981,0.001370008
Transistor,1982,0.000668019
Transistor,1983,0.00048377
Transistor,1984,0.000437762
Transistor,1985,0.000197308
Transistor,1986,0.000140079
Transistor,1987,9.84E-5
Transistor,1988,7.59E-5
Transistor,1989,3.91E-5
Transistor,1990,2.24E-5
Transistor,1991,1.5E-5
Transistor,1992,1.04E-5
Transistor,1993,9.04E-6
Transistor,1994,7.63E-6
Transistor,1995,6.7E-6
Transistor,1996,4.2E-6
Transistor,1997,2.37E-6
Transistor,1998,1.17E-6
Transistor,1999,8.32E-7
Transistor,2000,6.67E-7
Transistor,2001,2.87E-7
Transistor,2002,1.95E-7
Transistor,2003,1.49E-7
Transistor,2004,1.14E-7
Transistor,2005,4.6E-8
Urea,1961,4.389795918
Urea,1962,4.451381781
Urea,1963,4.411463664
Urea,1964,4.372689938
Urea,1965,4.096348884
Urea,1966,4.128968254
Urea,1967,3.537414966
Urea,1968,2.970192308
Urea,1969,2.374175306
Urea,1970,2.604882459
Urea,1971,2.442820292
Urea,1972,2.211892797
VinylAcetate,1960,15.67791411
VinylAcetate,1961,15.03265306
VinylAcetate,1962,14.24257932
VinylAcetate,1963,13.5209826
VinylAcetate,1964,11.68583162
VinylAcetate,1965,10.89249493
VinylAcetate,1966,10.61210317
VinylAcetate,1967,10.85228377
VinylAcetate,1968,10.22403846
VinylAcetate,1969,9.372290292
VinylAcetate,1970,7.692585895
VinylAcetate,1971,6.705932932
VinylAcetate,1972,5.845896147
VinylChloride,1962,7.654042989
VinylChloride,1963,7.144319345
VinylChloride,1964,6.516427105
VinylChloride,1965,6.216024341
VinylChloride,1966,5.882936508
VinylChloride,1967,5.121477162
VinylChloride,1968,4.396153846
VinylChloride,1969,4.119698398
VinylChloride,1970,3.561482821
VinylChloride,1971,3.5855546
VinylChloride,1972,3.325795645
Wind Turbine (Denmark),1981,10909
Wind Turbine (Denmark),1982,11075
Wind Turbine (Denmark),1983,11451
Wind Turbine (Denmark),1984,10811
Wind Turbine (Denmark),1985,10199
Wind Turbine (Denmark),1986,9576
Wind Turbine (Denmark),1987,8485
Wind Turbine (Denmark),1988,7722
Wind Turbine (Denmark),1989,7614
Wind Turbine (Denmark),1990,7928
Wind Turbine (Denmark),1991,8152
Wind Turbine (Denmark),1992,7456
Wind Turbine (Denmark),1993,7033
Wind Turbine (Denmark),1994,6644
Wind Turbine (Denmark),1995,6100
Wind Turbine (Denmark),1996,5946
Wind Turbine (Denmark),1997,6041
Wind Turbine (Denmark),1998,5958
Wind Turbine (Denmark),1999,5702
Wind Turbine (Denmark),2000,5563
