Entity,Year,Carbon Monoxide,NOx,Non-methane Volatile Organic Compounds (VOCs),PM₁₀,PM₂.₅,SO₂,Carbon Monoxide (Index),NOx (Index),Non-methane Volatile Organic Compounds (VOCs) (Index),PM₁₀ (Index),PM₂.₅ (Index),SO₂ (Index)
Hungary,2014,289,120,116,67,51,27,23.78,42.34,43.25,,,3.29
Hungary,2015,458,123,139,70,54,24,37.59,43.46,51.77,,,2.92
Iceland,1990,59,29,12,,,21,100.00,100.00,100.00,,,100.00
Iceland,1991,59,29,13,,,20,100.24,100.91,103.28,,,96.00
Iceland,1992,60,31,13,,,22,102.29,106.01,105.52,,,105.87
Iceland,1993,60,32,13,,,20,101.66,109.68,105.21,,,96.50
Iceland,1994,61,32,13,,,21,102.92,108.93,106.03,,,97.58
Iceland,1995,53,31,11,,,19,89.28,106.81,89.47,,,91.86
Iceland,1996,53,33,11,,,22,90.32,111.77,91.10,,,101.74
Iceland,1997,47,32,9,,,21,79.68,109.27,76.48,,,100.02
Iceland,1998,53,31,10,,,21,90.27,106.41,77.91,,,98.51
Iceland,1999,49,30,7,,3,28,83.04,104.16,57.03,,,134.48
Iceland,2000,49,30,7,1,1,35,83.60,101.42,57.64,,,165.37
Iceland,2001,51,28,7,1,1,39,86.72,95.16,56.63,,,183.28
Iceland,2002,54,29,7,1,1,41,91.12,99.81,57.22,,,193.98
Iceland,2003,55,29,7,1,1,37,92.51,99.18,58.03,,,176.59
Iceland,2004,55,29,7,1,1,33,93.85,100.95,60.56,,,154.05
Iceland,2005,50,28,6,1,1,40,85.33,95.58,49.78,,,187.90
Iceland,2006,59,28,7,1,1,44,100.35,95.98,53.64,,,209.28
Iceland,2007,75,29,7,2,1,59,127.64,99.67,54.28,,,276.50
Iceland,2008,113,27,6,2,1,74,192.15,92.20,51.26,,,351.18
Iceland,2009,118,27,6,2,2,69,199.21,92.04,48.00,,,326.08
Iceland,2010,117,25,5,2,2,74,197.96,84.24,44.21,,,349.94
Iceland,2011,115,23,5,3,2,73,194.55,79.58,43.35,,,347.08
Iceland,2012,116,23,5,3,2,84,197.00,78.75,43.13,,,397.67
Iceland,2013,119,23,5,3,2,72,201.22,79.15,42.93,,,337.70
Iceland,2014,117,23,5,,,65,197.95,77.49,40.66,,,307.26
Iceland,2015,120,23,5,,,57,202.55,80.39,40.84,,,269.84
Ireland,1990,348,135,142,43,33,184,100.00,100.00,100.00,100.00,100.00,100.00
Ireland,1991,341,137,143,42,32,183,97.90,101.58,100.54,99.72,99.16,99.34
Ireland,1992,327,146,140,39,28,171,93.80,107.80,98.17,90.72,87.27,92.79
Ireland,1993,310,137,138,38,28,162,88.95,101.57,97.06,89.60,85.76,87.91
Ireland,1994,294,136,136,36,26,177,84.38,100.53,95.41,84.51,78.66,95.93
Ireland,1995,290,133,135,34,24,163,83.10,98.62,94.75,80.65,73.55,88.22
Ireland,1996,286,135,136,35,24,151,82.13,100.24,95.88,82.15,75.02,81.77
Ireland,1997,266,131,134,33,22,168,76.46,96.94,93.93,77.37,68.93,91.37
Ireland,1998,271,136,135,35,24,180,77.68,100.85,94.84,81.17,73.27,97.44
Ireland,1999,255,137,125,31,21,161,73.09,101.13,87.74,73.23,63.07,87.17
Ireland,2000,245,140,119,31,21,142,70.20,103.34,83.34,73.13,63.24,76.99
Ireland,2001,241,140,119,31,20,137,69.18,103.68,83.97,72.38,61.85,74.12
Ireland,2002,230,133,117,30,19,104,66.06,98.54,82.05,69.82,59.29,56.17
Ireland,2003,221,131,114,29,19,81,63.55,97.13,80.07,68.57,57.78,44.18
Ireland,2004,217,134,114,29,19,74,62.31,99.13,79.84,69.03,57.95,40.17
Ireland,2005,215,136,113,30,19,74,61.71,100.56,79.32,69.88,59.33,40.10
Ireland,2006,198,132,113,29,19,63,56.95,97.65,79.74,67.65,57.11,34.12
Ireland,2007,186,129,112,28,18,57,53.25,95.49,78.88,65.62,54.85,30.85
Ireland,2008,175,116,108,28,18,47,50.31,85.94,76.09,66.58,54.91,25.73
Ireland,2009,156,93,104,27,17,34,44.64,68.81,73.45,64.29,52.83,18.64
Ireland,2010,143,86,101,26,16,28,40.98,63.36,71.00,62.06,50.14,15.30
Ireland,2011,131,76,98,25,15,27,37.70,56.38,68.66,59.09,46.33,14.42
Ireland,2012,125,78,98,25,15,25,35.95,57.99,68.98,58.45,45.29,13.69
Ireland,2013,118,77,100,25,15,25,33.85,56.86,70.49,59.23,46.72,13.74
Ireland,2014,111,76,99,24,14,19,31.79,56.16,69.93,56.45,43.15,10.47
Ireland,2015,108,79,101,24,14,18,30.92,58.16,71.18,56.08,42.67,9.52
Israel,1996,478,220,247,,,281,,,,,,
Israel,2000,376,237,239,,,284,,,,,,
Israel,2003,284,210,247,,,272,,,,,,
Israel,2004,264,203,229,,,255,,,,,,
Israel,2005,257,205,233,,,234,,,,,,
Israel,2006,238,202,238,,,219,,,,,,
Israel,2007,226,204,248,,,217,,,,,,
Israel,2008,214,200,245,,,204,,,,,,
Israel,2009,200,187,263,,,187,,,,,,
Israel,2010,187,188,268,,,181,,,,,,
Israel,2011,169,181,272,,,190,,,,,,
Israel,2012,143,192,269,,,216,,,,,,
Israel,2013,139,172,,,,178,,,,,,
Israel,2014,136,164,,,,161,,,,,,
Italy,1990,7258,2035,1935,272,221,1784,100.00,100.00,100.00,100.00,100.00,100.00
Italy,1991,7600,2104,2002,278,229,1672,104.71,103.38,103.42,102.40,103.49,93.76
Italy,1992,7720,2138,2076,269,221,1574,106.36,105.06,107.24,99.16,100.13,88.25
Italy,1993,7809,2038,2061,269,222,1471,107.60,100.12,106.46,99.14,100.59,82.50
Italy,1994,7383,1938,2011,265,218,1389,101.72,95.23,103.89,97.66,98.72,77.89
Italy,1995,7302,1910,1967,265,218,1322,100.61,93.86,101.62,97.54,98.77,74.12
Italy,1996,7002,1838,1908,254,210,1214,96.47,90.31,98.58,93.39,94.88,68.05
Italy,1997,6556,1764,1853,248,207,1139,90.33,86.66,95.76,91.45,93.62,63.84
Italy,1998,6088,1652,1751,246,206,1004,83.88,81.16,90.47,90.71,93.08,56.28
Italy,1999,5638,1558,1679,242,203,903,77.68,76.52,86.75,89.00,91.66,50.62
Italy,2000,4930,1457,1515,226,189,755,67.93,71.57,78.30,83.06,85.64,42.34
Italy,2001,4471,1419,1429,218,180,703,61.59,69.71,73.81,80.23,81.46,39.43
Italy,2002,3900,1360,1340,187,151,622,53.74,66.84,69.25,68.87,68.07,34.90
Italy,2003,3951,1345,1325,204,169,524,54.44,66.10,68.45,75.24,76.42,29.36
Italy,2004,3409,1299,1218,179,144,486,46.96,63.81,62.94,65.79,65.07,27.27
Italy,2005,3445,1238,1231,198,166,409,47.46,60.84,63.62,72.93,74.96,22.92
Italy,2006,3299,1174,1196,202,171,387,45.46,57.66,61.78,74.22,77.18,21.70
Italy,2007,3364,1131,1169,225,196,345,46.35,55.57,60.40,82.96,88.56,19.32
Italy,2008,3485,1049,1140,237,210,289,48.01,51.53,58.88,87.41,94.79,16.22
Italy,2009,3114,971,1061,219,195,237,42.90,47.70,54.84,80.65,88.17,13.27
Italy,2010,3080,955,1001,213,190,218,42.43,46.90,51.71,78.46,85.96,12.21
Italy,2011,2423,921,910,165,143,196,33.38,45.26,47.01,60.90,64.75,10.97
Italy,2012,2669,857,906,192,171,177,36.77,42.11,46.83,70.67,77.17,9.94
Italy,2013,2490,803,876,186,166,146,34.30,39.45,45.27,68.47,75.12,8.17
Italy,2014,2258,791,820,169,150,131,31.12,38.85,42.39,62.25,67.66,7.35
Italy,2015,2356,766,841,179,160,123,32.47,37.65,43.46,65.90,72.28,6.91
Japan,1990,4507,1971,2095,,,1242,100.00,100.00,100.00,,,100.00
Japan,1991,4446,2015,2051,,,1238,98.66,102.21,97.89,,,99.71
Japan,1992,4288,1986,1979,,,1196,95.15,100.74,94.45,,,96.35
Japan,1993,4196,1973,1915,,,1148,93.11,100.10,91.39,,,92.48
Japan,1994,4210,2010,1914,,,1202,93.42,101.93,91.36,,,96.78
Japan,1995,4163,2069,1885,,,1195,92.39,104.97,89.96,,,96.22
Japan,1996,4091,2059,1890,,,1151,90.78,104.42,90.19,,,92.70
Japan,1997,4070,2076,1823,,,1176,90.31,105.30,86.99,,,94.74
Japan,1998,3915,1974,1678,,,1085,86.88,100.13,80.08,,,87.37
Japan,1999,3884,1993,1664,,,1095,86.18,101.09,79.43,,,88.20
Japan,2000,3918,2007,1684,,,1089,86.95,101.82,80.36,,,87.75
Japan,2001,3716,1987,1524,,,1082,82.45,100.80,72.74,,,87.11
Japan,2002,3594,2038,1463,,,1075,79.75,103.37,69.81,,,86.60
Japan,2003,3499,2020,1405,,,1050,77.65,102.45,67.08,,,84.54
Japan,2004,3393,1952,1362,,,1017,75.29,99.04,64.98,,,81.88
Japan,2005,3052,1927,1311,,,969,67.72,97.76,62.56,,,78.06
Japan,2006,3033,1844,1277,,,920,67.31,93.52,60.96,,,74.12
Japan,2007,3069,1755,1214,,,881,68.11,89.02,57.95,,,70.96
Japan,2008,2925,1623,1098,,,811,64.91,82.34,52.39,,,65.29
Japan,2009,2839,1547,1007,,,782,63.00,78.48,48.08,,,62.97
Japan,2010,3453,1544,1019,,,733,76.63,78.30,48.65,,,59.05
Japan,2011,2826,1483,967,,,692,62.70,75.20,46.14,,,55.70
Japan,2012,2878,1456,922,,,691,63.85,73.85,44.03,,,55.69
Japan,2013,2787,1425,916,,,695,61.84,72.27,43.73,,,56.01
Japan,2014,2669,1393,886,,,687,59.22,70.65,42.30,,,55.30
Japan,2015,2503,1353,889,,,678,55.54,68.64,42.42,,,54.64
Latvia,1990,386,94,82,24,20,100,100.00,100.00,100.00,100.00,100.00,100.00
Latvia,1991,354,86,77,25,22,82,91.80,91.15,93.91,105.00,107.79,81.32
Latvia,1992,329,70,71,23,20,70,85.16,74.56,86.21,94.96,99.59,69.49
Latvia,1993,334,62,66,24,21,66,86.45,65.54,80.00,98.15,104.71,65.45
Latvia,1994,320,57,63,24,21,67,82.83,60.01,76.53,98.12,104.87,66.41
Latvia,1995,292,52,61,25,22,49,75.64,55.19,74.19,101.62,110.34,49.17
Latvia,1996,295,52,60,26,23,56,76.47,54.94,73.53,107.08,115.31,55.43
Latvia,1997,269,50,57,26,23,44,69.77,53.04,69.71,106.13,113.59,43.77
Latvia,1998,253,46,54,26,23,40,65.57,49.18,66.28,106.25,113.64,39.67
Latvia,1999,245,45,52,26,23,32,63.43,47.56,63.73,108.44,114.75,31.82
Latvia,2000,232,44,51,25,21,18,60.06,46.83,62.42,102.24,107.05,17.49
Latvia,2001,239,47,54,25,22,14,61.90,49.93,65.69,105.01,110.41,14.05
Latvia,2002,229,46,53,26,22,13,59.21,48.58,64.06,105.20,109.68,12.75
Latvia,2003,230,48,51,27,23,11,59.56,50.45,62.65,110.70,115.31,11.32
Latvia,2004,220,47,50,35,24,9,57.12,49.54,61.51,145.58,121.79,9.24
Latvia,2005,202,45,49,27,22,8,52.43,47.83,59.63,112.09,111.57,8.41
Latvia,2006,203,46,48,27,22,8,52.54,48.58,58.77,111.46,110.49,8.11
Latvia,2007,185,46,47,27,21,8,47.93,48.42,56.94,112.34,107.26,7.85
Latvia,2008,171,42,42,26,21,7,44.36,44.43,51.29,109.16,103.20,6.56
Latvia,2009,182,39,43,26,22,6,47.11,41.78,52.50,108.84,111.18,6.40
Latvia,2010,147,42,41,22,18,4,37.95,44.62,50.51,91.59,89.88,4.31
Latvia,2011,152,36,40,24,18,4,39.28,38.40,49.14,97.35,91.23,4.27
Latvia,2012,156,36,43,25,19,4,40.49,38.57,52.20,102.07,95.34,4.41
Latvia,2013,142,36,42,23,18,4,36.70,38.36,50.86,94.02,89.05,3.90
Latvia,2014,136,36,42,23,18,4,35.34,38.38,51.19,94.65,88.76,3.87
Latvia,2015,131,36,41,23,18,4,33.89,38.56,50.40,96.38,88.42,3.62
Luxembourg,1990,463,40,21,17,16,15,100.00,100.00,100.00,100.00,100.00,100.00
Luxembourg,1991,450,45,22,16,16,15,97.28,112.96,104.57,97.15,97.11,100.91
Luxembourg,1992,413,45,21,15,15,14,89.16,112.65,98.84,90.29,90.03,96.64
Luxembourg,1993,425,44,19,16,16,15,91.90,108.78,90.06,95.39,97.72,103.50
Luxembourg,1994,362,40,18,14,14,14,78.18,100.43,83.10,82.44,84.26,93.73
Luxembourg,1995,210,34,17,8,8,8,45.27,85.90,77.71,49.81,51.11,57.10
Luxembourg,1996,193,35,16,8,8,8,41.66,86.31,74.87,47.45,48.55,52.10
Luxembourg,1997,132,35,15,6,6,5,28.45,87.77,70.89,33.68,34.51,36.17
Luxembourg,1998,56,34,14,3,3,3,12.10,85.58,66.49,16.61,17.06,19.59
Luxembourg,1999,55,36,14,3,3,3,11.86,91.01,64.60,17.51,17.79,19.94
Luxembourg,2000,42,41,13,3,3,3,9.00,102.27,61.43,17.33,17.67,20.94
Luxembourg,2001,43,42,13,3,3,4,9.36,105.80,61.01,18.49,18.81,25.26
Luxembourg,2002,40,43,13,3,3,3,8.74,106.41,61.70,17.11,17.46,18.46
Luxembourg,2003,40,45,12,3,3,3,8.55,112.85,56.51,18.77,18.95,17.16
Luxembourg,2004,42,54,14,3,3,2,9.06,134.30,64.32,18.95,19.39,16.61
Luxembourg,2005,38,55,13,3,3,2,8.15,136.93,60.95,18.73,19.15,16.22
Luxembourg,2006,35,49,11,3,3,3,7.64,121.19,53.00,17.80,18.15,18.81
Luxembourg,2007,39,43,10,3,3,2,8.43,107.04,48.62,16.06,16.38,15.87
Luxembourg,2008,33,39,12,3,3,2,7.22,96.45,54.71,15.62,15.89,11.56
Luxembourg,2009,30,34,10,2,2,2,6.44,84.09,49.09,14.74,14.94,11.73
Luxembourg,2010,29,34,9,2,2,2,6.22,84.05,44.15,14.80,15.00,11.25
Luxembourg,2011,27,34,10,2,2,1,5.73,83.94,44.44,13.72,13.85,8.52
Luxembourg,2012,27,31,10,2,2,1,5.86,76.32,46.23,13.61,13.75,9.87
Luxembourg,2013,27,27,10,2,2,2,5.74,67.57,46.45,13.23,13.36,10.28
Luxembourg,2014,25,25,9,2,2,2,5.41,62.26,42.85,13.30,13.34,10.43
Luxembourg,2015,22,22,10,2,2,1,4.68,54.18,45.52,12.17,12.15,8.48
Mexico,1999,7494,1425,2600,794,574,2857,,,,,,
Mexico,2005,41975,2784,5164,811,594,3102,,,,,,
Mexico,2008,33036,3207,6028,799,571,2241,,,,,,
Netherlands,1990,1134,580,488,73,50,192,100.00,100.00,100.00,100.00,100.00,100.00
Netherlands,1991,1035,568,448,70,48,178,91.28,97.80,91.75,95.26,95.54,92.74
Netherlands,1992,994,551,420,67,46,167,87.71,95.02,86.15,91.28,91.67,87.13
Netherlands,1993,968,538,398,63,43,156,85.43,92.76,81.54,86.06,86.49,81.28
Netherlands,1994,917,502,369,58,40,143,80.86,86.43,75.61,79.33,79.31,74.30
Netherlands,1995,908,485,347,54,37,129,80.11,83.56,71.16,73.74,73.61,67.30
Netherlands,1996,891,471,323,51,35,117,78.57,81.13,66.16,69.63,69.69,60.84
Netherlands,1997,839,438,296,46,32,102,74.05,75.44,60.71,62.97,63.21,53.30
Netherlands,1998,808,421,275,43,29,94,71.24,72.57,56.37,58.41,58.71,49.05
Netherlands,1999,779,418,259,40,28,88,68.71,72.04,53.13,55.48,55.71,45.85
Netherlands,2000,743,399,242,42,27,72,65.53,68.76,49.61,57.08,54.34,37.43
Netherlands,2001,741,387,215,40,26,73,65.38,66.65,43.99,54.79,52.06,38.03
Netherlands,2002,734,376,202,39,25,66,64.74,64.79,41.41,53.87,50.84,34.57
Netherlands,2003,726,372,188,37,24,62,64.07,64.12,38.45,50.44,47.21,32.23
Netherlands,2004,736,359,174,36,23,64,64.89,61.89,35.68,49.20,45.74,33.62
Netherlands,2005,716,349,180,35,21,63,63.14,60.19,36.91,47.61,41.77,32.70
Netherlands,2006,726,341,173,34,21,63,64.06,58.77,35.48,46.79,42.21,32.71
Netherlands,2007,714,326,172,34,20,59,63.00,56.09,35.26,45.98,39.66,30.89
Netherlands,2008,718,317,165,32,18,50,63.37,54.58,33.81,44.42,36.81,26.02
Netherlands,2009,670,287,155,30,17,37,59.09,49.41,31.77,41.41,33.47,19.09
Netherlands,2010,668,281,164,29,16,33,58.96,48.47,33.64,40.30,32.06,17.36
Netherlands,2011,646,267,159,29,15,33,56.99,45.92,32.60,39.62,30.38,17.33
Netherlands,2012,613,251,155,27,14,33,54.06,43.23,31.81,37.42,27.80,17.46
Netherlands,2013,583,239,147,27,13,29,51.44,41.21,30.14,36.64,26.74,15.28
Netherlands,2014,556,214,142,26,13,29,49.01,36.93,29.03,35.67,25.18,15.06
Netherlands,2015,563,208,138,26,12,30,49.66,35.89,28.28,35.50,24.71,15.67
New Zealand,1990,598,93,141,,,53,100.00,100.00,100.00,,,100.00
New Zealand,1991,590,94,141,,,50,98.67,101.47,99.89,,,95.54
New Zealand,1992,596,103,145,,,55,99.61,110.65,102.55,,,104.49
New Zealand,1993,600,103,145,,,53,100.39,111.49,102.61,,,99.76
New Zealand,1994,629,108,152,,,54,105.23,116.61,107.46,,,102.30
New Zealand,1995,635,112,154,,,59,106.13,121.15,108.79,,,112.26
New Zealand,1996,634,118,153,,,57,106.03,127.13,108.27,,,108.35
New Zealand,1997,656,126,162,,,58,109.66,136.19,114.92,,,110.33
New Zealand,1998,662,121,164,,,58,110.75,130.87,116.09,,,110.40
New Zealand,1999,675,130,166,,,64,112.90,139.72,117.73,,,120.47
New Zealand,2000,677,137,166,,,67,113.12,147.23,117.75,,,127.73
New Zealand,2001,682,142,167,,,69,114.04,153.19,118.65,,,130.76
New Zealand,2002,702,145,169,,,71,117.44,156.30,120.08,,,134.72
New Zealand,2003,719,151,172,,,82,120.18,162.76,121.79,,,155.62
New Zealand,2004,737,148,176,,,83,123.23,160.01,124.42,,,158.04
New Zealand,2005,729,157,175,,,91,121.94,169.56,123.74,,,172.12
New Zealand,2006,730,157,176,,,87,122.00,169.13,124.63,,,164.05
New Zealand,2007,744,153,178,,,78,124.31,165.25,126.07,,,148.70
New Zealand,2008,724,155,177,,,83,121.07,167.44,125.31,,,157.50
New Zealand,2009,709,146,175,,,71,118.54,157.43,123.86,,,134.43
New Zealand,2010,723,147,176,,,72,120.90,158.31,124.61,,,135.66
New Zealand,2011,712,147,175,,,73,119.03,158.45,124.33,,,137.62
New Zealand,2012,705,153,174,,,77,117.84,165.33,123.63,,,146.29
New Zealand,2013,700,154,174,,,73,117.06,165.81,123.30,,,138.64
New Zealand,2014,699,156,175,,,72,116.92,167.92,124.10,,,137.03
New Zealand,2015,710,158,179,,,75,118.71,169.92,126.92,,,141.55
Norway,1990,826,200,302,52,41,52,100.00,100.00,100.00,100.00,100.00,100.00
Norway,1991,775,194,302,49,38,44,93.89,96.81,100.02,93.19,92.04,84.01
Norway,1992,740,193,328,46,36,37,89.60,96.48,108.74,88.95,87.51,70.67
Norway,1993,750,197,346,50,40,35,90.79,98.33,114.65,96.00,96.79,67.17
Norway,1994,746,202,361,51,42,35,90.35,100.94,119.67,98.34,101.97,66.75
Norway,1995,725,204,376,51,43,34,87.85,102.21,124.58,98.36,102.84,64.78
Norway,1996,706,214,378,53,43,33,85.43,107.11,125.37,101.15,104.97,63.61
Norway,1997,697,223,378,57,47,31,84.36,111.38,125.11,108.67,114.24,58.63
Norway,1998,671,221,371,52,43,30,81.30,110.78,122.96,98.95,104.08,57.57
Norway,1999,646,223,380,50,41,29,78.21,111.74,125.83,95.53,100.04,56.25
Norway,2000,627,212,391,51,42,27,75.89,105.86,129.56,97.99,102.12,52.07
Norway,2001,609,210,401,51,42,25,73.78,104.88,132.82,97.35,100.66,48.55
Norway,2002,602,204,356,52,43,23,72.84,102.08,117.95,99.16,103.07,43.98
Norway,2003,577,204,312,49,40,23,69.87,102.05,103.34,94.09,97.14,44.72
Norway,2004,548,205,279,48,39,25,66.38,102.58,92.51,91.26,93.61,48.01
Norway,2005,551,206,230,48,39,24,66.71,102.82,76.16,92.67,94.19,46.02
Norway,2006,525,202,201,46,37,21,63.56,101.06,66.54,89.14,89.68,40.49
Norway,2007,510,205,198,47,37,20,61.78,102.67,65.48,91.00,90.04,38.50
Norway,2008,497,196,165,45,36,20,60.20,97.94,54.79,86.84,87.38,38.37
Norway,2009,449,187,150,44,35,16,54.33,93.33,49.74,83.59,83.53,29.73
Norway,2010,461,190,152,47,38,20,55.85,95.19,50.26,89.86,91.72,37.70
Norway,2011,436,186,145,44,35,19,52.79,92.89,48.03,84.41,84.76,36.02
Norway,2012,429,180,144,46,36,17,51.95,89.94,47.85,88.02,86.01,33.16
Norway,2013,399,169,149,40,31,17,48.33,84.43,49.27,76.82,74.34,32.05
Norway,2014,379,159,159,37,27,17,45.91,79.54,52.58,70.57,66.32,31.59
Norway,2015,385,153,157,37,28,16,46.61,76.63,52.03,71.32,67.82,31.29
OECD - Total,1990,217763,47622,45506,,,53470,100.00,100.00,100.00,,,100.00
OECD - Total,1991,211060,46998,44795,,,50590,96.92,98.69,98.44,,,94.62
OECD - Total,1992,203773,47044,44117,,,48543,93.58,98.79,96.95,,,90.79
OECD - Total,1993,197147,46740,43131,,,46507,90.53,98.15,94.78,,,86.98
OECD - Total,1994,188488,46055,42082,,,44358,86.56,96.71,92.48,,,82.96
OECD - Total,1995,182017,45690,41223,,,39977,83.59,95.94,90.59,,,74.77
OECD - Total,1996,175461,45402,38767,,,38659,80.57,95.34,85.19,,,72.30
OECD - Total,1997,169684,45236,38034,,,38250,77.92,94.99,83.58,,,71.54
OECD - Total,1998,164195,44366,36710,,,36725,75.40,93.16,80.67,,,68.68
OECD - Total,1999,156853,42748,35460,,,33921,72.03,89.77,77.92,,,63.44
OECD - Total,2000,152200,41951,34090,,,32287,69.89,88.09,74.91,,,60.38
OECD - Total,2001,145414,40846,33014,,,31397,66.78,85.77,72.55,,,58.72
OECD - Total,2002,134190,42839,32778,,,30090,61.62,89.96,72.03,,,56.28
OECD - Total,2003,130118,41700,31894,,,29214,59.75,87.56,70.09,,,54.64
OECD - Total,2004,126145,40228,31100,,,28195,57.93,84.47,68.34,,,52.73
OECD - Total,2005,120298,38959,30162,,,27821,55.24,81.81,66.28,,,52.03
OECD - Total,2006,116145,37405,29890,,,26146,53.34,78.54,65.68,,,48.90
OECD - Total,2007,112157,35963,29626,,,24823,51.50,75.52,65.10,,,46.43
OECD - Total,2008,104112,33704,27898,,,22203,47.81,70.78,61.31,,,41.52
OECD - Total,2009,95102,31503,29032,,,20203,43.67,66.15,63.80,,,37.78
OECD - Total,2010,97262,30716,28954,,,18375,44.66,64.50,63.63,,,34.37
OECD - Total,2011,93388,29820,28571,,,16975,42.89,62.62,62.78,,,31.75
OECD - Total,2012,90061,28948,27730,,,15613,41.36,60.79,60.94,,,29.20
OECD - Total,2013,86366,28025,27700,,,14239,39.66,58.85,60.87,,,26.63
OECD - Total,2014,82253,26967,26882,,,13945,37.77,56.63,59.07,,,26.08
OECD - Total,2015,80163,25958,27327,,,12442,36.81,54.51,60.05,,,23.27
Poland,1990,3876,1010,727,347,173,3210,100.00,100.00,100.00,100.00,100.00,100.00
Poland,1991,3794,982,718,377,184,2995,97.89,97.23,98.70,108.61,106.29,93.30
Poland,1992,3712,961,708,368,178,2820,95.77,95.14,97.40,106.02,103.34,87.85
Poland,1993,3630,966,699,397,203,2725,93.66,95.63,96.09,114.46,117.62,84.89
Poland,1994,3548,967,689,369,188,2605,91.54,95.72,94.79,106.30,108.87,81.15
Poland,1995,3466,1063,680,364,191,2255,89.42,105.25,93.49,105.12,110.56,70.26
Poland,1996,3525,1101,688,373,197,2254,90.95,108.98,94.69,107.61,114.27,70.21
Poland,1997,3334,1043,670,344,184,2068,86.02,103.31,92.21,99.31,106.66,64.43
Poland,1998,3003,943,628,307,166,1830,77.48,93.36,86.39,88.68,96.39,57.01
Poland,1999,3056,921,632,299,160,1666,78.85,91.14,86.98,86.37,92.81,51.89
Poland,2000,2647,844,575,271,150,1451,68.29,83.57,79.14,78.22,86.75,45.22
Poland,2001,2713,839,571,277,153,1436,70.01,83.06,78.51,80.00,88.43,44.73
Poland,2002,2791,806,567,281,154,1331,72.02,79.82,77.95,80.94,89.02,41.45
Poland,2003,2758,828,562,278,154,1287,71.17,82.01,77.37,80.20,89.18,40.09
Poland,2004,2836,855,586,273,152,1249,73.16,84.62,80.62,78.70,88.27,38.91
Poland,2005,2754,851,575,289,159,1217,71.07,84.24,79.05,83.22,92.14,37.93
Poland,2006,2905,856,628,293,159,1292,74.95,84.73,86.37,84.48,91.88,40.26
Poland,2007,2831,861,614,276,151,1229,73.04,85.20,84.42,79.60,87.21,38.29
Poland,2008,2834,829,637,266,146,1007,73.11,82.10,87.64,76.60,84.53,31.38
Poland,2009,2788,809,617,253,140,868,71.93,80.09,84.88,72.95,81.34,27.05
Poland,2010,3019,861,653,267,149,937,77.90,85.21,89.87,77.04,86.13,29.20
Poland,2011,2933,843,638,247,139,885,75.67,83.42,87.81,71.32,80.69,27.58
Poland,2012,2791,819,630,248,140,859,72.02,81.11,86.70,71.51,81.00,26.75
Poland,2013,2876,798,636,237,134,847,74.22,79.03,87.46,68.42,77.61,26.38
Poland,2014,2704,723,606,223,126,800,69.76,71.59,83.40,64.45,72.69,24.93
Poland,2015,2401,714,531,221,125,690,61.96,70.67,72.99,63.77,72.14,21.50
Portugal,1990,801,245,275,71,56,324,100.00,100.00,100.00,100.00,100.00,100.00
Portugal,1991,815,256,281,75,57,315,101.78,104.67,102.08,106.97,102.27,97.19
Portugal,1992,853,275,287,82,60,376,106.58,112.27,104.24,116.52,107.83,116.26
Portugal,1993,832,266,277,76,56,320,103.92,108.59,100.65,108.44,101.22,98.85
Portugal,1994,812,266,279,77,56,296,101.35,108.67,101.29,108.65,101.51,91.36
Portugal,1995,800,276,274,81,58,331,99.94,112.73,99.50,114.42,104.22,102.40
Portugal,1996,787,264,276,78,58,273,98.22,107.68,100.43,110.43,104.10,84.40
Portugal,1997,752,262,275,86,61,288,93.86,107.07,99.93,121.55,109.08,89.06
Portugal,1998,728,269,276,91,62,336,90.93,109.96,100.50,128.66,111.79,103.77
Portugal,1999,702,277,270,86,61,303,87.66,113.14,98.09,121.40,110.34,93.58
Portugal,2000,651,274,259,86,61,264,81.29,111.73,94.03,121.55,110.06,81.52
Portugal,2001,570,273,249,91,59,250,71.21,111.46,90.47,129.35,106.39,77.35
Portugal,2002,552,280,248,87,58,250,68.95,114.34,90.03,123.76,105.32,77.11
Portugal,2003,512,256,234,80,56,191,63.96,104.70,85.20,112.96,100.76,59.13
Portugal,2004,480,262,227,85,58,193,59.93,106.95,82.62,120.47,104.02,59.59
Portugal,2005,440,267,215,87,56,195,55.01,109.13,78.28,123.28,101.23,60.22
Portugal,2006,409,245,209,77,52,170,51.11,100.24,75.88,109.53,93.43,52.53
Portugal,2007,385,240,204,74,51,163,48.11,98.07,74.31,105.43,92.19,50.25
Portugal,2008,360,214,195,72,49,114,44.97,87.56,70.98,102.58,88.19,35.27
Portugal,2009,340,203,185,71,46,79,42.52,83.10,67.44,100.12,83.55,24.40
Portugal,2010,323,189,186,65,46,70,40.31,77.15,67.73,92.67,82.88,21.75
Portugal,2011,303,180,178,65,47,64,37.90,73.59,64.85,91.66,83.85,19.90
Portugal,2012,288,173,174,61,46,59,35.92,70.77,63.26,87.20,82.04,18.35
Portugal,2013,281,171,175,58,44,54,35.14,70.03,63.68,81.76,79.98,16.75
Portugal,2014,274,170,174,54,44,48,34.22,69.31,63.11,76.70,78.90,14.85
Portugal,2015,268,176,180,56,44,50,33.53,72.04,65.45,80.03,79.54,15.32
Russia,2006,17438,3678,3461,,,4904,,,,,,
Russia,2007,17485,3764,3463,,,4709,,,,,,
