Entity,Year,Life Expectancy (1950-2015) (UN Population Division (2015))
Haiti,1965,43.5
Haiti,1970,46.2
Haiti,1975,48.1
Haiti,1980,50.1
Haiti,1985,51.6
Haiti,1990,53.7
Haiti,1995,55.4
Haiti,2000,57.1
Haiti,2005,58.3
Haiti,2010,60.2
Haiti,2015,62.3
High-income countries,1955,64
High-income countries,1960,66.7
High-income countries,1965,68.3
High-income countries,1970,69.3
High-income countries,1975,70.4
High-income countries,1980,71.5
High-income countries,1985,72.6
High-income countries,1990,73.8
High-income countries,1995,74.4
High-income countries,2000,75.2
High-income countries,2005,76.1
High-income countries,2010,77.5
High-income countries,2015,78.8
Honduras,1955,41.8
Honduras,1960,44.6
Honduras,1965,48
Honduras,1970,51
Honduras,1975,54.1
Honduras,1980,57.7
Honduras,1985,61.6
Honduras,1990,65.4
Honduras,1995,67.7
Honduras,2000,69.8
Honduras,2005,71
Honduras,2010,72
Honduras,2015,72.8
Hong Kong,1955,63.2
Hong Kong,1960,66
Hong Kong,1965,68.8
Hong Kong,1970,70.9
Hong Kong,1975,72.8
Hong Kong,1980,74.2
Hong Kong,1985,75.7
Hong Kong,1990,76.9
Hong Kong,1995,78.2
Hong Kong,2000,79.4
Hong Kong,2005,81.3
Hong Kong,2010,82.4
Hong Kong,2015,83.7
Hungary,1955,64
Hungary,1960,66.9
Hungary,1965,68.8
Hungary,1970,69.5
Hungary,1975,69.6
Hungary,1980,69.6
Hungary,1985,69.1
Hungary,1990,69.4
Hungary,1995,69.4
Hungary,2000,70.9
Hungary,2005,72.6
Hungary,2010,73.8
Hungary,2015,75
Iceland,1955,72
Iceland,1960,73.2
Iceland,1965,73.5
Iceland,1970,73.7
Iceland,1975,74.1
Iceland,1980,76.2
Iceland,1985,76.8
Iceland,1990,77.6
Iceland,1995,78.5
Iceland,2000,78.9
Iceland,2005,80.5
Iceland,2010,81.4
Iceland,2015,82.3
India,1955,36.6
India,1960,39.7
India,1965,42.7
India,1970,46
India,1975,49.4
India,1980,52.6
India,1985,54.9
India,1990,56.7
India,1995,59.2
India,2000,61.6
India,2005,63.6
India,2010,65.5
India,2015,67.5
Indonesia,1955,43.5
Indonesia,1960,47
Indonesia,1965,50.2
Indonesia,1970,53.1
Indonesia,1975,55.9
Indonesia,1980,58.5
Indonesia,1985,60.7
Indonesia,1990,62.4
Indonesia,1995,64.2
Indonesia,2000,65.8
Indonesia,2005,66.7
Indonesia,2010,67.7
Indonesia,2015,68.6
Iran,1955,40.6
Iran,1960,43.5
Iran,1965,46.4
Iran,1970,49.2
Iran,1975,52.7
Iran,1980,56.7
Iran,1985,52.1
Iran,1990,60
Iran,1995,66.9
Iran,2000,69
Iran,2005,71.1
Iran,2010,72.7
Iran,2015,75.1
Iraq,1955,37.9
Iraq,1960,44.9
Iraq,1965,50.9
Iraq,1970,56.4
Iraq,1975,59.5
Iraq,1980,61.7
Iraq,1985,59
Iraq,1990,64.5
Iraq,1995,67.4
Iraq,2000,69.1
Iraq,2005,68.9
Iraq,2010,68
Iraq,2015,69.2
Ireland,1955,66.7
Ireland,1960,69
Ireland,1965,70.1
Ireland,1970,70.8
Ireland,1975,71.2
Ireland,1980,71.9
Ireland,1985,73.1
Ireland,1990,74.1
Ireland,1995,75.3
Ireland,2000,75.9
Ireland,2005,77.6
Ireland,2010,79.6
Ireland,2015,80.6
Israel,1955,68.9
Israel,1960,70
Israel,1965,71
Israel,1970,71.8
Israel,1975,72.6
Israel,1980,73.5
Israel,1985,74.6
Israel,1990,75.8
Israel,1995,77.1
Israel,2000,78.3
Israel,2005,79.6
Israel,2010,80.8
Israel,2015,82.1
Italy,1955,66.3
Italy,1960,68.4
Italy,1965,69.6
Italy,1970,70.8
Italy,1975,72.1
Italy,1980,73.4
Italy,1985,74.7
Italy,1990,76.2
Italy,1995,77.3
Italy,2000,78.6
Italy,2005,80.2
Italy,2010,81.5
Italy,2015,82.8
Jamaica,1955,58.6
Jamaica,1960,62.7
Jamaica,1965,65.7
Jamaica,1970,67.6
Jamaica,1975,69
Jamaica,1980,70.7
Jamaica,1985,72
Jamaica,1990,72.1
Jamaica,1995,72
Jamaica,2000,72.1
Jamaica,2005,72.8
Jamaica,2010,74.2
Jamaica,2015,75.4
Japan,1955,62.2
Japan,1960,66.3
Japan,1965,69
Japan,1970,71.3
Japan,1975,73.1
Japan,1980,75.3
Japan,1985,76.9
Japan,1990,78.5
Japan,1995,79.4
Japan,2000,80.5
Japan,2005,81.8
Japan,2010,82.6
Japan,2015,83.3
Jordan,1955,46.5
Jordan,1960,50.6
Jordan,1965,54.6
Jordan,1970,58.4
Jordan,1975,61.9
Jordan,1980,65
Jordan,1985,67.3
Jordan,1990,69.1
Jordan,1995,70.4
Jordan,2000,71.3
Jordan,2005,72.2
Jordan,2010,73
Jordan,2015,73.8
Kazakhstan,1955,55.1
Kazakhstan,1960,57.3
Kazakhstan,1965,59.5
Kazakhstan,1970,61.7
Kazakhstan,1975,63.3
Kazakhstan,1980,64.3
Kazakhstan,1985,65.9
Kazakhstan,1990,67.5
Kazakhstan,1995,65.5
Kazakhstan,2000,63
Kazakhstan,2005,64.6
Kazakhstan,2010,65.7
Kazakhstan,2015,69.1
Kenya,1955,42.3
Kenya,1960,44.7
Kenya,1965,48
Kenya,1970,50.7
Kenya,1975,53.7
Kenya,1980,56.3
Kenya,1985,59
Kenya,1990,59.4
Kenya,1995,57.3
Kenya,2000,51.9
Kenya,2005,51.3
Kenya,2010,56.5
Kenya,2015,60.6
Kiribati,1955,46.4
Kiribati,1960,48
Kiribati,1965,50.6
Kiribati,1970,53
Kiribati,1975,55.5
Kiribati,1980,56.6
Kiribati,1985,57.3
Kiribati,1990,59.1
Kiribati,1995,61.6
Kiribati,2000,63.3
Kiribati,2005,64.5
Kiribati,2010,65.1
Kiribati,2015,65.7
Kuwait,1955,53.4
Kuwait,1960,58.1
Kuwait,1965,61.9
Kuwait,1970,64.7
Kuwait,1975,66.9
Kuwait,1980,68.7
Kuwait,1985,70.3
Kuwait,1990,71.6
Kuwait,1995,72.4
Kuwait,2000,72.9
Kuwait,2005,73.3
Kuwait,2010,73.7
Kuwait,2015,74.3
Kyrgyzstan,1955,52.8
Kyrgyzstan,1960,55.1
Kyrgyzstan,1965,57.3
Kyrgyzstan,1970,59.6
Kyrgyzstan,1975,61.3
Kyrgyzstan,1980,62.4
Kyrgyzstan,1985,64
Kyrgyzstan,1990,66.1
Kyrgyzstan,1995,66.3
Kyrgyzstan,2000,65.9
Kyrgyzstan,2005,66.6
Kyrgyzstan,2010,66.7
Kyrgyzstan,2015,70.3
Laos,1955,40.9
Laos,1960,42.4
Laos,1965,44
Laos,1970,45.5
Laos,1975,47
Laos,1980,48.4
Laos,1985,49.9
Laos,1990,52.4
Laos,1995,54.8
Laos,2000,57.5
Laos,2005,60.3
Laos,2010,63.2
Laos,2015,65.5
Latin America and the Caribbean,1955,51.2
Latin America and the Caribbean,1960,54.1
Latin America and the Caribbean,1965,56.8
Latin America and the Caribbean,1970,58.9
Latin America and the Caribbean,1975,61.2
Latin America and the Caribbean,1980,63
Latin America and the Caribbean,1985,64.9
Latin America and the Caribbean,1990,66.6
Latin America and the Caribbean,1995,68.4
Latin America and the Caribbean,2000,70.4
Latin America and the Caribbean,2005,72.1
Latin America and the Caribbean,2010,73.4
Latin America and the Caribbean,2015,74.5
Latvia,1955,62.4
Latvia,1960,67.6
Latvia,1965,70.1
Latvia,1970,70.5
Latvia,1975,70
Latvia,1980,68.9
Latvia,1985,69.1
Latvia,1990,70.4
Latvia,1995,67.7
Latvia,2000,68.7
Latvia,2005,70.7
Latvia,2010,71.5
Latvia,2015,73.9
Least developed countries,1955,36.1
Least developed countries,1960,38.7
Least developed countries,1965,40.9
Least developed countries,1970,43.3
Least developed countries,1975,44.3
Least developed countries,1980,45.9
Least developed countries,1985,48.8
Least developed countries,1990,50.6
Least developed countries,1995,51.4
Least developed countries,2000,53.7
Least developed countries,2005,56.2
Least developed countries,2010,59.5
Least developed countries,2015,62.2
Lebanon,1955,60.5
Lebanon,1960,62.4
Lebanon,1965,64
Lebanon,1970,65.4
Lebanon,1975,66.7
Lebanon,1980,67.6
Lebanon,1985,68.4
Lebanon,1990,69.6
Lebanon,1995,71
Lebanon,2000,73.2
Lebanon,2005,75.6
Lebanon,2010,77.7
Lebanon,2015,78.9
Lesotho,1955,42.2
Lesotho,1960,45.1
Lesotho,1965,47.8
Lesotho,1970,48.5
Lesotho,1975,49.8
Lesotho,1980,52.2
Lesotho,1985,55.3
Lesotho,1990,57.3
Lesotho,1995,60
Lesotho,2000,52.2
Lesotho,2005,43.7
Lesotho,2010,45.6
Lesotho,2015,49.5
Less developed regions,1955,41.5
Less developed regions,1960,43.9
Less developed regions,1965,46
Less developed regions,1970,51.4
Less developed regions,1975,54.8
Less developed regions,1980,57.3
Less developed regions,1985,59.4
Less developed regions,1990,61.2
Less developed regions,1995,62.5
Less developed regions,2000,63.7
Less developed regions,2005,65.3
Less developed regions,2010,67.1
Less developed regions,2015,68.8
"Less developed regions, excluding China",1955,40.7
"Less developed regions, excluding China",1960,44
"Less developed regions, excluding China",1965,47
"Less developed regions, excluding China",1970,49.9
"Less developed regions, excluding China",1975,52.2
"Less developed regions, excluding China",1980,54.7
"Less developed regions, excluding China",1985,56.9
"Less developed regions, excluding China",1990,58.7
"Less developed regions, excluding China",1995,60.2
"Less developed regions, excluding China",2000,61.7
"Less developed regions, excluding China",2005,63.2
"Less developed regions, excluding China",2010,65.1
"Less developed regions, excluding China",2015,67
"Less developed regions, excluding least developed countries",1955,42.3
"Less developed regions, excluding least developed countries",1960,44.7
"Less developed regions, excluding least developed countries",1965,46.8
"Less developed regions, excluding least developed countries",1970,52.7
"Less developed regions, excluding least developed countries",1975,56.5
"Less developed regions, excluding least developed countries",1980,59.3
"Less developed regions, excluding least developed countries",1985,61.3
"Less developed regions, excluding least developed countries",1990,63.1
"Less developed regions, excluding least developed countries",1995,64.5
"Less developed regions, excluding least developed countries",2000,65.6
"Less developed regions, excluding least developed countries",2005,67.1
"Less developed regions, excluding least developed countries",2010,68.7
"Less developed regions, excluding least developed countries",2015,70.2
Liberia,1955,33.1
Liberia,1960,34.2
Liberia,1965,35.4
Liberia,1970,37.9
Liberia,1975,40.8
Liberia,1980,44.5
Liberia,1985,47
Liberia,1990,47.3
Liberia,1995,47.7
Liberia,2000,52.6
Liberia,2005,52.4
Liberia,2010,58.1
Liberia,2015,60.3
Libya,1955,36.7
Libya,1960,39
Libya,1965,46.9
Libya,1970,53.3
Libya,1975,58.4
Libya,1980,62.5
Libya,1985,65.6
Libya,1990,67.5
Libya,1995,69.3
Libya,2000,70.2
Libya,2005,70.8
Libya,2010,71.8
Libya,2015,71.5
Lithuania,1955,60.8
Lithuania,1960,66.9
Lithuania,1965,69.9
Lithuania,1970,71.3
Lithuania,1975,71.2
Lithuania,1980,70.7
Lithuania,1985,70.5
Lithuania,1990,71.6
Lithuania,1995,69.7
Lithuania,2000,70.3
Lithuania,2005,71.6
Lithuania,2010,71.3
Lithuania,2015,73.1
Low-income countries,1955,35
Low-income countries,1960,37.6
Low-income countries,1965,39.6
Low-income countries,1970,41.8
Low-income countries,1975,43.7
Low-income countries,1980,43.9
Low-income countries,1985,47.2
Low-income countries,1990,48.9
Low-income countries,1995,49.1
Low-income countries,2000,50.7
Low-income countries,2005,53.1
Low-income countries,2010,56.9
Low-income countries,2015,60.3
Lower-middle-income countries,1955,39.8
Lower-middle-income countries,1960,43.2
Lower-middle-income countries,1965,46.3
Lower-middle-income countries,1970,49.2
Lower-middle-income countries,1975,51.5
Lower-middle-income countries,1980,54.5
Lower-middle-income countries,1985,56.6
Lower-middle-income countries,1990,58.3
Lower-middle-income countries,1995,59.9
Lower-middle-income countries,2000,61.4
Lower-middle-income countries,2005,62.9
Lower-middle-income countries,2010,64.6
Lower-middle-income countries,2015,66.3
Luxembourg,1955,66
Luxembourg,1960,67.5
Luxembourg,1965,69.1
Luxembourg,1970,69.8
Luxembourg,1975,70.2
Luxembourg,1980,71.4
Luxembourg,1985,72.9
Luxembourg,1990,74.5
Luxembourg,1995,75.8
Luxembourg,2000,77
Luxembourg,2005,78.3
Luxembourg,2010,79.5
Luxembourg,2015,81.3
Macao,1955,61
Macao,1960,63.7
Macao,1965,66.1
Macao,1970,68.3
Macao,1975,70.1
Macao,1980,71.8
Macao,1985,73.3
Macao,1990,74.7
Macao,1995,76
Macao,2000,77.1
Macao,2005,78.1
Macao,2010,79.2
Macao,2015,80.3
Macedonia,1955,54.9
Macedonia,1960,59
Macedonia,1965,62.1
Macedonia,1970,65
Macedonia,1975,67.3
Macedonia,1980,68.5
Macedonia,1985,68.9
Macedonia,1990,70.7
Macedonia,1995,71.5
Macedonia,2000,72.7
Macedonia,2005,73.8
Macedonia,2010,74.4
Macedonia,2015,75.2
Madagascar,1955,36.3
Madagascar,1960,38.7
Madagascar,1965,41.2
Madagascar,1970,43.5
Madagascar,1975,46
Madagascar,1980,48.1
Madagascar,1985,49.7
Madagascar,1990,49.9
Madagascar,1995,52.7
Madagascar,2000,56.7
Madagascar,2005,60
Madagascar,2010,62.2
Madagascar,2015,64.5
Malawi,1955,36.3
Malawi,1960,37.2
Malawi,1965,38.4
Malawi,1970,39.5
Malawi,1975,41.8
Malawi,1980,43.8
Malawi,1985,45.4
Malawi,1990,44.5
Malawi,1995,43.4
Malawi,2000,44
Malawi,2005,45.2
Malawi,2010,52.5
Malawi,2015,61
Malaysia,1955,54.8
Malaysia,1960,57.9
Malaysia,1965,60.9
Malaysia,1970,63.3
Malaysia,1975,65.4
Malaysia,1980,67.2
Malaysia,1985,68.8
Malaysia,1990,70.1
Malaysia,1995,71.3
Malaysia,2000,72.3
Malaysia,2005,73.3
Malaysia,2010,73.8
Malaysia,2015,74.5
Maldives,1955,34.5
Maldives,1960,36.1
Maldives,1965,38.9
Maldives,1970,42.4
Maldives,1975,46.1
Maldives,1980,50.6
Maldives,1985,55.4
Maldives,1990,59.3
Maldives,1995,63.6
Maldives,2000,67.6
Maldives,2005,72.1
Maldives,2010,75.7
Maldives,2015,76.4
Mali,1955,27
Mali,1960,28
Mali,1965,28.6
Mali,1970,30.8
Mali,1975,34.2
Mali,1980,37.7
Mali,1985,41.6
Mali,1990,45.2
Mali,1995,47.3
Mali,2000,48
Mali,2005,50.3
Mali,2010,54.9
Mali,2015,57.2
Malta,1955,66.1
Malta,1960,67.8
Malta,1965,69.3
Malta,1970,70.7
Malta,1975,72
Malta,1980,73.2
Malta,1985,74.4
Malta,1990,75.5
Malta,1995,76.5
Malta,2000,77.5
Malta,2005,78.5
Malta,2010,79.5
Malta,2015,80.3
Martinique,1955,55.6
Martinique,1960,58.9
Martinique,1965,61.9
Martinique,1970,64.7
Martinique,1975,67.3
Martinique,1980,69.7
Martinique,1985,71.9
Martinique,1990,73.9
Martinique,1995,75.7
Martinique,2000,77.4
Martinique,2005,78.9
Martinique,2010,80.1
Martinique,2015,81.2
Mauritania,1955,38.6
Mauritania,1960,41.7
Mauritania,1965,45.2
Mauritania,1970,47.9
Mauritania,1975,50.3
Mauritania,1980,52.7
Mauritania,1985,55.8
Mauritania,1990,57.8
Mauritania,1995,58.9
Mauritania,2000,59.9
Mauritania,2005,60.3
Mauritania,2010,61.3
Mauritania,2015,62.8
Mauritius,1955,50.2
Mauritius,1960,55.8
Mauritius,1965,61.2
Mauritius,1970,63
Mauritius,1975,63.5
Mauritius,1980,65.7
Mauritius,1985,68.1
Mauritius,1990,68.5
Mauritius,1995,70.3
Mauritius,2000,70.4
Mauritius,2005,72.1
Mauritius,2010,72.8
Mauritius,2015,74.1
Mayotte,1955,47.3
Mayotte,1960,52.8
Mayotte,1965,57.1
Mayotte,1970,60.7
Mayotte,1975,63.9
Mayotte,1980,66.6
Mayotte,1985,69
Mayotte,1990,71.1
Mayotte,1995,73.1
Mayotte,2000,74.9
Mayotte,2005,76.5
Mayotte,2010,78
Mayotte,2015,79.3
Melanesia,1955,37.3
Melanesia,1960,40.1
Melanesia,1965,43
Melanesia,1970,47
Melanesia,1975,50.2
Melanesia,1980,53.2
Melanesia,1985,56.3
Melanesia,1990,56.7
Melanesia,1995,58.3
Melanesia,2000,59.8
Melanesia,2005,61.4
Melanesia,2010,63.1
Melanesia,2015,64
Mexico,1955,50.7
Mexico,1960,55.3
Mexico,1965,58.5
Mexico,1970,60.3
Mexico,1975,62.6
Mexico,1980,65.3
Mexico,1985,67.7
Mexico,1990,69.8
Mexico,1995,71.8
Mexico,2000,73.7
Mexico,2005,74.9
Mexico,2010,75.7
Mexico,2015,76.5
Micronesia (country),1955,53.5
Micronesia (country),1960,55.4
Micronesia (country),1965,57.7
Micronesia (country),1970,59.8
Micronesia (country),1975,61.9
Micronesia (country),1980,63.5
Micronesia (country),1985,64.6
Micronesia (country),1990,66
Micronesia (country),1995,67.5
Micronesia (country),2000,69.4
Micronesia (country),2005,70.9
Micronesia (country),2010,71.9
Micronesia (country),2015,72.8
Middle Africa,1955,36.7
Middle Africa,1960,38.4
Middle Africa,1965,40.1
Middle Africa,1970,41.9
Middle Africa,1975,44.1
Middle Africa,1980,45.6
Middle Africa,1985,47.1
Middle Africa,1990,48.1
Middle Africa,1995,48.8
Middle Africa,2000,48.5
Middle Africa,2005,50.4
Middle Africa,2010,53.1
Middle Africa,2015,55.6
Middle-income countries,1955,42.4
Middle-income countries,1960,44.7
Middle-income countries,1965,46.8
Middle-income countries,1970,52.5
Middle-income countries,1975,55.9
Middle-income countries,1980,58.7
Middle-income countries,1985,60.6
Middle-income countries,1990,62.4
Middle-income countries,1995,63.7
Middle-income countries,2000,64.9
Middle-income countries,2005,66.4
Middle-income countries,2010,68
Middle-income countries,2015,69.5
Moldova,1955,59
Moldova,1960,61.1
Moldova,1965,62.9
Moldova,1970,64.6
Moldova,1975,65.2
Moldova,1980,65.2
Moldova,1985,65.1
Moldova,1990,67.5
Moldova,1995,67.3
Moldova,2000,66.6
Moldova,2005,67.6
Moldova,2010,68.3
Moldova,2015,71.3
Mongolia,1955,43.2
Mongolia,1960,46.1
Mongolia,1965,50.7
Mongolia,1970,53.9
Mongolia,1975,56.4
Mongolia,1980,56.8
Mongolia,1985,57.3
Mongolia,1990,59.6
Mongolia,1995,60.8
Mongolia,2000,61.8
Mongolia,2005,64.1
Mongolia,2010,66.1
Mongolia,2015,68.9
Montenegro,1955,59.8
Montenegro,1960,62.1
Montenegro,1965,65.6
Montenegro,1970,68.3
Montenegro,1975,71.3
Montenegro,1980,72.5
Montenegro,1985,73.6
Montenegro,1990,74.2
Montenegro,1995,74.7
Montenegro,2000,73.4
Montenegro,2005,73.4
Montenegro,2010,74.2
Montenegro,2015,76
More developed regions,1955,64.7
More developed regions,1960,67.7
More developed regions,1965,69.4
More developed regions,1970,70.3
More developed regions,1975,71.1
More developed regions,1980,72
More developed regions,1985,72.8
More developed regions,1990,73.9
More developed regions,1995,74.1
More developed regions,2000,74.7
More developed regions,2005,75.6
More developed regions,2010,76.9
More developed regions,2015,78.3
Morocco,1955,45.7
Morocco,1960,47.4
Morocco,1965,49.5
Morocco,1970,51.6
Morocco,1975,53.5
Morocco,1980,55.7
Morocco,1985,59.6
Morocco,1990,63.2
Morocco,1995,66
Morocco,2000,67.6
Morocco,2005,69.5
Morocco,2010,71.5
Morocco,2015,73.6
Mozambique,1955,31.3
Mozambique,1960,33.8
Mozambique,1965,36.2
Mozambique,1970,38.1
Mozambique,1975,40.4
Mozambique,1980,42.2
Mozambique,1985,41.5
Mozambique,1990,42.5
Mozambique,1995,44.3
Mozambique,2000,47.7
Mozambique,2005,49.6
Mozambique,2010,51.9
Mozambique,2015,54.6
Myanmar,1955,36.1
Myanmar,1960,41.2
Myanmar,1965,44.2
Myanmar,1970,49.6
Myanmar,1975,51.9
Myanmar,1980,54
Myanmar,1985,55.9
Myanmar,1990,57.8
Myanmar,1995,59.6
Myanmar,2000,61.3
Myanmar,2005,62.9
Myanmar,2010,64.3
Myanmar,2015,65.6
Namibia,1955,41.7
Namibia,1960,45.3
Namibia,1965,48.4
Namibia,1970,51.2
Namibia,1975,53.9
Namibia,1980,56.5
Namibia,1985,58.9
Namibia,1990,60.7
Namibia,1995,61.2
Namibia,2000,58.4
Namibia,2005,53.4
Namibia,2010,60.1
Namibia,2015,64.3
Nepal,1955,34
Nepal,1960,34.6
Nepal,1965,36.2
Nepal,1970,39.1
Nepal,1975,42
Nepal,1980,44.9
Nepal,1985,48.3
Nepal,1990,52.1
Nepal,1995,56.4
Nepal,2000,60.5
Nepal,2005,64.1
Nepal,2010,66.8
Nepal,2015,69
Netherlands,1955,71.9
Netherlands,1960,72.9
Netherlands,1965,73.5
Netherlands,1970,73.6
Netherlands,1975,74.1
Netherlands,1980,75.2
Netherlands,1985,76.1
Netherlands,1990,76.7
Netherlands,1995,77.3
Netherlands,2000,77.8
Netherlands,2005,78.7
Netherlands,2010,80.2
Netherlands,2015,81.3
New Caledonia,1955,50.7
New Caledonia,1960,54.6
New Caledonia,1965,58
New Caledonia,1970,61
New Caledonia,1975,63.7
New Caledonia,1980,66
New Caledonia,1985,68.1
New Caledonia,1990,69.9
New Caledonia,1995,71.5
New Caledonia,2000,72.8
New Caledonia,2005,74.1
New Caledonia,2010,75.2
New Caledonia,2015,76.2
New Zealand,1955,69.7
New Zealand,1960,70.6
New Zealand,1965,71.2
New Zealand,1970,71.3
New Zealand,1975,71.7
New Zealand,1980,72.6
New Zealand,1985,73.7
New Zealand,1990,74.3
New Zealand,1995,76.3
New Zealand,2000,77.4
New Zealand,2005,79
New Zealand,2010,80.2
New Zealand,2015,81.6
Nicaragua,1955,42.3
Nicaragua,1960,45.4
Nicaragua,1965,48.7
Nicaragua,1970,52
Nicaragua,1975,55.3
Nicaragua,1980,57.6
Nicaragua,1985,59.5
Nicaragua,1990,62.2
Nicaragua,1995,66.1
Nicaragua,2000,68.5
Nicaragua,2005,70.9
Nicaragua,2010,72.8
Nicaragua,2015,74.5
Niger,1955,35
Niger,1960,35.3
Niger,1965,35.7
Niger,1970,36
Niger,1975,36.8
Niger,1980,38.2
Niger,1985,40.8
Niger,1990,42.7
Niger,1995,45.5
Niger,2000,48.9
Niger,2005,52.4
Niger,2010,55.6
Niger,2015,60.7
Nigeria,1955,34
Nigeria,1960,36
Nigeria,1965,38.3
Nigeria,1970,40.2
Nigeria,1975,42.2
Nigeria,1980,44.5
Nigeria,1985,46.2
Nigeria,1990,46.2
Nigeria,1995,46.1
Nigeria,2000,46.3
Nigeria,2005,47.3
Nigeria,2010,50.2
Nigeria,2015,52.3
North Korea,1955,37.6
North Korea,1960,49.9
North Korea,1965,51.6
North Korea,1970,57.2
North Korea,1975,61.7
North Korea,1980,65
North Korea,1985,67.1
North Korea,1990,68.6
North Korea,1995,70
North Korea,2000,63.5
North Korea,2005,68.1
North Korea,2010,68.4
North Korea,2015,69.9
Northern Africa,1955,42.3
Northern Africa,1960,45.8
Northern Africa,1965,48.6
Northern Africa,1970,51.2
Northern Africa,1975,53.2
Northern Africa,1980,56.3
Northern Africa,1985,59.8
Northern Africa,1990,62.9
Northern Africa,1995,64.6
Northern Africa,2000,66.2
Northern Africa,2005,67.6
Northern Africa,2010,69
Northern Africa,2015,70.5
Northern America,1955,68.6
Northern America,1960,69.7
Northern America,1965,70.2
Northern America,1970,70.5
Northern America,1975,71.4
Northern America,1980,73.2
Northern America,1985,74.4
Northern America,1990,75
Northern America,1995,75.8
Northern America,2000,76.6
Northern America,2005,77.4
Northern America,2010,78.4
Northern America,2015,79.2
Northern Europe,1955,68.8
Northern Europe,1960,70.4
Northern Europe,1965,71.1
Northern Europe,1970,71.8
Northern Europe,1975,72.3
Northern Europe,1980,73
Northern Europe,1985,74
Northern Europe,1990,74.8
Northern Europe,1995,75.6
Northern Europe,2000,76.6
Northern Europe,2005,77.9
Northern Europe,2010,79.1
Northern Europe,2015,80.1
Norway,1955,72.7
Norway,1960,73.5
Norway,1965,73.5
Norway,1970,73.9
Norway,1975,74.4
Norway,1980,75.2
Norway,1985,75.9
Norway,1990,76
Norway,1995,77.1
Norway,2000,78.2
Norway,2005,79.2
Norway,2010,80.6
Norway,2015,81.3
Oceania,1955,60.4
Oceania,1960,62.4
Oceania,1965,63.9
Oceania,1970,65
Oceania,1975,66.4
Oceania,1980,68.2
Oceania,1985,70.2
Oceania,1990,70.9
Oceania,1995,72.5
Oceania,2000,73.6
Oceania,2005,75.1
Oceania,2010,76.6
Oceania,2015,77.5
Oman,1955,36.1
Oman,1960,40.5
Oman,1965,44.7
Oman,1970,48.6
Oman,1975,52.3
Oman,1980,57.4
Oman,1985,61.9
Oman,1990,65.6
Oman,1995,68.5
Oman,2000,70.9
Oman,2005,73.2
Oman,2010,75.1
Oman,2015,76.4
Pakistan,1955,37.1
Pakistan,1960,42.7
Pakistan,1965,47.5
Pakistan,1970,51.3
Pakistan,1975,54.2
Pakistan,1980,56.1
Pakistan,1985,57.8
Pakistan,1990,59.3
Pakistan,1995,60.8
Pakistan,2000,62.1
Pakistan,2005,63.4
Pakistan,2010,64.4
Pakistan,2015,65.9
Palestine,1955,46.6
Palestine,1960,48.2
Palestine,1965,50.8
Palestine,1970,54.1
Palestine,1975,57.4
Palestine,1980,61
Palestine,1985,64.4
Palestine,1990,67.1
Palestine,1995,68.9
Palestine,2000,70.3
Palestine,2005,71.1
Palestine,2010,71.8
Palestine,2015,72.6
Panama,1955,56.8
Panama,1960,59.5
Panama,1965,62.1
Panama,1970,64.4
Panama,1975,66.7
Panama,1980,69.2
Panama,1985,71
Panama,1990,72.4
Panama,1995,73.5
Panama,2000,74.6
Panama,2005,75.5
Panama,2010,76.4
Panama,2015,77.3
Papua New Guinea,1955,34.7
Papua New Guinea,1960,37.2
Papua New Guinea,1965,39.9
Papua New Guinea,1970,44.2
Papua New Guinea,1975,47.7
Papua New Guinea,1980,50.8
Papua New Guinea,1985,54.3
Papua New Guinea,1990,54.8
Papua New Guinea,1995,56.5
Papua New Guinea,2000,58
Papua New Guinea,2005,59.6
Papua New Guinea,2010,61.5
Papua New Guinea,2015,62.3
Paraguay,1955,62.7
Paraguay,1960,63.3
Paraguay,1965,64.5
Paraguay,1970,65
Paraguay,1975,65.9
Paraguay,1980,66.5
Paraguay,1985,67.1
Paraguay,1990,67.6
Paraguay,1995,68.5
Paraguay,2000,69.4
Paraguay,2005,70.8
Paraguay,2010,71.8
Paraguay,2015,72.7
Peru,1955,43.9
Peru,1960,46.3
Peru,1965,49.1
Peru,1970,51.5
Peru,1975,55.5
Peru,1980,58.5
Peru,1985,61.5
Peru,1990,64.3
Peru,1995,66.8
Peru,2000,69.3
Peru,2005,71.6
Peru,2010,73.1
Peru,2015,74.2
Philippines,1955,55.4
Philippines,1960,57.1
Philippines,1965,58.6
Philippines,1970,60.1
Philippines,1975,61.4
Philippines,1980,61.7
Philippines,1985,62.9
Philippines,1990,64.7
Philippines,1995,65.7
Philippines,2000,66.4
Philippines,2005,67
Philippines,2010,67.5
Philippines,2015,68
Poland,1955,61.4
Poland,1960,65.9
Poland,1965,68.3
Poland,1970,69.8
Poland,1975,70.6
Poland,1980,70.7
Poland,1985,71
Poland,1990,71
Poland,1995,71.2
Poland,2000,72.8
Poland,2005,74.5
Poland,2010,75.5
Poland,2015,77.1
Polynesia,1955,50.4
Polynesia,1960,53.9
Polynesia,1965,56.1
Polynesia,1970,58.3
Polynesia,1975,60.3
Polynesia,1980,62.3
Polynesia,1985,64.8
Polynesia,1990,66.7
Polynesia,1995,68.5
Polynesia,2000,70.1
Polynesia,2005,71.6
Polynesia,2010,73.1
Polynesia,2015,74.3
Portugal,1955,59.7
Portugal,1960,61.8
Portugal,1965,64.1
Portugal,1970,66.2
