Entity,Year,Share of agriculture in GDP at current prices (Herrendorf et al. data),Share of industry in GDP at current prices (Herrendorf et al. data),Share of services in GDP at current prices (Herrendorf et al. data),Number of people employed in agriculture  (Herrendorf et al. data),Number of people employed in industry  (Herrendorf et al. data),Number of people employed in services (Herrendorf et al. data)
Japan,1973,5.45,40.8,53.75,9104623.749,20068159.58,30367436.94
Japan,1974,5.1,39.03,55.87,8878847.626,19850682.72,30846130.71
Japan,1975,5.04,36.61,58.35,8686333.164,19169640.36,31604650
Japan,1976,4.88,36.53,58.59,8509945.567,19227868.28,32237463.78
Japan,1977,4.7,35.81,59.49,8432335.025,19145078.25,33010901.37
Japan,1978,4.31,36.23,59.46,8328518.326,19147333,33492077.34
Japan,1979,4.06,36.3,59.63,8039242.668,19264940.67,34130660.04
Japan,1980,3.43,36.06,60.51,7625991.728,19608959,34654679.2
Japan,1981,3.31,36.29,60.4,7387112.527,19675315.33,35283332.77
Japan,1982,3.21,35.8,61,7245980.583,19535444.33,35908209.84
Japan,1983,3.18,35.05,61.77,7009441.55,19704813.89,36562363.4
Japan,1984,3.14,35.74,61.11,6743482.115,19777857.43,36768650.85
Japan,1985,3.06,35.94,61,6651197.537,19861261.58,36842999.19
Japan,1986,2.9,35.35,61.75,6424279,19815019.42,37214703.22
Japan,1987,2.72,35.22,62.06,6255876.319,19648642.86,37530385.29
Japan,1988,2.56,35.73,61.71,6040229.021,20256497.31,37765116.49
Japan,1989,2.5,35.95,61.56,5846183.346,20774615.33,38046593.8
Japan,1990,2.44,36.47,61.08,5650116.988,21054788.32,38624341.1
Japan,1991,2.29,36.7,61.01,5462146.364,21602656.54,39274351.94
Japan,1992,2.21,36.28,61.51,5332166.678,21769095.26,39798119.99
Japan,1993,2.06,35.74,62.2,5034213.243,21482202.21,40491097.63
Japan,1994,2.14,34.76,63.1,4896234.806,21147425.65,40848793.06
Japan,1995,1.94,34.63,63.43,4792251.057,20680371.29,41385126.86
Japan,1996,1.98,34.35,63.67,4576648.119,20490531.83,41839546.02
Japan,1997,1.83,34.05,64.13,4413263.843,20521439.47,42438972.99
Japan,1998,1.94,33.08,64.98,4237277.523,19636495.33,42705857.18
Japan,1999,1.9,32.41,65.69,4051128.922,19127676.07,42484792.63
Japan,2000,1.81,32.22,65.98,3866799.455,18779244.2,42606536.87
Japan,2001,1.75,30.73,67.52,3697836.422,18200357.99,42861385.48
Japan,2002,1.76,30.05,68.19,3460497.75,17464319.2,42822758
Japan,2003,1.73,30.13,68.15,3433042.384,17080565.31,43022959.73
Japan,2004,1.66,30.53,67.81,3371499.921,16656791.17,43648262.28
Japan,2005,1.55,30.47,67.98,3343371.126,16448997.46,44124182.06
Japan,2006,1.51,30.24,68.25,3250386.839,16529746.92,44417304.24
Japan,2007,1.49,30.45,68.06,3250818.943,16517317.39,44670126.79
Japan,2008,1.51,29.75,68.73,3189429.376,15620365.77,44235216.65
Japan,2009,1.52,27.9,70.58,2952837.23,13726583.99,41449802.78
Japan,2010,1.54,29.58,68.88,2852172.324,13376766.81,41824336.75
Japan,2011,1.52,28.57,69.91,2785062.387,13269731.73,42150651.61
Japan,2012,,,,2684397.482,13143980.22,42178352.39
Netherlands,1807,24.4,29.19,46.41,374533,227690,267644
Netherlands,1808,21.75,31.08,47.18,,,
Netherlands,1809,26.47,27.57,45.95,,,
Netherlands,1815,25,24.26,50.74,,,
Netherlands,1816,26.6,24.54,48.86,,,
Netherlands,1817,28.88,21.34,49.78,,,
Netherlands,1818,26.86,23.6,49.54,,,
Netherlands,1819,27.02,23,49.98,,,
Netherlands,1820,25.72,25.63,48.65,,,
Netherlands,1821,21.69,28.05,50.26,,,
Netherlands,1822,19.89,29.08,51.03,,,
Netherlands,1823,20.41,29.82,49.76,,,
Netherlands,1824,19.54,28.42,52.04,,,
Netherlands,1825,21.54,27.47,51,,,
Netherlands,1826,22.27,27.79,49.94,,,
Netherlands,1827,24.09,28.93,46.98,,,
Netherlands,1828,21.61,29.76,48.63,,,
Netherlands,1829,23.11,29.38,47.51,,,
Netherlands,1830,23.81,29.63,46.55,,,
Netherlands,1831,24.93,26.56,48.51,,,
Netherlands,1832,23.14,24.7,52.16,,,
Netherlands,1833,21.65,27.6,50.75,,,
Netherlands,1834,20.19,29.49,50.33,,,
Netherlands,1835,22.17,30.66,47.17,,,
Netherlands,1836,21.41,30.41,48.18,,,
Netherlands,1837,21.97,31.5,46.52,,,
Netherlands,1838,22.23,31.3,46.47,,,
Netherlands,1839,23.88,28.57,47.55,,,
Netherlands,1840,25.02,30.08,44.9,,,
Netherlands,1841,22.07,31.88,46.05,,,
Netherlands,1842,24.66,30.18,45.16,,,
Netherlands,1843,24.59,29.24,46.17,,,
Netherlands,1844,22.39,29.06,48.56,,,
Netherlands,1845,23.11,29.96,46.93,,,
Netherlands,1846,26.19,27.82,45.99,,,
Netherlands,1847,30.92,24.12,44.96,,,
Netherlands,1848,25.48,27.87,46.65,,,
Netherlands,1849,24.35,27.19,48.46,506002,389350,360855
Netherlands,1850,24.95,26.06,48.99,,,
Netherlands,1851,26.56,24.75,48.7,,,
Netherlands,1852,26.24,24.49,49.27,,,
Netherlands,1853,28.48,24.5,47.03,,,
Netherlands,1854,31.12,23.8,45.08,,,
Netherlands,1855,30.88,22.93,46.19,,,
Netherlands,1856,31.86,21.75,46.4,,,
Netherlands,1857,28.32,24.46,47.23,,,
Netherlands,1858,26.05,24.33,49.62,,,
Netherlands,1859,27.58,22.94,49.48,536130,415480,375301
Netherlands,1860,29.13,23.42,47.45,,,
Netherlands,1861,25.67,23.83,50.5,,,
Netherlands,1862,28.6,22.35,49.05,,,
Netherlands,1863,25.46,25.07,49.48,,,
Netherlands,1864,25.6,24.05,50.35,,,
Netherlands,1865,25.9,24.54,49.57,,,
Netherlands,1866,28.05,22.76,49.18,,,
Netherlands,1867,27.3,23.74,48.96,,,
Netherlands,1868,28.88,22.28,48.84,,,
Netherlands,1869,29.93,22.49,47.58,,,
Netherlands,1870,28.91,24.02,47.07,,,
Netherlands,1871,28.01,23.98,48.01,,,
Netherlands,1872,25.99,26.95,47.05,,,
Netherlands,1873,24.19,29.68,46.13,,,
Netherlands,1874,25.94,29.18,44.87,,,
Netherlands,1875,25.56,29.21,45.23,,,
Netherlands,1876,26.44,29.23,44.32,,,
Netherlands,1877,25.6,30.83,43.57,,,
Netherlands,1878,25.48,30.05,44.46,,,
Netherlands,1879,23.15,30.32,46.53,,,
Netherlands,1880,25.83,28.8,45.37,,,
Netherlands,1881,23.42,30.99,45.59,,,
Netherlands,1882,23.64,31.78,44.58,,,
Netherlands,1883,23.65,30.47,45.89,,,
Netherlands,1884,22.8,29.96,47.25,,,
Netherlands,1885,21.84,31.05,47.11,,,
Netherlands,1886,22.16,30.62,47.22,,,
Netherlands,1887,21.18,30.99,47.82,,,
Netherlands,1888,19.56,32.81,47.63,,,
Netherlands,1889,20.84,32.06,47.11,633448,547810,553776
Netherlands,1890,20.26,30.45,49.29,,,
Netherlands,1891,19.8,30.42,49.78,,,
Netherlands,1892,20.02,29.98,50,,,
Netherlands,1893,19.31,29.05,51.64,,,
Netherlands,1894,18.51,31.89,49.61,,,
Netherlands,1895,19.19,29.55,51.26,,,
Netherlands,1896,19.2,30.81,49.98,,,
Netherlands,1897,18.42,31.67,49.91,,,
Netherlands,1898,18.95,30.92,50.14,,,
Netherlands,1899,18.47,31.54,49.99,681674,652111,665487
Netherlands,1900,18.22,31.93,49.85,,,
Netherlands,1901,19.09,31.73,49.18,,,
Netherlands,1902,19.08,31.56,49.35,,,
Netherlands,1903,17.94,32.7,49.36,,,
Netherlands,1904,18,32.65,49.35,,,
Netherlands,1905,17.75,32.77,49.48,,,
Netherlands,1906,17.18,32.3,50.53,,,
Netherlands,1907,17.11,32.28,50.61,,,
Netherlands,1908,17.29,32.22,50.48,,,
Netherlands,1909,17.92,31.59,50.49,699689,789056,814840
Netherlands,1910,18.54,31.33,50.13,,,
Netherlands,1911,18.33,30.94,50.72,,,
Netherlands,1912,16.71,31.46,51.83,,,
Netherlands,1913,15.23,32.65,52.12,,,
Netherlands,1920,,,,641000,968000,1109000
Netherlands,1930,,,,656000,1159000,1496000
Netherlands,1947,,,,747000,1425000,1832000
Netherlands,1949,,,,637150.1541,1451712.032,2198909.579
Netherlands,1960,,,,479205.6808,1763397.719,2589058.469
Netherlands,1961,,,,475982.3242,1809842.133,2638989.376
Netherlands,1962,,,,453418.828,1843221.566,2686545.002
Netherlands,1963,,,,439450.9494,1888475.236,2720293.382
Netherlands,1964,,,,422259.7143,1912890.652,2767505.745
Netherlands,1965,,,,397547.3137,1908489.362,2833550.524
Netherlands,1966,,,,386802.7917,1852134.646,2889533.83
Netherlands,1967,,,,358867.0345,1863093.175,2964734.024
Netherlands,1968,,,,334154.6339,1873003.104,3075195.646
Netherlands,1969,,,,320186.7553,1882296.421,3133449.007
Netherlands,1970,6.3,37.5,56.2,314265.6206,1855014.647,3214411.029
Netherlands,1971,5.92,37.2,56.88,311506.9316,1792186.986,3211291.394
Netherlands,1972,5.88,36.87,57.24,307090.6187,1778917.627,3251189.698
Netherlands,1973,5.81,36.87,57.32,304864.3572,1754928.878,3315723.491
Netherlands,1974,5.1,37.05,57.85,302065.2152,1707602.23,3332588.072
Netherlands,1975,5.32,35.49,59.19,300760.282,1671105.8,3384838.527
Netherlands,1976,5.32,35.72,58.96,296322.1576,1657468.751,3420390.805
Netherlands,1977,4.96,35.17,59.87,292738.3572,1654215.919,3497971.726
Netherlands,1978,4.76,34.12,61.12,288440.9417,1663499.242,3598035.433
Netherlands,1979,4.39,33.92,61.7,288319.713,1646916.737,3712577.023
Netherlands,1980,4.3,34.37,61.33,284889.2852,1573453.107,3746567.371
Netherlands,1981,4.86,34.42,60.72,285604.4921,1492058.955,3723816.938
Netherlands,1982,5.01,33.92,61.07,288611.5464,1420996.54,3752983.677
Netherlands,1983,4.84,33.96,61.19,291394.5601,1406587.925,3877760.969
Netherlands,1984,4.83,35.02,60.15,292195.5953,1420798.407,4003505.086
Netherlands,1985,4.77,35.43,59.8,290888.0028,1454696.588,4155549.658
Netherlands,1986,4.95,33.01,62.04,290267.4429,1472044.196,4267666.264
Netherlands,1987,4.8,31.18,64.02,291254.7471,1484307.717,4356657.271
Netherlands,1988,4.77,31.67,63.56,292242.0513,1510742.731,4490197.49
Netherlands,1989,5.16,31.67,63.17,287305.5302,1542152.896,4648707.608
Netherlands,1990,5.02,31.7,63.28,289280.1386,1563645.38,4747674.795
Netherlands,1991,4.9,31.33,63.77,295203.964,1543087.161,4853268.044
Netherlands,1992,4.62,30.33,65.05,292242.0513,1507720.366,4915448.142
Netherlands,1993,4.09,29.95,65.96,284343.6175,1469862.886,4998085.586
Netherlands,1994,4.17,29.78,66.05,279484.4328,1476964.932,5135484.198
Netherlands,1995,4.09,30.07,65.83,283078,1466584,5280120
Netherlands,1996,3.9,29.69,66.41,286718,1456623,5442308
Netherlands,1997,4.12,28.95,66.93,291302,1487251,5628745
Netherlands,1998,3.56,28.39,68.05,279191,1504252,5812298
Netherlands,1999,3.2,27.62,69.18,280138,1521344,5994555
Netherlands,2000,3.17,28.3,68.53,279912,1541602,6149985
Netherlands,2001,3.05,27.76,69.19,283035,1545029,6305225
Netherlands,2002,2.74,26.46,70.79,282997,1519556,6363451
Netherlands,2003,2.75,25.92,71.33,278378,1466845,6380017
Netherlands,2004,2.53,26.21,71.26,271010,1430770,6351326
Netherlands,2005,2.46,26.35,71.2,265968,1410710,6414221
Netherlands,2006,2.61,26.97,70.41,261595,1416144,6551461
Netherlands,2007,2.49,27.24,70.27,258834,1426124,6753732
Netherlands,2008,2.16,28.21,69.63,253760.8679,1455493.556,6854724.949
Netherlands,2009,1.99,24.92,73.09,255746.6579,1433222.44,6826500.418
Netherlands,2010,2.25,24.74,73.01,254078.5679,1395651.049,6870999.528
Netherlands,2011,2.05,25.97,71.98,252394.4413,1409108.2,6990700.835
South Korea,1911,67.3,7.19,25.51,,,
South Korea,1912,68.22,6.67,25.11,,,
South Korea,1913,69.05,6.68,24.27,,,
South Korea,1914,66.1,7.96,25.94,,,
South Korea,1915,61.88,9.68,28.44,,,
South Korea,1916,63.33,9.41,27.27,,,
South Korea,1917,65.29,8.95,25.77,,,
South Korea,1918,66.79,9.15,24.07,,,
South Korea,1919,62.34,10.07,27.59,,,
South Korea,1920,64.36,8.76,26.88,,,
South Korea,1921,57.55,11.26,31.18,,,
South Korea,1922,59.37,10.7,29.93,,,
South Korea,1923,58.55,10.99,30.46,,,
South Korea,1924,59.6,10.63,29.77,,,
South Korea,1925,60.28,10.46,29.26,,,
South Korea,1926,58,11.41,30.59,,,
South Korea,1927,56.93,11.82,31.25,,,
South Korea,1928,52.88,13.14,33.98,,,
South Korea,1929,51.4,13.46,35.14,,,
South Korea,1930,46.6,16.08,37.33,,,
South Korea,1931,46.9,16.95,36.15,,,
South Korea,1932,49.2,16.45,34.34,,,
South Korea,1933,48.49,17.51,34,,,
South Korea,1934,49.04,17.2,33.76,,,
South Korea,1935,49.35,18.19,32.46,,,
South Korea,1936,43.92,22.41,33.67,,,
South Korea,1937,46.41,22.77,30.82,,,
South Korea,1938,41.9,26.25,31.86,,,
South Korea,1939,38.88,28.09,33.03,,,
South Korea,1940,40.85,27.54,31.61,,,
South Korea,1953,46.54,12.67,40.8,,,
South Korea,1954,39.66,15.55,44.79,,,
South Korea,1955,44.89,16.01,39.09,6436000,628000,908000
South Korea,1956,47.07,15.95,36.98,,,
South Korea,1957,44.08,16.6,39.31,,,
South Korea,1958,39.78,17.98,42.24,,,
South Korea,1959,33.31,19.65,47.04,,,
South Korea,1960,35.12,19.5,45.38,,,
South Korea,1961,38.42,19.21,42.37,,,
South Korea,1962,35.05,20.8,44.15,,,
South Korea,1963,41.41,18.52,40.07,4609264.821,865298.1295,1974386.964
South Korea,1964,45.75,19.64,34.61,4597829.804,878849.9816,2111036.647
South Korea,1965,38.67,22.33,39.01,4583536.032,1093331.247,2320030.28
South Korea,1966,35.33,22.6,42.07,4646428.627,1128714.458,2436584.421
South Korea,1967,31.28,23.05,45.68,4584488.95,1382525.376,2544095.569
South Korea,1968,27.99,24.68,47.33,4574959.77,1607609.305,2769165.635
South Korea,1969,28.5,25.64,45.85,4597829.804,1693415.605,2919882.197
South Korea,1970,27.75,26.54,45.72,4617841.084,1668836.778,3128273.67
South Korea,1971,28.1,25.72,46.18,4646428.627,1789329.027,3430308.221
South Korea,1972,27.58,26.27,46.15,5094300.131,1908622.264,3337388.568
South Korea,1973,25.87,29.28,44.85,5306800.866,2214194.163,3393950.546
South Korea,1974,25.73,30.38,43.9,5321094.637,2537596.813,3506563.111
South Korea,1975,25.9,30.99,43.11,5169580.66,2803819.817,3646150.573
South Korea,1976,24.64,32.21,43.15,5337294.245,3305696.669,3700447.434
South Korea,1977,23.66,33.22,43.12,5150522.298,3559311.794,4017443.578
South Korea,1978,22.04,35.57,42.39,4937068.645,3981189.187,4386565.096
South Korea,1979,20.6,37.08,42.32,4656910.726,4111436.673,4727062.659
South Korea,1980,16.01,37.82,46.17,4438692.482,3972601.421,5136542.89
South Korea,1981,16.74,37,46.26,4574959.77,3893384.988,5391240.236
South Korea,1982,15.65,36.94,47.4,4394858.25,4010190.553,5824897.766
South Korea,1983,14.39,38.31,47.31,4111841.576,4231314.753,6028579.842
South Korea,1984,13.6,38.71,47.69,3729721.42,4435589.845,6151910.338
South Korea,1985,13.53,37.87,48.6,3557243.245,4610823.619,6701050.006
South Korea,1986,12.05,38.81,49.14,3489586.06,4944642.573,6977885.494
South Korea,1987,10.94,39.79,49.27,3411446.777,5572524.419,7291016.177
South Korea,1988,10.95,40.62,48.43,3319013.722,5888602.533,7597242.336
South Korea,1989,10.26,40.26,49.48,3258979.882,6137838.774,8067691.502
South Korea,1990,9.31,41.4,49.29,3068446.154,6360225.629,8574472.616
South Korea,1991,8.39,42.84,48.77,2897818.935,6674092.44,9038037.675
South Korea,1992,8.17,41.86,49.97,2841891.124,6612889.154,9493572.515
South Korea,1993,7.43,42.25,50.32,2700649.704,6444604.622,10115295.35
South Korea,1994,7.29,42.11,50.6,2588794.083,6561634.432,10701766.82
South Korea,1995,6.95,42.64,50.41,2403000,6757000,11238000
South Korea,1996,6.58,42.09,51.34,2323000,6731000,11783000
South Korea,1997,6.02,41.81,52.17,2285000,6590000,12326000
South Korea,1998,5.61,40.98,53.41,2397000,5517000,12004000
South Korea,1999,5.76,40.66,53.58,2302000,5521000,12454000
South Korea,2000,5.24,40.6,54.15,2243000,5890000,13003000
South Korea,2001,4.97,39.09,55.93,2148000,5870000,13539000
South Korea,2002,4.6,39.31,56.09,2069000,6005000,14078000
South Korea,2003,4.29,39.76,55.95,1950000,6038000,14129000
South Korea,2004,4.28,41.42,54.3,1825000,6126000,14583000
South Korea,2005,3.84,41.21,54.95,1815000,6065000,14950000
South Korea,2006,3.65,40.68,55.66,1785000,6020000,15328000
South Korea,2007,3.34,40.87,55.79,1726000,5987000,15705000
South Korea,2008,3.12,41.28,55.6,1736531.575,6023531.021,15800827.57
South Korea,2009,3.01,40.79,56.2,1731302.611,6005393.241,15753248.85
South Korea,2010,2.86,42.85,54.29,1645378.237,6245267.311,15938485.22
South Korea,2011,2.92,43.35,53.73,,,
Spain,1850,37.41,17.19,45.4,,,
Spain,1851,36.96,18.23,44.81,,,
Spain,1852,35.28,19.53,45.19,,,
Spain,1853,44.47,15.78,39.76,,,
Spain,1854,43.41,16.05,40.54,,,
Spain,1855,48.52,15.12,36.36,,,
Spain,1856,41.67,18.55,39.78,,,
Spain,1857,38.85,19.7,41.45,,,
Spain,1858,38.08,20.86,41.06,,,
Spain,1859,39.32,20.85,39.83,,,
Spain,1860,39.46,20.44,40.1,5266000,1190000,1009000
Spain,1861,39.64,20.65,39.7,,,
Spain,1862,39.09,21.42,39.48,,,
Spain,1863,39.17,21.94,38.88,,,
Spain,1864,37.58,22.16,40.26,,,
Spain,1865,38.32,21.55,40.14,,,
Spain,1866,39.64,20.82,39.54,,,
Spain,1867,42.16,20.02,37.82,,,
Spain,1868,35.7,21.41,42.89,,,
Spain,1869,33.64,22.89,43.47,,,
Spain,1870,38.27,20.9,40.83,,,
Spain,1871,39.04,21.26,39.71,,,
Spain,1872,42.26,20.79,36.95,,,
Spain,1873,40.3,22.47,37.23,,,
Spain,1874,38.65,20.88,40.47,,,
Spain,1875,36.82,21.76,41.43,,,
Spain,1876,40.34,21.09,38.57,,,
Spain,1877,42.38,21.8,35.82,5045000,898000,1244000
Spain,1878,42.44,21.29,36.27,,,
Spain,1879,40.68,22.65,36.67,,,
Spain,1880,39.38,24.72,35.89,,,
Spain,1881,38.53,26.37,35.1,,,
Spain,1882,38.74,26.59,34.66,,,
Spain,1883,38.11,26.96,34.92,,,
Spain,1884,38.59,25.55,35.87,,,
Spain,1885,38.25,25.89,35.85,,,
Spain,1886,40.01,24.69,35.3,,,
Spain,1887,35.84,26.03,38.14,4854000,1116000,1026000
Spain,1888,37.4,26.69,35.92,,,
Spain,1889,34.31,26.49,39.2,,,
Spain,1890,33.61,27.99,38.4,,,
Spain,1891,33.25,29,37.74,,,
Spain,1892,33.37,28.08,38.55,,,
Spain,1893,31.07,29.19,39.74,,,
Spain,1894,31.59,28.53,39.89,,,
Spain,1895,32.59,28.33,39.07,,,
Spain,1896,30.54,28.25,41.21,,,
Spain,1897,35.3,25.83,38.87,,,
Spain,1898,32.76,27.47,39.77,,,
Spain,1899,30.4,29.1,40.5,,,
Spain,1900,29.89,30.28,39.83,5139000,1027000,1377000
Spain,1901,33.21,29.03,37.76,,,
Spain,1902,31.29,28.31,40.4,,,
Spain,1903,31.95,28.91,39.14,,,
Spain,1904,31.72,29.53,38.75,,,
Spain,1905,32.09,28.16,39.75,,,
Spain,1906,31.64,28.89,39.46,,,
Spain,1907,33.01,30.18,36.81,,,
Spain,1908,30.39,30.07,39.54,,,
Spain,1909,32.67,28.47,38.86,,,
Spain,1910,27.85,30.73,41.42,4220000,1034000,1078000
Spain,1911,31.14,29.1,39.76,,,
Spain,1912,26.91,31.83,41.26,,,
Spain,1913,29.08,30.51,40.41,,,
Spain,1914,27.71,30.01,42.27,,,
Spain,1915,33.02,28.63,38.35,,,
Spain,1916,31.98,30.7,37.32,,,
Spain,1917,29.48,30.92,39.6,,,
Spain,1918,30.31,30.39,39.3,,,
Spain,1919,32.13,28.48,39.39,,,
Spain,1920,31.93,30.2,37.87,4538000,1695000,1466000
Spain,1921,28.87,30.01,41.12,,,
Spain,1922,29.44,29.44,41.11,,,
Spain,1923,25.9,31.63,42.47,,,
Spain,1924,26.48,31.79,41.73,,,
Spain,1925,27.53,30.78,41.68,,,
Spain,1926,24.52,32.55,42.93,,,
Spain,1927,28.59,32.31,39.1,,,
Spain,1928,23.67,34.17,42.16,,,
Spain,1929,26.36,32.86,40.78,,,
Spain,1930,22.78,32.25,44.97,,,
Spain,1931,24.17,28.99,46.84,,,
Spain,1932,26.62,28.11,45.27,,,
Spain,1933,22.34,29.43,48.23,,,
Spain,1934,24.57,27.27,48.16,,,
Spain,1935,23.03,27.51,49.47,,,
Spain,1940,26.8,23.26,49.94,4781000,2213000,2215000
Spain,1941,25.39,22.93,51.68,,,
Spain,1942,27.01,24.88,48.11,,,
Spain,1943,26.94,23.76,49.3,,,
Spain,1944,31.31,23.63,45.06,,,
Spain,1945,26.43,24.66,48.91,,,
Spain,1946,30.22,25.81,43.97,,,
Spain,1947,27.38,26.97,45.64,,,
Spain,1948,25,29.49,45.5,,,
Spain,1949,28.09,25.7,46.22,,,
Spain,1950,28.71,27.02,44.27,5271000,2709000,2641000
Spain,1951,28.87,30.05,41.08,,,
Spain,1952,26.7,31.04,42.26,,,
Spain,1953,25.05,33.16,41.79,,,
Spain,1954,23.83,33.52,42.65,,,
Spain,1955,23.54,34.52,41.94,,,
Spain,1956,22.55,35.22,42.23,,,
Spain,1957,22.91,35.55,41.54,,,
Spain,1958,23.34,35.95,40.71,,,
Spain,1964,,,,4177000,4234000,3640000
Spain,1970,13.13,43.03,43.84,3160771.598,4091907.765,5196341.852
Spain,1971,13.88,41.98,44.14,3058917.387,4165554.93,5297789.11
Spain,1972,12.75,43.2,44.06,2942314.398,4265160.891,5411125.4
Spain,1973,12.27,44.19,43.53,2830162.442,4369876.881,5526695.056
Spain,1974,11.33,45.45,43.22,2715208.049,4407526.084,5624104.626
Spain,1975,11.26,43.4,45.34,2604944.001,4445255.817,5722802.849
Spain,1976,10.88,42.84,46.28,2490941.67,4439675.288,5814437.719
Spain,1977,10.59,42.3,47.11,2382016.445,4436634.38,5904119.863
Spain,1978,10.97,41.48,47.55,2291891.181,4356801.065,5998867.642
Spain,1979,9.69,41.13,49.18,2205355.891,4285685.565,6094268.366
Spain,1980,8.96,40.81,50.23,2098217.244,4108311.258,6182693.254
Spain,1981,7.46,39.82,52.72,1976066.976,3841464.405,6274508.63
Spain,1982,7.64,38.68,53.69,1929406.976,3696481.697,6362516.422
Spain,1983,7.46,38.27,54.27,1920926.557,3615219.019,6410490.599
Spain,1984,8.04,37.12,54.84,1851519.781,3420629.56,6407400.707
Spain,1985,8.06,36.66,55.28,1791303.9,3305484.058,6462954.529
Spain,1986,8.74,37.49,53.77,1671728.936,3407031.64,6748817.927
Spain,1987,8.59,37.11,54.3,1633306.093,3599888.35,7161176.564
Spain,1988,8.82,37.34,53.84,1615262.23,3751373.95,7461796.65
Spain,1989,8.12,37.85,54.02,1510749.056,3957067.229,7825473.885
Spain,1990,7.79,36.98,55.23,1459757.217,4145684.35,8193025.074
Spain,1991,7.09,36.15,56.76,1322067.189,4163159.039,8478716.328
Spain,1992,6.26,33.59,60.15,1229969.469,3987515.705,8552085.674
Spain,1993,6.93,31.37,61.71,1167673.066,3722549.393,8488705.246
Spain,1994,6.9,31.15,61.95,1121119.603,3638302.158,8556340.138
Spain,1995,6.52,32.43,61.05,1070205.761,3744928.391,8754140.848
Spain,1996,7.17,31.99,60.84,1077281.855,3828885.805,8889832.34
Spain,1997,6.74,32.17,61.08,1059779.92,4056636.851,9176858.228
Spain,1998,6.27,32.22,61.5,1059384.444,4277810.413,9594880.143
Spain,1999,5.57,32.23,62.2,1032891.28,4551222.363,10033061.36
Spain,2000,5.23,32.57,62.19,1037400,4832931.373,10541268.63
Spain,2001,5.08,32.63,62.29,1040900,5021176.683,10868548.32
Spain,2002,4.82,32.53,62.64,1023100,5108891.197,11205583.8
Spain,2003,4.78,32.58,62.64,1013700,5224417.737,11639557.26
Spain,2004,4.38,32.99,62.62,999600,5376660.415,12126239.58
Spain,2005,3.9,33.73,62.37,1000800,5575659.551,12635615.45
Spain,2006,3.42,34.12,62.46,943434.3919,5718533.315,13308039.87
Spain,2007,3.52,33.16,63.32,924745.5962,5848385.594,13777066.66
Spain,2008,3.26,32.05,64.68,,,
Spain,2009,3.21,28.58,68.21,,,
Spain,2010,3.5,28.88,67.63,,,
Spain,2011,3.47,28.59,67.95,,,
Sweden,1800,40.78,14.94,44.44,,,
Sweden,1801,38.78,17.19,44.02,,,
Sweden,1802,38.6,15.65,45.75,,,
Sweden,1803,37.56,15.78,46.67,,,
Sweden,1804,39.52,12.43,48.05,,,
Sweden,1805,40.34,13.99,45.68,,,
Sweden,1806,38,14.5,47.5,,,
Sweden,1807,39.99,14.03,45.98,,,
Sweden,1808,38.74,13.07,48.18,,,
Sweden,1809,44.44,11.28,44.28,,,
Sweden,1810,44.73,10.75,44.52,,,
Sweden,1811,40.06,15.4,44.54,,,
Sweden,1812,39.79,11.79,48.42,,,
Sweden,1813,37.35,15.94,46.71,,,
Sweden,1814,40.82,13.18,46.01,,,
Sweden,1815,41.4,14.18,44.42,,,
Sweden,1816,38.96,15.41,45.63,,,
Sweden,1817,40.03,13.63,46.34,,,
Sweden,1818,35.72,18.7,45.58,,,
Sweden,1819,36.94,18.47,44.6,,,
Sweden,1820,40.56,15.96,43.48,,,
Sweden,1821,39.76,16.01,44.23,,,
Sweden,1822,39.98,14.54,45.47,,,
Sweden,1823,40.73,13.23,46.04,,,
Sweden,1824,40.44,14.8,44.76,,,
Sweden,1825,38.28,16.84,44.88,,,
Sweden,1826,37.11,16.6,46.29,,,
Sweden,1827,39.29,17.33,43.38,,,
Sweden,1828,40.64,15.98,43.38,,,
Sweden,1829,38.89,15.69,45.42,,,
Sweden,1830,40.59,14.43,44.98,,,
Sweden,1831,38.88,16.13,44.99,,,
Sweden,1832,41.09,14.83,44.08,,,
Sweden,1833,40.75,14.78,44.47,,,
Sweden,1834,40.33,14.71,44.95,,,
Sweden,1835,40.57,14.96,44.48,,,
Sweden,1836,39.09,17.39,43.52,,,
Sweden,1837,38.71,16.67,44.62,,,
Sweden,1838,38.28,17.55,44.16,,,
Sweden,1839,40.29,16.86,42.85,,,
Sweden,1840,40.59,16.43,42.98,,,
Sweden,1841,40.19,16.44,43.37,,,
Sweden,1842,41.18,14.97,43.85,,,
Sweden,1843,41.33,15.6,43.07,,,
Sweden,1844,40.97,17.03,42,,,
Sweden,1845,38.83,17.81,43.36,,,
Sweden,1846,40.04,17.2,42.76,,,
Sweden,1847,40.13,17.55,42.32,,,
Sweden,1848,41.21,15.78,43.02,,,
Sweden,1849,40.34,16.81,42.85,,,
Sweden,1850,38.52,19.06,42.42,949014.5182,176348.3966,205562.1003
Sweden,1851,37.71,19.81,42.48,941801.0892,190021.8455,200196.8363
Sweden,1852,37.79,19.7,42.51,942600.9453,188188.3733,202757.6441
Sweden,1853,36.44,19.89,43.67,952253.268,191346.4221,200279.8907
Sweden,1854,39.05,19.02,41.93,968336.5435,190294.2545,204441.4732
Sweden,1855,36.03,22,41.98,994020.18,197182.6548,201746.1339
Sweden,1856,37.38,20.49,42.12,979349.1708,207467.516,203692.7861
