Entity,Year,Violent deaths in conflicts and one-sided violence (UCDP 2019)
Somalia,2008,1751
Somalia,2009,2204
Somalia,2010,2722
Somalia,2011,2118
Somalia,2012,2989
Somalia,2013,1045
Somalia,2014,1247
Somalia,2015,1250
Somalia,2016,2065
Somalia,2017,2066
Somalia,2018,2447
South Africa,1989,284
South Africa,1990,1459
South Africa,1991,747
South Africa,1992,788
South Africa,1993,908
South Africa,1994,538
South Africa,1995,143
South Africa,1996,156
South Africa,1997,30
South Africa,1998,44
South Africa,1999,19
South Africa,2000,0
South Africa,2002,2
South Africa,2004,0
South Africa,2010,1
South Africa,2016,3
South Sudan,2011,1194
South Sudan,2012,864
South Sudan,2013,1802
South Sudan,2014,2491
South Sudan,2015,1136
South Sudan,2016,1211
South Sudan,2017,1233
South Sudan,2018,1174
Spain,1989,17
Spain,1990,19
Spain,1991,44
Spain,1992,23
Spain,1993,12
Spain,1994,11
Spain,1995,13
Spain,1996,4
Spain,1997,12
Spain,1998,7
Spain,2000,20
Spain,2001,13
Spain,2002,5
Spain,2003,3
Spain,2004,191
Spain,2008,2
Spain,2009,3
Spain,2011,1
Spain,2017,16
Sri Lanka,1989,1288
Sri Lanka,1990,4840
Sri Lanka,1991,6646
Sri Lanka,1992,4444
Sri Lanka,1993,2084
Sri Lanka,1994,712
Sri Lanka,1995,4971
Sri Lanka,1996,4097
Sri Lanka,1997,2902
Sri Lanka,1998,3830
Sri Lanka,1999,1948
Sri Lanka,2000,2569
Sri Lanka,2001,1162
Sri Lanka,2002,17
Sri Lanka,2003,33
Sri Lanka,2004,84
Sri Lanka,2005,130
Sri Lanka,2006,2173
Sri Lanka,2007,2564
Sri Lanka,2008,8453
Sri Lanka,2009,10418
Sri Lanka,2011,2
Sri Lanka,2013,5
Sri Lanka,2017,1
Sudan,1989,7515
Sudan,1990,5335
Sudan,1991,4566
Sudan,1992,4314
Sudan,1993,6042
Sudan,1994,960
Sudan,1995,1494
Sudan,1996,2735
Sudan,1997,4872
Sudan,1998,5958
Sudan,1999,2067
Sudan,2000,3537
Sudan,2001,3719
Sudan,2002,3227
Sudan,2003,5010
Sudan,2004,7346
Sudan,2005,1505
Sudan,2006,2187
Sudan,2007,1180
Sudan,2008,1241
Sudan,2009,2689
Sudan,2010,1790
Sudan,2011,2567
Sudan,2012,1525
Sudan,2013,1958
Sudan,2014,1912
Sudan,2015,2552
Sudan,2016,1975
Sudan,2017,550
Sudan,2018,455
Swaziland,1989,2
Sweden,2017,5
Tajikistan,1992,3859
Tajikistan,1993,1045
Tajikistan,1994,366
Tajikistan,1995,368
Tajikistan,1996,2797
Tajikistan,1997,97
Tajikistan,1998,600
Tajikistan,1999,4
Tajikistan,2000,46
Tajikistan,2005,1
Tajikistan,2006,8
Tajikistan,2009,17
Tajikistan,2010,98
Tajikistan,2011,28
Tajikistan,2013,3
Tajikistan,2018,4
Tanzania,1992,1
Tanzania,1996,10
Tanzania,1997,10
Tanzania,1999,0
Tanzania,2001,37
Tanzania,2007,3
Tanzania,2017,1
Tanzania,2018,1
Thailand,1989,203
Thailand,1990,20
Thailand,1991,2
Thailand,1992,0
Thailand,1993,1
Thailand,1994,1
Thailand,1995,12
Thailand,1996,1
Thailand,1997,7
Thailand,1998,12
Thailand,1999,1
Thailand,2000,8
Thailand,2001,25
Thailand,2002,23
Thailand,2003,26
Thailand,2004,310
Thailand,2005,494
Thailand,2006,541
Thailand,2007,518
Thailand,2008,328
Thailand,2009,258
Thailand,2010,218
Thailand,2011,277
Thailand,2012,244
Thailand,2013,249
Thailand,2014,100
Thailand,2015,80
Thailand,2016,69
Thailand,2017,50
Thailand,2018,61
Togo,1991,63
Togo,1992,5
Togo,1993,48
Togo,1998,9
Togo,2005,436
Trinidad and Tobago,1990,39
Tunisia,2015,63
Tunisia,2016,72
Tunisia,2017,5
Tunisia,2018,7
Turkey,1989,273
Turkey,1990,312
Turkey,1991,395
Turkey,1992,1779
Turkey,1993,2529
Turkey,1994,4076
Turkey,1995,3128
Turkey,1996,3314
Turkey,1997,2298
Turkey,1998,1946
Turkey,1999,1157
Turkey,2000,121
Turkey,2001,87
Turkey,2002,28
Turkey,2003,106
Turkey,2004,206
Turkey,2005,365
Turkey,2006,224
Turkey,2007,460
Turkey,2008,431
Turkey,2009,126
Turkey,2010,204
Turkey,2011,425
Turkey,2012,742
Turkey,2013,19
Turkey,2014,10
Turkey,2015,1059
Turkey,2016,1550
Turkey,2017,449
Turkey,2018,437
Uganda,1989,1057
Uganda,1990,809
Uganda,1991,1018
Uganda,1992,76
Uganda,1994,160
Uganda,1995,537
Uganda,1996,1768
Uganda,1997,1354
Uganda,1998,1214
Uganda,1999,1024
Uganda,2000,1238
Uganda,2001,212
Uganda,2002,1316
Uganda,2003,1629
Uganda,2004,2004
Uganda,2005,922
Uganda,2006,334
Uganda,2007,156
Uganda,2008,32
Uganda,2009,59
Uganda,2010,74
Uganda,2014,7
Uganda,2016,30
Uganda,2017,0
Uganda,2018,2
Ukraine,2014,4423
Ukraine,2015,1314
Ukraine,2016,252
Ukraine,2017,409
Ukraine,2018,234
United Arab Emirates,2010,1
United Kingdom,1989,41
United Kingdom,1990,47
United Kingdom,1991,38
United Kingdom,1992,39
United Kingdom,1993,47
United Kingdom,1994,16
United Kingdom,1996,2
United Kingdom,1997,5
United Kingdom,1998,31
United Kingdom,2000,1
United Kingdom,2001,1
United Kingdom,2002,3
United Kingdom,2003,1
United Kingdom,2004,1
United Kingdom,2005,53
United Kingdom,2006,0
United Kingdom,2009,2
United Kingdom,2011,1
United States,2001,2986
United States,2015,14
United States,2017,8
Uzbekistan,1999,50
Uzbekistan,2000,297
Uzbekistan,2004,37
Uzbekistan,2009,16
Venezuela,1989,61
Venezuela,1990,64
Venezuela,1991,30
Venezuela,1992,223
Venezuela,1993,63
Venezuela,1994,164
Venezuela,1995,28
Venezuela,1996,33
Venezuela,1997,33
Venezuela,1998,10
Venezuela,1999,26
Venezuela,2000,25
Venezuela,2001,27
Venezuela,2002,27
Venezuela,2003,25
Venezuela,2004,31
Venezuela,2005,30
Venezuela,2006,22
Venezuela,2007,2
Venezuela,2011,1
Venezuela,2013,0
Venezuela,2017,28
Yemen Arab Republic,1994,1489
Yemen Arab Republic,2003,6
Yemen Arab Republic,2004,28
Yemen Arab Republic,2008,21
Yemen Arab Republic,2009,94
Yemen Arab Republic,2010,201
Yemen Arab Republic,2011,1285
Yemen Arab Republic,2012,2345
Yemen Arab Republic,2013,582
Yemen Arab Republic,2014,2120
Yemen Arab Republic,2015,7118
Yemen Arab Republic,2016,3400
Yemen Arab Republic,2017,2722
Yemen Arab Republic,2018,4845
Zambia,1989,14
Zambia,1990,32
Zambia,1993,1
Zambia,2000,1
Zambia,2001,7
Zimbabwe,1989,18
Zimbabwe,1990,14
Zimbabwe,1995,4
Zimbabwe,1998,1
Zimbabwe,1999,1
Zimbabwe,2001,0
Zimbabwe,2003,0
Zimbabwe,2007,0
Zimbabwe,2008,253
Zimbabwe,2009,0
Zimbabwe,2011,1
Zimbabwe,2012,1
Zimbabwe,2018,4
