Entity,Year,Total population (Gapminder)
Burundi,1981,4257303
Burundi,1982,4395560
Burundi,1983,4542467
Burundi,1984,4695065
Burundi,1985,4850597
Burundi,1986,5008201
Burundi,1987,5166403
Burundi,1988,5321108
Burundi,1989,5467413
Burundi,1990,5601720
Burundi,1991,5724030
Burundi,1992,5835071
Burundi,1993,5933293
Burundi,1994,6017127
Burundi,1995,6086751
Burundi,1996,6140258
Burundi,1997,6181493
Burundi,1998,6223515
Burundi,1999,6283662
Burundi,2000,6374347
Burundi,2001,6499653
Burundi,2002,6656071
Burundi,2003,6838764
Burundi,2004,7039534
Burundi,2005,7251424
Burundi,2006,7474363
Burundi,2007,7707781
Burundi,2008,7943385
Burundi,2009,8170853
Burundi,2010,8382849
Burundi,2011,8575172
Burundi,2012,8749387
Burundi,2013,8911183
Cambodia,1800,2090000
Cambodia,1820,2090000
Cambodia,1870,2340000
Cambodia,1913,3070000
Cambodia,1950,4345800
Cambodia,1951,4457418
Cambodia,1952,4555803
Cambodia,1953,4648644
Cambodia,1954,4741920
Cambodia,1955,4839899
Cambodia,1956,4945074
Cambodia,1957,5058226
Cambodia,1958,5178625
Cambodia,1959,5304357
Cambodia,1960,5433306
Cambodia,1961,5564215
Cambodia,1962,5697598
Cambodia,1963,5836139
Cambodia,1964,5983575
Cambodia,1965,6141404
Cambodia,1966,6310320
Cambodia,1967,6485769
Cambodia,1968,6657435
Cambodia,1969,6811663
Cambodia,1970,6937996
Cambodia,1971,7039481
Cambodia,1972,7118136
Cambodia,1973,7162333
Cambodia,1974,7157572
Cambodia,1975,7097800
Cambodia,1976,6972559
Cambodia,1977,6796368
Cambodia,1978,6618684
Cambodia,1979,6506208
Cambodia,1980,6505693
Cambodia,1981,6636869
Cambodia,1982,6883519
Cambodia,1983,7211815
Cambodia,1984,7570081
Cambodia,1985,7919802
Cambodia,1986,8250479
Cambodia,1987,8571130
Cambodia,1988,8885701
Cambodia,1989,9203893
Cambodia,1990,9531928
Cambodia,1991,9868226
Cambodia,1992,10205755
Cambodia,1993,10539239
Cambodia,1994,10862069
Cambodia,1995,11169233
Cambodia,1996,11458858
Cambodia,1997,11731187
Cambodia,1998,11986128
Cambodia,1999,12224414
Cambodia,2000,12446949
Cambodia,2001,12653684
Cambodia,2002,12845222
Cambodia,2003,13024171
Cambodia,2004,13193961
Cambodia,2005,13357574
Cambodia,2006,13515884
Cambodia,2007,13669857
Cambodia,2008,13822644
Cambodia,2009,13977903
Cambodia,2010,14138255
Cambodia,2011,14305183
Cambodia,2012,14478320
Cambodia,2013,14656016
Cameroon,1800,1860054
Cameroon,1820,1860054
Cameroon,1926,2547668
Cameroon,1931,3023000
Cameroon,1936,3241694
Cameroon,1950,4466497
Cameroon,1951,4549464
Cameroon,1952,4634190
Cameroon,1953,4720787
Cameroon,1954,4809464
Cameroon,1955,4900528
Cameroon,1956,4994394
Cameroon,1957,5091573
Cameroon,1958,5192659
Cameroon,1959,5298296
Cameroon,1960,5409083
Cameroon,1961,5525481
Cameroon,1962,5647721
Cameroon,1963,5775774
Cameroon,1964,5909450
Cameroon,1965,6048706
Cameroon,1966,6193834
Cameroon,1967,6345309
Cameroon,1968,6503500
Cameroon,1969,6668834
Cameroon,1970,6841763
Cameroon,1971,7022124
Cameroon,1972,7210272
Cameroon,1973,7407756
Cameroon,1974,7616558
Cameroon,1975,7837926
Cameroon,1976,8072879
Cameroon,1977,8320635
Cameroon,1978,8578425
Cameroon,1979,8842355
Cameroon,1980,9109727
Cameroon,1981,9379109
Cameroon,1982,9651552
Cameroon,1983,9929831
Cameroon,1984,10218016
Cameroon,1985,10518855
Cameroon,1986,10832919
Cameroon,1987,11158600
Cameroon,1988,11493770
Cameroon,1989,11835344
Cameroon,1990,12180819
Cameroon,1991,12529904
Cameroon,1992,12882506
Cameroon,1993,13236573
Cameroon,1994,13589699
Cameroon,1995,13940337
Cameroon,1996,14287475
Cameroon,1997,14631908
Cameroon,1998,14976200
Cameroon,1999,15324051
Cameroon,2000,15678269
Cameroon,2001,16039737
Cameroon,2002,16408085
Cameroon,2003,16783366
Cameroon,2004,17165267
Cameroon,2005,17553589
Cameroon,2006,17948395
Cameroon,2007,18350022
Cameroon,2008,18758778
Cameroon,2009,19175028
Cameroon,2010,19598889
Cameroon,2011,20030362
Cameroon,2012,20468943
Cameroon,2013,20913595
Canada,1700,200000
Canada,1800,645526
Canada,1820,816000
Canada,1830,1169000
Canada,1840,1697000
Canada,1850,2485000
Canada,1860,3369000
Canada,1870,3781000
Canada,1871,3801000
Canada,1872,3870000
Canada,1873,3943000
Canada,1874,4012000
Canada,1875,4071000
Canada,1876,4128000
Canada,1877,4184000
Canada,1878,4244000
Canada,1879,4312000
Canada,1880,4384000
Canada,1881,4451000
Canada,1882,4503000
Canada,1883,4560000
Canada,1884,4617000
Canada,1885,4666000
Canada,1886,4711000
Canada,1887,4760000
Canada,1888,4813000
Canada,1889,4865000
Canada,1890,4918000
Canada,1891,4972000
Canada,1892,5022000
Canada,1893,5072000
Canada,1894,5121000
Canada,1895,5169000
Canada,1896,5218000
Canada,1897,5269000
Canada,1898,5325000
Canada,1899,5383000
Canada,1900,5457000
Canada,1901,5536000
Canada,1902,5650000
Canada,1903,5813000
Canada,1904,5994000
Canada,1905,6166000
Canada,1906,6282000
Canada,1907,6596000
Canada,1908,6813000
Canada,1909,6993000
Canada,1910,7188000
Canada,1911,7410000
Canada,1912,7602000
Canada,1913,7852000
Canada,1914,8093000
Canada,1915,8191000
Canada,1916,8214000
Canada,1917,8277000
Canada,1918,8374000
Canada,1919,8548000
Canada,1920,8798000
Canada,1921,9028000
Canada,1922,9159000
Canada,1923,9256000
Canada,1924,9394000
Canada,1925,9549000
Canada,1926,9713000
Canada,1927,9905000
Canada,1928,10107000
Canada,1929,10305000
Canada,1930,10488000
Canada,1931,10657000
Canada,1932,10794000
Canada,1933,10919000
Canada,1934,11030000
Canada,1935,11136000
Canada,1936,11243000
Canada,1937,11341000
Canada,1938,11452000
Canada,1939,11570000
Canada,1940,11688000
Canada,1941,11818000
Canada,1942,11969000
Canada,1943,12115000
Canada,1944,12268000
Canada,1945,12404000
Canada,1946,12634000
Canada,1947,12901000
Canada,1948,13180000
Canada,1949,13469000
Canada,1950,13736997
Canada,1951,14132558
Canada,1952,14518772
Canada,1953,14909614
Canada,1954,15314040
Canada,1955,15735988
Canada,1956,16174093
Canada,1957,16621974
Canada,1958,17069068
Canada,1959,17502043
Canada,1960,17909009
Canada,1961,18284009
Canada,1962,18630957
Canada,1963,18965320
Canada,1964,19309343
Canada,1965,19678005
Canada,1966,20078135
Canada,1967,20501867
Canada,1968,20931716
Canada,1969,21342600
Canada,1970,21716855
Canada,1971,22048431
Canada,1972,22344104
Canada,1973,22614673
Canada,1974,22876657
Canada,1975,23142272
Canada,1976,23416090
Canada,1977,23695198
Canada,1978,23975639
Canada,1979,24250641
Canada,1980,24516277
Canada,1981,24769849
Canada,1982,25016047
Canada,1983,25266950
Canada,1984,25538860
Canada,1985,25842588
Canada,1986,26183106
Canada,1987,26554540
Canada,1988,26943398
Canada,1989,27330298
Canada,1990,27700854
Canada,1991,28051725
Canada,1992,28386162
Canada,1993,28704519
Canada,1994,29009032
Canada,1995,29302092
Canada,1996,29582222
Canada,1997,29850242
Canada,1998,30113972
Canada,1999,30383823
Canada,2000,30667365
Canada,2001,30967236
Canada,2002,31281727
Canada,2003,31608562
Canada,2004,31943605
Canada,2005,32283413
Canada,2006,32627978
Canada,2007,32977334
Canada,2008,33327954
Canada,2009,33675448
Canada,2010,34016593
Canada,2011,34349561
Canada,2012,34674708
Canada,2013,34993747
Cape Verde,1800,55716
Cape Verde,1820,55716
Cape Verde,1950,178064
Cape Verde,1951,181974
Cape Verde,1952,185568
Cape Verde,1953,188848
Cape Verde,1954,191854
Cape Verde,1955,194664
Cape Verde,1956,197395
Cape Verde,1957,200202
Cape Verde,1958,203267
Cape Verde,1959,206789
Cape Verde,1960,210933
Cape Verde,1961,215792
Cape Verde,1962,221343
Cape Verde,1963,227430
Cape Verde,1964,233809
Cape Verde,1965,240301
Cape Verde,1966,246724
Cape Verde,1967,253087
Cape Verde,1968,259610
Cape Verde,1969,266624
Cape Verde,1970,274282
Cape Verde,1971,282888
Cape Verde,1972,292150
Cape Verde,1973,300922
Cape Verde,1974,307657
Cape Verde,1975,311349
Cape Verde,1976,311403
Cape Verde,1977,308423
Cape Verde,1978,304077
Cape Verde,1979,300726
Cape Verde,1980,300047
Cape Verde,1981,302737
Cape Verde,1982,308230
Cape Verde,1983,315410
Cape Verde,1984,322560
Cape Verde,1985,328481
Cape Verde,1986,332775
Cape Verde,1987,335966
Cape Verde,1988,338857
Cape Verde,1989,342646
Cape Verde,1990,348165
Cape Verde,1991,355655
Cape Verde,1992,364727
Cape Verde,1993,374820
Cape Verde,1994,385101
Cape Verde,1995,394946
Cape Verde,1996,404166
Cape Verde,1997,412893
Cape Verde,1998,421203
Cape Verde,1999,429278
Cape Verde,2000,437238
Cape Verde,2001,445096
Cape Verde,2002,452740
Cape Verde,2003,460031
Cape Verde,2004,466784
Cape Verde,2005,472883
Cape Verde,2006,478267
Cape Verde,2007,483023
Cape Verde,2008,487371
Cape Verde,2009,491621
Cape Verde,2010,495999
Cape Verde,2011,500585
Cape Verde,2012,505335
Cape Verde,2013,510213
Cayman Islands,1800,2439
Cayman Islands,1820,2439
Cayman Islands,1891,4300
Cayman Islands,1911,5600
Cayman Islands,1921,5300
Cayman Islands,1943,6700
Cayman Islands,1950,6413
Cayman Islands,1951,6265
Cayman Islands,1952,6247
Cayman Islands,1953,6335
Cayman Islands,1954,6508
Cayman Islands,1955,6742
Cayman Islands,1956,7015
Cayman Islands,1957,7307
Cayman Islands,1958,7595
Cayman Islands,1959,7862
Cayman Islands,1960,8092
Cayman Islands,1961,8277
Cayman Islands,1962,8418
Cayman Islands,1963,8524
Cayman Islands,1964,8612
Cayman Islands,1965,8701
Cayman Islands,1966,8787
Cayman Islands,1967,8875
Cayman Islands,1968,9002
Cayman Islands,1969,9216
Cayman Islands,1970,9545
Cayman Islands,1971,10004
Cayman Islands,1972,10581
Cayman Islands,1973,11253
Cayman Islands,1974,11990
Cayman Islands,1975,12764
Cayman Islands,1976,13578
Cayman Islands,1977,14432
Cayman Islands,1978,15290
Cayman Islands,1979,16110
Cayman Islands,1980,16861
Cayman Islands,1981,17524
Cayman Islands,1982,18116
Cayman Islands,1983,18702
Cayman Islands,1984,19366
Cayman Islands,1985,20172
Cayman Islands,1986,21141
Cayman Islands,1987,22253
Cayman Islands,1988,23475
Cayman Islands,1989,24752
Cayman Islands,1990,26048
Cayman Islands,1991,27363
Cayman Islands,1992,28710
Cayman Islands,1993,30074
Cayman Islands,1994,31437
Cayman Islands,1995,32792
Cayman Islands,1996,34096
Cayman Islands,1997,35361
Cayman Islands,1998,36704
Cayman Islands,1999,38284
Cayman Islands,2000,40195
Cayman Islands,2001,42501
Cayman Islands,2002,45117
Cayman Islands,2003,47815
Cayman Islands,2004,50273
Cayman Islands,2005,52268
Cayman Islands,2006,53712
Cayman Islands,2007,54679
Cayman Islands,2008,55295
Cayman Islands,2009,55763
Cayman Islands,2010,56230
Cayman Islands,2011,56729
Cayman Islands,2012,57223
Cayman Islands,2013,57708
Central African Republic,1800,479444
Central African Republic,1820,479444
Central African Republic,1936,834000
Central African Republic,1950,1326653
Central African Republic,1951,1339842
Central African Republic,1952,1353471
Central African Republic,1953,1367806
Central African Republic,1954,1383081
Central African Republic,1955,1399497
Central African Republic,1956,1417223
Central African Republic,1957,1436398
Central African Republic,1958,1457125
Central African Republic,1959,1479480
Central African Republic,1960,1503509
Central African Republic,1961,1529237
Central African Republic,1962,1556665
Central African Republic,1963,1585774
Central African Republic,1964,1616524
Central African Republic,1965,1648838
Central African Republic,1966,1682880
Central African Republic,1967,1718560
Central African Republic,1968,1755258
Central African Republic,1969,1792147
Central African Republic,1970,1828709
Central African Republic,1971,1864764
Central African Republic,1972,1900723
Central African Republic,1973,1937410
Central African Republic,1974,1975985
Central African Republic,1975,2017362
Central African Republic,1976,2061466
Central African Republic,1977,2108232
Central African Republic,1978,2158547
Central African Republic,1979,2213492
Central African Republic,1980,2273630
Central African Republic,1981,2339759
Central African Republic,1982,2411176
Central African Republic,1983,2485120
Central African Republic,1984,2557808
Central African Republic,1985,2626638
Central African Republic,1986,2690250
Central African Republic,1987,2749702
Central African Republic,1988,2807768
Central African Republic,1989,2868515
Central African Republic,1990,2934777
Central African Republic,1991,3007347
Central African Republic,1992,3084958
Central African Republic,1993,3165869
Central African Republic,1994,3247456
Central African Republic,1995,3327710
Central African Republic,1996,3406451
Central African Republic,1997,3484027
Central African Republic,1998,3559604
Central African Republic,1999,3632287
Central African Republic,2000,3701607
Central African Republic,2001,3767068
Central African Republic,2002,3829238
Central African Republic,2003,3890075
Central African Republic,2004,3952281
Central African Republic,2005,4017880
Central African Republic,2006,4087534
Central African Republic,2007,4160940
Central African Republic,2008,4237961
Central African Republic,2009,4318128
Central African Republic,2010,4401051
Central African Republic,2011,4486837
Central African Republic,2012,4575586
Central African Republic,2013,4666833
Chad,1800,1432000
Chad,1936,1432000
Chad,1950,2429431
Chad,1951,2472725
Chad,1952,2519184
Chad,1953,2568013
Chad,1954,2618633
Chad,1955,2670681
Chad,1956,2724017
Chad,1957,2778716
Chad,1958,2835038
Chad,1959,2893372
Chad,1960,2954088
Chad,1961,3017366
Chad,1962,3083054
Chad,1963,3150606
Chad,1964,3219259
Chad,1965,3288547
Chad,1966,3357972
Chad,1967,3427888
Chad,1968,3499681
Chad,1969,3575273
Chad,1970,3655905
Chad,1971,3742580
Chad,1972,3834574
Chad,1973,3929341
Chad,1974,4023300
Chad,1975,4114094
Chad,1976,4201073
Chad,1977,4285738
Chad,1978,4370560
Chad,1979,4459072
Chad,1980,4554089
Chad,1981,4656116
Chad,1982,4765160
Chad,1983,4882913
Chad,1984,5011242
Chad,1985,5151339
Chad,1986,5304490
Chad,1987,5470211
Chad,1988,5645708
Chad,1989,5826974
Chad,1990,6011224
Chad,1991,6197766
Chad,1992,6387856
Chad,1993,6583079
Chad,1994,6785842
Chad,1995,6998108
Chad,1996,7219081
Chad,1997,7448585
Chad,1998,7689836
Chad,1999,7946982
Chad,2000,8222327
Chad,2001,8517944
Chad,2002,8831199
Chad,2003,9153893
Chad,2004,9474792
Chad,2005,9785902
Chad,2006,10084087
Chad,2007,10371839
Chad,2008,10653762
Chad,2009,10937089
Chad,2010,11227208
Chad,2011,11525496
Chad,2012,11830573
Chad,2013,12141876
Chile,1800,771447
Chile,1820,771447
Chile,1821,789144
Chile,1822,807304
Chile,1823,825890
Chile,1824,844866
Chile,1825,864198
Chile,1826,883855
Chile,1827,903807
Chile,1828,924027
Chile,1829,944490
Chile,1830,965173
Chile,1831,986056
Chile,1832,1007120
Chile,1833,1028350
Chile,1834,1049733
Chile,1835,1071256
Chile,1836,1092912
Chile,1837,1114694
Chile,1838,1136597
Chile,1839,1158619
Chile,1840,1180761
Chile,1841,1203023
Chile,1842,1225410
Chile,1843,1247926
Chile,1844,1270578
Chile,1845,1293375
Chile,1846,1316325
Chile,1847,1339439
Chile,1848,1362729
Chile,1849,1386207
Chile,1850,1409885
Chile,1851,1433777
Chile,1852,1457897
Chile,1853,1482258
Chile,1854,1506873
Chile,1855,1531758
Chile,1856,1556924
Chile,1857,1582386
Chile,1858,1608154
Chile,1859,1634242
Chile,1860,1660659
Chile,1861,1687416
Chile,1862,1714521
Chile,1863,1741983
Chile,1864,1769808
Chile,1865,1798001
Chile,1866,1826566
Chile,1867,1855505
Chile,1868,1884819
Chile,1869,1914507
Chile,1870,1944569
Chile,1871,1974998
Chile,1872,2005790
Chile,1873,2036939
Chile,1874,2068435
Chile,1875,2100268
Chile,1876,2132427
Chile,1877,2164899
Chile,1878,2197670
Chile,1879,2230723
Chile,1880,2264042
Chile,1881,2297611
Chile,1882,2331409
Chile,1883,2365419
Chile,1884,2399621
Chile,1885,2433995
Chile,1886,2468522
Chile,1887,2503181
Chile,1888,2537954
Chile,1889,2572823
Chile,1890,2607769
Chile,1891,2642778
Chile,1892,2677834
Chile,1893,2712925
Chile,1894,2748040
Chile,1895,2783171
Chile,1896,2818312
Chile,1897,2853462
Chile,1898,2888620
Chile,1899,2923792
Chile,1900,2958986
Chile,1901,2994214
Chile,1902,3029494
Chile,1903,3064845
Chile,1904,3100295
Chile,1905,3135874
Chile,1906,3171619
Chile,1907,3207571
Chile,1908,3243777
Chile,1909,3280289
Chile,1910,3317166
Chile,1911,3354469
Chile,1912,3392269
Chile,1913,3430640
Chile,1914,3469662
Chile,1915,3509420
Chile,1916,3550005
Chile,1917,3591512
Chile,1918,3634043
Chile,1919,3677702
Chile,1920,3722598
Chile,1921,3768846
Chile,1922,3816561
Chile,1923,3865863
Chile,1924,3916875
Chile,1925,3969721
Chile,1926,4024523
Chile,1927,4081406
Chile,1928,4140494
Chile,1929,4201905
Chile,1930,4265756
Chile,1931,4332156
Chile,1932,4401207
Chile,1933,4473001
Chile,1934,4547615
Chile,1935,4625112
Chile,1936,4705534
Chile,1937,4788901
Chile,1938,4875203
Chile,1939,4964398
Chile,1940,5056404
Chile,1941,5151095
Chile,1942,5248293
Chile,1943,5347758
Chile,1944,5449185
Chile,1945,5552190
Chile,1946,5656303
Chile,1947,5760959
Chile,1948,5865486
Chile,1949,5969096
Chile,1950,6081931
Chile,1951,6194334
Chile,1952,6321806
Chile,1953,6461332
Chile,1954,6610525
Chile,1955,6767613
Chile,1956,6931486
Chile,1957,7101654
Chile,1958,7278151
Chile,1959,7461373
Chile,1960,7651579
Chile,1961,7848372
Chile,1962,8050234
Chile,1963,8254329
Chile,1964,8457066
Chile,1965,8655738
Chile,1966,8849016
Chile,1967,9037026
Chile,1968,9220343
Chile,1969,9400225
Chile,1970,9577572
Chile,1971,9752949
Chile,1972,9925950
Chile,1973,10095485
Chile,1974,10260027
Chile,1975,10418880
Chile,1976,10571597
Chile,1977,10719748
Chile,1978,10867152
Chile,1979,11018910
Chile,1980,11178817
Chile,1981,11348442
Chile,1982,11527274
Chile,1983,11714442
Chile,1984,11908189
Chile,1985,12107225
Chile,1986,12310666
Chile,1987,12518930
Chile,1988,12733409
Chile,1989,12956088
Chile,1990,13187821
Chile,1991,13429315
Chile,1992,13678373
Chile,1993,13929390
Chile,1994,14174890
Chile,1995,14409416
Chile,1996,14630769
Chile,1997,14840038
Chile,1998,15039162
Chile,1999,15231557
Chile,2000,15419820
Chile,2001,15604200
Chile,2002,15783991
Chile,2003,15959793
Chile,2004,16132209
Chile,2005,16301726
Chile,2006,16468677
Chile,2007,16633254
Chile,2008,16795593
Chile,2009,16955737
Chile,2010,17113688
Chile,2011,17269525
Chile,2012,17423214
Chile,2013,17574464
China,1700,138000000
China,1800,321675013
China,1820,381000000
China,1821,383711494
China,1822,386442286
China,1823,389192512
China,1824,391962310
China,1825,394751821
China,1826,397561184
China,1827,400390540
China,1828,403240033
China,1829,406109805
China,1830,409000000
China,1831,409299014
China,1832,409598247
China,1833,409897699
China,1834,410197370
China,1835,410497259
China,1836,410797368
China,1837,411097697
China,1838,411398245
China,1839,411699012
China,1840,412000000
China,1841,412000000
China,1842,412000000
China,1843,412000000
China,1844,412000000
China,1845,412000000
China,1846,412000000
China,1847,412000000
China,1848,412000000
China,1849,412000000
China,1850,412000000
China,1851,408358528
China,1852,404749241
China,1853,401171855
China,1854,397626087
China,1855,394111659
China,1856,390628294
China,1857,387175716
China,1858,383753654
China,1859,380361838
China,1860,377000000
China,1861,375055482
China,1862,373120994
China,1863,371196483
China,1864,369281899
China,1865,367377190
China,1866,365482306
China,1867,363597195
China,1868,361721807
China,1869,359856092
China,1870,358000000
China,1871,358988000
China,1872,359978000
China,1873,360971000
China,1874,361967000
China,1875,362966000
China,1876,363967000
China,1877,364971000
China,1878,365978000
China,1879,366988000
China,1880,368000000
China,1881,369183000
China,1882,370369000
China,1883,371560000
China,1884,372754000
China,1885,373952000
China,1886,375154000
China,1887,376359000
China,1888,377569000
China,1889,378783000
China,1890,380000000
China,1891,381979000
China,1892,383969000
China,1893,385969000
China,1894,387979000
China,1895,390000000
China,1896,391980000
China,1897,393970000
China,1898,395970000
China,1899,397980000
China,1900,400000000
China,1901,402243000
China,1902,404498000
China,1903,406766000
China,1904,409047000
China,1905,411340000
China,1906,413646000
China,1907,415965000
China,1908,418297000
China,1909,420642000
China,1910,423000000
China,1911,427662000
China,1912,432375000
China,1913,437140000
China,1914,441958000
China,1915,446829000
China,1916,451753000
China,1917,456732000
China,1918,461766000
China,1919,466855000
China,1920,472000000
China,1921,473673000
China,1922,475352000
China,1923,477037000
China,1924,478728000
China,1925,480425000
China,1926,482128000
China,1927,483837000
China,1928,485552000
China,1929,487273000
China,1930,489000000
China,1931,492640000
China,1932,496307000
China,1933,500000000
China,1934,502639000
China,1935,505292000
China,1936,507959000
China,1937,510640000
China,1938,513336000
China,1939,516046000
China,1940,518770000
China,1941,521508000
China,1942,524261000
China,1943,527028000
China,1944,529810000
China,1945,532607000
China,1946,535418000
China,1947,538244000
China,1948,541085000
China,1949,543941000
China,1950,550771433
China,1951,566170868
China,1952,578489714
China,1953,589018891
China,1954,598746873
China,1955,608359685
China,1956,618226224
China,1957,628412938
China,1958,638727882
China,1959,648794141
China,1960,658270094
China,1961,667084365
China,1962,675641408
China,1963,684909607
China,1964,696171650
China,1965,710290299
China,1966,727601056
China,1967,747678772
China,1968,769666505
China,1969,792308749
China,1970,814622841
China,1971,836431505
China,1972,857804035
China,1973,878305091
China,1974,897479153
China,1975,915040954
China,1976,930744699
China,1977,944726607
China,1978,957584105
China,1979,970179212
China,1980,983170638
China,1981,996667562
China,1982,1010574797
China,1983,1025090475
China,1984,1040397958
China,1985,1056579219
China,1986,1073792041
China,1987,1091904967
China,1988,1110339206
China,1989,1128297564
China,1990,1145195229
China,1991,1160799514
China,1992,1175230312
China,1993,1188687527
China,1994,1201522570
China,1995,1213986610
China,1996,1226134423
China,1997,1237849861
China,1998,1249020152
China,1999,1259476966
China,2000,1269116737
China,2001,1277903627
China,2002,1285933789
China,2003,1293396654
China,2004,1300552134
China,2005,1307593489
China,2006,1314581402
China,2007,1321481935
China,2008,1328275524
China,2009,1334908820
China,2010,1341335152
China,2011,1347565324
China,2012,1353600687
China,2013,1359368470
Christmas Island,1800,0
Christmas Island,1888,0
Christmas Island,1897,0
Christmas Island,1898,213
Christmas Island,1901,680
Christmas Island,1943,500
Christmas Island,2000,2500
Christmas Island,2001,2770
Christmas Island,2002,474
Christmas Island,2003,433
Christmas Island,2004,396
Christmas Island,2005,361
Christmas Island,2006,1490
Christmas Island,2007,1400
Christmas Island,2010,1400
Cocos Islands,1800,0
Cocos Islands,1820,0
Cocos Islands,1836,70
Cocos Islands,2000,635
Cocos Islands,2001,633
Cocos Islands,2002,632
Cocos Islands,2003,630
Cocos Islands,2004,629
Cocos Islands,2005,628
Cocos Islands,2006,574
Cocos Islands,2007,596
Cocos Islands,2010,596
Colombia,1800,1206000
Colombia,1820,1206000
Colombia,1850,2065000
Colombia,1870,2392000
Colombia,1890,3369000
Colombia,1900,3998000
Colombia,1901,4079000
Colombia,1902,4162000
Colombia,1903,4247000
Colombia,1904,4334000
Colombia,1905,4422000
Colombia,1906,4512000
Colombia,1907,4604000
Colombia,1908,4697000
Colombia,1909,4793000
Colombia,1910,4890000
Colombia,1911,4990000
Colombia,1912,5091000
Colombia,1913,5195000
Colombia,1914,5330000
Colombia,1915,5468000
Colombia,1916,5609000
Colombia,1917,5754000
Colombia,1918,5903000
Colombia,1919,6056000
Colombia,1920,6213000
Colombia,1921,6374000
Colombia,1922,6539000
Colombia,1923,6709000
Colombia,1924,6882000
Colombia,1925,7061000
Colombia,1926,7243000
Colombia,1927,7431000
Colombia,1928,7624000
Colombia,1929,7821000
Colombia,1930,7914000
Colombia,1931,8009000
Colombia,1932,8104000
Colombia,1933,8201000
Colombia,1934,8299000
Colombia,1935,8398000
Colombia,1936,8498000
Colombia,1937,8599000
Colombia,1938,8702000
Colombia,1939,8935000
Colombia,1940,9174000
Colombia,1941,9419000
Colombia,1942,9671000
Colombia,1943,9930000
Colombia,1944,10196000
Colombia,1945,10469000
Colombia,1946,10749000
Colombia,1947,11036000
Colombia,1948,11332000
Colombia,1949,11635000
Colombia,1950,11999600
Colombia,1951,12344434
Colombia,1952,12697334
Colombia,1953,13060599
Colombia,1954,13436142
Colombia,1955,13825474
Colombia,1956,14229713
Colombia,1957,14649582
Colombia,1958,15085424
Colombia,1959,15537230
Colombia,1960,16004714
Colombia,1961,16487391
Colombia,1962,16984652
Colombia,1963,17495793
Colombia,1964,18019927
Colombia,1965,18555731
Colombia,1966,19104020
Colombia,1967,19663029
Colombia,1968,20225830
Colombia,1969,20783427
Colombia,1970,21329811
Colombia,1971,21861689
Colombia,1972,22381887
Colombia,1973,22898136
Colombia,1974,23421644
Colombia,1975,23960605
Colombia,1976,24517307
Colombia,1977,25089511
Colombia,1978,25675364
Colombia,1979,26271401
Colombia,1980,26874906
Colombia,1981,27485678
Colombia,1982,28104254
Colombia,1983,28729367
Colombia,1984,29359535
Colombia,1985,29993539
Colombia,1986,30630754
Colombia,1987,31270841
Colombia,1988,31913250
Colombia,1989,32557521
Colombia,1990,33203321
Colombia,1991,33849971
Colombia,1992,34497319
Colombia,1993,35146220
Colombia,1994,35797965
Colombia,1995,36453337
Colombia,1996,37112621
Colombia,1997,37775054
Colombia,1998,38439099
Colombia,1999,39102653
Colombia,2000,39764166
Colombia,2001,40422597
Colombia,2002,41078136
Colombia,2003,41731914
Colombia,2004,42385712
Colombia,2005,43040558
Colombia,2006,43696540
Colombia,2007,44352327
Colombia,2008,45005782
Colombia,2009,45654044
Colombia,2010,46294841
Colombia,2011,46927125
Colombia,2012,47550708
Colombia,2013,48165221
Comoros,1800,56346
Comoros,1820,56346
Comoros,1950,156334
Comoros,1951,160463
Comoros,1952,164338
Comoros,1953,168046
Comoros,1954,171660
Comoros,1955,175230
Comoros,1956,178791
Comoros,1957,182359
Comoros,1958,185931
Comoros,1959,189498
Comoros,1960,193052
Comoros,1961,196605
Comoros,1962,200199
Comoros,1963,203916
Comoros,1964,207856
Comoros,1965,212097
Comoros,1966,216728
Comoros,1967,221755
Comoros,1968,227075
Comoros,1969,232529
Comoros,1970,238032
Comoros,1971,243481
Comoros,1972,249000
Comoros,1973,254997
Comoros,1974,262030
Comoros,1975,270467
Comoros,1976,280464
Comoros,1977,291816
Comoros,1978,304071
Comoros,1979,316582
Comoros,1980,328861
Comoros,1981,340778
Comoros,1982,352416
Comoros,1983,363759
Comoros,1984,374852
Comoros,1985,385740
Comoros,1986,396391
Comoros,1987,406798
Comoros,1988,417077
Comoros,1989,427392
Comoros,1990,437876
Comoros,1991,448576
Comoros,1992,459515
Comoros,1993,470765
Comoros,1994,482401
Comoros,1995,494486
Comoros,1996,507062
Comoros,1997,520151
Comoros,1998,533754
Comoros,1999,547864
Comoros,2000,562469
Comoros,2001,577569
Comoros,2002,593170
Comoros,2003,609271
Comoros,2004,625876
Comoros,2005,642974
Comoros,2006,660559
Comoros,2007,678602
Comoros,2008,697034
Comoros,2009,715774
Comoros,2010,734750
Comoros,2011,753943
Comoros,2012,773344
Comoros,2013,792913
Congo,1800,314465
Congo,1820,314465
Congo,1950,807726
Congo,1951,824173
Congo,1952,841524
Congo,1953,859753
Congo,1954,878851
Congo,1955,898831
Congo,1956,919723
Congo,1957,941576
Congo,1958,964452
Congo,1959,988430
Congo,1960,1013581
Congo,1961,1039961
Congo,1962,1067597
Congo,1963,1096480
Congo,1964,1126584
Congo,1965,1157905
Congo,1966,1190402
Congo,1967,1224134
Congo,1968,1259319
