Entity,Year,Gini coefficient (World Bank (2016))
Thailand,2008,40.29
Thailand,2009,39.75
Thailand,2010,39.4
Thailand,2011,37.46
Thailand,2012,39.26
Timor,2001,37.56
Timor,2007,31.56
Togo,2006,42.21
Togo,2011,46.02
Tonga,2009,38.1
Trinidad and Tobago,1988,42.6
Trinidad and Tobago,1992,40.27
Tunisia,1985,43.43
Tunisia,1990,40.24
Tunisia,1995,41.66
Tunisia,2000,40.81
Tunisia,2005,37.73
Tunisia,2010,35.81
Turkey,1987,43.48
Turkey,1994,41.32
Turkey,2002,41.4
Turkey,2003,42.18
Turkey,2004,41.29
Turkey,2005,41.72
Turkey,2006,39.65
Turkey,2007,38.44
Turkey,2008,38.28
Turkey,2009,38.97
Turkey,2010,38.78
Turkey,2011,40.04
Turkey,2012,40.17
Turkmenistan,1988,26.39
Turkmenistan,1993,35.38
Turkmenistan,1998,40.77
Uganda,1989,44.36
Uganda,1992,41.43
Uganda,1996,39.04
Uganda,1999,43
Uganda,2002,45.17
Uganda,2005,42.94
Uganda,2009,44.2
Uganda,2012,42.37
Ukraine,1988,23.31
Ukraine,1992,29.71
Ukraine,1995,39.29
Ukraine,1996,35.16
Ukraine,1999,28.96
Ukraine,2002,29.05
Ukraine,2003,28.66
Ukraine,2004,28.93
Ukraine,2005,29.02
Ukraine,2006,29.79
Ukraine,2007,28.57
Ukraine,2008,26.64
Ukraine,2009,25.32
Ukraine,2010,24.82
Ukraine,2011,24.55
Ukraine,2012,24.74
Ukraine,2013,24.55
United Kingdom,2004,36.22
United Kingdom,2005,34.56
United Kingdom,2006,34.84
United Kingdom,2007,35.93
United Kingdom,2008,34.37
United Kingdom,2009,34.67
United Kingdom,2010,34.81
United Kingdom,2011,33.71
United Kingdom,2012,32.57
United States,1986,37.73
United States,1991,38.36
United States,1994,40.35
United States,1997,40.86
United States,2000,40.46
United States,2004,40.62
United States,2007,41.75
United States,2010,40.46
United States,2013,41.06
Uruguay,1981,43.65
Uruguay,1989,42.37
Uruguay,1992,40.2
Uruguay,1995,42.11
Uruguay,1996,42.66
Uruguay,1997,42.73
Uruguay,1998,43.81
Uruguay,2000,44.39
Uruguay,2001,46.17
Uruguay,2002,46.65
Uruguay,2003,46.22
Uruguay,2004,47.14
Uruguay,2005,45.87
Uruguay,2006,47.2
Uruguay,2007,47.63
Uruguay,2008,46.27
Uruguay,2009,46.28
Uruguay,2010,45.32
Uruguay,2011,43.37
Uruguay,2012,41.32
Uruguay,2013,41.87
Uzbekistan,1988,24.95
Uzbekistan,1998,44.67
Uzbekistan,2000,36.1
Uzbekistan,2002,33.04
Uzbekistan,2003,35.27
Vanuatu,2010,37.18
Venezuela,1981,55.61
Venezuela,1987,53.45
Venezuela,1989,45.3
Venezuela,1992,42.51
Venezuela,1995,47.82
Venezuela,1998,49.8
Venezuela,1999,48.32
Venezuela,2001,48.22
Venezuela,2002,50.56
Venezuela,2003,50.37
Venezuela,2004,49.82
Venezuela,2005,52.36
Venezuela,2006,46.94
Vietnam,1992,35.65
Vietnam,1998,35.44
Vietnam,2002,37.32
Vietnam,2004,37.17
Vietnam,2006,37.44
Vietnam,2008,38.15
Vietnam,2010,42.68
Vietnam,2012,38.7
Yemen,2005,35.89
Zambia,1991,60.51
Zambia,1993,52.61
Zambia,1996,48.33
Zambia,1998,49.13
Zambia,2002,42.06
Zambia,2004,54.29
Zambia,2006,54.62
Zambia,2010,55.62
