Entity,Year,Share of services in total exports (WDI)
Europe & Central Asia,1985,20.88313
Europe & Central Asia,1986,21.27096
Europe & Central Asia,1987,21.40825
Europe & Central Asia,1988,20.92364
Europe & Central Asia,1989,20.70118
Europe & Central Asia,1990,21.59023
Europe & Central Asia,1991,22.10669
Europe & Central Asia,1992,23.31419
Europe & Central Asia,1993,23.93564
Europe & Central Asia,1994,22.70974
Europe & Central Asia,1995,21.67983
Europe & Central Asia,1996,21.84993
Europe & Central Asia,1997,22.21335
Europe & Central Asia,1998,23.01174
Europe & Central Asia,1999,23.95761
Europe & Central Asia,2000,23.73926
Europe & Central Asia,2001,24.06259
Europe & Central Asia,2002,24.67334
Europe & Central Asia,2003,24.46291
Europe & Central Asia,2004,24.25130
Europe & Central Asia,2005,24.27875
Europe & Central Asia,2006,23.93022
Europe & Central Asia,2007,24.30814
Europe & Central Asia,2008,24.00791
Europe & Central Asia,2009,26.68764
Europe & Central Asia,2010,24.75315
Europe & Central Asia,2011,23.68415
Europe & Central Asia,2012,24.26994
Europe & Central Asia,2013,25.12675
Europe & Central Asia,2014,26.16116
Europe & Central Asia,2015,27.29578
Europe & Central Asia,2016,27.46150
Europe & Central Asia (IDA & IBRD),1994,20.36867
Europe & Central Asia (IDA & IBRD),1995,21.25057
Europe & Central Asia (IDA & IBRD),1996,20.48636
Europe & Central Asia (IDA & IBRD),1997,22.76562
Europe & Central Asia (IDA & IBRD),1998,25.69508
Europe & Central Asia (IDA & IBRD),1999,23.01699
Europe & Central Asia (IDA & IBRD),2000,21.35034
Europe & Central Asia (IDA & IBRD),2001,20.13780
Europe & Central Asia (IDA & IBRD),2002,19.64902
Europe & Central Asia (IDA & IBRD),2003,19.14105
Europe & Central Asia (IDA & IBRD),2004,18.38614
Europe & Central Asia (IDA & IBRD),2005,18.59097
Europe & Central Asia (IDA & IBRD),2006,17.49502
Europe & Central Asia (IDA & IBRD),2007,17.67499
Europe & Central Asia (IDA & IBRD),2008,16.96032
Europe & Central Asia (IDA & IBRD),2009,19.86861
Europe & Central Asia (IDA & IBRD),2010,17.37343
Europe & Central Asia (IDA & IBRD),2011,15.94493
Europe & Central Asia (IDA & IBRD),2012,16.22393
Europe & Central Asia (IDA & IBRD),2013,17.52044
Europe & Central Asia (IDA & IBRD),2014,17.88523
Europe & Central Asia (IDA & IBRD),2015,19.96147
Europe & Central Asia (IDA & IBRD),2016,20.83238
Europe & Central Asia (excluding high income),1994,19.13479
Europe & Central Asia (excluding high income),1995,19.55211
Europe & Central Asia (excluding high income),1996,19.44404
Europe & Central Asia (excluding high income),1997,22.82297
Europe & Central Asia (excluding high income),1998,25.82867
Europe & Central Asia (excluding high income),1999,23.25643
Europe & Central Asia (excluding high income),2000,21.14294
Europe & Central Asia (excluding high income),2001,20.38779
Europe & Central Asia (excluding high income),2002,20.09353
Europe & Central Asia (excluding high income),2003,19.95947
Europe & Central Asia (excluding high income),2004,18.62129
Europe & Central Asia (excluding high income),2005,18.88259
Europe & Central Asia (excluding high income),2006,17.54960
Europe & Central Asia (excluding high income),2007,17.38904
Europe & Central Asia (excluding high income),2008,16.63100
Europe & Central Asia (excluding high income),2009,20.03908
Europe & Central Asia (excluding high income),2010,17.15218
Europe & Central Asia (excluding high income),2011,15.52523
Europe & Central Asia (excluding high income),2012,15.82062
Europe & Central Asia (excluding high income),2013,17.35218
Europe & Central Asia (excluding high income),2014,17.69255
Europe & Central Asia (excluding high income),2015,20.18189
Europe & Central Asia (excluding high income),2016,21.01922
European Union,1975,20.81152
European Union,1976,20.78238
European Union,1977,20.94296
European Union,1978,21.61761
European Union,1979,21.15699
European Union,1980,21.81499
European Union,1981,21.89857
European Union,1982,21.90018
European Union,1983,21.60910
European Union,1984,21.01319
European Union,1985,21.17856
European Union,1986,21.51357
European Union,1987,21.64720
European Union,1988,21.07677
European Union,1989,20.89642
European Union,1990,21.88308
European Union,1991,22.32260
European Union,1992,23.70216
European Union,1993,24.22846
European Union,1994,23.00573
European Union,1995,21.83913
European Union,1996,22.10162
European Union,1997,22.25878
European Union,1998,22.79291
European Union,1999,24.00587
European Union,2000,23.57889
European Union,2001,24.09384
European Union,2002,24.81663
European Union,2003,24.67663
European Union,2004,24.68953
European Union,2005,24.92712
European Union,2006,24.80484
European Union,2007,25.22221
European Union,2008,25.28566
European Union,2009,27.70410
European Union,2010,25.96874
European Union,2011,25.20572
European Union,2012,25.86285
European Union,2013,26.66069
European Union,2014,27.55870
European Union,2015,28.33109
European Union,2016,28.39504
Faeroe Islands,1998,10.34490
Faeroe Islands,1999,10.52781
Faeroe Islands,2000,10.16863
Faeroe Islands,2001,9.91972
Faeroe Islands,2002,11.71155
Faeroe Islands,2003,11.54975
Faeroe Islands,2004,12.24101
Faeroe Islands,2005,18.00958
Faeroe Islands,2006,21.15259
Faeroe Islands,2007,22.34667
Faeroe Islands,2008,22.80947
Faeroe Islands,2009,18.16557
Faeroe Islands,2010,18.58859
Faeroe Islands,2011,17.05207
Fiji,1979,41.45209
Fiji,1980,34.93047
Fiji,1981,41.10447
Fiji,1982,45.14965
Fiji,1983,51.04007
Fiji,1984,49.10194
Fiji,1985,53.70181
Fiji,1986,48.82083
Fiji,1987,38.05336
Fiji,1988,39.62414
Fiji,1989,49.18703
Fiji,1990,50.08516
Fiji,1991,54.11664
Fiji,1992,56.44212
Fiji,1993,56.46647
Fiji,1994,52.16927
Fiji,1995,52.05039
Fiji,1996,47.67874
Fiji,1997,55.49609
Fiji,1998,53.98488
Fiji,1999,49.40767
Fiji,2000,45.25176
Fiji,2001,45.68433
Fiji,2002,52.70887
Fiji,2003,49.55356
Fiji,2004,54.76398
Fiji,2005,57.74628
Fiji,2006,57.25730
Fiji,2007,56.14661
Fiji,2008,55.27012
Fiji,2009,56.67679
Fiji,2010,54.63817
Fiji,2011,52.25148
Fiji,2012,50.35916
Fiji,2013,51.91298
Fiji,2014,51.37941
Fiji,2015,58.61079
Finland,1975,16.64383
Finland,1976,16.60099
Finland,1977,16.05561
Finland,1978,17.95779
Finland,1979,16.84956
Finland,1980,16.26418
Finland,1981,17.58443
Finland,1982,17.49444
Finland,1983,17.22074
Finland,1984,15.70305
Finland,1985,15.39427
Finland,1986,14.38047
Finland,1987,15.38132
Finland,1988,15.17751
Finland,1989,15.13152
Finland,1990,15.25807
Finland,1991,15.03181
Finland,1992,15.89884
Finland,1993,15.84266
Finland,1994,15.44104
Finland,1995,15.65836
Finland,1996,15.10663
Finland,1997,14.10825
Finland,1998,12.64288
Finland,1999,13.65655
Finland,2000,14.64158
Finland,2001,17.85539
Finland,2002,11.96680
Finland,2003,12.17299
Finland,2004,12.74637
Finland,2005,14.89593
Finland,2006,19.27161
Finland,2007,21.01978
Finland,2008,25.00223
Finland,2009,30.81665
Finland,2010,28.99804
Finland,2011,27.52698
Finland,2012,28.22146
Finland,2013,28.28523
Finland,2014,26.44502
Finland,2015,30.27811
Finland,2016,30.34885
Fragile and conflict affected situations,2002,100.00000
Fragile and conflict affected situations,2003,100.00000
Fragile and conflict affected situations,2004,100.00000
Fragile and conflict affected situations,2005,16.92697
Fragile and conflict affected situations,2006,15.05468
Fragile and conflict affected situations,2007,14.20416
Fragile and conflict affected situations,2008,14.00922
Fragile and conflict affected situations,2009,19.43047
Fragile and conflict affected situations,2010,16.84356
Fragile and conflict affected situations,2011,19.22698
Fragile and conflict affected situations,2012,13.71011
Fragile and conflict affected situations,2013,15.58530
Fragile and conflict affected situations,2014,100.00001
Fragile and conflict affected situations,2015,100.00000
France,1975,26.33087
France,1976,25.93319
France,1977,26.74576
France,1978,28.33234
France,1979,27.14039
France,1980,28.84319
France,1981,29.58124
France,1982,28.56195
France,1983,28.21513
France,1984,27.27891
France,1985,27.57521
France,1986,27.41277
France,1987,27.04760
France,1988,25.70990
France,1989,26.06403
France,1990,27.22030
France,1991,27.88202
France,1992,28.92705
France,1993,30.19441
France,1994,26.71021
France,1995,25.39757
France,1996,24.91948
France,1997,23.10966
France,1998,23.20866
France,1999,26.36200
France,2000,24.76838
France,2001,25.61766
France,2002,26.98326
France,2003,25.96055
France,2004,25.52966
France,2005,25.83889
France,2006,25.43878
France,2007,26.55336
France,2008,27.11394
France,2009,29.18903
France,2010,28.42815
France,2011,28.75174
France,2012,29.46421
France,2013,30.38831
France,2014,32.10904
France,2015,32.09828
France,2016,31.82459
French Polynesia,2002,82.48723
French Polynesia,2003,86.68459
French Polynesia,2004,85.38286
French Polynesia,2005,84.03495
French Polynesia,2006,83.85593
French Polynesia,2007,82.94572
French Polynesia,2008,85.91779
French Polynesia,2009,87.42612
French Polynesia,2010,86.33417
French Polynesia,2011,88.10373
French Polynesia,2012,88.74331
French Polynesia,2013,87.16987
French Polynesia,2014,86.62616
Gabon,1978,11.48877
Gabon,1979,10.31800
Gabon,1980,13.47427
Gabon,1981,12.26502
Gabon,1982,7.30663
Gabon,1983,9.12364
Gabon,1984,6.39233
Gabon,1985,6.62676
Gabon,1986,10.31606
Gabon,1987,8.19283
Gabon,1988,15.11930
Gabon,1989,15.08946
Gabon,1990,8.84877
Gabon,1991,12.69621
Gabon,1992,13.33333
Gabon,1993,11.79700
Gabon,1994,8.49418
Gabon,1995,7.36028
Gabon,1996,6.54049
Gabon,1997,7.10490
Gabon,1998,10.28568
Gabon,1999,10.10992
Gabon,2000,5.06552
Gabon,2001,6.05712
Gabon,2002,3.02782
Gabon,2003,5.01144
Gabon,2004,3.65413
Gabon,2005,2.59739
Gambia,1978,24.87171
Gambia,1979,29.51712
Gambia,1980,27.10666
Gambia,1981,30.87606
Gambia,1982,29.34108
Gambia,1983,33.26433
Gambia,1984,23.40793
Gambia,1985,28.00313
Gambia,1986,30.66324
Gambia,1987,39.85370
Gambia,1988,42.82304
Gambia,1989,39.61236
Gambia,1990,34.19368
Gambia,1991,36.04848
Gambia,1992,35.49395
Gambia,1993,33.62952
Gambia,1994,41.99214
Gambia,1995,30.40194
Gambia,1996,46.01288
Gambia,1997,47.75870
Gambia,2003,51.92191
Gambia,2004,40.11979
Gambia,2005,44.07233
Gambia,2006,45.82369
Gambia,2007,48.78356
Gambia,2008,36.39291
Gambia,2009,37.42608
Gambia,2010,48.28523
Gambia,2011,46.99026
Gambia,2012,45.35881
Georgia,1997,34.46475
Georgia,1998,54.91581
Georgia,1999,39.69619
Georgia,2000,43.48547
Georgia,2001,44.01094
Georgia,2002,42.11904
Georgia,2003,38.69561
Georgia,2004,35.10103
Georgia,2005,34.29229
Georgia,2006,36.54135
Georgia,2007,35.00353
Georgia,2008,34.73767
Georgia,2009,41.76242
Georgia,2010,40.67443
Georgia,2011,38.51521
Georgia,2012,42.55016
Georgia,2013,41.58895
Georgia,2014,43.23869
Georgia,2015,51.08103
Germany,1971,12.50832
Germany,1972,12.18700
Germany,1973,10.76853
Germany,1974,9.10391
Germany,1975,11.05251
Germany,1976,13.73981
Germany,1977,13.61889
Germany,1978,13.95360
Germany,1979,13.52628
Germany,1980,14.47398
Germany,1981,14.77047
Germany,1982,15.23763
Germany,1983,15.22276
Germany,1984,14.67060
Germany,1985,14.49146
Germany,1986,14.11988
Germany,1987,14.14631
Germany,1988,13.21306
Germany,1989,13.24612
Germany,1990,13.40992
Germany,1991,13.43867
Germany,1992,13.62578
Germany,1993,14.47660
Germany,1994,13.39212
Germany,1995,13.31318
Germany,1996,13.55285
Germany,1997,14.07991
Germany,1998,14.11226
Germany,1999,14.06369
Germany,2000,13.82978
Germany,2001,13.73945
Germany,2002,15.01069
Germany,2003,14.37909
Germany,2004,14.77152
Germany,2005,14.76764
Germany,2006,14.65299
Germany,2007,14.28379
Germany,2008,14.72105
Germany,2009,17.17511
Germany,2010,15.75354
Germany,2011,14.95959
Germany,2012,15.49381
Germany,2013,16.00230
Germany,2014,16.72307
Germany,2015,17.26182
Germany,2016,17.53666
Ghana,1975,10.10150
Ghana,1976,12.61217
Ghana,1977,12.60145
Ghana,1978,10.36662
Ghana,1979,8.34266
Ghana,1980,8.81600
Ghana,1981,14.35286
Ghana,1982,14.61421
Ghana,1983,8.00335
Ghana,1984,7.18386
Ghana,1985,5.66826
Ghana,1986,6.81855
Ghana,1987,8.69133
Ghana,1988,8.00877
Ghana,1989,9.09909
Ghana,1990,8.78763
Ghana,1991,9.34121
Ghana,1992,13.53555
Ghana,1993,11.97550
Ghana,1994,10.64828
Ghana,1995,9.52080
Ghana,1996,9.08038
Ghana,1997,9.96519
Ghana,1998,17.41518
Ghana,1999,18.91400
Ghana,2000,20.66188
Ghana,2001,22.16378
Ghana,2002,21.59068
Ghana,2003,19.73350
Ghana,2004,20.61508
Ghana,2005,28.30848
Ghana,2006,27.06411
Ghana,2007,30.51072
Ghana,2008,25.47014
Ghana,2009,23.25686
Ghana,2010,15.65371
Ghana,2011,12.40184
Ghana,2012,19.38895
Ghana,2013,15.14285
Ghana,2014,13.39768
Ghana,2015,37.23330
Greece,1976,44.46631
Greece,1977,45.22900
Greece,1978,47.11723
Greece,1979,46.26363
Greece,1980,48.59641
Greece,1981,44.73238
Greece,1982,44.01939
Greece,1983,40.60546
Greece,1984,38.09790
Greece,1985,37.37243
Greece,1986,41.19759
Greece,1987,43.18613
Greece,1988,45.85471
Greece,1989,44.28545
Greece,1990,50.39177
Greece,1991,51.10147
Greece,1992,58.87091
Greece,1993,61.63890
Greece,1994,63.31524
Greece,1995,61.87592
Greece,1996,61.34663
Greece,1997,62.48402
Greece,1999,66.42702
Greece,2000,65.58295
Greece,2001,65.04958
Greece,2002,67.43990
Greece,2003,66.13612
Greece,2004,68.00374
Greece,2005,66.09419
Greece,2006,64.07334
Greece,2007,64.57079
Greece,2008,63.73341
Greece,2009,64.46088
Greece,2010,62.86615
Greece,2011,59.40158
Greece,2012,55.88947
Greece,2013,51.03077
Greece,2014,53.70400
Greece,2015,52.98144
Greece,2016,50.63476
Grenada,1977,50.59035
Grenada,1978,49.24925
Grenada,1979,47.22806
Grenada,1980,54.21053
Grenada,1981,49.60212
Grenada,1982,49.72826
Grenada,1983,49.07652
Grenada,1984,54.27136
Grenada,1985,57.83909
Grenada,1986,61.45885
Grenada,1987,59.56360
Grenada,1988,61.49549
Grenada,1989,63.54166
Grenada,1990,68.54188
Grenada,1991,74.04511
Grenada,1992,76.37913
Grenada,1993,79.40633
Grenada,1994,80.08882
Grenada,1995,80.14724
Grenada,1996,81.06146
Grenada,1997,76.39282
Grenada,1998,72.27338
Grenada,1999,65.92203
Grenada,2000,64.80713
Grenada,2001,67.73525
Grenada,2002,76.01056
Grenada,2003,74.63208
Grenada,2004,81.03080
Grenada,2005,77.92379
Grenada,2006,80.10832
Grenada,2007,80.56173
Grenada,2008,80.52622
Grenada,2009,81.15082
Grenada,2010,83.06162
Grenada,2011,81.06171
Grenada,2012,79.26618
Grenada,2013,77.81953
Guatemala,1977,12.21911
Guatemala,1978,14.40213
Guatemala,1979,15.75971
Guatemala,1980,12.20104
Guatemala,1981,10.72318
Guatemala,1982,8.41941
Guatemala,1983,6.85154
Guatemala,1984,7.81632
Guatemala,1985,8.70951
Guatemala,1986,10.59529
Guatemala,1987,13.93241
Guatemala,1988,15.42826
Guatemala,1989,20.90884
Guatemala,1990,22.71771
Guatemala,1991,27.16722
Guatemala,1992,32.35496
Guatemala,1993,32.63491
Guatemala,1994,31.03310
Guatemala,1995,29.48219
Guatemala,1996,26.29001
Guatemala,1997,25.09634
Guatemala,1998,26.52575
Guatemala,1999,28.36700
Guatemala,2000,29.73869
Guatemala,2001,36.84859
Guatemala,2002,37.61437
Guatemala,2003,36.10204
Guatemala,2004,17.73266
Guatemala,2005,19.32529
Guatemala,2006,19.98290
Guatemala,2007,19.86597
Guatemala,2008,21.25980
Guatemala,2009,22.25903
Guatemala,2010,20.99114
Guatemala,2011,17.54910
Guatemala,2012,19.42124
Guatemala,2013,19.92403
Guatemala,2014,20.47569
Guatemala,2015,20.68626
Guatemala,2016,20.29547
Guinea,1986,9.88421
Guinea,1987,8.95961
Guinea,1988,9.31687
Guinea,1989,14.82488
Guinea,1990,19.00056
Guinea,1991,17.39042
Guinea,1992,23.59911
Guinea,1993,24.97158
Guinea,1994,22.86394
Guinea,1995,16.77628
Guinea,1996,16.31934
Guinea,1997,15.47790
Guinea,1998,13.78843
Guinea,1999,15.11380
Guinea,2000,9.07414
Guinea,2001,9.20537
Guinea,2002,8.72464
Guinea,2003,14.88778
Guinea,2004,10.52645
Guinea,2005,8.95430
Guinea,2006,5.79423
Guinea,2007,3.89009
Guinea,2008,7.12155
Guinea,2009,6.43873
Guinea,2010,4.06956
Guinea,2011,5.13904
Guinea,2012,7.62274
Guinea,2013,5.20309
Guinea-Bissau,1982,32.18391
Guinea-Bissau,1983,43.79085
Guinea-Bissau,1984,31.49606
Guinea-Bissau,1985,35.91160
Guinea-Bissau,1986,0.00000
Guinea-Bissau,1987,0.00000
Guinea-Bissau,1988,0.00000
Guinea-Bissau,1989,31.20155
Guinea-Bissau,1990,26.20690
Guinea-Bissau,1991,38.98507
Guinea-Bissau,1992,64.11536
Guinea-Bissau,1993,37.94712
Guinea-Bissau,1994,14.45131
Guinea-Bissau,1995,19.22947
Guinea-Bissau,1996,24.36122
Guinea-Bissau,1997,14.06965
Guinea-Bissau,2001,6.62535
Guinea-Bissau,2002,10.67355
Guinea-Bissau,2003,8.44460
Guinea-Bissau,2004,9.22784
Guinea-Bissau,2005,5.45233
Guinea-Bissau,2006,4.41590
Guinea-Bissau,2007,23.77697
Guinea-Bissau,2008,25.46248
Guinea-Bissau,2009,21.40088
Guinea-Bissau,2010,25.78697
Guinea-Bissau,2011,15.79705
Guinea-Bissau,2012,14.16954
Guinea-Bissau,2013,19.97541
Guyana,1977,5.86477
Guyana,1978,5.78678
Guyana,1979,5.95943
Guyana,1980,4.83685
Guyana,1981,6.21811
Guyana,1982,8.55953
Guyana,1983,14.02313
Guyana,1984,11.87699
Guyana,1985,18.31972
Guyana,1992,21.71092
Guyana,1993,21.72562
Guyana,1994,20.66631
Guyana,1995,21.21429
Guyana,1996,19.66592
Guyana,1997,20.04873
Guyana,1998,20.64347
Guyana,1999,21.96325
Guyana,2000,25.18596
Guyana,2001,26.16368
Guyana,2002,26.01147
Guyana,2003,23.58604
Guyana,2004,21.59965
Guyana,2005,21.32180
Guyana,2006,20.30180
Guyana,2007,20.39414
Guyana,2008,20.90790
Guyana,2009,18.14691
Guyana,2010,21.89265
Guyana,2011,20.85957
Guyana,2012,17.38068
Guyana,2013,10.69551
Guyana,2014,13.41520
Guyana,2015,10.88295
Haiti,1971,29.32917
Haiti,1972,32.89515
Haiti,1973,28.43988
Haiti,1974,23.72032
Haiti,1975,24.15030
Haiti,1976,20.44066
Haiti,1977,20.93291
Haiti,1978,29.02187
Haiti,1979,35.19632
Haiti,1980,29.40330
Haiti,1981,37.42961
Haiti,1982,35.55265
Haiti,1983,35.63345
Haiti,1984,32.74198
Haiti,1985,33.86322
Haiti,1986,34.67781
Haiti,1987,34.41948
Haiti,1988,34.37386
Haiti,1989,37.37434
Haiti,1990,16.41509
Haiti,1991,25.69364
Haiti,1992,34.40572
Haiti,1993,30.84346
Haiti,1994,10.00149
Haiti,1995,54.09649
Haiti,1996,56.93111
Haiti,1997,45.81905
Haiti,1998,37.78205
Haiti,1999,35.38757
Haiti,2000,34.14731
Haiti,2001,31.29080
Haiti,2002,34.83020
Haiti,2003,28.94815
Haiti,2004,26.48069
Haiti,2005,24.03980
Haiti,2006,28.14210
Haiti,2007,32.99709
Haiti,2008,46.55482
Haiti,2009,46.71248
Haiti,2010,44.56999
Haiti,2011,41.44309
Haiti,2012,41.34499
Haiti,2013,41.61055
Haiti,2014,42.18638
Haiti,2015,41.28512
Heavily indebted poor countries (HIPC),1977,100.00000
Heavily indebted poor countries (HIPC),1978,100.00001
Heavily indebted poor countries (HIPC),1979,100.00000
Heavily indebted poor countries (HIPC),1980,100.00000
Heavily indebted poor countries (HIPC),1981,100.00000
Heavily indebted poor countries (HIPC),1982,100.00000
Heavily indebted poor countries (HIPC),1983,100.00000
Heavily indebted poor countries (HIPC),1984,100.00001
Heavily indebted poor countries (HIPC),1985,100.00000
Heavily indebted poor countries (HIPC),1986,100.00000
Heavily indebted poor countries (HIPC),1987,100.00000
Heavily indebted poor countries (HIPC),1988,100.00000
Heavily indebted poor countries (HIPC),1989,100.00000
Heavily indebted poor countries (HIPC),1990,100.00000
Heavily indebted poor countries (HIPC),1991,100.00000
Heavily indebted poor countries (HIPC),1992,100.00000
Heavily indebted poor countries (HIPC),1993,100.00001
Heavily indebted poor countries (HIPC),1994,100.00000
Heavily indebted poor countries (HIPC),1995,100.00001
Heavily indebted poor countries (HIPC),1996,100.00000
Heavily indebted poor countries (HIPC),1997,21.42686
Heavily indebted poor countries (HIPC),1998,23.71088
Heavily indebted poor countries (HIPC),1999,25.84587
Heavily indebted poor countries (HIPC),2000,25.03834
Heavily indebted poor countries (HIPC),2001,27.30940
Heavily indebted poor countries (HIPC),2002,27.82450
Heavily indebted poor countries (HIPC),2003,25.03593
Heavily indebted poor countries (HIPC),2004,24.94301
Heavily indebted poor countries (HIPC),2005,24.22993
Heavily indebted poor countries (HIPC),2006,22.50479
Heavily indebted poor countries (HIPC),2007,22.37152
Heavily indebted poor countries (HIPC),2008,21.60228
Heavily indebted poor countries (HIPC),2009,22.72978
Heavily indebted poor countries (HIPC),2010,19.55083
Heavily indebted poor countries (HIPC),2011,20.40003
Heavily indebted poor countries (HIPC),2012,20.61390
Heavily indebted poor countries (HIPC),2013,19.98331
Heavily indebted poor countries (HIPC),2014,20.09828
Heavily indebted poor countries (HIPC),2015,26.73709
High income,1975,18.39583
High income,1976,18.39414
High income,1977,18.76375
High income,1978,19.27875
High income,1979,18.35003
High income,1980,18.23448
High income,1981,18.65699
High income,1982,19.96449
High income,1983,20.22542
High income,1984,19.83858
High income,1985,20.23684
High income,1986,21.06340
High income,1987,21.01466
High income,1988,20.16871
High income,1989,20.17230
High income,1990,20.97984
High income,1991,21.48583
High income,1992,22.29829
High income,1993,22.69026
High income,1994,21.87303
High income,1995,20.81000
High income,1996,21.00649
High income,1997,21.00864
High income,1998,21.84185
High income,1999,22.18625
High income,2000,21.48267
High income,2001,22.18994
High income,2002,22.79492
High income,2003,22.56139
High income,2004,22.63145
High income,2005,22.43959
High income,2006,22.28957
High income,2007,22.95963
High income,2008,22.78410
High income,2009,25.38840
High income,2010,23.45958
High income,2011,22.41465
High income,2012,22.80528
High income,2013,23.64355
High income,2014,24.77123
High income,2015,26.21012
High income,2016,26.69536
Honduras,1974,8.40741
Honduras,1975,9.07507
Honduras,1976,8.41966
Honduras,1977,7.96521
Honduras,1978,8.17573
Honduras,1979,8.86038
Honduras,1980,8.65548
Honduras,1981,10.25409
Honduras,1982,10.67866
Honduras,1983,11.71036
Honduras,1984,11.93722
Honduras,1985,11.40862
Honduras,1986,10.83325
Honduras,1987,12.59275
Honduras,1988,13.29629
Honduras,1989,14.11066
Honduras,1990,13.29782
Honduras,1991,17.23119
Honduras,1992,19.39883
Honduras,1993,28.66367
Honduras,1994,30.09152
Honduras,1995,27.22657
Honduras,1996,25.35255
Honduras,1997,29.33285
Honduras,1998,33.52990
Honduras,1999,45.39993
Honduras,2000,48.29768
Honduras,2001,49.38561
Honduras,2002,52.94322
Honduras,2003,50.43221
Honduras,2004,49.12903
Honduras,2005,48.24276
Honduras,2006,46.44208
Honduras,2007,42.00401
Honduras,2008,41.45846
Honduras,2009,44.07008
Honduras,2010,42.66940
Honduras,2011,36.16996
Honduras,2012,33.70593
Honduras,2013,37.43556
Honduras,2014,37.97701
Honduras,2015,40.37129
Hong Kong,1998,14.53335
Hong Kong,1999,15.46623
Hong Kong,2000,14.59624
Hong Kong,2001,14.99160
Hong Kong,2002,15.25285
Hong Kong,2003,13.91444
Hong Kong,2004,14.37531
Hong Kong,2005,14.70250
Hong Kong,2006,15.19196
Hong Kong,2007,16.33850
Hong Kong,2008,16.48199
Hong Kong,2009,16.96034
Hong Kong,2010,17.15676
Hong Kong,2011,17.26082
Hong Kong,2012,17.37586
Hong Kong,2013,17.14898
Hong Kong,2014,17.21544
Hong Kong,2015,17.21808
Hungary,1982,6.54549
Hungary,1983,6.15653
Hungary,1984,6.14332
Hungary,1985,6.76106
Hungary,1986,7.34350
Hungary,1987,8.95230
Hungary,1988,9.48724
Hungary,1989,10.95499
Hungary,1990,23.96407
Hungary,1991,20.67953
Hungary,1992,25.22152
Hungary,1993,25.88695
Hungary,1994,28.95408
Hungary,1995,35.07520
Hungary,1996,36.74358
Hungary,1997,31.39195
Hungary,1998,26.91238
Hungary,1999,24.51595
Hungary,2000,23.60269
Hungary,2001,24.57303
Hungary,2002,22.40649
Hungary,2003,21.74823
Hungary,2004,18.35872
Hungary,2005,17.73384
Hungary,2006,16.20889
Hungary,2007,15.99806
Hungary,2008,16.21979
Hungary,2009,18.95151
Hungary,2010,18.11731
Hungary,2011,18.27442
Hungary,2012,18.65829
Hungary,2013,19.47804
Hungary,2014,20.02118
Hungary,2015,20.30241
Hungary,2016,20.39143
IBRD only,1981,100.00000
IBRD only,1982,13.33546
IBRD only,1983,13.42322
IBRD only,1984,13.13110
IBRD only,1985,14.35105
IBRD only,1986,16.83465
IBRD only,1987,15.84193
IBRD only,1988,16.57137
IBRD only,1989,16.96100
IBRD only,1990,17.31811
IBRD only,1991,17.88004
IBRD only,1992,18.91748
IBRD only,1993,19.41720
IBRD only,1994,19.21484
IBRD only,1995,18.62912
IBRD only,1996,18.77345
IBRD only,1997,23.29135
IBRD only,1998,22.72889
IBRD only,1999,21.83974
IBRD only,2000,20.22771
IBRD only,2001,21.12988
IBRD only,2002,21.26658
IBRD only,2003,16.13476
IBRD only,2004,16.24281
IBRD only,2005,15.22053
IBRD only,2006,14.51215
IBRD only,2007,14.89636
IBRD only,2008,14.46427
IBRD only,2009,16.06914
IBRD only,2010,14.11247
IBRD only,2011,14.08490
IBRD only,2012,14.01362
IBRD only,2013,14.28706
IBRD only,2014,14.58982
IBRD only,2015,15.83586
IDA & IBRD total,1981,100.00000
IDA & IBRD total,1982,13.57135
IDA & IBRD total,1983,13.60615
IDA & IBRD total,1984,13.23913
IDA & IBRD total,1985,14.47192
IDA & IBRD total,1986,16.97286
IDA & IBRD total,1987,16.01968
IDA & IBRD total,1988,16.70322
IDA & IBRD total,1989,17.12534
IDA & IBRD total,1990,17.35745
IDA & IBRD total,1991,17.92891
IDA & IBRD total,1992,18.99856
IDA & IBRD total,1993,19.60362
IDA & IBRD total,1994,19.37243
IDA & IBRD total,1995,18.79305
IDA & IBRD total,1996,18.85570
IDA & IBRD total,1997,23.14817
IDA & IBRD total,1998,22.82364
IDA & IBRD total,1999,21.96508
IDA & IBRD total,2000,20.23909
IDA & IBRD total,2001,21.10758
IDA & IBRD total,2002,21.34761
IDA & IBRD total,2003,16.38290
IDA & IBRD total,2004,16.42372
IDA & IBRD total,2005,15.30829
IDA & IBRD total,2006,14.62699
IDA & IBRD total,2007,15.01331
IDA & IBRD total,2008,14.56631
IDA & IBRD total,2009,16.23348
IDA & IBRD total,2010,14.33479
IDA & IBRD total,2011,14.26047
IDA & IBRD total,2012,14.24924
IDA & IBRD total,2013,14.50984
IDA & IBRD total,2014,14.83657
IDA & IBRD total,2015,16.23229
IDA blend,1977,8.34624
IDA blend,1978,12.05574
IDA blend,1979,10.19263
IDA blend,1980,8.42371
IDA blend,1981,10.02930
IDA blend,1982,12.14808
IDA blend,1983,12.13647
IDA blend,1984,11.36757
IDA blend,1985,11.67240
IDA blend,1986,15.57513
IDA blend,1987,14.04756
IDA blend,1988,14.52623
IDA blend,1989,16.21917
IDA blend,1990,15.34118
IDA blend,1991,15.62693
IDA blend,1992,16.39886
IDA blend,1993,17.78544
IDA blend,1994,16.61621
