Entity,Year,Deaths in civil conflicts,Deaths in colonial or imperial conflicts,Deaths in civil conflicts with foreign state intervention,Deaths in conflicts between states,Deaths in all state-based conflict types,"Deaths in colonial or imperial conflicts per 100,000","Deaths in conflicts between states per 100,000","Deaths in civil conflicts per 100,000","Deaths in civil conflicts with foreign state intervention per 100,000","Deaths in all state-based conflict types per 100,000"
World,1948,412687,44959,0,29652,487298,1.81678357345751,1.19823097756093,16.6765933979728,0,19.6916079489912
World,1949,400670.5,45303,0,19331,465304.5,1.81152453811673,0.772985913655488,16.02155359357,0,18.6060640453422
World,1950,21880.5,44692,0,529512.5,596085,1.76188195497501,20.8748437904704,0.862589683071482,0,23.4993154285169
World,1951,11519,45087,0,348344,404950,1.74482983230985,13.4806264135148,0.445775829804093,0,15.6712320756287
World,1952,7232.5,47323,0,99589,154144.5,1.79876426859883,3.78541374691986,0.274909929054393,0,5.85908794457309
World,1953,6297,47010.5,0,49750,103057.5,1.75568945892187,1.85800088451225,0.235172493864796,0,3.84886283729891
World,1954,5099,66887.5,0,1000,72986.5,2.45472520520476,0.0366993116083687,0.187129789891072,0,2.6785543067042
World,1955,10593,24690.5,0,0,35283.5,0.890383075377228,0,0.382002305237682,0,1.27238538061491
World,1956,14006,24263.5,0,5313,43582.5,0.859662987881514,0.188241162841902,0.496236726287159,0,1.54414087701058
World,1957,10518.5,24825.5,42.5,40,35426.5,0.864004722253648,0.00139212458521061,0.366076561238444,0.00147913237178627,1.23295254044909
World,1958,25231,24590,166,1800.5,51787.5,0.840486446648816,0.061541108059829,0.862395833078336,0.00567388166505504,1.77009726945204
World,1959,31295.5,24278,25,0,55598.5,0.814813880727196,0,1.05033395684562,0.000839045515206355,1.86598688308802
World,1960,16824.5,20281,116346.5,512,153964,0.668201966197382,0.0168689614266091,0.554320002972627,3.83329027465035,5.07268120524697
World,1961,143863,25923,2157,1394,173337,0.838431827150827,0.0450863699050362,4.65298452915941,0.0697642036478932,5.60626692986317
World,1962,14336.5,25968,28123,17155,85582.5,0.824270850990796,0.54453043933869,0.455066198984502,0.892674412446633,2.71654190176062
World,1963,16187,7006,63611.5,685,87489.5,0.218187416594718,0.0213329118423326,0.504110721155967,1.9810489367278,2.72467998632081
World,1964,27239.5,9257.5,53821.5,850.5,91169,0.282759970705988,0.0259775700875444,0.832000023985498,1.64391744675693,2.78465501153596
World,1965,33475.5,9333,8383,75612,126803.5,0.279465986547366,2.264114665683,1.00238547440977,0.251019325535902,3.79698545217604
World,1966,28057,9657.5,8484,78320.5,124519,0.283383780928149,2.29818891164205,0.823287469997522,0.24894931373486,3.65380947630258
World,1967,44413.5,9783.5,8484.5,92928.5,155610,0.281234451060026,2.67130328464574,1.27670121042106,0.243893667912178,4.47313261403901
World,1968,63688,9534.5,8383.5,184625,266231,0.268456513256926,5.19836213331166,1.79322024398837,0.23604857925318,7.49608746981014
World,1969,63166.5,9484,9895,148149,230694.5,0.261578448136177,4.08610138263671,1.74219686252571,0.272914249716098,6.3627909430147
World,1970,74171,9484,9895,148902,242452,0.256276831655994,4.02363272746107,2.00425019830839,0.267382881614937,6.55154263904039
World,1971,177885,9484,41204,150835,379408,0.251181217149544,3.99482485119691,4.71123690559328,1.09127697927349,10.0485199532132
World,1972,27484,10361.5,41443,240687,319975.5,0.269014537309074,6.24893132667173,0.713564208213347,1.07598026055107,8.30749033274523
World,1973,26157,10361.5,39933,165630.5,242082,0.263800381729985,4.21689804817144,0.66594861602193,1.01668104460006,6.16332809052341
World,1974,39904,8120,37660,194381,280065,0.202807627939959,4.85491989243809,0.996654628733515,0.940607791652571,6.99498994076413
World,1975,56566,0,66122,30794.5,153482.5,0,0.754863277415178,1.38659813116845,1.62084364510696,3.7623050536906
World,1976,105720,0,14148,1416.5,121284.5,0,0.0340941899797451,2.54460837603858,0.340532721379056,2.91923528739738
World,1977,45761.5,0,13361,1696,60818.5,0,0.0400992464198508,1.08195852891627,0.315899782674308,1.43795755801043
World,1978,69736,0,46860,1359,117955,0,0.0315713646873878,1.62005937295046,1.08861968303973,2.74025042067757
World,1979,83088.5,0,40818,45434,169340.5,0,1.03718607240956,1.89677851339089,0.931810122454844,3.86577470825529
World,1980,41803,0,64733,35800,142336,0,0.80300116940836,0.937649661585969,1.45197415361205,3.19262498460638
World,1981,60888.5,0,60387.5,95908,217184,0,2.11390944533162,1.34204420133956,1.33100165398051,4.78695530065169
World,1982,124660,0,48365,96514,269539,0,2.09023003593797,2.69979563876771,1.04745400344136,5.83747967814704
World,1983,79058,0,75876,96973,251907,0,2.06344446061463,1.68223930544864,1.61453097144149,5.36021473750476
World,1984,102801,0,100365,65012.5,268178.5,0,1.35895366967503,2.1488451635649,2.09792555365406,5.60572438689399
World,1985,73318.5,0,103854,64630,241802.5,0,1.32685361097878,1.50522847712436,2.13212215557156,4.96420424367469
World,1986,85969,0,100367,65074.5,251410.5,0,1.31183566128388,1.73304750654887,2.02329652653619,5.06817969436894
World,1987,55335,0,79395,75899,210629,0,1.50220028908597,1.09519562835573,1.57139345646162,4.16878937390332
World,1988,163534,0,39083,64850,267467,0,1.26034268301259,3.17824025171597,0.759567819278043,5.19815075400661
World,1989,42774,0,10662,868,54304,0,0.0165729776858395,0.816696483334213,0.203572682127212,1.03684214314726
World,1990,75450,0,3403,1086,79939,0,0.0203846846089425,1.41622877877045,0.0638757658602497,1.50048922923964
World,1991,47812,0,587,21889,70288,0,0.404282048033317,0.883070641900906,0.0108416813100442,1.29819437124427
World,1992,26573,0,22401,25,48999,0,0.000454634737285719,0.483240354955737,0.407370909997496,0.891065899690518
World,1993,28304,0,8649,0,36953,0,0,0.50709495826578,0.154955635035357,0.662050593301137
World,1994,32443,0,984,42,33469,0,0.000741636665824282,0.572879008317552,0.0173754875993117,0.590996132582688
World,1995,26545,0,1840,99,28484,0,0.00172347371561024,0.462117270513877,0.0320322387547761,0.495872982984263
World,1996,23129,0,4664,91,27884,0,0.0015622607447563,0.397071744675479,0.0800701550938835,0.478704160514118
World,1997,24428,0,15227,127,39782,0,0.0021507031036165,0.413680121379085,0.257864221722586,0.673695046205288
World,1998,28209,0,10444,1147,39800,0,0.0191652375370151,0.47134453851932,0.174508928366683,0.665018704423018
World,1999,21867,0,10608,48126,80601,0,0.793603282488026,0.360589348339061,0.174927141682936,1.32911977251002
World,2000,24240,0,3147,50198,77585,0,0.817054445443517,0.394545594596415,0.0512225654370841,1.26282260547702
World,2001,15987,0,5683,1443,23113,0,0.0231884991072474,0.256905429818131,0.0913237979393533,0.371417726864732
World,2002,17978,0,1515,212,19705,0,0.00336397821753651,0.285271699975808,0.0240397499979614,0.312675428191306
World,2003,10844,0,2680,8164,21688,0,0.12793275955451,0.169929304827181,0.041996545272671,0.339858609654361
World,2004,13528,0,5634,0,19162,0,0,0.209364620298296,0.0871939880810613,0.296558608379357
World,2005,7137,0,5064,0,12201,0,0,0.109091653960668,0.0774050911667121,0.18649674512738
World,2006,10177,0,9456,0,19633,0,0,0.153642473985078,0.142757515378098,0.296399989363176
World,2007,8379,0,10775,0,19154,0,0,0.124943126962977,0.160670986158978,0.285614113121955
World,2008,18305,0,10252,35,28592,0,0.000515509745507008,0.269611596900165,0.151000168883938,0.42112727552961
World,2009,23059,0,11490,0,34549,0,0,0.335497438617095,0.167174013171015,0.50267145178811
World,2010,10021,0,11013,0,21034,0,0,0.144039124852021,0.158297862687886,0.302336987539908
World,2011,9933,0,15059,29,25021,0,0.000411843512205244,0.141063503680507,0.213860394837889,0.3553357420306
World,2012,59143,0,14555,367,74065,0,0.00515004980441264,0.829943857172688,0.204247888019689,1.03934179499679
World,2013,79098,0,13668,31,92797,0,0.000429904718205073,1.09692269034145,0.18954637704603,1.28689897210568
World,2014,73268,0,39405,49,112722,0,0.000671636754434003,1.00427513722185,0.540119312417794,1.54506608639408
World,2015,6584,0,95722,63,102369,0,0.000853644902557634,0.0892126672768168,1.29702535496225,1.38709166714163
World,2016,7881,0,79294,125,87300,0,0.00167462801975449,0.105581947389481,1.0623036335873,1.16956020899653
World,2017,9228,0,58506,151,67885,0,0.00200048154929444,0.122254594284033,0.775100486907419,0.899355562740747
World,2018,5351,0,49323,240,54914,0,0.00314502862749859,0.0701210341072707,0.646342695808804,0.719608758543574
World,2019,4358,0,46584,302,51244,0,0.00391522972613724,0.0564985799553182,0.60393066742509,0.664344477106546
World,2020,5683,0,42973,648,49304,0,0.00831323582380249,0.072907591337453,0.551303523234976,0.632524350396232
