Entity,Year,Reported cases of measles (WHO (2015))
Costa Rica,1986,4534
Costa Rica,1987,4004
Costa Rica,1988,358
Costa Rica,1989,33
Costa Rica,1990,76
Costa Rica,1991,6296
Costa Rica,1992,2361
Costa Rica,1993,273
Costa Rica,1994,0
Costa Rica,1995,35
Costa Rica,1996,24
Costa Rica,1997,26
Costa Rica,1998,27
Costa Rica,1999,23
Costa Rica,2000,0
Costa Rica,2001,0
Costa Rica,2002,0
Costa Rica,2003,1
Costa Rica,2004,0
Costa Rica,2005,1
Costa Rica,2007,0
Costa Rica,2008,0
Costa Rica,2009,0
Costa Rica,2010,0
Costa Rica,2011,0
Costa Rica,2012,0
Costa Rica,2013,0
Costa Rica,2014,1
Cote d'Ivoire,1980,7633
Cote d'Ivoire,1981,14782
Cote d'Ivoire,1982,15605
Cote d'Ivoire,1983,7139
Cote d'Ivoire,1984,5946
Cote d'Ivoire,1985,8892
Cote d'Ivoire,1986,23839
Cote d'Ivoire,1987,34170
Cote d'Ivoire,1988,16864
Cote d'Ivoire,1989,18660
Cote d'Ivoire,1990,17799
Cote d'Ivoire,1991,9902
Cote d'Ivoire,1992,14765
Cote d'Ivoire,1993,7465
Cote d'Ivoire,1995,30039
Cote d'Ivoire,1996,20858
Cote d'Ivoire,1997,9665
Cote d'Ivoire,1998,12289
Cote d'Ivoire,1999,4824
Cote d'Ivoire,2000,5729
Cote d'Ivoire,2001,5790
Cote d'Ivoire,2002,5882
Cote d'Ivoire,2003,4770
Cote d'Ivoire,2004,3466
Cote d'Ivoire,2005,115
Cote d'Ivoire,2006,11
Cote d'Ivoire,2007,5
Cote d'Ivoire,2008,12
Cote d'Ivoire,2009,183
Cote d'Ivoire,2010,441
Cote d'Ivoire,2011,628
Cote d'Ivoire,2012,137
Cote d'Ivoire,2013,48
Cote d'Ivoire,2014,50
Croatia,1990,119
Croatia,1991,117
Croatia,1992,160
Croatia,1993,87
Croatia,1994,138
Croatia,1995,697
Croatia,1996,119
Croatia,1997,240
Croatia,1998,648
Croatia,1999,31
Croatia,2000,9
Croatia,2001,8
Croatia,2002,6
Croatia,2003,19
Croatia,2004,54
Croatia,2005,2
Croatia,2006,1
Croatia,2007,0
Croatia,2008,51
Croatia,2009,2
Croatia,2010,7
Croatia,2011,12
Croatia,2012,2
Croatia,2013,0
Cuba,1980,3924
Cuba,1981,18387
Cuba,1982,23408
Cuba,1983,3287
Cuba,1984,3315
Cuba,1985,2874
Cuba,1986,3312
Cuba,1987,858
Cuba,1988,121
Cuba,1989,12
Cuba,1990,12
Cuba,1991,17
Cuba,1992,12
Cuba,1993,2
Cuba,1994,0
Cuba,1995,1
Cuba,1996,0
Cuba,1997,0
Cuba,1998,0
Cuba,1999,0
Cuba,2000,0
Cuba,2001,0
Cuba,2002,0
Cuba,2003,0
Cuba,2004,0
Cuba,2005,0
Cuba,2006,0
Cuba,2007,0
Cuba,2008,0
Cuba,2009,0
Cuba,2010,0
Cuba,2011,0
Cuba,2012,0
Cuba,2014,0
Cyprus,1980,0
Cyprus,1981,3
Cyprus,1982,27
Cyprus,1983,183
Cyprus,1984,3
Cyprus,1985,1
Cyprus,1986,1
Cyprus,1987,0
Cyprus,1988,0
Cyprus,1989,0
Cyprus,1990,4
Cyprus,1991,1
Cyprus,1992,20
Cyprus,1993,0
Cyprus,1994,0
Cyprus,1995,0
Cyprus,1996,55
Cyprus,1997,1
Cyprus,1998,1
Cyprus,1999,0
Cyprus,2000,0
Cyprus,2002,0
Cyprus,2003,0
Cyprus,2004,0
Cyprus,2005,1
Cyprus,2006,0
Cyprus,2007,0
Cyprus,2008,1
Cyprus,2009,0
Cyprus,2010,18
Cyprus,2011,0
Cyprus,2012,1
Cyprus,2013,90
Cyprus,2014,10
Czech Republic,1990,2420
Czech Republic,1991,839
Czech Republic,1992,416
Czech Republic,1993,14
Czech Republic,1994,9
Czech Republic,1995,5
Czech Republic,1996,10
Czech Republic,1997,14
Czech Republic,1998,19
Czech Republic,1999,2
Czech Republic,2000,9
Czech Republic,2001,6
Czech Republic,2002,4
Czech Republic,2003,30
Czech Republic,2004,17
Czech Republic,2005,0
Czech Republic,2006,7
Czech Republic,2007,2
Czech Republic,2008,2
Czech Republic,2009,5
Czech Republic,2010,0
Czech Republic,2011,17
Czech Republic,2012,22
Czech Republic,2013,15
Czech Republic,2014,222
Democratic Republic of Congo,1980,32596
Democratic Republic of Congo,1981,38142
Democratic Republic of Congo,1982,30775
Democratic Republic of Congo,1983,21057
Democratic Republic of Congo,1984,11385
Democratic Republic of Congo,1985,19508
Democratic Republic of Congo,1986,19430
Democratic Republic of Congo,1987,14866
Democratic Republic of Congo,1988,13214
Democratic Republic of Congo,1989,11178
Democratic Republic of Congo,1990,4564
Democratic Republic of Congo,1992,63
Democratic Republic of Congo,1993,2749
Democratic Republic of Congo,1994,12573
Democratic Republic of Congo,1995,5443
Democratic Republic of Congo,1996,9546
Democratic Republic of Congo,1997,5766
Democratic Republic of Congo,1998,15271
Democratic Republic of Congo,1999,12135
Democratic Republic of Congo,2000,8282
Democratic Republic of Congo,2001,8072
Democratic Republic of Congo,2002,30466
Democratic Republic of Congo,2003,21956
Democratic Republic of Congo,2004,44934
Democratic Republic of Congo,2005,182485
Democratic Republic of Congo,2006,80123
Democratic Republic of Congo,2007,55577
Democratic Republic of Congo,2008,12461
Democratic Republic of Congo,2009,57
Democratic Republic of Congo,2010,5407
Democratic Republic of Congo,2011,133802
Democratic Republic of Congo,2012,72029
Democratic Republic of Congo,2013,88381
Democratic Republic of Congo,2014,33711
Denmark,1980,28249
Denmark,1981,35651
Denmark,1982,15656
Denmark,1983,33242
Denmark,1984,21188
Denmark,1985,13187
Denmark,1986,23490
Denmark,1987,6268
Denmark,1988,618
Denmark,1989,405
Denmark,1990,180
Denmark,1991,162
Denmark,1992,129
Denmark,1993,115
Denmark,1994,36
Denmark,1995,20
Denmark,1996,119
Denmark,1997,61
Denmark,2000,14
Denmark,2001,11
Denmark,2002,32
Denmark,2003,0
Denmark,2004,0
Denmark,2005,2
Denmark,2006,27
Denmark,2007,2
Denmark,2008,14
Denmark,2009,6
Denmark,2010,5
Denmark,2011,84
Denmark,2012,2
Denmark,2013,17
Denmark,2014,27
Djibouti,1981,4533
Djibouti,1982,31
Djibouti,1984,1295
Djibouti,1985,108
Djibouti,1987,52
Djibouti,1988,473
Djibouti,1989,490
Djibouti,1990,104
Djibouti,1991,13
Djibouti,1992,129
Djibouti,1993,37
Djibouti,1995,8
Djibouti,1996,410
Djibouti,1998,198
Djibouti,1999,341
Djibouti,2000,183
Djibouti,2001,79
Djibouti,2002,50
Djibouti,2003,37
Djibouti,2004,71
Djibouti,2005,298
Djibouti,2006,49
Djibouti,2007,24
Djibouti,2008,143
Djibouti,2009,48
Djibouti,2010,7
Djibouti,2011,49
Djibouti,2012,709
Djibouti,2013,28
Dominica,1980,0
Dominica,1981,27
Dominica,1982,2
Dominica,1983,1
Dominica,1984,188
Dominica,1985,64
Dominica,1986,45
Dominica,1987,82
Dominica,1988,10
Dominica,1989,9
Dominica,1990,13
Dominica,1991,6
Dominica,1992,0
Dominica,1993,0
Dominica,1994,0
Dominica,1995,0
Dominica,1996,0
Dominica,1997,0
Dominica,1998,0
Dominica,1999,0
Dominica,2000,0
Dominica,2001,0
Dominica,2002,0
Dominica,2003,0
Dominica,2004,0
Dominica,2005,0
Dominica,2006,0
Dominica,2007,0
Dominica,2008,0
Dominica,2009,0
Dominica,2010,0
Dominica,2011,0
Dominica,2012,0
Dominica,2013,0
Dominica,2014,0
Dominican Republic,1980,9760
Dominican Republic,1981,3410
Dominican Republic,1982,3671
Dominican Republic,1983,2960
Dominican Republic,1984,4429
Dominican Republic,1985,4417
Dominican Republic,1986,501
Dominican Republic,1987,499
Dominican Republic,1988,692
Dominican Republic,1989,1505
Dominican Republic,1990,3477
Dominican Republic,1991,7512
Dominican Republic,1992,7650
Dominican Republic,1993,4637
Dominican Republic,1994,3
Dominican Republic,1995,0
Dominican Republic,1996,0
Dominican Republic,1997,1
Dominican Republic,1998,14
Dominican Republic,1999,274
Dominican Republic,2000,253
Dominican Republic,2001,113
Dominican Republic,2002,0
Dominican Republic,2003,0
Dominican Republic,2004,0
Dominican Republic,2005,0
Dominican Republic,2006,0
Dominican Republic,2007,0
Dominican Republic,2008,0
Dominican Republic,2009,0
Dominican Republic,2010,0
Dominican Republic,2011,2
Dominican Republic,2012,0
Dominican Republic,2013,0
Dominican Republic,2014,0
Ecuador,1980,2722
Ecuador,1981,4678
Ecuador,1982,1647
Ecuador,1983,2556
Ecuador,1984,6979
Ecuador,1985,1183
Ecuador,1986,839
Ecuador,1987,1537
Ecuador,1988,8004
Ecuador,1989,3649
Ecuador,1990,1646
Ecuador,1991,1585
Ecuador,1992,4356
Ecuador,1993,3627
Ecuador,1994,3668
Ecuador,1995,919
Ecuador,1996,42
Ecuador,1997,0
Ecuador,1998,0
Ecuador,1999,0
Ecuador,2000,0
Ecuador,2001,2
Ecuador,2002,0
Ecuador,2003,0
Ecuador,2004,0
Ecuador,2005,0
Ecuador,2006,0
Ecuador,2007,0
Ecuador,2008,1
Ecuador,2009,0
Ecuador,2010,0
Ecuador,2011,263
Ecuador,2012,72
Ecuador,2013,0
Ecuador,2014,0
Egypt,1980,839
Egypt,1981,1777
Egypt,1982,7365
Egypt,1983,813
Egypt,1984,4898
Egypt,1985,5554
Egypt,1986,1176
Egypt,1987,1805
Egypt,1988,3672
Egypt,1989,4057
Egypt,1990,887
Egypt,1991,1231
Egypt,1992,4403
Egypt,1993,2874
Egypt,1994,1444
Egypt,1995,1833
Egypt,1996,4403
Egypt,1997,4606
Egypt,1998,4868
Egypt,1999,1547
Egypt,2000,2633
Egypt,2001,2150
Egypt,2002,653
Egypt,2003,164
Egypt,2004,80
Egypt,2005,77
Egypt,2006,953
Egypt,2007,1684
Egypt,2008,668
Egypt,2009,608
Egypt,2010,16
Egypt,2011,26
Egypt,2012,245
Egypt,2013,405
Egypt,2014,1314
El Salvador,1980,2315
El Salvador,1981,12554
El Salvador,1982,3664
El Salvador,1983,2407
El Salvador,1984,4775
El Salvador,1985,1413
El Salvador,1986,278
El Salvador,1987,405
El Salvador,1988,787
El Salvador,1989,0
El Salvador,1990,0
El Salvador,1991,0
El Salvador,1992,509
El Salvador,1993,38
El Salvador,1994,0
El Salvador,1995,0
El Salvador,1996,1
El Salvador,1997,0
El Salvador,1998,0
El Salvador,1999,0
El Salvador,2000,0
El Salvador,2001,2
El Salvador,2002,0
El Salvador,2003,0
El Salvador,2004,0
El Salvador,2005,0
El Salvador,2006,0
El Salvador,2007,0
El Salvador,2008,0
El Salvador,2009,0
El Salvador,2010,0
El Salvador,2011,0
El Salvador,2012,0
El Salvador,2013,0
El Salvador,2014,0
Equatorial Guinea,1984,198
Equatorial Guinea,1985,464
Equatorial Guinea,1986,788
Equatorial Guinea,1987,11865
Equatorial Guinea,1988,14875
Equatorial Guinea,1989,582
Equatorial Guinea,1990,32
Equatorial Guinea,1991,32
Equatorial Guinea,1992,297
Equatorial Guinea,1993,157
Equatorial Guinea,1994,270
Equatorial Guinea,1995,44
Equatorial Guinea,1996,1
Equatorial Guinea,1997,0
Equatorial Guinea,2001,1339
Equatorial Guinea,2002,24
Equatorial Guinea,2003,18
Equatorial Guinea,2004,38
Equatorial Guinea,2006,0
Equatorial Guinea,2007,5
Equatorial Guinea,2008,436
Equatorial Guinea,2009,78
Equatorial Guinea,2010,0
Equatorial Guinea,2011,0
Equatorial Guinea,2012,1190
Equatorial Guinea,2013,321
Equatorial Guinea,2014,13
Eritrea,1993,267
Eritrea,1994,541
Eritrea,1995,185
Eritrea,1996,1783
Eritrea,1997,777
Eritrea,1998,316
Eritrea,1999,320
Eritrea,2000,789
Eritrea,2001,204
Eritrea,2002,460
Eritrea,2003,376
Eritrea,2004,24
Eritrea,2005,19
Eritrea,2006,128
Eritrea,2007,55
Eritrea,2008,0
Eritrea,2009,82
Eritrea,2010,51
Eritrea,2011,48
Eritrea,2012,194
Eritrea,2013,45
Eritrea,2014,127
Estonia,1990,33
Estonia,1991,129
Estonia,1992,71
Estonia,1993,312
Estonia,1994,230
Estonia,1995,17
Estonia,1996,19
Estonia,1997,18
Estonia,1998,17
Estonia,1999,12
Estonia,2000,9
Estonia,2001,0
Estonia,2002,0
Estonia,2003,0
Estonia,2004,0
Estonia,2005,2
Estonia,2006,27
Estonia,2007,1
Estonia,2008,0
Estonia,2009,0
Estonia,2010,0
Estonia,2011,7
Estonia,2012,4
Estonia,2013,2
Estonia,2014,0
Ethiopia,1980,10690
Ethiopia,1981,9784
Ethiopia,1982,10527
Ethiopia,1983,5866
Ethiopia,1984,9843
Ethiopia,1985,66544
Ethiopia,1986,3760
Ethiopia,1987,4832
Ethiopia,1988,7575
Ethiopia,1989,4169
Ethiopia,1990,1836
Ethiopia,1991,497
Ethiopia,1992,4815
Ethiopia,1993,1152
Ethiopia,1994,1133
Ethiopia,1995,562
Ethiopia,1996,1586
Ethiopia,1997,1113
Ethiopia,1998,1603
Ethiopia,1999,5329
Ethiopia,2000,1660
Ethiopia,2001,2366
Ethiopia,2002,3332
Ethiopia,2003,228
Ethiopia,2004,73
Ethiopia,2005,357
Ethiopia,2006,1451
Ethiopia,2007,1446
Ethiopia,2008,3511
Ethiopia,2009,1176
Ethiopia,2010,4235
Ethiopia,2011,3255
Ethiopia,2012,4347
Ethiopia,2013,5253
Ethiopia,2014,12739
Fiji,1980,913
Fiji,1981,1003
Fiji,1982,902
Fiji,1983,313
Fiji,1984,827
Fiji,1985,152
Fiji,1986,385
Fiji,1987,1075
Fiji,1988,610
Fiji,1989,53
Fiji,1990,32
Fiji,1992,969
Fiji,1993,425
Fiji,1994,39
Fiji,1995,414
Fiji,1996,39
Fiji,1997,828
Fiji,2001,17
Fiji,2002,304
Fiji,2003,305
Fiji,2004,37
Fiji,2006,136
Fiji,2007,0
Fiji,2008,0
Fiji,2009,1
Fiji,2010,0
Fiji,2012,0
Finland,1980,2147
Finland,1981,3813
Finland,1982,5402
Finland,1983,4751
Finland,1984,729
Finland,1985,614
Finland,1986,741
Finland,1987,635
Finland,1988,129
Finland,1989,1032
Finland,1990,3
Finland,1991,8
Finland,1992,5
Finland,1993,0
Finland,1994,1
Finland,1995,6
Finland,1996,0
Finland,1997,0
Finland,1998,1
Finland,2001,1
Finland,2002,0
Finland,2003,0
Finland,2004,0
Finland,2005,1
Finland,2006,0
Finland,2007,0
Finland,2008,5
Finland,2009,2
Finland,2010,5
Finland,2011,27
Finland,2013,2
France,1980,1244
France,1981,1132
France,1982,812
France,1983,870
France,1984,978
France,1985,399
France,1986,931
France,1991,156849
France,1992,109548
France,1993,77232
France,1994,44005
France,1995,54239
France,1996,66000
France,1997,80000
France,2000,10000
France,2002,5185
France,2004,4448
France,2005,36
France,2006,40
France,2007,39
France,2008,604
France,2009,1541
France,2010,5048
France,2011,14949
France,2013,272
France,2014,267
Gabon,1980,1641
Gabon,1981,2306
Gabon,1982,1747
Gabon,1983,4324
Gabon,1984,7234
Gabon,1985,5222
Gabon,1986,6826
Gabon,1987,2074
Gabon,1988,655
Gabon,1989,1780
Gabon,1990,738
Gabon,1992,1245
Gabon,1993,958
Gabon,1996,70
Gabon,2000,15
Gabon,2001,5129
Gabon,2002,110
Gabon,2004,63
Gabon,2005,0
Gabon,2006,90
Gabon,2007,0
Gabon,2008,3
Gabon,2009,0
Gabon,2010,1
Gabon,2011,2
Gabon,2012,2
Gabon,2013,122
Gabon,2014,33
Gambia,1980,284
Gambia,1981,262
Gambia,1982,1566
Gambia,1983,1372
Gambia,1985,1628
Gambia,1986,3997
Gambia,1991,164
Gambia,1992,364
Gambia,1993,912
Gambia,1994,280
Gambia,1995,130
Gambia,1996,15
Gambia,1997,1500
Gambia,1999,856
Gambia,2000,336
Gambia,2001,99
Gambia,2002,32
Gambia,2003,119
Gambia,2004,0
Gambia,2005,0
Gambia,2006,0
Gambia,2007,0
Gambia,2008,0
Gambia,2009,0
Gambia,2010,2
Gambia,2011,0
Gambia,2012,0
Gambia,2013,0
Gambia,2014,1
Georgia,1991,352
Georgia,1992,115
Georgia,1993,409
Georgia,1994,723
Georgia,1995,181
Georgia,1996,304
Georgia,1997,342
Georgia,1998,218
Georgia,1999,144
Georgia,2000,50
Georgia,2001,35
Georgia,2002,199
Georgia,2003,216
Georgia,2004,6847
Georgia,2005,1356
Georgia,2006,334
Georgia,2007,44
Georgia,2008,56
Georgia,2009,23
Georgia,2010,22
Georgia,2011,64
Georgia,2012,31
Georgia,2013,7872
Georgia,2014,3188
Germany,1980,28745
Germany,1981,5290
Germany,1982,2029
Germany,1983,9798
Germany,1984,11759
Germany,1985,568
Germany,1986,199
Germany,1987,189
Germany,1988,17
Germany,1989,45
Germany,2001,6024
Germany,2002,4657
Germany,2003,779
Germany,2004,121
Germany,2005,778
Germany,2006,2307
Germany,2007,567
Germany,2008,917
Germany,2009,574
Germany,2010,780
Germany,2011,1607
Germany,2012,166
Germany,2013,1771
Germany,2014,443
Ghana,1980,82684
Ghana,1981,38476
Ghana,1982,79636
Ghana,1983,36561
Ghana,1984,40179
Ghana,1985,64517
Ghana,1986,11099
Ghana,1987,24781
Ghana,1988,40456
Ghana,1989,19997
Ghana,1990,32246
Ghana,1991,17135
Ghana,1992,39933
Ghana,1993,34641
Ghana,1994,34821
Ghana,1995,40276
Ghana,1996,34273
Ghana,1997,37261
Ghana,1998,23335
Ghana,1999,15987
Ghana,2000,23068
Ghana,2001,13476
Ghana,2002,12289
Ghana,2003,1939
Ghana,2004,60
Ghana,2005,435
Ghana,2006,420
Ghana,2007,6
Ghana,2008,82
Ghana,2009,101
Ghana,2010,641
Ghana,2011,120
Ghana,2012,1613
Ghana,2013,319
Ghana,2014,124
Greece,1980,13464
Greece,1981,1389
Greece,1982,3417
Greece,1983,23723
Greece,1984,1200
Greece,1985,1484
Greece,1986,1050
Greece,1987,1891
Greece,1988,5100
Greece,1989,534
Greece,1990,245
Greece,1991,1371
Greece,1992,3448
Greece,1993,503
Greece,1994,163
Greece,1995,112
Greece,1996,6082
Greece,1997,136
Greece,1998,66
Greece,1999,69
Greece,2000,56
Greece,2001,12
Greece,2002,5
Greece,2004,1
Greece,2005,122
Greece,2007,2
Greece,2008,1
Greece,2009,2
Greece,2010,149
Greece,2011,40
Greece,2012,3
Greece,2013,3
Greece,2014,1
Grenada,1980,53
Grenada,1981,9
Grenada,1982,1713
Grenada,1983,268
Grenada,1984,11
Grenada,1985,7
Grenada,1986,20
Grenada,1987,6
Grenada,1988,4
Grenada,1989,2
Grenada,1990,6
Grenada,1991,2
Grenada,1992,0
Grenada,1993,0
Grenada,1994,0
Grenada,1995,3
Grenada,1996,0
Grenada,1997,0
Grenada,1998,0
Grenada,1999,0
Grenada,2000,0
Grenada,2001,0
Grenada,2002,0
Grenada,2003,0
Grenada,2004,0
Grenada,2005,0
Grenada,2006,0
Grenada,2007,0
Grenada,2008,0
Grenada,2009,0
Grenada,2010,0
Grenada,2011,0
Grenada,2012,0
Grenada,2013,0
Grenada,2014,0
Guatemala,1980,2703
Guatemala,1981,3472
Guatemala,1982,3992
Guatemala,1983,2762
Guatemala,1984,3072
Guatemala,1985,2272
Guatemala,1986,1650
Guatemala,1987,400
Guatemala,1988,182
Guatemala,1989,2413
Guatemala,1990,8802
Guatemala,1991,209
Guatemala,1992,97
Guatemala,1993,17
Guatemala,1994,204
Guatemala,1995,23
Guatemala,1996,1
Guatemala,1997,8
Guatemala,1998,1
Guatemala,1999,0
Guatemala,2000,0
Guatemala,2001,0
Guatemala,2002,0
Guatemala,2003,0
Guatemala,2004,0
Guatemala,2005,0
Guatemala,2006,0
Guatemala,2007,0
Guatemala,2008,0
Guatemala,2009,0
Guatemala,2010,0
Guatemala,2011,0
Guatemala,2012,0
Guatemala,2013,0
Guatemala,2014,0
Guinea,1980,8552
Guinea,1981,11397
Guinea,1982,15038
Guinea,1983,8856
Guinea,1984,4396
Guinea,1985,2969
Guinea,1986,2592
Guinea,1987,7357
Guinea,1988,3353
Guinea,1989,4152
Guinea,1990,12756
Guinea,1991,6708
Guinea,1992,1617
Guinea,1993,5228
Guinea,1994,2372
Guinea,1995,1085
Guinea,1996,10292
Guinea,1997,10170
Guinea,1998,9170
Guinea,1999,18004
Guinea,2000,11294
Guinea,2001,7408
Guinea,2002,2151
Guinea,2003,2497
Guinea,2004,10
Guinea,2005,99
Guinea,2006,4
Guinea,2007,3
Guinea,2008,89
Guinea,2009,264
Guinea,2010,45
Guinea,2011,11
Guinea,2012,6
Guinea,2013,53
Guinea,2014,175
Guinea-Bissau,1980,1332
Guinea-Bissau,1981,2096
Guinea-Bissau,1982,1613
Guinea-Bissau,1983,3218
Guinea-Bissau,1984,355
Guinea-Bissau,1985,1328
Guinea-Bissau,1986,2241
Guinea-Bissau,1987,174
Guinea-Bissau,1988,1103
Guinea-Bissau,1989,106
Guinea-Bissau,1990,259
Guinea-Bissau,1991,2396
Guinea-Bissau,1992,842
Guinea-Bissau,1993,1707
Guinea-Bissau,1994,378
Guinea-Bissau,1995,528
Guinea-Bissau,1996,73
Guinea-Bissau,1997,498
Guinea-Bissau,1999,472
Guinea-Bissau,2001,126
Guinea-Bissau,2002,298
Guinea-Bissau,2003,1158
Guinea-Bissau,2004,3526
Guinea-Bissau,2005,0
Guinea-Bissau,2006,0
Guinea-Bissau,2007,1
Guinea-Bissau,2008,12
Guinea-Bissau,2009,0
Guinea-Bissau,2010,26
Guinea-Bissau,2011,0
Guinea-Bissau,2012,0
Guinea-Bissau,2013,0
Guinea-Bissau,2014,1
Guyana,1980,464
Guyana,1981,7
Guyana,1982,41
Guyana,1983,20
Guyana,1984,294
Guyana,1985,87
Guyana,1986,15
Guyana,1987,22
Guyana,1988,917
Guyana,1989,11
Guyana,1990,1
Guyana,1991,12
Guyana,1992,0
Guyana,1993,0
Guyana,1994,0
Guyana,1995,0
Guyana,1996,0
Guyana,1997,0
Guyana,1998,0
Guyana,1999,0
Guyana,2000,0
Guyana,2001,0
Guyana,2002,0
Guyana,2003,0
Guyana,2004,0
Guyana,2005,0
Guyana,2006,0
Guyana,2007,0
Guyana,2008,0
Guyana,2009,0
Guyana,2010,0
Guyana,2011,0
Guyana,2012,0
Guyana,2013,0
Guyana,2014,0
Haiti,1980,507
Haiti,1981,2502
Haiti,1982,1064
Haiti,1983,869
Haiti,1984,1681
Haiti,1985,2111
Haiti,1986,269
Haiti,1987,3130
Haiti,1988,235
Haiti,1989,580
Haiti,1990,1414
Haiti,1996,1
Haiti,1997,0
Haiti,1998,3
Haiti,1999,0
Haiti,2000,992
Haiti,2001,159
Haiti,2002,0
Haiti,2003,0
Haiti,2004,0
Haiti,2005,0
Haiti,2006,0
Haiti,2007,0
Haiti,2008,0
Haiti,2009,0
Haiti,2010,0
Haiti,2011,0
Haiti,2012,0
Haiti,2013,0
Haiti,2014,0
Honduras,1980,4188
Honduras,1981,5857
Honduras,1982,2446
Honduras,1983,1168
Honduras,1984,5028
Honduras,1985,6476
Honduras,1986,603
Honduras,1987,1437
Honduras,1988,1155
Honduras,1989,6353
Honduras,1990,8360
Honduras,1991,95
Honduras,1992,58
Honduras,1993,13
Honduras,1994,3
Honduras,1995,0
Honduras,1996,4
Honduras,1997,5
Honduras,1998,0
Honduras,1999,0
Honduras,2000,0
Honduras,2001,0
Honduras,2002,0
Honduras,2003,0
Honduras,2004,0
Honduras,2005,0
Honduras,2006,0
Honduras,2007,0
Honduras,2008,0
Honduras,2009,0
Honduras,2010,0
Honduras,2011,0
Honduras,2012,0
Honduras,2013,0
Honduras,2014,0
Hungary,1980,1198
Hungary,1981,10573
Hungary,1982,2521
Hungary,1983,124
Hungary,1984,98
Hungary,1985,20
Hungary,1986,17
Hungary,1987,30
Hungary,1988,1103
Hungary,1990,29
Hungary,1991,16
Hungary,1992,14
Hungary,1993,33
Hungary,1994,11
Hungary,1995,4
Hungary,1996,12
Hungary,1997,24
Hungary,1998,23
Hungary,1999,1
Hungary,2000,1
Hungary,2001,20
Hungary,2002,0
Hungary,2003,0
Hungary,2004,0
Hungary,2005,2
Hungary,2006,1
Hungary,2007,0
Hungary,2008,0
Hungary,2009,1
Hungary,2010,0
Hungary,2011,5
Hungary,2012,2
Hungary,2013,1
Hungary,2014,0
Iceland,1980,13
Iceland,1981,24
Iceland,1982,14
Iceland,1983,39
Iceland,1984,162
Iceland,1985,374
Iceland,1986,132
Iceland,1987,14
Iceland,1988,11
Iceland,1989,23
Iceland,1990,14
Iceland,1991,10
Iceland,1992,8
Iceland,1993,8
Iceland,1994,7
Iceland,1995,2
Iceland,1996,1
Iceland,1997,1
Iceland,2000,0
Iceland,2001,0
Iceland,2003,0
Iceland,2004,0
Iceland,2005,0
Iceland,2006,0
Iceland,2007,0
Iceland,2008,0
Iceland,2009,0
Iceland,2010,0
Iceland,2011,0
Iceland,2012,0
Iceland,2013,0
Iceland,2014,0
India,1980,114036
India,1981,202054
India,1982,146196
India,1983,129639
India,1984,190881
India,1985,161216
India,1986,155076
India,1987,252940
India,1988,161379
India,1989,165771
India,1990,89612
India,1991,77859
India,1992,71798
India,1993,50391
India,1994,50518
India,1995,37494
India,1996,47072
India,1997,61004
India,1998,33990
India,1999,21013
India,2000,38835
India,2001,51780
India,2002,40044
India,2003,47147
India,2004,55443
India,2005,36711
India,2006,64185
India,2007,41144
India,2008,44258
India,2009,56188
India,2010,31458
India,2011,33634
India,2012,18668
India,2013,13822
India,2014,24977
Indonesia,1980,28935
Indonesia,1981,33106
Indonesia,1982,25152
Indonesia,1983,4670
Indonesia,1984,18947
Indonesia,1985,9458
Indonesia,1986,1136
Indonesia,1987,395
Indonesia,1988,76446
Indonesia,1989,229666
Indonesia,1990,92105
Indonesia,1991,90358
Indonesia,1992,80580
Indonesia,1993,63751
Indonesia,1994,48147
Indonesia,1995,37693
Indonesia,1996,35383
Indonesia,1997,15313
Indonesia,1998,1034
Indonesia,1999,4767
Indonesia,2000,3344
Indonesia,2001,3825
Indonesia,2002,14492
Indonesia,2003,24457
Indonesia,2004,29171
Indonesia,2005,15853
Indonesia,2006,20422
Indonesia,2007,19456
Indonesia,2008,15369
Indonesia,2009,20818
Indonesia,2010,18869
Indonesia,2011,21893
Indonesia,2012,15489
Indonesia,2013,8419
Iran,1980,31130
Iran,1981,35858
Iran,1982,47719
Iran,1983,43623
Iran,1984,32909
Iran,1985,20582
Iran,1986,14904
Iran,1987,19383
Iran,1988,11559
Iran,1989,5895
Iran,1990,5341
Iran,1991,6034
Iran,1992,5028
Iran,1993,4616
Iran,1994,506
Iran,1995,263
Iran,1996,2329
Iran,1997,3901
Iran,1998,2869
Iran,1999,4137
Iran,2000,11874
Iran,2001,9582
Iran,2002,9554
Iran,2003,11644
Iran,2004,3
Iran,2005,7
Iran,2006,220
Iran,2007,133
Iran,2008,127
Iran,2009,262
Iran,2010,538
Iran,2011,73
Iran,2012,332
Iran,2013,189
Iran,2014,99
Iraq,1980,26542
Iraq,1981,64294
Iraq,1982,31564
Iraq,1983,37903
Iraq,1984,38148
Iraq,1985,22186
Iraq,1986,10122
Iraq,1987,7978
Iraq,1988,9284
Iraq,1989,11617
Iraq,1990,3045
Iraq,1991,11358
Iraq,1992,20106
Iraq,1993,16339
Iraq,1994,10657
Iraq,1995,7650
Iraq,1996,256
Iraq,1997,708
Iraq,1998,43735
Iraq,1999,9920
Iraq,2000,726
Iraq,2001,4088
Iraq,2004,9081
Iraq,2005,908
Iraq,2006,474
Iraq,2007,230
Iraq,2008,5494
Iraq,2009,30328
Iraq,2010,492
Iraq,2011,15
Iraq,2012,15
Iraq,2013,669
Iraq,2014,1317
Ireland,1980,1106
Ireland,1981,1075
Ireland,1982,1897
