Entity,Year,Economic Freedom of the World (Fraser Institute (2015))
Jordan,2013,7.91
Kenya,1970,4.8
Kenya,1975,4.63
Kenya,1980,4.8
Kenya,1985,5.29
Kenya,1990,5.43
Kenya,1995,5.89
Kenya,2000,6.72
Kenya,2001,6.8
Kenya,2002,6.81
Kenya,2003,6.96
Kenya,2004,6.72
Kenya,2005,7.24
Kenya,2006,7.11
Kenya,2007,7.21
Kenya,2008,6.84
Kenya,2009,7.02
Kenya,2010,7.07
Kenya,2011,7.02
Kenya,2012,7.18
Kenya,2013,7.2
Kuwait,1980,4.99
Kuwait,1985,6.85
Kuwait,1990,5.45
Kuwait,1995,6.95
Kuwait,2000,7.14
Kuwait,2001,7.56
Kuwait,2002,7.58
Kuwait,2003,7.59
Kuwait,2004,7.49
Kuwait,2005,7.52
Kuwait,2006,7.64
Kuwait,2007,7.79
Kuwait,2008,7.47
Kuwait,2009,7.54
Kuwait,2010,7.4
Kuwait,2011,7.35
Kuwait,2012,7.38
Kuwait,2013,7.6
Latvia,1995,5.29
Latvia,2000,6.98
Latvia,2001,6.97
Latvia,2002,7.34
Latvia,2003,7.18
Latvia,2004,7.25
Latvia,2005,7.3
Latvia,2006,7.42
Latvia,2007,7.36
Latvia,2008,7.25
Latvia,2009,7.1
Latvia,2010,7.02
Latvia,2011,7.16
Latvia,2012,7.23
Latvia,2013,7.3
Lithuania,1995,5.31
Lithuania,2000,6.6
Lithuania,2001,6.52
Lithuania,2002,6.95
Lithuania,2003,6.96
Lithuania,2004,6.93
Lithuania,2005,6.95
Lithuania,2006,7.03
Lithuania,2007,7.12
Lithuania,2008,6.99
Lithuania,2009,7
Lithuania,2010,7.12
Lithuania,2011,7.16
Lithuania,2012,7.13
Lithuania,2013,7.17
Luxembourg,1970,7.48
Luxembourg,1975,7.63
Luxembourg,1980,7.51
Luxembourg,1985,7.83
Luxembourg,1990,7.8
Luxembourg,1995,7.94
Luxembourg,2000,8.03
Luxembourg,2001,8.02
Luxembourg,2002,7.89
Luxembourg,2003,7.93
Luxembourg,2004,7.97
Luxembourg,2005,7.72
Luxembourg,2006,7.7
Luxembourg,2007,7.76
Luxembourg,2008,7.77
Luxembourg,2009,7.66
Luxembourg,2010,7.58
Luxembourg,2011,7.55
Luxembourg,2012,7.52
Luxembourg,2013,7.63
Madagascar,1980,4
Madagascar,1985,4.58
Madagascar,1990,4.48
Madagascar,1995,4.6
Madagascar,2000,5.96
Madagascar,2001,6.41
Madagascar,2002,5.96
Madagascar,2003,6.16
Madagascar,2004,5.9
Madagascar,2005,5.89
Madagascar,2006,5.98
Madagascar,2007,6.29
Madagascar,2008,6.23
Madagascar,2009,6.35
Madagascar,2010,6.56
Madagascar,2011,6.38
Madagascar,2012,6.66
Madagascar,2013,6.85
Malawi,1975,5.16
Malawi,1980,4.61
Malawi,1985,4.95
Malawi,1990,5.39
Malawi,1995,4.56
Malawi,2000,4.91
Malawi,2001,5.17
Malawi,2002,5.23
Malawi,2003,5.64
Malawi,2004,5.34
Malawi,2005,5.09
Malawi,2006,5.26
Malawi,2007,5.55
Malawi,2008,5.82
Malawi,2009,5.91
Malawi,2010,5.97
Malawi,2011,6.02
Malawi,2012,5.68
Malawi,2013,5.6
Malaysia,1970,6.53
Malaysia,1975,6.31
Malaysia,1980,6.96
Malaysia,1985,7.02
Malaysia,1990,7.4
Malaysia,1995,7.59
Malaysia,2000,6.81
Malaysia,2001,6.38
Malaysia,2002,6.59
Malaysia,2003,6.66
Malaysia,2004,6.84
Malaysia,2005,6.99
Malaysia,2006,6.92
Malaysia,2007,6.98
Malaysia,2008,6.71
Malaysia,2009,6.77
Malaysia,2010,7
Malaysia,2011,7.02
Malaysia,2012,6.99
Malaysia,2013,7.21
Mali,1975,5.41
Mali,1980,5.73
Mali,1985,4.81
Mali,1990,5.11
Mali,1995,5.22
Mali,2000,6.2
Mali,2001,5.94
Mali,2002,5.59
Mali,2003,6.06
Mali,2004,5.82
Mali,2005,5.98
Mali,2006,6.28
Mali,2007,6.28
Mali,2008,5.86
Mali,2009,5.95
Mali,2010,5.93
Mali,2011,6.19
Mali,2012,6.3
Mali,2013,6.44
Malta,1980,5.53
Malta,1985,5.3
Malta,1990,5.5
Malta,1995,6.95
Malta,2000,6.79
Malta,2001,6.73
Malta,2002,6.84
Malta,2003,6.47
Malta,2004,7.25
Malta,2005,7.6
Malta,2006,7.43
Malta,2007,7.75
Malta,2008,7.61
Malta,2009,7.61
Malta,2010,7.61
Malta,2011,7.58
Malta,2012,7.55
Malta,2013,7.54
Mauritius,1975,4.77
Mauritius,1980,4.7
Mauritius,1985,6.08
Mauritius,1990,5.93
Mauritius,1995,7.45
Mauritius,2000,7.62
Mauritius,2001,7.37
Mauritius,2002,7.18
Mauritius,2003,7.08
Mauritius,2004,7.03
Mauritius,2005,7.52
Mauritius,2006,7.38
Mauritius,2007,7.91
Mauritius,2008,7.98
Mauritius,2009,7.92
Mauritius,2010,7.92
Mauritius,2011,7.99
Mauritius,2012,8.08
Mauritius,2013,8.07
Mexico,1970,6.45
Mexico,1975,5.76
Mexico,1980,5.13
Mexico,1985,4.61
Mexico,1990,6.13
Mexico,1995,6.43
Mexico,2000,6.49
Mexico,2001,6.31
Mexico,2002,6.64
Mexico,2003,6.62
Mexico,2004,6.69
Mexico,2005,6.81
Mexico,2006,6.85
Mexico,2007,6.77
Mexico,2008,6.7
Mexico,2009,6.59
Mexico,2010,6.69
Mexico,2011,6.7
Mexico,2012,6.73
Mexico,2013,6.77
Morocco,1970,5.65
Morocco,1975,5.07
Morocco,1980,4.45
Morocco,1985,5.2
Morocco,1990,5.18
Morocco,1995,6.28
Morocco,2000,6.18
Morocco,2001,6.14
Morocco,2002,6.13
Morocco,2003,6.32
Morocco,2004,6.18
Morocco,2005,6.37
Morocco,2006,6.21
Morocco,2007,6.32
Morocco,2008,6.33
Morocco,2009,6.35
Morocco,2010,6.45
Morocco,2011,6.51
Morocco,2012,6.39
Morocco,2013,6.41
Myanmar,1980,4.5
Myanmar,1985,4.15
Myanmar,1990,3.13
Myanmar,1995,3.8
Myanmar,2000,3.67
Myanmar,2001,3.74
Myanmar,2002,3.36
Myanmar,2003,3.47
Myanmar,2004,3.81
Myanmar,2005,3.95
Myanmar,2006,4.28
Myanmar,2007,3.69
Myanmar,2008,3.83
Myanmar,2009,4.01
Myanmar,2010,4.12
Myanmar,2011,4.31
Myanmar,2012,5.03
Myanmar,2013,5.3
Namibia,1990,5.11
Namibia,1995,6.16
Namibia,2000,6.23
Namibia,2001,6.35
Namibia,2002,6.39
Namibia,2003,6.51
Namibia,2004,6.23
Namibia,2005,6.51
Namibia,2006,6.41
Namibia,2007,6.63
Namibia,2008,6.62
Namibia,2009,6.61
Namibia,2010,6.51
Namibia,2011,6.26
Namibia,2012,6.5
Namibia,2013,6.54
Nepal,1980,5.49
Nepal,1985,5.01
Nepal,1990,5.11
Nepal,1995,5.15
Nepal,2000,5.86
Nepal,2001,5.88
Nepal,2002,5.83
Nepal,2003,5.51
Nepal,2004,5.56
Nepal,2005,6.23
Nepal,2006,6.45
Nepal,2007,6.07
Nepal,2008,5.94
Nepal,2009,5.74
Nepal,2010,5.92
Nepal,2011,6.02
Nepal,2012,6.02
Nepal,2013,6.34
Netherlands,1970,7.04
Netherlands,1975,6.55
Netherlands,1980,7.23
Netherlands,1985,7.28
Netherlands,1990,7.6
Netherlands,1995,7.97
Netherlands,2000,8.12
Netherlands,2001,7.81
Netherlands,2002,7.84
Netherlands,2003,7.83
Netherlands,2004,7.86
Netherlands,2005,7.92
Netherlands,2006,7.84
Netherlands,2007,7.84
Netherlands,2008,7.77
Netherlands,2009,7.58
Netherlands,2010,7.58
Netherlands,2011,7.69
Netherlands,2012,7.63
Netherlands,2013,7.67
New Zealand,1970,6.32
New Zealand,1975,5.69
New Zealand,1980,6.35
New Zealand,1985,6.21
New Zealand,1990,7.82
New Zealand,1995,8.84
New Zealand,2000,8.52
New Zealand,2001,8.29
New Zealand,2002,8.42
New Zealand,2003,8.46
New Zealand,2004,8.46
New Zealand,2005,8.46
New Zealand,2006,8.26
New Zealand,2007,8.4
New Zealand,2008,8.41
New Zealand,2009,8.11
New Zealand,2010,8.1
New Zealand,2011,8.15
New Zealand,2012,8.25
New Zealand,2013,8.21
Nicaragua,1980,3.68
Nicaragua,1985,1.78
Nicaragua,1990,2.75
Nicaragua,1995,5.71
Nicaragua,2000,6.73
Nicaragua,2001,6.45
Nicaragua,2002,6.8
Nicaragua,2003,6.85
Nicaragua,2004,6.71
Nicaragua,2005,6.89
Nicaragua,2006,7.04
Nicaragua,2007,7.05
Nicaragua,2008,6.86
Nicaragua,2009,6.82
Nicaragua,2010,6.93
Nicaragua,2011,7.06
Nicaragua,2012,7.12
Nicaragua,2013,7.07
Niger,1980,4.53
Niger,1985,4.97
Niger,1990,5.05
Niger,1995,4.24
Niger,2000,5.33
Niger,2001,4.91
Niger,2002,4.87
Niger,2003,5.08
Niger,2004,5.46
Niger,2005,5.42
Niger,2006,5.66
Niger,2007,5.59
Niger,2008,5.6
Niger,2009,5.68
Niger,2010,5.92
Niger,2011,6.05
Niger,2012,5.8
Niger,2013,5.89
Nigeria,1970,3.55
Nigeria,1975,3.36
Nigeria,1980,3.25
Nigeria,1985,3.68
Nigeria,1990,3.31
Nigeria,1995,3.76
Nigeria,2000,5.3
Nigeria,2001,5.03
Nigeria,2002,5.53
Nigeria,2003,5.52
Nigeria,2004,5.59
Nigeria,2005,6.08
Nigeria,2006,6.49
Nigeria,2007,6.33
Nigeria,2008,6.02
Nigeria,2009,5.83
Nigeria,2010,6.11
Nigeria,2011,6.33
Nigeria,2012,6.22
Nigeria,2013,6.38
Norway,1970,5.94
Norway,1975,5.58
Norway,1980,5.79
Norway,1985,6.47
Norway,1990,7.14
Norway,1995,7.57
Norway,2000,7.28
Norway,2001,7.12
Norway,2002,7.03
Norway,2003,7.6
Norway,2004,7.58
Norway,2005,7.7
Norway,2006,7.55
Norway,2007,7.7
Norway,2008,7.6
Norway,2009,7.46
Norway,2010,7.43
Norway,2011,7.47
Norway,2012,7.49
Norway,2013,7.48
Oman,1985,6.78
Oman,1990,6.34
Oman,1995,6.99
Oman,2000,7.54
Oman,2001,7.56
Oman,2002,7.56
Oman,2003,7.61
Oman,2004,7.51
Oman,2005,7.43
Oman,2006,7.47
Oman,2007,7.76
Oman,2008,7.65
Oman,2009,7.65
Oman,2010,7.58
Oman,2011,7.49
Oman,2012,7.6
Oman,2013,7.49
Pakistan,1970,4.2
Pakistan,1975,3.54
Pakistan,1980,4.3
Pakistan,1985,4.91
Pakistan,1990,4.87
Pakistan,1995,5.67
Pakistan,2000,5.53
Pakistan,2001,5.42
Pakistan,2002,5.62
Pakistan,2003,5.4
Pakistan,2004,5.44
Pakistan,2005,5.87
Pakistan,2006,5.94
Pakistan,2007,5.89
Pakistan,2008,5.72
Pakistan,2009,5.95
Pakistan,2010,5.98
Pakistan,2011,6.02
Pakistan,2012,5.95
Pakistan,2013,5.97
Panama,1975,6.68
Panama,1980,5.56
Panama,1985,6.13
Panama,1990,6.45
Panama,1995,7.45
Panama,2000,7.55
Panama,2001,7.53
Panama,2002,7.52
Panama,2003,7.59
Panama,2004,7.53
Panama,2005,7.6
Panama,2006,7.55
Panama,2007,7.63
Panama,2008,7.32
Panama,2009,7.33
Panama,2010,7.25
Panama,2011,7.16
Panama,2012,7.22
Panama,2013,7.31
Papua New Guinea,1985,5.9
Papua New Guinea,1990,6.07
Papua New Guinea,1995,6.38
Papua New Guinea,2000,5.84
Papua New Guinea,2001,5.8
Papua New Guinea,2002,5.74
Papua New Guinea,2003,5.69
Papua New Guinea,2004,5.74
Papua New Guinea,2005,6.09
Papua New Guinea,2006,6.07
Papua New Guinea,2007,6.3
Papua New Guinea,2008,6.36
Papua New Guinea,2009,6.46
Papua New Guinea,2010,6.52
Papua New Guinea,2011,6.63
Papua New Guinea,2012,6.65
Papua New Guinea,2013,6.68
Paraguay,1980,5.68
Paraguay,1985,4.82
Paraguay,1990,5.6
Paraguay,1995,6.53
Paraguay,2000,6.44
Paraguay,2001,6.47
Paraguay,2002,6.32
Paraguay,2003,6.27
Paraguay,2004,6.24
Paraguay,2005,6.36
Paraguay,2006,6.33
Paraguay,2007,6.3
Paraguay,2008,6.43
Paraguay,2009,6.49
Paraguay,2010,6.62
Paraguay,2011,6.68
Paraguay,2012,6.69
Paraguay,2013,6.72
Peru,1970,4.43
Peru,1975,3.54
Peru,1980,3.9
Peru,1985,2.61
Peru,1990,3.98
Peru,1995,6.51
Peru,2000,7.3
Peru,2001,7.29
Peru,2002,7.29
Peru,2003,7.3
Peru,2004,7.29
Peru,2005,7.3
Peru,2006,7.33
Peru,2007,7.32
Peru,2008,7.44
Peru,2009,7.44
Peru,2010,7.51
Peru,2011,7.5
Peru,2012,7.44
Peru,2013,7.25
Philippines,1970,5.29
Philippines,1975,5.22
Philippines,1980,5.33
Philippines,1985,5.07
Philippines,1990,5.79
Philippines,1995,7.3
Philippines,2000,6.97
Philippines,2001,6.81
Philippines,2002,6.92
Philippines,2003,6.95
Philippines,2004,6.71
Philippines,2005,7
Philippines,2006,7.05
Philippines,2007,6.92
Philippines,2008,6.82
Philippines,2009,6.78
Philippines,2010,7.09
Philippines,2011,7.27
Philippines,2012,6.83
Philippines,2013,7.07
Poland,1985,3.46
Poland,1990,3.55
Poland,1995,5.36
Poland,2000,6.66
Poland,2001,6.44
Poland,2002,6.65
Poland,2003,6.51
Poland,2004,6.84
Poland,2005,6.9
Poland,2006,6.95
Poland,2007,6.9
Poland,2008,7
Poland,2009,7.13
Poland,2010,7.09
Poland,2011,7.21
Poland,2012,7.3
Poland,2013,7.28
Portugal,1970,5.89
Portugal,1975,3.72
Portugal,1980,5.52
Portugal,1985,5.37
Portugal,1990,6.24
Portugal,1995,7.46
Portugal,2000,7.61
Portugal,2001,7.46
Portugal,2002,7.54
Portugal,2003,7.53
Portugal,2004,7.6
Portugal,2005,7.36
Portugal,2006,7.52
Portugal,2007,7.48
Portugal,2008,7.27
Portugal,2009,7.12
Portugal,2010,7.06
Portugal,2011,7.34
Portugal,2012,7.38
Portugal,2013,7.53
Romania,1985,4.37
Romania,1990,4.29
Romania,1995,3.79
Romania,2000,5.31
Romania,2001,5.24
Romania,2002,5.83
Romania,2003,6.19
Romania,2004,6.22
Romania,2005,7.07
Romania,2006,6.8
Romania,2007,7.3
Romania,2008,6.98
Romania,2009,7.13
Romania,2010,7.29
Romania,2011,7.33
Romania,2012,7.41
Romania,2013,7.53
Russia,1995,4.42
Russia,2000,5.14
Russia,2001,5.14
Russia,2002,5.62
Russia,2003,5.73
Russia,2004,6
Russia,2005,6.08
Russia,2006,6.09
Russia,2007,6.25
Russia,2008,6.32
Russia,2009,6.22
Russia,2010,6.35
Russia,2011,6.38
Russia,2012,6.45
Russia,2013,6.49
Rwanda,1990,4.9
Rwanda,1995,3.69
Rwanda,2000,5.52
Rwanda,2001,5.64
Rwanda,2002,5.96
Rwanda,2003,5.75
Rwanda,2004,5.8
Rwanda,2005,5.99
Rwanda,2006,6.32
Rwanda,2007,6.59
Rwanda,2008,6.96
Rwanda,2009,6.98
Rwanda,2010,7.29
Rwanda,2011,7.49
Rwanda,2012,7.36
Rwanda,2013,7.4
Senegal,1980,4.43
Senegal,1985,5.18
Senegal,1990,5.31
Senegal,1995,4.56
Senegal,2000,5.75
Senegal,2001,5.66
Senegal,2002,5.75
Senegal,2003,5.64
Senegal,2004,5.69
Senegal,2005,5.81
Senegal,2006,5.76
Senegal,2007,5.87
Senegal,2008,5.78
Senegal,2009,5.9
Senegal,2010,5.78
Senegal,2011,5.73
Senegal,2012,5.76
Senegal,2013,6.04
Sierra Leone,1975,4.99
Sierra Leone,1980,4.99
Sierra Leone,1985,3.69
Sierra Leone,1990,3.88
Sierra Leone,1995,4.35
Sierra Leone,2000,4.98
Sierra Leone,2001,4.74
Sierra Leone,2002,5.5
Sierra Leone,2003,5.79
Sierra Leone,2004,5.82
Sierra Leone,2005,6.1
Sierra Leone,2006,6.18
Sierra Leone,2007,6.55
Sierra Leone,2008,6.53
Sierra Leone,2009,6.82
Sierra Leone,2010,6.91
Sierra Leone,2011,6.79
Sierra Leone,2012,6.88
Sierra Leone,2013,6.66
Singapore,1970,7.61
Singapore,1975,7.41
Singapore,1980,7.76
Singapore,1985,8
Singapore,1990,8.59
Singapore,1995,8.9
Singapore,2000,8.61
Singapore,2001,8.51
Singapore,2002,8.74
Singapore,2003,8.68
Singapore,2004,8.7
Singapore,2005,8.73
Singapore,2006,8.64
Singapore,2007,8.65
Singapore,2008,8.62
Singapore,2009,8.6
Singapore,2010,8.53
Singapore,2011,8.53
Singapore,2012,8.41
Singapore,2013,8.39
Slovakia,1995,5.4
Slovakia,2000,6.72
Slovakia,2001,6.63
Slovakia,2002,6.75
Slovakia,2003,6.9
Slovakia,2004,7.55
Slovakia,2005,7.66
Slovakia,2006,7.57
Slovakia,2007,7.63
Slovakia,2008,7.61
Slovakia,2009,7.37
Slovakia,2010,7.44
Slovakia,2011,7.45
Slovakia,2012,7.35
Slovakia,2013,7.31
Slovenia,1995,5.17
Slovenia,2000,6.75
Slovenia,2001,6.91
Slovenia,2002,6.87
Slovenia,2003,6.97
Slovenia,2004,6.95
Slovenia,2005,6.94
Slovenia,2006,7.02
Slovenia,2007,7.02
Slovenia,2008,7.07
Slovenia,2009,7.04
Slovenia,2010,6.55
Slovenia,2011,6.56
Slovenia,2012,6.56
Slovenia,2013,6.43
South Africa,1970,6.3
South Africa,1975,5.71
South Africa,1980,5.85
South Africa,1985,5.49
South Africa,1990,5.5
South Africa,1995,6.57
South Africa,2000,7.09
South Africa,2001,7.05
South Africa,2002,7.04
South Africa,2003,7.21
South Africa,2004,7.04
South Africa,2005,7.01
South Africa,2006,6.95
South Africa,2007,6.96
South Africa,2008,6.68
South Africa,2009,6.63
South Africa,2010,6.87
South Africa,2011,6.94
South Africa,2012,6.91
South Africa,2013,6.88
South Korea,1970,5.39
South Korea,1975,5.26
South Korea,1980,5.49
South Korea,1985,5.54
South Korea,1990,6.31
South Korea,1995,6.67
South Korea,2000,6.81
South Korea,2001,7.1
South Korea,2002,7.15
South Korea,2003,7.27
South Korea,2004,7.36
South Korea,2005,7.27
South Korea,2006,7.45
South Korea,2007,7.48
South Korea,2008,7.27
South Korea,2009,7.19
South Korea,2010,7.28
South Korea,2011,7.29
South Korea,2012,7.27
South Korea,2013,7.19
Spain,1970,6.41
Spain,1975,5.84
Spain,1980,6.1
Spain,1985,6.08
Spain,1990,6.56
Spain,1995,7.24
Spain,2000,7.84
Spain,2001,7.56
Spain,2002,7.51
Spain,2003,7.72
Spain,2004,7.74
Spain,2005,7.6
Spain,2006,7.56
Spain,2007,7.53
Spain,2008,7.35
Spain,2009,7.19
Spain,2010,7.26
Spain,2011,7.38
Spain,2012,7.28
Spain,2013,7.25
Sri Lanka,1980,4.77
Sri Lanka,1985,4.94
Sri Lanka,1990,4.81
Sri Lanka,1995,6.06
Sri Lanka,2000,6.17
Sri Lanka,2001,6.12
Sri Lanka,2002,6.08
Sri Lanka,2003,6.25
Sri Lanka,2004,6.05
Sri Lanka,2005,6.2
Sri Lanka,2006,6.38
Sri Lanka,2007,6.19
Sri Lanka,2008,6.01
Sri Lanka,2009,6.11
Sri Lanka,2010,6.25
Sri Lanka,2011,6.4
Sri Lanka,2012,6.39
Sri Lanka,2013,6.32
Sweden,1970,5.49
Sweden,1975,5.34
Sweden,1980,5.66
Sweden,1985,6.45
Sweden,1990,6.99
Sweden,1995,7.32
Sweden,2000,7.72
Sweden,2001,7.41
Sweden,2002,7.6
Sweden,2003,7.7
Sweden,2004,7.56
Sweden,2005,7.6
Sweden,2006,7.55
Sweden,2007,7.54
Sweden,2008,7.5
Sweden,2009,7.49
Sweden,2010,7.61
Sweden,2011,7.6
Sweden,2012,7.51
Sweden,2013,7.43
Switzerland,1970,7.59
Switzerland,1975,7.6
Switzerland,1980,8.14
Switzerland,1985,8.3
Switzerland,1990,8.3
Switzerland,1995,8.32
Switzerland,2000,8.76
Switzerland,2001,8.5
Switzerland,2002,8.67
Switzerland,2003,8.58
Switzerland,2004,8.52
Switzerland,2005,8.36
Switzerland,2006,8.34
Switzerland,2007,8.36
Switzerland,2008,8.18
Switzerland,2009,8.22
Switzerland,2010,8.23
Switzerland,2011,8.22
Switzerland,2012,8.18
Switzerland,2013,8.15
Syria,1970,3.95
Syria,1975,4.18
Syria,1980,3.3
Syria,1985,3.06
Syria,1990,3.52
Syria,1995,4.21
Syria,2000,5.13
Syria,2001,5.4
Syria,2002,5
Syria,2003,4.92
Syria,2004,5.36
Syria,2005,5.6
Syria,2006,5.36
Syria,2007,5.66
Syria,2008,5.46
Syria,2009,5.64
Syria,2010,5.72
Syria,2011,5.87
Syria,2012,5.16
Syria,2013,4.84
Taiwan,1970,6.66
Taiwan,1975,5.83
Taiwan,1980,6.58
Taiwan,1985,6.84
Taiwan,1990,7.26
Taiwan,1995,7.37
Taiwan,2000,7.42
Taiwan,2001,7.3
Taiwan,2002,7.49
Taiwan,2003,7.49
Taiwan,2004,7.66
Taiwan,2005,7.66
Taiwan,2006,7.71
Taiwan,2007,7.67
Taiwan,2008,7.63
Taiwan,2009,7.54
Taiwan,2010,7.74
Taiwan,2011,7.75
Taiwan,2012,7.72
Taiwan,2013,7.84
Tanzania,1970,4.41
Tanzania,1975,3.19
Tanzania,1980,3.65
Tanzania,1985,3.47
Tanzania,1990,3.87
Tanzania,1995,5.43
Tanzania,2000,5.98
Tanzania,2001,6.14
Tanzania,2002,5.94
Tanzania,2003,5.98
Tanzania,2004,6.04
Tanzania,2005,6.36
Tanzania,2006,6.48
Tanzania,2007,6.39
Tanzania,2008,6.28
Tanzania,2009,6.33
Tanzania,2010,6.54
Tanzania,2011,6.6
Tanzania,2012,6.47
Tanzania,2013,6.67
Thailand,1970,6.05
Thailand,1975,6.01
Thailand,1980,6.08
Thailand,1985,6.17
Thailand,1990,6.83
Thailand,1995,7.18
Thailand,2000,6.55
Thailand,2001,6.51
Thailand,2002,6.63
Thailand,2003,6.68
Thailand,2004,6.7
Thailand,2005,6.68
Thailand,2006,6.8
Thailand,2007,6.8
Thailand,2008,6.77
Thailand,2009,6.7
Thailand,2010,6.66
Thailand,2011,6.59
Thailand,2012,6.58
Thailand,2013,6.59
Togo,1980,4.06
Togo,1985,5.13
Togo,1990,5.71
Togo,1995,5.44
Togo,2000,5.79
Togo,2001,6.06
Togo,2002,6.23
Togo,2003,6
Togo,2004,5.79
Togo,2005,5.83
Togo,2006,6.04
Togo,2007,6.01
Togo,2008,5.82
Togo,2009,5.56
Togo,2010,5.61
Togo,2011,5.71
Togo,2012,5.75
Togo,2013,5.92
Trinidad and Tobago,1975,4.58
Trinidad and Tobago,1980,4.85
Trinidad and Tobago,1985,4.82
Trinidad and Tobago,1990,5.54
Trinidad and Tobago,1995,7.32
Trinidad and Tobago,2000,7.47
Trinidad and Tobago,2001,7.49
Trinidad and Tobago,2002,7.33
Trinidad and Tobago,2003,7.21
Trinidad and Tobago,2004,7.21
Trinidad and Tobago,2005,7.14
Trinidad and Tobago,2006,7.24
Trinidad and Tobago,2007,7.26
Trinidad and Tobago,2008,7.15
Trinidad and Tobago,2009,7.08
Trinidad and Tobago,2010,6.99
Trinidad and Tobago,2011,7
Trinidad and Tobago,2012,6.9
Trinidad and Tobago,2013,7.09
Tunisia,1970,4.54
Tunisia,1975,4.57
Tunisia,1980,4.82
Tunisia,1985,4.6
Tunisia,1990,5.32
Tunisia,1995,5.73
Tunisia,2000,6.17
Tunisia,2001,6.08
Tunisia,2002,5.94
Tunisia,2003,5.94
Tunisia,2004,5.98
Tunisia,2005,6.02
Tunisia,2006,6.36
Tunisia,2007,6.34
Tunisia,2008,6.29
Tunisia,2009,6.27
Tunisia,2010,6.06
Tunisia,2011,6.01
Tunisia,2012,6
Tunisia,2013,5.83
Turkey,1970,3.49
Turkey,1975,3.87
Turkey,1980,3.77
Turkey,1985,4.85
Turkey,1990,5.06
Turkey,1995,5.89
Turkey,2000,5.83
Turkey,2001,5.2
Turkey,2002,5.48
Turkey,2003,5.93
Turkey,2004,6.03
Turkey,2005,6.09
Turkey,2006,6.11
Turkey,2007,6.24
Turkey,2008,6.61
Turkey,2009,6.52
Turkey,2010,6.52
Turkey,2011,6.7
Turkey,2012,6.66
Turkey,2013,6.56
Uganda,1980,3.14
Uganda,1985,2.82
Uganda,1990,2.86
Uganda,1995,5.15
Uganda,2000,6.81
Uganda,2001,6.94
Uganda,2002,7.09
Uganda,2003,7.18
Uganda,2004,7.13
Uganda,2005,7.26
Uganda,2006,7.43
Uganda,2007,7.55
Uganda,2008,7.54
Uganda,2009,7.46
Uganda,2010,7.56
Uganda,2011,7.37
Uganda,2012,7.45
Uganda,2013,7.53
Ukraine,1995,3.4
Ukraine,2000,4.58
Ukraine,2001,4.69
Ukraine,2002,5.32
Ukraine,2003,5.22
Ukraine,2004,5.45
Ukraine,2005,5.74
Ukraine,2006,5.87
Ukraine,2007,5.84
Ukraine,2008,5.8
Ukraine,2009,5.8
Ukraine,2010,5.87
Ukraine,2011,6.12
Ukraine,2012,6.24
Ukraine,2013,6.13
United Arab Emirates,1980,6.06
United Arab Emirates,1985,6.86
United Arab Emirates,1990,7.23
United Arab Emirates,1995,6.98
United Arab Emirates,2000,7.31
United Arab Emirates,2001,7.3
United Arab Emirates,2002,7.52
United Arab Emirates,2003,7.43
United Arab Emirates,2004,7.26
United Arab Emirates,2005,7.49
United Arab Emirates,2006,7.64
United Arab Emirates,2007,7.73
United Arab Emirates,2008,7.76
United Arab Emirates,2009,7.5
United Arab Emirates,2010,7.68
United Arab Emirates,2011,7.83
United Arab Emirates,2012,7.87
United Arab Emirates,2013,7.91
United Kingdom,1970,5.99
United Kingdom,1975,5.93
United Kingdom,1980,6.57
United Kingdom,1985,7.54
United Kingdom,1990,8.09
United Kingdom,1995,8.23
United Kingdom,2000,8.61
United Kingdom,2001,8.48
United Kingdom,2002,8.51
United Kingdom,2003,8.52
United Kingdom,2004,8.39
United Kingdom,2005,8.38
United Kingdom,2006,8.24
United Kingdom,2007,8.13
United Kingdom,2008,7.96
United Kingdom,2009,7.95
United Kingdom,2010,7.91
United Kingdom,2011,7.92
United Kingdom,2012,7.94
United Kingdom,2013,7.98
United States,1970,7.6
United States,1975,7.73
United States,1980,7.92
United States,1985,8.11
United States,1990,8.35
United States,1995,8.5
United States,2000,8.65
United States,2001,8.44
United States,2002,8.41
United States,2003,8.38
United States,2004,8.36
United States,2005,8.22
United States,2006,8.13
United States,2007,8.21
United States,2008,8.06
United States,2009,7.76
United States,2010,7.76
United States,2011,7.7
United States,2012,7.81
United States,2013,7.73
Uruguay,1980,6.06
Uruguay,1985,5.96
Uruguay,1990,6.33
Uruguay,1995,6.47
Uruguay,2000,7.09
Uruguay,2001,6.85
Uruguay,2002,7.09
Uruguay,2003,6.92
Uruguay,2004,7.04
Uruguay,2005,7.03
Uruguay,2006,7
Uruguay,2007,7.09
Uruguay,2008,7.13
Uruguay,2009,7.08
Uruguay,2010,7.29
Uruguay,2011,7.35
Uruguay,2012,7.31
Uruguay,2013,7.16
Venezuela,1970,7.31
Venezuela,1975,6.17
Venezuela,1980,6.69
Venezuela,1985,6.08
Venezuela,1990,5.69
Venezuela,1995,4.4
Venezuela,2000,5.84
Venezuela,2001,5.71
Venezuela,2002,4.57
Venezuela,2003,4.18
Venezuela,2004,4.65
Venezuela,2005,4.52
Venezuela,2006,4.55
Venezuela,2007,4.27
Venezuela,2008,4.11
Venezuela,2009,4.18
Venezuela,2010,3.84
Venezuela,2011,3.79
Venezuela,2012,3.71
Venezuela,2013,3.09
