Entity,Year,"Human Development Index (HDI), 1980-2014 - UN"
Qatar,2010,0.847
Qatar,2011,0.843
Qatar,2012,0.85
Qatar,2013,0.851
Romania,1980,0.685
Romania,1990,0.703
Romania,2000,0.706
Romania,2005,0.75
Romania,2008,0.781
Romania,2010,0.779
Romania,2011,0.782
Romania,2012,0.782
Romania,2013,0.785
Russia,1990,0.729
Russia,2000,0.717
Russia,2005,0.75
Russia,2008,0.77
Russia,2010,0.773
Russia,2011,0.775
Russia,2012,0.777
Russia,2013,0.778
Rwanda,1980,0.291
Rwanda,1990,0.238
Rwanda,2000,0.329
Rwanda,2005,0.391
Rwanda,2008,0.432
Rwanda,2010,0.453
Rwanda,2011,0.463
Rwanda,2012,0.502
Rwanda,2013,0.506
Saint Kitts and Nevis,2010,0.747
Saint Kitts and Nevis,2011,0.745
Saint Kitts and Nevis,2012,0.749
Saint Kitts and Nevis,2013,0.75
Saint Lucia,2010,0.717
Saint Lucia,2011,0.718
Saint Lucia,2012,0.715
Saint Lucia,2013,0.714
Saint Vincent and the Grenadines,2010,0.717
Saint Vincent and the Grenadines,2011,0.715
Saint Vincent and the Grenadines,2012,0.717
Saint Vincent and the Grenadines,2013,0.719
Samoa,2000,0.654
Samoa,2005,0.681
Samoa,2008,0.683
Samoa,2010,0.688
Samoa,2011,0.69
Samoa,2012,0.693
Samoa,2013,0.694
Sao Tome and Principe,2000,0.495
Sao Tome and Principe,2005,0.52
Sao Tome and Principe,2008,0.537
Sao Tome and Principe,2010,0.543
Sao Tome and Principe,2011,0.548
Sao Tome and Principe,2012,0.556
Sao Tome and Principe,2013,0.558
Saudi Arabia,1980,0.583
Saudi Arabia,1990,0.662
Saudi Arabia,2000,0.744
Saudi Arabia,2005,0.773
Saudi Arabia,2008,0.791
Saudi Arabia,2010,0.815
Saudi Arabia,2011,0.825
Saudi Arabia,2012,0.833
Saudi Arabia,2013,0.836
Senegal,1980,0.333
Senegal,1990,0.384
Senegal,2000,0.413
Senegal,2005,0.451
Senegal,2008,0.474
Senegal,2010,0.483
Senegal,2011,0.483
Senegal,2012,0.484
Senegal,2013,0.485
Serbia,1990,0.726
Serbia,2000,0.713
Serbia,2005,0.732
Serbia,2008,0.743
Serbia,2010,0.743
Serbia,2011,0.744
Serbia,2012,0.743
Serbia,2013,0.745
Seychelles,2000,0.743
Seychelles,2005,0.757
Seychelles,2008,0.766
Seychelles,2010,0.763
Seychelles,2011,0.749
Seychelles,2012,0.755
Seychelles,2013,0.756
Sierra Leone,1980,0.276
Sierra Leone,1990,0.263
Sierra Leone,2000,0.297
Sierra Leone,2005,0.329
Sierra Leone,2008,0.346
Sierra Leone,2010,0.353
Sierra Leone,2011,0.36
Sierra Leone,2012,0.368
Sierra Leone,2013,0.374
Singapore,1990,0.744
Singapore,2000,0.8
Singapore,2005,0.84
Singapore,2008,0.868
Singapore,2010,0.894
Singapore,2011,0.896
Singapore,2012,0.899
Singapore,2013,0.901
Slovakia,1990,0.747
Slovakia,2000,0.776
Slovakia,2005,0.803
Slovakia,2008,0.824
Slovakia,2010,0.826
Slovakia,2011,0.827
Slovakia,2012,0.829
Slovakia,2013,0.83
Slovenia,1990,0.769
Slovenia,2000,0.821
Slovenia,2005,0.855
Slovenia,2008,0.871
Slovenia,2010,0.873
Slovenia,2011,0.874
Slovenia,2012,0.874
Slovenia,2013,0.874
Solomon Islands,2000,0.475
Solomon Islands,2005,0.483
Solomon Islands,2008,0.506
Solomon Islands,2010,0.489
Solomon Islands,2011,0.494
Solomon Islands,2012,0.489
Solomon Islands,2013,0.491
South Africa,1980,0.569
South Africa,1990,0.619
South Africa,2000,0.628
South Africa,2005,0.608
South Africa,2008,0.623
South Africa,2010,0.638
South Africa,2011,0.646
South Africa,2012,0.654
South Africa,2013,0.658
South Korea,1980,0.628
South Korea,1990,0.731
South Korea,2000,0.819
South Korea,2005,0.856
South Korea,2008,0.874
South Korea,2010,0.882
South Korea,2011,0.886
South Korea,2012,0.888
South Korea,2013,0.891
Spain,1980,0.702
Spain,1990,0.755
Spain,2000,0.826
Spain,2005,0.844
Spain,2008,0.857
Spain,2010,0.864
Spain,2011,0.868
Spain,2012,0.869
Spain,2013,0.869
Sri Lanka,1980,0.569
Sri Lanka,1990,0.62
Sri Lanka,2000,0.679
Sri Lanka,2005,0.71
Sri Lanka,2008,0.725
Sri Lanka,2010,0.736
Sri Lanka,2011,0.74
Sri Lanka,2012,0.745
Sri Lanka,2013,0.75
Sudan,1980,0.331
Sudan,1990,0.342
Sudan,2000,0.385
Sudan,2005,0.423
Sudan,2008,0.447
Sudan,2010,0.463
Sudan,2011,0.468
Sudan,2012,0.472
Sudan,2013,0.473
Suriname,2005,0.672
Suriname,2008,0.694
Suriname,2010,0.698
Suriname,2011,0.701
Suriname,2012,0.702
Suriname,2013,0.705
Swaziland,1980,0.477
Swaziland,1990,0.538
Swaziland,2000,0.498
Swaziland,2005,0.498
Swaziland,2008,0.518
Swaziland,2010,0.527
Swaziland,2011,0.53
Swaziland,2012,0.529
Swaziland,2013,0.53
Sweden,1980,0.776
Sweden,1990,0.807
Sweden,2000,0.889
Sweden,2005,0.887
Sweden,2008,0.891
Sweden,2010,0.895
Sweden,2011,0.896
Sweden,2012,0.897
Sweden,2013,0.898
Switzerland,1980,0.806
Switzerland,1990,0.829
Switzerland,2000,0.886
Switzerland,2005,0.901
Switzerland,2008,0.903
Switzerland,2010,0.915
Switzerland,2011,0.914
Switzerland,2012,0.916
Switzerland,2013,0.917
Syria,1980,0.528
Syria,1990,0.57
Syria,2000,0.605
Syria,2005,0.653
Syria,2008,0.658
Syria,2010,0.662
Syria,2011,0.662
Syria,2012,0.662
Syria,2013,0.658
Tajikistan,1990,0.61
Tajikistan,2000,0.529
Tajikistan,2005,0.572
Tajikistan,2008,0.591
Tajikistan,2010,0.596
Tajikistan,2011,0.6
Tajikistan,2012,0.603
Tajikistan,2013,0.607
Tanzania,1980,0.377
Tanzania,1990,0.354
Tanzania,2000,0.376
Tanzania,2005,0.419
Tanzania,2008,0.451
Tanzania,2010,0.464
Tanzania,2011,0.478
Tanzania,2012,0.484
Tanzania,2013,0.488
Thailand,1980,0.503
Thailand,1990,0.572
Thailand,2000,0.649
Thailand,2005,0.685
Thailand,2008,0.704
Thailand,2010,0.715
Thailand,2011,0.716
Thailand,2012,0.72
Thailand,2013,0.722
Timor,2000,0.465
Timor,2005,0.505
Timor,2008,0.579
Timor,2010,0.606
Timor,2011,0.606
Timor,2012,0.616
Timor,2013,0.62
Togo,1980,0.405
Togo,1990,0.404
Togo,2000,0.43
Togo,2005,0.442
Togo,2008,0.447
Togo,2010,0.46
Togo,2011,0.467
Togo,2012,0.47
Togo,2013,0.473
Tonga,1980,0.602
Tonga,1990,0.631
Tonga,2000,0.672
Tonga,2005,0.695
Tonga,2008,0.696
Tonga,2010,0.701
Tonga,2011,0.702
Tonga,2012,0.704
Tonga,2013,0.705
Trinidad and Tobago,1980,0.658
Trinidad and Tobago,1990,0.658
Trinidad and Tobago,2000,0.697
Trinidad and Tobago,2005,0.745
Trinidad and Tobago,2008,0.764
Trinidad and Tobago,2010,0.764
Trinidad and Tobago,2011,0.764
Trinidad and Tobago,2012,0.765
Trinidad and Tobago,2013,0.766
Tunisia,1980,0.484
Tunisia,1990,0.567
Tunisia,2000,0.653
Tunisia,2005,0.687
Tunisia,2008,0.706
Tunisia,2010,0.715
Tunisia,2011,0.716
Tunisia,2012,0.719
Tunisia,2013,0.721
Turkey,1980,0.496
Turkey,1990,0.576
Turkey,2000,0.653
Turkey,2005,0.687
Turkey,2008,0.71
Turkey,2010,0.738
Turkey,2011,0.752
Turkey,2012,0.756
Turkey,2013,0.759
Turkmenistan,2010,0.687
Turkmenistan,2011,0.69
Turkmenistan,2012,0.693
Turkmenistan,2013,0.698
Uganda,1980,0.293
Uganda,1990,0.31
Uganda,2000,0.392
Uganda,2005,0.429
Uganda,2008,0.458
Uganda,2010,0.472
Uganda,2011,0.477
Uganda,2012,0.48
Uganda,2013,0.484
Ukraine,1990,0.705
Ukraine,2000,0.668
Ukraine,2005,0.713
Ukraine,2008,0.729
Ukraine,2010,0.726
Ukraine,2011,0.73
Ukraine,2012,0.733
Ukraine,2013,0.734
United Arab Emirates,1980,0.64
United Arab Emirates,1990,0.725
United Arab Emirates,2000,0.797
United Arab Emirates,2005,0.823
United Arab Emirates,2008,0.832
United Arab Emirates,2010,0.824
United Arab Emirates,2011,0.824
United Arab Emirates,2012,0.825
United Arab Emirates,2013,0.827
United Kingdom,1980,0.735
United Kingdom,1990,0.768
United Kingdom,2000,0.863
United Kingdom,2005,0.888
United Kingdom,2008,0.89
United Kingdom,2010,0.895
United Kingdom,2011,0.891
United Kingdom,2012,0.89
United Kingdom,2013,0.892
United States,1980,0.825
United States,1990,0.858
United States,2000,0.883
United States,2005,0.897
United States,2008,0.905
United States,2010,0.908
United States,2011,0.911
United States,2012,0.912
United States,2013,0.914
Uruguay,1980,0.658
Uruguay,1990,0.691
Uruguay,2000,0.74
Uruguay,2005,0.755
Uruguay,2008,0.773
Uruguay,2010,0.779
Uruguay,2011,0.783
Uruguay,2012,0.787
Uruguay,2013,0.79
Uzbekistan,2005,0.626
Uzbekistan,2008,0.643
Uzbekistan,2010,0.648
Uzbekistan,2011,0.653
Uzbekistan,2012,0.657
Uzbekistan,2013,0.661
Vanuatu,2008,0.608
Vanuatu,2010,0.617
Vanuatu,2011,0.618
Vanuatu,2012,0.617
Vanuatu,2013,0.616
Venezuela,1980,0.639
Venezuela,1990,0.644
Venezuela,2000,0.677
Venezuela,2005,0.716
Venezuela,2008,0.758
Venezuela,2010,0.759
Venezuela,2011,0.761
Venezuela,2012,0.763
Venezuela,2013,0.764
Vietnam,1980,0.463
Vietnam,1990,0.476
Vietnam,2000,0.563
Vietnam,2005,0.598
Vietnam,2008,0.617
Vietnam,2010,0.629
Vietnam,2011,0.632
Vietnam,2012,0.635
Vietnam,2013,0.638
Yemen,1990,0.39
Yemen,2000,0.427
Yemen,2005,0.462
Yemen,2008,0.471
Yemen,2010,0.484
Yemen,2011,0.497
Yemen,2012,0.499
Yemen,2013,0.5
Zambia,1980,0.422
Zambia,1990,0.407
Zambia,2000,0.423
Zambia,2005,0.471
Zambia,2008,0.505
Zambia,2010,0.53
Zambia,2011,0.543
Zambia,2012,0.554
Zambia,2013,0.561
Zimbabwe,1980,0.437
Zimbabwe,1990,0.488
Zimbabwe,2000,0.428
Zimbabwe,2005,0.412
Zimbabwe,2008,0.422
Zimbabwe,2010,0.459
Zimbabwe,2011,0.473
Zimbabwe,2012,0.484
Zimbabwe,2013,0.492
