Entity,Year,Under five mortality rate (UN World Population Prospects (2015))
Iraq,1985,5.92
Iraq,1990,5.15
Iraq,1995,4.82
Iraq,2000,4.64
Iraq,2005,4.13
Iraq,2010,3.88
Iraq,2015,3.75
Ireland,1955,4.97
Ireland,1960,3.98
Ireland,1965,3.25
Ireland,1970,2.63
Ireland,1975,2.15
Ireland,1980,1.8
Ireland,1985,1.25
Ireland,1990,1.01
Ireland,1995,0.81
Ireland,2000,0.73
Ireland,2005,0.65
Ireland,2010,0.45
Ireland,2015,0.36
Israel,1955,4.87
Israel,1960,4.02
Israel,1965,3.37
Israel,1970,2.86
Israel,1975,2.42
Israel,1980,2
Israel,1985,1.62
Israel,1990,1.28
Israel,1995,1.01
Israel,2000,0.79
Israel,2005,0.62
Israel,2010,0.49
Israel,2015,0.44
Italy,1955,7.54
Italy,1960,5.81
Italy,1965,4.78
Italy,1970,3.78
Italy,1975,3
Italy,1980,2.01
Italy,1985,1.47
Italy,1990,1.1
Italy,1995,0.89
Italy,2000,0.67
Italy,2005,0.5
Italy,2010,0.41
Italy,2015,0.27
Jamaica,1955,11.77
Jamaica,1960,9.81
Jamaica,1965,7.47
Jamaica,1970,6.12
Jamaica,1975,5.24
Jamaica,1980,4.04
Jamaica,1985,3.6
Jamaica,1990,3.1
Jamaica,1995,2.72
Jamaica,2000,2.6
Jamaica,2005,2.4
Jamaica,2010,2.12
Jamaica,2015,1.79
Japan,1955,7.66
Japan,1960,5.04
Japan,1965,3.33
Japan,1970,2.12
Japan,1975,1.59
Japan,1980,1.17
Japan,1985,0.89
Japan,1990,0.68
Japan,1995,0.61
Japan,2000,0.52
Japan,2005,0.41
Japan,2010,0.35
Japan,2015,0.3
Jordan,1955,23.89
Jordan,1960,18.51
Jordan,1965,14.04
Jordan,1970,10.79
Jordan,1975,8.64
Jordan,1980,6.74
Jordan,1985,5.19
Jordan,1990,4.02
Jordan,1995,3.42
Jordan,2000,3
Jordan,2005,2.62
Jordan,2010,2.28
Jordan,2015,1.98
Kazakhstan,1955,14.42
Kazakhstan,1960,13.05
Kazakhstan,1965,11.75
Kazakhstan,1970,10.5
Kazakhstan,1975,9.43
Kazakhstan,1980,8.47
Kazakhstan,1985,7.4
Kazakhstan,1990,6.36
Kazakhstan,1995,6.06
Kazakhstan,2000,5.39
Kazakhstan,2005,3.85
Kazakhstan,2010,3.28
Kazakhstan,2015,1.75
Kenya,1955,24.84
Kenya,1960,22.59
Kenya,1965,19.61
Kenya,1970,17.21
Kenya,1975,14.82
Kenya,1980,12.81
Kenya,1985,10.9
Kenya,1990,10.51
Kenya,1995,10.85
Kenya,2000,11.2
Kenya,2005,10.28
Kenya,2010,8.95
Kenya,2015,7.8
Kiribati,1955,21.28
Kiribati,1960,19.78
Kiribati,1965,17.32
Kiribati,1970,15.25
Kiribati,1975,13.19
Kiribati,1980,12.33
Kiribati,1985,11.81
Kiribati,1990,10.46
Kiribati,1995,8.73
Kiribati,2000,7.56
Kiribati,2005,6.75
Kiribati,2010,6.41
Kiribati,2015,6.01
Kuwait,1955,19.31
Kuwait,1960,14.16
Kuwait,1965,10.19
Kuwait,1970,7.41
Kuwait,1975,5.46
Kuwait,1980,4.2
Kuwait,1985,3
Kuwait,1990,2.08
Kuwait,1995,1.65
Kuwait,2000,1.43
Kuwait,2005,1.33
Kuwait,2010,1.25
Kuwait,2015,1.12
Kyrgyzstan,1955,17.53
Kyrgyzstan,1960,15.98
Kyrgyzstan,1965,14.49
Kyrgyzstan,1970,13.08
Kyrgyzstan,1975,11.85
Kyrgyzstan,1980,10.72
Kyrgyzstan,1985,9.49
Kyrgyzstan,1990,8.22
Kyrgyzstan,1995,7.24
Kyrgyzstan,2000,5.84
Kyrgyzstan,2005,4.86
Kyrgyzstan,2010,4.57
Kyrgyzstan,2015,2.3
Laos,1955,26.47
Laos,1960,24.98
Laos,1965,23.49
Laos,1970,22.06
Laos,1975,20.61
Laos,1980,19.34
Laos,1985,17.96
Laos,1990,15.75
Laos,1995,13.71
Laos,2000,11.61
Laos,2005,9.54
Laos,2010,7.58
Laos,2015,6.02
Latvia,1955,10.68
Latvia,1960,5.87
Latvia,1965,3.6
Latvia,1970,2.74
Latvia,1975,2.47
Latvia,1980,2.78
Latvia,1985,2.36
Latvia,1990,1.85
Latvia,1995,2.14
Latvia,2000,1.91
Latvia,2005,1.23
Latvia,2010,0.94
Latvia,2015,0.78
Lebanon,1955,9.41
Lebanon,1960,8.04
Lebanon,1965,6.98
Lebanon,1970,6.09
Lebanon,1975,5.25
Lebanon,1980,4.73
Lebanon,1985,4.3
Lebanon,1990,3.69
Lebanon,1995,3
Lebanon,2000,2.21
Lebanon,2005,1.6
Lebanon,2010,1.23
Lebanon,2015,1.08
Lesotho,1955,25.33
Lesotho,1960,22.48
Lesotho,1965,19.96
Lesotho,1970,19.31
Lesotho,1975,18.12
Lesotho,1980,15.93
Lesotho,1985,13.41
Lesotho,1990,11.8
Lesotho,1995,9.37
Lesotho,2000,10.64
Lesotho,2005,11.59
Lesotho,2010,10.49
Lesotho,2015,8.2
Liberia,1955,33.27
Liberia,1960,32.54
Liberia,1965,31.65
Liberia,1970,29.16
Liberia,1975,26.67
Liberia,1980,24.6
Liberia,1985,23.11
Liberia,1990,23.67
Liberia,1995,23.36
Liberia,2000,19.19
Liberia,2005,13.98
Liberia,2010,9.99
Liberia,2015,8.52
Libya,1955,34.62
Libya,1960,31.66
Libya,1965,22.81
Libya,1970,16.41
Libya,1975,11.9
Libya,1980,8.6
Libya,1985,6.3
Libya,1990,4.99
Libya,1995,3.92
Libya,2000,3.51
Libya,2005,3.21
Libya,2010,2.87
Libya,2015,2.88
Lithuania,1955,13.8
Lithuania,1960,7.75
Lithuania,1965,4.86
Lithuania,1970,3.23
Lithuania,1975,2.67
Lithuania,1980,2.71
Lithuania,1985,2.28
Lithuania,1990,1.86
Lithuania,1995,1.96
Lithuania,2000,1.37
Lithuania,2005,0.98
Lithuania,2010,0.74
Lithuania,2015,0.47
Luxembourg,1955,5.5
Luxembourg,1960,4.6
Luxembourg,1965,3.51
Luxembourg,1970,2.47
Luxembourg,1975,2.17
Luxembourg,1980,1.62
Luxembourg,1985,1.43
Luxembourg,1990,1.06
Luxembourg,1995,0.88
Luxembourg,2000,0.62
Luxembourg,2005,0.61
Luxembourg,2010,0.33
Luxembourg,2015,0.2
Macao,1955,9
Macao,1960,7.31
Macao,1965,5.79
Macao,1970,4.59
Macao,1975,3.63
Macao,1980,2.87
Macao,1985,2.26
Macao,1990,1.78
Macao,1995,1.41
Macao,2000,1.11
Macao,2005,0.87
Macao,2010,0.69
Macao,2015,0.55
Macedonia,1955,15.55
Macedonia,1960,12.65
Macedonia,1965,10.52
Macedonia,1970,8.99
Macedonia,1975,7.48
Macedonia,1980,6.75
Macedonia,1985,5.6
Macedonia,1990,4.38
Macedonia,1995,2.95
Macedonia,2000,1.99
Macedonia,2005,1.36
Macedonia,2010,1.25
Macedonia,2015,1.07
Madagascar,1955,29.46
Madagascar,1960,27.08
Madagascar,1965,24.96
Madagascar,1970,22.95
Madagascar,1975,21.02
Madagascar,1980,19.35
Madagascar,1985,17.25
Madagascar,1990,17.05
Madagascar,1995,15.23
Madagascar,2000,11.72
Madagascar,2005,8.68
Madagascar,2010,6.74
Madagascar,2015,5.45
Malawi,1955,34.78
Malawi,1960,33.75
Malawi,1965,32.46
Malawi,1970,31.34
Malawi,1975,29.03
Malawi,1980,27.01
Malawi,1985,25.26
Malawi,1990,24.24
Malawi,1995,21.5
Malawi,2000,17.69
Malawi,2005,14.6
Malawi,2010,10.56
Malawi,2015,7.68
Malaysia,1955,13.7
Malaysia,1960,10.87
Malaysia,1965,8.54
Malaysia,1970,6.46
Malaysia,1975,4.88
Malaysia,1980,3.67
Malaysia,1985,2.76
Malaysia,1990,2.07
Malaysia,1995,1.56
Malaysia,2000,1.17
Malaysia,2005,0.87
Malaysia,2010,0.85
Malaysia,2015,0.83
Maldives,1955,38.1
Maldives,1960,36.66
Maldives,1965,33.2
Maldives,1970,28.62
Maldives,1975,23.48
Maldives,1980,17.94
Maldives,1985,13.68
Maldives,1990,10.62
Maldives,1995,8.2
Maldives,2000,5.7
Maldives,2005,3.23
Maldives,2010,1.72
Maldives,2015,1.05
Mali,1955,42.77
Mali,1960,41.44
Mali,1965,40.82
Mali,1970,38.97
Mali,1975,35.63
Mali,1980,32.58
Mali,1985,29.41
Mali,1990,26.78
Mali,1995,24.63
Mali,2000,22.51
Mali,2005,20.51
Mali,2010,15.33
Mali,2015,12.25
Malta,1955,5.61
Malta,1960,3.98
Malta,1965,3.28
Malta,1970,2.72
Malta,1975,2.27
Malta,1980,1.89
Malta,1985,1.59
Malta,1990,1.33
Malta,1995,1.12
Malta,2000,0.95
Malta,2005,0.8
Malta,2010,0.68
Malta,2015,0.58
Martinique,1955,11.39
Martinique,1960,9.18
Martinique,1965,7.39
Martinique,1970,5.92
Martinique,1975,4.58
Martinique,1980,3.55
Martinique,1985,2.75
Martinique,1990,2.13
Martinique,1995,1.65
Martinique,2000,1.28
Martinique,2005,1
Martinique,2010,0.89
Martinique,2015,0.74
Mauritania,1955,28.55
Mauritania,1960,25.72
Mauritania,1965,22.78
Mauritania,1970,20.62
Mauritania,1975,18.82
Mauritania,1980,17.05
Mauritania,1985,14.67
Mauritania,1990,13.02
Mauritania,1995,12.25
Mauritania,2000,11.33
Mauritania,2005,11.21
Mauritania,2010,10.44
Mauritania,2015,9.01
Mauritius,1955,16.8
Mauritius,1960,11.32
Mauritius,1965,8.62
Mauritius,1970,8.13
Mauritius,1975,8.44
Mauritius,1980,4.67
Mauritius,1985,3.13
Mauritius,1990,2.68
Mauritius,1995,2.12
Mauritius,2000,2.17
Mauritius,2005,1.61
Mauritius,2010,1.52
Mauritius,2015,1.42
Mayotte,1955,22.2
Mayotte,1960,15.32
Mayotte,1965,11.25
Mayotte,1970,8.23
Mayotte,1975,6.01
Mayotte,1980,4.38
Mayotte,1985,3.19
Mayotte,1990,2.32
Mayotte,1995,1.69
Mayotte,2000,1.23
Mayotte,2005,0.9
Mayotte,2010,0.66
Mayotte,2015,0.48
Melanesia,1955,23.55
Melanesia,1960,20.99
Melanesia,1965,18.63
Melanesia,1970,15.71
Melanesia,1975,13.48
Melanesia,1980,11.5
Melanesia,1985,9.58
Melanesia,1990,9.43
Melanesia,1995,8.47
Melanesia,2000,7.71
Melanesia,2005,6.86
Melanesia,2010,6.01
Melanesia,2015,5.65
Mexico,1955,19.35
Mexico,1960,15.88
Mexico,1965,13.46
Mexico,1970,11.86
Mexico,1975,9.83
Mexico,1980,7.39
Mexico,1985,5.73
Mexico,1990,4.85
Mexico,1995,4.04
Mexico,2000,3.29
Mexico,2005,2.48
Mexico,2010,2.46
Mexico,2015,2.32
Micronesia (country),1955,13.86
Micronesia (country),1960,12.27
Micronesia (country),1965,10.76
Micronesia (country),1970,9.31
Micronesia (country),1975,7.84
Micronesia (country),1980,6.44
Micronesia (country),1985,6.07
Micronesia (country),1990,5.72
Micronesia (country),1995,5.38
Micronesia (country),2000,5.04
Micronesia (country),2005,4.75
Micronesia (country),2010,4.31
Micronesia (country),2015,4
Moldova,1955,10.12
Moldova,1960,8.35
Moldova,1965,6.79
Moldova,1970,5.57
Moldova,1975,5.29
Moldova,1980,5.29
Moldova,1985,4.3
Moldova,1990,3.69
Moldova,1995,3.46
Moldova,2000,3.04
Moldova,2005,2.33
Moldova,2010,1.92
Moldova,2015,1.34
Mongolia,1955,29.41
Mongolia,1960,27.05
Mongolia,1965,21.09
Mongolia,1970,18.33
Mongolia,1975,16.21
Mongolia,1980,15.86
Mongolia,1985,15.48
Mongolia,1990,13.63
Mongolia,1995,9.14
Mongolia,2000,7.07
Mongolia,2005,4.94
Mongolia,2010,3.7
Mongolia,2015,3.2
Montenegro,1955,13.29
Montenegro,1960,11.55
Montenegro,1965,8
Montenegro,1970,5.53
Montenegro,1975,3.7
Montenegro,1980,3.19
Montenegro,1985,2.89
Montenegro,1990,2.42
Montenegro,1995,2.03
Montenegro,2000,1.27
Montenegro,2005,1.27
Montenegro,2010,1.17
Montenegro,2015,0.76
Morocco,1955,25.21
Morocco,1960,23.29
Morocco,1965,21.11
Morocco,1970,18.98
Morocco,1975,17.11
Morocco,1980,15.03
Morocco,1985,11.81
Morocco,1990,8.94
Morocco,1995,6.82
Morocco,2000,5.52
Morocco,2005,4.72
Morocco,2010,3.91
Morocco,2015,3.17
Mozambique,1955,36.61
Mozambique,1960,33.69
Mozambique,1965,31.05
Mozambique,1970,28.98
Mozambique,1975,26.74
Mozambique,1980,24.96
Mozambique,1985,25.63
Mozambique,1990,24.68
Mozambique,1995,22.87
Mozambique,2000,18.54
Mozambique,2005,14.4
Mozambique,2010,11.61
Mozambique,2015,9.95
Myanmar,1955,31.76
Myanmar,1960,26.25
Myanmar,1965,23.34
Myanmar,1970,18.24
Myanmar,1975,16.23
Myanmar,1980,14.46
Myanmar,1985,12.87
Myanmar,1990,11.42
Myanmar,1995,10.08
Myanmar,2000,8.9
Myanmar,2005,7.75
Myanmar,2010,6.87
Myanmar,2015,5.97
Namibia,1955,25.71
Namibia,1960,22.3
Namibia,1965,19.35
Namibia,1970,16.79
Namibia,1975,14.5
Namibia,1980,12.41
Namibia,1985,10.65
Namibia,1990,9.17
Namibia,1995,8.05
Namibia,2000,7.52
Namibia,2005,7.5
Namibia,2010,5.58
Namibia,2015,4.2
Nepal,1955,33.97
Nepal,1960,33.33
Nepal,1965,31.49
Nepal,1970,28.36
Nepal,1975,25.37
Nepal,1980,22.55
Nepal,1985,19.37
Nepal,1990,15.95
Nepal,1995,12.45
Nepal,2000,9.42
Nepal,2005,6.97
Nepal,2010,5.2
Nepal,2015,3.95
Netherlands,1955,3
Netherlands,1960,2.39
Netherlands,1965,2.01
Netherlands,1970,1.72
Netherlands,1975,1.43
Netherlands,1980,1.19
Netherlands,1985,1.03
Netherlands,1990,0.9
Netherlands,1995,0.76
Netherlands,2000,0.64
Netherlands,2005,0.59
Netherlands,2010,0.49
Netherlands,2015,0.41
New Caledonia,1955,17.08
New Caledonia,1960,13.81
New Caledonia,1965,11.14
New Caledonia,1970,8.95
New Caledonia,1975,7.12
New Caledonia,1980,5.62
New Caledonia,1985,4.44
New Caledonia,1990,3.55
New Caledonia,1995,2.9
New Caledonia,2000,2.41
New Caledonia,2005,2.04
New Caledonia,2010,1.75
New Caledonia,2015,1.52
New Zealand,1955,3.37
New Zealand,1960,2.99
New Zealand,1965,2.56
New Zealand,1970,2.23
New Zealand,1975,1.98
New Zealand,1980,1.72
New Zealand,1985,1.46
New Zealand,1990,1.3
New Zealand,1995,0.93
New Zealand,2000,0.78
New Zealand,2005,0.68
New Zealand,2010,0.62
New Zealand,2015,0.53
Nicaragua,1955,25.37
Nicaragua,1960,22.53
Nicaragua,1965,19.87
Nicaragua,1970,17.39
Nicaragua,1975,15.1
Nicaragua,1980,13.77
Nicaragua,1985,11.74
Nicaragua,1990,9.01
Nicaragua,1995,6.19
Nicaragua,2000,4.39
Nicaragua,2005,3.22
Nicaragua,2010,2.87
Nicaragua,2015,2.35
Niger,1955,32.53
Niger,1960,32.53
Niger,1965,32.38
Niger,1970,32.44
Niger,1975,32.53
Niger,1980,32.34
Niger,1985,31.35
Niger,1990,31.95
Niger,1995,29.32
Niger,2000,24.2
Niger,2005,19.11
Niger,2010,14.9
Niger,2015,10.42
Nigeria,1955,33.57
Nigeria,1960,31.33
Nigeria,1965,28.82
Nigeria,1970,26.93
Nigeria,1975,24.9
Nigeria,1980,22.77
Nigeria,1985,21.2
Nigeria,1990,21.26
Nigeria,1995,21.33
Nigeria,2000,20.05
Nigeria,2005,17.18
Nigeria,2010,14.22
Nigeria,2015,12.22
North Korea,1955,20.25
North Korea,1960,12.5
North Korea,1965,11.81
North Korea,1970,8.27
North Korea,1975,6.18
North Korea,1980,4.79
North Korea,1985,4.02
North Korea,1990,3.48
North Korea,1995,5.64
North Korea,2000,8.01
North Korea,2005,3.63
North Korea,2010,3.46
North Korea,2015,2.79
Norway,1955,2.97
Norway,1960,2.46
Norway,1965,2.16
Norway,1970,1.78
Norway,1975,1.47
Norway,1980,1.17
Norway,1985,0.99
Norway,1990,1.01
Norway,1995,0.73
Norway,2000,0.51
Norway,2005,0.45
Norway,2010,0.37
Norway,2015,0.3
Oman,1955,35.93
Oman,1960,30.11
Oman,1965,25.08
Oman,1970,20.79
Oman,1975,16.85
Oman,1980,12.22
Oman,1985,8.43
Oman,1990,5.72
Oman,1995,4.02
Oman,2000,2.71
Oman,2005,1.79
Oman,2010,1.18
Oman,2015,0.89
Pakistan,1955,34.87
Pakistan,1960,28.15
Pakistan,1965,23.22
Pakistan,1970,19.93
Pakistan,1975,17.93
Pakistan,1980,16.65
Pakistan,1985,15.63
Pakistan,1990,14.47
Pakistan,1995,13.23
Pakistan,2000,11.92
Pakistan,2005,10.68
Pakistan,2010,9.66
Pakistan,2015,8.67
Palestine,1955,20.93
Palestine,1960,19.43
Palestine,1965,17.1
Palestine,1970,14.28
Palestine,1975,11.64
Palestine,1980,9.06
Palestine,1985,6.74
Palestine,1990,5.03
Palestine,1995,4.05
Palestine,2000,3.35
Palestine,2005,2.98
Palestine,2010,2.73
Palestine,2015,2.43
Panama,1955,12.77
Panama,1960,11.19
Panama,1965,9.63
Panama,1970,8.31
Panama,1975,6.81
Panama,1980,5.35
Panama,1985,4.5
Panama,1990,3.77
Panama,1995,3.32
Panama,2000,3.01
Panama,2005,2.59
Panama,2010,2.19
Panama,2015,1.97
Papua New Guinea,1955,25.4
Papua New Guinea,1960,23.06
Papua New Guinea,1965,20.63
Papua New Guinea,1970,17.2
Papua New Guinea,1975,14.63
Papua New Guinea,1980,12.56
Papua New Guinea,1985,10.4
Papua New Guinea,1990,10.16
Papua New Guinea,1995,9.15
Papua New Guinea,2000,8.36
Papua New Guinea,2005,7.51
Papua New Guinea,2010,6.58
Papua New Guinea,2015,6.2
Paraguay,1955,10.21
Paraguay,1960,9.68
Paraguay,1965,8.61
Paraguay,1970,8.04
Paraguay,1975,7.23
Paraguay,1980,6.83
Paraguay,1985,6.45
Paraguay,1990,6.08
Paraguay,1995,5.47
Paraguay,2000,4.86
Paraguay,2005,4.26
Paraguay,2010,3.85
Paraguay,2015,3.47
Peru,1955,26.85
Peru,1960,24.6
Peru,1965,22.02
Peru,1970,19.97
Peru,1975,16.66
Peru,1980,14.37
Peru,1985,11.69
Peru,1990,9.56
Peru,1995,7.73
Peru,2000,5.79
Peru,2005,4.04
Peru,2010,3.26
Peru,2015,2.91
Philippines,1955,13.74
Philippines,1960,12.19
Philippines,1965,10.81
Philippines,1970,9.41
Philippines,1975,8.17
Philippines,1980,8.52
Philippines,1985,7.4
Philippines,1990,5.34
Philippines,1995,4.81
Philippines,2000,4.29
Philippines,2005,3.82
Philippines,2010,3.4
Philippines,2015,3.03
Poland,1955,9.17
Poland,1960,6.72
Poland,1965,5.54
Poland,1970,4.06
Poland,1975,3.16
Poland,1980,2.63
Poland,1985,2.25
Poland,1990,1.94
Poland,1995,1.84
Poland,2000,1.16
Poland,2005,0.84
Poland,2010,0.7
Poland,2015,0.54
Polynesia,1955,13.18
Polynesia,1960,11.07
Polynesia,1965,9.79
Polynesia,1970,8.58
Polynesia,1975,7.57
Polynesia,1980,6.43
Polynesia,1985,4.96
Polynesia,1990,3.8
Polynesia,1995,3.26
Polynesia,2000,2.69
Polynesia,2005,2.37
Polynesia,2010,2.12
Polynesia,2015,1.84
Portugal,1955,13.67
Portugal,1960,12.38
Portugal,1965,10.54
Portugal,1970,7.66
Portugal,1975,5.78
Portugal,1980,3.77
Portugal,1985,2.47
Portugal,1990,1.82
Portugal,1995,1.23
Portugal,2000,0.85
Portugal,2005,0.62
Portugal,2010,0.43
Portugal,2015,0.39
Puerto Rico,1955,7.53
Puerto Rico,1960,6.08
Puerto Rico,1965,5.28
Puerto Rico,1970,3.9
Puerto Rico,1975,2.94
Puerto Rico,1980,2.28
Puerto Rico,1985,2
Puerto Rico,1990,1.62
Puerto Rico,1995,1.37
Puerto Rico,2000,1.3
Puerto Rico,2005,0.97
Puerto Rico,2010,0.91
Puerto Rico,2015,0.72
Qatar,1955,16.33
Qatar,1960,13.53
Qatar,1965,10.74
Qatar,1970,7.69
Qatar,1975,5.29
Qatar,1980,4.07
Qatar,1985,3.11
Qatar,1990,2.38
Qatar,1995,1.85
Qatar,2000,1.45
Qatar,2005,1.15
Qatar,2010,0.92
Qatar,2015,0.79
Reunion,1955,22.2
Reunion,1960,15.32
Reunion,1965,11.25
Reunion,1970,8.23
Reunion,1975,6.01
Reunion,1980,4.38
Reunion,1985,3.19
Reunion,1990,2.32
Reunion,1995,1.69
Reunion,2000,1.23
Reunion,2005,0.9
Reunion,2010,0.66
Reunion,2015,0.48
Romania,1955,11.35
Romania,1960,9.89
Romania,1965,6.32
Romania,1970,6.13
Romania,1975,4.71
Romania,1980,3.83
Romania,1985,3.26
Romania,1990,3.34
Romania,1995,2.87
Romania,2000,2.46
Romania,2005,2
Romania,2010,1.42
Romania,2015,1.27
Russia,1955,14.25
Russia,1960,7.84
Russia,1965,4.79
Russia,1970,3.72
Russia,1975,3.18
Russia,1980,3.44
Russia,1985,3.15
Russia,1990,2.82
Russia,1995,2.61
Russia,2000,2.51
Russia,2005,1.96
Russia,2010,1.32
Russia,2015,1.02
Rwanda,1955,27.08
Rwanda,1960,25.63
Rwanda,1965,24.2
Rwanda,1970,23.18
Rwanda,1975,22.78
Rwanda,1980,21.67
Rwanda,1985,18.05
Rwanda,1990,18.92
Rwanda,1995,46.64
Rwanda,2000,19.32
Rwanda,2005,14.53
Rwanda,2010,8.97
Rwanda,2015,7.27
Saint Lucia,1955,19.88
Saint Lucia,1960,17.35
Saint Lucia,1965,11.91
Saint Lucia,1970,8.01
Saint Lucia,1975,6.31
Saint Lucia,1980,4.48
Saint Lucia,1985,3.32
Saint Lucia,1990,2.87
Saint Lucia,1995,2.42
Saint Lucia,2000,2.11
Saint Lucia,2005,1.92
Saint Lucia,2010,1.6
Saint Lucia,2015,1.48
Saint Vincent and the Grenadines,1955,16.64
Saint Vincent and the Grenadines,1960,18.22
Saint Vincent and the Grenadines,1965,13.71
Saint Vincent and the Grenadines,1970,9.28
Saint Vincent and the Grenadines,1975,6.39
Saint Vincent and the Grenadines,1980,4.81
Saint Vincent and the Grenadines,1985,4.36
Saint Vincent and the Grenadines,1990,3.5
Saint Vincent and the Grenadines,1995,2.8
Saint Vincent and the Grenadines,2000,2.65
Saint Vincent and the Grenadines,2005,2.68
Saint Vincent and the Grenadines,2010,2.34
Saint Vincent and the Grenadines,2015,2.09
Samoa,1955,15.99
Samoa,1960,14.19
Samoa,1965,12.5
Samoa,1970,10.92
Samoa,1975,9.45
Samoa,1980,8.07
Samoa,1985,6.8
Samoa,1990,5.63
Samoa,1995,4.53
Samoa,2000,3.68
Samoa,2005,3.11
Samoa,2010,2.68
Samoa,2015,2.34
Sao Tome and Principe,1955,21.01
Sao Tome and Principe,1960,18.73
Sao Tome and Principe,1965,16.21
Sao Tome and Principe,1970,14.2
Sao Tome and Principe,1975,12.03
Sao Tome and Principe,1980,10.05
Sao Tome and Principe,1985,9.81
Sao Tome and Principe,1990,9.27
Sao Tome and Principe,1995,8.74
Sao Tome and Principe,2000,8.23
Sao Tome and Principe,2005,7.74
Sao Tome and Principe,2010,6.71
Sao Tome and Principe,2015,6.26
Saudi Arabia,1955,30
Saudi Arabia,1960,27.01
Saudi Arabia,1965,24.07
Saudi Arabia,1970,20.64
Saudi Arabia,1975,15.64
Saudi Arabia,1980,11
Saudi Arabia,1985,7.72
Saudi Arabia,1990,5.44
Saudi Arabia,1995,3.87
Saudi Arabia,2000,2.83
Saudi Arabia,2005,2.16
Saudi Arabia,2010,1.8
Saudi Arabia,2015,1.68
Senegal,1955,32.04
Senegal,1960,30.17
Senegal,1965,29.31
Senegal,1970,29.88
Senegal,1975,27.61
Senegal,1980,22.59
Senegal,1985,18.64
Senegal,1990,15.01
Senegal,1995,13.79
Senegal,2000,13.98
Senegal,2005,11.41
Senegal,2010,8.21
Senegal,2015,5.36
Serbia,1955,13.56
Serbia,1960,11.72
Serbia,1965,9.86
Serbia,1970,7.61
Serbia,1975,5.68
Serbia,1980,4.5
Serbia,1985,3.91
Serbia,1990,2.59
Serbia,1995,2.02
Serbia,2000,1.88
Serbia,2005,1.68
Serbia,2010,1.47
Serbia,2015,1.16
Seychelles,1955,11.1
Seychelles,1960,10.11
Seychelles,1965,9.16
Seychelles,1970,8.03
Seychelles,1975,5.42
Seychelles,1980,3.55
Seychelles,1985,2.37
Seychelles,1990,1.64
Seychelles,1995,1.55
Seychelles,2000,1.44
Seychelles,2005,1.34
Seychelles,2010,1.27
Seychelles,2015,1.27
Sierra Leone,1955,41.98
Sierra Leone,1960,40.64
Sierra Leone,1965,39.19
Sierra Leone,1970,37.16
Sierra Leone,1975,31.5
Sierra Leone,1980,27.61
Sierra Leone,1985,25.28
Sierra Leone,1990,25.33
Sierra Leone,1995,27.28
Sierra Leone,2000,24.76
Sierra Leone,2005,21.75
Sierra Leone,2010,18.01
Sierra Leone,2015,13.42
Singapore,1955,8.48
Singapore,1960,6.07
Singapore,1965,3.64
Singapore,1970,3.06
Singapore,1975,2.39
Singapore,1980,1.57
Singapore,1985,1.11
Singapore,1990,0.71
Singapore,1995,0.58
Singapore,2000,0.53
Singapore,2005,0.33
Singapore,2010,0.28
Singapore,2015,0.23
Slovakia,1955,8.6
Slovakia,1960,4.41
Slovakia,1965,3.19
Slovakia,1970,3.05
Slovakia,1975,2.88
Slovakia,1980,2.54
Slovakia,1985,2.05
Slovakia,1990,1.62
Slovakia,1995,1.35
Slovakia,2000,1.09
Slovakia,2005,0.89
Slovakia,2010,0.76
Slovakia,2015,0.6
Slovenia,1955,2.87
Slovenia,1960,2.3
Slovenia,1965,2.01
Slovenia,1970,2
Slovenia,1975,1.86
Slovenia,1980,1.62
Slovenia,1985,1.57
Slovenia,1990,1.22
Slovenia,1995,0.88
Slovenia,2000,0.6
Slovenia,2005,0.49
Slovenia,2010,0.36
Slovenia,2015,0.34
Solomon Islands,1955,21.87
Solomon Islands,1960,19.53
Solomon Islands,1965,17.24
Solomon Islands,1970,15.06
Solomon Islands,1975,13.03
Solomon Islands,1980,11.1
Solomon Islands,1985,10.57
Solomon Islands,1990,12.8
Solomon Islands,1995,10.92
Solomon Islands,2000,8.9
Solomon Islands,2005,6.73
Solomon Islands,2010,5.43
Solomon Islands,2015,4.74
Somalia,1955,33.45
Somalia,1960,31.24
Somalia,1965,29.15
Somalia,1970,27.09
Somalia,1975,25.33
Somalia,1980,23.52
Somalia,1985,21.92
Somalia,1990,21.07
Somalia,1995,22.19
Somalia,2000,17.63
Somalia,2005,16.07
Somalia,2010,14.7
Somalia,2015,13.12
South Africa,1955,16.62
South Africa,1960,14.5
South Africa,1965,13.18
South Africa,1970,11.92
South Africa,1975,10.84
South Africa,1980,9.77
South Africa,1985,8.2
South Africa,1990,6.88
South Africa,1995,6.27
South Africa,2000,6.93
South Africa,2005,7.67
South Africa,2010,7.17
South Africa,2015,5.08
South Korea,1955,19.43
South Korea,1960,16.08
South Korea,1965,12.55
South Korea,1970,8.85
South Korea,1975,5.01
South Korea,1980,4.37
South Korea,1985,3.24
South Korea,1990,1.96
South Korea,1995,1.29
South Korea,2000,0.87
South Korea,2005,0.68
South Korea,2010,0.59
South Korea,2015,0.37
South Sudan,1955,40.85
South Sudan,1960,37.48
South Sudan,1965,34.92
South Sudan,1970,32.47
South Sudan,1975,30.45
South Sudan,1980,28.43
South Sudan,1985,27.62
South Sudan,1990,25.31
South Sudan,1995,21.95
South Sudan,2000,18.96
