Entity,Year,Share of the population in extreme poverty,Extreme Poverty to 2030 (On or Off-track)
Dominican Republic,2030,0.00,Target reached
Ecuador,2015,3.78,Poverty rising
Ecuador,2016,4.14,Poverty rising
Ecuador,2017,4.48,Poverty rising
Ecuador,2018,4.67,Poverty rising
Ecuador,2019,4.75,Poverty rising
Ecuador,2020,4.77,Off-track
Ecuador,2021,4.75,Off-track
Ecuador,2022,4.72,Off-track
Ecuador,2023,4.55,Off-track
Ecuador,2024,4.38,Off-track
Ecuador,2025,4.22,Off-track
Ecuador,2026,4.05,Off-track
Ecuador,2027,3.90,Off-track
Ecuador,2028,3.76,Off-track
Ecuador,2029,3.61,Off-track
Ecuador,2030,3.48,Off-track
Egypt,2015,0.40,Target reached
Egypt,2016,0.38,Target reached
Egypt,2017,0.36,Target reached
Egypt,2018,0.33,Target reached
Egypt,2019,0.30,Target reached
Egypt,2020,0.27,Target reached
Egypt,2021,0.24,Target reached
Egypt,2022,0.22,Target reached
Egypt,2023,0.20,Target reached
Egypt,2024,0.19,Target reached
Egypt,2025,0.18,Target reached
Egypt,2026,0.16,Target reached
Egypt,2027,0.15,Target reached
Egypt,2028,0.14,Target reached
Egypt,2029,0.13,Target reached
Egypt,2030,0.13,Target reached
El Salvador,2015,3.42,On-track
El Salvador,2016,3.24,On-track
El Salvador,2017,3.08,On-track
El Salvador,2018,2.92,Target reached
El Salvador,2019,2.79,Target reached
El Salvador,2020,2.67,Target reached
El Salvador,2021,2.55,Target reached
El Salvador,2022,2.45,Target reached
El Salvador,2023,2.32,Target reached
El Salvador,2024,2.20,Target reached
El Salvador,2025,2.09,Target reached
El Salvador,2026,1.97,Target reached
El Salvador,2027,1.86,Target reached
El Salvador,2028,1.75,Target reached
El Salvador,2029,1.65,Target reached
El Salvador,2030,1.56,Target reached
Equatorial Guinea,2015,0.11,Target reached
Equatorial Guinea,2016,0.12,Target reached
Equatorial Guinea,2017,0.12,Target reached
Equatorial Guinea,2018,0.12,Target reached
Equatorial Guinea,2019,0.13,Target reached
Equatorial Guinea,2020,0.13,Target reached
Equatorial Guinea,2021,0.13,Target reached
Equatorial Guinea,2022,0.13,Target reached
Equatorial Guinea,2023,0.12,Target reached
Equatorial Guinea,2024,0.12,Target reached
Equatorial Guinea,2025,0.12,Target reached
Equatorial Guinea,2026,0.12,Target reached
Equatorial Guinea,2027,0.12,Target reached
Equatorial Guinea,2028,0.11,Target reached
Equatorial Guinea,2029,0.11,Target reached
Equatorial Guinea,2030,0.11,Target reached
Eritrea,2015,46.77,Off-track
Eritrea,2016,44.86,Off-track
Eritrea,2017,43.36,Off-track
Eritrea,2018,41.66,Off-track
Eritrea,2019,40.03,Off-track
Eritrea,2020,38.31,Off-track
Eritrea,2021,36.54,Off-track
Eritrea,2022,34.80,Off-track
Eritrea,2023,32.21,Off-track
Eritrea,2024,29.83,Off-track
Eritrea,2025,27.63,Off-track
Eritrea,2026,25.67,Off-track
Eritrea,2027,23.85,Off-track
Eritrea,2028,22.17,Off-track
Eritrea,2029,20.62,Off-track
Eritrea,2030,19.19,Off-track
Estonia,2015,0.64,Target reached
Estonia,2016,0.64,Target reached
Estonia,2017,0.62,Target reached
Estonia,2018,0.61,Target reached
Estonia,2019,0.60,Target reached
Estonia,2020,0.58,Target reached
Estonia,2021,0.57,Target reached
Estonia,2022,0.56,Target reached
Estonia,2023,0.55,Target reached
Estonia,2024,0.55,Target reached
Estonia,2025,0.55,Target reached
Estonia,2026,0.54,Target reached
Estonia,2027,0.54,Target reached
Estonia,2028,0.53,Target reached
Estonia,2029,0.53,Target reached
Estonia,2030,0.52,Target reached
Ethiopia,2015,27.26,On-track
Ethiopia,2016,23.93,On-track
Ethiopia,2017,21.05,On-track
Ethiopia,2018,18.35,On-track
Ethiopia,2019,15.85,On-track
Ethiopia,2020,13.61,On-track
Ethiopia,2021,11.64,On-track
Ethiopia,2022,9.86,On-track
Ethiopia,2023,8.22,On-track
Ethiopia,2024,6.82,On-track
Ethiopia,2025,5.64,On-track
Ethiopia,2026,4.65,On-track
Ethiopia,2027,3.83,On-track
Ethiopia,2028,3.16,On-track
Ethiopia,2029,2.62,Target reached
Ethiopia,2030,2.18,Target reached
Europe,2015,0.38,
Europe,2016,0.37,
Europe,2017,0.36,
Europe,2018,0.35,
Europe,2019,0.34,
Europe,2020,0.33,
Europe,2021,0.32,
Europe,2022,0.32,
Europe,2023,0.31,
Europe,2024,0.31,
Europe,2025,0.31,
Europe,2026,0.31,
Europe,2027,0.30,
Europe,2028,0.30,
Europe,2029,0.30,
Europe,2030,0.30,
Extreme fragility,2015,38.71,
Extreme fragility,2016,38.66,
Extreme fragility,2017,37.85,
Extreme fragility,2018,36.65,
Extreme fragility,2019,35.63,
Extreme fragility,2020,34.59,
Extreme fragility,2021,33.61,
Extreme fragility,2022,32.63,
Extreme fragility,2023,31.44,
Extreme fragility,2024,30.34,
Extreme fragility,2025,29.31,
Extreme fragility,2026,28.30,
Extreme fragility,2027,27.36,
Extreme fragility,2028,26.48,
Extreme fragility,2029,25.66,
Extreme fragility,2030,24.89,
Fiji,2015,1.82,Target reached
Fiji,2016,1.70,Target reached
Fiji,2017,1.45,Target reached
Fiji,2018,1.24,Target reached
Fiji,2019,1.06,Target reached
Fiji,2020,0.91,Target reached
Fiji,2021,0.78,Target reached
Fiji,2022,0.68,Target reached
Fiji,2023,0.57,Target reached
Fiji,2024,0.49,Target reached
Fiji,2025,0.42,Target reached
Fiji,2026,0.37,Target reached
Fiji,2027,0.32,Target reached
Fiji,2028,0.28,Target reached
Fiji,2029,0.24,Target reached
Fiji,2030,0.22,Target reached
Finland,2015,0.08,Target reached
Finland,2016,0.08,Target reached
Finland,2017,0.08,Target reached
Finland,2018,0.08,Target reached
Finland,2019,0.07,Target reached
Finland,2020,0.07,Target reached
Finland,2021,0.07,Target reached
Finland,2022,0.07,Target reached
Finland,2023,0.07,Target reached
Finland,2024,0.07,Target reached
Finland,2025,0.07,Target reached
Finland,2026,0.07,Target reached
Finland,2027,0.07,Target reached
Finland,2028,0.07,Target reached
Finland,2029,0.07,Target reached
Finland,2030,0.07,Target reached
Fragile,2015,22.70,
Fragile,2016,22.46,
Fragile,2017,21.89,
Fragile,2018,21.27,
Fragile,2019,20.69,
Fragile,2020,20.15,
Fragile,2021,19.68,
Fragile,2022,19.15,
Fragile,2023,18.46,
Fragile,2024,17.81,
Fragile,2025,17.21,
Fragile,2026,16.60,
Fragile,2027,16.02,
Fragile,2028,15.48,
Fragile,2029,14.96,
Fragile,2030,14.47,
Fragile (inc. extreme fragility),2015,26.44,
Fragile (inc. extreme fragility),2016,26.26,
Fragile (inc. extreme fragility),2017,25.65,
Fragile (inc. extreme fragility),2018,24.91,
Fragile (inc. extreme fragility),2019,24.24,
Fragile (inc. extreme fragility),2020,23.60,
Fragile (inc. extreme fragility),2021,23.02,
Fragile (inc. extreme fragility),2022,22.40,
Fragile (inc. extreme fragility),2023,21.60,
Fragile (inc. extreme fragility),2024,20.86,
Fragile (inc. extreme fragility),2025,20.16,
Fragile (inc. extreme fragility),2026,19.47,
Fragile (inc. extreme fragility),2027,18.81,
Fragile (inc. extreme fragility),2028,18.20,
Fragile (inc. extreme fragility),2029,17.61,
Fragile (inc. extreme fragility),2030,17.06,
France,2015,0.20,Target reached
France,2016,0.20,Target reached
France,2017,0.20,Target reached
France,2018,0.20,Target reached
France,2019,0.20,Target reached
France,2020,0.19,Target reached
France,2021,0.19,Target reached
France,2022,0.19,Target reached
France,2023,0.19,Target reached
France,2024,0.19,Target reached
France,2025,0.19,Target reached
France,2026,0.19,Target reached
France,2027,0.19,Target reached
France,2028,0.19,Target reached
France,2029,0.19,Target reached
France,2030,0.19,Target reached
Gabon,2015,2.22,Target reached
Gabon,2016,2.21,Target reached
Gabon,2017,2.33,Target reached
Gabon,2018,2.27,Target reached
Gabon,2019,2.08,Target reached
Gabon,2020,1.85,Target reached
Gabon,2021,1.64,Target reached
Gabon,2022,1.43,Target reached
Gabon,2023,1.24,Target reached
Gabon,2024,1.07,Target reached
Gabon,2025,0.93,Target reached
Gabon,2026,0.78,Target reached
Gabon,2027,0.66,Target reached
Gabon,2028,0.56,Target reached
Gabon,2029,0.47,Target reached
Gabon,2030,0.40,Target reached
Gambia,2015,40.49,Poverty rising
Gambia,2016,40.88,Poverty rising
Gambia,2017,41.04,Poverty rising
Gambia,2018,40.94,Off-track
Gambia,2019,40.79,Off-track
Gambia,2020,40.59,Off-track
Gambia,2021,40.29,Off-track
Gambia,2022,39.95,Off-track
Gambia,2023,39.16,Off-track
Gambia,2024,38.40,Off-track
Gambia,2025,37.66,Off-track
Gambia,2026,36.78,Off-track
Gambia,2027,35.92,Off-track
Gambia,2028,35.09,Off-track
Gambia,2029,34.30,Off-track
Gambia,2030,33.53,Off-track
Georgia,2015,9.79,On-track
Georgia,2016,9.09,On-track
Georgia,2017,8.32,On-track
Georgia,2018,7.55,On-track
Georgia,2019,6.74,On-track
Georgia,2020,5.90,On-track
Georgia,2021,5.04,On-track
Georgia,2022,4.25,On-track
Georgia,2023,3.65,On-track
Georgia,2024,3.13,On-track
Georgia,2025,2.67,Target reached
Georgia,2026,2.34,Target reached
Georgia,2027,2.05,Target reached
Georgia,2028,1.79,Target reached
Georgia,2029,1.56,Target reached
Georgia,2030,1.36,Target reached
Germany,2015,0.13,Target reached
Germany,2016,0.13,Target reached
Germany,2017,0.13,Target reached
Germany,2018,0.12,Target reached
Germany,2019,0.12,Target reached
Germany,2020,0.12,Target reached
Germany,2021,0.12,Target reached
Germany,2022,0.12,Target reached
Germany,2023,0.12,Target reached
Germany,2024,0.12,Target reached
Germany,2025,0.12,Target reached
Germany,2026,0.12,Target reached
Germany,2027,0.12,Target reached
Germany,2028,0.12,Target reached
Germany,2029,0.12,Target reached
Germany,2030,0.12,Target reached
Ghana,2015,21.82,Off-track
Ghana,2016,21.21,Off-track
Ghana,2017,20.02,Off-track
Ghana,2018,17.82,Off-track
Ghana,2019,16.67,Off-track
Ghana,2020,15.78,Off-track
Ghana,2021,14.89,Off-track
Ghana,2022,13.97,Off-track
Ghana,2023,12.99,Off-track
Ghana,2024,12.06,Off-track
Ghana,2025,11.17,Off-track
Ghana,2026,10.29,Off-track
Ghana,2027,9.46,Off-track
Ghana,2028,8.67,Off-track
Ghana,2029,7.93,Off-track
Ghana,2030,7.23,Off-track
Greece,2015,1.63,Target reached
Greece,2016,1.62,Target reached
Greece,2017,1.59,Target reached
Greece,2018,1.56,Target reached
Greece,2019,1.53,Target reached
Greece,2020,1.51,Target reached
Greece,2021,1.48,Target reached
Greece,2022,1.47,Target reached
Greece,2023,1.49,Target reached
Greece,2024,1.51,Target reached
Greece,2025,1.53,Target reached
Greece,2026,1.56,Target reached
Greece,2027,1.58,Target reached
Greece,2028,1.61,Target reached
Greece,2029,1.63,Target reached
Greece,2030,1.66,Target reached
Grenada,2015,4.34,On-track
Grenada,2016,4.09,On-track
Grenada,2017,3.87,On-track
Grenada,2018,3.66,On-track
Grenada,2019,3.47,On-track
Grenada,2020,3.28,On-track
Grenada,2021,3.10,On-track
Grenada,2022,2.94,Target reached
Grenada,2023,2.39,Target reached
Grenada,2024,1.96,Target reached
Grenada,2025,1.62,Target reached
Grenada,2026,1.28,Target reached
Grenada,2027,1.02,Target reached
Grenada,2028,0.81,Target reached
Grenada,2029,0.66,Target reached
Grenada,2030,0.54,Target reached
Guatemala,2015,9.24,Off-track
Guatemala,2016,9.03,Off-track
Guatemala,2017,8.78,Off-track
Guatemala,2018,8.48,Off-track
Guatemala,2019,8.12,Off-track
Guatemala,2020,7.75,Off-track
Guatemala,2021,7.37,Off-track
Guatemala,2022,7.00,Off-track
Guatemala,2023,6.66,Off-track
Guatemala,2024,6.34,Off-track
Guatemala,2025,6.02,Off-track
Guatemala,2026,5.69,Off-track
Guatemala,2027,5.38,Off-track
Guatemala,2028,5.08,Off-track
Guatemala,2029,4.79,Off-track
Guatemala,2030,4.52,Off-track
Guinea,2015,39.43,Off-track
Guinea,2016,37.89,Off-track
Guinea,2017,36.88,Off-track
Guinea,2018,35.46,Off-track
Guinea,2019,33.54,Off-track
Guinea,2020,32.28,Off-track
Guinea,2021,31.06,Off-track
Guinea,2022,30.13,Off-track
Guinea,2023,28.12,Off-track
Guinea,2024,26.21,Off-track
Guinea,2025,24.38,Off-track
Guinea,2026,22.63,Off-track
Guinea,2027,20.97,Off-track
Guinea,2028,19.39,Off-track
Guinea,2029,17.91,Off-track
Guinea,2030,16.50,Off-track
Guinea-Bissau,2015,65.72,Off-track
Guinea-Bissau,2016,64.30,Off-track
Guinea-Bissau,2017,62.95,Off-track
Guinea-Bissau,2018,61.58,Off-track
Guinea-Bissau,2019,60.19,Off-track
Guinea-Bissau,2020,58.77,Off-track
Guinea-Bissau,2021,57.34,Off-track
Guinea-Bissau,2022,55.89,Off-track
Guinea-Bissau,2023,54.33,Off-track
Guinea-Bissau,2024,52.80,Off-track
Guinea-Bissau,2025,51.31,Off-track
Guinea-Bissau,2026,49.60,Off-track
Guinea-Bissau,2027,47.95,Off-track
Guinea-Bissau,2028,46.33,Off-track
Guinea-Bissau,2029,44.75,Off-track
Guinea-Bissau,2030,43.20,Off-track
Guyana,2015,6.24,On-track
Guyana,2016,5.97,On-track
Guyana,2017,5.70,On-track
Guyana,2018,5.45,On-track
Guyana,2019,5.21,On-track
Guyana,2020,3.43,On-track
Guyana,2021,2.65,Target reached
Guyana,2022,2.60,Target reached
Guyana,2023,2.47,Target reached
Guyana,2024,2.36,Target reached
Guyana,2025,2.25,Target reached
Guyana,2026,2.16,Target reached
Guyana,2027,2.07,Target reached
Guyana,2028,1.98,Target reached
Guyana,2029,1.91,Target reached
Guyana,2030,1.84,Target reached
Haiti,2015,50.38,Off-track
Haiti,2016,50.33,Off-track
Haiti,2017,50.42,Off-track
Haiti,2018,49.86,Off-track
Haiti,2019,49.29,Off-track
Haiti,2020,48.72,Off-track
Haiti,2021,48.14,Off-track
Haiti,2022,47.56,Off-track
Haiti,2023,46.76,Off-track
Haiti,2024,45.99,Off-track
Haiti,2025,45.24,Off-track
Haiti,2026,44.41,Off-track
Haiti,2027,43.59,Off-track
Haiti,2028,42.81,Off-track
Haiti,2029,42.04,Off-track
Haiti,2030,41.29,Off-track
Honduras,2015,16.06,Off-track
Honduras,2016,15.60,Off-track
Honduras,2017,15.17,Off-track
Honduras,2018,14.72,Off-track
Honduras,2019,14.24,Off-track
Honduras,2020,13.77,Off-track
Honduras,2021,13.30,Off-track
Honduras,2022,12.85,Off-track
Honduras,2023,12.39,Off-track
Honduras,2024,11.94,Off-track
Honduras,2025,11.52,Off-track
Honduras,2026,11.05,Off-track
Honduras,2027,10.60,Off-track
Honduras,2028,10.16,Off-track
Honduras,2029,9.74,Off-track
Honduras,2030,9.34,Off-track
Hong Kong,2015,0.24,Target reached
Hong Kong,2016,0.24,Target reached
Hong Kong,2017,0.24,Target reached
Hong Kong,2018,0.24,Target reached
Hong Kong,2019,0.24,Target reached
Hong Kong,2020,0.24,Target reached
Hong Kong,2021,0.24,Target reached
Hong Kong,2022,0.23,Target reached
Hong Kong,2023,0.23,Target reached
Hong Kong,2024,0.23,Target reached
Hong Kong,2025,0.23,Target reached
Hong Kong,2026,0.23,Target reached
Hong Kong,2027,0.23,Target reached
Hong Kong,2028,0.23,Target reached
Hong Kong,2029,0.23,Target reached
Hong Kong,2030,0.23,Target reached
Hungary,2015,0.45,Target reached
Hungary,2016,0.44,Target reached
Hungary,2017,0.43,Target reached
Hungary,2018,0.41,Target reached
Hungary,2019,0.40,Target reached
Hungary,2020,0.39,Target reached
Hungary,2021,0.39,Target reached
Hungary,2022,0.38,Target reached
Hungary,2023,0.37,Target reached
Hungary,2024,0.37,Target reached
Hungary,2025,0.36,Target reached
Hungary,2026,0.36,Target reached
Hungary,2027,0.35,Target reached
Hungary,2028,0.35,Target reached
Hungary,2029,0.34,Target reached
Hungary,2030,0.34,Target reached
Iceland,2015,0.22,Target reached
Iceland,2016,0.22,Target reached
Iceland,2017,0.22,Target reached
Iceland,2018,0.22,Target reached
Iceland,2019,0.22,Target reached
Iceland,2020,0.22,Target reached
Iceland,2021,0.22,Target reached
Iceland,2022,0.21,Target reached
Iceland,2023,0.21,Target reached
Iceland,2024,0.21,Target reached
Iceland,2025,0.21,Target reached
Iceland,2026,0.21,Target reached
Iceland,2027,0.21,Target reached
Iceland,2028,0.21,Target reached
Iceland,2029,0.21,Target reached
Iceland,2030,0.21,Target reached
India,2015,12.17,On-track
India,2016,9.60,On-track
India,2017,7.25,On-track
India,2018,5.19,On-track
India,2019,3.57,On-track
India,2020,2.39,Target reached
India,2021,1.57,Target reached
India,2022,1.04,Target reached
India,2023,0.76,Target reached
India,2024,0.57,Target reached
India,2025,0.43,Target reached
India,2026,0.34,Target reached
India,2027,0.27,Target reached
India,2028,0.22,Target reached
India,2029,0.18,Target reached
India,2030,0.16,Target reached
Indonesia,2015,9.14,On-track
Indonesia,2016,7.69,On-track
Indonesia,2017,6.27,On-track
Indonesia,2018,4.84,On-track
Indonesia,2019,3.42,On-track
Indonesia,2020,2.27,Target reached
Indonesia,2021,1.21,Target reached
Indonesia,2022,0.42,Target reached
Indonesia,2023,0.26,Target reached
Indonesia,2024,0.16,Target reached
Indonesia,2025,0.10,Target reached
Indonesia,2026,0.07,Target reached
Indonesia,2027,0.05,Target reached
Indonesia,2028,0.03,Target reached
Indonesia,2029,0.02,Target reached
Indonesia,2030,0.02,Target reached
Iran,2015,0.02,Target reached
Iran,2016,0.02,Target reached
Iran,2017,0.02,Target reached
Iran,2018,0.02,Target reached
Iran,2019,0.01,Target reached
Iran,2020,0.01,Target reached
Iran,2021,0.01,Target reached
Iran,2022,0.01,Target reached
Iran,2023,0.01,Target reached
Iran,2024,0.02,Target reached
Iran,2025,0.02,Target reached
Iran,2026,0.02,Target reached
Iran,2027,0.02,Target reached
Iran,2028,0.02,Target reached
Iran,2029,0.01,Target reached
Iran,2030,0.01,Target reached
Iraq,2015,1.34,Target reached
Iraq,2016,0.90,Target reached
Iraq,2017,1.30,Target reached
Iraq,2018,1.31,Target reached
Iraq,2019,1.45,Target reached
Iraq,2020,1.57,Target reached
Iraq,2021,1.67,Target reached
Iraq,2022,1.78,Target reached
Iraq,2023,1.59,Target reached
Iraq,2024,1.42,Target reached
Iraq,2025,1.26,Target reached
Iraq,2026,1.15,Target reached
Iraq,2027,1.04,Target reached
Iraq,2028,0.95,Target reached
Iraq,2029,0.86,Target reached
Iraq,2030,0.79,Target reached
Ireland,2015,0.23,Target reached
Ireland,2016,0.23,Target reached
Ireland,2017,0.23,Target reached
Ireland,2018,0.22,Target reached
Ireland,2019,0.22,Target reached
Ireland,2020,0.21,Target reached
Ireland,2021,0.21,Target reached
Ireland,2022,0.21,Target reached
Ireland,2023,0.21,Target reached
Ireland,2024,0.21,Target reached
Ireland,2025,0.20,Target reached
Ireland,2026,0.20,Target reached
Ireland,2027,0.20,Target reached
Ireland,2028,0.20,Target reached
Ireland,2029,0.19,Target reached
Ireland,2030,0.19,Target reached
Israel,2015,0.38,Target reached
Israel,2016,0.37,Target reached
Israel,2017,0.36,Target reached
Israel,2018,0.35,Target reached
Israel,2019,0.35,Target reached
Israel,2020,0.34,Target reached
Israel,2021,0.33,Target reached
Israel,2022,0.32,Target reached
Israel,2023,0.32,Target reached
Israel,2024,0.31,Target reached
Israel,2025,0.31,Target reached
Israel,2026,0.31,Target reached
Israel,2027,0.30,Target reached
Israel,2028,0.30,Target reached
Israel,2029,0.29,Target reached
Israel,2030,0.29,Target reached
Italy,2015,1.06,Target reached
Italy,2016,1.05,Target reached
Italy,2017,1.05,Target reached
Italy,2018,1.05,Target reached
Italy,2019,1.05,Target reached
Italy,2020,1.04,Target reached
Italy,2021,1.04,Target reached
Italy,2022,1.04,Target reached
Italy,2023,1.04,Target reached
Italy,2024,1.05,Target reached
Italy,2025,1.05,Target reached
Italy,2026,1.05,Target reached
Italy,2027,1.06,Target reached
Italy,2028,1.06,Target reached
Italy,2029,1.06,Target reached
Italy,2030,1.07,Target reached
Jamaica,2015,1.08,Target reached
Jamaica,2016,0.90,Target reached
Jamaica,2017,0.68,Target reached
Jamaica,2018,0.44,Target reached
Jamaica,2019,0.23,Target reached
Jamaica,2020,0.09,Target reached
Jamaica,2021,0.03,Target reached
Jamaica,2022,0.01,Target reached
Jamaica,2023,0.01,Target reached
Jamaica,2024,0.00,Target reached
Jamaica,2025,0.00,Target reached
Jamaica,2026,0.00,Target reached
Jamaica,2027,0.00,Target reached
Jamaica,2028,0.00,Target reached
Jamaica,2029,0.00,Target reached
Jamaica,2030,0.00,Target reached
Japan,2015,0.52,Target reached
Japan,2016,0.52,Target reached
Japan,2017,0.51,Target reached
Japan,2018,0.51,Target reached
Japan,2019,0.51,Target reached
Japan,2020,0.51,Target reached
Japan,2021,0.51,Target reached
Japan,2022,0.51,Target reached
Japan,2023,0.50,Target reached
Japan,2024,0.50,Target reached
Japan,2025,0.49,Target reached
Japan,2026,0.49,Target reached
Japan,2027,0.49,Target reached
Japan,2028,0.49,Target reached
Japan,2029,0.49,Target reached
Japan,2030,0.48,Target reached
Jordan,2015,0.03,Target reached
Jordan,2016,0.03,Target reached
Jordan,2017,0.03,Target reached
Jordan,2018,0.03,Target reached
Jordan,2019,0.03,Target reached
Jordan,2020,0.02,Target reached
Jordan,2021,0.02,Target reached
Jordan,2022,0.02,Target reached
Jordan,2023,0.02,Target reached
Jordan,2024,0.02,Target reached
Jordan,2025,0.02,Target reached
Jordan,2026,0.02,Target reached
Jordan,2027,0.02,Target reached
Jordan,2028,0.02,Target reached
Jordan,2029,0.02,Target reached
Jordan,2030,0.02,Target reached
Kazakhstan,2015,0.02,Target reached
Kazakhstan,2016,0.02,Target reached
Kazakhstan,2017,0.02,Target reached
Kazakhstan,2018,0.02,Target reached
Kazakhstan,2019,0.02,Target reached
Kazakhstan,2020,0.02,Target reached
Kazakhstan,2021,0.02,Target reached
Kazakhstan,2022,0.01,Target reached
Kazakhstan,2023,0.01,Target reached
Kazakhstan,2024,0.01,Target reached
Kazakhstan,2025,0.01,Target reached
Kazakhstan,2026,0.01,Target reached
Kazakhstan,2027,0.02,Target reached
Kazakhstan,2028,0.02,Target reached
Kazakhstan,2029,0.01,Target reached
Kazakhstan,2030,0.01,Target reached
Kenya,2015,24.49,Off-track
Kenya,2016,23.27,Off-track
Kenya,2017,22.32,Off-track
Kenya,2018,21.21,Off-track
Kenya,2019,19.98,Off-track
Kenya,2020,18.66,Off-track
Kenya,2021,17.39,Off-track
Kenya,2022,16.15,Off-track
Kenya,2023,14.84,Off-track
Kenya,2024,13.60,Off-track
Kenya,2025,12.43,Off-track
Kenya,2026,11.31,Off-track
Kenya,2027,10.27,Off-track
Kenya,2028,9.29,Off-track
Kenya,2029,8.38,Off-track
Kenya,2030,7.54,Off-track
Kiribati,2015,15.58,Off-track
Kiribati,2016,15.11,Off-track
Kiribati,2017,14.78,Off-track
Kiribati,2018,14.69,Off-track
Kiribati,2019,14.75,Off-track
Kiribati,2020,14.74,Off-track
Kiribati,2021,14.69,Off-track
Kiribati,2022,14.65,Off-track
Kiribati,2023,14.31,Off-track
Kiribati,2024,13.96,Off-track
Kiribati,2025,13.60,Off-track
Kiribati,2026,13.24,Off-track
Kiribati,2027,12.87,Off-track
Kiribati,2028,12.50,Off-track
Kiribati,2029,12.13,Off-track
Kiribati,2030,11.75,Off-track
Kuwait,2015,0.02,Target reached
Kuwait,2016,0.02,Target reached
Kuwait,2017,0.02,Target reached
Kuwait,2018,0.02,Target reached
Kuwait,2019,0.02,Target reached
Kuwait,2020,0.02,Target reached
Kuwait,2021,0.02,Target reached
Kuwait,2022,0.02,Target reached
Kuwait,2023,0.02,Target reached
Kuwait,2024,0.02,Target reached
Kuwait,2025,0.02,Target reached
Kuwait,2026,0.02,Target reached
Kuwait,2027,0.02,Target reached
Kuwait,2028,0.02,Target reached
Kuwait,2029,0.01,Target reached
Kuwait,2030,0.01,Target reached
Kyrgyzstan,2015,1.01,Target reached
Kyrgyzstan,2016,0.87,Target reached
Kyrgyzstan,2017,0.77,Target reached
Kyrgyzstan,2018,0.67,Target reached
Kyrgyzstan,2019,0.53,Target reached
Kyrgyzstan,2020,0.43,Target reached
Kyrgyzstan,2021,0.36,Target reached
Kyrgyzstan,2022,0.28,Target reached
Kyrgyzstan,2023,0.22,Target reached
Kyrgyzstan,2024,0.18,Target reached
Kyrgyzstan,2025,0.14,Target reached
Kyrgyzstan,2026,0.12,Target reached
Kyrgyzstan,2027,0.10,Target reached
Kyrgyzstan,2028,0.09,Target reached
Kyrgyzstan,2029,0.07,Target reached
Kyrgyzstan,2030,0.07,Target reached
Laos,2015,22.53,On-track
Laos,2016,19.96,On-track
Laos,2017,17.57,On-track
Laos,2018,15.31,On-track
Laos,2019,13.06,On-track
Laos,2020,10.97,On-track
Laos,2021,8.99,On-track
Laos,2022,7.27,On-track
Laos,2023,5.92,On-track
Laos,2024,4.74,On-track
Laos,2025,3.71,On-track
Laos,2026,2.89,Target reached
Laos,2027,2.22,Target reached
Laos,2028,1.67,Target reached
Laos,2029,1.25,Target reached
Laos,2030,0.92,Target reached
Latvia,2015,0.93,Target reached
Latvia,2016,0.91,Target reached
Latvia,2017,0.88,Target reached
Latvia,2018,0.85,Target reached
Latvia,2019,0.82,Target reached
Latvia,2020,0.80,Target reached
Latvia,2021,0.77,Target reached
Latvia,2022,0.74,Target reached
Latvia,2023,0.73,Target reached
Latvia,2024,0.72,Target reached
Latvia,2025,0.71,Target reached
Latvia,2026,0.70,Target reached
Latvia,2027,0.69,Target reached
Latvia,2028,0.68,Target reached
Latvia,2029,0.67,Target reached
Latvia,2030,0.66,Target reached
Lebanon,2015,4.08,On-track
Lebanon,2016,4.03,On-track
Lebanon,2017,3.86,On-track
Lebanon,2018,3.61,On-track
Lebanon,2019,3.32,On-track
Lebanon,2020,3.05,On-track
Lebanon,2021,2.79,Target reached
Lebanon,2022,2.54,Target reached
Lebanon,2023,2.48,Target reached
Lebanon,2024,2.41,Target reached
Lebanon,2025,2.35,Target reached
Lebanon,2026,2.28,Target reached
Lebanon,2027,2.21,Target reached
Lebanon,2028,2.13,Target reached
Lebanon,2029,2.06,Target reached
Lebanon,2030,1.98,Target reached
Lesotho,2015,53.47,Off-track
Lesotho,2016,52.79,Off-track
Lesotho,2017,52.32,Off-track
Lesotho,2018,51.78,Off-track
Lesotho,2019,50.84,Off-track
Lesotho,2020,49.80,Off-track
Lesotho,2021,48.64,Off-track
Lesotho,2022,47.51,Off-track
Lesotho,2023,46.38,Off-track
Lesotho,2024,45.28,Off-track
Lesotho,2025,44.21,Off-track
Lesotho,2026,42.92,Off-track
Lesotho,2027,41.66,Off-track
Lesotho,2028,40.43,Off-track
Lesotho,2029,39.24,Off-track
Lesotho,2030,38.07,Off-track
Liberia,2015,71.26,Poverty rising
Liberia,2016,73.24,Poverty rising
Liberia,2017,72.93,Poverty rising
Liberia,2018,71.35,Off-track
Liberia,2019,69.53,Off-track
Liberia,2020,67.48,Off-track
Liberia,2021,65.05,Off-track
Liberia,2022,62.40,Off-track
Liberia,2023,61.57,Off-track
Liberia,2024,60.74,Off-track
Liberia,2025,59.90,Off-track
Liberia,2026,58.87,Off-track
Liberia,2027,57.83,Off-track
Liberia,2028,56.81,Off-track
Liberia,2029,55.78,Off-track
Liberia,2030,54.77,Off-track
Libya,2015,14.85,Poverty rising
Libya,2016,15.78,Poverty rising
Libya,2017,7.91,Off-track
Libya,2018,7.56,Off-track
Libya,2019,7.24,Off-track
Libya,2020,6.92,Off-track
Libya,2021,6.59,Off-track
Libya,2022,6.26,Off-track
Libya,2023,6.79,Off-track
