Entity,Year,Number of direct national elections
Mauritania,1976,2
Mauritania,1992,3
Mauritania,1996,2
Mauritania,1997,1
Mauritania,2001,2
Mauritania,2003,1
Mauritania,2006,2
Mauritania,2007,2
Mauritania,2009,1
Mauritius,1976,1
Mauritius,1982,1
Mauritius,1983,1
Mauritius,1987,1
Mauritius,1991,1
Mauritius,1995,1
Mauritius,2000,1
Mauritius,2005,1
Mauritius,2010,1
Mexico,1946,2
Mexico,1949,1
Mexico,1952,2
Mexico,1955,1
Mexico,1958,2
Mexico,1961,1
Mexico,1964,2
Mexico,1967,1
Mexico,1970,2
Mexico,1973,1
Mexico,1976,2
Mexico,1979,1
Mexico,1982,2
Mexico,1985,1
Mexico,1988,2
Mexico,1991,1
Mexico,1994,2
Mexico,1997,1
Mexico,2000,2
Mexico,2003,1
Mexico,2006,2
Mexico,2009,1
Mexico,2012,2
Moldova,1991,1
Moldova,1994,1
Moldova,1996,2
Moldova,1998,1
Moldova,2001,1
Moldova,2005,1
Moldova,2009,2
Moldova,2010,1
Mongolia,1951,1
Mongolia,1954,1
Mongolia,1957,1
Mongolia,1960,1
Mongolia,1963,1
Mongolia,1966,1
Mongolia,1969,1
Mongolia,1973,1
Mongolia,1977,1
Mongolia,1981,1
Mongolia,1986,1
Mongolia,1990,1
Mongolia,1992,1
Mongolia,1993,1
Mongolia,1996,1
Mongolia,1997,1
Mongolia,2000,1
Mongolia,2001,1
Mongolia,2004,1
Mongolia,2005,1
Mongolia,2008,1
Mongolia,2009,1
Mongolia,2012,1
Montenegro,2008,1
Montenegro,2009,1
Montenegro,2012,1
Morocco,1963,1
Morocco,1970,2
Morocco,1977,1
Morocco,1984,1
Morocco,1993,1
Morocco,1997,1
Morocco,2002,1
Morocco,2007,1
Morocco,2011,1
Mozambique,1977,1
Mozambique,1986,1
Mozambique,1994,2
Mozambique,1999,2
Mozambique,2004,2
Mozambique,2009,2
Myanmar,1951,1
Myanmar,1956,1
Myanmar,1960,2
Myanmar,1974,1
Myanmar,1978,1
Myanmar,1981,1
Myanmar,1985,1
Myanmar,1990,1
Myanmar,2010,1
Namibia,1994,2
Namibia,1999,2
Namibia,2004,2
Namibia,2009,2
Nepal,1959,1
Nepal,1981,1
Nepal,1986,1
Nepal,1991,1
Nepal,1994,1
Nepal,1999,1
Nepal,2008,1
Netherlands,1946,1
Netherlands,1948,1
Netherlands,1952,1
Netherlands,1956,1
Netherlands,1959,1
Netherlands,1963,1
Netherlands,1967,1
Netherlands,1971,1
Netherlands,1972,1
Netherlands,1977,1
Netherlands,1981,1
Netherlands,1982,1
Netherlands,1986,1
Netherlands,1989,1
Netherlands,1994,1
Netherlands,1998,1
Netherlands,2002,1
Netherlands,2003,1
Netherlands,2006,1
Netherlands,2010,1
Netherlands,2012,1
New Zealand,1946,1
New Zealand,1949,1
New Zealand,1951,1
New Zealand,1954,1
New Zealand,1957,1
New Zealand,1960,1
New Zealand,1963,1
New Zealand,1966,1
New Zealand,1969,1
New Zealand,1972,1
New Zealand,1975,1
New Zealand,1978,1
New Zealand,1981,1
New Zealand,1984,1
New Zealand,1987,1
New Zealand,1990,1
New Zealand,1993,1
New Zealand,1996,1
New Zealand,1999,1
New Zealand,2002,1
New Zealand,2005,1
New Zealand,2008,1
New Zealand,2011,1
Nicaragua,1947,3
Nicaragua,1950,2
Nicaragua,1957,2
Nicaragua,1963,2
Nicaragua,1967,2
Nicaragua,1972,1
Nicaragua,1974,2
Nicaragua,1984,2
Nicaragua,1990,2
Nicaragua,1996,2
Nicaragua,2001,2
Nicaragua,2006,2
Nicaragua,2011,2
Niger,1965,2
Niger,1970,2
Niger,1989,2
Niger,1993,3
Niger,1995,1
Niger,1996,2
Niger,1999,3
Niger,2004,3
Niger,2009,1
Niger,2011,3
Nigeria,1964,1
Nigeria,1979,3
Nigeria,1983,3
Nigeria,1992,1
Nigeria,1993,1
Nigeria,1998,1
Nigeria,1999,2
Nigeria,2003,2
Nigeria,2007,2
Nigeria,2011,2
North Korea,1957,1
North Korea,1962,1
North Korea,1967,1
North Korea,1972,1
North Korea,1977,1
North Korea,1982,1
North Korea,1986,1
North Korea,1990,1
North Korea,1998,1
North Korea,2003,1
North Korea,2009,1
Norway,1945,1
Norway,1949,1
Norway,1953,1
Norway,1957,1
Norway,1961,1
Norway,1965,1
Norway,1969,1
Norway,1973,1
Norway,1977,1
Norway,1981,1
Norway,1985,1
Norway,1989,1
Norway,1993,1
Norway,1997,1
Norway,2001,1
Norway,2005,1
Norway,2009,1
Oman,2003,1
Oman,2007,1
Oman,2011,1
Pakistan,1970,1
Pakistan,1977,1
Pakistan,1985,1
Pakistan,1988,1
Pakistan,1990,1
Pakistan,1993,1
Pakistan,1997,1
Pakistan,2002,1
Pakistan,2008,1
Panama,1945,1
Panama,1948,2
Panama,1952,2
Panama,1956,2
Panama,1960,2
Panama,1964,2
Panama,1968,2
Panama,1972,1
Panama,1978,1
Panama,1980,1
Panama,1984,2
Panama,1989,2
Panama,1991,1
Panama,1994,2
Panama,1999,2
Panama,2004,2
Panama,2009,2
Papua New Guinea,1977,1
Papua New Guinea,1982,1
Papua New Guinea,1987,1
Papua New Guinea,1992,1
Papua New Guinea,1997,1
Papua New Guinea,2002,1
Papua New Guinea,2007,1
Papua New Guinea,2012,1
Paraguay,1948,2
Paraguay,1949,2
Paraguay,1950,2
Paraguay,1953,2
Paraguay,1954,1
Paraguay,1958,2
Paraguay,1960,1
Paraguay,1963,2
Paraguay,1967,1
Paraguay,1968,2
Paraguay,1973,2
Paraguay,1977,1
Paraguay,1978,2
Paraguay,1983,2
Paraguay,1988,2
Paraguay,1989,2
Paraguay,1991,1
Paraguay,1993,2
Paraguay,1998,2
Paraguay,2000,1
Paraguay,2003,2
Paraguay,2008,2
Peru,1945,2
Peru,1950,2
Peru,1956,2
Peru,1962,2
Peru,1963,2
Peru,1978,1
Peru,1980,2
Peru,1985,2
Peru,1990,3
Peru,1992,1
Peru,1995,2
Peru,2000,3
Peru,2001,3
Peru,2006,3
Peru,2011,4
Philippines,1947,1
Philippines,1949,2
Philippines,1951,1
Philippines,1953,2
Philippines,1955,1
Philippines,1957,2
Philippines,1959,1
Philippines,1961,2
Philippines,1963,1
Philippines,1965,2
Philippines,1967,1
Philippines,1969,2
Philippines,1970,1
Philippines,1971,1
Philippines,1973,1
Philippines,1977,1
Philippines,1978,1
Philippines,1981,1
Philippines,1984,1
Philippines,1986,1
Philippines,1987,1
Philippines,1992,2
Philippines,1995,1
Philippines,1998,2
Philippines,2001,1
Philippines,2004,2
Philippines,2007,1
Philippines,2010,2
Poland,1947,1
Poland,1952,1
Poland,1957,1
Poland,1961,1
Poland,1965,1
Poland,1969,1
Poland,1972,1
Poland,1976,1
Poland,1985,1
Poland,1989,2
Poland,1990,2
Poland,1991,1
Poland,1993,1
Poland,1995,2
Poland,1997,1
Poland,2000,1
Poland,2001,1
Poland,2005,3
Poland,2007,1
Poland,2010,2
Poland,2011,1
Portugal,1945,1
Portugal,1949,2
Portugal,1951,1
Portugal,1953,1
Portugal,1957,1
Portugal,1958,1
Portugal,1961,1
Portugal,1965,1
Portugal,1969,1
Portugal,1973,1
Portugal,1975,1
Portugal,1976,2
Portugal,1979,1
Portugal,1980,2
Portugal,1983,1
Portugal,1985,1
Portugal,1986,2
Portugal,1987,1
Portugal,1991,2
Portugal,1995,1
Portugal,1996,1
Portugal,1999,1
Portugal,2001,1
Portugal,2002,1
Portugal,2005,1
Portugal,2006,1
Portugal,2009,1
Portugal,2011,2
Republic of Vietnam,1955,1
Republic of Vietnam,1956,1
Republic of Vietnam,1959,1
Republic of Vietnam,1961,1
Republic of Vietnam,1963,1
Republic of Vietnam,1966,1
Republic of Vietnam,1967,3
Republic of Vietnam,1970,1
Republic of Vietnam,1971,2
Republic of Vietnam,1973,1
Romania,1946,1
Romania,1948,1
Romania,1952,1
Romania,1957,1
Romania,1961,1
Romania,1965,1
Romania,1969,1
Romania,1975,1
Romania,1980,1
Romania,1985,1
Romania,1990,2
Romania,1992,3
Romania,1996,3
Romania,2000,3
Romania,2004,3
Romania,2007,1
Romania,2008,1
Romania,2009,2
Romania,2012,2
Russia,1946,1
Russia,1950,1
Russia,1954,1
Russia,1958,1
Russia,1970,1
Russia,1974,1
Russia,1979,1
Russia,1984,1
Russia,1989,1
Russia,1990,1
Russia,1991,1
Russia,1993,1
Russia,1995,1
Russia,1996,2
Russia,1999,1
Russia,2000,1
Russia,2003,1
Russia,2004,1
Russia,2007,1
Russia,2008,1
Russia,2011,1
Russia,2012,1
Rwanda,1965,2
Rwanda,1969,2
Rwanda,1978,1
Rwanda,1981,1
Rwanda,1983,2
Rwanda,1988,2
Rwanda,2003,2
Rwanda,2008,1
Rwanda,2010,1
Senegal,1963,2
Senegal,1968,2
Senegal,1973,2
Senegal,1978,2
Senegal,1983,2
Senegal,1988,2
Senegal,1993,2
Senegal,1998,1
Senegal,2000,2
Senegal,2001,1
Senegal,2007,2
Senegal,2012,3
Serbia,1945,1
Serbia,1950,1
Serbia,1953,1
Serbia,1958,1
Serbia,1992,3
Serbia,1996,1
Serbia,2000,2
Serbia,2002,3
Serbia,2003,2
Serbia,2004,2
Serbia,2007,1
Serbia,2008,3
Serbia,2012,3
Sierra Leone,1962,1
Sierra Leone,1967,1
Sierra Leone,1973,1
Sierra Leone,1977,1
Sierra Leone,1982,1
Sierra Leone,1985,1
Sierra Leone,1986,1
Sierra Leone,1996,3
Sierra Leone,2002,2
Sierra Leone,2007,3
Sierra Leone,2012,2
Singapore,1968,1
Singapore,1972,1
Singapore,1976,1
Singapore,1980,1
Singapore,1984,1
Singapore,1988,1
Singapore,1991,1
Singapore,1993,1
Singapore,1997,1
Singapore,2001,1
Singapore,2006,1
Singapore,2011,2
Slovakia,1994,1
Slovakia,1999,2
Slovakia,2002,1
Slovakia,2004,2
Slovakia,2006,1
Slovakia,2009,2
Slovakia,2010,1
Slovakia,2012,1
Slovenia,1992,2
Slovenia,1996,1
Slovenia,1997,1
Slovenia,2000,1
Slovenia,2002,2
Slovenia,2004,1
Slovenia,2007,2
Slovenia,2008,1
Slovenia,2011,1
Slovenia,2012,2
Solomon Islands,2010,1
Somalia,1964,1
Somalia,1969,1
Somalia,1979,1
Somalia,1985,1
Somalia,1986,1
South Africa,1948,1
South Africa,1953,1
South Africa,1958,1
South Africa,1961,1
South Africa,1966,1
South Africa,1969,1
South Africa,1970,1
South Africa,1974,1
South Africa,1975,1
South Africa,1977,1
South Africa,1981,1
South Africa,1984,1
South Africa,1987,1
South Africa,1989,1
South Africa,1994,1
South Africa,1999,1
South Africa,2004,1
South Africa,2009,1
South Korea,1950,1
South Korea,1952,1
South Korea,1954,1
South Korea,1956,1
South Korea,1958,1
South Korea,1960,2
South Korea,1963,2
South Korea,1967,2
South Korea,1971,2
South Korea,1973,1
South Korea,1978,1
South Korea,1981,2
South Korea,1985,1
South Korea,1987,1
South Korea,1988,1
South Korea,1992,2
South Korea,1996,1
South Korea,1997,1
South Korea,2000,1
South Korea,2002,1
South Korea,2004,1
South Korea,2007,1
South Korea,2008,1
South Korea,2012,2
South Yemen,1978,1
South Yemen,1986,1
Spain,1977,1
Spain,1979,1
Spain,1982,1
Spain,1986,1
Spain,1989,1
Spain,1993,1
Spain,1996,1
Spain,2000,1
Spain,2004,1
Spain,2008,1
Spain,2011,1
Sri Lanka,1952,1
Sri Lanka,1956,1
Sri Lanka,1960,2
Sri Lanka,1965,1
Sri Lanka,1970,1
Sri Lanka,1977,1
Sri Lanka,1982,1
Sri Lanka,1988,1
Sri Lanka,1989,1
Sri Lanka,1994,2
Sri Lanka,1999,1
Sri Lanka,2000,1
Sri Lanka,2001,1
Sri Lanka,2004,1
Sri Lanka,2005,1
Sri Lanka,2010,3
Sudan,1958,2
Sudan,1965,1
Sudan,1967,1
Sudan,1968,1
Sudan,1971,1
Sudan,1972,1
Sudan,1974,1
Sudan,1977,1
Sudan,1978,1
Sudan,1981,1
Sudan,1983,1
Sudan,1986,1
Sudan,1996,2
Sudan,2000,2
Sudan,2010,2
Suriname,2010,1
Swaziland,1972,1
Swaziland,1993,2
Swaziland,1998,1
Swaziland,2003,1
Swaziland,2008,1
Sweden,1948,1
Sweden,1952,1
Sweden,1956,1
Sweden,1958,1
Sweden,1960,1
Sweden,1964,1
Sweden,1968,1
Sweden,1970,1
Sweden,1973,1
Sweden,1976,1
Sweden,1979,1
Sweden,1982,1
Sweden,1985,1
Sweden,1988,1
Sweden,1991,1
Sweden,1994,1
Sweden,1998,1
Sweden,2002,1
Sweden,2006,1
Sweden,2010,1
Switzerland,1947,1
Switzerland,1951,1
Switzerland,1955,1
Switzerland,1959,1
Switzerland,1963,1
Switzerland,1967,1
Switzerland,1971,1
Switzerland,1975,1
Switzerland,1979,1
Switzerland,1983,1
Switzerland,1987,1
Switzerland,1991,1
Switzerland,1995,1
Switzerland,1999,1
Switzerland,2003,1
Switzerland,2007,1
Switzerland,2011,1
Syria,1947,2
Syria,1949,3
Syria,1953,2
Syria,1954,2
Syria,1961,1
Syria,1971,1
Syria,1973,1
Syria,1977,1
Syria,1978,1
Syria,1981,1
Syria,1985,1
Syria,1986,1
Syria,1990,1
Syria,1991,1
Syria,1994,1
Syria,1998,1
Syria,1999,1
Syria,2000,1
Syria,2003,1
Syria,2007,2
Syria,2012,1
Taiwan,1983,1
Taiwan,1986,1
Taiwan,1989,1
Taiwan,1991,1
Taiwan,1992,1
Taiwan,1995,1
Taiwan,1996,2
Taiwan,1998,1
Taiwan,2000,1
Taiwan,2001,1
Taiwan,2004,2
Taiwan,2005,1
Taiwan,2008,2
Taiwan,2012,2
Tajikistan,1991,1
Tajikistan,1994,1
Tajikistan,1995,2
Tajikistan,1999,1
Tajikistan,2000,2
Tajikistan,2005,2
Tajikistan,2006,1
Tajikistan,2010,1
Tanzania,1962,1
Tanzania,1965,2
Tanzania,1970,2
Tanzania,1975,2
Tanzania,1980,2
Tanzania,1985,2
Tanzania,1990,2
Tanzania,1995,2
Tanzania,2000,3
Tanzania,2005,2
Tanzania,2010,2
Thailand,1946,2
Thailand,1948,1
Thailand,1949,1
Thailand,1952,1
Thailand,1957,2
Thailand,1969,1
Thailand,1975,1
Thailand,1976,1
Thailand,1979,1
Thailand,1983,1
Thailand,1986,1
Thailand,1988,1
Thailand,1992,2
Thailand,1995,1
Thailand,1996,1
Thailand,2000,2
Thailand,2001,2
Thailand,2005,1
Thailand,2006,2
Thailand,2007,1
Thailand,2008,1
Thailand,2011,1
Timor,2007,3
Timor,2012,3
Togo,1961,2
Togo,1963,2
Togo,1979,2
Togo,1985,1
Togo,1986,1
Togo,1990,2
Togo,1993,1
Togo,1994,2
Togo,1998,1
Togo,1999,1
Togo,2002,1
Togo,2003,1
Togo,2005,1
Togo,2007,1
Togo,2010,1
Trinidad and Tobago,1966,1
Trinidad and Tobago,1971,1
Trinidad and Tobago,1976,1
Trinidad and Tobago,1981,1
Trinidad and Tobago,1986,1
Trinidad and Tobago,1991,1
Trinidad and Tobago,1995,1
Trinidad and Tobago,2000,1
Trinidad and Tobago,2001,1
Trinidad and Tobago,2002,1
Trinidad and Tobago,2007,1
Trinidad and Tobago,2010,1
Tunisia,1956,1
Tunisia,1959,2
Tunisia,1964,2
Tunisia,1969,2
Tunisia,1974,2
Tunisia,1979,1
Tunisia,1981,1
Tunisia,1986,1
Tunisia,1989,2
Tunisia,1994,2
Tunisia,1999,2
Tunisia,2004,2
Tunisia,2009,2
Tunisia,2011,1
Turkey,1946,1
Turkey,1950,1
Turkey,1954,1
Turkey,1957,1
Turkey,1961,1
Turkey,1964,1
Turkey,1965,1
Turkey,1966,1
Turkey,1968,1
Turkey,1969,1
Turkey,1973,1
Turkey,1975,1
Turkey,1977,1
Turkey,1979,1
Turkey,1982,1
Turkey,1983,1
Turkey,1987,1
Turkey,1991,1
Turkey,1995,1
Turkey,1999,1
Turkey,2002,1
Turkey,2007,1
Turkey,2011,1
Turkmenistan,1992,1
Turkmenistan,1994,1
Turkmenistan,1998,1
Turkmenistan,1999,1
Turkmenistan,2003,1
Turkmenistan,2004,1
Turkmenistan,2007,1
Turkmenistan,2008,1
Turkmenistan,2012,1
Uganda,1980,1
Uganda,1994,1
Uganda,1996,2
Uganda,2001,2
Uganda,2006,2
Uganda,2011,2
Ukraine,1991,1
Ukraine,1994,5
Ukraine,1998,1
Ukraine,1999,2
Ukraine,2002,1
Ukraine,2004,3
Ukraine,2006,1
Ukraine,2007,1
Ukraine,2010,2
Ukraine,2012,1
United Kingdom,1945,1
United Kingdom,1950,1
United Kingdom,1951,1
United Kingdom,1955,1
United Kingdom,1959,1
United Kingdom,1964,1
United Kingdom,1966,1
United Kingdom,1970,1
United Kingdom,1974,2
United Kingdom,1979,1
United Kingdom,1983,1
United Kingdom,1987,1
United Kingdom,1992,1
United Kingdom,1997,1
United Kingdom,2001,1
United Kingdom,2005,1
United Kingdom,2010,1
United States,1946,1
United States,1948,2
United States,1950,1
United States,1952,2
United States,1954,1
United States,1956,2
United States,1958,1
United States,1960,2
United States,1962,1
United States,1964,2
United States,1966,1
United States,1968,2
United States,1970,1
United States,1972,2
United States,1974,1
United States,1976,2
United States,1978,1
United States,1980,2
United States,1982,1
United States,1984,2
United States,1986,1
United States,1988,2
United States,1990,1
United States,1992,2
United States,1994,1
United States,1996,2
United States,1998,1
United States,2000,2
United States,2002,1
United States,2004,2
United States,2006,1
United States,2008,2
United States,2010,1
United States,2012,2
Uruguay,1946,2
Uruguay,1950,2
Uruguay,1954,2
Uruguay,1958,2
Uruguay,1962,2
Uruguay,1966,2
Uruguay,1971,2
Uruguay,1984,2
Uruguay,1989,2
Uruguay,1994,2
Uruguay,1999,3
Uruguay,2004,2
Uruguay,2009,3
Uzbekistan,1991,1
Uzbekistan,1994,1
Uzbekistan,1995,1
Uzbekistan,1999,2
Uzbekistan,2000,1
Uzbekistan,2004,1
Uzbekistan,2005,1
Uzbekistan,2007,1
Uzbekistan,2009,1
Venezuela,1946,1
Venezuela,1947,2
Venezuela,1952,1
Venezuela,1957,1
Venezuela,1958,2
Venezuela,1963,2
Venezuela,1968,2
Venezuela,1973,2
Venezuela,1978,2
Venezuela,1983,2
Venezuela,1988,2
Venezuela,1993,2
Venezuela,1998,2
Venezuela,1999,1
Venezuela,2000,2
Venezuela,2004,1
Venezuela,2005,1
Venezuela,2006,1
Venezuela,2010,1
Venezuela,2012,1
Vietnam,1960,1
Vietnam,1964,1
Vietnam,1971,1
Vietnam,1975,1
Vietnam,1976,1
Vietnam,1981,1
Vietnam,1987,2
Vietnam,1992,1
Vietnam,1997,1
Vietnam,2002,1
Vietnam,2007,1
Vietnam,2011,1
World,1945,22
World,1946,32
World,1947,24
World,1948,27
World,1949,27
World,1950,35
World,1951,26
World,1952,24
World,1953,28
World,1954,30
World,1955,18
World,1956,28
World,1957,35
World,1958,47
World,1959,16
World,1960,37
World,1961,33
World,1962,32
World,1963,38
World,1964,37
World,1965,44
World,1966,33
World,1967,33
World,1968,36
World,1969,36
World,1970,45
World,1971,34
World,1972,29
World,1973,39
World,1974,37
World,1975,24
World,1976,29
World,1977,35
World,1978,47
World,1979,45
World,1980,35
World,1981,38
World,1982,41
World,1983,38
World,1984,38
World,1985,42
World,1986,40
World,1987,39
World,1988,49
World,1989,47
World,1990,63
World,1991,43
World,1992,83
World,1993,67
World,1994,73
World,1995,65
World,1996,83
World,1997,57
World,1998,62
World,1999,72
World,2000,76
World,2001,54
World,2002,76
World,2003,46
World,2004,78
World,2005,62
World,2006,76
World,2007,74
World,2008,59
World,2009,67
World,2010,73
World,2011,76
World,2012,70
Yemen,1971,1
Yemen,1988,1
Yemen,1993,1
Yemen,1997,1
Yemen,1999,1
Yemen,2003,1
Yemen,2006,1
Yemen,2012,1
Zambia,1968,2
Zambia,1973,2
Zambia,1978,2
Zambia,1983,2
Zambia,1988,2
Zambia,1991,2
Zambia,1996,2
Zambia,2001,2
Zambia,2006,2
Zambia,2008,1
Zambia,2011,2
Zimbabwe,1970,1
Zimbabwe,1974,1
Zimbabwe,1977,1
Zimbabwe,1979,2
Zimbabwe,1980,2
Zimbabwe,1985,2
Zimbabwe,1990,2
Zimbabwe,1995,1
Zimbabwe,1996,1
Zimbabwe,2000,1
Zimbabwe,2002,1
Zimbabwe,2005,1
Zimbabwe,2008,3
