Entity,Year,"Air pollution death rates (from ozone) per 100,000- IHME"
Somalia,1995,0.113155113
Somalia,2000,0.098425789
Somalia,2005,0.090634876
Somalia,2010,0.092444776
Somalia,2015,0.091342429
South Africa,1990,1.170770611
South Africa,1995,1.25334418
South Africa,2000,1.430666907
South Africa,2005,1.219021033
South Africa,2010,1.117010834
South Africa,2015,1.281783443
South Korea,1990,0.811760674
South Korea,1995,0.709140022
South Korea,2000,0.768953669
South Korea,2005,0.894604
South Korea,2010,1.11037898
South Korea,2015,1.601866279
South Sudan,1990,0.918735168
South Sudan,1995,0.873364752
South Sudan,2000,0.763486969
South Sudan,2005,0.801759688
South Sudan,2010,0.900323084
South Sudan,2015,0.930329497
Spain,1990,3.568169632
Spain,1995,4.360832099
Spain,2000,4.954398537
Spain,2005,4.595596693
Spain,2010,3.8977847
Spain,2015,3.705762356
Sri Lanka,1990,0.174110892
Sri Lanka,1995,0.360804324
Sri Lanka,2000,0.489003196
Sri Lanka,2005,0.711134953
Sri Lanka,2010,0.711591201
Sri Lanka,2015,0.903366254
Sudan,1990,0.486752333
Sudan,1995,0.512953693
Sudan,2000,0.491462924
Sudan,2005,0.522746359
Sudan,2010,0.557545309
Sudan,2015,0.565406435
Suriname,1990,0.000950148
Suriname,1995,0.00113886
Suriname,2000,0.001420163
Suriname,2005,0.001848039
Suriname,2010,0.002172616
Suriname,2015,0.002665261
Swaziland,1990,0.749789751
Swaziland,1995,0.651457458
Swaziland,2000,0.831119542
Swaziland,2005,1.089471334
Swaziland,2010,1.112367863
Swaziland,2015,1.117593456
Sweden,1990,0.665782909
Sweden,1995,0.753324139
Sweden,2000,0.888084287
Sweden,2005,0.958407054
Sweden,2010,0.917528905
Sweden,2015,0.880117023
Switzerland,1990,2.249658246
Switzerland,1995,2.269572724
Switzerland,2000,2.235812644
Switzerland,2005,2.020148349
Switzerland,2010,1.903611701
Switzerland,2015,1.839004653
Syria,1990,0.507161576
Syria,1995,0.463659399
Syria,2000,0.440041913
Syria,2005,0.430454929
Syria,2010,0.356374221
Syria,2015,0.440193753
Taiwan,1990,0.571779265
Taiwan,1995,0.609802919
Taiwan,2000,0.671304815
Taiwan,2005,1.100493228
Taiwan,2010,2.006913928
Taiwan,2015,2.576698535
Tajikistan,1990,2.301778841
Tajikistan,1995,1.885566962
Tajikistan,2000,1.434078604
Tajikistan,2005,1.262305977
Tajikistan,2010,1.162613898
Tajikistan,2015,1.015156158
Tanzania,1990,0.179570247
Tanzania,1995,0.178498613
Tanzania,2000,0.170472504
Tanzania,2005,0.169917087
Tanzania,2010,0.182486929
Tanzania,2015,0.204937373
Thailand,1990,0.390376999
Thailand,1995,0.718050569
Thailand,2000,0.962943432
Thailand,2005,0.924118194
Thailand,2010,1.342656651
Thailand,2015,1.977484135
Timor,1990,0.055691629
Timor,1995,0.045431534
Timor,2000,0.038265688
Timor,2005,0.033282208
Timor,2010,0.039668083
Timor,2015,0.038531812
Togo,1990,1.094596701
Togo,1995,0.900337
Togo,2000,0.820775313
Togo,2005,0.81704975
Togo,2010,0.808793993
Togo,2015,0.805711079
Tonga,1990,0.115342345
Tonga,1995,0.117449554
Tonga,2000,0.116232013
Tonga,2005,0.123020709
Tonga,2010,0.131380875
Tonga,2015,0.143081854
Trinidad and Tobago,1990,0.048997083
Trinidad and Tobago,1995,0.05420905
Trinidad and Tobago,2000,0.060939357
Trinidad and Tobago,2005,0.059925196
Trinidad and Tobago,2010,0.067240313
Trinidad and Tobago,2015,0.077468093
Tunisia,1990,1.152899131
Tunisia,1995,1.356566645
Tunisia,2000,1.27348585
Tunisia,2005,1.296893424
Tunisia,2010,1.307771072
Tunisia,2015,1.30092676
Turkey,1990,3.037889473
Turkey,1995,2.98784762
Turkey,2000,2.641422907
Turkey,2005,2.366133594
Turkey,2010,1.990652345
Turkey,2015,2.068925824
Turkmenistan,1990,1.304188027
Turkmenistan,1995,1.22687843
Turkmenistan,2000,1.264926595
Turkmenistan,2005,1.045429599
Turkmenistan,2010,0.635931019
Turkmenistan,2015,0.482882615
Uganda,1990,0.494464121
Uganda,1995,0.48113684
Uganda,2000,0.451934875
Uganda,2005,0.406924801
Uganda,2010,0.34704965
Uganda,2015,0.322828987
Ukraine,1990,3.557133459
Ukraine,1995,4.153971895
Ukraine,2000,3.222860687
Ukraine,2005,2.479430623
Ukraine,2010,1.709325261
Ukraine,2015,1.787929796
United Arab Emirates,1990,1.300061376
United Arab Emirates,1995,1.298518691
United Arab Emirates,2000,1.210792107
United Arab Emirates,2005,1.053301912
United Arab Emirates,2010,1.033764511
United Arab Emirates,2015,1.401327427
United Kingdom,1990,0.599369241
United Kingdom,1995,0.96669537
United Kingdom,2000,1.360715214
United Kingdom,2005,1.644406257
United Kingdom,2010,1.827728011
United Kingdom,2015,2.101482823
United States,1990,3.012494926
United States,1995,3.437216947
United States,2000,3.75559539
United States,2005,3.751199984
United States,2010,3.631593427
United States,2015,3.6047295
Uruguay,1990,0.024172147
Uruguay,1995,0.040304664
Uruguay,2000,0.066352203
Uruguay,2005,0.119893196
Uruguay,2010,0.214559918
Uruguay,2015,0.341417058
Uzbekistan,1990,1.553217044
Uzbekistan,1995,1.467601032
Uzbekistan,2000,1.286908901
Uzbekistan,2005,1.083261031
Uzbekistan,2010,1.045832596
Uzbekistan,2015,1.021083062
Vanuatu,1990,0.174146862
Vanuatu,1995,0.139708686
Vanuatu,2000,0.091835017
Vanuatu,2005,0.084836626
Vanuatu,2010,0.090434554
Vanuatu,2015,0.109771804
Venezuela,1990,0.068679708
Venezuela,1995,0.10036166
Venezuela,2000,0.156621627
Venezuela,2005,0.229442753
Venezuela,2010,0.326486861
Venezuela,2015,0.482208043
Vietnam,1990,0.538892391
Vietnam,1995,0.656419979
Vietnam,2000,0.795215601
Vietnam,2005,0.985455154
Vietnam,2010,1.203127067
Vietnam,2015,1.505918954
World,1990,2.984043385
World,1995,3.17678896
World,2000,3.242191087
World,2005,3.175012171
World,2010,3.135575389
World,2015,3.446531264
Yemen,1990,0.537152437
Yemen,1995,0.68807276
Yemen,2000,0.637901485
Yemen,2005,0.580068399
Yemen,2010,0.553616519
Yemen,2015,0.589518368
Zambia,1990,0.523916469
Zambia,1995,0.657450573
Zambia,2000,0.753463564
Zambia,2005,0.883235134
Zambia,2010,0.904717672
Zambia,2015,0.899851966
Zimbabwe,1990,0.411580095
Zimbabwe,1995,0.419072148
Zimbabwe,2000,0.540724523
Zimbabwe,2005,0.700225428
Zimbabwe,2010,0.73511228
Zimbabwe,2015,0.599112627
