Entity,Year,e10 (United Nations Population Division and Human Mortality Database (2015))
Canada,2030,75.22
Canada,2035,75.83
Canada,2040,76.45
Canada,2045,77.02
Canada,2050,77.56
Canada,2055,78.12
Canada,2060,78.67
Canada,2065,79.22
Canada,2070,79.77
Canada,2075,80.29
Canada,2080,80.82
Canada,2085,81.33
Canada,2090,81.86
Canada,2095,82.36
Cape Verde,1950,50.74
Cape Verde,1955,51.11
Cape Verde,1960,51.46
Cape Verde,1965,52.99
Cape Verde,1970,54.58
Cape Verde,1975,56.46
Cape Verde,1980,58.35
Cape Verde,1985,59.64
Cape Verde,1990,60.72
Cape Verde,1995,62.09
Cape Verde,2000,63.24
Cape Verde,2005,64.48
Cape Verde,2010,64.86
Cape Verde,2015,65.81
Cape Verde,2020,66.74
Cape Verde,2025,67.61
Cape Verde,2030,68.44
Cape Verde,2035,69.25
Cape Verde,2040,70.05
Cape Verde,2045,70.79
Cape Verde,2050,71.58
Cape Verde,2055,72.39
Cape Verde,2060,73.2
Cape Verde,2065,73.95
Cape Verde,2070,74.66
Cape Verde,2075,75.36
Cape Verde,2080,76
Cape Verde,2085,76.56
Cape Verde,2090,77.11
Cape Verde,2095,77.62
Central African Republic,1950,43.43
Central African Republic,1955,44.62
Central African Republic,1960,45.8
Central African Republic,1965,47.26
Central African Republic,1970,49.36
Central African Republic,1975,51.34
Central African Republic,1980,52.32
Central African Republic,1985,52.06
Central African Republic,1990,50.33
Central African Republic,1995,47.54
Central African Republic,2000,45.65
Central African Republic,2005,47.2
Central African Republic,2010,49.69
Central African Republic,2015,52.69
Central African Republic,2020,54.47
Central African Republic,2025,56.24
Central African Republic,2030,57.96
Central African Republic,2035,59.53
Central African Republic,2040,60.98
Central African Republic,2045,62.27
Central African Republic,2050,63.35
Central African Republic,2055,64.29
Central African Republic,2060,65.13
Central African Republic,2065,65.9
Central African Republic,2070,66.62
Central African Republic,2075,67.35
Central African Republic,2080,68.06
Central African Republic,2085,68.74
Central African Republic,2090,69.33
Central African Republic,2095,69.89
Chad,1950,44.96
Chad,1955,45.7
Chad,1960,46.46
Chad,1965,47.26
Chad,1970,48.61
Chad,1975,49.41
Chad,1980,50.16
Chad,1985,50.67
Chad,1990,50.61
Chad,1995,50.4
Chad,2000,49.85
Chad,2005,50.48
Chad,2010,51.93
Chad,2015,52.52
Chad,2020,53.2
Chad,2025,53.94
Chad,2030,54.79
Chad,2035,55.69
Chad,2040,56.64
Chad,2045,57.56
Chad,2050,58.49
Chad,2055,59.41
Chad,2060,60.36
Chad,2065,61.2
Chad,2070,62.06
Chad,2075,62.97
Chad,2080,63.91
Chad,2085,64.92
Chad,2090,66.04
Chad,2095,67.17
Channel Islands,1950,62.29
Channel Islands,1955,63.13
Channel Islands,1960,63.47
Channel Islands,1965,63.95
Channel Islands,1970,64.29
Channel Islands,1975,64.87
Channel Islands,1980,65.76
Channel Islands,1985,66.46
Channel Islands,1990,67.4
Channel Islands,1995,68.17
Channel Islands,2000,69.28
Channel Islands,2005,70.5
Channel Islands,2010,71.25
Channel Islands,2015,71.94
Channel Islands,2020,72.66
Channel Islands,2025,73.37
Channel Islands,2030,74.11
Channel Islands,2035,74.78
Channel Islands,2040,75.4
Channel Islands,2045,75.97
Channel Islands,2050,76.51
Channel Islands,2055,77.06
Channel Islands,2060,77.59
Channel Islands,2065,78.13
Channel Islands,2070,78.66
Channel Islands,2075,79.19
Channel Islands,2080,79.75
Channel Islands,2085,80.29
Channel Islands,2090,80.82
Channel Islands,2095,81.33
Chile,1950,55.98
Chile,1955,57.45
Chile,1960,58.71
Chile,1965,59.49
Chile,1970,60.22
Chile,1975,61.55
Chile,1980,62.84
Chile,1985,64.35
Chile,1990,65.91
Chile,1995,67.51
Chile,2000,69.17
Chile,2005,70.79
Chile,2010,72.32
Chile,2015,73.58
Chile,2020,74.57
Chile,2025,75.42
Chile,2030,76.18
Chile,2035,76.9
Chile,2040,77.58
Chile,2045,78.23
Chile,2050,78.86
Chile,2055,79.46
Chile,2060,80.04
Chile,2065,80.58
Chile,2070,81.13
Chile,2075,81.63
Chile,2080,82.16
Chile,2085,82.66
Chile,2090,83.21
Chile,2095,83.71
China,1950,46.43
China,1955,46.83
China,1960,47.38
China,1965,54.88
China,1970,58.73
China,1975,60.84
China,1980,61.9
China,1985,62.82
China,1990,63.27
China,1995,63.91
China,2000,65.3
China,2005,66.07
China,2010,66.58
China,2015,67.46
China,2020,68.35
China,2025,69.3
China,2030,70.16
China,2035,71.07
China,2040,71.98
China,2045,72.91
China,2050,73.83
China,2055,74.69
China,2060,75.5
China,2065,76.24
China,2070,76.89
China,2075,77.52
China,2080,78.17
China,2085,78.81
China,2090,79.46
China,2095,80.1
Colombia,1950,53.3
Colombia,1955,55.86
Colombia,1960,57.28
Colombia,1965,58.35
Colombia,1970,59.15
Colombia,1975,59.92
Colombia,1980,61.32
Colombia,1985,61.63
Colombia,1990,61.5
Colombia,1995,62.84
Colombia,2000,63.91
Colombia,2005,64.98
Colombia,2010,65.76
Colombia,2015,66.49
Colombia,2020,67.21
Colombia,2025,67.94
Colombia,2030,68.71
Colombia,2035,69.48
Colombia,2040,70.27
Colombia,2045,71.07
Colombia,2050,71.92
Colombia,2055,72.69
Colombia,2060,73.46
Colombia,2065,74.17
Colombia,2070,74.83
Colombia,2075,75.43
Colombia,2080,76.03
Colombia,2085,76.59
Colombia,2090,77.1
Colombia,2095,77.61
Comoros,1950,45.53
Comoros,1955,46.52
Comoros,1960,47.65
Comoros,1965,48.77
Comoros,1970,50.08
Comoros,1975,51.23
Comoros,1980,52.88
Comoros,1985,54.47
Comoros,1990,55.82
Comoros,1995,56.62
Comoros,2000,56.78
Comoros,2005,57.48
Comoros,2010,58.54
Comoros,2015,59.29
Comoros,2020,59.97
Comoros,2025,60.63
Comoros,2030,61.23
Comoros,2035,61.82
Comoros,2040,62.42
Comoros,2045,63
Comoros,2050,63.57
Comoros,2055,64.13
Comoros,2060,64.75
Comoros,2065,65.38
Comoros,2070,66.05
Comoros,2075,66.71
Comoros,2080,67.43
Comoros,2085,68.14
Comoros,2090,68.99
Comoros,2095,69.79
Congo,1950,48.94
Congo,1955,50.94
Congo,1960,52.59
Congo,1965,53.78
Congo,1970,54.62
Congo,1975,55.31
Congo,1980,55.74
Congo,1985,54.84
Congo,1990,52.48
Congo,1995,50.16
Congo,2000,50.12
Congo,2005,53.64
Congo,2010,57.1
Congo,2015,58.79
Congo,2020,60.31
Congo,2025,61.58
Congo,2030,62.64
Congo,2035,63.63
Congo,2040,64.52
Congo,2045,65.31
Congo,2050,65.95
Congo,2055,66.52
Congo,2060,67.1
Congo,2065,67.66
Congo,2070,68.21
Congo,2075,68.72
Congo,2080,69.2
Congo,2085,69.64
Congo,2090,70.05
Congo,2095,70.46
Costa Rica,1950,56.75
Costa Rica,1955,58.27
Costa Rica,1960,60.68
Costa Rica,1965,62.14
Costa Rica,1970,63.19
Costa Rica,1975,63.84
Costa Rica,1980,65.56
Costa Rica,1985,66.75
Costa Rica,1990,67.52
Costa Rica,1995,68.3
Costa Rica,2000,68.95
Costa Rica,2005,69.46
Costa Rica,2010,70.14
Costa Rica,2015,71.04
Costa Rica,2020,71.86
Costa Rica,2025,72.62
Costa Rica,2030,73.42
Costa Rica,2035,74.16
Costa Rica,2040,74.84
Costa Rica,2045,75.43
Costa Rica,2050,75.97
Costa Rica,2055,76.53
Costa Rica,2060,77.03
Costa Rica,2065,77.51
Costa Rica,2070,78.03
Costa Rica,2075,78.5
Costa Rica,2080,78.98
Costa Rica,2085,79.43
Costa Rica,2090,79.88
Costa Rica,2095,80.35
Cote d'Ivoire,1950,45.44
Cote d'Ivoire,1955,46.44
Cote d'Ivoire,1960,47.42
Cote d'Ivoire,1965,48.07
Cote d'Ivoire,1970,50.34
Cote d'Ivoire,1975,52.05
Cote d'Ivoire,1980,53.23
Cote d'Ivoire,1985,53.83
Cote d'Ivoire,1990,52.17
Cote d'Ivoire,1995,48
Cote d'Ivoire,2000,46.4
Cote d'Ivoire,2005,48.33
Cote d'Ivoire,2010,49.19
Cote d'Ivoire,2015,50.14
Cote d'Ivoire,2020,51.31
Cote d'Ivoire,2025,52.71
Cote d'Ivoire,2030,54.16
Cote d'Ivoire,2035,55.58
Cote d'Ivoire,2040,56.98
Cote d'Ivoire,2045,58.34
Cote d'Ivoire,2050,59.54
Cote d'Ivoire,2055,60.72
Cote d'Ivoire,2060,61.85
Cote d'Ivoire,2065,62.92
Cote d'Ivoire,2070,64
Cote d'Ivoire,2075,65
Cote d'Ivoire,2080,65.94
Cote d'Ivoire,2085,66.81
Cote d'Ivoire,2090,67.62
Cote d'Ivoire,2095,68.38
Croatia,1950,58.48
Croatia,1955,59.09
Croatia,1960,59.63
Croatia,1965,60.27
Croatia,1970,61.12
Croatia,1975,61.75
Croatia,1980,62.17
Croatia,1985,63.09
Croatia,1990,63.75
Croatia,1995,65.26
Croatia,2000,65.57
Croatia,2005,66.67
Croatia,2010,67.48
Croatia,2015,68.3
Croatia,2020,69.13
Croatia,2025,69.96
Croatia,2030,70.81
Croatia,2035,71.64
Croatia,2040,72.45
Croatia,2045,73.22
Croatia,2050,73.9
Croatia,2055,74.55
Croatia,2060,75.17
Croatia,2065,75.75
Croatia,2070,76.31
Croatia,2075,76.88
Croatia,2080,77.43
Croatia,2085,77.92
Croatia,2090,78.43
Croatia,2095,78.99
Cuba,1950,57.42
Cuba,1955,59.21
Cuba,1960,61.02
Cuba,1965,62.94
Cuba,1970,64.36
Cuba,1975,65.28
Cuba,1980,65.99
Cuba,1985,66.05
Cuba,1990,65.97
Cuba,1995,67.07
Cuba,2000,67.84
Cuba,2005,69.3
Cuba,2010,69.77
Cuba,2015,70.59
Cuba,2020,71.41
Cuba,2025,72.23
Cuba,2030,73.04
Cuba,2035,73.81
Cuba,2040,74.56
Cuba,2045,75.2
Cuba,2050,75.82
Cuba,2055,76.4
Cuba,2060,76.94
Cuba,2065,77.47
Cuba,2070,78.01
Cuba,2075,78.54
Cuba,2080,79.03
Cuba,2085,79.53
Cuba,2090,80.03
Cuba,2095,80.54
Curacao,1950,57.08
Curacao,1955,59.14
Curacao,1960,60.48
Curacao,1965,61.49
Curacao,1970,62.55
Curacao,1975,64.22
Curacao,1980,65.36
Curacao,1985,66.05
Curacao,1990,65.99
Curacao,1995,66.05
Curacao,2000,66.4
Curacao,2005,67.42
Curacao,2010,68.79
Curacao,2015,69.51
Curacao,2020,70.28
Curacao,2025,71.06
Curacao,2030,71.83
Curacao,2035,72.62
Curacao,2040,73.34
Curacao,2045,74.04
Curacao,2050,74.67
Curacao,2055,75.25
Curacao,2060,75.82
Curacao,2065,76.37
Curacao,2070,76.89
Curacao,2075,77.37
Curacao,2080,77.88
Curacao,2085,78.37
Curacao,2090,78.89
Curacao,2095,79.38
Cyprus,1950,62.82
Cyprus,1955,63.54
Cyprus,1960,64.24
Cyprus,1965,64.91
Cyprus,1970,65.54
Cyprus,1975,66.14
Cyprus,1980,66.73
Cyprus,1985,67.29
Cyprus,1990,67.84
Cyprus,1995,68.38
Cyprus,2000,68.9
Cyprus,2005,69.39
Cyprus,2010,70.32
Cyprus,2015,71.12
Cyprus,2020,71.92
Cyprus,2025,72.72
Cyprus,2030,73.5
Cyprus,2035,74.25
Cyprus,2040,74.91
Cyprus,2045,75.51
Cyprus,2050,76.1
Cyprus,2055,76.65
Cyprus,2060,77.23
Cyprus,2065,77.78
Cyprus,2070,78.33
Cyprus,2075,78.88
Cyprus,2080,79.39
Cyprus,2085,79.97
Cyprus,2090,80.48
Cyprus,2095,81.02
Czech Republic,1950,60.37
Czech Republic,1955,61.66
Czech Republic,1960,62.23
Czech Republic,1965,62
Czech Republic,1970,61.71
Czech Republic,1975,62.2
Czech Republic,1980,62.01
Czech Republic,1985,62.46
Czech Republic,1990,63.19
Czech Republic,1995,64.65
Czech Republic,2000,65.85
Czech Republic,2005,67.19
Czech Republic,2010,68.62
Czech Republic,2015,69.34
Czech Republic,2020,70.08
Czech Republic,2025,70.85
Czech Republic,2030,71.63
Czech Republic,2035,72.37
Czech Republic,2040,73.09
Czech Republic,2045,73.75
Czech Republic,2050,74.39
Czech Republic,2055,75.02
Czech Republic,2060,75.61
Czech Republic,2065,76.18
Czech Republic,2070,76.7
Czech Republic,2075,77.23
Czech Republic,2080,77.77
Czech Republic,2085,78.29
Czech Republic,2090,78.83
Czech Republic,2095,79.34
Democratic Republic of Congo,1950,46.7
Democratic Republic of Congo,1955,47.54
Democratic Republic of Congo,1960,48.14
Democratic Republic of Congo,1965,48.89
Democratic Republic of Congo,1970,49.87
Democratic Republic of Congo,1975,50.34
Democratic Republic of Congo,1980,51.11
Democratic Republic of Congo,1985,51.65
Democratic Republic of Congo,1990,52.31
Democratic Republic of Congo,1995,51.96
Democratic Republic of Congo,2000,53.44
Democratic Republic of Congo,2005,55.33
Democratic Republic of Congo,2010,56.72
Democratic Republic of Congo,2015,57.68
Democratic Republic of Congo,2020,58.64
Democratic Republic of Congo,2025,59.58
Democratic Republic of Congo,2030,60.48
Democratic Republic of Congo,2035,61.32
Democratic Republic of Congo,2040,62.11
Democratic Republic of Congo,2045,62.83
Democratic Republic of Congo,2050,63.53
Democratic Republic of Congo,2055,64.28
Democratic Republic of Congo,2060,64.91
Democratic Republic of Congo,2065,65.62
Democratic Republic of Congo,2070,66.28
Democratic Republic of Congo,2075,66.86
Democratic Republic of Congo,2080,67.46
Democratic Republic of Congo,2085,68.05
Democratic Republic of Congo,2090,68.74
Democratic Republic of Congo,2095,69.33
Denmark,1750,NA
Denmark,1755,NA
Denmark,1760,NA
Denmark,1765,NA
Denmark,1770,NA
Denmark,1775,NA
Denmark,1780,NA
Denmark,1785,NA
Denmark,1790,NA
Denmark,1795,NA
Denmark,1800,NA
Denmark,1805,NA
Denmark,1810,NA
Denmark,1815,NA
Denmark,1820,NA
Denmark,1825,NA
Denmark,1830,NA
Denmark,1835,47.66
Denmark,1840,48.6
Denmark,1845,48.24
Denmark,1850,49
Denmark,1855,49.21
Denmark,1860,49.65
Denmark,1865,49.71
Denmark,1870,49.97
Denmark,1875,50.49
Denmark,1880,51.37
Denmark,1885,51.81
Denmark,1890,51.89
Denmark,1895,53.93
Denmark,1900,54.58
Denmark,1905,55.57
Denmark,1910,56.58
Denmark,1915,55.25
Denmark,1920,57.86
Denmark,1925,58.69
Denmark,1930,59.11
Denmark,1935,59.86
Denmark,1940,61.04
Denmark,1945,62.01
Denmark,1950,63.52
Denmark,1955,64.22
Denmark,1960,64.33
Denmark,1965,64.46
Denmark,1970,64.85
Denmark,1975,65.23
Denmark,1980,65.24
Denmark,1985,65.56
Denmark,1990,65.9
Denmark,1995,66.55
Denmark,2000,67.74
Denmark,2005,68.95
Denmark,2010,70.35
Denmark,2015,71.11
Denmark,2020,71.86
Denmark,2025,72.59
Denmark,2030,73.33
Denmark,2035,74.07
Denmark,2040,74.76
Denmark,2045,75.39
Denmark,2050,75.98
Denmark,2055,76.55
Denmark,2060,77.11
Denmark,2065,77.63
Denmark,2070,78.16
Denmark,2075,78.69
Denmark,2080,79.22
Denmark,2085,79.73
Denmark,2090,80.25
Denmark,2095,80.79
Djibouti,1950,47.76
Djibouti,1955,48.82
Djibouti,1960,50.06
Djibouti,1965,51.19
Djibouti,1970,52.97
Djibouti,1975,53.8
Djibouti,1980,54.9
Djibouti,1985,55.66
Djibouti,1990,55.89
Djibouti,1995,55.21
Djibouti,2000,54.99
Djibouti,2005,56.33
Djibouti,2010,58
Djibouti,2015,58.63
Djibouti,2020,59.23
Djibouti,2025,59.8
Djibouti,2030,60.33
Djibouti,2035,60.88
Djibouti,2040,61.34
Djibouti,2045,61.8
Djibouti,2050,62.26
Djibouti,2055,62.74
Djibouti,2060,63.22
Djibouti,2065,63.69
Djibouti,2070,64.2
Djibouti,2075,64.78
Djibouti,2080,65.37
Djibouti,2085,66.01
Djibouti,2090,66.66
Djibouti,2095,67.33
Dominican Republic,1950,52.37
Dominican Republic,1955,54.62
Dominican Republic,1960,56.6
Dominican Republic,1965,58.27
Dominican Republic,1970,59.18
Dominican Republic,1975,59.55
Dominican Republic,1980,60.28
Dominican Republic,1985,61.82
Dominican Republic,1990,63.18
Dominican Republic,1995,63.61
Dominican Republic,2000,64.07
Dominican Republic,2005,64.77
Dominican Republic,2010,65.44
Dominican Republic,2015,66.12
Dominican Republic,2020,66.73
Dominican Republic,2025,67.34
Dominican Republic,2030,67.97
Dominican Republic,2035,68.63
Dominican Republic,2040,69.31
Dominican Republic,2045,69.94
Dominican Republic,2050,70.63
Dominican Republic,2055,71.31
Dominican Republic,2060,71.98
Dominican Republic,2065,72.68
Dominican Republic,2070,73.3
Dominican Republic,2075,73.95
Dominican Republic,2080,74.56
Dominican Republic,2085,75.12
Dominican Republic,2090,75.69
Dominican Republic,2095,76.15
Ecuador,1950,52.58
Ecuador,1955,54.76
Ecuador,1960,57.16
Ecuador,1965,57.99
Ecuador,1970,58.84
Ecuador,1975,60.24
Ecuador,1980,61.69
Ecuador,1985,63.14
Ecuador,1990,64.45
Ecuador,1995,65.6
Ecuador,2000,66.47
Ecuador,2005,66.94
Ecuador,2010,67.66
Ecuador,2015,68.62
Ecuador,2020,69.47
Ecuador,2025,70.28
Ecuador,2030,71.12
Ecuador,2035,71.94
Ecuador,2040,72.77
Ecuador,2045,73.59
Ecuador,2050,74.33
Ecuador,2055,75.05
Ecuador,2060,75.72
Ecuador,2065,76.31
Ecuador,2070,76.85
Ecuador,2075,77.41
Ecuador,2080,77.89
Ecuador,2085,78.38
Ecuador,2090,78.88
Ecuador,2095,79.33
Egypt,1950,57.39
Egypt,1955,58.03
Egypt,1960,58.57
Egypt,1965,59.14
Egypt,1970,59.71
Egypt,1975,60.2
Egypt,1980,60.63
Egypt,1985,61.02
Egypt,1990,61.39
Egypt,1995,61.68
Egypt,2000,61.93
Egypt,2005,62.21
Egypt,2010,62.74
Egypt,2015,63.37
Egypt,2020,64.05
Egypt,2025,64.72
Egypt,2030,65.42
Egypt,2035,66.09
Egypt,2040,66.8
Egypt,2045,67.54
Egypt,2050,68.26
Egypt,2055,68.96
Egypt,2060,69.71
Egypt,2065,70.5
Egypt,2070,71.22
Egypt,2075,72.01
Egypt,2080,72.74
Egypt,2085,73.5
Egypt,2090,74.22
Egypt,2095,74.91
El Salvador,1950,48.56
El Salvador,1955,52.31
El Salvador,1960,55.32
El Salvador,1965,56.42
El Salvador,1970,57.16
El Salvador,1975,56.41
El Salvador,1980,55.66
El Salvador,1985,57.85
El Salvador,1990,59.95
El Salvador,1995,60.67
El Salvador,2000,61.71
El Salvador,2005,63.02
El Salvador,2010,64.2
El Salvador,2015,65.21
El Salvador,2020,66.12
El Salvador,2025,67.03
El Salvador,2030,67.92
El Salvador,2035,68.8
El Salvador,2040,69.66
El Salvador,2045,70.5
El Salvador,2050,71.33
El Salvador,2055,72.17
El Salvador,2060,72.91
El Salvador,2065,73.57
El Salvador,2070,74.16
El Salvador,2075,74.73
El Salvador,2080,75.27
El Salvador,2085,75.82
El Salvador,2090,76.31
El Salvador,2095,76.78
Equatorial Guinea,1950,44.03
Equatorial Guinea,1955,44.89
Equatorial Guinea,1960,45.76
Equatorial Guinea,1965,46.61
Equatorial Guinea,1970,47.48
Equatorial Guinea,1975,48.35
Equatorial Guinea,1980,50.24
Equatorial Guinea,1985,51.06
Equatorial Guinea,1990,51.99
Equatorial Guinea,1995,52.81
Equatorial Guinea,2000,52.98
Equatorial Guinea,2005,53.71
Equatorial Guinea,2010,55.17
Equatorial Guinea,2015,55.66
Equatorial Guinea,2020,56.43
Equatorial Guinea,2025,57.59
Equatorial Guinea,2030,58.91
Equatorial Guinea,2035,60.24
Equatorial Guinea,2040,61.49
Equatorial Guinea,2045,62.69
Equatorial Guinea,2050,63.8
Equatorial Guinea,2055,64.78
Equatorial Guinea,2060,65.73
Equatorial Guinea,2065,66.72
Equatorial Guinea,2070,67.7
Equatorial Guinea,2075,68.59
Equatorial Guinea,2080,69.4
Equatorial Guinea,2085,70.19
Equatorial Guinea,2090,70.94
Equatorial Guinea,2095,71.69
Eritrea,1950,41.68
Eritrea,1955,42.13
Eritrea,1960,42.57
Eritrea,1965,43
Eritrea,1970,43.42
Eritrea,1975,43.82
Eritrea,1980,44.22
Eritrea,1985,45.94
Eritrea,1990,48.43
Eritrea,1995,51.23
Eritrea,2000,53.08
Eritrea,2005,54.91
Eritrea,2010,57.33
Eritrea,2015,58.56
Eritrea,2020,59.7
Eritrea,2025,60.72
Eritrea,2030,61.66
Eritrea,2035,62.52
Eritrea,2040,63.27
Eritrea,2045,63.99
Eritrea,2050,64.7
Eritrea,2055,65.42
Eritrea,2060,66.08
Eritrea,2065,66.76
Eritrea,2070,67.42
Eritrea,2075,68.13
Eritrea,2080,68.84
Eritrea,2085,69.57
Eritrea,2090,70.22
Eritrea,2095,70.94
Estonia,1950,59.93
Estonia,1955,61.6
Estonia,1960,62.35
Estonia,1965,62.52
Estonia,1970,62.29
Estonia,1975,61.46
Estonia,1980,61.28
Estonia,1985,62.08
Estonia,1990,60.03
Estonia,1995,60.6
Estonia,2000,62.36
Estonia,2005,64.29
Estonia,2010,66.9
Estonia,2015,67.57
Estonia,2020,68.28
Estonia,2025,69.02
Estonia,2030,69.73
Estonia,2035,70.46
Estonia,2040,71.19
Estonia,2045,71.93
Estonia,2050,72.6
Estonia,2055,73.2
Estonia,2060,73.79
Estonia,2065,74.36
Estonia,2070,74.9
Estonia,2075,75.47
Estonia,2080,75.99
Estonia,2085,76.53
Estonia,2090,77.05
Estonia,2095,77.59
Ethiopia,1950,43.81
Ethiopia,1955,45.3
Ethiopia,1960,47.22
Ethiopia,1965,48.38
Ethiopia,1970,49.16
Ethiopia,1975,49.57
Ethiopia,1980,49.13
Ethiopia,1985,50.51
Ethiopia,1990,51.09
Ethiopia,1995,51.39
Ethiopia,2000,52.19
Ethiopia,2005,55.88
Ethiopia,2010,58.88
Ethiopia,2015,60.55
Ethiopia,2020,61.84
Ethiopia,2025,63.03
Ethiopia,2030,64.11
Ethiopia,2035,65.06
Ethiopia,2040,65.89
Ethiopia,2045,66.67
Ethiopia,2050,67.44
Ethiopia,2055,68.16
Ethiopia,2060,68.84
Ethiopia,2065,69.44
Ethiopia,2070,69.99
Ethiopia,2075,70.51
Ethiopia,2080,71.02
Ethiopia,2085,71.53
Ethiopia,2090,72.03
Ethiopia,2095,72.52
Fiji,1950,52.07
Fiji,1955,53.11
Fiji,1960,54.1
Fiji,1965,55.07
Fiji,1970,55.98
Fiji,1975,56.8
Fiji,1980,57.44
Fiji,1985,58.05
Fiji,1990,58.65
Fiji,1995,59.25
Fiji,2000,59.8
Fiji,2005,60.54
Fiji,2010,61.29
Fiji,2015,61.89
Fiji,2020,62.54
Fiji,2025,63.18
Fiji,2030,63.85
Fiji,2035,64.55
Fiji,2040,65.26
Fiji,2045,65.94
Fiji,2050,66.68
Fiji,2055,67.4
Fiji,2060,68.16
Fiji,2065,68.91
Fiji,2070,69.66
Fiji,2075,70.42
Fiji,2080,71.22
Fiji,2085,72.03
Fiji,2090,72.74
Fiji,2095,73.51
Finland,1750,NA
Finland,1755,NA
Finland,1760,NA
Finland,1765,NA
Finland,1770,NA
Finland,1775,NA
Finland,1780,NA
Finland,1785,NA
Finland,1790,NA
Finland,1795,NA
Finland,1800,NA
Finland,1805,NA
Finland,1810,NA
Finland,1815,NA
Finland,1820,NA
Finland,1825,NA
Finland,1830,NA
Finland,1835,NA
Finland,1840,NA
Finland,1845,NA
Finland,1850,NA
Finland,1855,NA
Finland,1860,NA
Finland,1865,NA
Finland,1870,NA
Finland,1875,49.8
Finland,1880,49.41
Finland,1885,50.21
Finland,1890,49.9
Finland,1895,51.28
Finland,1900,50.51
Finland,1905,50.6
Finland,1910,51
Finland,1915,45.08
Finland,1920,51.12
Finland,1925,51.31
Finland,1930,52.55
Finland,1935,53.12
Finland,1940,45.75
Finland,1945,55.64
Finland,1950,59.2
Finland,1955,60.49
Finland,1960,60.88
Finland,1965,61.08
Finland,1970,61.99
Finland,1975,63.44
Finland,1980,64.93
Finland,1985,65.35
Finland,1990,66.22
Finland,1995,67.47
Finland,2000,68.64
Finland,2005,69.79
Finland,2010,70.8
Finland,2015,71.7
Finland,2020,72.63
Finland,2025,73.45
Finland,2030,74.18
Finland,2035,74.83
Finland,2040,75.47
Finland,2045,76.1
Finland,2050,76.68
Finland,2055,77.27
Finland,2060,77.84
Finland,2065,78.41
Finland,2070,78.98
Finland,2075,79.51
Finland,2080,80.08
Finland,2085,80.59
Finland,2090,81.14
Finland,2095,81.67
France,1950,61.02
France,1955,62.17
France,1960,62.94
France,1965,63.22
France,1970,63.87
France,1975,64.68
France,1980,65.6
France,1985,66.77
France,1990,67.9
France,1995,68.8
France,2000,69.9
France,2005,71.23
France,2010,72.21
France,2015,73.15
France,2020,73.91
France,2025,74.62
France,2030,75.3
France,2035,75.95
France,2040,76.61
France,2045,77.19
France,2050,77.82
France,2055,78.42
France,2060,79.01
France,2065,79.59
France,2070,80.16
France,2075,80.67
France,2080,81.21
France,2085,81.77
France,2090,82.33
France,2095,82.87
French Guiana,1950,53.33
French Guiana,1955,54.86
French Guiana,1960,56.66
French Guiana,1965,59.34
French Guiana,1970,60.15
French Guiana,1975,60.57
French Guiana,1980,62.21
French Guiana,1985,63.49
French Guiana,1990,64.7
French Guiana,1995,65.85
French Guiana,2000,67.44
French Guiana,2005,69.03
French Guiana,2010,69.92
French Guiana,2015,71.25
French Guiana,2020,72.42
French Guiana,2025,73.45
French Guiana,2030,74.35
French Guiana,2035,75.16
French Guiana,2040,75.9
French Guiana,2045,76.61
French Guiana,2050,77.28
French Guiana,2055,77.96
French Guiana,2060,78.61
French Guiana,2065,79.21
French Guiana,2070,79.81
French Guiana,2075,80.41
French Guiana,2080,80.98
French Guiana,2085,81.56
French Guiana,2090,82.13
French Guiana,2095,82.72
French Polynesia,1950,47.49
French Polynesia,1955,51.78
French Polynesia,1960,53.39
French Polynesia,1965,54.97
French Polynesia,1970,56.23
French Polynesia,1975,57.18
French Polynesia,1980,58.97
French Polynesia,1985,59.58
French Polynesia,1990,60.96
French Polynesia,1995,62.35
French Polynesia,2000,63.98
French Polynesia,2005,65.76
French Polynesia,2010,66.74
French Polynesia,2015,67.73
French Polynesia,2020,68.78
French Polynesia,2025,69.8
French Polynesia,2030,70.79
French Polynesia,2035,71.78
French Polynesia,2040,72.73
French Polynesia,2045,73.65
French Polynesia,2050,74.52
French Polynesia,2055,75.3
French Polynesia,2060,76.02
French Polynesia,2065,76.66
French Polynesia,2070,77.28
French Polynesia,2075,77.9
French Polynesia,2080,78.48
French Polynesia,2085,79.07
French Polynesia,2090,79.64
French Polynesia,2095,80.24
Gabon,1950,45.48
Gabon,1955,46.62
Gabon,1960,47.46
Gabon,1965,49.78
Gabon,1970,51.92
Gabon,1975,54.01
Gabon,1980,56.17
Gabon,1985,58.1
Gabon,1990,58.1
Gabon,1995,56.95
Gabon,2000,55.38
Gabon,2005,56.57
Gabon,2010,58.44
Gabon,2015,60.13
Gabon,2020,61.32
Gabon,2025,62.52
Gabon,2030,63.58
Gabon,2035,64.49
Gabon,2040,65.28
Gabon,2045,65.98
Gabon,2050,66.6
Gabon,2055,67.18
Gabon,2060,67.74
Gabon,2065,68.27
Gabon,2070,68.77
Gabon,2075,69.24
Gabon,2080,69.68
Gabon,2085,70.09
Gabon,2090,70.49
Gabon,2095,70.89
Gambia,1950,40.95
Gambia,1955,41.7
Gambia,1960,42.44
Gambia,1965,43.49
Gambia,1970,46.33
Gambia,1975,48.99
Gambia,1980,51.4
Gambia,1985,53.19
Gambia,1990,53.42
Gambia,1995,53.97
Gambia,2000,54.64
Gambia,2005,55.37
