Entity,Year,"Military expenditure per capita, current USD (OWID based on COW and SIPRI)"
Cuba,2003,107.42
Cuba,2004,117.09
Cuba,2005,127.88
Cuba,2006,147.6
Cuba,2007,190.05
Cuba,2008,203.26
Cuba,2009,1688.37
Cuba,2011,8.51
Cyprus,1960,10.69
Cyprus,1961,11.12
Cyprus,1962,11.83
Cyprus,1963,12.04
Cyprus,1964,12.88
Cyprus,1965,15.64
Cyprus,1966,13.18
Cyprus,1967,14.49
Cyprus,1968,10.73
Cyprus,1969,10.64
Cyprus,1970,11.92
Cyprus,1971,15.61
Cyprus,1972,16.72
Cyprus,1973,18.03
Cyprus,1974,28.67
Cyprus,1975,32.06
Cyprus,1976,29.7
Cyprus,1977,42.63
Cyprus,1978,39.64
Cyprus,1979,33.58
Cyprus,1980,39.54
Cyprus,1981,62.22
Cyprus,1982,117.98
Cyprus,1983,132.34
Cyprus,1984,143.07
Cyprus,1985,43.04
Cyprus,1986,179.88
Cyprus,1987,183.63
Cyprus,1988,188
Cyprus,1989,231.43
Cyprus,1990,446.55
Cyprus,1991,410.53
Cyprus,1992,675.78
Cyprus,1993,681.06
Cyprus,1994,703.86
Cyprus,1995,502.05
Cyprus,1996,659.89
Cyprus,1997,659.27
Cyprus,1998,660.18
Cyprus,1999,453.73
Cyprus,2000,459.29
Cyprus,2001,449.36
Cyprus,2002,251.02
Cyprus,2003,247.5
Cyprus,2004,269.69
Cyprus,2005,265.25
Cyprus,2006,229.01
Cyprus,2007,468.49
Cyprus,2008,498.61
Cyprus,2009,432.63
Cyprus,2010,451.09
Cyprus,2011,457.48
Cyprus,2012,398.58
Czech Republic,1993,78.26
Czech Republic,1994,74.53
Czech Republic,1995,108.41
Czech Republic,1996,114.01
Czech Republic,1997,95.79
Czech Republic,1998,114.57
Czech Republic,1999,108.65
Czech Republic,2000,112.07
Czech Republic,2001,114.14
Czech Republic,2002,145.09
Czech Republic,2003,186.79
Czech Republic,2004,198.86
Czech Republic,2005,216.6
Czech Republic,2006,234.36
Czech Republic,2007,258.17
Czech Republic,2008,303.98
Czech Republic,2009,298.21
Czech Republic,2010,251.94
Czech Republic,2011,236.83
Czech Republic,2012,198.87
Czechoslovakia,1918,1.5
Czechoslovakia,1919,1.62
Czechoslovakia,1920,1.73
Czechoslovakia,1921,2.01
Czechoslovakia,1922,2.52
Czechoslovakia,1923,4.79
Czechoslovakia,1924,4.57
Czechoslovakia,1925,4.16
Czechoslovakia,1926,3.42
Czechoslovakia,1927,3.62
Czechoslovakia,1928,3.7
Czechoslovakia,1929,3.64
Czechoslovakia,1930,3.43
Czechoslovakia,1931,3.53
Czechoslovakia,1932,3.22
Czechoslovakia,1933,3.07
Czechoslovakia,1934,5.55
Czechoslovakia,1935,4.45
Czechoslovakia,1936,5.47
Czechoslovakia,1937,10.27
Czechoslovakia,1938,13.8
Czechoslovakia,1939,18.31
Czechoslovakia,1945,21.6
Czechoslovakia,1946,29.4
Czechoslovakia,1947,38.4
Czechoslovakia,1948,43.58
Czechoslovakia,1949,50.13
Czechoslovakia,1950,58.68
Czechoslovakia,1951,71.26
Czechoslovakia,1952,64.78
Czechoslovakia,1953,59.63
Czechoslovakia,1954,55.4
Czechoslovakia,1955,63.04
Czechoslovakia,1956,69.39
Czechoslovakia,1957,72.41
Czechoslovakia,1958,71.34
Czechoslovakia,1959,71.36
Czechoslovakia,1960,73.47
Czechoslovakia,1961,80.66
Czechoslovakia,1962,92.01
Czechoslovakia,1963,90.81
Czechoslovakia,1964,85.76
Czechoslovakia,1965,83.67
Czechoslovakia,1966,91.36
Czechoslovakia,1967,105.63
Czechoslovakia,1968,121.23
Czechoslovakia,1969,138.57
Czechoslovakia,1970,151.96
Czechoslovakia,1971,179.34
Czechoslovakia,1972,195.39
Czechoslovakia,1973,216.41
Czechoslovakia,1974,230.81
Czechoslovakia,1975,255.27
Czechoslovakia,1976,269.28
Czechoslovakia,1977,279.67
Czechoslovakia,1978,309.6
Czechoslovakia,1979,330.76
Czechoslovakia,1980,348.25
Czechoslovakia,1981,388.37
Czechoslovakia,1982,442.46
Czechoslovakia,1983,464.33
Czechoslovakia,1984,326.86
Czechoslovakia,1985,312.86
Czechoslovakia,1986,304.49
Czechoslovakia,1987,348.06
Czechoslovakia,1988,343.44
Czechoslovakia,1989,294.16
Czechoslovakia,1990,275.84
Czechoslovakia,1991,60.73
Czechoslovakia,1992,60.64
Democratic Republic of Congo,1960,0
Democratic Republic of Congo,1961,0.68
Democratic Republic of Congo,1962,1.3
Democratic Republic of Congo,1963,1.25
Democratic Republic of Congo,1964,0.72
Democratic Republic of Congo,1965,1.78
Democratic Republic of Congo,1966,1.77
Democratic Republic of Congo,1967,1.96
Democratic Republic of Congo,1968,2.22
Democratic Republic of Congo,1969,2.97
Democratic Republic of Congo,1970,2.77
Democratic Republic of Congo,1971,4.02
Democratic Republic of Congo,1972,3.96
Democratic Republic of Congo,1973,3.56
Democratic Republic of Congo,1974,7
Democratic Republic of Congo,1975,6.55
Democratic Republic of Congo,1976,4.34
Democratic Republic of Congo,1977,1.51
Democratic Republic of Congo,1978,1.83
Democratic Republic of Congo,1979,4.52
Democratic Republic of Congo,1980,6.79
Democratic Republic of Congo,1981,3.11
Democratic Republic of Congo,1982,5.28
Democratic Republic of Congo,1983,4.82
Democratic Republic of Congo,1984,1.84
Democratic Republic of Congo,1985,2.61
Democratic Republic of Congo,1986,1.48
Democratic Republic of Congo,1987,1.43
Democratic Republic of Congo,1988,2
Democratic Republic of Congo,1989,4.09
Democratic Republic of Congo,1990,1.65
Democratic Republic of Congo,1991,6.41
Democratic Republic of Congo,1993,5.8
Democratic Republic of Congo,1994,2.71
Democratic Republic of Congo,1995,4.07
Democratic Republic of Congo,1996,3.72
Democratic Republic of Congo,1997,6.41
Democratic Republic of Congo,1998,7.55
Democratic Republic of Congo,1999,8.17
Democratic Republic of Congo,2000,7.74
Democratic Republic of Congo,2001,7.59
Democratic Republic of Congo,2003,2.33
Democratic Republic of Congo,2004,3.7
Democratic Republic of Congo,2005,2.78
Democratic Republic of Congo,2006,2.93
Democratic Republic of Congo,2007,2.9
Democratic Republic of Congo,2008,2.86
Democratic Republic of Congo,2009,2.03
Democratic Republic of Congo,2010,3.1
Democratic Republic of Congo,2011,3.46
Democratic Republic of Congo,2012,3.53
Denmark,1835,0.71
Denmark,1841,0.96
Denmark,1842,0.98
Denmark,1843,1.03
Denmark,1844,1.01
Denmark,1845,1.01
Denmark,1846,1.02
Denmark,1847,1.03
Denmark,1848,1.07
Denmark,1849,0.28
Denmark,1850,0.55
Denmark,1851,0.95
Denmark,1852,1.1
Denmark,1853,1.4
Denmark,1854,1.38
Denmark,1855,1.45
Denmark,1856,1
Denmark,1857,0.99
Denmark,1858,1.34
Denmark,1859,1.31
Denmark,1860,1.27
Denmark,1861,1.24
Denmark,1862,1.43
Denmark,1863,1.44
Denmark,1864,3.97
Denmark,1865,2.44
Denmark,1866,2.03
Denmark,1867,2.17
Denmark,1868,2.39
Denmark,1869,2.64
Denmark,1870,2.2
Denmark,1871,2.04
Denmark,1872,2.08
Denmark,1873,2.26
Denmark,1874,2.14
Denmark,1875,2.39
Denmark,1876,2.69
Denmark,1877,1.99
Denmark,1878,2.12
Denmark,1879,1.94
Denmark,1880,1.88
Denmark,1881,2.15
Denmark,1882,1.98
Denmark,1883,2.21
Denmark,1884,2.49
Denmark,1885,1.93
Denmark,1886,1.47
Denmark,1887,1.51
Denmark,1888,1.35
Denmark,1889,1.29
Denmark,1890,2.05
Denmark,1891,1.41
Denmark,1892,2.5
Denmark,1893,2.06
Denmark,1894,2.01
Denmark,1895,2.39
Denmark,1896,1.97
Denmark,1897,1.9
Denmark,1898,1.89
Denmark,1899,1.9
Denmark,1900,2
Denmark,1901,2.18
Denmark,1902,1.8
Denmark,1903,2.16
Denmark,1904,1.86
Denmark,1905,1.79
Denmark,1906,1.96
Denmark,1907,2.04
Denmark,1908,2.12
Denmark,1909,2.17
Denmark,1910,3
Denmark,1911,2.43
Denmark,1912,2.99
Denmark,1913,2.81
Denmark,1914,1.49
Denmark,1915,2.61
Denmark,1916,3.25
Denmark,1917,3.9
Denmark,1918,4.63
Denmark,1919,5.21
Denmark,1920,5.67
Denmark,1921,6.07
Denmark,1922,3.35
Denmark,1923,3.11
Denmark,1924,2.57
Denmark,1925,2.73
Denmark,1926,3.42
Denmark,1927,3.24
Denmark,1928,3.61
Denmark,1929,3.77
Denmark,1930,3.46
Denmark,1931,3.39
Denmark,1932,2.03
Denmark,1933,1.85
Denmark,1934,2.56
Denmark,1935,2.58
Denmark,1936,2.59
Denmark,1937,3.28
Denmark,1938,5.85
Denmark,1939,7.73
Denmark,1940,9.4
Denmark,1945,11.8
Denmark,1946,12.78
Denmark,1947,14.32
Denmark,1948,15.59
Denmark,1949,17.69
Denmark,1950,12.15
Denmark,1951,22.66
Denmark,1952,22.53
Denmark,1953,29.4
Denmark,1954,29.07
Denmark,1955,30.01
Denmark,1956,30.34
Denmark,1957,32.65
Denmark,1958,30.08
Denmark,1959,31.4
Denmark,1960,35.17
Denmark,1961,37.06
Denmark,1962,48.47
Denmark,1963,51.07
Denmark,1964,54.08
Denmark,1965,59.95
Denmark,1966,62.95
Denmark,1967,67.24
Denmark,1968,71.37
Denmark,1969,71.96
Denmark,1970,74.66
Denmark,1971,86.8
Denmark,1972,97.6
Denmark,1973,115.86
Denmark,1974,144.36
Denmark,1975,181.63
Denmark,1976,185.22
Denmark,1977,207.67
Denmark,1978,257.57
Denmark,1979,296.8
Denmark,1980,313.83
Denmark,1981,282.36
Denmark,1982,273.55
Denmark,1983,289.9
Denmark,1984,246.54
Denmark,1985,232.11
Denmark,1986,304.63
Denmark,1987,306.22
Denmark,1988,391.81
Denmark,1989,374.05
Denmark,1990,505.84
Denmark,1991,252.04
Denmark,1992,539.65
Denmark,1993,516.86
Denmark,1994,499.52
Denmark,1995,596.4
Denmark,1996,599.01
Denmark,1997,530.85
Denmark,1998,550.85
Denmark,1999,503.79
Denmark,2000,452.48
Denmark,2001,449.52
Denmark,2002,502.14
Denmark,2003,595.95
Denmark,2004,664.57
Denmark,2005,640.83
Denmark,2006,716.96
Denmark,2007,736.65
Denmark,2008,812.95
Denmark,2009,785.12
Denmark,2010,811.57
Denmark,2011,810.58
Denmark,2012,789.92
Djibouti,1977,0
Djibouti,1979,96.04
Djibouti,1980,56.34
Djibouti,1981,57.38
Djibouti,1982,67.2
Djibouti,1983,73.11
Djibouti,1984,66.67
Djibouti,1985,74.88
Djibouti,1986,65.54
Djibouti,1987,76.75
Djibouti,1988,76.76
Djibouti,1989,52.63
Djibouti,1990,54.16
Djibouti,1991,72.44
Djibouti,1992,68.41
Djibouti,1993,49.12
Djibouti,1994,44.44
Djibouti,1995,36.61
Djibouti,1996,34.04
Djibouti,1997,31.55
Djibouti,1998,35.31
Djibouti,1999,34.98
Djibouti,2000,36.05
Djibouti,2001,34.48
Djibouti,2002,33.6
Djibouti,2003,31.79
Djibouti,2004,32.64
Djibouti,2005,15.44
Djibouti,2006,21.57
Djibouti,2007,21.28
Djibouti,2008,18.52
Djibouti,2009,45.01
Djibouti,2010,11.99
Djibouti,2011,11.81
Dominica,1978,2.69
Dominica,1979,3.12
Dominica,1986,0
Dominica,1987,0
Dominica,1988,0
Dominica,1989,0
Dominica,1990,0
Dominica,1991,0
Dominica,1992,0
Dominica,1993,0
Dominica,1994,0
Dominica,1995,0
Dominica,1996,0
Dominica,1997,0
Dominica,1998,0
Dominica,1999,0
Dominica,2000,0
Dominica,2001,0
Dominica,2002,0
Dominica,2003,0
Dominica,2004,0
Dominica,2005,0
Dominica,2006,0
Dominica,2007,0
Dominica,2008,0
Dominica,2009,0
Dominica,2010,0
Dominica,2011,0
Dominica,2012,0
Dominican Republic,1903,0.66
Dominican Republic,1904,0.35
Dominican Republic,1905,0.54
Dominican Republic,1908,0.83
Dominican Republic,1909,0.97
Dominican Republic,1910,0.7
Dominican Republic,1913,1.48
Dominican Republic,1924,1.07
Dominican Republic,1925,0.92
Dominican Republic,1926,0.79
Dominican Republic,1927,1.33
Dominican Republic,1928,1.37
Dominican Republic,1929,1.24
Dominican Republic,1930,0.87
Dominican Republic,1931,0.85
Dominican Republic,1932,0.81
Dominican Republic,1933,0.79
Dominican Republic,1934,0.83
Dominican Republic,1935,0.68
Dominican Republic,1936,1.18
Dominican Republic,1937,1.28
Dominican Republic,1938,1.19
Dominican Republic,1939,1.17
Dominican Republic,1942,1.15
Dominican Republic,1943,1.25
Dominican Republic,1944,1.63
Dominican Republic,1945,1.81
Dominican Republic,1946,1.9
Dominican Republic,1947,2.64
Dominican Republic,1950,7.88
Dominican Republic,1953,10.58
Dominican Republic,1954,9.08
Dominican Republic,1955,11.89
Dominican Republic,1958,12.15
Dominican Republic,1959,14.48
Dominican Republic,1960,10.34
Dominican Republic,1961,9.46
Dominican Republic,1962,9.59
Dominican Republic,1963,9.53
Dominican Republic,1964,10.04
Dominican Republic,1965,9.2
Dominican Republic,1966,8.25
Dominican Republic,1967,7.71
Dominican Republic,1968,7.79
Dominican Republic,1969,7.34
Dominican Republic,1970,7.78
Dominican Republic,1971,7.63
Dominican Republic,1972,7.99
Dominican Republic,1973,8.26
Dominican Republic,1974,10.43
Dominican Republic,1975,12.18
Dominican Republic,1976,13.94
Dominican Republic,1977,14.29
Dominican Republic,1978,16.04
Dominican Republic,1979,28.41
Dominican Republic,1980,28.96
Dominican Republic,1981,20.22
Dominican Republic,1982,21.41
Dominican Republic,1983,21.07
Dominican Republic,1984,24.88
Dominican Republic,1985,7.95
Dominican Republic,1986,10.46
Dominican Republic,1987,11.41
Dominican Republic,1988,8.74
Dominican Republic,1989,8.64
Dominican Republic,1990,7.98
Dominican Republic,1991,4.75
Dominican Republic,1992,7.9
Dominican Republic,1993,14.17
Dominican Republic,1994,14.8
Dominican Republic,1995,13.77
Dominican Republic,1996,14.41
Dominican Republic,1997,14.7
Dominican Republic,1998,13.97
Dominican Republic,1999,13.63
Dominican Republic,2000,19.89
Dominican Republic,2001,17.96
Dominican Republic,2002,25.63
Dominican Republic,2003,17.2
Dominican Republic,2004,13.9
Dominican Republic,2005,29.22
Dominican Republic,2006,27.01
Dominican Republic,2007,28.19
Dominican Republic,2008,28.51
Dominican Republic,2009,26.81
Dominican Republic,2010,23.06
Dominican Republic,2011,33.7
Dominican Republic,2012,35.32
East Germany,1957,21.17
East Germany,1958,26.81
East Germany,1959,31.48
East Germany,1960,16.59
East Germany,1961,16.88
East Germany,1962,45.63
East Germany,1963,47.66
East Germany,1964,50.37
East Germany,1965,54.1
East Germany,1966,58.15
East Germany,1967,67.23
East Germany,1968,118.14
East Germany,1969,131.64
East Germany,1970,147.93
East Germany,1971,174.91
East Germany,1972,191.57
East Germany,1973,217.37
East Germany,1974,242.33
East Germany,1975,261.36
East Germany,1976,290.78
East Germany,1977,325.64
East Germany,1978,357.62
East Germany,1979,374.89
East Germany,1980,428.89
East Germany,1981,484.66
East Germany,1982,548.66
East Germany,1983,587.22
East Germany,1984,462.52
East Germany,1985,479.51
East Germany,1986,538.26
East Germany,1987,698.64
East Germany,1988,766.23
East Germany,1989,840.05
Ecuador,1885,0.69
Ecuador,1886,0.82
Ecuador,1887,0.76
Ecuador,1889,0.64
Ecuador,1890,0.57
Ecuador,1891,0.66
Ecuador,1893,0.62
Ecuador,1897,0.7
Ecuador,1900,0.65
Ecuador,1902,1.36
Ecuador,1903,0.99
Ecuador,1905,0.92
Ecuador,1907,0.95
Ecuador,1908,0.79
Ecuador,1909,1.01
Ecuador,1910,1.45
Ecuador,1912,1.14
Ecuador,1913,1.16
Ecuador,1914,2.52
Ecuador,1915,2.16
Ecuador,1918,1.55
Ecuador,1920,0.47
Ecuador,1925,0.84
Ecuador,1926,1.05
Ecuador,1927,0.93
Ecuador,1928,0.93
Ecuador,1929,0.94
Ecuador,1930,0.94
Ecuador,1931,0.99
Ecuador,1932,0.88
Ecuador,1933,0.68
Ecuador,1934,0.69
Ecuador,1935,0.66
Ecuador,1936,1
Ecuador,1937,0.84
Ecuador,1938,0.53
Ecuador,1939,0.79
Ecuador,1941,0.66
Ecuador,1942,0.65
Ecuador,1943,0.95
Ecuador,1944,1.31
Ecuador,1945,1.83
Ecuador,1946,1.63
Ecuador,1947,1.74
Ecuador,1949,1.91
Ecuador,1950,2.77
Ecuador,1951,1.75
Ecuador,1952,2.19
Ecuador,1953,3.4
Ecuador,1954,4.56
Ecuador,1955,5.04
Ecuador,1956,5.13
Ecuador,1957,4.83
Ecuador,1958,4.57
Ecuador,1959,3.89
Ecuador,1960,5
Ecuador,1961,4.85
Ecuador,1962,3.85
Ecuador,1963,3.48
Ecuador,1964,4.08
Ecuador,1965,4.58
Ecuador,1966,5.01
Ecuador,1967,4.59
Ecuador,1968,5.15
Ecuador,1969,6.78
Ecuador,1970,7.07
Ecuador,1971,4.83
Ecuador,1972,5.89
Ecuador,1973,7.75
Ecuador,1974,10.67
Ecuador,1975,14.61
Ecuador,1976,14.42
Ecuador,1977,26.31
Ecuador,1978,21.77
Ecuador,1979,23.96
Ecuador,1980,24.38
Ecuador,1981,30.31
Ecuador,1982,27.27
Ecuador,1983,24.94
Ecuador,1984,25.26
Ecuador,1985,27.02
Ecuador,1986,17.81
Ecuador,1987,19.66
Ecuador,1988,22.46
Ecuador,1989,23.13
Ecuador,1990,24.49
Ecuador,1991,24.84
Ecuador,1993,48.72
Ecuador,1994,49.91
Ecuador,1995,46.25
Ecuador,1996,53.43
Ecuador,1997,57.97
Ecuador,1998,44.6
Ecuador,1999,27.31
Ecuador,2000,37.96
Ecuador,2001,40.63
Ecuador,2002,37.07
Ecuador,2003,48.19
Ecuador,2004,43.46
Ecuador,2005,43.04
Ecuador,2006,46.56
Ecuador,2007,54.18
Ecuador,2008,76.14
Ecuador,2009,129.78
Ecuador,2010,100.73
Ecuador,2011,98.78
Ecuador,2012,97.41
Egypt,1869,2.17
Egypt,1870,0.03
Egypt,1871,0.03
Egypt,1873,0.02
Egypt,1874,0.02
Egypt,1875,0.03
Egypt,1880,0.27
Egypt,1881,0.27
Egypt,1882,0.09
Egypt,1937,0.97
Egypt,1938,2.12
Egypt,1939,0.72
Egypt,1940,0.85
Egypt,1941,1.04
Egypt,1942,1.15
Egypt,1943,1.46
Egypt,1944,1.47
Egypt,1945,1.33
Egypt,1946,1.7
Egypt,1947,1.71
Egypt,1948,1.82
Egypt,1949,7.02
Egypt,1950,4.34
Egypt,1951,4.51
Egypt,1952,4.67
Egypt,1953,4.83
Egypt,1954,5.99
Egypt,1955,8.84
Egypt,1956,10.13
Egypt,1957,9.3
Egypt,1958,8.27
Egypt,1959,10.62
Egypt,1960,11.17
Egypt,1961,9.72
Egypt,1962,10.41
Egypt,1963,9.05
Egypt,1964,11.48
Egypt,1965,13.93
Egypt,1966,15.29
Egypt,1967,18.46
Egypt,1968,23.8
Egypt,1969,30.18
Egypt,1970,36.6
Egypt,1971,44.22
Egypt,1972,56.54
Egypt,1973,90.33
Egypt,1974,108.1
Egypt,1975,112.66
Egypt,1976,104.64
Egypt,1977,126.05
Egypt,1978,86.44
Egypt,1979,43.41
Egypt,1980,37.53
Egypt,1981,50.49
Egypt,1982,58.23
Egypt,1983,68.88
Egypt,1984,83.73
Egypt,1985,89.15
Egypt,1986,109.18
Egypt,1987,93.17
Egypt,1988,113.99
Egypt,1989,82.95
Egypt,1990,29.47
Egypt,1991,30.26
Egypt,1992,44.31
Egypt,1993,36.64
Egypt,1994,38.62
Egypt,1995,42.31
Egypt,1996,45.25
Egypt,1997,44.23
Egypt,1998,43.77
Egypt,1999,44.45
Egypt,2000,59.87
Egypt,2001,66.05
Egypt,2002,48.31
Egypt,2003,39.35
Egypt,2004,50.84
Egypt,2005,53.41
Egypt,2006,59.42
Egypt,2007,62.51
Egypt,2008,60.43
Egypt,2009,53.64
Egypt,2010,52.88
Egypt,2011,54.58
Egypt,2012,56.76
El Salvador,1876,1.6
El Salvador,1881,1.42
El Salvador,1882,1.46
El Salvador,1883,0.85
El Salvador,1884,0.84
El Salvador,1885,0.92
El Salvador,1887,0.77
El Salvador,1888,0.84
El Salvador,1889,1
El Salvador,1890,2.88
El Salvador,1892,1.72
El Salvador,1893,1.66
El Salvador,1894,2.62
El Salvador,1896,1.8
El Salvador,1900,0.93
El Salvador,1901,0.97
El Salvador,1902,1.04
El Salvador,1903,0.79
El Salvador,1904,0.86
El Salvador,1905,0.97
El Salvador,1906,1.02
El Salvador,1907,1.04
El Salvador,1909,1.28
El Salvador,1910,1.19
El Salvador,1911,1.18
El Salvador,1912,1.34
El Salvador,1913,1.23
El Salvador,1914,1.56
El Salvador,1920,1.31
El Salvador,1921,0.14
El Salvador,1922,0.14
El Salvador,1923,0.11
El Salvador,1924,0.11
El Salvador,1925,0.13
El Salvador,1926,0.13
El Salvador,1927,0.15
El Salvador,1928,0.18
El Salvador,1929,0.16
El Salvador,1930,0.11
El Salvador,1931,0.11
El Salvador,1932,0.09
El Salvador,1933,0.08
El Salvador,1934,0.64
El Salvador,1935,1.07
El Salvador,1936,0.95
El Salvador,1937,0.87
El Salvador,1938,0.91
El Salvador,1939,0.92
El Salvador,1942,0.87
El Salvador,1943,0.8
El Salvador,1944,0.85
El Salvador,1945,1.04
El Salvador,1946,0.86
El Salvador,1947,1.01
El Salvador,1948,1.3
El Salvador,1949,1.53
El Salvador,1950,2.12
El Salvador,1951,2.48
El Salvador,1952,2.59
El Salvador,1953,3.05
El Salvador,1954,2.79
El Salvador,1955,3.07
El Salvador,1956,3.17
El Salvador,1957,3.4
El Salvador,1958,3.27
El Salvador,1959,2.62
El Salvador,1960,2.37
El Salvador,1961,2.45
El Salvador,1962,3.3
El Salvador,1963,3.13
El Salvador,1964,2.83
El Salvador,1965,3.09
El Salvador,1966,3.03
El Salvador,1967,3.01
El Salvador,1968,2.83
El Salvador,1969,3.09
El Salvador,1970,2.82
El Salvador,1971,3.28
El Salvador,1972,3.41
El Salvador,1973,6.65
El Salvador,1974,6.7
El Salvador,1975,6.96
El Salvador,1976,9.2
El Salvador,1977,11.75
El Salvador,1978,13.51
El Salvador,1979,15.33
El Salvador,1980,15.97
El Salvador,1981,25.29
El Salvador,1982,29.82
El Salvador,1983,33.45
El Salvador,1984,42.89
El Salvador,1985,51.89
El Salvador,1986,32.34
El Salvador,1987,41.19
El Salvador,1988,46.56
El Salvador,1989,26.81
El Salvador,1990,28.59
El Salvador,1991,26.51
El Salvador,1992,31.95
El Salvador,1993,18.54
El Salvador,1994,23.88
El Salvador,1995,25.61
El Salvador,1996,25.71
El Salvador,1997,29.69
El Salvador,1998,27.02
El Salvador,1999,27.79
El Salvador,2000,26.77
El Salvador,2001,25.79
El Salvador,2002,18.14
El Salvador,2003,17.58
El Salvador,2004,17.52
El Salvador,2005,17.45
El Salvador,2006,17.39
El Salvador,2007,18.13
El Salvador,2008,18.69
El Salvador,2009,21.83
El Salvador,2010,21.71
El Salvador,2011,23.34
El Salvador,2012,23.03
Equatorial Guinea,1968,0
Equatorial Guinea,1969,12.34
Equatorial Guinea,1970,11.99
Equatorial Guinea,1971,3.53
Equatorial Guinea,1972,3.7
Equatorial Guinea,1973,3.95
Equatorial Guinea,1974,4.2
Equatorial Guinea,1975,4.44
Equatorial Guinea,1976,16.2
Equatorial Guinea,1980,9.22
Equatorial Guinea,1981,8.66
Equatorial Guinea,1982,23.9
Equatorial Guinea,1994,5.14
Equatorial Guinea,1995,5
Equatorial Guinea,1996,4.88
Equatorial Guinea,1997,11.9
Equatorial Guinea,1998,16.24
Equatorial Guinea,1999,22.62
Equatorial Guinea,2000,8.83
Equatorial Guinea,2001,8.83
Equatorial Guinea,2002,9.07
Equatorial Guinea,2003,10.54
Equatorial Guinea,2004,11.95
Equatorial Guinea,2005,11.59
Equatorial Guinea,2006,12.86
Equatorial Guinea,2007,12.5
Equatorial Guinea,2008,16.72
Equatorial Guinea,2009,11.82
Equatorial Guinea,2011,11.17
Eritrea,1993,30.16
Eritrea,1994,13.29
Eritrea,1995,12.61
Eritrea,1996,18.6
Eritrea,1997,57.49
Eritrea,1998,83.03
Eritrea,1999,83.09
Eritrea,2000,50.91
Eritrea,2001,44.91
Eritrea,2002,35.26
Eritrea,2003,32.86
Eritrea,2004,15.86
Eritrea,2005,13.39
Eritrea,2009,14.03
Eritrea,2011,13.15
Estonia,1918,3.21
Estonia,1919,3.61
Estonia,1920,3.97
Estonia,1921,4.86
Estonia,1922,4.27
Estonia,1923,3.66
Estonia,1924,3.32
Estonia,1925,4.43
Estonia,1926,4.57
Estonia,1927,4.52
Estonia,1928,4.65
Estonia,1929,4.4
Estonia,1930,4.44
Estonia,1931,3.92
Estonia,1932,3.09
Estonia,1933,3.09
Estonia,1934,4.23
Estonia,1935,3.64
Estonia,1936,4.74
Estonia,1937,5.13
Estonia,1938,5.21
Estonia,1939,4.49
Estonia,1940,4.22
Estonia,1992,24.16
Estonia,1993,50.76
Estonia,1994,13.28
Estonia,1995,51.08
Estonia,1996,74.88
Estonia,1997,44.67
Estonia,1998,42.69
Estonia,1999,50.28
Estonia,2000,55.87
Estonia,2001,67.45
Estonia,2002,73.44
Estonia,2003,128.45
Estonia,2004,129.13
Estonia,2005,154.72
Estonia,2006,180.44
Estonia,2007,262
Estonia,2008,344.04
Estonia,2009,268.61
Estonia,2010,254.04
Estonia,2011,301.39
Estonia,2012,338.5
Ethiopia,1959,0.52
Ethiopia,1960,0.73
Ethiopia,1961,0.86
Ethiopia,1962,0.92
Ethiopia,1963,1
Ethiopia,1964,0.92
Ethiopia,1965,1.48
Ethiopia,1966,1.75
Ethiopia,1967,1.84
Ethiopia,1968,1.73
Ethiopia,1969,1.56
Ethiopia,1970,1.47
Ethiopia,1971,1.46
Ethiopia,1972,1.61
Ethiopia,1973,1.86
Ethiopia,1974,2.8
Ethiopia,1975,4.62
Ethiopia,1976,3.64
Ethiopia,1977,3.75
Ethiopia,1978,5.49
Ethiopia,1979,9.53
Ethiopia,1980,12.3
Ethiopia,1981,11.11
Ethiopia,1982,14.01
Ethiopia,1983,14.97
Ethiopia,1984,13.04
Ethiopia,1985,10.1
Ethiopia,1986,9.75
Ethiopia,1987,9.99
Ethiopia,1988,11.04
Ethiopia,1989,10.69
Ethiopia,1990,25.34
Ethiopia,1991,6.93
Ethiopia,1992,14.71
Ethiopia,1993,2.84
Ethiopia,1994,2.18
Ethiopia,1995,2.1
Ethiopia,1996,2.17
Ethiopia,1997,2.23
Ethiopia,1998,6.49
Ethiopia,1999,7.27
Ethiopia,2000,10.71
Ethiopia,2001,8.87
Ethiopia,2002,4.83
Ethiopia,2003,4.15
Ethiopia,2004,3.93
Ethiopia,2005,3.94
Ethiopia,2006,4.41
Ethiopia,2007,4.18
Ethiopia,2008,4.43
Ethiopia,2009,4.81
Ethiopia,2010,3.54
Ethiopia,2011,3.05
Ethiopia,2012,2.77
Fiji,1970,0.92
Fiji,1971,1.1
Fiji,1972,1.35
Fiji,1973,1.6
Fiji,1974,1.78
Fiji,1975,2.56
Fiji,1976,3.8
Fiji,1977,4.2
Fiji,1978,5.24
Fiji,1979,5.97
Fiji,1980,9.26
Fiji,1981,15.41
Fiji,1982,22.74
Fiji,1983,22.09
Fiji,1984,20.89
Fiji,1985,19.79
Fiji,1986,20.2
Fiji,1987,19.38
Fiji,1988,33.33
Fiji,1989,33.44
Fiji,1990,35.1
Fiji,1991,43.72
Fiji,1992,30.95
Fiji,1993,35.28
Fiji,1994,43.37
Fiji,1995,60.3
Fiji,1996,61.48
Fiji,1997,59.33
Fiji,1998,42.71
Fiji,1999,43.42
Fiji,2000,40.39
Fiji,2001,32.1
Fiji,2002,35.54
Fiji,2003,36.72
Fiji,2004,36.63
