Entity,Year,Annual productivity growth rate
Russia,2003,7.067731
Russia,2004,5.833685
Russia,2005,5.191971
Russia,2006,6.593516
Russia,2007,5.844393
Russia,2008,4.76695
Russia,2009,-4.485691
Russia,2010,3.621743
Russia,2011,2.740254
Russia,2012,3.005631
Russia,2013,1.988704
Russia,2014,0.273674
Russia,2015,-3.529253
Russia,2016,-0.125829
Slovakia,1996,6.497936
Slovakia,1997,6.566514
Slovakia,1998,4.971422
Slovakia,1999,2.705703
Slovakia,2000,3.262621
Slovakia,2001,3.573241
Slovakia,2002,7.203266
Slovakia,2003,7.761696
Slovakia,2004,2.81074
Slovakia,2005,3.42303
Slovakia,2006,5.944183
Slovakia,2007,7.515898
Slovakia,2008,2.208327
Slovakia,2009,-2.829168
Slovakia,2010,5.189731
Slovakia,2011,1.710882
Slovakia,2012,1.831111
Slovakia,2013,3.292241
Slovakia,2014,2.013221
Slovakia,2015,2.157738
Slovakia,2016,1.739437
Slovenia,1996,7.315101
Slovenia,1997,7.85967
Slovenia,1998,2.607023
Slovenia,1999,3.573853
Slovenia,2000,3.733691
Slovenia,2001,3.22257
Slovenia,2002,0.760158
Slovenia,2003,2.960039
Slovenia,2004,3.284253
Slovenia,2005,6.970679
Slovenia,2006,5.835109
Slovenia,2007,4.25416
Slovenia,2008,-0.408089
Slovenia,2009,-6.401713
Slovenia,2010,3.340905
Slovenia,2011,3.404995
Slovenia,2012,-0.648298
Slovenia,2013,-1.079122
Slovenia,2014,1.420844
Slovenia,2015,0.650464
Slovenia,2016,2.465496
South Africa,2002,4.350918
South Africa,2003,7.161331
South Africa,2004,1.512697
South Africa,2005,-3.065891
South Africa,2006,4.119881
South Africa,2007,4.693192
South Africa,2008,-3.135749
South Africa,2009,2.74549
South Africa,2010,6.71635
South Africa,2011,0.36764
South Africa,2012,1.065197
South Africa,2013,-0.004376
South Africa,2014,-0.054228
South Korea,1971,4.204545
South Korea,1972,0.243472
South Korea,1973,7.056002
South Korea,1974,2.870243
South Korea,1975,4.574766
South Korea,1976,3.413062
South Korea,1977,9.984443
South Korea,1978,4.652615
South Korea,1979,7.701799
South Korea,1980,-1.738696
South Korea,1981,4.000815
South Korea,1982,5.110105
South Korea,1983,11.564225
South Korea,1984,11.177401
South Korea,1985,4.756587
South Korea,1986,6.316494
South Korea,1987,7.77639
South Korea,1988,10.249263
South Korea,1989,6.695799
South Korea,1990,8.774246
South Korea,1991,7.8103
South Korea,1992,5.019238
South Korea,1993,4.917926
South Korea,1994,6.424223
South Korea,1995,6.234107
South Korea,1996,5.743821
South Korea,1997,6.355444
South Korea,1998,4.452035
South Korea,1999,9.086836
South Korea,2000,3.766229
South Korea,2001,3.037725
South Korea,2002,6.299372
South Korea,2003,4.423263
South Korea,2004,4.231127
South Korea,2005,4.317792
South Korea,2006,4.076112
South Korea,2007,5.989913
South Korea,2008,4.958614
South Korea,2009,3.10563
South Korea,2010,5.586572
South Korea,2011,3.338482
South Korea,2012,1.626741
South Korea,2013,1.747127
South Korea,2014,2.408955
South Korea,2015,1.113927
South Korea,2016,2.294688
Spain,1971,4.098975
Spain,1972,8.044275
Spain,1973,6.317832
Spain,1974,4.558431
Spain,1975,1.702637
Spain,1976,3.894084
Spain,1977,3.878287
Spain,1978,4.662203
Spain,1979,4.08531
Spain,1980,6.043953
Spain,1981,4.150176
Spain,1982,3.317587
Spain,1983,3.895438
Spain,1984,6.710087
Spain,1985,3.958512
Spain,1986,1.36678
Spain,1987,1.174536
Spain,1988,1.766246
Spain,1989,1.852209
Spain,1990,-0.131775
Spain,1991,0.815597
Spain,1992,2.817751
Spain,1993,2.322454
Spain,1994,2.928837
Spain,1995,0.836367
Spain,1996,1.129896
Spain,1997,-0.179459
Spain,1998,-0.55779
Spain,1999,-0.352639
Spain,2000,0.493793
Spain,2001,0.087211
Spain,2002,0.173853
Spain,2003,0.354752
Spain,2004,0.247433
Spain,2005,0.372678
Spain,2006,0.582629
Spain,2007,1.192472
Spain,2008,0.397573
Spain,2009,2.451997
Spain,2010,2.334823
Spain,2011,1.427723
Spain,2012,1.997775
Spain,2013,1.396312
Spain,2014,0.321449
Spain,2015,0.448307
Spain,2016,0.629082
Sweden,1971,3.047192
Sweden,1972,4.41423
Sweden,1973,4.58862
Sweden,1974,2.375614
Sweden,1975,2.078696
Sweden,1976,-0.037958
Sweden,1977,0.269625
Sweden,1978,3.790752
Sweden,1979,3.248214
Sweden,1980,0.29967
Sweden,1981,0.852753
Sweden,1982,0.497678
Sweden,1983,1.051687
Sweden,1984,3.221937
Sweden,1985,0.852752
Sweden,1986,2.193133
Sweden,1987,1.863873
Sweden,1988,-0.095214
Sweden,1989,1.253745
Sweden,1990,0.068484
Sweden,1991,1.217954
Sweden,1992,2.281309
Sweden,1993,2.229426
Sweden,1994,2.630328
Sweden,1995,2.046825
Sweden,1996,1.549798
Sweden,1997,3.931867
Sweden,1998,2.599977
Sweden,1999,1.858856
Sweden,2000,3.644322
Sweden,2001,0.937796
Sweden,2002,3.517432
Sweden,2003,3.84547
Sweden,2004,3.491919
Sweden,2005,2.574981
Sweden,2006,3.325638
Sweden,2007,0.298
Sweden,2008,-1.773054
Sweden,2009,-2.368939
Sweden,2010,3.317645
Sweden,2011,0.674404
Sweden,2012,-0.14971
Sweden,2013,0.880996
Sweden,2014,1.139239
Sweden,2015,2.958514
Sweden,2016,0.539302
Switzerland,1971,2.729516
Switzerland,1972,2.982765
Switzerland,1973,3.488594
Switzerland,1974,3.054091
Switzerland,1975,-2.14025
Switzerland,1976,2.116493
Switzerland,1977,3.089651
Switzerland,1978,0.081268
Switzerland,1979,2.247581
Switzerland,1980,3.102675
Switzerland,1981,0.427492
Switzerland,1982,-1.541691
Switzerland,1983,1.990303
Switzerland,1984,3.627816
Switzerland,1985,2.023274
Switzerland,1986,-0.02212
Switzerland,1987,-0.85662
Switzerland,1988,0.712723
Switzerland,1989,2.443463
Switzerland,1990,1.053566
Switzerland,1991,2.9319
Switzerland,1992,0.885005
Switzerland,1993,0.915702
Switzerland,1994,0.700358
Switzerland,1995,1.783984
Switzerland,1996,2.211187
Switzerland,1997,3.061544
Switzerland,1998,1.156412
Switzerland,1999,-0.410766
Switzerland,2000,3.211185
Switzerland,2001,2.031188
Switzerland,2002,0.752343
Switzerland,2003,-0.403398
Switzerland,2004,0.653923
Switzerland,2005,2.668222
Switzerland,2006,2.422451
Switzerland,2007,2.122065
Switzerland,2008,0.33236
Switzerland,2009,-2.16653
Switzerland,2010,2.603071
Switzerland,2011,-0.526536
Switzerland,2012,0.266145
Switzerland,2013,1.874199
Switzerland,2014,1.046687
Switzerland,2015,-1.168938
Switzerland,2016,-0.061011
Turkey,1971,4.246054
Turkey,1972,4.951684
Turkey,1973,1.805508
Turkey,1974,3.770504
Turkey,1975,6.7116
Turkey,1976,9.814434
Turkey,1977,1.042409
Turkey,1978,0.988561
Turkey,1979,-1.247733
Turkey,1980,-3.287564
Turkey,1981,4.353407
Turkey,1982,2.883099
Turkey,1983,4.370971
Turkey,1984,8.72614
Turkey,1985,1.087869
Turkey,1986,5.95492
Turkey,1987,9.351029
Turkey,1988,1.01017
Turkey,1989,-3.819743
Turkey,1990,7.499424
Turkey,1991,-3.10648
Turkey,1992,3.575516
Turkey,1993,12.316834
Turkey,1994,-10.959295
Turkey,1995,4.79844
Turkey,1996,3.126823
Turkey,1997,8.275498
Turkey,1998,0.115927
Turkey,1999,-6.575014
Turkey,2000,8.220812
Turkey,2001,-6.172571
Turkey,2002,6.700435
Turkey,2003,6.443465
Turkey,2004,8.987856
Turkey,2005,5.712168
Turkey,2006,4.858725
Turkey,2007,5.300473
Turkey,2008,-0.301991
Turkey,2009,-4.004906
Turkey,2010,2.576707
Turkey,2011,5.416467
Turkey,2012,2.095774
Turkey,2013,6.756479
Turkey,2014,0.074689
Turkey,2015,3.094404
Turkey,2016,1.117993
United Kingdom,1971,6.501713
United Kingdom,1972,5.891247
United Kingdom,1973,1.806075
United Kingdom,1974,-0.697759
United Kingdom,1975,-0.836276
United Kingdom,1976,4.467596
United Kingdom,1977,3.404402
United Kingdom,1978,4.794004
United Kingdom,1979,3.142557
United Kingdom,1980,0.959497
United Kingdom,1981,5.999579
United Kingdom,1982,2.992528
United Kingdom,1983,5.279521
United Kingdom,1984,-0.900567
United Kingdom,1985,1.180743
United Kingdom,1986,2.608087
United Kingdom,1987,3.614103
United Kingdom,1988,-0.184214
United Kingdom,1989,0.405597
United Kingdom,1990,1.120118
United Kingdom,1991,2.033988
United Kingdom,1992,4.743229
United Kingdom,1993,3.664764
United Kingdom,1994,2.472757
United Kingdom,1995,1.096752
United Kingdom,1996,1.452197
United Kingdom,1997,3.579559
United Kingdom,1998,1.1844
United Kingdom,1999,2.288807
United Kingdom,2000,3.260753
United Kingdom,2001,1.72266
United Kingdom,2002,2.657676
United Kingdom,2003,3.039474
United Kingdom,2004,2.149974
United Kingdom,2005,0.880605
United Kingdom,2006,1.788227
United Kingdom,2007,1.397793
United Kingdom,2008,-0.01056
United Kingdom,2009,-2.297879
United Kingdom,2010,2.144426
United Kingdom,2011,0.126549
United Kingdom,2012,-0.492611
United Kingdom,2013,0.257588
United Kingdom,2014,0.269548
United Kingdom,2015,1.670069
United Kingdom,2016,-0.54538
United States,1971,3.752223
United States,1972,2.43645
United States,1973,2.371007
United States,1974,-0.878873
United States,1975,2.745756
United States,1976,2.420745
United States,1977,1.051921
United States,1978,0.817214
United States,1979,0.457157
United States,1980,0.032419
United States,1981,2.376382
United States,1982,-0.43091
United States,1983,2.784035
United States,1984,2.106106
United States,1985,1.906491
United States,1986,2.310428
United States,1987,0.729142
United States,1988,1.182211
United States,1989,0.888682
United States,1990,1.745721
United States,1991,1.344772
United States,1992,3.468158
United States,1993,0.374949
United States,1994,0.855689
United States,1995,0.253949
United States,1996,2.50909
United States,1997,1.488229
United States,1998,2.218908
United States,1999,2.84657
United States,2000,2.761227
United States,2001,2.215706
United States,2002,2.863777
United States,2003,3.022254
United States,2004,2.588558
United States,2005,1.965962
United States,2006,0.804157
United States,2007,0.98592
United States,2008,0.765353
United States,2009,2.894131
United States,2010,2.794132
United States,2011,0.209358
United States,2012,0.238159
United States,2013,0.221718
United States,2014,0.557193
United States,2015,0.72793
United States,2016,0.183476
