Entity,Year,"Age-standardized cancer death rate attributed to tobacco (per 100,000)",Age-standardized share of cancer deaths attributed to tobacco
Marshall Islands,2010,20.3,18.1
Marshall Islands,2016,18.6,17.5
Mauritania,1990,13.6,10
Mauritania,1995,12,8.8
Mauritania,2000,8.8,6.8
Mauritania,2005,6.9,5.5
Mauritania,2006,6.9,5.6
Mauritania,2010,7.4,5.9
Mauritania,2016,9.6,7.4
Mauritius,1990,20.7,19.4
Mauritius,1995,18.9,18.3
Mauritius,2000,16.4,15.9
Mauritius,2005,17,16.3
Mauritius,2006,16.5,16
Mauritius,2010,14.5,14.7
Mauritius,2016,12.9,13.9
Mexico,1990,14.4,13.6
Mexico,1995,14.1,13.4
Mexico,2000,11.6,11.6
Mexico,2005,10.3,10.4
Mexico,2006,9.5,9.8
Mexico,2010,7.9,8.2
Mexico,2016,6.5,7.1
Micronesia,1990,32,22.5
Micronesia,1995,32.7,22.8
Micronesia,2000,33.4,23
Micronesia,2005,32.6,21.8
Micronesia,2006,32.5,21.7
Micronesia,2010,33.7,22.1
Micronesia,2016,33.5,21.9
Moldova,1990,43.6,29.1
Moldova,1995,47.9,29.4
Moldova,2000,31,24.1
Moldova,2005,34.3,24.9
Moldova,2006,33.5,24.4
Moldova,2010,35,25.1
Moldova,2016,28.2,22.2
Mongolia,1990,86.3,33.7
Mongolia,1995,108.2,37.5
Mongolia,2000,97.3,33.9
Mongolia,2005,95.3,32.1
Mongolia,2006,94.5,31.8
Mongolia,2010,88.5,30.5
Mongolia,2016,82.2,30.2
Montenegro,1990,61.3,40.8
Montenegro,1995,66,41.4
Montenegro,2000,68.4,41.8
Montenegro,2005,65.1,41.2
Montenegro,2006,64.2,41.1
Montenegro,2010,58.9,39.7
Montenegro,2016,56.5,38.9
Morocco,1990,18.1,22.4
Morocco,1995,16.6,20.4
Morocco,2000,15.7,19.4
Morocco,2005,15.4,18.9
Morocco,2006,15.4,18.9
Morocco,2010,15.4,18.9
Morocco,2016,15.5,19.1
Mozambique,1990,4.7,3.2
Mozambique,1995,4.6,3.1
Mozambique,2000,5.5,4
Mozambique,2005,6.1,4.6
Mozambique,2006,6.4,4.9
Mozambique,2010,7.4,5.6
Mozambique,2016,7.8,5.6
Myanmar,1990,45,22.5
Myanmar,1995,44.8,22.4
Myanmar,2000,45.9,23
Myanmar,2005,47.7,24.5
Myanmar,2006,47.6,24.7
Myanmar,2010,47.7,25.8
Myanmar,2016,49,27.8
Namibia,1990,3.2,3.9
Namibia,1995,3.5,4.2
Namibia,2000,5.2,5.7
Namibia,2005,4.6,4.8
Namibia,2006,4.4,4.6
Namibia,2010,3.3,3.6
Namibia,2016,2.8,3.1
Nepal,1990,12.8,13.2
Nepal,1995,12.2,12.9
Nepal,2000,11.5,12.4
Nepal,2005,11.2,12
Nepal,2006,11,11.9
Nepal,2010,10.6,11.8
Nepal,2016,11,12.2
Netherlands,1990,69.8,36.2
Netherlands,1995,68.8,35.9
Netherlands,2000,67.3,35.7
Netherlands,2005,64.5,35.1
Netherlands,2006,63.7,34.8
Netherlands,2010,61.9,34.7
Netherlands,2016,55.3,33
New Zealand,1990,54.2,29.1
New Zealand,1995,50.9,27.5
New Zealand,2000,44.7,25.4
New Zealand,2005,39.9,24.5
New Zealand,2006,39.4,24.4
New Zealand,2010,36.1,23.6
New Zealand,2016,33.2,22.4
Nicaragua,1990,2.3,2.9
Nicaragua,1995,3,3.5
Nicaragua,2000,2.8,3.3
Nicaragua,2005,2.8,3.4
Nicaragua,2006,2.7,3.3
Nicaragua,2010,2.7,3.2
Nicaragua,2016,2.8,3.4
Niger,1990,6.4,5.8
Niger,1995,4.7,4.3
Niger,2000,4.4,4.1
Niger,2005,5.3,4.8
Niger,2006,5.7,5.1
Niger,2010,6.8,6.1
Niger,2016,7.2,6.1
Nigeria,1990,3.3,2.8
Nigeria,1995,2.8,2.2
Nigeria,2000,2.5,2.1
Nigeria,2005,2.3,2.1
Nigeria,2006,2.3,2.1
Nigeria,2010,2.2,2.1
Nigeria,2016,2.4,2.2
North Africa and Middle East,1990,21.5,20.9
North Africa and Middle East,1995,22,20.7
North Africa and Middle East,2000,20.5,19.8
North Africa and Middle East,2005,19.4,19.2
North Africa and Middle East,2006,19.2,19.1
North Africa and Middle East,2010,19,19.2
North Africa and Middle East,2016,18,18.6
North America,1990,71.2,39.3
North America,1995,71.9,40.2
North America,2000,67,39.6
North America,2005,61.6,38.9
North America,2006,59.8,38.4
North America,2010,53.5,36.4
North America,2016,52,35.7
North Korea,1990,105.1,56.8
North Korea,1995,103.9,56
North Korea,2000,103.6,54.2
North Korea,2005,103.6,53.7
North Korea,2006,103,53.4
North Korea,2010,100.7,52.6
North Korea,2016,97.8,51.8
Northern Ireland,1990,62.2,33.2
Northern Ireland,1995,58.9,33.2
Northern Ireland,2000,56.4,33.3
Northern Ireland,2005,55.1,33.3
Northern Ireland,2006,55.1,33.4
Northern Ireland,2010,53.1,33.2
Northern Ireland,2016,50.8,32.1
Northern Mariana Islands,1990,59.5,40.8
Northern Mariana Islands,1995,54.9,40.3
Northern Mariana Islands,2000,50.6,39
Northern Mariana Islands,2005,55,40.3
Northern Mariana Islands,2006,55.7,40.4
Northern Mariana Islands,2010,56.7,40.4
Northern Mariana Islands,2016,62.5,43.1
Norway,1990,33.9,20.7
Norway,1995,37.8,22.8
Norway,2000,41,25
Norway,2005,40.9,26.1
Norway,2006,40.7,26.3
Norway,2010,40.6,26.9
Norway,2016,33.5,24.1
Oceania,1990,21.7,19.2
Oceania,1995,22,19.5
Oceania,2000,21.6,19.3
Oceania,2005,22,19.3
Oceania,2006,22,19.3
Oceania,2010,21.8,19.2
Oceania,2016,21.6,19.3
Oman,1990,2.4,3.8
Oman,1995,3.7,5.7
Oman,2000,2.9,4.5
Oman,2005,3.1,4.9
Oman,2006,3.3,5
Oman,2010,4.9,7
Oman,2016,7.6,11
Pakistan,1990,13.8,14.4
Pakistan,1995,17.6,16.1
Pakistan,2000,23.5,19.2
Pakistan,2005,23,18.7
Pakistan,2006,22.7,18.6
Pakistan,2010,21.4,17.8
Pakistan,2016,21.4,18
Palestine,1990,17.6,16.8
Palestine,1995,18.3,17.3
Palestine,2000,21.3,19.1
Palestine,2005,23.6,20.1
Palestine,2006,23.9,20.4
Palestine,2010,27.1,22.2
Palestine,2016,32,23.7
Panama,1990,17.8,14.3
Panama,1995,17.4,14.3
Panama,2000,13.3,11.7
Panama,2005,12.3,11.2
Panama,2006,11.8,10.9
Panama,2010,10,9.5
Panama,2016,8.7,8.6
Papua New Guinea,1990,23.5,19.4
Papua New Guinea,1995,24.1,19.8
Papua New Guinea,2000,23.7,19.5
Papua New Guinea,2005,24.2,19.4
Papua New Guinea,2006,24.2,19.3
Papua New Guinea,2010,23.9,19.1
Papua New Guinea,2016,23.9,19.5
Paraguay,1990,11.8,11.1
Paraguay,1995,14,12.4
Paraguay,2000,19.4,15.5
Paraguay,2005,21.7,16.5
Paraguay,2006,21.8,16.5
Paraguay,2010,22.7,16.9
Paraguay,2016,22.8,16.9
Peru,1990,17.2,12.8
Peru,1995,20.3,14.2
Peru,2000,13.3,10
Peru,2005,10,8.4
Peru,2006,9.7,8.4
Peru,2010,9.8,8.5
Peru,2016,8.3,7.7
Philippines,1990,21.8,21.3
Philippines,1995,27.9,25
Philippines,2000,33.4,25.9
Philippines,2005,31.8,25.1
Philippines,2006,31.3,24.5
Philippines,2010,27.7,22.4
Philippines,2016,26.6,22.3
Poland,1990,70.7,35.6
Poland,1995,73.3,36.1
Poland,2000,73.2,36.2
Poland,2005,70,36.2
Poland,2006,69.9,36.2
Poland,2010,66.6,36
Poland,2016,56.5,33.3
Portugal,1990,32.1,19
Portugal,1995,34.9,20.5
Portugal,2000,35.2,21.1
Portugal,2005,36.3,22.9
Portugal,2006,36.2,23.1
Portugal,2010,34.9,23
Portugal,2016,29.8,21.2
Puerto Rico,1990,23.5,17.5
Puerto Rico,1995,23.6,17.7
Puerto Rico,2000,18.2,15.2
Puerto Rico,2005,15.9,13.9
Puerto Rico,2006,16,14
Puerto Rico,2010,16.2,14.1
Puerto Rico,2016,14.5,13.1
Qatar,1990,14.1,14.6
Qatar,1995,17.9,17.4
Qatar,2000,12.1,13.1
Qatar,2005,14.1,15.5
Qatar,2006,13.9,15.5
Qatar,2010,14,16.7
Qatar,2016,13.3,15.9
Romania,1990,34.1,25.8
Romania,1995,42.7,28.8
Romania,2000,40.5,27.9
Romania,2005,44.4,29.2
Romania,2006,44.7,29.4
Romania,2010,49.4,31.2
Romania,2016,44.3,29.4
Russia,1990,56.6,32.6
Russia,1995,68.5,34.3
Russia,2000,53.8,30.5
Russia,2005,50.4,29.1
Russia,2006,46.2,28
Russia,2010,41.5,26.4
Russia,2016,36.3,24.4
Rwanda,1990,6.8,4.6
Rwanda,1995,10.9,6.9
Rwanda,2000,6.7,4.7
Rwanda,2005,4.1,3.2
Rwanda,2006,4.3,3.3
Rwanda,2010,4.7,3.6
Rwanda,2016,5.2,3.9
Saint Lucia,1990,16.2,10.6
Saint Lucia,1995,14.1,9.7
Saint Lucia,2000,13.5,9.4
Saint Lucia,2005,14.2,9.9
Saint Lucia,2006,13.4,9.6
Saint Lucia,2010,10.2,8
Saint Lucia,2016,11.4,8.8
Saint Vincent and the Grenadines,1990,13.2,8
Saint Vincent and the Grenadines,1995,14.5,8.5
Saint Vincent and the Grenadines,2000,15.7,8.6
Saint Vincent and the Grenadines,2005,13.8,8
Saint Vincent and the Grenadines,2006,13.8,8
Saint Vincent and the Grenadines,2010,13.5,7.7
Saint Vincent and the Grenadines,2016,15.5,8.5
Samoa,1990,8.9,7.7
Samoa,1995,8.1,7
Samoa,2000,7,6.3
Samoa,2005,6.3,5.9
Samoa,2006,6.2,5.8
Samoa,2010,6,5.5
Samoa,2016,5.5,5.1
Sao Tome and Principe,1990,15.2,12.8
Sao Tome and Principe,1995,15.5,12.5
Sao Tome and Principe,2000,17.9,13.6
Sao Tome and Principe,2005,20.1,15.2
Sao Tome and Principe,2006,20.2,15.4
Sao Tome and Principe,2010,20,15.4
Sao Tome and Principe,2016,22.6,17.3
Saudi Arabia,1990,5,6.2
Saudi Arabia,1995,5.7,6.5
Saudi Arabia,2000,7.1,7.4
Saudi Arabia,2005,8.3,8.5
Saudi Arabia,2006,8.5,8.7
Saudi Arabia,2010,9.7,9.9
Saudi Arabia,2016,8.6,9.5
Scotland,1990,87.7,43.7
Scotland,1995,89.4,42.3
Scotland,2000,81.5,40.4
Scotland,2005,78.8,40.3
Scotland,2006,77,40
Scotland,2010,72.3,39
Scotland,2016,67.6,37.8
Senegal,1990,12.8,10
Senegal,1995,11.2,8.7
Senegal,2000,10.4,7.9
Senegal,2005,11.8,8.4
Senegal,2006,12.4,8.7
Senegal,2010,13.9,9.6
Senegal,2016,16.9,11.4
Serbia,1990,51.5,30.5
Serbia,1995,56.1,31.4
Serbia,2000,59.3,32.3
Serbia,2005,64.1,34
Serbia,2006,64,34.1
Serbia,2010,64,34.6
Serbia,2016,57.8,33.1
Seychelles,1990,32.1,19.3
Seychelles,1995,37.5,21.6
Seychelles,2000,34.8,19.5
Seychelles,2005,33.8,19.5
Seychelles,2006,32.6,19.1
Seychelles,2010,28.6,17.5
Seychelles,2016,25.5,15.7
Sierra Leone,1990,7.6,6.5
Sierra Leone,1995,7.6,6.3
Sierra Leone,2000,7.6,6.2
Sierra Leone,2005,9.1,7.2
Sierra Leone,2006,9.4,7.4
Sierra Leone,2010,10.7,8
Sierra Leone,2016,12,8.6
Slovakia,1990,65.6,33.4
Slovakia,1995,61.1,31.6
Slovakia,2000,58.6,30.5
Slovakia,2005,52.9,28.7
Slovakia,2006,52.1,28.3
Slovakia,2010,49,27.5
Slovakia,2016,42.6,25.3
Slovenia,1990,58,31.1
Slovenia,1995,59.3,31
Slovenia,2000,58.1,30.6
Slovenia,2005,56.2,30.3
Slovenia,2006,55,30
Slovenia,2010,47.8,28.1
Slovenia,2016,38.8,25
Solomon Islands,1990,31.6,21.6
Solomon Islands,1995,32.3,22
Solomon Islands,2000,33.3,21.9
Solomon Islands,2005,33.9,21.6
Solomon Islands,2006,34.4,21.7
Solomon Islands,2010,35.8,22
Solomon Islands,2016,35.1,22
Somalia,1990,5,3
Somalia,1995,5.1,3
Somalia,2000,4.3,2.6
Somalia,2005,4,2.5
Somalia,2006,4.1,2.5
Somalia,2010,4.1,2.5
Somalia,2016,4.5,2.8
South Africa,1990,35.3,27
South Africa,1995,35,26.5
South Africa,2000,40.5,26.5
South Africa,2005,31.4,21.9
South Africa,2006,31.5,21.7
South Africa,2010,30.9,21.6
South Africa,2016,29.5,22.1
South Asia,1990,11.1,12.8
South Asia,1995,11.2,12.8
South Asia,2000,11.4,13
South Asia,2005,11.4,12.9
South Asia,2006,11.4,12.9
South Asia,2010,11.7,13.1
South Asia,2016,12.8,14.2
South Sudan,1990,2.5,2.1
South Sudan,1995,3.1,2.4
South Sudan,2000,2.9,2.3
South Sudan,2005,2.7,2.2
South Sudan,2006,2.9,2.3
South Sudan,2010,2.8,2.3
South Sudan,2016,3.2,2.5
Southeast Asia,1990,29.6,25
Southeast Asia,1995,31.2,25.7
Southeast Asia,2000,33.1,26.4
Southeast Asia,2005,33.6,26.9
Southeast Asia,2006,33.6,26.9
Southeast Asia,2010,32.4,26.7
Southeast Asia,2016,31.5,26.7
Southern Latin America,1990,42.9,23.4
Southern Latin America,1995,41,23
Southern Latin America,2000,37.4,21.7
Southern Latin America,2005,34.9,21
Southern Latin America,2006,34.5,21
Southern Latin America,2010,32.9,20.8
Southern Latin America,2016,30.7,20.4
Southern Sub-Saharan Africa,1990,34.3,24.7
Southern Sub-Saharan Africa,1995,32.6,23.7
Southern Sub-Saharan Africa,2000,37.9,23.7
Southern Sub-Saharan Africa,2005,32.3,20.3
Southern Sub-Saharan Africa,2006,32.3,20.2
Southern Sub-Saharan Africa,2010,31.4,20
Southern Sub-Saharan Africa,2016,29.4,20
Spain,1990,46,28.3
Spain,1995,47.4,29.3
Spain,2000,46.1,29.3
Spain,2005,44.3,29.6
Spain,2006,43.5,29.5
Spain,2010,40.7,29.1
Spain,2016,34.4,26.4
Sri Lanka,1990,5.8,7.3
Sri Lanka,1995,6.5,8
Sri Lanka,2000,7.3,8.4
Sri Lanka,2005,8.1,9.8
Sri Lanka,2006,8.3,10.1
Sri Lanka,2010,8,10.2
Sri Lanka,2016,6.3,8.4
Sub-Saharan Africa,1990,10.6,7.8
Sub-Saharan Africa,1995,10.1,7.4
Sub-Saharan Africa,2000,10.4,7.5
Sub-Saharan Africa,2005,9.4,7
Sub-Saharan Africa,2006,9.5,7
Sub-Saharan Africa,2010,9.5,7.1
Sub-Saharan Africa,2016,9.9,7.4
Sudan,1990,10.5,11
Sudan,1995,10.4,10.7
Sudan,2000,10.7,11
Sudan,2005,11.3,11.6
Sudan,2006,11.3,11.6
Sudan,2010,10.5,11.2
Sudan,2016,10.6,11.1
Suriname,1990,13.8,11.4
Suriname,1995,14.6,11.8
Suriname,2000,17.4,13
Suriname,2005,18.4,13.2
Suriname,2006,18.7,13.3
Suriname,2010,18.9,13.4
Suriname,2016,19.3,13.7
Swaziland,1990,33.4,21.4
Swaziland,1995,32.3,21.7
Swaziland,2000,44.3,26.2
Swaziland,2005,47,26.5
Swaziland,2006,45.8,26.3
Swaziland,2010,42.2,26.1
Swaziland,2016,36.1,24.3
Sweden,1990,28.8,18.4
Sweden,1995,27,17.9
Sweden,2000,28.1,18.8
Sweden,2005,29.5,20
Sweden,2006,28.7,19.9
Sweden,2010,26.8,19.5
Sweden,2016,25.5,18.9
Switzerland,1990,43.5,28.4
Switzerland,1995,42.3,27.7
Switzerland,2000,40.3,27.3
Switzerland,2005,37.1,27
Switzerland,2006,36.6,26.8
Switzerland,2010,34.6,26.5
Switzerland,2016,29.3,24.1
Syria,1990,5.4,7.8
Syria,1995,5.4,7.5
Syria,2000,6,8.2
Syria,2005,5.6,8
Syria,2006,5.7,8.4
Syria,2010,7.9,11.5
Syria,2016,6.6,9.8
Taiwan,1990,46,30.1
Taiwan,1995,58.2,33.9
Taiwan,2000,65.3,36.3
Taiwan,2005,62.6,36.2
Taiwan,2006,60.9,35.9
Taiwan,2010,56.2,34.7
Taiwan,2016,52.5,33.4
Tajikistan,1990,20.5,17.9
Tajikistan,1995,10.7,10.5
Tajikistan,2000,7.2,7.3
Tajikistan,2005,7.5,7.6
Tajikistan,2006,7,7.3
Tajikistan,2010,6.5,7.1
Tajikistan,2016,5.2,6.2
Tanzania,1990,5.4,3.8
Tanzania,1995,5.3,3.6
Tanzania,2000,5.1,3.5
Tanzania,2005,5.4,3.8
Tanzania,2006,5.5,3.9
Tanzania,2010,5.9,4.2
Tanzania,2016,7.4,5.1
Thailand,1990,48.2,32.9
Thailand,1995,48.2,32.8
Thailand,2000,50.4,33.7
Thailand,2005,46.4,31.9
Thailand,2006,46.2,31.9
Thailand,2010,41.9,31
Thailand,2016,39.4,30.4
Timor,1990,15.9,15.1
Timor,1995,16.2,15.6
Timor,2000,12.8,12.7
Timor,2005,14.8,14.6
Timor,2006,14.5,14.7
Timor,2010,13.8,14.4
Timor,2016,14.5,14.9
Togo,1990,11.2,8.5
Togo,1995,11.8,8.9
Togo,2000,12.7,9.5
Togo,2005,13.4,10
Togo,2006,13.7,10.2
Togo,2010,15.2,10.9
Togo,2016,16.1,11.1
Tonga,1990,57.2,28.5
Tonga,1995,58.6,28.5
Tonga,2000,57.6,28.2
Tonga,2005,55.8,28.3
Tonga,2006,54.8,28.2
Tonga,2010,53.5,27.8
Tonga,2016,51.8,27.3
Trinidad and Tobago,1990,15.4,9.9
Trinidad and Tobago,1995,15,9.5
Trinidad and Tobago,2000,14.8,9.9
Trinidad and Tobago,2005,12.7,9.1
Trinidad and Tobago,2006,12.5,9.1
Trinidad and Tobago,2010,12.6,9.3
Trinidad and Tobago,2016,11.1,8.4
Tunisia,1990,32.5,27.6
Tunisia,1995,33.5,27.8
Tunisia,2000,29.7,26.2
Tunisia,2005,25.6,24.1
Tunisia,2006,25.5,24.2
Tunisia,2010,25.2,24.2
Tunisia,2016,27.3,25.8
Turkey,1990,54.2,36.5
Turkey,1995,54.8,35.6
Turkey,2000,48.9,34.6
Turkey,2005,45.1,34.6
Turkey,2006,43.7,34.5
Turkey,2010,41.4,34.5
Turkey,2016,36.6,32.3
Turkmenistan,1990,28.4,21.3
Turkmenistan,1995,21.9,18.9
Turkmenistan,2000,14.8,15.1
Turkmenistan,2005,10.1,11.4
Turkmenistan,2006,9.9,11.2
Turkmenistan,2010,10,10.9
Turkmenistan,2016,8.8,10.2
Uganda,1990,8.1,4.6
Uganda,1995,9.2,4.9
Uganda,2000,8.8,4.9
Uganda,2005,10,5.4
Uganda,2006,10.2,5.5
Uganda,2010,9.5,5.3
Uganda,2016,10.6,5.9
Ukraine,1990,53.7,32.9
Ukraine,1995,62.5,34
Ukraine,2000,48.2,30.1
Ukraine,2005,44.1,28.2
Ukraine,2006,41,27.3
Ukraine,2010,32.4,24
Ukraine,2016,29.7,23.4
United Arab Emirates,1990,11.5,12.1
United Arab Emirates,1995,12.6,13.1
United Arab Emirates,2000,13.7,14.3
United Arab Emirates,2005,13.1,14.4
United Arab Emirates,2006,13.6,15
United Arab Emirates,2010,21.3,21.8
United Arab Emirates,2016,17.9,18.1
United Kingdom,1990,71.5,36.2
United Kingdom,1995,66.8,35
United Kingdom,2000,60.5,33.6
United Kingdom,2005,56.8,33.1
United Kingdom,2006,55.5,32.9
United Kingdom,2010,51.8,32
United Kingdom,2016,49.9,31.4
United States,1990,71.6,39.7
United States,1995,72.3,40.5
United States,2000,67.4,40
United States,2005,61.8,39.1
United States,2006,59.8,38.6
United States,2010,53.6,36.6
United States,2016,52.3,36
Uruguay,1990,68.3,30.3
Uruguay,1995,65.4,29.6
Uruguay,2000,58.9,27.5
Uruguay,2005,55.8,27
Uruguay,2006,55.4,27
Uruguay,2010,54.2,27.3
Uruguay,2016,52,27.2
Uzbekistan,1990,25,23
Uzbekistan,1995,21.5,20.4
Uzbekistan,2000,15.8,16.5
Uzbekistan,2005,13.2,14.2
Uzbekistan,2006,12.5,13.8
Uzbekistan,2010,9.5,11.3
Uzbekistan,2016,9.1,11.2
Vanuatu,1990,30.1,22.9
Vanuatu,1995,31.9,23.6
Vanuatu,2000,32.9,23.6
Vanuatu,2005,33,23.2
Vanuatu,2006,32.7,22.9
Vanuatu,2010,31.5,22.2
Vanuatu,2016,29.7,21.1
Venezuela,1990,24,18.3
Venezuela,1995,24,18.3
Venezuela,2000,22.5,18
Venezuela,2005,21.9,18
Venezuela,2006,22.7,18.5
Venezuela,2010,22.2,18.5
Venezuela,2016,22.8,18.9
Vietnam,1990,61.3,39.7
Vietnam,1995,65.5,41.1
Vietnam,2000,71.3,43.6
Vietnam,2005,74.9,45.2
Vietnam,2006,74.8,45.3
Vietnam,2010,73.5,45.3
Vietnam,2016,72.6,45.8
"Virgin Islands, U.S.",1990,32.7,17.9
"Virgin Islands, U.S.",1995,33.7,18.1
"Virgin Islands, U.S.",2000,32.6,17.7
"Virgin Islands, U.S.",2005,30.4,16.9
"Virgin Islands, U.S.",2006,30.5,17
"Virgin Islands, U.S.",2010,31.7,17.5
"Virgin Islands, U.S.",2016,30.8,17.4
Wales,1990,69.1,35
Wales,1995,64.4,33.7
Wales,2000,59.4,32.7
Wales,2005,58.5,33.4
Wales,2006,57.5,33.2
Wales,2010,54.3,32.2
Wales,2016,53.4,32
Western Europe,1990,55.5,30.5
Western Europe,1995,54.1,30.5
Western Europe,2000,50.6,29.9
Western Europe,2005,47.3,29.5
Western Europe,2006,46.8,29.5
Western Europe,2010,44.9,29.4
Western Europe,2016,40.4,27.9
Western Sub-Saharan Africa,1990,5.8,4.7
Western Sub-Saharan Africa,1995,5.7,4.4
Western Sub-Saharan Africa,2000,5.7,4.5
Western Sub-Saharan Africa,2005,5.8,4.8
Western Sub-Saharan Africa,2006,5.9,4.9
Western Sub-Saharan Africa,2010,6.2,5.2
Western Sub-Saharan Africa,2016,6.8,5.5
World,1990,38.1,23.6
World,1995,38.7,24
World,2000,37.2,23.7
World,2005,35.9,23.9
World,2006,34.9,23.6
World,2010,32.8,23.2
World,2016,29.5,22.1
Yemen,1990,11.1,11.1
Yemen,1995,11.8,11.7
Yemen,2000,12.8,12.4
Yemen,2005,14.5,13.8
Yemen,2006,14.6,13.9
Yemen,2010,15.4,15
Yemen,2016,16.3,15.5
Zambia,1990,2.1,1.5
Zambia,1995,2.8,1.7
Zambia,2000,4.1,2.3
Zambia,2005,6.7,3.7
Zambia,2006,7,3.9
Zambia,2010,8.1,4.6
Zambia,2016,9,5.3
Zimbabwe,1990,37.8,18.7
Zimbabwe,1995,24.6,13.1
Zimbabwe,2000,26.6,12.4
Zimbabwe,2005,37.2,14.1
Zimbabwe,2006,37,14.1
Zimbabwe,2010,34.7,13.6
Zimbabwe,2016,29.2,11.8
