Entity,Year,Rate of Natural Population Increase (UN Population Division (2015))
Ghana,1995,2.7385
Ghana,2000,2.4466
Ghana,2005,2.3862
Ghana,2010,2.3969
Ghana,2015,2.4297
Greece,1955,0.9052
Greece,1960,0.9601
Greece,1965,0.8741
Greece,1970,0.7937
Greece,1975,0.5405
Greece,1980,0.5576
Greece,1985,0.3554
Greece,1990,0.1298
Greece,1995,0.0862
Greece,2000,0.0286
Greece,2005,0.0037
Greece,2010,0.0498
Greece,2015,-0.1565
Grenada,1955,2.5196
Grenada,1960,3.2894
Grenada,1965,2.9681
Grenada,1970,1.9407
Grenada,1975,2.0224
Grenada,1980,2.0761
Grenada,1985,2.3696
Grenada,1990,2.3202
Grenada,1995,1.6058
Grenada,2000,1.2442
Grenada,2005,1.0682
Grenada,2010,1.1559
Grenada,2015,1.2145
Guadeloupe,1955,2.5886
Guadeloupe,1960,2.6293
Guadeloupe,1965,2.4935
Guadeloupe,1970,2.4158
Guadeloupe,1975,2.0433
Guadeloupe,1980,1.644
Guadeloupe,1985,1.2639
Guadeloupe,1990,1.3554
Guadeloupe,1995,1.1244
Guadeloupe,2000,1.0791
Guadeloupe,2005,0.941
Guadeloupe,2010,0.8401
Guadeloupe,2015,0.6645
Guam,1955,2.2362
Guam,1960,2.6736
Guam,1965,3.1055
Guam,1970,2.6452
Guam,1975,2.6192
Guam,1980,2.4889
Guam,1985,2.2357
Guam,1990,2.2355
Guam,1995,1.9332
Guam,2000,1.8454
Guam,2005,1.6102
Guam,2010,1.3611
Guam,2015,1.2686
Guatemala,1955,2.7951
Guatemala,1960,2.6844
Guatemala,1965,2.8033
Guatemala,1970,2.8987
Guatemala,1975,3.0719
Guatemala,1980,3.1764
Guatemala,1985,3.1999
Guatemala,1990,2.9892
Guatemala,1995,2.99
Guatemala,2000,2.9235
Guatemala,2005,2.7257
Guatemala,2010,2.4083
Guatemala,2015,2.2277
Guinea,1955,1.3885
Guinea,1960,1.5736
Guinea,1965,1.6861
Guinea,1970,1.7577
Guinea,1975,1.9558
Guinea,1980,2.255
Guinea,1985,2.5461
Guinea,1990,2.8541
Guinea,1995,2.9617
Guinea,2000,2.8382
Guinea,2005,2.6811
Guinea,2010,2.7057
Guinea,2015,2.72
Guinea-Bissau,1955,1.7987
Guinea-Bissau,1960,1.7122
Guinea-Bissau,1965,1.7702
Guinea-Bissau,1970,1.9493
Guinea-Bissau,1975,2.1916
Guinea-Bissau,1980,2.4418
Guinea-Bissau,1985,2.787
Guinea-Bissau,1990,2.7837
Guinea-Bissau,1995,2.7655
Guinea-Bissau,2000,2.6372
Guinea-Bissau,2005,2.5531
Guinea-Bissau,2010,2.5368
Guinea-Bissau,2015,2.5313
Guyana,1955,3.0341
Guyana,1960,3.0573
Guyana,1965,2.7672
Guyana,1970,2.6265
Guyana,1975,2.6934
Guyana,1980,2.6307
Guyana,1985,2.5719
Guyana,1990,2.425
Guyana,1995,2.301
Guyana,2000,1.9138
Guyana,2005,1.5893
Guyana,2010,1.2032
Guyana,2015,1.0787
Haiti,1955,1.917
Haiti,1960,2.0979
Haiti,1965,2.2463
Haiti,1970,2.2072
Haiti,1975,2.1108
Haiti,1980,2.3879
Haiti,1985,2.718
Haiti,1990,2.5231
Haiti,1995,2.3059
Haiti,2000,2.1367
Haiti,2005,1.9182
Haiti,2010,1.8153
Haiti,2015,1.6638
High-income countries,1955,1.2506
High-income countries,1960,1.2878
High-income countries,1965,1.1772
High-income countries,1970,0.9197
High-income countries,1975,0.7951
High-income countries,1980,0.6809
High-income countries,1985,0.6413
High-income countries,1990,0.5874
High-income countries,1995,0.4428
High-income countries,2000,0.3219
High-income countries,2005,0.2813
High-income countries,2010,0.3218
High-income countries,2015,0.2802
Honduras,1955,2.744
Honduras,1960,2.9606
Honduras,1965,3.1165
Honduras,1970,3.2409
Honduras,1975,3.2173
Honduras,1980,3.3106
Honduras,1985,3.3103
Honduras,1990,3.2204
Honduras,1995,3.0788
Honduras,2000,2.812
Honduras,2005,2.3991
Honduras,2010,2.0125
Honduras,2015,1.672
Hong Kong,1955,3.1352
Hong Kong,1960,2.9347
Hong Kong,1965,2.9172
Hong Kong,1970,1.7226
Hong Kong,1975,1.5906
Hong Kong,1980,1.26
Hong Kong,1985,1.0647
Hong Kong,1990,0.7818
Hong Kong,1995,0.6521
Hong Kong,2000,0.2729
Hong Kong,2005,0.2942
Hong Kong,2010,0.3076
Hong Kong,2015,0.4045
Hungary,1955,0.9736
Hungary,1960,0.6992
Hungary,1965,0.3276
Hungary,1970,0.3607
Hungary,1975,0.3864
Hungary,1980,0.3126
Hungary,1985,-0.1248
Hungary,1990,-0.1683
Hungary,1995,-0.2505
Hungary,2000,-0.4013
Hungary,2005,-0.3825
Hungary,2010,-0.3523
Hungary,2015,-0.3817
Iceland,1955,2.0438
Iceland,1960,2.1151
Iceland,1965,1.8993
Iceland,1970,1.5024
Iceland,1975,1.3853
Iceland,1980,1.2641
Iceland,1985,1.1095
Iceland,1990,1.0296
Iceland,1995,1.0475
Iceland,2000,0.8578
Iceland,2005,0.8054
Iceland,2010,0.8625
Iceland,2015,0.7266
India,1955,1.6833
India,1960,1.8807
India,1965,2.0407
India,1970,2.1398
India,1975,2.2334
India,1980,2.2562
India,1985,2.2813
India,1990,2.1413
India,1995,1.9864
India,2000,1.8532
India,2005,1.6936
India,2010,1.507
India,2015,1.3007
Indonesia,1955,2.1382
Indonesia,1960,2.5614
Indonesia,1965,2.6845
Indonesia,1970,2.7082
Indonesia,1975,2.603
Indonesia,1980,2.4397
Indonesia,1985,2.2491
Indonesia,1990,1.9156
Indonesia,1995,1.6811
Indonesia,2000,1.4617
Indonesia,2005,1.4222
Indonesia,2010,1.4085
Indonesia,2015,1.3342
Iran,1955,2.3901
Iran,1960,2.5387
Iran,1965,2.6086
Iran,1970,2.6236
Iran,1975,2.7032
Iran,1980,3.0912
Iran,1985,3.0959
Iran,1990,2.9128
Iran,1995,2.2064
Iran,2000,1.5586
Iran,2005,1.2774
Iran,2010,1.2967
Iran,2015,1.3448
Iraq,1955,2.566
Iraq,1960,2.2859
Iraq,1965,2.7778
Iraq,1970,3.3871
Iraq,1975,3.287
Iraq,1980,3.1835
Iraq,1985,2.9052
Iraq,1990,3.0643
Iraq,1995,3.0702
Iraq,2000,3.0826
Iraq,2005,2.9327
Iraq,2010,2.9767
Iraq,2015,2.976
Ireland,1955,0.91
Ireland,1960,0.8913
Ireland,1965,1.0414
Ireland,1970,0.9723
Ireland,1975,1.2802
Ireland,1980,1.1931
Ireland,1985,1.0292
Ireland,1990,0.663
Ireland,1995,0.5154
Ireland,2000,0.6028
Ireland,2005,0.8064
Ireland,2010,0.9771
Ireland,2015,0.9075
Israel,1955,2.6715
Israel,1960,2.1358
Israel,1965,1.9416
Israel,1970,1.8961
Israel,1975,2.0772
Israel,1980,1.9508
Israel,1985,1.7145
Israel,1990,1.6358
Israel,1995,1.528
Israel,2000,1.5398
Israel,2005,1.544
Israel,2010,1.5489
Israel,2015,1.6124
Italy,1955,0.8239
Italy,1960,0.7846
Italy,1965,0.8716
Italy,1970,0.7837
Italy,1975,0.6348
Italy,1980,0.3237
Italy,1985,0.1088
Italy,1990,0.0374
Italy,1995,-0.0142
Italy,2000,-0.069
Italy,2005,-0.0394
Italy,2010,-0.0256
Italy,2015,-0.1068
Jamaica,1955,2.3971
Jamaica,1960,3.001
Jamaica,1965,3.3025
Jamaica,1970,3.0612
Jamaica,1975,2.5458
Jamaica,1980,2.2794
Jamaica,1985,2.247
Jamaica,1990,1.9766
Jamaica,1995,1.7535
Jamaica,2000,1.5762
Jamaica,2005,1.2868
Jamaica,2010,1.1689
Jamaica,2015,1.0774
Japan,1955,1.4388
Japan,1960,1.0126
Japan,1965,0.9759
Japan,1970,1.0917
Japan,1975,1.2381
Japan,1980,0.8932
Japan,1985,0.6553
Japan,1990,0.477
Japan,1995,0.289
Japan,2000,0.1941
Japan,2005,0.1016
Japan,2010,-0.0164
Japan,2015,-0.1727
Jordan,1955,2.6958
Jordan,1960,3.2238
Jordan,1965,3.8926
Jordan,1970,4.0456
Jordan,1975,3.9568
Jordan,1980,3.5286
Jordan,1985,3.3223
Jordan,1990,2.979
Jordan,1995,2.9184
Jordan,2000,2.7976
Jordan,2005,2.6114
Jordan,2010,2.4806
Jordan,2015,2.4008
Kazakhstan,1955,1.9686
Kazakhstan,1960,2.2772
Kazakhstan,1965,2.2302
Kazakhstan,1970,1.643
Kazakhstan,1975,1.5877
Kazakhstan,1980,1.5097
Kazakhstan,1985,1.6408
Kazakhstan,1990,1.7408
Kazakhstan,1995,1.1186
Kazakhstan,2000,0.4609
Kazakhstan,2005,0.5926
Kazakhstan,2010,1.1259
Kazakhstan,2015,1.3611
Kenya,1955,2.767
Kenya,1960,2.9844
Kenya,1965,3.2237
Kenya,1970,3.4057
Kenya,1975,3.6408
Kenya,1980,3.7435
Kenya,1985,3.7731
Kenya,1990,3.508
Kenya,1995,2.9164
Kenya,2000,2.5422
Kenya,2005,2.5645
Kenya,2010,2.7319
Kenya,2015,2.6729
Kiribati,1955,2.6585
Kiribati,1960,2.9623
Kiribati,1965,2.9376
Kiribati,1970,2.4581
Kiribati,1975,2.0642
Kiribati,1980,2.3568
Kiribati,1985,2.5224
Kiribati,1990,2.6891
Kiribati,1995,2.6413
Kiribati,2000,2.3822
Kiribati,2005,2.2547
Kiribati,2010,2.2355
Kiribati,2015,2.2141
Kuwait,1955,3.014
Kuwait,1960,3.0108
Kuwait,1965,3.5806
Kuwait,1970,4.235
Kuwait,1975,4.2599
Kuwait,1980,3.6214
Kuwait,1985,3.2699
Kuwait,1990,2.243
Kuwait,1995,1.7219
Kuwait,2000,2.1751
Kuwait,2005,1.8615
Kuwait,2010,2.058
Kuwait,2015,1.8134
Kyrgyzstan,1955,1.7074
Kyrgyzstan,1960,2.0921
Kyrgyzstan,1965,2.3948
Kyrgyzstan,1970,2.0291
Kyrgyzstan,1975,1.9182
Kyrgyzstan,1980,1.7933
Kyrgyzstan,1985,2.23
Kyrgyzstan,1990,2.3844
Kyrgyzstan,1995,2.0886
Kyrgyzstan,2000,1.6567
Kyrgyzstan,2005,1.3248
Kyrgyzstan,2010,1.6095
Kyrgyzstan,2015,2.0671
Laos,1955,2.3223
Laos,1960,2.2894
Laos,1965,2.3199
Laos,1970,2.4072
Laos,1975,2.5239
Laos,1980,2.5623
Laos,1985,2.6688
Laos,1990,2.8636
Laos,1995,2.8779
Laos,2000,2.417
Laos,2005,2.0824
Laos,2010,2.1098
Laos,2015,2.0185
Latin America and the Caribbean,1955,2.7086
Latin America and the Caribbean,1960,2.8001
Latin America and the Caribbean,1965,2.8723
Latin America and the Caribbean,1970,2.7045
Latin America and the Caribbean,1975,2.5783
Latin America and the Caribbean,1980,2.4556
Latin America and the Caribbean,1985,2.2987
Latin America and the Caribbean,1990,2.0857
Latin America and the Caribbean,1995,1.8702
Latin America and the Caribbean,2000,1.7306
Latin America and the Caribbean,2005,1.5572
Latin America and the Caribbean,2010,1.3297
Latin America and the Caribbean,2015,1.1874
Latvia,1955,0.3856
Latvia,1960,0.5369
Latvia,1965,0.4791
Latvia,1970,0.3027
Latvia,1975,0.3036
Latvia,1980,0.1215
Latvia,1985,0.2261
Latvia,1990,0.3043
Latvia,1995,-0.3135
Latvia,2000,-0.6377
Latvia,2005,-0.5326
Latvia,2010,-0.4712
Latvia,2015,-0.4588
Least developed countries,1955,1.9999
Least developed countries,1960,2.2655
Least developed countries,1965,2.46
Least developed countries,1970,2.6186
Least developed countries,1975,2.6384
Least developed countries,1980,2.7113
Least developed countries,1985,2.8463
Least developed countries,1990,2.8128
Least developed countries,1995,2.6807
Least developed countries,2000,2.6589
Least developed countries,2005,2.6168
Least developed countries,2010,2.5705
Least developed countries,2015,2.479
Lebanon,1955,2.7332
Lebanon,1960,2.7907
Lebanon,1965,2.7448
Lebanon,1970,2.5063
Lebanon,1975,2.3663
Lebanon,1980,2.3131
Lebanon,1985,2.1634
Lebanon,1990,1.8921
Lebanon,1995,1.6762
Lebanon,2000,1.4765
Lebanon,2005,1.1153
Lebanon,2010,0.8021
Lebanon,2015,1.0349
Lesotho,1955,1.9404
Lesotho,1960,2.1878
Lesotho,1965,2.3946
Lesotho,1970,2.4704
Lesotho,1975,2.5837
Lesotho,1980,2.6843
Lesotho,1985,2.6839
Lesotho,1990,2.5101
Lesotho,1995,2.4186
Lesotho,2000,1.9593
Lesotho,2005,1.1011
Lesotho,2010,1.1092
Lesotho,2015,1.3936
Less developed regions,1955,2.0389
Less developed regions,1960,2.08
Less developed regions,1965,2.2925
Less developed regions,1970,2.5559
Less developed regions,1975,2.4312
Less developed regions,1980,2.199
Less developed regions,1985,2.1818
Less developed regions,1990,2.1934
Less developed regions,1995,1.8878
Less developed regions,2000,1.6234
Less developed regions,2005,1.5171
Less developed regions,2010,1.4611
Less developed regions,2015,1.4022
"Less developed regions, excluding China",1955,2.0891
"Less developed regions, excluding China",1960,2.3438
"Less developed regions, excluding China",1965,2.4712
"Less developed regions, excluding China",1970,2.5003
"Less developed regions, excluding China",1975,2.4974
"Less developed regions, excluding China",1980,2.4817
"Less developed regions, excluding China",1985,2.4732
"Less developed regions, excluding China",1990,2.337
"Less developed regions, excluding China",1995,2.1395
"Less developed regions, excluding China",2000,1.9687
"Less developed regions, excluding China",2005,1.8395
"Less developed regions, excluding China",2010,1.754
"Less developed regions, excluding China",2015,1.6693
"Less developed regions, excluding least developed countries",1955,2.044
"Less developed regions, excluding least developed countries",1960,2.0562
"Less developed regions, excluding least developed countries",1965,2.2707
"Less developed regions, excluding least developed countries",1970,2.5478
"Less developed regions, excluding least developed countries",1975,2.4042
"Less developed regions, excluding least developed countries",1980,2.1317
"Less developed regions, excluding least developed countries",1985,2.0927
"Less developed regions, excluding least developed countries",1990,2.1082
"Less developed regions, excluding least developed countries",1995,1.774
"Less developed regions, excluding least developed countries",2000,1.4666
"Less developed regions, excluding least developed countries",2005,1.3405
"Less developed regions, excluding least developed countries",2010,1.2724
"Less developed regions, excluding least developed countries",2015,1.2081
Liberia,1955,1.6505
Liberia,1960,1.9202
Liberia,1965,2.101
Liberia,1970,2.3309
Liberia,1975,2.5972
Liberia,1980,2.8618
Liberia,1985,2.9821
Liberia,1990,2.841
Liberia,1995,2.6494
Liberia,2000,2.9127
Liberia,2005,2.7773
Liberia,2010,2.8369
Liberia,2015,2.673
Libya,1955,2.0396
Libya,1960,2.3322
Libya,1965,3.0051
Libya,1970,3.6436
Libya,1975,3.7905
Libya,1980,3.5234
Libya,1985,3.0487
Libya,1990,2.6813
Libya,1995,2.0517
Libya,2000,1.7633
Libya,2005,1.7092
Libya,2010,1.8104
Libya,2015,1.6404
Lithuania,1955,0.9444
Lithuania,1960,1.2271
Lithuania,1965,1.1956
Lithuania,1970,0.9443
Lithuania,1975,0.7747
Lithuania,1980,0.5544
Lithuania,1985,0.5032
Lithuania,1990,0.5332
Lithuania,1995,0.1692
Lithuania,2000,-0.1718
Lithuania,2005,-0.3477
Lithuania,2010,-0.4873
Lithuania,2015,-0.4993
Low-income countries,1955,1.8216
Low-income countries,1960,2.1672
Low-income countries,1965,2.2898
Low-income countries,1970,2.4881
Low-income countries,1975,2.5958
Low-income countries,1980,2.5336
Low-income countries,1985,2.7905
Low-income countries,1990,2.8426
Low-income countries,1995,2.7554
Low-income countries,2000,2.7644
Low-income countries,2005,2.7583
Low-income countries,2010,2.7842
Low-income countries,2015,2.7256
Lower-middle-income countries,1955,1.901
Lower-middle-income countries,1960,2.1656
Lower-middle-income countries,1965,2.297
Lower-middle-income countries,1970,2.3598
Lower-middle-income countries,1975,2.3791
Lower-middle-income countries,1980,2.4217
Lower-middle-income countries,1985,2.4244
Lower-middle-income countries,1990,2.2906
Lower-middle-income countries,1995,2.0951
Lower-middle-income countries,2000,1.9111
Lower-middle-income countries,2005,1.7863
Lower-middle-income countries,2010,1.6924
Lower-middle-income countries,2015,1.589
Luxembourg,1955,0.2334
Luxembourg,1960,0.331
Luxembourg,1965,0.4375
Luxembourg,1970,0.2144
Luxembourg,1975,-0.0561
Luxembourg,1980,-0.0995
Luxembourg,1985,0.0158
Luxembourg,1990,0.1107
Luxembourg,1995,0.32
Luxembourg,2000,0.38
Luxembourg,2005,0.3252
Luxembourg,2010,0.3215
Luxembourg,2015,0.3913
Macao,1955,2.3604
Macao,1960,2.4891
Macao,1965,1.6547
Macao,1970,0.6992
Macao,1975,0.3381
Macao,1980,0.3263
Macao,1985,1.2712
Macao,1990,1.5917
Macao,1995,1.0488
Macao,2000,0.6381
Macao,2005,0.2834
Macao,2010,0.4051
Macao,2015,0.6409
Macedonia,1955,2.0855
Macedonia,1960,1.9597
Macedonia,1965,1.8787
Macedonia,1970,1.8996
Macedonia,1975,1.6257
Macedonia,1980,1.4588
Macedonia,1985,1.3323
Macedonia,1990,1.1415
Macedonia,1995,0.9197
Macedonia,2000,0.6406
Macedonia,2005,0.4549
Macedonia,2010,0.2392
Macedonia,2015,0.203
Madagascar,1955,2.1327
Madagascar,1960,2.3057
Madagascar,1965,2.4653
Madagascar,1970,2.6409
Madagascar,1975,2.8786
Madagascar,1980,2.9426
Madagascar,1985,2.654
Madagascar,1990,2.9223
Madagascar,1995,3.0622
Madagascar,2000,3.1486
Madagascar,2005,2.9976
Madagascar,2010,2.8389
Madagascar,2015,2.7901
Malawi,1955,2.1386
Malawi,1960,2.3818
Malawi,1965,2.6155
Malawi,1970,2.8029
Malawi,1975,2.9969
Malawi,1980,3.1556
Malawi,1985,3.2045
Malawi,1990,3.1043
Malawi,1995,2.7318
Malawi,2000,2.6784
Malawi,2005,2.6589
Malawi,2010,2.9927
Malawi,2015,3.0957
Malaysia,1955,2.8275
Malaysia,1960,3.004
Malaysia,1965,2.9962
Malaysia,1970,2.6517
Malaysia,1975,2.4706
Malaysia,1980,2.3391
Malaysia,1985,2.3955
Malaysia,1990,2.368
Malaysia,1995,2.276
Malaysia,2000,2.0821
Malaysia,2005,1.5316
Malaysia,2010,1.2398
Malaysia,2015,1.2054
Maldives,1955,1.5666
Maldives,1960,2.4265
Maldives,1965,2.789
Maldives,1970,2.9088
Maldives,1975,2.9058
Maldives,1980,2.9653
Maldives,1985,3.5959
Maldives,1990,3.5116
Maldives,1995,2.8465
Maldives,2000,2.0517
Maldives,2005,1.6871
Maldives,2010,1.7354
Maldives,2015,1.7887
Mali,1955,1.2474
Mali,1960,1.3181
Mali,1965,1.3848
Mali,1970,1.6628
Mali,1975,2.0233
Mali,1980,2.3072
Mali,1985,2.573
Mali,1990,2.7727
Mali,1995,2.9401
Mali,2000,2.9935
Mali,2005,3.1788
Mali,2010,3.4037
Mali,2015,3.3386
Malta,1955,1.9895
Malta,1960,1.6976
Malta,1965,1.28
Malta,1970,0.7077
Malta,1975,0.8408
Malta,1980,1.0929
Malta,1985,0.9462
Malta,1990,0.9336
Malta,1995,0.7577
Malta,2000,0.5515
Malta,2005,0.2119
Malta,2010,0.0715
Malta,2015,0.0171
Martinique,1955,2.7097
Martinique,1960,2.7241
Martinique,1965,2.5441
Martinique,1970,2.3245
Martinique,1975,1.8322
Martinique,1980,1.1205
Martinique,1985,0.9659
Martinique,1990,1.0772
Martinique,1995,0.9365
Martinique,2000,0.8332
Martinique,2005,0.7166
Martinique,2010,0.5935
Martinique,2015,0.3751
Mauritania,1955,2.4902
Mauritania,1960,2.8154
Mauritania,1965,2.9401
Mauritania,1970,2.9758
Mauritania,1975,2.9985
Mauritania,1980,3.0055
Mauritania,1985,3.0157
Mauritania,1990,3.0298
Mauritania,1995,2.9832
Mauritania,2000,2.914
Mauritania,2005,2.8142
Mauritania,2010,2.7118
Mauritania,2015,2.5913
Mauritius,1955,2.8097
Mauritius,1960,3.1682
Mauritius,1965,3.5132
Mauritius,1970,2.5908
Mauritius,1975,2.0068
Mauritius,1980,2.033
Mauritius,1985,1.4403
Mauritius,1990,1.469
Mauritius,1995,1.4359
Mauritius,2000,1.1293
Mauritius,2005,0.9345
Mauritius,2010,0.6158
Mauritius,2015,0.4008
Mayotte,1955,1.4348
Mayotte,1960,2.3961
Mayotte,1965,3.0742
Mayotte,1970,3.5478
Mayotte,1975,3.8923
Mayotte,1980,4.2294
Mayotte,1985,4.1414
Mayotte,1990,3.9838
Mayotte,1995,3.2424
Mayotte,2000,3.2881
Mayotte,2005,3.3582
Mayotte,2010,3.3731
Mayotte,2015,2.923
Melanesia,1955,1.6364
Melanesia,1960,1.971
Melanesia,1965,2.1882
Melanesia,1970,2.4543
Melanesia,1975,2.8772
Melanesia,1980,2.7534
Melanesia,1985,2.6821
Melanesia,1990,2.4491
Melanesia,1995,2.4803
Melanesia,2000,2.512
Melanesia,2005,2.3928
Melanesia,2010,2.2634
Melanesia,2015,2.0522
Mexico,1955,3.1625
Mexico,1960,3.3111
Mexico,1965,3.3141
Mexico,1970,3.3219
Mexico,1975,3.4517
Mexico,1980,2.9709
Mexico,1985,2.5941
Mexico,1990,2.4114
Mexico,1995,2.2486
Mexico,2000,2.0739
Mexico,2005,1.8405
Mexico,2010,1.6254
Mexico,2015,1.4531
Micronesia (country),1955,3.3742
Micronesia (country),1960,3.2234
Micronesia (country),1965,3.1822
Micronesia (country),1970,3.2357
Micronesia (country),1975,3.1177
Micronesia (country),1980,3.0471
Micronesia (country),1985,3.2074
Micronesia (country),1990,2.8795
Micronesia (country),1995,2.6405
Micronesia (country),2000,2.5103
Micronesia (country),2005,2.1753
Micronesia (country),2010,1.8212
Micronesia (country),2015,1.7364
Middle Africa,1955,1.89
Middle Africa,1960,2.0945
Middle Africa,1965,2.2812
Middle Africa,1970,2.4488
Middle Africa,1975,2.6252
Middle Africa,1980,2.7564
Middle Africa,1985,2.9123
Middle Africa,1990,2.9949
Middle Africa,1995,3.0153
Middle Africa,2000,2.9589
Middle Africa,2005,3.0321
Middle Africa,2010,3.0654
Middle Africa,2015,3.0207
Middle-income countries,1955,2.0139
Middle-income countries,1960,2.0146
Middle-income countries,1965,2.2267
Middle-income countries,1970,2.5077
Middle-income countries,1975,2.3692
Middle-income countries,1980,2.1287
Middle-income countries,1985,2.0922
Middle-income countries,1990,2.1093
Middle-income countries,1995,1.7739
Middle-income countries,2000,1.4803
Middle-income countries,2005,1.3652
Middle-income countries,2010,1.2992
Middle-income countries,2015,1.2362
Moldova,1955,1.5773
Moldova,1960,1.6753
Moldova,1965,1.4587
Moldova,1970,1.0646
Moldova,1975,1.0147
Moldova,1980,1.0058
Moldova,1985,1.042
Moldova,1990,1.0898
Moldova,1995,0.4914
Moldova,2000,0.128
Moldova,2005,-0.1498
Moldova,2010,-0.1228
Moldova,2015,-0.0297
Mongolia,1955,1.8321
Mongolia,1960,2.2183
Mongolia,1965,2.9402
Mongolia,1970,2.8785
Mongolia,1975,2.9122
Mongolia,1980,2.6501
Mongolia,1985,2.5725
Mongolia,1990,2.5548
Mongolia,1995,1.8056
Mongolia,2000,1.2937
Mongolia,2005,1.1699
Mongolia,2010,1.5362
Mongolia,2015,1.844
Montenegro,1955,1.8632
Montenegro,1960,1.9597
Montenegro,1965,1.8958
Montenegro,1970,1.5056
Montenegro,1975,1.3619
Montenegro,1980,1.1945
Montenegro,1985,1.1804
Montenegro,1990,1.0074
Montenegro,1995,0.831
Montenegro,2000,0.4775
Montenegro,2005,0.3523
Montenegro,2010,0.2801
Montenegro,2015,0.2001
More developed regions,1955,1.1761
More developed regions,1960,1.1719
More developed regions,1965,1.0321
More developed regions,1970,0.7799
More developed regions,1975,0.6451
More developed regions,1980,0.5247
More developed regions,1985,0.4702
More developed regions,1990,0.4198
More developed regions,1995,0.232
More developed regions,2000,0.0984
More developed regions,2005,0.0723
More developed regions,2010,0.1314
More developed regions,2015,0.1012
Morocco,1955,3.1129
Morocco,1960,3.2217
Morocco,1965,3.2522
Morocco,1970,2.9964
Morocco,1975,2.7293
Morocco,1980,2.6479
Morocco,1985,2.667
Morocco,1990,2.3326
Morocco,1995,2.0559
Morocco,2000,1.6738
Morocco,2005,1.4358
Morocco,2010,1.4722
Morocco,2015,1.5524
Mozambique,1955,1.6502
Mozambique,1960,1.9118
Mozambique,1965,2.1093
Mozambique,1970,2.2382
Mozambique,1975,2.3723
Mozambique,1980,2.5853
Mozambique,1985,2.46
Mozambique,1990,2.3705
Mozambique,1995,2.5831
Mozambique,2000,2.8105
Mozambique,2005,2.8683
Mozambique,2010,2.8558
Mozambique,2015,2.8157
Myanmar,1955,1.907
Myanmar,1960,2.1627
Myanmar,1965,2.2301
Myanmar,1970,2.4555
Myanmar,1975,2.4043
Myanmar,1980,2.353
Myanmar,1985,2.2432
Myanmar,1990,1.8374
Myanmar,1995,1.57
Myanmar,2000,1.5141
Myanmar,2005,1.5104
Myanmar,2010,1.2643
Myanmar,2015,0.9992
Namibia,1955,2.0432
Namibia,1960,2.2815
Namibia,1965,2.4903
Namibia,1970,2.6987
Namibia,1975,3.0387
Namibia,1980,3.163
Namibia,1985,3.0667
Namibia,1990,2.9829
Namibia,1995,2.8052
Namibia,2000,2.3449
Namibia,2005,1.825
Namibia,2010,2.0529
Namibia,2015,2.2917
Nepal,1955,1.9072
Nepal,1960,1.7512
Nepal,1965,1.7519
Nepal,1970,1.9274
Nepal,1975,2.1064
Nepal,1980,2.2942
Nepal,1985,2.4369
Nepal,1990,2.5313
Nepal,1995,2.5647
Nepal,2000,2.494
Nepal,2005,2.1845
Nepal,2010,1.8272
Nepal,2015,1.4517
Netherlands,1955,1.4454
Netherlands,1960,1.3761
Netherlands,1965,1.3301
Netherlands,1970,1.1026
Netherlands,1975,0.7025
Netherlands,1980,0.4496
Netherlands,1985,0.4042
Netherlands,1990,0.4215
Netherlands,1995,0.4157
Netherlands,2000,0.3697
Netherlands,2005,0.3637
Netherlands,2010,0.2964
Netherlands,2015,0.2185
New Caledonia,1955,1.9274
New Caledonia,1960,2.1546
New Caledonia,1965,2.3142
New Caledonia,1970,2.5934
New Caledonia,1975,2.8724
New Caledonia,1980,2.2026
New Caledonia,1985,1.9132
New Caledonia,1990,1.7531
New Caledonia,1995,1.7759
New Caledonia,2000,1.5259
New Caledonia,2005,1.2688
New Caledonia,2010,1.1307
New Caledonia,2015,0.8725
New Zealand,1955,1.6378
New Zealand,1960,1.7491
New Zealand,1965,1.7061
New Zealand,1970,1.4257
New Zealand,1975,1.2649
New Zealand,1980,0.8905
New Zealand,1985,0.7752
New Zealand,1990,0.8327
New Zealand,1995,0.9011
New Zealand,2000,0.7475
New Zealand,2005,0.7098
New Zealand,2010,0.8087
New Zealand,2015,0.6844
Nicaragua,1955,3.1941
Nicaragua,1960,3.3835
Nicaragua,1965,3.1474
Nicaragua,1970,3.1785
Nicaragua,1975,3.3622
Nicaragua,1980,3.3815
Nicaragua,1985,3.2717
Nicaragua,1990,2.9819
Nicaragua,1995,2.6844
Nicaragua,2000,2.3221
Nicaragua,2005,2.0239
Nicaragua,2010,1.8472
Nicaragua,2015,1.6221
Niger,1955,2.8639
Niger,1960,2.8981
Niger,1965,2.9407
Niger,1970,2.7905
Niger,1975,2.844
Niger,1980,2.911
Niger,1985,3.0245
Niger,1990,3.161
Niger,1995,3.364
Niger,2000,3.5724
Niger,2005,3.7061
Niger,2010,3.8083
Niger,2015,4.0183
Nigeria,1955,1.6506
Nigeria,1960,1.8934
Nigeria,1965,2.1062
Nigeria,1970,2.2324
Nigeria,1975,2.497
Nigeria,1980,2.7037
Nigeria,1985,2.7602
Nigeria,1990,2.6308
Nigeria,1995,2.5295
Nigeria,2000,2.5156
Nigeria,2005,2.576
Nigeria,2010,2.6905
Nigeria,2015,2.7021
North Korea,1955,0.2053
North Korea,1960,2.4865
North Korea,1965,1.8744
North Korea,1970,2.7641
North Korea,1975,2.4303
North Korea,1980,1.3047
