Entity,Year,Maternal Mortality Rate (World Bank (2016))
United Kingdom,2000,11
United Kingdom,2005,12
United Kingdom,2010,11
United Kingdom,2013,8
United States,1990,12
United States,1995,11
United States,2000,13
United States,2005,17
United States,2010,27
United States,2013,28
Upper middle income,1990,120
Upper middle income,1995,100
Upper middle income,2000,93
Upper middle income,2005,77
Upper middle income,2010,62
Upper middle income,2013,57
Uruguay,1990,42
Uruguay,1995,34
Uruguay,2000,35
Uruguay,2005,32
Uruguay,2010,23
Uruguay,2013,14
Uzbekistan,1990,66
Uzbekistan,1995,54
Uzbekistan,2000,48
Uzbekistan,2005,44
Uzbekistan,2010,40
Uzbekistan,2013,36
Vanuatu,1990,170
Vanuatu,1995,140
Vanuatu,2000,120
Vanuatu,2005,100
Vanuatu,2010,90
Vanuatu,2013,86
Venezuela,1990,93
Venezuela,1995,98
Venezuela,2000,91
Venezuela,2005,94
Venezuela,2010,110
Venezuela,2013,110
Vietnam,1990,140
Vietnam,1995,110
Vietnam,2000,82
Vietnam,2005,60
Vietnam,2010,51
Vietnam,2013,49
World,1990,380
World,1995,360
World,2000,330
World,2005,270
World,2010,230
World,2013,210
Yemen,1990,460
Yemen,1995,420
Yemen,2000,370
Yemen,2005,330
Yemen,2010,290
Yemen,2013,270
Zambia,1990,580
Zambia,1995,630
Zambia,2000,610
Zambia,2005,430
Zambia,2010,320
Zambia,2013,280
Zimbabwe,1990,520
Zimbabwe,1995,550
Zimbabwe,2000,680
Zimbabwe,2005,740
Zimbabwe,2010,610
Zimbabwe,2013,470
