Entity,Year,"Poverty headcount ratio at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty headcount ratio at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $1.90 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))","Poverty gap at $3.10 a day (2011 PPP) by country, income group and region (World Bank (WDI) (2017))"
IDA & IBRD total,1990,42.45,65.55,14.69,30.5
IDA & IBRD total,1993,40.47,64.2,13.94,29.42
IDA & IBRD total,1996,34.73,60.39,11.28,25.89
IDA & IBRD total,1999,33.74,58.92,11.03,25.24
IDA & IBRD total,2002,30.37,54.81,9.77,22.95
IDA & IBRD total,2005,24.41,48.43,7.4,18.95
IDA & IBRD total,2008,21.33,43.76,6.33,16.77
IDA & IBRD total,2010,18.58,40.26,5.48,15.01
IDA & IBRD total,2011,16.12,37.25,4.76,13.42
IDA & IBRD total,2012,14.8,35.15,4.38,12.49
IDA & IBRD total,2013,12.73,32.05,3.85,11.09
IDA blend,1981,48.93,71.7,19.18,35.62
IDA blend,1984,49.37,71.82,18.74,35.41
IDA blend,1987,50.99,72.37,19.52,36.34
IDA blend,1990,46.47,69.22,17.25,33.59
IDA blend,1993,44.67,71.42,16.38,33.18
IDA blend,1996,37.55,67.26,14.27,29.52
IDA blend,1999,39.09,68.09,14.77,30.35
IDA blend,2002,41.7,70.69,14.84,31.57
IDA blend,2005,31.49,61.45,10.6,24.87
IDA blend,2008,28.22,57.46,9.65,22.8
IDA blend,2010,24.78,50.9,8.67,20.16
IDA blend,2011,23.56,48.94,8.21,19.19
IDA blend,2012,22.43,46.8,7.9,18.32
IDA blend,2013,21.77,45.82,7.6,17.85
IDA only,1981,50.59,74.67,21.45,38.02
IDA only,1984,51.88,75.58,22.26,38.94
IDA only,1987,51.87,75.39,21.86,38.65
IDA only,1990,53.37,76.83,22.25,39.5
IDA only,1993,54.7,77.45,23.42,40.53
IDA only,1996,52.56,75.92,22.19,39.14
IDA only,1999,51.28,75.24,21.37,38.23
IDA only,2002,49.24,74.16,20.49,37.06
IDA only,2005,43.87,69.94,17.75,33.4
IDA only,2008,40.03,66.17,15.58,30.55
IDA only,2010,38.31,64.59,14.79,29.41
IDA only,2011,36.58,63.31,13.97,28.31
IDA only,2012,35.02,61.61,13.31,27.24
IDA only,2013,33.4,59.8,12.64,26.1
IDA total,1981,49.91,73.44,20.51,37.03
IDA total,1984,50.85,74.03,20.81,37.48
IDA total,1987,51.51,74.15,20.9,37.7
IDA total,1990,50.55,73.72,20.21,37.08
IDA total,1993,50.64,75.01,20.57,37.55
IDA total,1996,46.54,72.45,19.01,35.28
IDA total,1999,46.43,72.4,18.75,35.1
IDA total,2002,46.27,72.8,18.26,34.9
IDA total,2005,39.04,66.63,14.96,30.08
IDA total,2008,35.47,62.8,13.28,27.55
IDA total,2010,33.1,59.32,12.44,25.85
IDA total,2011,31.58,57.79,11.76,24.81
IDA total,2012,30.2,55.94,11.24,23.82
IDA total,2013,28.95,54.46,10.71,22.95
India,1983,53.86,83.67,16.69,37.99
India,1987,44.76,78.91,11.98,32.34
India,1993,45.91,79.62,12.06,32.88
India,2004,38.21,73.46,9.19,28.31
India,2009,31.1,67.95,6.97,24.4
India,2011,21.23,57.96,4.27,18.46
Indonesia,1984,70.31,90.58,26.66,48.37
Indonesia,1987,70.13,91.58,24.97,47.63
Indonesia,1990,57.27,85.32,17.2,39.3
Indonesia,1993,57.06,84.91,17.06,39.09
Indonesia,1996,45.89,77.55,12.37,32.52
Indonesia,1998,65.32,88.81,21.57,44.09
Indonesia,1999,39.99,77.52,9.5,29.69
Indonesia,2000,39.75,78.52,9.23,29.82
Indonesia,2001,35.98,75.99,7.87,27.71
Indonesia,2002,23.4,63.39,4.3,20.09
Indonesia,2003,23.25,61.22,4.44,19.73
Indonesia,2004,24.37,61.46,5.37,20.48
Indonesia,2005,21.63,59.5,4.43,18.78
Indonesia,2006,27.95,64.17,6.48,22.36
Indonesia,2007,22.76,56.75,4.81,18.86
Indonesia,2008,21.55,54.75,4.35,17.79
Indonesia,2009,18.43,52.74,3.6,16.34
Indonesia,2010,15.95,46.36,2.91,14.22
Indonesia,2011,13.58,43.33,2.36,12.84
Indonesia,2012,11.76,41.67,1.91,11.8
Indonesia,2013,9.83,39.4,1.5,10.65
Indonesia,2014,8.25,36.44,1.25,9.58
Iran,1986,7.4,20.44,1.77,6.45
Iran,1990,6,18.46,1.52,5.58
Iran,1994,3.18,14.07,0.62,3.58
Iran,1998,2.56,12.4,0.41,3.04
Iran,2005,2.61,11.18,0.54,2.78
Iran,2009,0.26,3.05,0.05,0.54
Iran,2013,0.08,0.66,0.03,0.12
Jamaica,1988,7.23,21.54,1.97,6.68
Jamaica,1990,4.56,18.96,0.88,4.79
Jamaica,1993,9.75,29.17,2.56,8.99
Jamaica,1996,3.43,12.87,0.82,3.45
Jamaica,1999,2.61,9.51,0.72,2.64
Jamaica,2002,2.74,10.45,0.73,2.86
Jamaica,2004,1.7,8.16,0.37,2.01
Kazakhstan,1988,0.02,0.11,0.01,0.03
Kazakhstan,1993,6.53,23.1,0.97,6.21
Kazakhstan,1996,6.33,22.9,1.75,6.54
Kazakhstan,2001,10.5,31.23,2.56,9.53
Kazakhstan,2002,6.81,26.18,1.41,6.99
Kazakhstan,2003,4.47,21.26,0.9,5.22
Kazakhstan,2004,3.04,17.97,0.51,3.96
Kazakhstan,2005,0.21,2.86,0.04,0.48
Kazakhstan,2006,0.62,5.25,0.11,1.03
Kazakhstan,2007,0.53,3.74,0.09,0.7
Kazakhstan,2008,0.13,1.94,0.01,0.33
Kazakhstan,2009,0.17,2.53,0.02,0.41
Kazakhstan,2010,0.12,1.61,0.02,0.25
Kazakhstan,2011,0.03,0.71,0.01,0.11
Kazakhstan,2012,0.06,0.44,0.01,0.07
Kazakhstan,2013,0.04,0.26,0.01,0.05
Kenya,1992,23.08,42.84,7.93,17.79
Kenya,1994,18.84,40.97,6.38,15.51
Kenya,1997,21.5,45.87,5.59,16.6
Kenya,2005,33.6,58.85,11.7,25.51
Kiribati,2006,14.14,34.67,4.55,12.17
Kosovo,2003,1.74,13.79,0.13,2.69
Kosovo,2005,2.97,16.22,0.64,3.75
Kosovo,2006,3.23,15.13,0.37,3.42
Kosovo,2009,2.67,11.77,0.4,2.73
Kosovo,2010,2.17,12.34,0.29,2.5
Kosovo,2011,1.41,8.58,0.12,1.64
Kosovo,2012,0.56,5.01,0.09,0.99
Kosovo,2013,0.78,3.52,0.19,0.83
Kyrgyzstan,1988,6.73,40.74,0.45,9.48
Kyrgyzstan,1993,44.31,63.85,22.4,34.94
Kyrgyzstan,1998,30.59,51.51,11.6,23.3
Kyrgyzstan,2000,42.21,75.68,11.27,30.75
Kyrgyzstan,2001,36.42,71.54,9.26,27.5
Kyrgyzstan,2002,34.21,69.69,8.7,26.4
Kyrgyzstan,2003,28.07,67.6,6.18,23.25
Kyrgyzstan,2004,13.59,44.23,2.78,13.01
Kyrgyzstan,2005,15.38,49.76,3.06,14.58
Kyrgyzstan,2006,9.87,37.02,1.78,10.04
Kyrgyzstan,2007,9.94,33.58,1.99,9.46
Kyrgyzstan,2008,4.01,22.74,0.75,5.27
Kyrgyzstan,2009,2.13,18.68,0.34,3.62
Kyrgyzstan,2010,4.08,21.38,1.09,5.19
Kyrgyzstan,2011,1.81,19.25,0.22,3.49
Kyrgyzstan,2012,2.91,19.88,0.74,4.13
Kyrgyzstan,2013,3.26,24.01,0.48,4.98
Kyrgyzstan,2014,1.29,17.47,0.23,2.98
Laos,1992,22.85,59.13,4.83,19.59
Laos,1997,30.67,67.87,7.45,24.43
Laos,2002,26.14,61.68,5.76,20.94
Laos,2007,19.62,54.72,4.58,17.69
Laos,2012,16.72,46.86,3.61,14.72
Latin America & Caribbean,1981,16.15,29.78,6.61,12.99
Latin America & Caribbean,1984,19,34.04,7.7,15.03
Latin America & Caribbean,1987,14.73,28.47,6.02,12.05
Latin America & Caribbean,1990,15.84,29.54,6.49,12.79
Latin America & Caribbean,1993,14.42,27.58,6.03,11.86
Latin America & Caribbean,1996,14.23,27.28,6.09,11.73
Latin America & Caribbean,1999,13.86,26.19,5.96,11.43
Latin America & Caribbean,2002,12.99,25.61,5.29,10.72
Latin America & Caribbean,2005,9.85,20.25,4.29,8.4
Latin America & Caribbean,2008,7.13,15.43,3.12,6.22
Latin America & Caribbean,2010,6.46,13.83,2.89,5.6
Latin America & Caribbean,2011,5.98,12.83,2.78,5.25
Latin America & Caribbean,2012,5.55,11.93,2.62,4.91
Latin America & Caribbean,2013,5.4,11.33,2.6,4.76
Latvia,1988,0.03,0.06,0.03,0.04
Latvia,1993,0,2.1,0,0.17
Latvia,1995,0,5.15,0,0.91
Latvia,1996,1.57,6.64,0.19,1.65
Latvia,1997,1.39,5.7,0.35,1.46
Latvia,1998,1.63,6.33,0.4,1.66
Latvia,2002,0.65,3.16,0.21,0.82
Latvia,2003,0.56,2.74,0.1,0.66
Latvia,2004,2.75,5.59,2.31,3.04
Latvia,2005,2.74,4.87,2.49,2.95
Latvia,2006,1.25,2.66,0.84,1.25
Latvia,2007,0.02,0.75,0,0.08
Latvia,2008,1.48,2.41,1.04,1.37
Latvia,2009,0.29,1.21,0.05,0.3
Latvia,2010,1.93,3.75,1.35,1.92
Latvia,2011,1.31,2.88,1,1.41
Latvia,2012,1.38,2.59,0.97,1.33
Lesotho,1986,74.77,87.28,44.17,58.82
Lesotho,1994,69.56,80.88,44.79,56.82
Lesotho,2002,61.31,78.9,31.99,47.13
Lesotho,2010,59.65,77.28,31.83,46.58
Liberia,2007,68.64,89.61,28.14,48.62
Lithuania,1988,0.08,0.25,0.05,0.09
Lithuania,1993,6.97,28.7,0.91,7.24
Lithuania,1996,0,4.34,0,0.54
Lithuania,1998,0.32,2.96,0.06,0.58
Lithuania,1999,0.35,3.73,0.05,0.71
Lithuania,2000,0.3,4.28,0.03,0.73
Lithuania,2001,0.59,4.43,0.14,0.94
Lithuania,2002,0.51,4.23,0.07,0.85
Lithuania,2003,0.19,1.6,0.03,0.28
Lithuania,2004,0.11,1.93,0.03,0.3
Lithuania,2005,1.78,4.25,0.87,1.72
Lithuania,2006,1.55,2.69,0.77,1.27
Lithuania,2007,1.23,1.81,0.71,1.05
Lithuania,2008,1.43,2.23,0.95,1.31
Lithuania,2009,2.41,4.36,1.68,2.28
Lithuania,2010,1.71,3.14,1.33,1.77
Lithuania,2011,0.87,1.69,0.82,0.99
Lithuania,2012,1.03,2.03,0.75,0.98
Low & middle income,1981,51.88,69.32,22.11,37.58
Low & middle income,1984,47.74,68.5,17.75,34.02
Low & middle income,1987,42.25,65.78,14.8,30.61
Low & middle income,1990,42.24,65.08,14.67,30.34
Low & middle income,1993,40.21,63.71,13.87,29.23
Low & middle income,1996,34.41,59.81,11.18,25.65
Low & middle income,1999,33.4,58.34,10.92,24.99
Low & middle income,2002,30.04,54.25,9.67,22.71
Low & middle income,2005,24.12,47.91,7.31,18.74
Low & middle income,2008,21.07,43.28,6.25,16.57
Low & middle income,2010,18.35,39.81,5.42,14.83
Low & middle income,2011,15.91,36.82,4.7,13.26
Low & middle income,2012,14.62,34.75,4.32,12.34
Low & middle income,2013,12.56,31.66,3.8,10.95
Low income,1981,65.07,82.83,30.55,47.92
Low income,1984,66.3,83.52,31.78,49.04
Low income,1987,65.92,83.54,31.08,48.56
Low income,1990,66.86,84.28,31.13,48.93
Low income,1993,70.54,86.38,33.84,51.64
Low income,1996,68.26,85.25,32.55,50.24
Low income,1999,66.57,85.03,31.28,49.15
Low income,2002,64.05,83.96,30,47.69
Low income,2005,58.38,80.65,25.92,43.34
Low income,2008,54.54,78.54,22.8,40.33
Low income,2010,52.07,76.76,21.5,38.71
Low income,2011,50.05,75.54,20.25,37.31
Low income,2012,48.07,73.73,19.31,35.96
Low income,2013,46.17,72.01,18.4,34.66
Lower middle income,1981,50.68,76.37,17.67,36.31
Lower middle income,1984,48.72,75.54,16.23,34.83
Lower middle income,1987,46.37,74.23,14.75,33.22
Lower middle income,1990,42.27,71.76,12.61,30.64
Lower middle income,1993,43.07,73.04,12.73,31.19
Lower middle income,1996,38.98,70.53,11.15,28.9
Lower middle income,1999,37.62,70.06,10.51,28.14
Lower middle income,2002,35.56,67.86,9.69,26.77
Lower middle income,2005,30.91,63.31,8.1,23.89
Lower middle income,2008,27.51,59.43,7.04,21.75
Lower middle income,2010,23.5,55.01,5.96,19.39
Lower middle income,2011,20.11,51.24,5.02,17.25
Lower middle income,2012,18.31,48.75,4.55,16.06
Lower middle income,2013,16.35,46.27,4.03,14.78
Macedonia,1998,0.8,7.7,0.04,1.58
Macedonia,2000,5.2,17.99,1,5.27
Macedonia,2002,1.31,6.21,0.31,1.52
Macedonia,2003,1.15,6.99,0.24,1.48
Macedonia,2004,1.35,6.51,0.32,1.6
Macedonia,2005,1.38,6.41,0.38,1.68
Macedonia,2006,2.66,8.34,0.56,2.44
Macedonia,2008,1.33,8.71,0.36,2.01
Madagascar,1993,69.36,87.63,30.35,49.68
Madagascar,1997,65.89,86.01,28.12,47.36
Madagascar,1999,64.13,85.19,27.71,46.54
Madagascar,2001,68.68,84.07,34.36,51.21
Madagascar,2005,74.06,89.86,31.7,51.82
Madagascar,2010,81.76,92.91,40.32,58.97
Madagascar,2012,77.84,90.47,39.23,57.09
Malawi,1997,63.63,84.15,24.92,44.59
Malawi,2004,73.63,90.07,31.68,51.73
Malawi,2010,70.91,87.64,33.29,51.75
Malaysia,1984,2.88,12.01,0.58,3.13
Malaysia,1987,2.06,11.61,0.31,2.71
Malaysia,1989,1.63,10.78,0.25,2.39
Malaysia,1992,1.26,10.92,0.1,2.34
Malaysia,1995,1.75,10.7,0.21,2.45
Malaysia,1997,0.4,6.62,0.03,1.23
Malaysia,2004,0.37,2.34,0.09,0.53
Malaysia,2007,0.52,3.05,0.12,0.71
Malaysia,2009,0.28,2.71,0.04,0.49
Maldives,2002,9.99,36.48,2.57,10.28
Maldives,2009,7.26,23.26,1.5,6.74
Mali,1994,84.88,93.04,51.88,66.54
Mali,2001,57.92,79.27,22.91,41.07
Mali,2006,50.59,76.13,17.46,35.95
Mali,2009,49.25,77.71,15.19,34.56
Mauritania,1987,40.05,64.18,17.35,31.12
Mauritania,1993,41.16,68.16,13.66,30.13
Mauritania,1995,20.62,47.53,6.13,17.09
Mauritania,2000,19.64,43.88,5.25,15.58
Mauritania,2004,14.39,40.33,3.59,12.87
Mauritania,2008,10.79,32.46,2.73,9.97
Mauritania,2014,5.93,22.07,1.4,6
Mauritius,2006,0.42,3.04,0.07,0.62
Mauritius,2012,0.53,2.96,0.11,0.65
Mexico,1984,7.93,20.99,2.26,6.84
Mexico,1989,7.07,18.07,2.22,6.15
Mexico,1992,9.73,24.4,2.88,8.26
Mexico,1994,9.92,22.83,3.74,8.54
Mexico,1996,14.09,31.3,4.33,11.39
Mexico,1998,14.29,29.88,4.74,11.57
Mexico,2000,11,24.54,3.46,8.93
Mexico,2002,8.81,22.9,2.5,7.72
Mexico,2004,4.82,13.03,2.24,4.79
Mexico,2006,3.29,11.43,0.8,3.2
Mexico,2008,3.8,12.03,0.87,3.5
Mexico,2010,3.8,11.9,0.96,3.46
Mexico,2012,2.68,10.32,0.67,2.74
Mexico,2014,3.04,10.95,0.81,3.04
Micronesia (country),2000,45.99,61.7,26.15,37.1
Micronesia (country),2005,11.42,28.51,2.65,9.39
Micronesia (country),2013,17.37,39.35,6.35,14.75
Middle East & North Africa,1984,8.34,28.84,1.59,8.05
Middle East & North Africa,1987,8.45,29.03,1.66,8.16
Middle East & North Africa,1990,6.03,23.94,1.12,6.32
Middle East & North Africa,1993,5.6,25.21,0.99,6.38
Middle East & North Africa,1996,4.82,24.42,0.85,5.93
Middle East & North Africa,1999,3.82,19.62,0.7,4.67
Middle East & North Africa,2005,3.02,17.56,0.57,3.99
Middle East & North Africa,2008,2.08,14.26,0.39,3.07
Middle income,1981,53.91,71.72,22.81,38.92
Middle income,1984,49.11,70.63,17.79,34.77
Middle income,1987,42.91,67.53,14.49,30.94
Middle income,1990,42.75,66.69,14.28,30.57
Middle income,1993,40.12,64.75,13.14,29.02
Middle income,1996,33.65,60.25,10.13,25
Middle income,1999,32.6,58.96,9.88,24.36
Middle income,2002,28.87,54.31,8.49,21.81
Middle income,2005,22.45,47.18,6.06,17.53
Middle income,2008,19.15,41.97,5.06,15.22
Middle income,2010,16.12,38.02,4.16,13.29
Middle income,2011,13.42,34.6,3.42,11.56
Middle income,2012,12.07,32.37,3.05,10.6
Middle income,2013,9.81,28.92,2.51,9.07
Moldova,1988,0,0,0,0
Moldova,1992,13.41,33.86,3.28,11.07
Moldova,1997,16.07,41.99,4.73,14.08
Moldova,1998,27.56,55.69,9.05,22.06
Moldova,1999,39.1,68.35,12.68,29.24
Moldova,2000,35.92,67.14,11.08,27.37
Moldova,2001,27.56,57.87,7.97,21.94
Moldova,2002,16.55,42.59,3.98,13.92
Moldova,2003,7.61,30.45,1.43,7.96
Moldova,2004,8.66,30.85,1.9,8.74
Moldova,2005,13.95,38.67,3.32,12.24
Moldova,2006,2.41,11.74,0.59,2.85
Moldova,2007,1.11,7.27,0.27,1.57
Moldova,2008,1.29,8.31,0.25,1.78
Moldova,2009,1.03,7.43,0.15,1.47
Moldova,2010,0.53,5.19,0.11,0.9
Moldova,2011,0.28,3.54,0.04,0.63
Moldova,2012,0.34,2.88,0.04,0.5
Moldova,2013,0.08,1.95,0.01,0.28
Moldova,2014,0,1.03,0,0.12
Mongolia,1995,13.86,36.93,3.04,11.52
Mongolia,1998,26.92,60.57,8.05,22.01
Mongolia,2002,10.55,33.63,2.42,9.86
Mongolia,2007,1.34,11.29,0.23,2.22
Mongolia,2010,0.76,8.74,0.1,1.65
Mongolia,2011,0.57,6.21,0.06,1.12
Mongolia,2012,0.38,3.95,0.06,0.67
Mongolia,2014,0.22,2.7,0.03,0.46
Montenegro,2005,0.23,1.11,0.07,0.23
Montenegro,2006,0.14,1.07,0,0.19
Montenegro,2007,0.36,0.56,0.03,0.18
Montenegro,2008,0.19,0.46,0.04,0.14
Montenegro,2009,0,0.59,0,0.02
Montenegro,2010,0,0.53,0,0.05
Montenegro,2011,0.21,1.03,0.08,0.23
Montenegro,2012,1.26,2.14,0.52,0.97
Montenegro,2013,1.04,2.53,0.23,0.84
Montenegro,2014,0,0.5,0,0.07
Morocco,1984,11.07,31.07,2.35,9.47
Morocco,1990,2.87,17.92,0.41,4.07
Morocco,1998,7.52,26.64,1.32,7.15
Morocco,2000,6.27,25.73,1.3,6.77
Morocco,2006,3.12,15.5,0.6,3.69
Mozambique,1996,85.36,94.04,47.28,64.09
Mozambique,2002,80.36,92.04,41.53,59.33
Mozambique,2008,68.74,87.54,31.41,50.18
Namibia,1993,52.87,65.93,27.77,40.29
Namibia,2003,31.46,54.74,10.17,23.37
Namibia,2009,22.6,45.72,6.65,17.72
Nepal,1984,74.77,92.88,28.36,50.75
Nepal,1995,61.9,85.47,21.2,42.5
Nepal,2003,46.12,73.77,14.49,32.72
Nepal,2010,14.99,48.44,3.05,14.68
Nicaragua,1993,22.06,42.21,6.95,16.81
Nicaragua,1998,15.67,37.56,4.39,13.25
Nicaragua,2001,20.52,37.51,8.62,16.42
Nicaragua,2005,15.6,39.35,3.61,12.87
Nicaragua,2009,10.83,25.16,3.62,9.07
Nicaragua,2014,6.22,17.12,1.57,5.28
Niger,1992,78.19,93.38,34.12,54.97
Niger,1994,81.38,93.61,43.13,60.77
Niger,2005,74.93,90.04,35.5,54.27
Niger,2007,72.02,90.08,28.75,49.77
Niger,2011,50.34,81.75,13.91,35.15
Niger,2014,45.7,75.46,13.69,32.61
Nigeria,1985,45.27,70.64,17,33.35
Nigeria,1992,57.06,76.15,27.37,42.93
Nigeria,1996,63.5,81.04,31.08,47.35
Nigeria,2003,53.46,78.51,21.92,39.53
Nigeria,2009,53.47,76.46,21.76,39.13
Pakistan,1987,62.16,86.67,20.63,42.43
Pakistan,1990,58.96,85.57,19.97,41.41
Pakistan,1996,15.92,60.54,2.58,16.86
Pakistan,1998,23.44,63.82,4.76,20.36
Pakistan,2001,28.65,70.04,5.78,23.59
Pakistan,2004,18.04,58.08,3.43,17.17
Pakistan,2005,16.48,57.05,2.73,16.21
Pakistan,2007,13.13,52.88,2.11,14.18
Pakistan,2010,8.28,44.92,1.17,10.75
Pakistan,2011,7.93,43.58,1.1,10.34
Pakistan,2013,6.07,36.88,0.87,8.55
Palestine,2004,0.28,2.79,0.1,0.59
Palestine,2005,0.2,2.08,0.03,0.39
Palestine,2006,0.13,1.08,0.02,0.16
Palestine,2007,0.96,3.93,0.17,0.95
Palestine,2009,0.11,0.92,0.02,0.2
Panama,1989,23.75,33.17,16.31,21.02
Panama,1991,21.87,30.88,13.98,18.66
Panama,1995,16.28,24.08,11.04,14.59
Panama,1997,15.01,22.79,9.22,13.02
Panama,1998,15.16,22.92,9.93,13.4
Panama,1999,13.39,20.44,8.47,11.72
Panama,2000,14.68,21.79,9.36,12.73
Panama,2001,16.42,25.05,8.79,13.39
Panama,2002,11.93,21.8,4.9,9.58
Panama,2003,11.57,20.8,4.86,9.29
Panama,2004,10.76,19.74,4.29,8.54
Panama,2005,10.3,18.84,4.04,8.09
Panama,2006,10.99,19.33,4.69,8.76
Panama,2007,8.11,16.42,2.82,6.5
Panama,2008,5.49,11.99,1.53,4.34
Panama,2009,3.37,9.46,0.94,2.98
Panama,2010,4.57,10.7,1.32,3.7
Panama,2011,3.98,9.49,1.29,3.42
Panama,2012,4.41,9.91,1.44,3.64
Panama,2013,2.86,7.98,0.8,2.57
Panama,2014,3.77,8.37,1.21,3.11
Papua New Guinea,1996,53.23,70.18,28.11,41.44
Papua New Guinea,2009,39.31,64.68,15.92,30.39
Paraguay,1990,1.19,4.22,0.3,1.19
Paraguay,1995,12.4,22.7,5.25,10.05
Paraguay,1997,10.55,19.01,4.53,8.5
Paraguay,1999,10.21,19.33,4.07,8.19
Paraguay,2001,9.07,17.66,3.62,7.43
Paraguay,2002,13.31,26.17,5.31,10.91
Paraguay,2003,8.97,19.4,3.18,7.52
Paraguay,2004,6.59,17.25,2.12,5.81
Paraguay,2005,6.95,16.08,2.55,5.98
Paraguay,2006,10.06,20.37,3.31,7.98
Paraguay,2007,8.51,16.5,2.9,6.67
Paraguay,2008,4.97,14.1,1.62,4.57
Paraguay,2009,6.44,14.46,2.21,5.25
Paraguay,2010,6.07,13.45,2.1,5.03
Paraguay,2011,5.47,12.14,1.93,4.71
Paraguay,2012,3.71,9.66,1.15,3.25
Paraguay,2013,2.19,6.3,0.87,2.16
Paraguay,2014,2.77,6.99,0.85,2.34
Peru,1985,16.58,36.51,5.15,13.37
Peru,1994,15.78,32.66,4.56,12.12
Peru,1997,17.93,32.07,7.22,14.12
Peru,1998,16.74,30.34,6.87,13.47
Peru,1999,17.63,31.01,7.23,13.84
Peru,2000,16.7,29.87,6.2,12.91
Peru,2001,17.67,32.61,6.67,13.89
Peru,2002,15.32,29.43,5.74,12.19
Peru,2003,12.24,27.23,4.02,10.23
Peru,2004,12.22,25.5,3.91,9.73
Peru,2005,14.17,27.37,4.62,10.87
Peru,2006,12.39,23.99,4.09,9.58
Peru,2007,10.03,20.84,3.22,7.98
Peru,2008,7.94,17.46,2.38,6.43
Peru,2009,6.27,15.35,1.82,5.27
Peru,2010,4.74,13.01,1.3,4.14
Peru,2011,4.34,11.69,1.14,3.78
Peru,2012,4.13,10.79,1.13,3.56
Peru,2013,3.7,9.7,0.94,3.13
Peru,2014,3.13,9.01,0.79,2.81
Philippines,1985,28.08,55.82,7.39,21.11
Philippines,1988,25.06,53.52,6.23,19.51
Philippines,1991,26.59,52.03,6.83,19.73
Philippines,1994,24.99,50.15,6.32,18.71
Philippines,1997,17.66,41.7,4.09,14.23
Philippines,2000,18.41,43.08,4.44,14.93
Philippines,2003,16.84,40,4.04,13.71
Philippines,2006,16.45,40.66,3.67,13.5
Philippines,2009,11.98,36.45,2.43,11
Philippines,2012,13.11,37.61,2.74,11.68
Poland,1985,0.16,0.39,0.13,0.18
Poland,1987,0.12,0.32,0.09,0.13
Poland,1989,0.09,0.21,0.08,0.1
Poland,1993,0.14,2.63,0.03,0.37
Poland,1996,2.57,18.38,0.49,3.92
Poland,1998,0.02,0.76,0,0.11
Poland,1999,0.06,0.87,0.01,0.13
Poland,2000,0.13,1.1,0.02,0.19
Poland,2001,0.08,1.26,0.02,0.21
Poland,2002,0.07,1.43,0.01,0.2
Poland,2003,0.05,0.91,0,0.14
Poland,2004,0.1,1.14,0.02,0.2
Poland,2005,0.14,1.37,0.02,0.25
Poland,2006,0.66,1.62,0.42,0.68
Poland,2007,0.03,0.51,0.01,0.08
Poland,2008,0.01,0.38,0,0.05
Poland,2009,0.02,0.28,0,0.04
Poland,2010,0.38,1,0.25,0.41
Poland,2011,0.02,0.35,0,0.05
Poland,2012,0.02,0.26,0,0.04
Poland,2013,0.01,0.26,0,0.03
Poland,2014,0.01,0.31,0,0.03
Romania,1989,0.3,0.65,0.29,0.35
Romania,1992,0.62,2.53,0.3,0.71
Romania,1994,10.72,39.75,2.45,11.05
Romania,1998,2.11,11.53,0.44,2.64
Romania,1999,6.46,26.42,1.32,6.86
Romania,2000,7.54,28.84,1.55,7.59
Romania,2001,5.45,22.97,1.1,5.93
Romania,2002,5.4,22.24,1.21,5.82
Romania,2003,3.87,18.86,0.75,4.51
Romania,2004,2.84,14.74,0.28,3.36
Romania,2005,2.15,11.83,0.27,2.67
Romania,2006,2.36,11.74,0.34,2.71
Romania,2008,4.94,11.45,1.91,4.29
Romania,2009,3.72,9.89,1.02,3.21
Romania,2010,4.78,11.33,1.82,4.23
Romania,2012,6.11,11.6,2.58,4.91
Romania,2013,0,4.05,0,0.72
Russia,1988,1.37,12.26,0.31,2.35
Russia,1993,2.37,10.11,0.24,2.55
Russia,1996,3.6,10.73,0.61,3.13
Russia,1997,1.13,5.12,0.27,1.27
Russia,1998,1.7,7.25,0.4,1.85
Russia,1999,3.4,12.38,0.82,3.37
Russia,2000,2.25,9.22,0.51,2.37
Russia,2001,1.24,8.06,0.25,1.76
Russia,2002,0.7,4.25,0.14,0.93
Russia,2003,1.06,5.11,0.25,1.23
Russia,2004,0.89,4.1,0.22,1
Russia,2005,0.66,3.21,0.15,0.75
Russia,2006,0.54,2.79,0.12,0.63
Russia,2007,0.2,1.24,0.05,0.26
Russia,2008,0.07,0.44,0.02,0.09
Russia,2009,0.04,0.43,0.01,0.07
Russia,2010,0.15,0.85,0.03,0.19
Russia,2011,0.08,0.56,0.01,0.11
Russia,2012,0.04,0.48,0.01,0.09
Rwanda,1984,62.46,88.6,19.22,42.2
Rwanda,2000,76.97,89.65,37.93,56.05
Rwanda,2005,68,84.05,31.14,49.13
Rwanda,2010,60.25,80.66,23.7,42.58
Rwanda,2013,60.43,80.6,23.69,42.47
Saint Lucia,1995,35.83,61.77,13.24,27.32
Samoa,2008,0.83,8.35,0.11,1.65
Sao Tome and Principe,2000,29.84,62.27,7.82,23.12
Sao Tome and Principe,2010,32.28,68.1,8.61,25.45
Senegal,1991,68.43,83.81,36.5,52.28
Senegal,1994,57.52,82.09,21.43,40.94
Senegal,2001,49.25,75.42,16.49,34.86
Senegal,2005,38.39,66.38,12.75,28.68
Senegal,2011,37.98,66.26,12.79,28.4
Serbia,2002,0.17,1.28,0.03,0.26
Serbia,2003,0.47,1.78,0.13,0.49
Serbia,2004,0.87,2.74,0.19,0.71
Serbia,2005,1.08,3.99,0.27,1
Serbia,2006,0.47,1.74,0.1,0.5
Serbia,2007,0.35,1.16,0.07,0.31
Serbia,2008,0.07,0.79,0.03,0.17
Serbia,2009,0.12,1.19,0.02,0.28
