Entity,Year,HAQ Index (IHME (2017))
"Southeast Asia, East Asia, and Oceania",1995,48.1
"Southeast Asia, East Asia, and Oceania",2000,51.1
"Southeast Asia, East Asia, and Oceania",2005,55.4
"Southeast Asia, East Asia, and Oceania",2010,60
"Southeast Asia, East Asia, and Oceania",2015,63.5
Southern Latin America,1990,57.6
Southern Latin America,1995,61.1
Southern Latin America,2000,64.7
Southern Latin America,2005,66.7
Southern Latin America,2010,68.1
Southern Latin America,2015,70
Southern Sub-Saharan Africa,1990,44.8
Southern Sub-Saharan Africa,1995,46.7
Southern Sub-Saharan Africa,2000,43.4
Southern Sub-Saharan Africa,2005,43.1
Southern Sub-Saharan Africa,2010,46.3
Southern Sub-Saharan Africa,2015,49.2
Spain,1990,73.9
Spain,1995,78.1
Spain,2000,81.4
Spain,2005,84.1
Spain,2010,87.2
Spain,2015,89.6
Sri Lanka,1990,56.9
Sri Lanka,1995,59.5
Sri Lanka,2000,60.4
Sri Lanka,2005,63.8
Sri Lanka,2010,68.9
Sri Lanka,2015,72.8
Sub-Saharan Africa,1990,32.3
Sub-Saharan Africa,1995,33.5
Sub-Saharan Africa,2000,34.6
Sub-Saharan Africa,2005,37.4
Sub-Saharan Africa,2010,40.5
Sub-Saharan Africa,2015,42.2
Sudan,1990,36.6
Sudan,1995,38.8
Sudan,2000,42
Sudan,2005,44.9
Sudan,2010,47.4
Sudan,2015,50.1
Suriname,1990,46.7
Suriname,1995,48.6
Suriname,2000,49.5
Suriname,2005,51
Suriname,2010,53.5
Suriname,2015,56.7
Swaziland,1990,41.5
Swaziland,1995,45.7
Swaziland,2000,40.7
Swaziland,2005,35.1
Swaziland,2010,37.8
Swaziland,2015,41.9
Sweden,1990,80.4
Sweden,1995,83.9
Sweden,2000,85.7
Sweden,2005,87
Sweden,2010,88.7
Sweden,2015,90.5
Switzerland,1990,81.4
Switzerland,1995,83.4
Switzerland,2000,85.4
Switzerland,2005,88.2
Switzerland,2010,90.1
Switzerland,2015,91.8
Syria,1990,58.2
Syria,1995,63.1
Syria,2000,68.2
Syria,2005,71.4
Syria,2010,73.8
Syria,2015,74.6
Taiwan,1990,64.2
Taiwan,1995,66.8
Taiwan,2000,70.1
Taiwan,2005,73.6
Taiwan,2010,77.1
Taiwan,2015,77.6
Tajikistan,1990,48.7
Tajikistan,1995,48.1
Tajikistan,2000,48.6
Tajikistan,2005,51.7
Tajikistan,2010,55.4
Tajikistan,2015,58.6
Tanzania,1990,39.9
Tanzania,1995,41
Tanzania,2000,43.1
Tanzania,2005,46.7
Tanzania,2010,48.8
Tanzania,2015,49.9
Thailand,1990,52.4
Thailand,1995,55.9
Thailand,2000,59.3
Thailand,2005,64.8
Thailand,2010,68.4
Thailand,2015,70.8
The Bahamas,1990,50.9
The Bahamas,1995,54.1
The Bahamas,2000,57
The Bahamas,2005,59.9
The Bahamas,2010,62.1
The Bahamas,2015,63.9
Timor,1990,32.2
Timor,1995,35.4
Timor,2000,38.2
Timor,2005,42.6
Timor,2010,48.4
Timor,2015,51.6
Togo,1990,37.4
Togo,1995,36.9
Togo,2000,36.9
Togo,2005,40.1
Togo,2010,41.8
Togo,2015,44.3
Tonga,1990,55
Tonga,1995,56.3
Tonga,2000,57.3
Tonga,2005,58.4
Tonga,2010,60.1
Tonga,2015,62.1
Trinidad and Tobago,1990,51.6
Trinidad and Tobago,1995,53.5
Trinidad and Tobago,2000,55.8
Trinidad and Tobago,2005,58.6
Trinidad and Tobago,2010,60.5
Trinidad and Tobago,2015,62.1
Tropical Latin America,1990,50.1
Tropical Latin America,1995,53.7
Tropical Latin America,2000,56.9
Tropical Latin America,2005,59.8
Tropical Latin America,2010,62.5
Tropical Latin America,2015,64.7
Tunisia,1990,53
Tunisia,1995,56.9
Tunisia,2000,61.4
Tunisia,2005,64.5
Tunisia,2010,67.4
Tunisia,2015,70.1
Turkey,1990,51.3
Turkey,1995,55.4
Turkey,2000,62.4
Turkey,2005,68.6
Turkey,2010,74.3
Turkey,2015,76.2
Turkmenistan,1990,47.1
Turkmenistan,1995,47.7
Turkmenistan,2000,48.8
Turkmenistan,2005,51.1
Turkmenistan,2010,54.5
Turkmenistan,2015,58.1
Uganda,1990,34
Uganda,1995,33.9
Uganda,2000,35.2
Uganda,2005,38.2
Uganda,2010,41.4
Uganda,2015,42.9
Ukraine,1990,62.8
Ukraine,1995,59.4
Ukraine,2000,62
Ukraine,2005,64.4
Ukraine,2010,70.5
Ukraine,2015,72.7
United Arab Emirates,1990,56.9
United Arab Emirates,1995,60.8
United Arab Emirates,2000,64.7
United Arab Emirates,2005,69
United Arab Emirates,2010,71.4
United Arab Emirates,2015,72.2
United Kingdom,1990,74.3
United Kingdom,1995,76.6
United Kingdom,2000,78.4
United Kingdom,2005,80.6
United Kingdom,2010,82.7
United Kingdom,2015,84.6
United States,1990,73.7
United States,1995,76
United States,2000,77.8
United States,2005,78.8
United States,2010,80.5
United States,2015,81.3
United States Virgin Islands,1990,60.4
United States Virgin Islands,1995,63.1
United States Virgin Islands,2000,65.8
United States Virgin Islands,2005,68.8
United States Virgin Islands,2010,69.8
United States Virgin Islands,2015,70.2
Uruguay,1990,60.8
Uruguay,1995,63.1
Uruguay,2000,67.1
Uruguay,2005,68.7
Uruguay,2010,70.6
Uruguay,2015,72
Uzbekistan,1990,51.9
Uzbekistan,1995,51.7
Uzbekistan,2000,54
Uzbekistan,2005,56.1
Uzbekistan,2010,59.2
Uzbekistan,2015,62.3
Vanuatu,1990,36.4
Vanuatu,1995,37.4
Vanuatu,2000,38.3
Vanuatu,2005,38.4
Vanuatu,2010,41.1
Vanuatu,2015,43.1
Venezuela,1990,53.1
Venezuela,1995,55.6
Venezuela,2000,59.3
Venezuela,2005,62.3
Venezuela,2010,64.2
Venezuela,2015,64.7
Vietnam,1990,49.5
Vietnam,1995,52.4
Vietnam,2000,55.8
Vietnam,2005,59.6
Vietnam,2010,63
Vietnam,2015,66.3
Western Europe,1990,73.2
Western Europe,1995,76.8
Western Europe,2000,79.9
Western Europe,2005,82.9
Western Europe,2010,84.9
Western Europe,2015,86.8
Western Sub-Saharan Africa,1990,35.3
Western Sub-Saharan Africa,1995,36.2
Western Sub-Saharan Africa,2000,37
Western Sub-Saharan Africa,2005,39.7
Western Sub-Saharan Africa,2010,43.3
Western Sub-Saharan Africa,2015,44.8
World,1990,40.7
World,1995,42.7
World,2000,44.8
World,2005,47.8
World,2010,51
World,2015,53.7
Yemen,1990,35.2
Yemen,1995,38
Yemen,2000,41.3
Yemen,2005,44.5
Yemen,2010,47.8
Yemen,2015,49.6
Zambia,1990,37.4
Zambia,1995,34.6
Zambia,2000,34.3
Zambia,2005,35.5
Zambia,2010,37.4
Zambia,2015,41.6
Zimbabwe,1990,48.1
Zimbabwe,1995,49.5
Zimbabwe,2000,45.4
Zimbabwe,2005,41.8
Zimbabwe,2010,42.1
Zimbabwe,2015,48.7
