Entity,Year,age-standardized_death_rate_per_100k_both_sexes,age-standardized_death_rate_per_100k_female,age-standardized_death_rate_per_100k_male,crude_death_rate_per_100k_both_sexes,crude_death_rate_per_100k_female,crude_death_rate_per_100k_male
Dominican Republic,2003,6.82,5.08,8.64,4.51,3.43,5.58
Dominican Republic,2004,6.86,5.02,8.79,4.58,3.43,5.7
Dominican Republic,2005,7.12,5.28,9.05,4.83,3.69,5.94
Dominican Republic,2006,6.42,5.14,7.74,4.46,3.71,5.18
Dominican Republic,2007,6.24,4.58,7.87,4.4,3.36,5.35
Dominican Republic,2008,5.86,4.19,7.6,4.22,3.15,5.26
Dominican Republic,2009,6.15,4.08,8.3,4.48,3.1,5.78
Dominican Republic,2010,6.61,5.34,7.94,4.97,4.22,5.69
Dominican Republic,2011,7.29,5.4,9.35,5.6,4.4,6.81
Dominican Republic,2012,6.52,5.33,7.83,5.12,4.36,5.86
Dominican Republic,2013,6.76,5.22,8.43,5.41,4.39,6.43
Dominican Republic,2014,6.39,4.85,8.12,5.24,4.14,6.34
Dominican Republic,2015,4.79,3.94,5.76,3.99,3.43,4.55
Dominican Republic,2016,5.48,4.73,6.33,4.69,4.29,5.09
Dominican Republic,2017,5.2,4.35,6.13,4.58,4.05,5.12
Dominican Republic,2018,5.78,4.7,7.02,5.19,4.46,5.93
Ecuador,1966,3.49,2.3,4.83,1.72,1.26,2.18
Ecuador,1967,3.39,1.85,5.07,1.44,1.01,1.86
Ecuador,1968,2.63,2.32,3.04,1.4,1.33,1.46
Ecuador,1969,3.51,2.6,4.58,2.0,1.6,2.4
Ecuador,1970,2.89,1.81,4.15,1.57,1.06,2.07
Ecuador,1971,3.2,1.97,4.67,1.68,1.13,2.23
Ecuador,1972,3.12,2.04,4.31,1.7,1.19,2.2
Ecuador,1973,2.51,1.7,3.37,1.38,1.0,1.75
Ecuador,1974,3.04,1.85,4.46,1.54,1.0,2.08
Ecuador,1975,2.94,2.16,3.81,1.53,1.21,1.85
Ecuador,1977,3.46,1.99,5.06,1.55,0.93,2.16
Ecuador,1978,3.54,2.04,5.21,1.54,0.87,2.21
Ecuador,1979,4.66,2.59,6.91,2.08,1.27,2.87
Ecuador,1980,4.52,2.53,6.71,1.96,1.21,2.71
Ecuador,1981,4.2,2.71,5.91,2.22,1.57,2.86
Ecuador,1982,5.85,3.86,8.01,2.46,1.73,3.18
Ecuador,1983,4.5,2.21,7.11,2.38,1.24,3.5
Ecuador,1984,6.2,3.93,8.7,2.59,1.75,3.42
Ecuador,1985,6.65,3.53,10.13,2.76,1.55,3.95
Ecuador,1986,6.24,3.75,9.11,2.6,1.76,3.43
Ecuador,1987,5.46,3.18,7.92,2.65,1.68,3.61
Ecuador,1988,5.62,3.32,8.23,2.65,1.72,3.57
Ecuador,1989,5.37,3.44,7.58,2.87,2.01,3.72
Ecuador,1990,5.62,3.07,8.53,3.0,1.75,4.24
Ecuador,1991,5.82,3.44,8.63,3.09,1.99,4.19
Ecuador,1992,5.78,3.16,8.77,3.18,1.84,4.51
Ecuador,1993,5.92,3.65,8.44,3.41,2.26,4.56
Ecuador,1994,5.48,3.8,7.4,3.12,2.3,3.94
Ecuador,1995,6.48,5.07,8.15,3.74,3.12,4.34
Ecuador,1996,5.84,4.23,7.69,3.47,2.73,4.2
Ecuador,1997,6.15,4.52,7.97,3.66,2.89,4.43
Ecuador,1998,6.15,4.37,8.16,3.74,2.83,4.64
Ecuador,1999,5.69,4.28,7.32,3.5,2.81,4.19
Ecuador,2000,5.66,3.78,7.86,3.54,2.55,4.52
Ecuador,2001,5.89,4.29,7.74,3.79,2.98,4.58
Ecuador,2002,6.2,4.11,8.59,4.05,2.87,5.22
Ecuador,2003,5.49,3.75,7.52,3.71,2.73,4.68
Ecuador,2004,6.15,4.79,7.76,4.18,3.5,4.85
Ecuador,2005,6.35,4.79,8.15,4.39,3.51,5.26
Ecuador,2006,5.79,4.13,7.79,4.11,3.11,5.11
Ecuador,2007,5.91,4.56,7.51,4.27,3.53,5.0
Ecuador,2008,5.86,4.16,7.87,4.36,3.32,5.39
Ecuador,2009,6.0,4.68,7.66,4.52,3.77,5.27
Ecuador,2010,6.16,4.51,8.08,4.7,3.72,5.68
Ecuador,2011,6.21,4.74,7.96,4.87,4.01,5.74
Ecuador,2012,6.1,4.9,7.58,4.88,4.16,5.6
Ecuador,2013,5.02,3.92,6.34,4.09,3.43,4.74
Ecuador,2014,5.37,4.7,6.21,4.49,4.18,4.81
Ecuador,2015,5.12,4.09,6.37,4.39,3.75,5.02
Ecuador,2016,5.05,4.51,5.7,4.41,4.22,4.6
Ecuador,2017,5.55,4.9,6.35,4.9,4.63,5.18
Ecuador,2018,5.02,4.07,6.18,4.56,3.95,5.17
Ecuador,2019,5.64,4.5,6.99,5.24,4.49,5.98
Ecuador,2020,4.49,3.82,5.29,4.25,3.88,4.62
Egypt,1965,1.51,0.88,2.24,0.97,0.61,1.31
Egypt,1966,1.38,0.7,2.15,0.9,0.47,1.31
Egypt,1967,1.49,0.75,2.34,0.95,0.52,1.36
Egypt,1970,1.47,0.76,2.29,0.93,0.52,1.33
Egypt,1971,1.37,0.71,2.15,0.89,0.49,1.27
Egypt,1972,1.48,0.8,2.24,0.97,0.55,1.38
Egypt,1973,1.44,0.7,2.31,0.95,0.5,1.38
Egypt,1974,1.44,0.76,2.2,0.95,0.53,1.35
Egypt,1975,1.66,0.87,2.6,1.08,0.61,1.55
Egypt,1976,1.74,1.05,2.51,1.15,0.73,1.56
Egypt,1977,1.42,0.9,2.0,0.94,0.63,1.25
Egypt,1978,1.52,0.86,2.27,1.03,0.61,1.44
Egypt,1979,1.8,0.75,2.98,1.19,0.53,1.85
Egypt,1980,1.8,0.93,2.77,1.22,0.66,1.76
Egypt,1987,2.48,1.3,3.88,1.64,0.91,2.36
Egypt,1991,2.54,1.24,4.07,1.68,0.88,2.46
Egypt,1992,2.85,1.58,4.35,1.86,1.1,2.6
Egypt,2000,2.98,1.59,4.62,1.98,1.13,2.83
Egypt,2001,3.63,1.91,5.63,2.43,1.38,3.46
Egypt,2002,3.65,1.94,5.68,2.4,1.39,3.4
Egypt,2003,3.95,2.09,6.14,2.63,1.52,3.73
Egypt,2004,4.41,2.53,6.67,2.94,1.83,4.04
Egypt,2005,4.55,2.69,6.81,3.07,1.96,4.15
Egypt,2006,4.52,2.56,6.85,3.05,1.87,4.2
Egypt,2007,4.45,2.52,6.73,3.06,1.89,4.2
Egypt,2008,4.89,2.94,7.24,3.35,2.19,4.49
Egypt,2009,5.03,3.05,7.38,3.51,2.31,4.69
Egypt,2010,5.26,3.21,7.67,3.66,2.4,4.9
Egypt,2011,5.4,3.18,8.05,3.72,2.38,5.03
Egypt,2012,5.37,3.37,7.72,3.74,2.56,4.9
Egypt,2013,5.51,3.06,8.36,3.84,2.31,5.34
Egypt,2014,6.19,3.93,8.47,3.99,2.62,5.3
Egypt,2015,6.19,3.89,8.53,4.03,2.63,5.37
Egypt,2016,6.13,3.85,8.45,3.93,2.56,5.24
Egypt,2017,6.47,4.49,8.26,3.85,2.63,5.0
Egypt,2018,6.55,4.31,8.59,3.91,2.56,5.18
Egypt,2019,4.81,2.96,6.96,3.5,2.31,4.67
El Salvador,1990,3.0,1.99,4.36,1.61,1.15,2.1
El Salvador,1991,2.67,2.5,2.8,1.44,1.42,1.46
El Salvador,1992,2.62,1.89,3.71,1.52,1.18,1.88
El Salvador,1993,3.35,2.53,4.38,1.82,1.55,2.11
El Salvador,1995,2.18,1.95,2.6,1.35,1.31,1.39
El Salvador,1996,4.46,4.06,5.06,2.76,2.69,2.83
El Salvador,1997,3.76,3.32,4.25,2.42,2.26,2.59
El Salvador,1998,3.46,2.83,4.3,2.26,1.97,2.57
El Salvador,1999,3.41,3.19,3.72,2.29,2.28,2.3
El Salvador,2000,4.73,4.25,5.35,3.19,3.05,3.35
El Salvador,2001,5.1,4.44,5.94,3.49,3.25,3.75
El Salvador,2002,4.96,3.63,6.57,3.56,2.77,4.4
El Salvador,2003,5.18,4.52,6.03,3.72,3.49,3.97
El Salvador,2004,4.61,4.39,4.88,3.45,3.5,3.4
El Salvador,2005,4.93,4.41,5.66,3.68,3.54,3.84
El Salvador,2006,4.9,4.24,5.79,3.78,3.49,4.11
El Salvador,2007,4.55,4.1,5.14,3.59,3.44,3.75
El Salvador,2008,4.71,3.68,6.04,3.82,3.2,4.5
El Salvador,2009,3.73,3.47,4.03,3.09,3.06,3.12
El Salvador,2010,4.15,3.74,4.69,3.48,3.35,3.62
El Salvador,2011,4.55,3.97,5.29,3.9,3.66,4.16
El Salvador,2012,4.65,3.95,5.59,4.12,3.76,4.52
El Salvador,2013,4.54,3.68,5.67,4.13,3.62,4.71
El Salvador,2014,4.21,3.68,4.9,3.89,3.66,4.15
El Salvador,2015,3.08,2.54,3.76,2.88,2.6,3.19
El Salvador,2016,3.25,2.77,3.89,3.07,2.82,3.35
El Salvador,2017,2.59,2.34,2.94,2.52,2.48,2.57
El Salvador,2018,2.76,2.44,3.17,2.74,2.64,2.86
Estonia,1981,29.26,8.1,66.46,37.34,12.2,66.51
Estonia,1982,29.52,6.53,69.39,37.46,10.01,69.29
Estonia,1985,28.45,6.47,65.7,36.93,10.21,67.72
Estonia,1986,29.23,7.06,66.0,37.79,11.23,68.33
Estonia,1987,30.14,7.76,66.5,38.99,12.11,69.8
Estonia,1988,33.49,8.43,74.7,44.05,13.47,78.99
Estonia,1989,33.36,9.01,72.61,44.32,14.25,78.58
Estonia,1990,31.89,7.83,70.3,41.74,12.69,74.79
Estonia,1991,37.64,8.64,84.56,50.15,13.48,91.9
Estonia,1992,33.94,8.25,75.6,46.77,14.3,83.91
Estonia,1993,32.95,8.22,72.6,46.31,13.51,84.07
Estonia,1994,32.45,7.83,71.29,46.56,13.52,84.73
Estonia,1995,33.64,7.39,76.25,49.63,13.09,91.99
Estonia,1996,31.34,8.14,69.52,47.61,15.63,84.81
Estonia,1997,33.73,9.73,71.76,50.73,17.79,89.13
Estonia,1998,32.67,8.24,71.2,50.64,15.54,91.62
Estonia,1999,29.82,8.33,66.2,47.4,15.52,84.64
Estonia,2000,30.43,8.14,66.37,49.18,16.22,86.93
Estonia,2001,30.07,8.76,65.94,48.84,17.13,85.2
Estonia,2002,30.17,8.58,65.63,49.73,16.96,87.36
Estonia,2003,30.61,8.53,67.53,51.58,17.6,90.64
Estonia,2004,28.5,10.11,59.44,48.15,19.89,80.65
Estonia,2005,27.28,9.28,57.4,47.24,19.31,79.39
Estonia,2006,29.94,9.75,63.88,52.57,20.26,89.76
Estonia,2007,29.01,8.54,63.96,52.36,18.81,90.99
Estonia,2008,28.61,9.13,62.18,52.65,20.27,89.92
Estonia,2009,24.8,8.55,52.55,45.63,18.64,76.64
Estonia,2010,25.42,8.35,55.03,48.14,18.98,81.58
Estonia,2011,25.72,9.75,53.07,48.97,22.16,79.66
Estonia,2012,26.77,10.17,55.02,51.76,23.85,83.62
Estonia,2013,25.46,10.76,50.2,49.92,24.77,78.63
Estonia,2014,26.92,10.54,54.34,54.39,26.0,86.72
Estonia,2015,25.23,10.1,50.95,51.12,23.75,82.2
Estonia,2016,24.32,11.02,46.53,50.62,27.77,76.48
Estonia,2017,22.8,9.05,45.75,48.43,23.6,76.43
Estonia,2018,23.9,9.13,47.97,50.72,23.74,80.98
Estonia,2019,22.72,9.71,43.61,48.66,25.46,74.53
Estonia,2020,21.45,7.18,43.74,45.61,19.77,74.31
Fiji,1978,5.29,7.45,3.48,2.3,2.99,1.62
Fiji,2001,5.52,3.53,7.85,2.95,2.5,3.38
Fiji,2002,2.57,1.14,4.32,1.35,0.75,1.93
Fiji,2003,4.62,3.02,6.32,3.06,2.25,3.85
Fiji,2004,5.91,3.88,8.05,3.91,2.49,5.28
Fiji,2005,4.39,2.14,6.92,2.92,1.74,4.06
Fiji,2006,7.05,4.46,10.02,4.71,3.45,5.92
Fiji,2007,7.67,6.29,9.04,5.74,4.89,6.56
Fiji,2008,2.72,2.67,2.79,1.89,1.93,1.85
Fiji,2009,5.79,5.22,6.09,3.98,3.11,4.82
Fiji,2011,7.91,5.67,10.48,5.67,4.49,6.81
Fiji,2012,5.22,3.77,6.86,3.81,2.83,4.76
Finland,1952,20.85,5.38,42.72,19.29,5.53,34.3
Finland,1953,24.05,4.07,52.34,22.35,4.08,42.24
Finland,1954,22.22,4.58,47.46,20.87,4.77,38.38
Finland,1955,24.36,5.11,52.02,22.81,5.17,41.95
Finland,1956,22.18,3.76,48.41,21.11,3.91,39.75
Finland,1957,26.26,5.0,56.52,25.23,5.21,46.88
Finland,1958,27.7,4.59,60.61,26.86,4.6,50.9
Finland,1959,27.99,4.8,61.34,27.74,5.31,51.92
Finland,1960,27.54,3.13,62.76,27.65,3.44,53.71
Finland,1961,28.62,4.27,63.47,29.1,4.8,55.21
Finland,1962,29.47,4.04,66.3,30.24,4.52,57.85
Finland,1963,29.89,4.73,66.4,30.97,5.43,58.38
Finland,1964,29.96,4.45,66.73,31.46,5.01,59.8
Finland,1965,30.38,4.33,68.3,32.63,5.08,62.12
Finland,1966,29.96,4.43,67.46,32.29,5.19,61.28
Finland,1967,30.84,4.61,69.11,34.09,5.5,64.66
Finland,1968,32.48,4.66,73.67,36.27,5.69,68.96
Finland,1969,33.51,4.57,76.18,37.89,5.44,72.58
Finland,1970,32.27,4.41,74.21,37.34,5.63,71.28
Finland,1971,33.94,5.04,77.52,39.96,6.46,75.84
Finland,1972,31.65,5.36,71.43,37.79,7.05,70.69
Finland,1973,31.48,4.04,72.94,38.13,5.48,73.02
Finland,1974,31.45,4.77,71.8,38.76,6.48,73.24
Finland,1975,29.49,4.93,67.28,36.7,6.78,68.66
Finland,1976,33.54,5.91,76.47,41.98,8.27,78.01
Finland,1977,32.61,6.11,73.71,41.72,8.82,76.87
Finland,1978,32.44,5.84,74.21,41.94,8.27,77.89
Finland,1979,32.95,5.98,75.52,43.42,9.02,80.17
Finland,1980,32.86,7.02,74.24,43.85,10.9,79.06
Finland,1981,32.65,6.48,73.64,43.71,10.17,79.53
Finland,1982,29.41,6.37,65.96,40.23,10.19,72.29
Finland,1983,30.48,6.09,69.66,42.26,9.66,77.02
Finland,1984,29.53,7.01,65.69,41.05,11.2,72.87
Finland,1985,30.18,7.66,65.98,42.39,12.65,74.07
Finland,1986,27.6,6.98,60.68,39.51,11.71,69.11
Finland,1987,28.0,7.31,60.64,39.94,11.96,69.72
Finland,1988,26.8,7.18,57.78,38.98,12.47,67.16
Finland,1989,25.56,7.37,53.87,37.29,12.83,63.27
Finland,1990,26.24,7.69,55.38,39.01,13.48,66.09
Finland,1991,24.29,7.63,50.33,36.3,13.14,60.83
Finland,1992,26.08,8.34,53.9,39.35,14.62,65.5
Finland,1993,24.61,7.53,50.8,37.4,13.49,62.67
Finland,1994,23.46,7.85,47.07,36.16,14.43,59.09
Finland,1995,23.72,7.95,47.79,36.81,14.12,60.72
Finland,1996,23.04,8.03,45.89,36.67,15.1,59.37
Finland,1997,22.24,8.13,43.82,35.86,14.95,57.85
Finland,1998,22.98,9.26,43.27,37.39,17.42,58.39
Finland,1999,21.11,8.09,40.05,35.06,15.91,55.17
Finland,2000,21.06,8.79,39.11,35.66,17.13,55.1
Finland,2001,21.1,9.29,38.73,36.51,18.23,55.65
Finland,2002,20.38,9.12,37.0,35.61,17.64,54.42
Finland,2003,20.73,9.79,36.5,36.97,19.67,55.04
Finland,2004,19.73,9.09,34.76,35.79,18.42,53.92
Finland,2005,20.15,9.68,34.85,37.15,20.01,55.04
Finland,2006,19.99,9.52,34.88,38.07,20.12,56.79
Finland,2007,20.2,10.28,33.94,38.44,21.23,56.36
Finland,2008,19.3,10.62,31.25,37.6,22.59,53.22
Finland,2009,19.19,10.17,31.43,37.99,21.91,54.69
Finland,2010,20.37,10.96,32.92,41.28,24.42,58.78
Finland,2011,19.16,10.93,29.88,39.08,24.46,54.24
Finland,2012,19.12,11.52,28.92,40.04,26.58,53.99
Finland,2013,19.15,11.35,29.27,40.91,26.11,56.22
Finland,2014,18.01,11.75,26.24,39.4,27.78,51.41
Finland,2015,18.23,11.45,26.89,40.76,27.88,54.05
Finland,2016,18.14,11.5,26.68,41.18,27.83,54.93
Finland,2017,17.66,11.02,26.13,41.08,27.54,55.01
Finland,2018,17.32,11.27,24.83,41.1,28.84,53.69
Finland,2019,17.19,11.11,24.79,42.47,29.87,55.4
France,1950,6.83,3.36,11.43,8.7,4.67,13.05
France,1951,6.77,3.33,11.33,8.65,4.64,13.0
France,1952,8.31,3.65,14.52,10.66,5.19,16.55
France,1953,8.71,3.61,15.51,11.26,5.23,17.73
France,1954,9.5,3.73,17.21,12.33,5.42,19.73
France,1955,9.75,3.71,17.79,12.7,5.44,20.48
France,1956,10.14,3.72,18.71,13.26,5.45,21.62
France,1957,11.27,3.89,21.12,14.74,5.74,24.34
France,1958,11.21,3.75,21.12,14.7,5.57,24.42
France,1959,11.8,3.83,22.35,15.55,5.71,26.01
France,1960,12.35,3.77,23.7,16.29,5.6,27.64
France,1961,12.98,3.83,25.05,17.18,5.74,29.31
France,1962,13.48,3.99,26.05,17.9,6.06,30.41
France,1963,14.45,4.29,27.88,19.12,6.46,32.48
France,1964,14.75,4.19,28.76,19.65,6.4,33.62
France,1965,15.32,4.15,30.16,20.42,6.37,35.23
France,1966,16.01,4.26,31.64,21.4,6.52,37.08
France,1967,16.35,4.46,32.11,21.95,6.85,37.86
France,1968,16.43,4.02,32.99,22.13,6.23,38.87
France,1969,16.58,3.85,33.29,22.77,6.23,40.16
France,1970,16.39,3.72,32.94,22.54,6.04,39.84
France,1971,17.19,3.84,34.74,23.6,6.21,41.78
France,1972,18.23,3.91,36.98,24.85,6.33,44.18
France,1973,18.56,3.93,37.67,25.37,6.49,45.06
France,1974,19.45,4.02,39.52,26.36,6.55,46.99
France,1975,19.71,3.98,39.92,27.17,6.57,48.63
France,1976,20.86,4.01,42.55,28.73,6.56,51.82
France,1977,21.31,4.08,43.59,29.56,6.77,53.3
France,1978,22.44,4.27,45.89,31.13,7.13,56.14
France,1979,22.55,4.13,46.25,31.35,6.82,56.9
France,1980,22.92,4.26,46.81,32.06,7.16,57.99
France,1981,23.37,4.45,47.63,32.81,7.52,59.14
France,1982,23.53,4.51,48.04,33.12,7.64,59.84
France,1983,23.77,4.74,48.26,33.43,7.98,60.13
France,1984,24.27,4.64,49.47,34.31,7.9,62.04
France,1985,24.65,4.87,50.01,35.17,8.34,63.35
France,1986,25.56,5.07,51.98,35.81,8.62,64.41
France,1987,25.8,5.53,51.7,37.1,9.44,66.21
France,1988,26.2,5.59,52.37,37.86,9.61,67.59
France,1989,26.46,5.73,52.67,38.47,9.91,68.54
France,1990,26.16,5.69,51.93,38.1,9.66,68.08
France,1991,26.75,5.99,52.68,39.12,10.38,69.41
France,1992,26.87,6.03,52.79,39.45,10.38,70.07
France,1993,27.08,6.33,52.94,40.36,11.01,71.27
France,1994,26.69,6.55,51.65,39.95,11.22,70.21
France,1995,27.2,7.01,52.11,41.16,12.08,71.8
France,1996,27.24,7.26,51.81,41.69,12.73,72.21
France,1997,26.98,7.22,51.24,41.66,12.58,72.31
France,1998,28.04,8.12,52.55,42.68,13.94,72.97
France,1999,27.83,8.4,51.82,42.98,14.36,73.3
France,2000,27.18,8.19,50.46,42.16,14.02,71.96
France,2001,27.04,8.49,49.72,42.38,14.59,71.79
France,2002,27.24,9.24,49.26,43.23,16.05,72.01
France,2003,27.25,9.89,48.44,43.58,16.87,71.84
France,2004,27.39,10.14,48.44,44.29,17.52,72.62
France,2005,27.89,10.81,48.66,45.66,18.97,73.89
France,2006,27.6,11.25,47.76,46.02,19.86,73.91
France,2007,27.42,11.29,47.14,46.22,20.33,73.81
France,2008,27.15,11.84,45.92,46.53,21.28,73.43
France,2009,27.46,12.33,45.8,47.43,22.65,73.83
France,2010,26.85,12.36,44.47,47.12,22.86,72.94
France,2011,26.8,12.56,44.02,47.47,23.42,73.05
France,2012,26.61,13.37,42.69,48.11,25.19,72.48
France,2013,25.93,12.78,41.77,47.37,24.4,71.8
France,2014,26.41,13.96,41.41,48.98,26.95,72.41
France,2015,26.2,13.91,40.95,49.31,27.26,72.77
France,2016,25.39,13.8,39.31,48.76,27.63,71.25
French Guiana,1968,3.22,0.0,5.8,2.26,0.0,4.33
French Guiana,1969,6.13,0.0,12.33,4.33,0.0,8.32
French Guiana,1970,6.67,0.0,14.92,4.17,0.0,8.04
French Guiana,1971,9.32,0.0,20.77,6.04,0.0,11.72
French Guiana,1972,3.07,0.0,6.31,1.95,0.0,3.81
French Guiana,1973,7.83,5.73,10.68,5.67,3.84,7.44
French Guiana,1974,7.13,5.87,11.29,3.67,3.71,3.63
French Guiana,1975,5.3,0.0,10.46,3.56,0.0,7.04
French Guiana,1976,16.63,0.0,36.1,10.35,0.0,20.4
French Guiana,1977,7.22,5.63,8.47,5.01,3.41,6.54
French Guiana,1978,8.33,0.0,17.31,4.84,0.0,9.4
French Guiana,1979,0.0,0.0,0.0,0.0,0.0,0.0
French Guiana,2001,17.24,10.0,24.7,9.97,6.01,13.75
French Guiana,2002,12.63,7.78,17.52,7.28,4.54,9.94
French Guiana,2003,12.86,2.15,23.66,7.49,2.15,12.79
French Guiana,2004,17.43,12.27,21.66,9.22,6.12,12.35
French Guiana,2005,8.16,1.67,15.53,4.43,0.98,7.96
French Guiana,2006,6.31,3.17,12.23,3.34,1.89,4.81
French Guiana,2007,11.86,7.16,17.27,7.4,4.59,10.26
French Guiana,2008,8.17,2.65,14.71,4.5,1.79,7.24
French Guiana,2009,7.45,6.15,8.15,4.39,3.51,5.28
French Guiana,2010,12.62,9.85,15.99,7.3,6.01,8.59
French Guiana,2011,6.73,5.57,7.95,4.19,3.33,5.06
French Guiana,2012,18.31,8.66,30.39,10.67,4.9,16.49
French Guiana,2013,7.64,3.6,13.34,4.82,2.39,7.28
French Guiana,2014,12.69,6.24,20.2,7.46,3.88,11.11
French Guiana,2015,18.51,8.91,31.76,11.49,6.81,16.3
French Guiana,2016,11.71,5.47,17.74,6.72,2.95,10.59
Georgia,1981,15.13,5.84,29.86,16.3,7.2,26.57
Georgia,1982,14.93,5.79,29.38,16.15,6.96,26.5
Georgia,1985,16.4,5.51,33.08,18.26,6.89,30.97
Georgia,1986,16.07,5.02,32.93,18.24,6.45,31.39
Georgia,1987,16.25,5.35,32.66,18.61,6.83,31.7
Georgia,1988,16.8,5.25,33.93,19.43,6.86,33.38
Georgia,1989,16.01,4.07,33.24,18.65,5.49,33.2
Georgia,1990,15.6,4.68,31.7,18.53,6.22,32.19
Georgia,1991,16.12,5.03,31.85,19.14,6.75,32.89
Georgia,1992,13.24,4.23,25.6,16.02,5.8,27.38
Georgia,1994,10.45,2.66,20.99,13.08,3.9,23.3
Georgia,1995,9.78,3.43,18.19,11.79,4.53,19.88
Georgia,1996,10.29,3.28,19.74,12.33,4.48,21.08
Georgia,1997,11.93,4.26,22.58,14.83,5.65,25.08
Georgia,1998,12.76,4.13,24.9,16.47,5.78,28.41
Georgia,1999,12.97,3.98,25.07,17.27,5.91,29.98
Georgia,2000,14.03,5.12,26.06,18.72,7.37,31.43
Georgia,2001,13.96,4.8,26.72,18.81,7.16,31.85
Georgia,2004,15.54,5.99,28.85,21.4,9.11,35.19
Georgia,2005,10.78,4.44,19.48,14.61,6.61,23.54
Georgia,2006,9.1,2.95,17.66,12.91,4.75,22.0
Georgia,2007,8.13,2.23,15.93,11.33,3.46,20.06
Georgia,2009,12.48,3.66,24.49,17.55,5.87,30.46
Georgia,2010,6.09,1.81,11.93,8.77,2.86,15.28
Georgia,2011,11.52,3.04,23.05,16.62,5.24,29.13
Georgia,2012,12.73,2.96,25.99,18.68,5.11,33.58
Georgia,2013,12.1,2.25,25.62,18.1,3.92,33.64
Georgia,2014,16.35,3.97,33.35,24.58,6.97,43.9
Georgia,2015,17.65,4.28,35.98,27.41,7.97,48.64
Georgia,2016,18.45,3.68,38.97,29.13,6.54,53.74
Georgia,2017,18.12,4.04,37.34,28.84,7.84,51.61
Georgia,2018,19.31,4.99,39.3,31.05,9.46,54.38
Georgia,2019,18.11,4.18,37.76,29.68,7.77,53.28
Georgia,2020,19.02,5.64,37.7,31.59,11.19,53.53
Germany,1990,27.0,8.8,54.59,43.11,16.54,71.64
Germany,1991,27.36,9.32,54.58,43.8,17.55,71.87
Germany,1992,27.21,9.45,53.84,43.73,17.73,71.38
Germany,1993,27.63,9.89,54.0,44.52,18.51,72.06
Germany,1994,27.29,10.25,52.29,44.41,19.26,71.0
Germany,1995,27.6,10.33,52.66,45.49,19.7,72.71
Germany,1996,27.04,10.52,50.56,44.92,20.05,71.1
Germany,1997,27.01,11.02,49.7,45.39,20.88,71.16
Germany,1998,27.09,11.47,49.05,46.29,22.11,71.7
Germany,1999,26.47,11.51,47.26,45.86,22.44,70.45
Germany,2000,27.04,12.05,47.56,47.44,23.4,72.65
Germany,2001,26.18,12.12,45.36,46.84,23.75,71.03
Germany,2002,26.24,12.55,44.6,47.44,24.64,71.3
Germany,2003,25.98,12.71,43.51,47.65,25.24,71.07
Germany,2004,25.83,13.09,42.51,48.3,26.16,71.42
Germany,2005,25.85,13.75,41.63,49.33,27.78,71.82
Germany,2006,25.61,13.83,40.78,49.5,28.24,71.68
Germany,2007,25.55,14.21,40.05,50.47,29.49,72.34
Germany,2008,25.73,14.71,39.71,51.57,30.66,73.33
Germany,2009,25.27,14.76,38.42,51.62,31.39,72.65
Germany,2010,25.21,15.15,37.8,52.6,32.71,73.27
Germany,2011,25.41,15.79,37.36,53.73,34.33,73.85
Germany,2012,25.31,16.05,36.7,54.28,35.42,73.78
Germany,2013,25.61,16.46,37.0,55.61,36.77,75.27
Germany,2014,25.24,16.51,36.03,55.67,37.6,74.47
Germany,2015,25.0,16.77,35.13,55.41,38.26,73.13
Germany,2016,24.88,17.09,34.45,55.62,39.48,72.22
Germany,2017,24.13,16.76,33.11,54.53,39.11,70.37
Germany,2018,23.73,16.63,32.3,54.13,39.32,69.34
Germany,2019,23.19,16.77,30.99,54.01,40.39,68.0
Germany,2020,22.89,16.57,30.49,53.89,40.51,67.63
Greece,1961,14.85,5.25,26.48,15.21,5.62,25.27
Greece,1962,16.8,5.11,30.78,17.54,5.57,30.13
Greece,1963,17.65,6.5,31.05,18.75,7.1,31.02
Greece,1964,17.62,5.55,32.15,19.08,6.2,32.68
Greece,1965,19.28,6.94,34.21,21.12,7.83,35.17
Greece,1966,19.15,6.84,34.22,21.35,7.89,35.57
Greece,1967,20.36,6.82,36.66,23.08,7.89,39.1
Greece,1968,20.21,6.28,36.97,23.17,7.4,39.79
Greece,1969,20.96,6.79,38.17,24.29,8.05,41.39
Greece,1970,19.56,6.78,34.84,24.84,8.89,41.54
Greece,1971,19.73,5.73,36.63,25.15,7.46,43.69
Greece,1972,20.87,6.5,38.12,26.81,8.59,45.83
Greece,1973,23.57,6.94,43.37,30.83,9.37,53.22
Greece,1974,24.53,6.78,45.82,32.52,9.07,56.95
Greece,1975,23.89,7.49,43.46,32.3,10.57,54.92
Greece,1976,25.26,6.86,47.25,34.36,9.79,59.96
Greece,1977,26.25,7.86,48.34,36.04,11.03,62.1
Greece,1978,27.25,7.89,50.36,37.74,11.42,65.13
Greece,1979,27.5,7.67,51.15,38.34,11.05,66.71
Greece,1980,25.78,6.9,48.15,36.11,10.18,63.0
Greece,1981,26.52,6.74,50.0,37.44,10.02,65.83
Greece,1982,27.29,7.19,51.18,38.99,10.83,68.11
Greece,1983,27.84,6.99,52.59,40.17,10.77,70.56
Greece,1984,27.85,7.06,52.62,40.52,10.96,71.07
Greece,1985,29.34,7.98,54.92,43.44,12.52,75.36
Greece,1986,28.66,7.18,54.37,42.85,11.6,75.12
