Entity,Year,Under 5 mortality rate (IHME (2017))
Paraguay,2015,17.91
Peru,1980,129.34
Peru,1985,104.72
Peru,1990,77.56
Peru,1995,54.44
Peru,2000,34.89
Peru,2005,25.18
Peru,2010,19.46
Peru,2015,15.79
Philippines,1980,82.58
Philippines,1985,70.95
Philippines,1990,55.71
Philippines,1995,43.32
Philippines,2000,36.4
Philippines,2005,32.05
Philippines,2010,28.09
Philippines,2015,23.19
Poland,1980,24.36
Poland,1985,21.31
Poland,1990,17.77
Poland,1995,14.61
Poland,2000,9.37
Poland,2005,7.36
Poland,2010,5.96
Poland,2015,4.5
Portugal,1980,28.12
Portugal,1985,20.82
Portugal,1990,14.21
Portugal,1995,9.48
Portugal,2000,7.17
Portugal,2005,4.97
Portugal,2010,3.6
Portugal,2015,2.97
Puerto Rico,1980,20.96
Puerto Rico,1985,17.02
Puerto Rico,1990,15.39
Puerto Rico,1995,14.03
Puerto Rico,2000,11.6
Puerto Rico,2005,9.62
Puerto Rico,2010,8.32
Puerto Rico,2015,7.02
Qatar,1980,31.6
Qatar,1985,25.79
Qatar,1990,21.91
Qatar,1995,19.39
Qatar,2000,16.18
Qatar,2005,13.33
Qatar,2010,11.13
Qatar,2015,8.64
Romania,1980,36.07
Romania,1985,30.93
Romania,1990,33.03
Romania,1995,24.72
Romania,2000,23.09
Romania,2005,17.56
Romania,2010,11.1
Romania,2015,8.34
Russia,1980,27.04
Russia,1985,25.39
Russia,1990,21.04
Russia,1995,21.41
Russia,2000,19.66
Russia,2005,14.27
Russia,2010,10.2
Russia,2015,8.75
Rwanda,1980,203.05
Rwanda,1985,166.43
Rwanda,1990,154.42
Rwanda,1995,182.98
Rwanda,2000,158.5
Rwanda,2005,103.56
Rwanda,2010,73.65
Rwanda,2015,65.64
Saint Lucia,1980,47.15
Saint Lucia,1985,38.38
Saint Lucia,1990,31.33
Saint Lucia,1995,23.45
Saint Lucia,2000,20.07
Saint Lucia,2005,21.88
Saint Lucia,2010,20.16
Saint Lucia,2015,17.66
Saint Vincent and the Grenadines,1980,69.56
Saint Vincent and the Grenadines,1985,50.36
Saint Vincent and the Grenadines,1990,39.7
Saint Vincent and the Grenadines,1995,33.05
Saint Vincent and the Grenadines,2000,31.79
Saint Vincent and the Grenadines,2005,28.07
Saint Vincent and the Grenadines,2010,24.39
Saint Vincent and the Grenadines,2015,21.92
Samoa,1980,29.94
Samoa,1985,24.53
Samoa,1990,20.5
Samoa,1995,16.92
Samoa,2000,14.47
Samoa,2005,12.78
Samoa,2010,10.68
Samoa,2015,8.68
Sao Tome and Principe,1980,112.18
Sao Tome and Principe,1985,112.25
Sao Tome and Principe,1990,106.29
Sao Tome and Principe,1995,92.62
Sao Tome and Principe,2000,76.75
Sao Tome and Principe,2005,60.73
Sao Tome and Principe,2010,47.32
Sao Tome and Principe,2015,38.29
Saudi Arabia,1980,85.72
Saudi Arabia,1985,62.94
Saudi Arabia,1990,46.45
Saudi Arabia,1995,34.37
Saudi Arabia,2000,23.89
Saudi Arabia,2005,17.81
Saudi Arabia,2010,14.29
Saudi Arabia,2015,11.53
Scotland,1980,14.36
Scotland,1985,11.2
Scotland,1990,9.57
Scotland,1995,7.14
Scotland,2000,6.53
Scotland,2005,6.33
Scotland,2010,4.63
Scotland,2015,4.4
Senegal,1980,195.96
Senegal,1985,165.18
Senegal,1990,144.23
Senegal,1995,134.01
Senegal,2000,117.63
Senegal,2005,91.99
Senegal,2010,68.9
Senegal,2015,52.25
Serbia,1980,40.04
Serbia,1985,31.89
Serbia,1990,23.99
Serbia,1995,18.72
Serbia,2000,12.86
Serbia,2005,10.21
Serbia,2010,8.87
Serbia,2015,7.72
Seychelles,1980,33.92
Seychelles,1985,23.2
Seychelles,1990,17.63
Seychelles,1995,14.65
Seychelles,2000,13.42
Seychelles,2005,12.98
Seychelles,2010,12.36
Seychelles,2015,10.65
Sierra Leone,1980,275.04
Sierra Leone,1985,263.01
Sierra Leone,1990,245.64
Sierra Leone,1995,227.36
Sierra Leone,2000,210.35
Sierra Leone,2005,181.49
Sierra Leone,2010,150.56
Sierra Leone,2015,122.39
Singapore,1980,14.43
Singapore,1985,11.03
Singapore,1990,7.67
Singapore,1995,5.03
Singapore,2000,3.68
Singapore,2005,2.85
Singapore,2010,2.51
Singapore,2015,2.17
Slovakia,1980,23.39
Slovakia,1985,18.5
Slovakia,1990,14.17
Slovakia,1995,11.69
Slovakia,2000,9.69
Slovakia,2005,8.56
Slovakia,2010,7.06
Slovakia,2015,5.99
Slovenia,1980,19.18
Slovenia,1985,14.61
Slovenia,1990,10.06
Slovenia,1995,7.02
Slovenia,2000,5.39
Slovenia,2005,4.34
Slovenia,2010,3.38
Slovenia,2015,2.64
Solomon Islands,1980,61.67
Solomon Islands,1985,51.35
Solomon Islands,1990,44.97
Solomon Islands,1995,37.63
Solomon Islands,2000,33.79
Solomon Islands,2005,30.97
Solomon Islands,2010,25.38
Solomon Islands,2015,19.79
Somalia,1980,198.21
Somalia,1985,196.24
Somalia,1990,187.44
Somalia,1995,175.84
Somalia,2000,159
Somalia,2005,139.07
Somalia,2010,142.95
Somalia,2015,112.14
South Africa,1980,110.62
South Africa,1985,96.38
South Africa,1990,79.59
South Africa,1995,70.95
South Africa,2000,73.19
South Africa,2005,78.34
South Africa,2010,58.97
South Africa,2015,42.2
South Korea,1980,24.02
South Korea,1985,17.35
South Korea,1990,12.19
South Korea,1995,8.51
South Korea,2000,7.14
South Korea,2005,5.27
South Korea,2010,4.02
South Korea,2015,3.22
South Sudan,1980,238.69
South Sudan,1985,224.46
South Sudan,1990,200.11
South Sudan,1995,168.99
South Sudan,2000,140.45
South Sudan,2005,122.05
South Sudan,2010,113.12
South Sudan,2015,107.02
Spain,1980,14.63
Spain,1985,10.75
Spain,1990,9.41
Spain,1995,6.76
Spain,2000,5.45
Spain,2005,4.77
Spain,2010,3.89
Spain,2015,3
Sri Lanka,1980,46.12
Sri Lanka,1985,32.41
Sri Lanka,1990,40.92
Sri Lanka,1995,21
Sri Lanka,2000,16.38
Sri Lanka,2005,17.4
Sri Lanka,2010,11.87
Sri Lanka,2015,8.07
Sudan,1980,176.88
Sudan,1985,210.35
Sudan,1990,134.55
Sudan,1995,118.8
Sudan,2000,98.07
Sudan,2005,79.99
Sudan,2010,67.96
Sudan,2015,55.99
Suriname,1980,59.5
Suriname,1985,54.86
Suriname,1990,50.97
Suriname,1995,47.5
Suriname,2000,44.59
Suriname,2005,41.13
Suriname,2010,36.6
Suriname,2015,31.12
Swaziland,1980,105.63
Swaziland,1985,85.07
Swaziland,1990,70.39
Swaziland,1995,73.31
Swaziland,2000,93.58
Swaziland,2005,110.01
Swaziland,2010,91.92
Swaziland,2015,55.04
Sweden,1980,8.22
Sweden,1985,6.95
Sweden,1990,7.15
Sweden,1995,4.6
Sweden,2000,3.87
Sweden,2005,3.43
Sweden,2010,3.18
Sweden,2015,2.6
Switzerland,1980,10.74
Switzerland,1985,8.73
Switzerland,1990,8.72
Switzerland,1995,6.23
Switzerland,2000,5.87
Switzerland,2005,4.92
Switzerland,2010,4.42
Switzerland,2015,4.05
Syria,1980,60.49
Syria,1985,49.45
Syria,1990,42.48
Syria,1995,30.51
Syria,2000,21.02
Syria,2005,16.16
Syria,2010,14.89
Syria,2015,22.27
Taiwan,1980,15.22
Taiwan,1985,10.56
Taiwan,1990,8.74
Taiwan,1995,9.09
Taiwan,2000,8.53
Taiwan,2005,6.81
Taiwan,2010,5.3
Taiwan,2015,6.56
Tajikistan,1980,120.86
Tajikistan,1985,106.21
Tajikistan,1990,90.93
Tajikistan,1995,88.97
Tajikistan,2000,70.21
Tajikistan,2005,51.69
Tajikistan,2010,40.81
Tajikistan,2015,32.84
Tanzania,1980,175.21
Tanzania,1985,165.56
Tanzania,1990,155.17
Tanzania,1995,142.86
Tanzania,2000,121.48
Tanzania,2005,96.02
Tanzania,2010,76.24
Tanzania,2015,60.08
Thailand,1980,51.07
Thailand,1985,37.94
Thailand,1990,27.69
Thailand,1995,19.88
Thailand,2000,15.03
Thailand,2005,10.91
Thailand,2010,7.84
Thailand,2015,5.64
Timor,1980,251.37
Timor,1985,185.69
Timor,1990,151.35
Timor,1995,118.11
Timor,2000,108.02
Timor,2005,69.94
Timor,2010,51.93
Timor,2015,38.66
Togo,1980,168.86
Togo,1985,154.67
Togo,1990,144.53
Togo,1995,135.15
Togo,2000,123
Togo,2005,110.45
Togo,2010,95.02
Togo,2015,78.04
Tonga,1980,32.93
Tonga,1985,28.88
Tonga,1990,26.39
Tonga,1995,25.69
Tonga,2000,24.84
Tonga,2005,23.18
Tonga,2010,21.03
Tonga,2015,17.78
Trinidad and Tobago,1980,38.39
Trinidad and Tobago,1985,31.06
Trinidad and Tobago,1990,28.2
Trinidad and Tobago,1995,27.27
Trinidad and Tobago,2000,27.54
Trinidad and Tobago,2005,24.22
Trinidad and Tobago,2010,20.87
Trinidad and Tobago,2015,19.23
Tunisia,1980,85.82
Tunisia,1985,63.77
Tunisia,1990,49.34
Tunisia,1995,36.41
Tunisia,2000,27.02
Tunisia,2005,20.94
Tunisia,2010,17.13
Tunisia,2015,13.81
Turkey,1980,124.41
Turkey,1985,91.44
Turkey,1990,70.5
Turkey,1995,55.76
Turkey,2000,38.38
Turkey,2005,27.65
Turkey,2010,21.57
Turkey,2015,16.56
Turkmenistan,1980,128.83
Turkmenistan,1985,109.65
Turkmenistan,1990,93.85
Turkmenistan,1995,87.7
Turkmenistan,2000,77.14
Turkmenistan,2005,61.19
Turkmenistan,2010,49
Turkmenistan,2015,39.61
Uganda,1980,196.6
Uganda,1985,184.06
Uganda,1990,167.93
Uganda,1995,152.25
Uganda,2000,130.97
Uganda,2005,108.73
Uganda,2010,88.77
Uganda,2015,69.35
Ukraine,1980,32.71
Ukraine,1985,24.26
Ukraine,1990,21.49
Ukraine,1995,21.77
Ukraine,2000,21.47
Ukraine,2005,15.42
Ukraine,2010,11.2
Ukraine,2015,9.59
United Arab Emirates,1980,50.3
United Arab Emirates,1985,33.28
United Arab Emirates,1990,24.3
United Arab Emirates,1995,16.27
United Arab Emirates,2000,12.31
United Arab Emirates,2005,8.89
United Arab Emirates,2010,6.86
United Arab Emirates,2015,5.49
United Kingdom,1980,15.05
United Kingdom,1985,11.18
United Kingdom,1990,9.52
United Kingdom,1995,7.15
United Kingdom,2000,6.48
United Kingdom,2005,6.06
United Kingdom,2010,5.36
United Kingdom,2015,4.69
United States,1980,15.55
United States,1985,12.55
United States,1990,11.33
United States,1995,8.94
United States,2000,8.17
United States,2005,7.95
United States,2010,6.89
United States,2015,6
Uruguay,1980,39.71
Uruguay,1985,32.14
Uruguay,1990,23.01
Uruguay,1995,21.63
Uruguay,2000,15.92
Uruguay,2005,13.32
Uruguay,2010,10.07
Uruguay,2015,9.58
Uzbekistan,1980,66.68
Uzbekistan,1985,61.39
Uzbekistan,1990,49.61
Uzbekistan,1995,52.25
Uzbekistan,2000,42.89
Uzbekistan,2005,37.55
Uzbekistan,2010,30.57
Uzbekistan,2015,24.2
Vanuatu,1980,55.8
Vanuatu,1985,44.4
Vanuatu,1990,39.16
Vanuatu,1995,36.63
Vanuatu,2000,38.57
Vanuatu,2005,40.31
Vanuatu,2010,33.57
Vanuatu,2015,27.03
Venezuela,1980,41.52
Venezuela,1985,30.92
Venezuela,1990,28.12
Venezuela,1995,26.88
Venezuela,2000,21.08
Venezuela,2005,18.43
Venezuela,2010,17.07
Venezuela,2015,16.87
Vietnam,1980,68.77
Vietnam,1985,58.29
Vietnam,1990,47.69
Vietnam,1995,36.98
Vietnam,2000,27.89
Vietnam,2005,21.57
Vietnam,2010,17.06
Vietnam,2015,13.43
Wales,1980,16.46
Wales,1985,11.7
Wales,1990,8.87
Wales,1995,7.05
Wales,2000,6.1
Wales,2005,5.16
Wales,2010,4.8
Wales,2015,4.38
World,1980,113.83
World,1985,99.2
World,1990,87.08
World,1995,79.16
World,2000,71.11
World,2005,60.03
World,2010,49.95
World,2015,41.14
Yemen,1980,200.34
Yemen,1985,156.86
Yemen,1990,128.19
Yemen,1995,106.72
Yemen,2000,84.75
Yemen,2005,65.12
Yemen,2010,50.51
Yemen,2015,53.37
Zambia,1980,160.55
Zambia,1985,168.1
Zambia,1990,168.91
Zambia,1995,161.63
Zambia,2000,147.3
Zambia,2005,108.61
Zambia,2010,83
Zambia,2015,65.93
Zimbabwe,1980,89.58
Zimbabwe,1985,73.69
Zimbabwe,1990,65.62
Zimbabwe,1995,71.32
Zimbabwe,2000,77.87
Zimbabwe,2005,83.02
Zimbabwe,2010,76.95
Zimbabwe,2015,54.8
