Entity,Year,Increase in life expectancy by hours per day (OWID calculations based on UN Population Division (2017 Revision)),Increase in life expectancy by months per year (OWID calculations based on UN Population Division (2017 Revision)),Increase in life expectancy (hours per day) between 1950-2015 (OWID calculations based on UN Population Division (2017 Revision))
Cote d'Ivoire,1955,11.299191,5.6495957,
Cote d'Ivoire,1960,16.104015,8.0520077,
Cote d'Ivoire,1965,15.542396,7.7711973,
Cote d'Ivoire,1970,17.241596,8.6207981,
Cote d'Ivoire,1975,19.070396,9.5351992,
Cote d'Ivoire,1980,14.15041,7.0752044,
Cote d'Ivoire,1985,8.9664001,4.4832001,
Cote d'Ivoire,1990,.0095947273,.0047973632,
Cote d'Ivoire,1995,-14.328003,-7.1640015,
Cote d'Ivoire,2000,-13.579193,-6.7895966,
Cote d'Ivoire,2005,4.7328005,2.3664002,
Cote d'Ivoire,2010,13.271996,6.6359987,
Cote d'Ivoire,2015,12.624004,6.3120027,8.0850468
Croatia,1950,,,0
Croatia,1955,10.785608,5.3928041,
Croatia,1960,10.742395,5.3711977,
Croatia,1965,9.1728153,4.5864077,
Croatia,1970,8.1264038,4.0632019,
Croatia,1975,5.8607664,2.9303832,
Croatia,1980,3.2256224,1.6128113,
Croatia,1985,4.7615843,2.3807921,
Croatia,1990,5.2272215,2.6136107,
Croatia,1995,6.777576,3.3887877,
Croatia,2000,5.1312008,2.5656006,
Croatia,2005,3.2640016,1.6320007,
Croatia,2010,5.3664188,2.6832092,
Croatia,2015,4.2335815,2.1167908,6.3596306
Cuba,1950,,,0
Cuba,1955,12.68639,6.3431945,
Cuba,1960,14.227203,7.1136017,
Cuba,1965,14.995202,7.4976015,
Cuba,1970,13.699182,6.8495913,
Cuba,1975,11.193604,5.5968018,
Cuba,1980,7.9632206,3.9816101,
Cuba,1985,3.43678,1.7183899,
Cuba,1990,.60000002,.30000001,
Cuba,1995,3.7008181,1.8504089,
Cuba,2000,5.966382,2.983191,
Cuba,2005,6.2015991,3.1007996,
Cuba,2010,4.8432131,2.4216065,
Cuba,2015,2.9328003,1.4664001,7.8804917
Curacao,1950,,,0
Curacao,1955,19.04641,9.5232058,
Curacao,1960,13.535999,6.7679992,
Curacao,1965,8.5631828,4.2815919,
Curacao,1970,7.9056149,3.9528077,
Curacao,1975,9.8640022,4.9320006,
Curacao,1980,9.4416142,4.7208071,
Curacao,1985,5.4623661,2.7311828,
Curacao,1990,1.8624024,.93120116,
Curacao,1995,-.047973633,-.023986816,
Curacao,2000,.79200435,.3960022,
Curacao,2005,3.6479738,1.8239868,
Curacao,2010,7.2095947,3.6047974,
Curacao,2015,6.240015,3.1200073,7.1940928
Cyprus,1950,,,0
Cyprus,1955,9.3600216,4.6800108,
Cyprus,1960,8.7935677,4.3967834,
Cyprus,1965,7.5792117,3.7896056,
Cyprus,1970,6.6191897,3.3095946,
Cyprus,1975,5.6496096,2.8248048,
Cyprus,1980,4.9776125,2.4888062,
Cyprus,1985,4.4544067,2.2272034,
Cyprus,1990,4.0127926,2.0063965,
Cyprus,1995,3.6383791,1.8191894,
Cyprus,2000,3.3504274,1.6752136,
Cyprus,2005,2.9807739,1.490387,
Cyprus,2010,3.8352175,1.9176086,
Cyprus,2015,4.387207,2.1936035,5.356801
Czech Republic,1950,,,0
Czech Republic,1955,15.503979,7.7519898,
Czech Republic,1960,8.0592041,4.0296021,
Czech Republic,1965,.071997076,.035998534,
Czech Republic,1970,-1.3535888,-.67679441,
Czech Republic,1975,1.8528075,.92640382,
Czech Republic,1980,1.7711792,.8855896,
Czech Republic,1985,1.6752319,.83761597,
Czech Republic,1990,4.0511723,2.0255859,
Czech Republic,1995,6.9359989,3.4679992,
Czech Republic,2000,7.5024166,3.7512085,
Czech Republic,2005,6.5760136,3.2880065,
Czech Republic,2010,6.5087771,3.2543883,
Czech Republic,2015,4.5744143,2.2872071,4.902277
Democratic Republic of Congo,1950,,,0
Democratic Republic of Congo,1955,7.3296018,3.6648011,
Democratic Republic of Congo,1960,5.8992004,2.9496002,
Democratic Republic of Congo,1965,5.5632019,2.781601,
Democratic Republic of Congo,1970,7.9584045,3.9792023,
Democratic Republic of Congo,1975,6.2735958,3.1367981,
Democratic Republic of Congo,1980,5.4767942,2.7383971,
Democratic Republic of Congo,1985,6.4416142,3.2208068,
Democratic Republic of Congo,1990,6.4223881,3.2111938,
Democratic Republic of Congo,1995,.3264038,.1632019,
Democratic Republic of Congo,2000,4.4640017,2.2320008,
Democratic Republic of Congo,2005,17.443195,8.7215977,
Democratic Republic of Congo,2010,15.513611,7.7568054,
Democratic Republic of Congo,2015,11.030401,5.5152006,7.7032628
Denmark,1950,,,0
Denmark,1955,5.817627,2.9088135,
Denmark,1960,2.8847899,1.442395,
Denmark,1965,1.7423949,.87119752,
Denmark,1970,3.033618,1.5168091,
Denmark,1975,3.3503904,1.6751953,
Denmark,1980,1.8911866,.94559324,
Denmark,1985,1.0079956,.5039978,
Denmark,1990,1.7664185,.88320923,
Denmark,1995,3.3023806,1.6511902,
Denmark,2000,5.1984005,2.5992005,
Denmark,2005,5.8751955,2.9375978,
Denmark,2010,7.0224247,3.5112121,
Denmark,2015,5.7023802,2.8511901,3.7380924
Djibouti,1950,,,0
Djibouti,1955,7.4831905,3.7415955,
Djibouti,1960,10.099201,5.0496001,
Djibouti,1965,10.214411,5.1072054,
Djibouti,1970,14.371197,7.1855989,
Djibouti,1975,12.825603,6.4128022,
Djibouti,1980,8.6735954,4.3367982,
Djibouti,1985,8.8751945,4.4375978,
Djibouti,1990,5.7120113,2.8560059,
Djibouti,1995,1.8575867,.92879331,
Djibouti,2000,-.21119386,-.10559692,
Djibouti,2005,4.6944027,2.3472016,
Djibouti,2010,11.443195,5.7215972,
Djibouti,2015,9.009594,4.5047975,8.0806141
Dominican Republic,1950,,,0
Dominican Republic,1955,17.543995,8.7719975,
Dominican Republic,1960,18.340797,9.1703978,
Dominican Republic,1965,16.920006,8.4600039,
Dominican Republic,1970,15.148792,7.5743957,
Dominican Republic,1975,12.139215,6.0696077,
Dominican Republic,1980,9.5039978,4.7519989,
Dominican Republic,1985,10.703999,5.3519988,
Dominican Republic,1990,12.763184,6.3815918,
Dominican Republic,1995,8.5008183,4.2504091,
Dominican Republic,2000,4.4687986,2.2343993,
Dominican Republic,2005,5.1647825,2.5823913,
Dominican Republic,2010,5.0784302,2.5392151,
Dominican Republic,2015,4.6607666,2.3303833,10.841352
Eastern Africa,1950,,,0
Eastern Africa,1955,10.142395,5.0711975,
Eastern Africa,1960,12.436798,6.218399,
Eastern Africa,1965,11.371197,5.6855989,
Eastern Africa,1970,9.2880058,4.6440034,
Eastern Africa,1975,8.4863892,4.2431946,
Eastern Africa,1980,5.2176085,2.6088042,
Eastern Africa,1985,3.4367981,1.718399,
Eastern Africa,1990,-2.5439939,-1.2719971,
Eastern Africa,1995,.77759403,.38879699,
Eastern Africa,2000,10.7328,5.3664002,
Eastern Africa,2005,18.407997,9.2039976,
Eastern Africa,2010,24.360003,12.180002,
Eastern Africa,2015,16.742393,8.3711977,9.9119987
Eastern Asia,1950,,,0
Eastern Asia,1955,8.3375969,4.1687989,
Eastern Asia,1960,-1.056006,-.52800292,
Eastern Asia,1965,26.256004,13.128003,
Eastern Asia,1970,42.2976,21.1488,
Eastern Asia,1975,22.01281,11.006406,
Eastern Asia,1980,13.583973,6.791986,
Eastern Asia,1985,7.6224246,3.8112121,
Eastern Asia,1990,4.4975834,2.2487915,
Eastern Asia,1995,4.387207,2.1936035,
Eastern Asia,2000,8.539196,4.2695985,
Eastern Asia,2005,9.7296028,4.8648009,
Eastern Asia,2010,6.0239868,3.0119934,
Eastern Asia,2015,4.2144289,2.1072145,12.03434
Eastern Europe,1950,,,0
Eastern Europe,1955,26.558388,13.279193,
Eastern Europe,1960,19.310413,9.6552067,
Eastern Europe,1965,7.7808108,3.8904052,
Eastern Europe,1970,1.1951661,.597583,
Eastern Europe,1975,-1.0127931,-.50639647,
Eastern Europe,1980,-1.8624024,-.93120116,
Eastern Europe,1985,3.5136108,1.7568054,
Eastern Europe,1990,-.73919678,-.36959839,
Eastern Europe,1995,-5.8127928,-2.9063964,
Eastern Europe,2000,-1.1808105,-.59040529,
Eastern Europe,2005,3.868799,1.9343994,
Eastern Europe,2010,11.539196,5.7695985,
Eastern Europe,2015,8.9856071,4.4928041,5.5495381
Ecuador,1950,,,0
Ecuador,1955,11.976013,5.9880066,
Ecuador,1960,15.182392,7.5911956,
Ecuador,1965,12.4992,6.2496004,
Ecuador,1970,9.3264046,4.6632018,
Ecuador,1975,11.707195,5.8535981,
Ecuador,1980,13.790405,6.8952026,
Ecuador,1985,14.548791,7.2743959,
Ecuador,1990,13.747192,6.8735962,
Ecuador,1995,10.689625,5.3448119,
Ecuador,2000,8.2367802,4.1183901,
Ecuador,2005,5.7744141,2.887207,
Ecuador,2010,4.367981,2.1839905,
Ecuador,2015,5.068799,2.5343995,10.531938
Egypt,1950,,,0
Egypt,1955,27.081591,13.540796,
Egypt,1960,18.935997,9.4679995,
Egypt,1965,12,6,
Egypt,1970,7.6751957,3.8375976,
Egypt,1975,12.326405,6.1632018,
Egypt,1980,17.352009,8.6760044,
Egypt,1985,16.675194,8.3375978,
Egypt,1990,13.286407,6.6432037,
Egypt,1995,10.603199,5.301599,
Egypt,2000,8.755188,4.377594,
Egypt,2005,3.988806,1.9944031,
Egypt,2010,4.38241,2.1912048,
Egypt,2015,4.5455933,2.2727966,12.123692
El Salvador,1950,,,0
El Salvador,1955,17.31361,8.656805,
El Salvador,1960,17.860802,8.9304018,
El Salvador,1965,13.987189,6.9935942,
El Salvador,1970,10.099201,5.0496001,
El Salvador,1975,5.0544071,2.5272033,
El Salvador,1980,1.6223878,.81119382,
El Salvador,1985,12.979211,6.4896059,
El Salvador,1990,23.558403,11.779202,
El Salvador,1995,15.743977,7.8719878,
El Salvador,2000,7.5072141,3.7536073,
El Salvador,2005,7.3104129,3.6552062,
El Salvador,2010,7.4159908,3.7079957,
El Salvador,2015,6.55199,3.2759948,11.308062
Equatorial Guinea,1950,,,0
Equatorial Guinea,1955,6.4944034,3.2472014,
Equatorial Guinea,1960,7.2240047,3.6120026,
Equatorial Guinea,1965,7.2095947,3.6047974,
Equatorial Guinea,1970,7.1807919,3.5903962,
Equatorial Guinea,1975,6.6432133,3.3216064,
Equatorial Guinea,1980,12.71999,6.3599944,
Equatorial Guinea,1985,12.945611,6.472806,
Equatorial Guinea,1990,8.4959831,4.247992,
Equatorial Guinea,1995,11.275213,5.6376066,
Equatorial Guinea,2000,10.387188,5.1935945,
Equatorial Guinea,2005,7.2480106,3.6240051,
Equatorial Guinea,2010,7.9007993,3.9503999,
Equatorial Guinea,2015,7.3247867,3.6623931,8.6961222
Eritrea,1950,,,0
Eritrea,1955,9.2784119,4.6392059,
Eritrea,1960,15.287988,7.6439943,
Eritrea,1965,13.459205,6.7296019,
Eritrea,1970,9.2880058,4.6440034,
Eritrea,1975,9.1103935,4.5551972,
Eritrea,1980,7.6751957,3.8375976,
Eritrea,1985,6.249609,3.1248047,
Eritrea,1990,7.8383975,3.9191985,
Eritrea,1995,13.065601,6.5328002,
Eritrea,2000,14.145593,7.0727968,
Eritrea,2005,16.478413,8.2392063,
Eritrea,2010,16.751991,8.3759947,
Eritrea,2015,11.784008,5.8920045,11.570216
Estonia,1950,,,0
Estonia,1955,27.580793,13.790396,
Estonia,1960,17.760021,8.8800106,
Estonia,1965,7.4640012,3.7320008,
Estonia,1970,1.780774,.89038694,
Estonia,1975,-2.7935667,-1.3967835,
Estonia,1980,-2.8992186,-1.4496094,
Estonia,1985,3.4031982,1.7015991,
Estonia,1990,-2.6111937,-1.3055969,
Estonia,1995,-3.5615845,-1.7807922,
Estonia,2000,8.3951664,4.1975832,
Estonia,2005,10.622425,5.3112121,
Estonia,2010,13.175976,6.5879884,
Estonia,2015,9.6768303,4.8384156,6.7687407
Ethiopia,1950,,,0
Ethiopia,1955,9.3023987,4.6511993,
Ethiopia,1960,15.268799,7.6343994,
Ethiopia,1965,13.670399,6.8351989,
Ethiopia,1970,8.0496101,4.0248046,
Ethiopia,1975,5.28479,2.642395,
Ethiopia,1980,-1.435199,-.71759951,
Ethiopia,1985,4.2576046,2.1288025,
Ethiopia,1990,11.841595,5.9207978,
Ethiopia,1995,10.584009,5.2920046,
Ethiopia,2000,12.647991,6.3239961,
Ethiopia,2005,20.548809,10.274405,
Ethiopia,2010,25.939196,12.969599,
Ethiopia,2015,16.377613,8.1888065,11.718278
Europe,1950,,,0
Europe,1955,17.433601,8.7167997,
Europe,1960,13.223988,6.6119933,
Europe,1965,6.6000004,3.3,
Europe,1970,2.9904051,1.4952027,
Europe,1975,2.2272215,1.1136109,
Europe,1980,2.2319822,1.1159912,
Europe,1985,4.8047972,2.4023986,
Europe,1990,2.4239869,1.2119935,
Europe,1995,.10081787,.050408937,
Europe,2000,2.6303835,1.3151916,
Europe,2005,5.2176266,2.6088135,
Europe,2010,8.8175907,4.4087954,
Europe,2015,6.897583,3.4487915,5.815383
Fiji,1950,,,0
Fiji,1955,11.587189,5.7935944,
Fiji,1960,11.217609,5.6088042,
Fiji,1965,10.032001,5.0160003,
Fiji,1970,9.1535892,4.5767946,
Fiji,1975,7.8864079,3.9432037,
Fiji,1980,7.0944028,3.5472016,
Fiji,1985,6.484808,3.2424042,
Fiji,1990,5.6687984,2.8343995,
Fiji,1995,5.1119747,2.5559876,
Fiji,2000,4.6944218,2.3472106,
Fiji,2005,4.0895872,2.0447936,
Fiji,2010,4.137598,2.0687988,
Fiji,2015,4.0799923,2.0399964,7.0183368
Finland,1950,,,0
Finland,1955,9.5519905,4.7759948,
Finland,1960,6.1343994,3.0671997,
Finland,1965,3.1055784,1.5527893,
Finland,1970,4.1952028,2.0976014,
Finland,1975,7.4880252,3.7440124,
Finland,1980,8.7407951,4.370398,
Finland,1985,4.6943846,2.3471923,
Finland,1990,3.1391966,1.5695984,
Finland,1995,5.8464108,2.9232056,
Finland,2000,6.2735958,3.1367981,
Finland,2005,5.755188,2.877594,
Finland,2010,5.568018,2.7840087,
Finland,2015,4.8480101,2.424005,5.7954459
France,1950,,,0
France,1955,10.473597,5.2367983,
France,1960,8.7071781,4.3535891,
France,1965,4.7424316,2.3712158,
France,1970,3.6287842,1.8143921,
France,1975,5.318408,2.659204,
France,1980,5.5152102,2.7576051,
France,1985,5.8559694,2.9279847,
France,1990,6.3120117,3.1560059,
France,1995,5.5824099,2.7912049,
France,2000,5.2223873,2.6111939,
France,2005,6.2159915,3.1079955,
France,2010,6.0336185,3.016809,
France,2015,4.7136106,2.3568053,6.0247393
French Guiana,1950,,,0
French Guiana,1955,11.587208,5.7936034,
French Guiana,1960,14.5008,7.2503996,
French Guiana,1965,21.211193,10.605597,
French Guiana,1970,15.547211,7.7736053,
French Guiana,1975,3.3551881,1.6775939,
French Guiana,1980,8.3904057,4.1952028,
French Guiana,1985,11.577612,5.788806,
French Guiana,1990,8.3231697,4.1615844,
French Guiana,1995,7.4256229,3.7128112,
French Guiana,2000,7.9296017,3.9648011,
French Guiana,2005,9.3264046,4.6632018,
French Guiana,2010,7.4687991,3.7343993,
French Guiana,2015,5.289587,2.6447937,10.148677
French Polynesia,1950,,,0
French Polynesia,1955,33.105598,16.552799,
French Polynesia,1960,18.177612,9.0888062,
French Polynesia,1965,9.4079952,4.7039976,
French Polynesia,1970,9.3215885,4.6607943,
French Polynesia,1975,7.8336182,3.9168091,
French Polynesia,1980,13.180775,6.5903869,
French Polynesia,1985,12.984009,6.4920044,
French Polynesia,1990,6.8783932,3.4391968,
French Polynesia,1995,8.3040161,4.1520081,
French Polynesia,2000,9.0384159,4.519208,
French Polynesia,2005,8.7312012,4.3656006,
French Polynesia,2010,7.2527714,3.6263855,
French Polynesia,2015,4.7280025,2.3640015,11.457231
Gabon,1950,,,0
Gabon,1955,10.2672,5.1335998,
Gabon,1960,7.1088138,3.5544066,
Gabon,1965,13.343994,6.6719971,
Gabon,1970,20.788807,10.394403,
Gabon,1975,19.910393,9.9551973,
Gabon,1980,20.006397,10.003199,
Gabon,1985,19.910393,9.9551973,
Gabon,1990,9.8544064,4.9272032,
Gabon,1995,-2.8608031,-1.4304016,
Gabon,2000,-6.3216062,-3.1608033,
Gabon,2005,2.8224058,1.411203,
Gabon,2010,14.41441,7.2072053,
Gabon,2015,13.401581,6.7007904,10.972799
Gambia,1950,,,0
Gambia,1955,5.8128023,2.9064012,
Gambia,1960,5.4383974,2.7191987,
Gambia,1965,9.7968025,4.8984008,
Gambia,1970,17.990406,8.995203,
Gambia,1975,20.745594,10.372797,
Gambia,1980,19.905598,9.9527988,
Gambia,1985,17.592003,8.7960024,
Gambia,1990,10.646393,5.3231964,
Gambia,1995,8.0064144,4.0032072,
Gambia,2000,9.9839897,4.9919953,
Gambia,2005,9.5520077,4.7760038,
Gambia,2010,8.1984005,4.0992002,
Gambia,2015,6.3935852,3.1967926,11.543262
Georgia,1950,,,0
Georgia,1955,8.6543884,4.3271942,
Georgia,1960,9.6096134,4.8048067,
Georgia,1965,9.8063965,4.9031982,
Georgia,1970,8.4384155,4.2192078,
Georgia,1975,7.4975834,3.7487915,
Georgia,1980,3.2927856,1.6463928,
Georgia,1985,1.8384156,.91920775,
Georgia,1990,.88798833,.44399413,
Georgia,1995,.93120122,.46560058,
Georgia,2000,6.9359989,3.4679992,
Georgia,2005,3.9504271,1.9752136,
Georgia,2010,-.38880613,-.19440308,
Georgia,2015,2.1455932,1.0727966,4.8923078
Germany,1950,,,0
Germany,1955,6.5759768,3.2879882,
Germany,1960,5.9040165,2.952008,
Germany,1965,4.1615849,2.0807922,
Germany,1970,2.4336181,1.216809,
Germany,1975,3.7823732,1.8911865,
Germany,1980,6.240015,3.1200073,
Germany,1985,6.6624026,3.3312011,
Germany,1990,5.4815922,2.7407959,
Germany,1995,5.4432125,2.7216065,
Germany,2000,6.5280032,3.2640014,
Germany,2005,5.9519901,2.9759948,
Germany,2010,4.2719975,2.1359985,
Germany,2015,3.5280027,1.7640015,5.1511369
Ghana,1950,,,0
Ghana,1955,11.212793,5.6063967,
Ghana,1960,11.452808,5.7264037,
Ghana,1965,9.5039978,4.7519989,
Ghana,1970,7.2719975,3.6359985,
Ghana,1975,7.0559878,3.5279937,
Ghana,1980,7.0032163,3.5016084,
Ghana,1985,8.8463936,4.4231963,
Ghana,1990,12.691204,6.3456025,
Ghana,1995,3.6095946,1.8047974,
Ghana,2000,-2.4624023,-1.2312012,
Ghana,2005,8.0256042,4.0128021,
Ghana,2010,10.838398,5.4191985,
Ghana,2015,7.3152103,3.6576049,7.8742151
Greece,1950,,,0
Greece,1955,4.4495726,2.2247863,
Greece,1960,9.1632195,4.5816102,
Greece,1965,7.0512085,3.5256042,
Greece,1970,6.004797,3.0023987,
Greece,1975,6.5855713,3.2927856,
Greece,1980,6.4176273,3.2088134,
Greece,1985,6.7631836,3.3815918,
Greece,1990,7.0320187,3.5160096,
Greece,1995,5.8799925,2.9399962,
Greece,2000,3.897583,1.9487915,
Greece,2005,4.8432131,2.4216065,
Greece,2010,3.4319823,1.7159913,
Greece,2015,3.5136108,1.7568054,5.7718143
Grenada,1950,,,0
Grenada,1955,11.760004,5.880002,
Grenada,1960,11.457605,5.7288027,
Grenada,1965,9.7871895,4.8935943,
Grenada,1970,8.3327999,4.1664,
Grenada,1975,7.0511899,3.5255952,
Grenada,1980,5.9760132,2.9880066,
Grenada,1985,5.2944212,2.6472106,
Grenada,1990,4.5119753,2.2559876,
Grenada,1995,3.8496094,1.9248047,
Grenada,2000,4.4879885,2.2439942,
Grenada,2005,5.2848263,2.6424134,
Grenada,2010,5.6639652,2.8319824,
Grenada,2015,4.38241,2.1912048,6.7569227
Guadeloupe,1950,,,0
Guadeloupe,1955,17.740814,8.8704071,
Guadeloupe,1960,17.097584,8.5487919,
Guadeloupe,1965,15.475213,7.737607,
Guadeloupe,1970,13.656006,6.8280029,
Guadeloupe,1975,11.870398,5.9351988,
Guadeloupe,1980,11.001598,5.5007997,
Guadeloupe,1985,9.907177,4.953589,
Guadeloupe,1990,9.1008186,4.5504088,
Guadeloupe,1995,8.4528084,4.2264037,
Guadeloupe,2000,7.8815918,3.9407959,
Guadeloupe,2005,7.2815914,3.6407959,
Guadeloupe,2010,6.3551884,3.1775939,
Guadeloupe,2015,5.6304197,2.8152099,10.880862
Guam,1950,,,0
Guam,1955,10.886389,5.4431944,
Guam,1960,12.35041,6.1752043,
Guam,1965,11.870398,5.9351988,
Guam,1970,10.651209,5.3256044,
Guam,1975,9.2975826,4.6487913,
Guam,1980,7.98241,3.9912047,
Guam,1985,6.9071774,3.453589,
Guam,1990,5.8752317,2.9376159,
Guam,1995,6.4415774,3.2207885,
Guam,2000,8.3664188,4.1832094,
Guam,2005,7.9343991,3.9671998,
Guam,2010,7.0608029,3.5304017,
Guam,2015,5.9759769,2.9879882,8.5846138
Guatemala,1950,,,0
Guatemala,1955,11.025604,5.5128021,
Guatemala,1960,12.052789,6.0263948,
Guatemala,1965,13.113593,6.5567961,
Guatemala,1970,14.721607,7.3608031,
Guatemala,1975,12.667199,6.3336,
Guatemala,1980,10.233601,5.1167998,
Guatemala,1985,11.467199,5.7335997,
Guatemala,1990,12.480011,6.2400055,
Guatemala,1995,13.579174,6.7895875,
Guatemala,2000,13.243214,6.6216063,
Guatemala,2005,9.1872063,4.5936036,
Guatemala,2010,8.3088131,4.1544065,
Guatemala,2015,7.9487915,3.9743958,11.540677
Guinea,1950,,,0
Guinea,1955,5.7312012,2.8656006,
Guinea,1960,5.5679989,2.7839997,
Guinea,1965,4.0800114,2.0400054,
Guinea,1970,4.3967838,2.1983917,
Guinea,1975,8.8416138,4.4208069,
Guinea,1980,13.348792,6.6743956,
Guinea,1985,20.174397,10.087198,
Guinea,1990,21.441612,10.720807,
Guinea,1995,8.4863892,4.2431946,
Guinea,2000,-2.5727968,-1.2863983,
Guinea,2005,9.5471916,4.7735963,
Guinea,2010,17.256004,8.6280031,
Guinea,2015,12.739197,6.3695984,9.9260311
Guinea-Bissau,1950,,,0
Guinea-Bissau,1955,5.4720154,2.7360077,
Guinea-Bissau,1960,6.4127927,3.2063966,
Guinea-Bissau,1965,8.2848091,4.1424041,
Guinea-Bissau,1970,9.3983822,4.6991911,
Guinea-Bissau,1975,9.249609,4.6248045,
Guinea-Bissau,1980,10.099201,5.0496001,
Guinea-Bissau,1985,8.8560066,4.4280028,
Guinea-Bissau,1990,7.9535885,3.9767945,
Guinea-Bissau,1995,9.1104126,4.5552063,
Guinea-Bissau,2000,6.2447934,3.1223969,
Guinea-Bissau,2005,5.2175903,2.6087952,
Guinea-Bissau,2010,8.1264038,4.0632019,
Guinea-Bissau,2015,9.3600044,4.6800017,7.9835086
Guyana,1950,,,0
Guyana,1955,4.4208069,2.2104034,
Guyana,1960,4.4495907,2.2247956,
Guyana,1965,4.3056154,2.1528077,
Guyana,1970,3.0335999,1.5167999,
Guyana,1975,1.6847901,.84239501,
Guyana,1980,1.7184081,.85920411,
Guyana,1985,1.4543884,.72719419,
Guyana,1990,2.3472109,1.1736053,
Guyana,1995,3.9936037,1.9968017,
Guyana,2000,3.8783934,1.9391968,
Guyana,2005,2.9184084,1.4592041,
Guyana,2010,2.3232055,1.1616027,
Guyana,2015,2.4671998,1.2335999,2.9996324
Haiti,1950,,,0
Haiti,1955,14.044793,7.022397,
Haiti,1960,14.510395,7.255197,
Haiti,1965,13.641613,6.820807,
Haiti,1970,10.847992,5.423996,
Haiti,1975,9.0815926,4.5407958,
Haiti,1980,8.3760128,4.1880064,
Haiti,1985,8.774395,4.387198,
Haiti,1990,9.2592049,4.629602,
Haiti,1995,8.1936035,4.0968018,
Haiti,2000,6.7199893,3.3599944,
Haiti,2005,7.2144108,3.6072052,
Haiti,2010,9.9695988,4.9847994,
Haiti,2015,8.4431953,4.2215972,9.9289837
High-income countries,1950,,,0
High-income countries,1955,10.046375,5.0231872,
High-income countries,1960,8.0592041,4.0296021,
High-income countries,1965,5.5296021,2.764801,
High-income countries,1970,5.4143925,2.707196,
High-income countries,1975,6.6143918,3.3071961,
High-income countries,1980,6.710413,3.3552063,
High-income countries,1985,5.8703976,2.935199,
High-income countries,1990,5.0783939,2.5391967,
High-income countries,1995,5.1984005,2.5992005,
High-income countries,2000,5.8079958,2.9039979,
High-income countries,2005,5.7648191,2.8824096,
High-income countries,2010,5.0400143,2.5200074,
High-income countries,2015,4.137598,2.0687988,6.097846
Honduras,1950,,,0
Honduras,1955,10.742395,5.3711977,
Honduras,1960,15.311993,7.6559968,
Honduras,1965,15.71521,7.857605,
Honduras,1970,14.279992,7.1399965,
Honduras,1975,15.892803,7.9464021,
Honduras,1980,18.2304,9.115201,
Honduras,1985,19.252808,9.6264038,
Honduras,1990,14.793586,7.3967924,
Honduras,1995,10.43042,5.21521,
Honduras,2000,7.8671994,3.9335999,
Honduras,2005,4.7759762,2.3879883,
Honduras,2010,4.387207,2.1936035,
Honduras,2015,4.4640017,2.2320008,12.011076
Hong Kong,1950,,,0
Hong Kong,1955,11.193584,5.5967927,
Hong Kong,1960,14.006433,7.0032167,
Hong Kong,1965,12.16798,6.0839906,
Hong Kong,1970,8.6544075,4.3272033,
Hong Kong,1975,6.6143918,3.3071961,
Hong Kong,1980,7.5264034,3.763202,
Hong Kong,1985,7.9631839,3.9815917,
Hong Kong,1990,5.352026,2.6760132,
Hong Kong,1995,7.3248043,3.6624024,
Hong Kong,2000,8.539196,4.2695985,
Hong Kong,2005,5.7312012,2.8656006,
Hong Kong,2010,4.7183714,2.3591857,
Hong Kong,2015,4.1520262,2.0760131,7.9956932
Hungary,1950,,,0
Hungary,1955,14.428783,7.2143922,
Hungary,1960,11.563221,5.78161,
Hungary,1965,5.9519901,2.9759948,
Hungary,1970,.96961665,.48480836,
Hungary,1975,.30717772,.15358886,
Hungary,1980,-1.0127931,-.50639647,
Hungary,1985,-.52800298,-.26400146,
Hungary,1990,.55202639,.2760132,
Hungary,1995,3.3167725,1.6583862,
Hungary,2000,8.1648197,4.0824099,
Hungary,2005,6.8111935,3.405597,
Hungary,2010,7.0608029,3.5304017,
Hungary,2015,5.7647829,2.8823915,4.873107
Iceland,1950,,,0
Iceland,1955,5.6111937,2.8055968,
Iceland,1960,2.8320189,1.4160095,
Iceland,1965,.60000002,.30000001,
Iceland,1970,1.0895875,.54479373,
Iceland,1975,7.1567874,3.5783935,
Iceland,1980,6.8256226,3.4128113,
Iceland,1985,2.4671998,1.2335999,
Iceland,1990,4.1856079,2.092804,
Iceland,1995,3.2831907,1.6415955,
Iceland,2000,5.3760128,2.6880066,
Iceland,2005,5.8415775,2.9207885,
Iceland,2010,3.2928221,1.6464112,
Iceland,2015,3.8495729,1.9247863,4.03163
India,1950,,,0
India,1955,13.075195,6.5375977,
India,1960,14.596802,7.2984009,
India,1965,15.273597,7.6367979,
India,1970,16.152008,8.076004,
India,1975,15.964802,7.9824004,
India,1980,13.415992,6.7079954,
India,1985,9.5424137,4.7712069,
India,1990,10.007996,5.0039978,
India,1995,11.9664,5.9832001,
India,2000,10.4352,5.2175994,
India,2005,9.4751949,4.7375975,
India,2010,9.9312019,4.9656005,
India,2015,8.0496101,4.0248046,12.145108
Indonesia,1950,,,0
Indonesia,1955,15.758404,7.8792024,
Indonesia,1960,16.103996,8.0519991,
Indonesia,1965,14.5008,7.2503996,
Indonesia,1970,13.75199,6.8759947,
Indonesia,1975,12.974415,6.4872069,
Indonesia,1980,11.414392,5.7071962,
Indonesia,1985,9.2976017,4.6488008,
Indonesia,1990,8.28479,4.142395,
Indonesia,1995,8.4047966,4.2023988,
Indonesia,2000,6.0144291,3.0072143,
Indonesia,2005,4.3487911,2.1743958,
Indonesia,2010,4.6031981,2.301599,
