Entity,Year,Patent application rates (OWID based on World Bank & UN),"Patent application rates, nonresidents (OWID based on World Bank & UN)",Scientific and technical journal publication rates (OWID based on World Bank & UN),"Patent application rates, aged 15+ (OWID based on World Bank & UN)","Patent application rates, aged 15+, nonresidents (OWID based on World Bank & UN)","Scientific and technical journal publication rates, aged 15+ (OWID based on World Bank & UN)"
East Asia & Pacific (excluding high income),2010,155.049,58.911,166.8,1.957,0.744,2.105
East Asia & Pacific (excluding high income),2011,215.698,66.005,191.279,2.714,0.831,2.407
East Asia & Pacific (excluding high income),2012,274.131,67.913,201.331,3.445,0.853,2.53
East Asia & Pacific (excluding high income),2013,353.279,72.594,216.335,4.437,0.912,2.717
East Asia & Pacific (excluding high income),2014,398.195,76.685,,4.999,0.963,
East Asia & Pacific (excluding high income),2015,477.105,76.705,,5.986,0.962,
East Asia & Pacific (IDA & IBRD),1985,2.936,6.002,,0.044,0.09,
East Asia & Pacific (IDA & IBRD),1986,2.501,4.992,,0.037,0.074,
East Asia & Pacific (IDA & IBRD),1987,2.826,6.825,,0.042,0.101,
East Asia & Pacific (IDA & IBRD),1988,3.29,5.931,,0.048,0.087,
East Asia & Pacific (IDA & IBRD),1989,3.279,6.773,,0.048,0.099,
East Asia & Pacific (IDA & IBRD),1990,3.92,6.463,,0.057,0.094,
East Asia & Pacific (IDA & IBRD),1991,4.859,7.074,,0.07,0.103,
East Asia & Pacific (IDA & IBRD),1992,6.449,8.718,,0.093,0.126,
East Asia & Pacific (IDA & IBRD),1993,7.695,10.099,,0.111,0.145,
East Asia & Pacific (IDA & IBRD),1994,7.135,11.14,,0.102,0.159,
East Asia & Pacific (IDA & IBRD),1995,6.311,12.834,,0.09,0.183,
East Asia & Pacific (IDA & IBRD),1996,7.242,16.56,,0.102,0.234,
East Asia & Pacific (IDA & IBRD),1997,7.797,18.537,,0.109,0.26,
East Asia & Pacific (IDA & IBRD),1998,8.469,28.599,,0.118,0.399,
East Asia & Pacific (IDA & IBRD),1999,9.542,29.105,,0.132,0.403,
East Asia & Pacific (IDA & IBRD),2000,14.778,25.408,28.545,0.203,0.349,0.392
East Asia & Pacific (IDA & IBRD),2001,17.345,28.421,34.959,0.236,0.386,0.475
East Asia & Pacific (IDA & IBRD),2002,22.657,29.873,35.784,0.304,0.401,0.481
East Asia & Pacific (IDA & IBRD),2003,31.826,34.558,41.176,0.423,0.459,0.547
East Asia & Pacific (IDA & IBRD),2004,36.537,43.93,60.85,0.48,0.577,0.8
East Asia & Pacific (IDA & IBRD),2005,51.145,53.347,87.782,0.666,0.694,1.142
East Asia & Pacific (IDA & IBRD),2006,66.178,56.844,101.336,0.855,0.734,1.309
East Asia & Pacific (IDA & IBRD),2007,81.859,58.174,114.74,1.049,0.746,1.471
East Asia & Pacific (IDA & IBRD),2008,103.067,60.921,133.042,1.312,0.776,1.694
East Asia & Pacific (IDA & IBRD),2009,120.583,54.249,153.921,1.527,0.687,1.949
East Asia & Pacific (IDA & IBRD),2010,152.884,59.638,168.91,1.929,0.752,2.131
East Asia & Pacific (IDA & IBRD),2011,214.359,66.821,193.691,2.697,0.841,2.437
East Asia & Pacific (IDA & IBRD),2012,273.353,68.758,203.862,3.434,0.864,2.561
East Asia & Pacific (IDA & IBRD),2013,357.738,73.51,219.04,4.492,0.923,2.75
East Asia & Pacific (IDA & IBRD),2014,403.21,77.651,,5.061,0.975,
East Asia & Pacific (IDA & IBRD),2015,483.102,77.669,,6.061,0.974,
Ecuador,1986,2.912,11.215,,0.048,0.186,
Ecuador,1987,2.21,8.207,,0.036,0.135,
Ecuador,1988,2.464,9.96,,0.04,0.163,
Ecuador,1989,2.606,9.421,,0.042,0.153,
Ecuador,1991,1.243,7.169,,0.02,0.115,
Ecuador,1992,2.148,7.846,,0.034,0.126,
Ecuador,1993,1.918,9.131,,0.031,0.145,
Ecuador,1994,0.357,29.92,,0.006,0.474,
Ecuador,1995,0.699,23.6,,0.011,0.372,
Ecuador,1996,0.599,30.299,,0.009,0.475,
Ecuador,1997,0.671,25.325,,0.01,0.395,
Ecuador,1999,1.21,38.31,,0.019,0.591,
Ecuador,2000,0.792,42.839,5.567,0.012,0.656,0.085
Ecuador,2001,0.545,19.918,4.622,0.008,0.304,0.07
Ecuador,2002,0.994,7.726,6.632,0.015,0.117,0.1
Ecuador,2003,0.527,31.227,7.231,0.008,0.47,0.109
Ecuador,2004,1.036,36.196,6.847,0.015,0.541,0.102
Ecuador,2005,0.801,42.227,9.195,0.012,0.627,0.137
Ecuador,2006,0.573,53.768,8.785,0.008,0.794,0.13
Ecuador,2007,0.282,55.894,9.75,0.004,0.82,0.143
Ecuador,2008,0.138,58.626,10.41,0.002,0.856,0.152
Ecuador,2009,0.408,45.469,12.45,0.006,0.66,0.181
Ecuador,2010,0.268,46.201,12.829,0.004,0.667,0.185
Ecuador,2011,,,11.069,,,0.159
Ecuador,2012,,,16.239,,,0.232
Ecuador,2013,,,16.346,,,0.232
Egypt,1985,3.346,13.365,,0.056,0.224,
Egypt,1986,2.752,12.924,,0.046,0.217,
Egypt,1987,3.204,11.231,,0.054,0.189,
Egypt,1988,3.483,8.69,,0.059,0.147,
Egypt,1989,3.321,8.249,,0.056,0.14,
Egypt,1990,4.842,8.901,,0.082,0.151,
Egypt,1991,5.242,8.153,,0.089,0.138,
Egypt,1992,5.014,8.612,,0.085,0.145,
Egypt,1993,5.353,8.209,,0.09,0.138,
Egypt,1994,4.928,8.449,,0.082,0.141,
Egypt,1995,6.404,10.877,,0.106,0.18,
Egypt,1996,7.762,10.873,,0.127,0.178,
Egypt,1998,7.332,16.905,,0.118,0.271,
Egypt,1999,7.81,16.699,,0.124,0.265,
Egypt,2000,7.639,15.464,34.39,0.12,0.243,0.54
Egypt,2001,6.514,12.959,38.219,0.101,0.201,0.594
Egypt,2002,8.638,10.855,38.337,0.133,0.167,0.589
Egypt,2003,6.664,8.462,41.155,0.101,0.129,0.626
Egypt,2004,5.068,4.139,45.305,0.076,0.062,0.683
Egypt,2005,5.575,13.129,45.295,0.083,0.196,0.677
Egypt,2006,,,50.113,,,0.745
Egypt,2007,6.488,19.978,56.161,0.096,0.295,0.831
Egypt,2008,5.942,20.37,60.452,0.087,0.3,0.89
Egypt,2009,5.942,17.607,74.433,0.087,0.259,1.093
Egypt,2010,7.193,19.32,79.633,0.106,0.284,1.17
Egypt,2011,7.195,18.522,89.735,0.106,0.272,1.319
Egypt,2012,7.778,17.401,101.69,0.115,0.257,1.501
Egypt,2013,7.137,15.767,102.433,0.106,0.234,1.521
Egypt,2014,8.191,15.074,,0.122,0.225,
El Salvador,1985,3.249,8.124,,0.056,0.141,
El Salvador,1989,3.664,6.556,,0.061,0.11,
El Salvador,1990,1.903,8.373,,0.032,0.139,
El Salvador,1991,1.877,4.881,,0.031,0.08,
El Salvador,1992,2.037,17.962,,0.033,0.294,
El Salvador,1993,1.827,13.701,,0.03,0.222,
El Salvador,1994,1.803,13.706,,0.029,0.221,
El Salvador,1995,0.535,11.406,,0.009,0.183,
El Salvador,2000,,,1.397,,,0.022
El Salvador,2001,,,2.641,,,0.041
El Salvador,2002,,,2.71,,,0.042
El Salvador,2003,,,1.993,,,0.031
El Salvador,2004,,,4.566,,,0.07
El Salvador,2005,,,3.865,,,0.058
El Salvador,2006,,,4.078,,,0.061
El Salvador,2007,,,2.515,,,0.037
El Salvador,2008,,,3.502,,,0.051
El Salvador,2009,,,6.241,,,0.091
El Salvador,2010,,,8.695,,,0.125
El Salvador,2011,,,6.75,,,0.096
El Salvador,2012,,34.88,6.365,,0.492,0.09
El Salvador,2013,,29.276,5.663,,0.408,0.079
El Salvador,2014,,29.771,,,0.411,
El Salvador,2015,1.109,31.05,,0.015,0.426,
Equatorial Guinea,2001,,,2.657,,,0.046
Equatorial Guinea,2002,,,0.75,,,0.013
Equatorial Guinea,2003,,,3.167,,,0.055
Equatorial Guinea,2004,,,5.657,,,0.097
Equatorial Guinea,2005,,,1.981,,,0.034
Equatorial Guinea,2006,,,4.67,,,0.079
Equatorial Guinea,2007,,,4.582,,,0.077
Equatorial Guinea,2008,,,2.994,,,0.05
Equatorial Guinea,2009,,,5.5,,,0.092
Equatorial Guinea,2010,,,4.416,,,0.074
Equatorial Guinea,2011,,,3.218,,,0.054
Equatorial Guinea,2012,,,2.889,,,0.048
Equatorial Guinea,2013,,,2.215,,,0.037
Eritrea,2000,,,1.061,,,0.02
Eritrea,2001,,,1.973,,,0.036
Eritrea,2002,,,3.126,,,0.056
Eritrea,2003,,,3.799,,,0.067
Eritrea,2004,,,3.032,,,0.053
Eritrea,2005,,,3.225,,,0.056
Eritrea,2006,,,4.5,,,0.078
Eritrea,2007,,,6.669,,,0.115
Eritrea,2008,,,2.646,,,0.046
Eritrea,2009,,,1.972,,,0.034
Eritrea,2010,,,2.779,,,0.048
Eritrea,2011,,,3.732,,,0.065
Estonia,1994,10.94,309.057,,0.138,3.912,
Estonia,1995,11.137,43.853,,0.14,0.552,
Estonia,1996,8.477,139.871,,0.106,1.746,
Estonia,1997,10.718,257.228,,0.133,3.187,
Estonia,1998,14.428,319.589,,0.178,3.933,
Estonia,1999,9.351,434.456,,0.114,5.31,
Estonia,2000,9.306,566.219,316.61,0.113,6.87,3.842
Estonia,2001,12.967,503.561,349.899,0.156,6.07,4.218
Estonia,2002,13.775,507.485,354.442,0.165,6.077,4.245
Estonia,2003,13.132,426.053,388.19,0.156,5.07,4.619
Estonia,2004,19.816,71.19,443.066,0.235,0.843,5.244
Estonia,2005,16.977,11.072,522.448,0.2,0.13,6.158
Estonia,2006,26.73,6.682,626.369,0.314,0.079,7.37
Estonia,2007,32.819,14.172,744.995,0.386,0.167,8.757
Estonia,2008,46.369,7.479,813.483,0.545,0.088,9.562
Estonia,2009,56.95,14.987,838.657,0.67,0.176,9.867
Estonia,2010,63.088,9.764,1006.252,0.743,0.115,11.857
Estonia,2011,46.706,11.3,1028.748,0.551,0.133,12.143
Estonia,2012,15.121,3.78,1050.43,0.179,0.045,12.42
Estonia,2013,18.968,12.898,1081.793,0.225,0.153,12.817
Estonia,2014,33.472,4.564,,0.398,0.054,
Estonia,2015,22.807,4.561,,0.272,0.054,
Ethiopia,1996,0.051,,,0.001,,
Ethiopia,1998,,0.175,,,0.003,
Ethiopia,1999,,0.278,,,0.005,
Ethiopia,2000,0.045,0.135,2.343,0.001,0.003,0.044
Ethiopia,2001,,0.219,2.438,,0.004,0.046
Ethiopia,2002,0.014,0.17,2.704,0,0.003,0.051
Ethiopia,2003,0.041,0.083,2.826,0.001,0.002,0.053
Ethiopia,2004,0.013,0.04,2.787,0,0.001,0.052
Ethiopia,2005,0.013,0.052,2.846,0,0.001,0.053
Ethiopia,2006,0.063,0.063,3.55,0.001,0.001,0.066
Ethiopia,2007,0.148,0.309,4.048,0.003,0.006,0.075
Ethiopia,2008,,,4.278,,,0.078
Ethiopia,2009,,,4.962,,,0.09
Ethiopia,2010,,,5.417,,,0.098
Ethiopia,2011,,,6.458,,,0.115
Ethiopia,2012,,,7.774,,,0.137
Ethiopia,2013,,,8.449,,,0.147
Euro area,1985,186.652,169.849,,2.326,2.117,
Euro area,1986,178.46,132.622,,2.215,1.646,
Euro area,1987,178.865,103.059,,2.212,1.274,
Euro area,1988,183.004,123.132,,2.254,1.517,
Euro area,1989,173.784,99.655,,2.134,1.223,
Euro area,1990,171.127,91.911,,2.094,1.125,
Euro area,1991,174.674,78.204,,2.132,0.955,
Euro area,1992,204.162,69.229,,2.486,0.843,
Euro area,1993,210.021,59.195,,2.551,0.719,
Euro area,1994,215.326,54.762,,2.61,0.664,
Euro area,1995,193.448,54.524,,2.339,0.659,
Euro area,1996,231.809,61.83,,2.796,0.746,
Euro area,1997,217.708,61.795,,2.62,0.744,
Euro area,1998,225.001,59.095,,2.701,0.71,
Euro area,1999,256.299,59.049,,3.07,0.707,
Euro area,2000,267.389,63.814,695.073,3.196,0.763,8.308
Euro area,2001,233.268,58.816,714.287,2.783,0.702,8.523
Euro area,2002,225.2,56.762,731.277,2.683,0.676,8.711
Euro area,2003,224.44,55.078,758.298,2.669,0.655,9.018
Euro area,2004,227.635,50.354,827.243,2.703,0.598,9.823
Euro area,2005,226.859,51.038,919.039,2.69,0.605,10.898
Euro area,2006,225.648,54.617,962.004,2.673,0.647,11.397
Euro area,2007,253.525,54.28,1007.354,3.001,0.643,11.924
Euro area,2008,257.414,51.712,1046.875,3.045,0.612,12.383
Euro area,2009,253.127,46.395,1096.703,2.992,0.548,12.963
Euro area,2010,251.794,47.77,1114.376,2.974,0.564,13.163
Euro area,2011,249.808,50.145,1161.641,2.95,0.592,13.717
Euro area,2012,244.836,56.609,1204.905,2.89,0.668,14.221
Euro area,2013,244.654,60.356,1212.981,2.886,0.712,14.308
Euro area,2014,245.711,64.829,,2.897,0.764,
Euro area,2015,216.488,67.537,,2.551,0.796,
Europe & Central Asia,1992,163.559,63.136,,2.105,0.813,
Europe & Central Asia,1993,170.464,55.856,,2.187,0.717,
Europe & Central Asia,1994,156.272,54.759,,1.999,0.7,
Europe & Central Asia,1995,142.933,59.157,,1.822,0.754,
Europe & Central Asia,1996,155.105,63.101,,1.968,0.801,
Europe & Central Asia,1997,146.903,69.58,,1.856,0.879,
Europe & Central Asia,1998,152.855,68.663,,1.923,0.864,
Europe & Central Asia,1999,170.947,73.827,,2.141,0.925,
Europe & Central Asia,2000,180.826,79.424,460.46,2.254,0.99,5.739
Europe & Central Asia,2001,171.217,77.429,468.348,2.124,0.961,5.811
Europe & Central Asia,2002,159.074,75.815,481.249,1.964,0.936,5.943
Europe & Central Asia,2003,159.671,71.126,496.974,1.962,0.874,6.108
Europe & Central Asia,2004,159.736,60.512,543.78,1.955,0.741,6.655
Europe & Central Asia,2005,157.109,60.199,602.777,1.916,0.734,7.352
Europe & Central Asia,2006,160.879,53.532,629.247,1.957,0.651,7.655
Europe & Central Asia,2007,172.834,55.675,661.224,2.098,0.676,8.028
Europe & Central Asia,2008,172.993,55.826,685.648,2.097,0.677,8.313
Europe & Central Asia,2009,168.175,48.257,718.952,2.037,0.585,8.708
Europe & Central Asia,2010,171.956,47.836,734.364,2.082,0.579,8.89
Europe & Central Asia,2011,168.478,50.272,764.914,2.04,0.609,9.264
Europe & Central Asia,2012,167.451,54.664,791.414,2.029,0.662,9.59
Europe & Central Asia,2013,168.724,56.138,802.056,2.046,0.681,9.726
Europe & Central Asia,2014,161.651,57.237,,1.962,0.695,
Europe & Central Asia,2015,156.349,58.216,,1.9,0.707,
Europe & Central Asia (excluding high income),1992,109.421,,,1.489,,
Europe & Central Asia (excluding high income),1993,118.284,27.667,,1.603,0.375,
Europe & Central Asia (excluding high income),1994,83.71,25.97,,1.129,0.35,
Europe & Central Asia (excluding high income),1995,72.924,30.769,,0.978,0.413,
Europe & Central Asia (excluding high income),1996,70.8,32.943,,0.943,0.439,
Europe & Central Asia (excluding high income),1997,65.587,36.462,,0.868,0.483,
Europe & Central Asia (excluding high income),1998,69.464,36.703,,0.914,0.483,
Europe & Central Asia (excluding high income),1999,78.417,36.658,,1.025,0.479,
Europe & Central Asia (excluding high income),2000,87.667,41.042,117.216,1.138,0.533,1.521
Europe & Central Asia (excluding high income),2001,97.645,42.786,122.946,1.259,0.551,1.585
Europe & Central Asia (excluding high income),2002,80.936,38.729,127.524,1.035,0.495,1.631
Europe & Central Asia (excluding high income),2003,84.498,37.271,127.977,1.073,0.473,1.625
Europe & Central Asia (excluding high income),2004,85.253,30.469,143.496,1.075,0.384,1.81
Europe & Central Asia (excluding high income),2005,86.077,34.77,161.256,1.08,0.436,2.023
Europe & Central Asia (excluding high income),2006,96.211,35.225,162.611,1.202,0.44,2.032
Europe & Central Asia (excluding high income),2007,98.213,40.575,179.794,1.224,0.506,2.24
Europe & Central Asia (excluding high income),2008,97.941,48.417,191.223,1.218,0.602,2.378
Europe & Central Asia (excluding high income),2009,91.966,42.294,209.01,1.143,0.525,2.597
Europe & Central Asia (excluding high income),2010,102.632,44.368,220.962,1.275,0.551,2.745
Europe & Central Asia (excluding high income),2011,96.979,46.932,232.615,1.206,0.583,2.892
Europe & Central Asia (excluding high income),2012,97.999,46.855,237.293,1.22,0.583,2.955
Europe & Central Asia (excluding high income),2013,102.354,49.143,248.724,1.277,0.613,3.104
Europe & Central Asia (excluding high income),2014,87.847,48.326,,1.099,0.605,
Europe & Central Asia (excluding high income),2015,99.319,48.015,,1.246,0.602,
Europe & Central Asia (IDA & IBRD),1992,106.395,37.676,,1.444,0.512,
Europe & Central Asia (IDA & IBRD),1993,113.922,27.549,,1.54,0.372,
Europe & Central Asia (IDA & IBRD),1994,82.442,26.721,,1.109,0.359,
Europe & Central Asia (IDA & IBRD),1995,72.419,30.947,,0.969,0.414,
Europe & Central Asia (IDA & IBRD),1996,70.056,33,,0.931,0.438,
Europe & Central Asia (IDA & IBRD),1997,65.275,42.297,,0.862,0.558,
Europe & Central Asia (IDA & IBRD),1998,68.824,42.921,,0.903,0.563,
Europe & Central Asia (IDA & IBRD),1999,76.703,44.126,,0.999,0.575,
Europe & Central Asia (IDA & IBRD),2000,85.484,48.688,132.064,1.105,0.629,1.707
Europe & Central Asia (IDA & IBRD),2001,94.123,48.971,139.429,1.208,0.629,1.79
Europe & Central Asia (IDA & IBRD),2002,79.139,45.195,146.888,1.008,0.576,1.871
Europe & Central Asia (IDA & IBRD),2003,82.29,43.132,149.899,1.04,0.545,1.895
Europe & Central Asia (IDA & IBRD),2004,83.245,40.108,169.155,1.045,0.504,2.124
Europe & Central Asia (IDA & IBRD),2005,83.191,42.18,189.684,1.039,0.527,2.369
Europe & Central Asia (IDA & IBRD),2006,92.743,33.646,194.924,1.154,0.419,2.425
Europe & Central Asia (IDA & IBRD),2007,95.118,37.86,210.758,1.18,0.47,2.614
Europe & Central Asia (IDA & IBRD),2008,95.096,44.863,225.305,1.177,0.555,2.789
Europe & Central Asia (IDA & IBRD),2009,90.58,39.172,242.557,1.12,0.484,2.999
Europe & Central Asia (IDA & IBRD),2010,101.043,41.059,255.616,1.249,0.508,3.16
Europe & Central Asia (IDA & IBRD),2011,97.402,43.455,269.113,1.205,0.538,3.329
Europe & Central Asia (IDA & IBRD),2012,99.524,43.408,277.746,1.233,0.538,3.441
Europe & Central Asia (IDA & IBRD),2013,103.12,45.36,291.77,1.28,0.563,3.622
Europe & Central Asia (IDA & IBRD),2014,89.183,44.593,,1.11,0.555,
Europe & Central Asia (IDA & IBRD),2015,101.313,44.295,,1.264,0.552,
European Union,1985,199.13,158.84,,2.505,1.998,
European Union,1986,195.284,131.015,,2.449,1.643,
European Union,1987,197.004,108.987,,2.463,1.363,
European Union,1988,203.571,122.919,,2.538,1.533,
European Union,1989,192.631,103.818,,2.395,1.291,
European Union,1990,180.923,92.894,,2.243,1.152,
European Union,1991,179.765,78.2,,2.223,0.967,
European Union,1992,195.938,73.629,,2.417,0.908,
European Union,1993,201.031,69.208,,2.473,0.851,
European Union,1994,203.939,68.453,,2.502,0.84,
European Union,1995,189.819,71.094,,2.323,0.87,
European Union,1996,213.513,76.967,,2.605,0.939,
European Union,1997,203.49,84.844,,2.476,1.032,
European Union,1998,210.617,83.138,,2.555,1.009,
European Union,1999,234.672,90.327,,2.839,1.093,
European Union,2000,244.294,96.54,694.394,2.946,1.164,8.374
European Union,2001,220.396,92.185,703.564,2.651,1.109,8.462
European Union,2002,213.23,94.331,722.494,2.557,1.131,8.666
European Union,2003,210.402,86.664,748.485,2.517,1.037,8.953
European Union,2004,209.955,74.763,815.333,2.505,0.892,9.729
European Union,2005,204.781,67.795,902.595,2.438,0.807,10.748
European Union,2006,202.812,56.672,944.531,2.412,0.674,11.231
European Union,2007,222.187,54.229,990.315,2.639,0.644,11.763
European Union,2008,223.611,50.404,1027.87,2.654,0.598,12.198
European Union,2009,219.68,45.945,1075.154,2.605,0.545,12.75
European Union,2010,219.172,46.497,1095.87,2.597,0.551,12.986
European Union,2011,218.155,49.062,1140.894,2.585,0.581,13.52
European Union,2012,215.447,55.109,1183.272,2.552,0.653,14.017
European Union,2013,214.243,57.458,1195.312,2.537,0.68,14.152
European Union,2014,213.418,60.712,,2.526,0.719,
European Union,2015,195.051,62.595,,2.308,0.741,
Fiji,1985,,25.293,,,0.415,
Fiji,1986,,23.659,,,0.388,
Fiji,2000,,,30.201,,,0.465
Fiji,2001,,,33.898,,,0.513
Fiji,2002,,,39.231,,,0.586
Fiji,2003,,,40.533,,,0.598
Fiji,2004,,,67.33,,,0.981
Fiji,2005,,,71.184,,,1.025
Fiji,2006,,,86.777,,,1.246
Fiji,2007,,,96.07,,,1.374
Fiji,2008,,,72.213,,,1.028
Fiji,2009,,,82.515,,,1.168
Fiji,2010,,,66.05,,,0.93
Fiji,2011,,,67.237,,,0.947
Fiji,2012,,,68.109,,,0.958
Fiji,2013,,,95.485,,,1.342
Finland,1985,352.29,708.253,,4.371,8.788,
Finland,1986,356.638,737.472,,4.419,9.138,
Finland,1987,376.917,799.047,,4.669,9.897,
Finland,1988,400.487,825.637,,4.962,10.23,
Finland,1989,392.396,889.74,,4.863,11.027,
Finland,1990,412.921,884.4,,5.118,10.961,
Finland,1991,423.436,532.736,,5.244,6.598,
Finland,1992,406.982,784.016,,5.039,9.707,
Finland,1993,427.519,405.018,,5.292,5.013,
Finland,1994,453.194,362.005,,5.605,4.477,
Finland,1995,402.914,339.286,,4.976,4.19,
Finland,1996,425.206,94.252,,5.248,1.163,
Finland,1997,458.186,48.64,,5.642,0.599,
Finland,1998,479.48,41.137,,5.887,0.505,
Finland,1999,486.112,66.402,,5.951,0.813,
Finland,2000,498.241,62.594,1275.47,6.087,0.765,15.583
Finland,2001,460.678,52.043,1359.481,5.611,0.634,16.558
Finland,2002,415.721,39.803,1351.402,5.054,0.484,16.429
Finland,2003,378.284,41.243,1392.438,4.593,0.501,16.908
Finland,2004,384.647,39.976,1554.463,4.664,0.485,18.848
Finland,2005,348.831,43.652,1647.759,4.221,0.528,19.939
Finland,2006,344.836,38.357,1688.615,4.166,0.463,20.399
Finland,2007,341.103,39.896,1711.87,4.112,0.481,20.635
Finland,2008,338.578,27.666,1732.977,4.071,0.333,20.839
Finland,2009,338.274,23.788,1771.592,4.059,0.285,21.255
Finland,2010,322.746,19.018,1765.967,3.866,0.228,21.151
Finland,2011,306.221,23.013,1824.017,3.665,0.275,21.829
Finland,2012,313.633,23.827,1844.45,3.75,0.285,22.056
Finland,2013,293.438,25.924,1867.393,3.507,0.31,22.319
Finland,2014,259.818,23.071,,3.105,0.276,
Finland,2015,235.239,23.177,,2.812,0.277,
Fragile and conflict affected situations,2000,,,3.711,,,0.065
Fragile and conflict affected situations,2001,,,3.645,,,0.064
Fragile and conflict affected situations,2002,,,3.315,,,0.058
Fragile and conflict affected situations,2003,,,3.996,,,0.07
Fragile and conflict affected situations,2004,,,4.059,,,0.07
Fragile and conflict affected situations,2005,,,4.56,,,0.079
Fragile and conflict affected situations,2006,,,5.19,,,0.09
Fragile and conflict affected situations,2007,,,5.615,,,0.097
Fragile and conflict affected situations,2008,,,6.334,,,0.109
Fragile and conflict affected situations,2009,,,7.09,,,0.122
Fragile and conflict affected situations,2010,,,8.252,,,0.141
Fragile and conflict affected situations,2011,,,8.747,,,0.15
Fragile and conflict affected situations,2012,,,9.288,,,0.159
Fragile and conflict affected situations,2013,,,9.397,,,0.16
France,1985,212.164,132.809,,2.684,1.68,
France,1986,212.75,111.477,,2.687,1.408,
France,1987,220.849,102.205,,2.781,1.287,
France,1988,215.037,89.805,,2.698,1.127,
France,1989,216.422,85.696,,2.706,1.072,
France,1990,211.543,72.805,,2.64,0.908,
France,1991,215.115,66.736,,2.679,0.831,
France,1992,213.063,60.271,,2.651,0.75,
France,1993,213.816,57.557,,2.659,0.716,
France,1994,211.016,59.332,,2.623,0.737,
France,1995,208.576,58.396,,2.59,0.725,
France,1996,216.156,58.307,,2.68,0.723,
France,1997,220.996,60.652,,2.735,0.751,
France,1998,220.166,58.884,,2.72,0.728,
France,1999,224.673,54.251,,2.771,0.669,
France,2000,227.704,57.18,779.966,2.804,0.704,9.604
France,2001,220.006,58.754,782.332,2.707,0.723,9.627
France,2002,218.735,54.834,783.414,2.689,0.674,9.632
France,2003,217.062,53.643,800.866,2.666,0.659,9.836
France,2004,226.936,48.8,860.429,2.785,0.599,10.558
France,2005,226.767,46.661,931.206,2.781,0.572,11.419
France,2006,228.367,42.753,968.96,2.8,0.524,11.88
France,2007,229.973,37.287,991.688,2.82,0.457,12.159
France,2008,227.697,27.355,1028.448,2.792,0.335,12.61
France,2009,217.905,24.619,1055.989,2.672,0.302,12.949
France,2010,226.796,28.173,1062.061,2.781,0.345,13.024
France,2011,224.279,32.123,1081.48,2.751,0.394,13.265
France,2012,221.445,31.861,1103.025,2.717,0.391,13.533
France,2013,222.581,33.273,1099.334,2.731,0.408,13.491
France,2014,218.598,30.649,,2.682,0.376,
France,2015,214.727,29.929,,2.634,0.367,
Gabon,2000,,,20.469,,,0.345
Gabon,2001,,,21.549,,,0.362
Gabon,2002,,,22.095,,,0.369
Gabon,2003,,,22.663,,,0.377
Gabon,2004,,,25.143,,,0.416
Gabon,2005,,,31.43,,,0.517
Gabon,2006,,,29.83,,,0.488
Gabon,2007,,,23.033,,,0.375
Gabon,2008,,,28.052,,,0.455
Gabon,2009,,,31.511,,,0.509
Gabon,2010,,,25.546,,,0.411
Gabon,2011,,,35.001,,,0.562
Gabon,2012,,,30.965,,,0.496
Gabon,2013,,,27.679,,,0.442
Gambia,2000,,,24.76,,,0.458
Gambia,2001,,,25.581,,,0.474
Gambia,2002,,,17.387,,,0.322
Gambia,2003,,,21.858,,,0.406
Gambia,2004,,,26.384,,,0.49
Gambia,2005,,,24.927,,,0.463
Gambia,2006,,,30.985,,,0.577
Gambia,2007,,,23.325,,,0.435
Gambia,2008,,,26.25,,,0.49
Gambia,2009,,,26.044,,,0.486
Gambia,2010,,,26.83,,,0.5
Gambia,2011,,,20.385,,,0.381
Gambia,2012,,,21.031,,,0.393
Gambia,2013,,,24.256,,,0.453
Georgia,1992,74.895,43.09,,0.991,0.57,
Georgia,1993,102.217,36.244,,1.351,0.479,
Georgia,1994,79.398,32.705,,1.048,0.432,
Georgia,1995,60.625,88.72,,0.799,1.169,
Georgia,1996,62.39,37.478,,0.818,0.492,
Georgia,1997,58.037,45.238,,0.758,0.59,
Georgia,1998,61.73,51.033,,0.801,0.662,
Georgia,1999,59.517,42.673,,0.768,0.55,
Georgia,2000,52.509,42.098,48.82,0.672,0.539,0.625
Georgia,2001,57.906,50.383,43.247,0.735,0.64,0.549
Georgia,2002,44.526,46.821,46.202,0.561,0.589,0.582
Georgia,2003,45.338,39.758,41.711,0.566,0.496,0.52
Georgia,2004,58.657,48.999,59.293,0.725,0.606,0.733
Georgia,2005,53.699,59.666,66.229,0.658,0.731,0.811
Georgia,2006,57.06,72.292,79.545,0.696,0.881,0.97
Georgia,2007,60.755,77.413,66.536,0.737,0.939,0.807
Georgia,2008,55.087,59.801,80.323,0.666,0.723,0.971
Georgia,2009,64.354,54.801,96.983,0.776,0.66,1.169
Georgia,2010,46.612,45.593,86.704,0.561,0.549,1.044
Georgia,2011,35.613,67.097,116.49,0.429,0.808,1.404
Georgia,2012,36.34,60.915,108.549,0.438,0.735,1.309
Georgia,2013,30.191,57.998,124.047,0.364,0.7,1.497
Georgia,2014,29.514,50.174,,0.357,0.606,
Georgia,2015,26.634,46.273,,0.322,0.56,
Germany,1985,414.521,156.787,,4.932,1.866,
Germany,1986,413.907,140.825,,4.913,1.672,
Germany,1987,405.923,127.608,,4.815,1.514,
Germany,1988,408.371,119.42,,4.847,1.417,
Germany,1989,395.816,116.417,,4.703,1.383,
Germany,1990,386.791,108.33,,4.601,1.289,
