Entity,Year,"GHG emissions per capita (tonnes CO2e) (EDGAR, 2019)","GHG emissions per capita per day (kgCO2e) (EDGAR, 2019)"
Congo,2012,7.71,21.14
Costa Rica,1970,2.81,7.70
Costa Rica,1971,2.77,7.59
Costa Rica,1972,2.87,7.85
Costa Rica,1973,3.10,8.50
Costa Rica,1974,3.04,8.32
Costa Rica,1975,3.09,8.48
Costa Rica,1976,3.06,8.39
Costa Rica,1977,3.32,9.09
Costa Rica,1978,3.39,9.30
Costa Rica,1979,3.40,9.31
Costa Rica,1980,3.21,8.79
Costa Rica,1981,3.14,8.60
Costa Rica,1982,2.96,8.10
Costa Rica,1983,2.94,8.04
Costa Rica,1984,2.95,8.09
Costa Rica,1985,2.84,7.79
Costa Rica,1986,2.81,7.69
Costa Rica,1987,2.75,7.53
Costa Rica,1988,2.76,7.57
Costa Rica,1989,2.79,7.64
Costa Rica,1990,2.78,7.60
Costa Rica,1991,2.81,7.69
Costa Rica,1992,3.11,8.52
Costa Rica,1993,3.01,8.24
Costa Rica,1994,3.05,8.36
Costa Rica,1995,2.86,7.85
Costa Rica,1996,2.75,7.55
Costa Rica,1997,2.69,7.38
Costa Rica,1998,2.81,7.69
Costa Rica,1999,2.69,7.36
Costa Rica,2000,2.51,6.88
Costa Rica,2001,2.73,7.48
Costa Rica,2002,2.46,6.74
Costa Rica,2003,2.52,6.92
Costa Rica,2004,2.52,6.92
Costa Rica,2005,2.38,6.51
Costa Rica,2006,2.49,6.81
Costa Rica,2007,2.59,7.08
Costa Rica,2008,2.44,6.68
Costa Rica,2009,2.47,6.76
Costa Rica,2010,2.57,7.04
Costa Rica,2011,2.61,7.14
Costa Rica,2012,2.64,7.23
Cote d'Ivoire,1970,22.24,60.93
Cote d'Ivoire,1971,20.79,56.97
Cote d'Ivoire,1972,19.70,53.98
Cote d'Ivoire,1973,20.23,55.41
Cote d'Ivoire,1974,15.55,42.59
Cote d'Ivoire,1975,15.78,43.24
Cote d'Ivoire,1976,15.48,42.41
Cote d'Ivoire,1977,17.08,46.81
Cote d'Ivoire,1978,14.19,38.87
Cote d'Ivoire,1979,14.62,40.06
Cote d'Ivoire,1980,16.97,46.50
Cote d'Ivoire,1981,13.73,37.62
Cote d'Ivoire,1982,15.02,41.16
Cote d'Ivoire,1983,13.55,37.12
Cote d'Ivoire,1984,12.90,35.34
Cote d'Ivoire,1985,11.34,31.07
Cote d'Ivoire,1986,11.05,30.26
Cote d'Ivoire,1987,11.07,30.34
Cote d'Ivoire,1988,9.99,27.37
Cote d'Ivoire,1989,10.41,28.51
Cote d'Ivoire,1990,12.41,33.99
Cote d'Ivoire,1991,9.75,26.71
Cote d'Ivoire,1992,10.83,29.67
Cote d'Ivoire,1993,9.80,26.85
Cote d'Ivoire,1994,9.47,25.95
Cote d'Ivoire,1995,10.14,27.78
Cote d'Ivoire,1996,9.67,26.50
Cote d'Ivoire,1997,9.64,26.42
Cote d'Ivoire,1998,1.57,4.31
Cote d'Ivoire,1999,1.49,4.09
Cote d'Ivoire,2000,1.76,4.83
Cote d'Ivoire,2001,1.68,4.60
Cote d'Ivoire,2002,1.65,4.52
Cote d'Ivoire,2003,1.27,3.47
Cote d'Ivoire,2004,1.27,3.49
Cote d'Ivoire,2005,1.43,3.93
Cote d'Ivoire,2006,1.46,3.99
Cote d'Ivoire,2007,1.46,4.00
Cote d'Ivoire,2008,1.52,4.17
Cote d'Ivoire,2009,1.54,4.22
Cote d'Ivoire,2010,1.59,4.37
Cote d'Ivoire,2011,1.58,4.33
Cote d'Ivoire,2012,1.56,4.29
Croatia,1970,5.84,15.99
Croatia,1971,5.80,15.89
Croatia,1972,6.05,16.57
Croatia,1973,6.31,17.29
Croatia,1974,6.30,17.26
Croatia,1975,6.80,18.64
Croatia,1976,6.62,18.13
Croatia,1977,6.36,17.44
Croatia,1978,6.28,17.21
Croatia,1979,6.75,18.48
Croatia,1980,5.92,16.23
Croatia,1981,8.89,24.35
Croatia,1982,8.51,23.31
Croatia,1983,9.12,24.98
Croatia,1984,9.49,26.00
Croatia,1985,9.81,26.86
Croatia,1986,10.41,28.51
Croatia,1987,10.38,28.45
Croatia,1988,9.08,24.87
Croatia,1989,9.19,25.17
Croatia,1990,7.27,19.91
Croatia,1991,5.84,16.01
Croatia,1992,5.55,15.20
Croatia,1993,5.36,14.69
Croatia,1994,5.18,14.19
Croatia,1995,5.27,14.45
Croatia,1996,5.36,14.69
Croatia,1997,5.78,15.85
Croatia,1998,6.09,16.70
Croatia,1999,5.97,16.37
Croatia,2000,6.17,16.91
Croatia,2001,6.12,16.76
Croatia,2002,6.37,17.46
Croatia,2003,6.76,18.52
Croatia,2004,6.69,18.33
Croatia,2005,6.72,18.42
Croatia,2006,6.82,18.69
Croatia,2007,7.51,20.57
Croatia,2008,7.43,20.35
Croatia,2009,7.10,19.46
Croatia,2010,7.06,19.33
Croatia,2011,7.11,19.49
Croatia,2012,7.13,19.53
Cuba,1970,4.87,13.33
Cuba,1971,4.59,12.59
Cuba,1972,4.57,12.51
Cuba,1973,5.05,13.83
Cuba,1974,5.14,14.09
Cuba,1975,5.29,14.49
Cuba,1976,5.35,14.66
Cuba,1977,5.31,14.54
Cuba,1978,5.39,14.78
Cuba,1979,5.77,15.80
Cuba,1980,5.70,15.61
Cuba,1981,5.82,15.94
Cuba,1982,5.98,16.37
Cuba,1983,5.61,15.36
Cuba,1984,5.91,16.18
Cuba,1985,5.94,16.27
Cuba,1986,6.01,16.47
Cuba,1987,5.94,16.27
Cuba,1988,6.10,16.71
Cuba,1989,6.26,17.16
Cuba,1990,5.39,14.77
Cuba,1991,4.78,13.10
Cuba,1992,4.32,11.82
Cuba,1993,4.05,11.09
Cuba,1994,4.19,11.49
Cuba,1995,4.27,11.70
Cuba,1996,4.43,12.14
Cuba,1997,4.51,12.35
Cuba,1998,4.20,11.52
Cuba,1999,4.13,11.30
Cuba,2000,4.15,11.37
Cuba,2001,3.98,10.90
Cuba,2002,4.35,11.93
Cuba,2003,4.31,11.81
Cuba,2004,4.31,11.81
Cuba,2005,4.06,11.11
Cuba,2006,4.03,11.04
Cuba,2007,3.89,10.67
Cuba,2008,4.29,11.76
Cuba,2009,4.47,12.23
Cuba,2010,4.39,12.03
Cuba,2011,4.51,12.35
Cuba,2012,4.61,12.62
Cyprus,1970,4.50,12.33
Cyprus,1971,4.49,12.31
Cyprus,1972,5.27,14.42
Cyprus,1973,5.43,14.88
Cyprus,1974,4.17,11.44
Cyprus,1975,4.06,11.13
Cyprus,1976,4.73,12.95
Cyprus,1977,4.90,13.43
Cyprus,1978,5.05,13.82
Cyprus,1979,5.29,14.50
Cyprus,1980,5.52,15.13
Cyprus,1981,5.32,14.56
Cyprus,1982,5.39,14.78
Cyprus,1983,5.39,14.77
Cyprus,1984,5.46,14.96
Cyprus,1985,5.36,14.69
Cyprus,1986,5.82,15.94
Cyprus,1987,5.77,15.82
Cyprus,1988,6.56,17.96
Cyprus,1989,6.76,18.52
Cyprus,1990,6.69,18.33
Cyprus,1991,7.29,19.96
Cyprus,1992,7.58,20.78
Cyprus,1993,7.65,20.96
Cyprus,1994,8.00,21.90
Cyprus,1995,7.71,21.12
Cyprus,1996,7.94,21.74
Cyprus,1997,7.86,21.53
Cyprus,1998,8.09,22.18
Cyprus,1999,8.18,22.40
Cyprus,2000,8.43,23.10
Cyprus,2001,8.11,22.23
Cyprus,2002,8.23,22.55
Cyprus,2003,8.95,24.53
Cyprus,2004,8.64,23.66
Cyprus,2005,8.67,23.76
Cyprus,2006,8.38,22.96
Cyprus,2007,8.53,23.38
Cyprus,2008,8.47,23.22
Cyprus,2011,6.80,18.64
Cyprus,2012,6.55,17.94
Czech Republic,1970,21.56,59.07
Czech Republic,1971,21.66,59.35
Czech Republic,1972,21.59,59.15
Czech Republic,1973,21.31,58.40
Czech Republic,1974,19.57,53.62
Czech Republic,1975,20.17,55.25
Czech Republic,1976,20.57,56.35
Czech Republic,1977,21.56,59.08
Czech Republic,1978,21.20,58.09
Czech Republic,1979,22.08,60.51
Czech Republic,1980,21.32,58.41
Czech Republic,1981,21.39,58.61
Czech Republic,1982,21.50,58.89
Czech Republic,1983,21.55,59.04
Czech Republic,1984,21.76,59.61
Czech Republic,1985,21.47,58.82
Czech Republic,1986,21.29,58.34
Czech Republic,1987,21.26,58.25
Czech Republic,1988,20.84,57.11
Czech Republic,1989,20.03,54.87
Czech Republic,1990,18.99,52.02
Czech Republic,1991,17.31,47.41
Czech Republic,1992,16.21,44.41
Czech Republic,1993,15.34,42.02
Czech Republic,1994,14.61,40.04
Czech Republic,1995,14.57,39.93
Czech Republic,1996,15.02,41.15
Czech Republic,1997,14.50,39.74
Czech Republic,1998,14.27,39.11
Czech Republic,1999,13.85,37.93
Czech Republic,2000,15.80,43.29
Czech Republic,2001,15.43,42.28
Czech Republic,2002,14.94,40.94
Czech Republic,2003,15.48,42.42
Czech Republic,2004,14.91,40.86
Czech Republic,2005,14.45,39.59
Czech Republic,2006,14.43,39.54
Czech Republic,2007,14.55,39.86
Czech Republic,2008,13.87,38.01
Czech Republic,2009,13.20,36.17
Czech Republic,2010,13.91,38.11
Czech Republic,2011,13.78,37.75
Czech Republic,2012,13.22,36.22
Democratic Republic of Congo,1970,77.48,212.28
Democratic Republic of Congo,1971,43.76,119.89
Democratic Republic of Congo,1972,45.40,124.39
Democratic Republic of Congo,1973,47.10,129.04
Democratic Republic of Congo,1974,40.07,109.78
Democratic Republic of Congo,1975,45.82,125.54
Democratic Republic of Congo,1976,39.37,107.86
Democratic Republic of Congo,1977,43.98,120.49
Democratic Republic of Congo,1978,45.07,123.48
Democratic Republic of Congo,1979,57.74,158.20
Democratic Republic of Congo,1980,46.84,128.34
Democratic Republic of Congo,1981,39.94,109.42
Democratic Republic of Congo,1982,44.01,120.57
Democratic Republic of Congo,1983,43.17,118.26
Democratic Republic of Congo,1984,32.96,90.31
Democratic Republic of Congo,1985,32.49,89.01
Democratic Republic of Congo,1986,29.32,80.32
Democratic Republic of Congo,1987,39.32,107.73
Democratic Republic of Congo,1988,27.13,74.34
Democratic Republic of Congo,1989,29.39,80.51
Democratic Republic of Congo,1990,39.78,108.98
Democratic Republic of Congo,1991,31.98,87.61
Democratic Republic of Congo,1992,48.85,133.82
Democratic Republic of Congo,1993,27.04,74.07
Democratic Republic of Congo,1994,30.27,82.94
Democratic Republic of Congo,1995,29.63,81.17
Democratic Republic of Congo,1996,24.57,67.30
Democratic Republic of Congo,1997,22.77,62.40
Democratic Republic of Congo,1998,22.62,61.97
Democratic Republic of Congo,1999,17.96,49.19
Democratic Republic of Congo,2000,18.31,50.16
Democratic Republic of Congo,2001,14.02,38.40
Democratic Republic of Congo,2002,15.33,42.00
Democratic Republic of Congo,2003,14.56,39.88
Democratic Republic of Congo,2004,15.39,42.17
Democratic Republic of Congo,2005,14.51,39.76
Democratic Republic of Congo,2006,16.31,44.70
Democratic Republic of Congo,2007,15.33,41.99
Democratic Republic of Congo,2008,12.49,34.22
Democratic Republic of Congo,2009,11.73,32.13
Democratic Republic of Congo,2010,12.39,33.94
Democratic Republic of Congo,2011,12.00,32.88
Democratic Republic of Congo,2012,11.63,31.86
Denmark,1970,15.99,43.80
Denmark,1971,15.10,41.37
Denmark,1972,15.38,42.13
Denmark,1973,15.26,41.80
Denmark,1974,14.19,38.89
Denmark,1975,14.50,39.72
Denmark,1976,15.33,42.00
Denmark,1977,16.00,43.84
Denmark,1978,15.97,43.74
Denmark,1979,16.57,45.39
Denmark,1980,16.71,45.77
Denmark,1981,14.30,39.17
Denmark,1982,14.89,40.80
Denmark,1983,14.54,39.84
Denmark,1984,14.36,39.34
Denmark,1985,15.89,43.53
Denmark,1986,16.10,44.11
Denmark,1987,16.01,43.85
Denmark,1988,14.90,40.82
Denmark,1989,14.03,38.43
Denmark,1990,14.10,38.63
Denmark,1991,16.11,44.14
Denmark,1992,14.85,40.68
Denmark,1993,15.28,41.87
Denmark,1994,15.93,43.65
Denmark,1995,15.19,41.61
Denmark,1996,17.65,48.35
Denmark,1997,15.74,43.13
Denmark,1998,14.37,39.38
Denmark,1999,13.71,37.56
Denmark,2000,12.84,35.17
Denmark,2001,13.08,35.83
Denmark,2002,12.91,35.36
Denmark,2003,13.91,38.12
Denmark,2004,12.74,34.90
Denmark,2005,11.96,32.77
Denmark,2006,13.38,36.66
Denmark,2007,12.45,34.11
Denmark,2008,11.86,32.50
Denmark,2009,11.41,31.26
Denmark,2010,11.48,31.45
Denmark,2011,10.49,28.73
Denmark,2012,9.60,26.31
Djibouti,1970,6.57,17.99
Djibouti,1971,6.26,17.14
Djibouti,1972,6.15,16.85
Djibouti,1973,5.93,16.24
Djibouti,1974,5.97,16.37
Djibouti,1975,5.58,15.29
Djibouti,1976,5.27,14.44
Djibouti,1977,4.73,12.96
Djibouti,1978,4.38,12.01
Djibouti,1979,5.23,14.33
Djibouti,1980,4.94,13.53
Djibouti,1981,3.88,10.63
Djibouti,1982,3.13,8.57
Djibouti,1983,2.77,7.60
Djibouti,1984,2.43,6.65
Djibouti,1985,2.42,6.62
Djibouti,1986,2.30,6.29
Djibouti,1987,2.20,6.02
Djibouti,1988,2.33,6.39
Djibouti,1989,3.33,9.13
Djibouti,1990,3.09,8.45
Djibouti,1991,3.16,8.67
Djibouti,1992,2.87,7.87
Djibouti,1993,2.89,7.93
Djibouti,1994,2.93,8.03
Djibouti,1995,3.04,8.32
Djibouti,1996,2.98,8.15
Djibouti,1997,3.05,8.37
Djibouti,1998,2.93,8.03
Djibouti,1999,2.82,7.72
Djibouti,2000,2.74,7.52
Djibouti,2001,3.10,8.50
Djibouti,2002,2.71,7.41
Djibouti,2003,2.76,7.57
Djibouti,2004,2.75,7.52
Djibouti,2005,2.76,7.56
Djibouti,2006,2.70,7.40
Djibouti,2007,3.01,8.23
Djibouti,2008,3.06,8.38
Djibouti,2009,3.02,8.26
Djibouti,2010,3.09,8.47
Djibouti,2011,3.12,8.55
Djibouti,2012,3.14,8.60
Dominica,1970,0.72,1.97
Dominica,1971,0.74,2.02
Dominica,1972,0.82,2.23
Dominica,1973,0.89,2.43
Dominica,1974,0.86,2.36
Dominica,1975,0.95,2.59
Dominica,1976,0.93,2.54
Dominica,1977,0.99,2.72
Dominica,1978,0.95,2.59
Dominica,1979,0.87,2.39
Dominica,1980,0.92,2.53
Dominica,1981,1.28,3.52
Dominica,1982,1.33,3.64
Dominica,1983,1.41,3.86
Dominica,1984,1.41,3.87
Dominica,1985,1.37,3.75
Dominica,1986,1.37,3.75
Dominica,1987,1.45,3.96
Dominica,1988,1.69,4.62
Dominica,1989,1.86,5.09
Dominica,1990,1.84,5.05
Dominica,1991,1.84,5.04
Dominica,1992,1.83,5.02
Dominica,1993,1.79,4.90
Dominica,1994,1.94,5.31
Dominica,1995,1.97,5.39
Dominica,1996,1.98,5.43
Dominica,1997,1.87,5.11
Dominica,1998,1.95,5.33
Dominica,1999,2.08,5.70
Dominica,2000,2.02,5.54
Dominica,2001,2.26,6.18
Dominica,2002,2.28,6.24
Dominica,2003,2.32,6.36
Dominica,2004,2.49,6.81
Dominica,2005,2.47,6.77
Dominica,2006,2.70,7.40
Dominica,2007,2.75,7.54
Dominica,2008,2.85,7.82
Dominica,2009,2.85,7.81
Dominica,2010,2.96,8.10
Dominica,2011,3.03,8.30
Dominica,2012,3.09,8.47
Dominican Republic,1970,1.97,5.39
Dominican Republic,1971,2.03,5.57
Dominican Republic,1972,2.27,6.22
Dominican Republic,1973,2.22,6.08
Dominican Republic,1974,2.35,6.45
Dominican Republic,1975,2.41,6.60
Dominican Republic,1976,2.44,6.67
Dominican Republic,1977,2.49,6.82
Dominican Republic,1978,2.41,6.62
Dominican Republic,1979,2.51,6.88
Dominican Republic,1980,2.47,6.75
Dominican Republic,1981,2.29,6.28
Dominican Republic,1982,2.32,6.37
Dominican Republic,1983,2.46,6.75
Dominican Republic,1984,2.49,6.83
Dominican Republic,1985,2.28,6.26
Dominican Republic,1986,2.37,6.49
Dominican Republic,1987,2.37,6.49
Dominican Republic,1988,2.48,6.80
Dominican Republic,1989,2.56,7.01
Dominican Republic,1990,2.37,6.48
Dominican Republic,1991,2.43,6.67
Dominican Republic,1992,2.65,7.27
Dominican Republic,1993,2.58,7.07
Dominican Republic,1994,2.74,7.50
Dominican Republic,1995,2.79,7.65
Dominican Republic,1996,2.91,7.96
Dominican Republic,1997,3.06,8.39
Dominican Republic,1998,3.23,8.86
Dominican Republic,1999,3.21,8.79
Dominican Republic,2000,3.33,9.12
Dominican Republic,2001,3.27,8.95
Dominican Republic,2002,3.31,9.07
Dominican Republic,2003,3.16,8.67
Dominican Republic,2004,3.13,8.58
Dominican Republic,2005,3.17,8.67
Dominican Republic,2006,3.16,8.66
Dominican Republic,2007,3.20,8.76
Dominican Republic,2008,3.18,8.71
Dominican Republic,2009,3.12,8.55
Dominican Republic,2010,3.20,8.77
Dominican Republic,2011,3.25,8.90
Dominican Republic,2012,3.29,9.01
Early-demographic dividend,1970,3.24,8.88
Early-demographic dividend,1971,2.87,7.87
Early-demographic dividend,1972,3.36,9.19
Early-demographic dividend,1973,3.31,9.06
Early-demographic dividend,1974,2.97,8.14
Early-demographic dividend,1975,2.93,8.03
Early-demographic dividend,1976,3.11,8.53
Early-demographic dividend,1977,3.47,9.50
Early-demographic dividend,1978,3.31,9.07
Early-demographic dividend,1979,3.38,9.26
Early-demographic dividend,1980,3.46,9.48
Early-demographic dividend,1981,3.25,8.92
Early-demographic dividend,1982,4.43,12.13
Early-demographic dividend,1983,3.89,10.64
Early-demographic dividend,1984,3.05,8.35
Early-demographic dividend,1985,2.88,7.89
Early-demographic dividend,1986,3.15,8.64
Early-demographic dividend,1987,3.62,9.92
Early-demographic dividend,1988,2.99,8.20
Early-demographic dividend,1989,2.91,7.97
Early-demographic dividend,1990,3.48,9.55
Early-demographic dividend,1991,3.92,10.73
Early-demographic dividend,1992,4.02,11.03
Early-demographic dividend,1993,3.55,9.73
Early-demographic dividend,1994,3.80,10.40
Early-demographic dividend,1995,3.60,9.87
Early-demographic dividend,1996,3.51,9.63
Early-demographic dividend,1997,5.14,14.09
Early-demographic dividend,1998,3.60,9.87
Early-demographic dividend,1999,3.36,9.20
Early-demographic dividend,2000,3.09,8.48
Early-demographic dividend,2001,3.10,8.48
Early-demographic dividend,2002,3.53,9.67
Early-demographic dividend,2003,3.23,8.86
Early-demographic dividend,2004,3.33,9.12
Early-demographic dividend,2005,3.36,9.20
Early-demographic dividend,2006,3.76,10.31
Early-demographic dividend,2007,3.53,9.67
Early-demographic dividend,2008,2.98,8.17
Early-demographic dividend,2009,3.11,8.52
Early-demographic dividend,2010,2.90,7.95
Early-demographic dividend,2011,3.38,9.25
Early-demographic dividend,2012,3.25,8.90
East Asia & Pacific,1970,3.78,10.37
East Asia & Pacific,1971,3.48,9.54
East Asia & Pacific,1972,3.97,10.88
East Asia & Pacific,1973,4.00,10.96
East Asia & Pacific,1974,3.59,9.84
East Asia & Pacific,1975,3.65,9.99
East Asia & Pacific,1976,3.79,10.39
East Asia & Pacific,1977,4.34,11.90
East Asia & Pacific,1978,4.30,11.78
East Asia & Pacific,1979,4.37,11.99
East Asia & Pacific,1980,4.44,12.17
East Asia & Pacific,1981,4.18,11.45
East Asia & Pacific,1982,5.36,14.67
East Asia & Pacific,1983,4.94,13.54
East Asia & Pacific,1984,4.39,12.03
East Asia & Pacific,1985,4.30,11.79
East Asia & Pacific,1986,4.63,12.67
East Asia & Pacific,1987,5.13,14.07
East Asia & Pacific,1988,4.65,12.75
East Asia & Pacific,1989,4.58,12.56
East Asia & Pacific,1990,5.05,13.83
East Asia & Pacific,1991,5.62,15.40
East Asia & Pacific,1992,5.83,15.97
East Asia & Pacific,1993,5.39,14.77
East Asia & Pacific,1994,5.85,16.04
East Asia & Pacific,1995,5.68,15.56
East Asia & Pacific,1996,5.59,15.33
East Asia & Pacific,1997,7.66,20.98
East Asia & Pacific,1998,5.56,15.25
East Asia & Pacific,1999,5.26,14.40
East Asia & Pacific,2000,5.01,13.73
East Asia & Pacific,2001,5.21,14.28
East Asia & Pacific,2002,5.82,15.95
East Asia & Pacific,2003,5.66,15.52
East Asia & Pacific,2004,6.40,17.53
East Asia & Pacific,2005,6.51,17.84
East Asia & Pacific,2006,7.49,20.51
East Asia & Pacific,2007,7.09,19.42
East Asia & Pacific,2008,7.21,19.75
East Asia & Pacific,2009,7.72,21.14
East Asia & Pacific,2010,7.68,21.05
East Asia & Pacific,2011,8.22,22.53
East Asia & Pacific,2012,8.41,23.05
East Asia & Pacific (IDA & IBRD),1970,3.02,8.26
East Asia & Pacific (IDA & IBRD),1971,2.68,7.35
East Asia & Pacific (IDA & IBRD),1972,3.19,8.75
East Asia & Pacific (IDA & IBRD),1973,3.15,8.62
East Asia & Pacific (IDA & IBRD),1974,2.68,7.34
East Asia & Pacific (IDA & IBRD),1975,2.79,7.63
East Asia & Pacific (IDA & IBRD),1976,2.90,7.95
East Asia & Pacific (IDA & IBRD),1977,3.51,9.61
East Asia & Pacific (IDA & IBRD),1978,3.49,9.55
East Asia & Pacific (IDA & IBRD),1979,3.53,9.67
East Asia & Pacific (IDA & IBRD),1980,3.61,9.88
East Asia & Pacific (IDA & IBRD),1981,3.38,9.25
East Asia & Pacific (IDA & IBRD),1982,4.76,13.04
East Asia & Pacific (IDA & IBRD),1983,4.30,11.78
East Asia & Pacific (IDA & IBRD),1984,3.61,9.90
East Asia & Pacific (IDA & IBRD),1985,3.50,9.59
East Asia & Pacific (IDA & IBRD),1986,3.89,10.66
East Asia & Pacific (IDA & IBRD),1987,4.51,12.35
East Asia & Pacific (IDA & IBRD),1988,3.87,10.60
East Asia & Pacific (IDA & IBRD),1989,3.76,10.29
East Asia & Pacific (IDA & IBRD),1990,4.22,11.56
East Asia & Pacific (IDA & IBRD),1991,4.86,13.31
East Asia & Pacific (IDA & IBRD),1992,5.09,13.95
East Asia & Pacific (IDA & IBRD),1993,4.59,12.57
East Asia & Pacific (IDA & IBRD),1994,5.06,13.87
East Asia & Pacific (IDA & IBRD),1995,4.86,13.31
East Asia & Pacific (IDA & IBRD),1996,4.75,13.00
East Asia & Pacific (IDA & IBRD),1997,6.87,18.82
East Asia & Pacific (IDA & IBRD),1998,4.54,12.45
East Asia & Pacific (IDA & IBRD),1999,4.01,10.99
East Asia & Pacific (IDA & IBRD),2000,3.78,10.37
East Asia & Pacific (IDA & IBRD),2001,3.91,10.71
East Asia & Pacific (IDA & IBRD),2002,4.69,12.84
East Asia & Pacific (IDA & IBRD),2003,4.53,12.40
East Asia & Pacific (IDA & IBRD),2004,5.30,14.51
East Asia & Pacific (IDA & IBRD),2005,5.55,15.21
East Asia & Pacific (IDA & IBRD),2006,6.56,17.96
East Asia & Pacific (IDA & IBRD),2007,6.12,16.77
East Asia & Pacific (IDA & IBRD),2008,6.39,17.52
East Asia & Pacific (IDA & IBRD),2009,6.92,18.97
East Asia & Pacific (IDA & IBRD),2010,7.00,19.17
East Asia & Pacific (IDA & IBRD),2011,7.58,20.76
East Asia & Pacific (IDA & IBRD),2012,7.75,21.24
East Asia & Pacific (excluding high income),1970,3.06,8.38
East Asia & Pacific (excluding high income),1971,2.73,7.48
East Asia & Pacific (excluding high income),1972,3.23,8.86
East Asia & Pacific (excluding high income),1973,3.19,8.74
East Asia & Pacific (excluding high income),1974,2.73,7.48
East Asia & Pacific (excluding high income),1975,2.84,7.77
East Asia & Pacific (excluding high income),1976,2.96,8.10
East Asia & Pacific (excluding high income),1977,3.56,9.75
East Asia & Pacific (excluding high income),1978,3.54,9.70
East Asia & Pacific (excluding high income),1979,3.59,9.83
East Asia & Pacific (excluding high income),1980,3.67,10.05
East Asia & Pacific (excluding high income),1981,3.44,9.43
East Asia & Pacific (excluding high income),1982,4.81,13.18
East Asia & Pacific (excluding high income),1983,4.36,11.94
East Asia & Pacific (excluding high income),1984,3.68,10.09
East Asia & Pacific (excluding high income),1985,3.57,9.78
East Asia & Pacific (excluding high income),1986,3.95,10.83
East Asia & Pacific (excluding high income),1987,4.56,12.50
East Asia & Pacific (excluding high income),1988,3.93,10.76
East Asia & Pacific (excluding high income),1989,3.82,10.45
East Asia & Pacific (excluding high income),1990,4.27,11.69
East Asia & Pacific (excluding high income),1991,4.89,13.40
East Asia & Pacific (excluding high income),1992,5.11,14.01
East Asia & Pacific (excluding high income),1993,4.61,12.63
East Asia & Pacific (excluding high income),1994,5.07,13.89
East Asia & Pacific (excluding high income),1995,4.86,13.32
East Asia & Pacific (excluding high income),1996,4.74,12.99
East Asia & Pacific (excluding high income),1997,6.84,18.73
East Asia & Pacific (excluding high income),1998,4.53,12.42
East Asia & Pacific (excluding high income),1999,4.01,10.99
East Asia & Pacific (excluding high income),2000,3.79,10.38
East Asia & Pacific (excluding high income),2001,3.91,10.73
East Asia & Pacific (excluding high income),2002,4.68,12.82
East Asia & Pacific (excluding high income),2003,4.52,12.39
East Asia & Pacific (excluding high income),2004,5.28,14.47
East Asia & Pacific (excluding high income),2005,5.54,15.17
East Asia & Pacific (excluding high income),2006,6.53,17.89
East Asia & Pacific (excluding high income),2007,6.09,16.69
East Asia & Pacific (excluding high income),2008,6.36,17.44
East Asia & Pacific (excluding high income),2009,6.89,18.87
East Asia & Pacific (excluding high income),2010,6.96,19.08
East Asia & Pacific (excluding high income),2011,7.54,20.64
East Asia & Pacific (excluding high income),2012,7.71,21.12
Ecuador,1970,2.25,6.16
Ecuador,1971,2.01,5.50
Ecuador,1972,2.05,5.60
Ecuador,1973,2.15,5.89
Ecuador,1974,2.34,6.40
Ecuador,1975,2.43,6.64
Ecuador,1976,2.58,7.08
Ecuador,1977,2.68,7.34
Ecuador,1978,2.77,7.58
Ecuador,1979,2.87,7.87
Ecuador,1980,2.95,8.09
Ecuador,1981,3.07,8.40
Ecuador,1982,3.05,8.36
Ecuador,1983,2.88,7.89
Ecuador,1984,2.96,8.11
Ecuador,1985,3.01,8.25
Ecuador,1986,3.06,8.39
Ecuador,1987,2.96,8.11
Ecuador,1988,3.07,8.40
Ecuador,1989,3.00,8.23
Ecuador,1990,3.02,8.27
Ecuador,1991,3.06,8.39
Ecuador,1992,3.09,8.47
Ecuador,1993,3.07,8.41
Ecuador,1994,3.27,8.96
Ecuador,1995,3.41,9.34
Ecuador,1996,3.53,9.67
Ecuador,1997,3.47,9.51
Ecuador,1998,3.34,9.16
Ecuador,1999,3.01,8.26
Ecuador,2000,3.15,8.64
Ecuador,2001,3.20,8.78
Ecuador,2002,3.26,8.93
Ecuador,2003,3.32,9.10
Ecuador,2004,3.40,9.31
Ecuador,2005,3.43,9.38
Ecuador,2006,3.47,9.51
Ecuador,2007,3.51,9.61
Ecuador,2008,3.29,9.03
Ecuador,2009,3.37,9.22
Ecuador,2010,3.37,9.23
Ecuador,2011,3.40,9.31
Ecuador,2012,3.42,9.37
Egypt,1970,1.62,4.44
Egypt,1971,1.58,4.33
Egypt,1972,1.61,4.42
Egypt,1973,1.51,4.14
Egypt,1974,1.62,4.42
Egypt,1975,1.65,4.53
Egypt,1976,1.77,4.85
Egypt,1977,1.77,4.85
Egypt,1978,1.76,4.81
Egypt,1979,1.79,4.89
Egypt,1980,1.92,5.27
Egypt,1981,2.07,5.67
Egypt,1982,2.15,5.90
Egypt,1983,2.23,6.10
Egypt,1984,2.29,6.27
Egypt,1985,2.30,6.30
Egypt,1986,2.33,6.39
Egypt,1987,2.30,6.30
Egypt,1988,2.37,6.50
Egypt,1989,2.42,6.64
Egypt,1990,2.42,6.64
Egypt,1991,2.41,6.61
Egypt,1992,2.47,6.77
Egypt,1993,2.46,6.75
Egypt,1994,2.35,6.43
Egypt,1995,2.44,6.69
Egypt,1996,2.45,6.72
