Entity,Year,Freedom of the Press Status 4 (Freedom House (2016))
Colombia,2002,1500
Colombia,2003,1500
Colombia,2004,1500
Colombia,2005,1500
Colombia,2006,2500
Colombia,2007,2500
Colombia,2008,2500
Colombia,2009,2500
Colombia,2010,2500
Colombia,2011,2500
Colombia,2012,2500
Colombia,2013,2500
Colombia,2014,2500
Comoros,1993,2500
Comoros,1994,2500
Comoros,1995,2500
Comoros,1996,2500
Comoros,1997,2500
Comoros,1998,2500
Comoros,1999,2500
Comoros,2000,2500
Comoros,2001,2500
Comoros,2002,2500
Comoros,2003,2500
Comoros,2004,2500
Comoros,2005,2500
Comoros,2006,2500
Comoros,2007,2500
Comoros,2008,2500
Comoros,2009,2500
Comoros,2010,2500
Comoros,2011,2500
Comoros,2012,2500
Comoros,2013,2500
Comoros,2014,2500
Congo,1979,1500
Congo,1980,1500
Congo,1981,1500
Congo,1983,1500
Congo,1984,1500
Congo,1985,1500
Congo,1986,1500
Congo,1987,1500
Congo,1988,1500
Congo,1989,1500
Congo,1990,1500
Congo,1991,2500
Congo,1992,2500
Congo,1993,2500
Congo,1994,2500
Congo,1995,2500
Congo,1996,2500
Congo,1997,1500
Congo,1998,1500
Congo,1999,1500
Congo,2000,1500
Congo,2001,2500
Congo,2002,2500
Congo,2003,2500
Congo,2004,2500
Congo,2005,2500
Congo,2006,1500
Congo,2007,1500
Congo,2008,2500
Congo,2009,2500
Congo,2010,2500
Congo,2011,2500
Congo,2012,2500
Congo,2013,2500
Congo,2014,2500
Costa Rica,1979,3500
Costa Rica,1980,3500
Costa Rica,1981,3500
Costa Rica,1983,3500
Costa Rica,1984,3500
Costa Rica,1985,3500
Costa Rica,1986,3500
Costa Rica,1987,3500
Costa Rica,1988,3500
Costa Rica,1989,3500
Costa Rica,1990,3500
Costa Rica,1991,3500
Costa Rica,1992,3500
Costa Rica,1993,3500
Costa Rica,1994,3500
Costa Rica,1995,3500
Costa Rica,1996,3500
Costa Rica,1997,3500
Costa Rica,1998,3500
Costa Rica,1999,3500
Costa Rica,2000,3500
Costa Rica,2001,3500
Costa Rica,2002,3500
Costa Rica,2003,3500
Costa Rica,2004,3500
Costa Rica,2005,3500
Costa Rica,2006,3500
Costa Rica,2007,3500
Costa Rica,2008,3500
Costa Rica,2009,3500
Costa Rica,2010,3500
Costa Rica,2011,3500
Costa Rica,2012,3500
Costa Rica,2013,3500
Costa Rica,2014,3500
Cote d'Ivoire,1979,2500
Cote d'Ivoire,1980,2500
Cote d'Ivoire,1981,2500
Cote d'Ivoire,1983,2500
Cote d'Ivoire,1984,2500
Cote d'Ivoire,1985,2500
Cote d'Ivoire,1986,2500
Cote d'Ivoire,1987,2500
Cote d'Ivoire,1988,1500
Cote d'Ivoire,1989,1500
Cote d'Ivoire,1990,1500
Cote d'Ivoire,1991,2500
Cote d'Ivoire,1992,1500
Cote d'Ivoire,1993,1500
Cote d'Ivoire,1994,1500
Cote d'Ivoire,1995,1500
Cote d'Ivoire,1996,1500
Cote d'Ivoire,1997,1500
Cote d'Ivoire,1998,1500
Cote d'Ivoire,1999,1500
Cote d'Ivoire,2000,1500
Cote d'Ivoire,2001,1500
Cote d'Ivoire,2002,1500
Cote d'Ivoire,2003,1500
Cote d'Ivoire,2004,1500
Cote d'Ivoire,2005,1500
Cote d'Ivoire,2006,1500
Cote d'Ivoire,2007,1500
Cote d'Ivoire,2008,1500
Cote d'Ivoire,2009,1500
Cote d'Ivoire,2010,1500
Cote d'Ivoire,2011,1500
Cote d'Ivoire,2012,1500
Cote d'Ivoire,2013,2500
Cote d'Ivoire,2014,2500
Croatia,1992,1500
Croatia,1993,2500
Croatia,1994,2500
Croatia,1995,2500
Croatia,1996,1500
Croatia,1997,1500
Croatia,1998,1500
Croatia,1999,1500
Croatia,2000,2500
Croatia,2001,2500
Croatia,2002,2500
Croatia,2003,2500
Croatia,2004,2500
Croatia,2005,2500
Croatia,2006,2500
Croatia,2007,2500
Croatia,2008,2500
Croatia,2009,2500
Croatia,2010,2500
Croatia,2011,2500
Croatia,2012,2500
Croatia,2013,2500
Croatia,2014,2500
Cuba,1979,1500
Cuba,1980,1500
Cuba,1981,1500
Cuba,1983,1500
Cuba,1984,1500
Cuba,1985,1500
Cuba,1986,1500
Cuba,1987,1500
Cuba,1988,1500
Cuba,1989,1500
Cuba,1990,1500
Cuba,1991,1500
Cuba,1992,1500
Cuba,1993,1500
Cuba,1994,1500
Cuba,1995,1500
Cuba,1996,1500
Cuba,1997,1500
Cuba,1998,1500
Cuba,1999,1500
Cuba,2000,1500
Cuba,2001,1500
Cuba,2002,1500
Cuba,2003,1500
Cuba,2004,1500
Cuba,2005,1500
Cuba,2006,1500
Cuba,2007,1500
Cuba,2008,1500
Cuba,2009,1500
Cuba,2010,1500
Cuba,2011,1500
Cuba,2012,1500
Cuba,2013,1500
Cuba,2014,1500
Cyprus (Greek),1979,3500
Cyprus (Greek),1980,3500
Cyprus (Greek),1981,3500
Cyprus (Greek),1983,3500
Cyprus (Greek),1984,3500
Cyprus (Greek),1985,3500
Cyprus (Greek),1986,3500
Cyprus (Greek),1987,3500
Cyprus (Greek),1988,3500
Cyprus (Greek),1989,3500
Cyprus (Greek),1990,3500
Cyprus (Greek),1991,3500
Cyprus (Greek),1992,3500
Cyprus (Greek),1993,3500
Cyprus (Greek),1994,3500
Cyprus (Greek),1995,3500
Cyprus (Greek),1996,3500
Cyprus (Greek),1997,3500
Cyprus (Greek),1998,3500
Cyprus (Greek),1999,3500
Cyprus (Greek),2000,3500
Cyprus (Greek),2001,3500
Cyprus (Greek),2002,3500
Cyprus (Greek),2003,3500
Cyprus (Greek),2004,3500
Cyprus (Greek),2005,3500
Cyprus (Greek),2006,3500
Cyprus (Greek),2007,3500
Cyprus (Greek),2008,3500
Cyprus (Greek),2009,3500
Cyprus (Greek),2010,3500
Cyprus (Greek),2011,3500
Cyprus (Greek),2012,3500
Cyprus (Greek),2013,3500
Cyprus (Greek),2014,3500
Cyprus (Turkish),1981,3500
Cyprus (Turkish),1983,3500
Cyprus (Turkish),1984,3500
Cyprus (Turkish),1985,3500
Cyprus (Turkish),1986,3500
Cyprus (Turkish),1987,3500
Cyprus (Turkish),1988,3500
Cyprus (Turkish),1989,3500
Cyprus (Turkish),1990,3500
Cyprus (Turkish),1991,3500
Cyprus (Turkish),1992,3500
Czech Republic,1993,3500
Czech Republic,1994,3500
Czech Republic,1995,3500
Czech Republic,1996,3500
Czech Republic,1997,3500
Czech Republic,1998,3500
Czech Republic,1999,3500
Czech Republic,2000,3500
Czech Republic,2001,3500
Czech Republic,2002,3500
Czech Republic,2003,3500
Czech Republic,2004,3500
Czech Republic,2005,3500
Czech Republic,2006,3500
Czech Republic,2007,3500
Czech Republic,2008,3500
Czech Republic,2009,3500
Czech Republic,2010,3500
Czech Republic,2011,3500
Czech Republic,2012,3500
Czech Republic,2013,3500
Czech Republic,2014,3500
Czechoslovakia,1979,1500
Czechoslovakia,1980,1500
Czechoslovakia,1981,1500
Czechoslovakia,1983,1500
Czechoslovakia,1984,1500
Czechoslovakia,1985,1500
Czechoslovakia,1986,1500
Czechoslovakia,1987,1500
Czechoslovakia,1988,1500
Czechoslovakia,1989,2500
Czechoslovakia,1990,3500
Czechoslovakia,1991,3500
Czechoslovakia,1992,3500
Democratic Republic of Congo,1979,1500
Democratic Republic of Congo,1980,1500
Democratic Republic of Congo,1981,1500
Democratic Republic of Congo,1983,1500
Democratic Republic of Congo,1984,1500
Democratic Republic of Congo,1985,1500
Democratic Republic of Congo,1986,1500
Democratic Republic of Congo,1987,1500
Democratic Republic of Congo,1988,1500
Democratic Republic of Congo,1989,1500
Democratic Republic of Congo,1990,1500
Democratic Republic of Congo,1991,1500
Democratic Republic of Congo,1992,1500
Democratic Republic of Congo,1993,1500
Democratic Republic of Congo,1994,1500
Democratic Republic of Congo,1995,1500
Democratic Republic of Congo,1996,1500
Democratic Republic of Congo,1997,1500
Democratic Republic of Congo,1998,1500
Democratic Republic of Congo,1999,1500
Democratic Republic of Congo,2000,1500
Democratic Republic of Congo,2001,1500
Democratic Republic of Congo,2002,1500
Democratic Republic of Congo,2003,1500
Democratic Republic of Congo,2004,1500
Democratic Republic of Congo,2005,1500
Democratic Republic of Congo,2006,2500
Democratic Republic of Congo,2007,2500
Democratic Republic of Congo,2008,1500
Democratic Republic of Congo,2009,1500
Democratic Republic of Congo,2010,1500
Democratic Republic of Congo,2011,1500
Democratic Republic of Congo,2012,1500
Democratic Republic of Congo,2013,1500
Democratic Republic of Congo,2014,1500
Denmark,1979,3500
Denmark,1980,3500
Denmark,1981,3500
Denmark,1983,3500
Denmark,1984,3500
Denmark,1985,3500
Denmark,1986,3500
Denmark,1987,3500
Denmark,1988,3500
Denmark,1989,3500
Denmark,1990,3500
Denmark,1991,3500
Denmark,1992,3500
Denmark,1993,3500
Denmark,1994,3500
Denmark,1995,3500
Denmark,1996,3500
Denmark,1997,3500
Denmark,1998,3500
Denmark,1999,3500
Denmark,2000,3500
Denmark,2001,3500
Denmark,2002,3500
Denmark,2003,3500
Denmark,2004,3500
Denmark,2005,3500
Denmark,2006,3500
Denmark,2007,3500
Denmark,2008,3500
Denmark,2009,3500
Denmark,2010,3500
Denmark,2011,3500
Denmark,2012,3500
Denmark,2013,3500
Denmark,2014,3500
Djibouti,1993,1500
Djibouti,1994,2500
Djibouti,1995,2500
Djibouti,1996,2500
Djibouti,1997,1500
Djibouti,1998,1500
Djibouti,1999,1500
Djibouti,2000,1500
Djibouti,2001,1500
Djibouti,2002,1500
Djibouti,2003,1500
Djibouti,2004,1500
Djibouti,2005,1500
Djibouti,2006,1500
Djibouti,2007,1500
Djibouti,2008,1500
Djibouti,2009,1500
Djibouti,2010,1500
Djibouti,2011,1500
Djibouti,2012,1500
Djibouti,2013,1500
Djibouti,2014,1500
Dominica,1979,3500
Dominica,1980,3500
Dominica,1981,3500
Dominica,1983,3500
Dominica,1984,3500
Dominica,1985,3500
Dominica,1986,3500
Dominica,1987,3500
Dominica,1988,3500
Dominica,1989,3500
Dominica,1990,3500
Dominica,1991,3500
Dominica,1992,3500
Dominica,1993,3500
Dominica,1994,3500
Dominica,1995,3500
Dominica,1996,3500
Dominica,1997,3500
Dominica,1998,3500
Dominica,1999,3500
Dominica,2000,3500
Dominica,2001,3500
Dominica,2002,3500
Dominica,2003,3500
Dominica,2004,3500
Dominica,2005,3500
Dominica,2006,3500
Dominica,2007,3500
Dominica,2008,3500
Dominica,2009,3500
Dominica,2010,3500
Dominica,2011,3500
Dominica,2012,3500
Dominica,2013,3500
Dominica,2014,3500
Dominican Republic,1979,3500
Dominican Republic,1980,3500
Dominican Republic,1981,3500
Dominican Republic,1983,3500
Dominican Republic,1984,3500
Dominican Republic,1985,3500
Dominican Republic,1986,3500
Dominican Republic,1987,3500
Dominican Republic,1988,3500
Dominican Republic,1989,3500
Dominican Republic,1990,3500
Dominican Republic,1991,3500
Dominican Republic,1992,3500
Dominican Republic,1993,3500
Dominican Republic,1994,2500
Dominican Republic,1995,2500
Dominican Republic,1996,2500
Dominican Republic,1997,3500
Dominican Republic,1998,3500
Dominican Republic,1999,3500
Dominican Republic,2000,3500
Dominican Republic,2001,3500
Dominican Republic,2002,2500
Dominican Republic,2003,2500
Dominican Republic,2004,2500
Dominican Republic,2005,2500
Dominican Republic,2006,2500
Dominican Republic,2007,2500
Dominican Republic,2008,2500
Dominican Republic,2009,2500
Dominican Republic,2010,2500
Dominican Republic,2011,2500
Dominican Republic,2012,2500
Dominican Republic,2013,2500
Dominican Republic,2014,2500
East Germany,1979,1500
East Germany,1980,1500
East Germany,1981,1500
East Germany,1983,1500
East Germany,1984,1500
East Germany,1985,1500
East Germany,1986,1500
East Germany,1987,1500
East Germany,1988,1500
East Germany,1989,2500
Ecuador,1979,3500
Ecuador,1980,3500
Ecuador,1981,3500
Ecuador,1983,3500
Ecuador,1984,3500
Ecuador,1985,3500
Ecuador,1986,3500
Ecuador,1987,3500
Ecuador,1988,3500
Ecuador,1989,3500
Ecuador,1990,3500
Ecuador,1991,3500
Ecuador,1992,3500
Ecuador,1993,3500
Ecuador,1994,2500
Ecuador,1995,2500
Ecuador,1996,2500
Ecuador,1997,2500
Ecuador,1998,2500
Ecuador,1999,2500
Ecuador,2000,2500
Ecuador,2001,2500
Ecuador,2002,2500
Ecuador,2003,2500
Ecuador,2004,2500
Ecuador,2005,2500
Ecuador,2006,2500
Ecuador,2007,2500
Ecuador,2008,2500
Ecuador,2009,2500
Ecuador,2010,2500
Ecuador,2011,2500
Ecuador,2012,1500
Ecuador,2013,1500
Ecuador,2014,1500
Egypt,1979,2500
Egypt,1980,2500
Egypt,1981,2500
Egypt,1983,2500
Egypt,1984,2500
Egypt,1985,2500
Egypt,1986,2500
Egypt,1987,2500
Egypt,1988,2500
Egypt,1989,2500
Egypt,1990,2500
Egypt,1991,2500
Egypt,1992,2500
Egypt,1993,1500
Egypt,1994,1500
Egypt,1995,1500
Egypt,1996,1500
Egypt,1997,1500
Egypt,1998,1500
Egypt,1999,1500
Egypt,2000,1500
Egypt,2001,1500
Egypt,2002,1500
Egypt,2003,1500
Egypt,2004,1500
Egypt,2005,1500
Egypt,2006,1500
Egypt,2007,2500
Egypt,2008,2500
Egypt,2009,2500
Egypt,2010,1500
Egypt,2011,2500
Egypt,2012,1500
Egypt,2013,1500
Egypt,2014,1500
El Salvador,1979,2500
El Salvador,1980,2500
El Salvador,1981,2500
El Salvador,1983,2500
El Salvador,1984,2500
El Salvador,1985,2500
El Salvador,1986,2500
El Salvador,1987,2500
El Salvador,1988,2500
El Salvador,1989,2500
El Salvador,1990,2500
El Salvador,1991,2500
El Salvador,1992,2500
El Salvador,1993,2500
El Salvador,1994,2500
El Salvador,1995,2500
El Salvador,1996,2500
El Salvador,1997,2500
El Salvador,1998,2500
El Salvador,1999,2500
El Salvador,2000,2500
El Salvador,2001,2500
El Salvador,2002,2500
El Salvador,2003,2500
El Salvador,2004,2500
El Salvador,2005,2500
El Salvador,2006,2500
El Salvador,2007,2500
El Salvador,2008,2500
El Salvador,2009,2500
El Salvador,2010,2500
El Salvador,2011,2500
El Salvador,2012,2500
El Salvador,2013,2500
El Salvador,2014,2500
Equatorial Guinea,1979,1500
Equatorial Guinea,1980,1500
Equatorial Guinea,1981,1500
Equatorial Guinea,1983,1500
Equatorial Guinea,1984,1500
Equatorial Guinea,1985,1500
Equatorial Guinea,1986,1500
Equatorial Guinea,1987,1500
Equatorial Guinea,1988,1500
Equatorial Guinea,1989,1500
Equatorial Guinea,1990,1500
Equatorial Guinea,1991,1500
Equatorial Guinea,1992,1500
Equatorial Guinea,1993,1500
Equatorial Guinea,1994,1500
Equatorial Guinea,1995,1500
Equatorial Guinea,1996,1500
Equatorial Guinea,1997,1500
Equatorial Guinea,1998,1500
Equatorial Guinea,1999,1500
Equatorial Guinea,2000,1500
Equatorial Guinea,2001,1500
Equatorial Guinea,2002,1500
Equatorial Guinea,2003,1500
Equatorial Guinea,2004,1500
Equatorial Guinea,2005,1500
Equatorial Guinea,2006,1500
Equatorial Guinea,2007,1500
Equatorial Guinea,2008,1500
Equatorial Guinea,2009,1500
Equatorial Guinea,2010,1500
Equatorial Guinea,2011,1500
Equatorial Guinea,2012,1500
Equatorial Guinea,2013,1500
Equatorial Guinea,2014,1500
Eritrea,1993,1500
Eritrea,1994,1500
Eritrea,1995,1500
Eritrea,1996,1500
Eritrea,1997,1500
Eritrea,1998,1500
Eritrea,1999,1500
Eritrea,2000,1500
Eritrea,2001,1500
Eritrea,2002,1500
Eritrea,2003,1500
Eritrea,2004,1500
Eritrea,2005,1500
Eritrea,2006,1500
Eritrea,2007,1500
Eritrea,2008,1500
Eritrea,2009,1500
Eritrea,2010,1500
Eritrea,2011,1500
Eritrea,2012,1500
Eritrea,2013,1500
Eritrea,2014,1500
Estonia,1991,3500
Estonia,1992,2500
Estonia,1993,3500
Estonia,1994,3500
Estonia,1995,3500
Estonia,1996,3500
Estonia,1997,3500
Estonia,1998,3500
Estonia,1999,3500
Estonia,2000,3500
Estonia,2001,3500
Estonia,2002,3500
Estonia,2003,3500
Estonia,2004,3500
Estonia,2005,3500
Estonia,2006,3500
Estonia,2007,3500
Estonia,2008,3500
Estonia,2009,3500
Estonia,2010,3500
Estonia,2011,3500
Estonia,2012,3500
Estonia,2013,3500
Estonia,2014,3500
Ethiopia,1979,1500
Ethiopia,1980,1500
Ethiopia,1981,1500
Ethiopia,1983,1500
Ethiopia,1984,1500
Ethiopia,1985,1500
Ethiopia,1986,1500
Ethiopia,1987,1500
Ethiopia,1988,1500
Ethiopia,1989,1500
Ethiopia,1990,1500
Ethiopia,1991,1500
Ethiopia,1992,1500
Ethiopia,1993,1500
Ethiopia,1994,2500
Ethiopia,1995,2500
Ethiopia,1996,1500
Ethiopia,1997,1500
Ethiopia,1998,1500
Ethiopia,1999,1500
Ethiopia,2000,1500
Ethiopia,2001,1500
Ethiopia,2002,1500
Ethiopia,2003,1500
Ethiopia,2004,1500
Ethiopia,2005,1500
Ethiopia,2006,1500
Ethiopia,2007,1500
Ethiopia,2008,1500
Ethiopia,2009,1500
Ethiopia,2010,1500
Ethiopia,2011,1500
Ethiopia,2012,1500
Ethiopia,2013,1500
Ethiopia,2014,1500
Fiji,1979,3500
Fiji,1980,3500
Fiji,1981,3500
Fiji,1983,3500
Fiji,1984,3500
Fiji,1985,3500
Fiji,1986,3500
Fiji,1987,1500
Fiji,1988,2500
Fiji,1989,2500
Fiji,1990,2500
Fiji,1991,2500
Fiji,1992,2500
Fiji,1993,2500
Fiji,1994,2500
Fiji,1995,2500
Fiji,1996,2500
Fiji,1997,2500
Fiji,1998,2500
Fiji,1999,2500
Fiji,2000,2500
Fiji,2001,2500
Fiji,2002,3500
Fiji,2003,3500
Fiji,2004,3500
Fiji,2005,3500
Fiji,2006,2500
Fiji,2007,2500
Fiji,2008,2500
Fiji,2009,2500
Fiji,2010,2500
Fiji,2011,2500
Fiji,2012,2500
Fiji,2013,2500
Fiji,2014,2500
Finland,1979,3500
Finland,1980,3500
Finland,1981,3500
Finland,1983,3500
Finland,1984,3500
Finland,1985,3500
Finland,1986,3500
Finland,1987,3500
Finland,1988,3500
Finland,1989,3500
Finland,1990,3500
Finland,1991,3500
Finland,1992,3500
Finland,1993,3500
Finland,1994,3500
Finland,1995,3500
Finland,1996,3500
Finland,1997,3500
Finland,1998,3500
Finland,1999,3500
Finland,2000,3500
Finland,2001,3500
Finland,2002,3500
Finland,2003,3500
Finland,2004,3500
Finland,2005,3500
Finland,2006,3500
Finland,2007,3500
Finland,2008,3500
Finland,2009,3500
Finland,2010,3500
Finland,2011,3500
Finland,2012,3500
Finland,2013,3500
Finland,2014,3500
France,1979,3500
France,1980,3500
France,1981,3500
France,1983,3500
France,1984,3500
France,1985,3500
France,1986,3500
France,1987,3500
France,1988,3500
France,1989,3500
France,1990,3500
France,1991,3500
France,1992,3500
France,1993,3500
France,1994,3500
France,1995,3500
France,1996,3500
France,1997,3500
France,1998,3500
France,1999,3500
France,2000,3500
France,2001,3500
France,2002,3500
France,2003,3500
France,2004,3500
France,2005,3500
France,2006,3500
France,2007,3500
France,2008,3500
France,2009,3500
France,2010,3500
France,2011,3500
France,2012,3500
France,2013,3500
France,2014,3500
Gabon,1979,1500
Gabon,1980,1500
Gabon,1981,1500
Gabon,1983,1500
Gabon,1984,1500
Gabon,1985,1500
Gabon,1986,1500
Gabon,1987,1500
Gabon,1988,1500
Gabon,1989,1500
Gabon,1990,2500
Gabon,1991,2500
Gabon,1992,2500
Gabon,1993,2500
Gabon,1994,2500
Gabon,1995,2500
Gabon,1996,2500
Gabon,1997,2500
Gabon,1998,2500
Gabon,1999,2500
Gabon,2000,2500
Gabon,2001,2500
Gabon,2002,2500
Gabon,2003,1500
Gabon,2004,1500
Gabon,2005,1500
Gabon,2006,1500
Gabon,2007,1500
Gabon,2008,1500
Gabon,2009,1500
Gabon,2010,1500
Gabon,2011,1500
Gabon,2012,1500
Gabon,2013,1500
Gabon,2014,1500
Gambia,1979,3500
Gambia,1980,3500
Gambia,1981,3500
Gambia,1983,3500
Gambia,1984,3500
Gambia,1985,3500
Gambia,1986,3500
Gambia,1987,3500
Gambia,1988,2500
Gambia,1989,3500
Gambia,1990,3500
Gambia,1991,3500
Gambia,1992,3500
Gambia,1993,3500
Gambia,1994,1500
Gambia,1995,1500
Gambia,1996,1500
Gambia,1997,1500
Gambia,1998,1500
Gambia,1999,1500
Gambia,2000,1500
Gambia,2001,1500
Gambia,2002,1500
Gambia,2003,1500
Gambia,2004,1500
Gambia,2005,1500
Gambia,2006,1500
Gambia,2007,1500
Gambia,2008,1500
Gambia,2009,1500
Gambia,2010,1500
Gambia,2011,1500
Gambia,2012,1500
Gambia,2013,1500
Gambia,2014,1500
Georgia,1992,2500
Georgia,1993,1500
Georgia,1994,1500
Georgia,1995,1500
Georgia,1996,2500
Georgia,1997,2500
Georgia,1998,2500
Georgia,1999,2500
Georgia,2000,2500
Georgia,2001,2500
Georgia,2002,2500
Georgia,2003,2500
Georgia,2004,2500
Georgia,2005,2500
Georgia,2006,2500
Georgia,2007,2500
Georgia,2008,2500
Georgia,2009,2500
Georgia,2010,2500
Georgia,2011,2500
Georgia,2012,2500
Georgia,2013,2500
Georgia,2014,2500
Germany,1990,3500
Germany,1991,3500
Germany,1992,3500
Germany,1993,3500
Germany,1994,3500
Germany,1995,3500
Germany,1996,3500
Germany,1997,3500
Germany,1998,3500
Germany,1999,3500
Germany,2000,3500
Germany,2001,3500
Germany,2002,3500
Germany,2003,3500
Germany,2004,3500
Germany,2005,3500
Germany,2006,3500
Germany,2007,3500
Germany,2008,3500
Germany,2009,3500
Germany,2010,3500
Germany,2011,3500
Germany,2012,3500
Germany,2013,3500
Germany,2014,3500
Ghana,1979,2500
Ghana,1980,2500
Ghana,1981,2500
Ghana,1983,1500
Ghana,1984,1500
Ghana,1985,1500
Ghana,1986,1500
Ghana,1987,1500
Ghana,1988,1500
Ghana,1989,1500
Ghana,1990,1500
Ghana,1991,1500
Ghana,1992,2500
Ghana,1993,1500
Ghana,1994,1500
Ghana,1995,1500
Ghana,1996,2500
Ghana,1997,2500
Ghana,1998,1500
Ghana,1999,1500
Ghana,2000,2500
Ghana,2001,3500
Ghana,2002,3500
Ghana,2003,3500
Ghana,2004,3500
Ghana,2005,3500
Ghana,2006,3500
Ghana,2007,3500
Ghana,2008,3500
Ghana,2009,3500
Ghana,2010,3500
Ghana,2011,3500
Ghana,2012,3500
Ghana,2013,3500
Ghana,2014,3500
Greece,1979,3500
Greece,1980,3500
Greece,1981,3500
Greece,1983,3500
Greece,1984,3500
Greece,1985,3500
Greece,1986,3500
Greece,1987,3500
Greece,1988,3500
Greece,1989,3500
Greece,1990,3500
Greece,1991,3500
Greece,1992,3500
Greece,1993,3500
Greece,1994,3500
Greece,1995,3500
Greece,1996,3500
Greece,1997,3500
Greece,1998,3500
Greece,1999,3500
Greece,2000,3500
Greece,2001,3500
Greece,2002,3500
Greece,2003,3500
Greece,2004,3500
Greece,2005,3500
Greece,2006,3500
Greece,2007,3500
Greece,2008,3500
Greece,2009,3500
Greece,2010,3500
Greece,2011,3500
Greece,2012,2500
Greece,2013,2500
Greece,2014,2500
Grenada,1979,1500
Grenada,1980,1500
Grenada,1981,1500
Grenada,1983,1500
Grenada,1984,3500
Grenada,1985,3500
Grenada,1986,3500
Grenada,1987,3500
Grenada,1988,3500
Grenada,1989,3500
Grenada,1990,3500
Grenada,1991,3500
Grenada,1992,3500
Grenada,1993,3500
Grenada,1994,3500
Grenada,1995,3500
Grenada,1996,3500
Grenada,1997,3500
Grenada,1998,3500
Grenada,1999,3500
Grenada,2000,3500
Grenada,2001,3500
Grenada,2002,3500
Grenada,2003,3500
Grenada,2004,3500
Grenada,2005,3500
Grenada,2006,3500
Grenada,2007,3500
Grenada,2008,3500
Grenada,2009,3500
Grenada,2010,3500
Grenada,2011,3500
Grenada,2012,3500
Grenada,2013,3500
Grenada,2014,3500
Guatemala,1979,2500
Guatemala,1980,2500
Guatemala,1981,2500
Guatemala,1983,2500
Guatemala,1984,2500
Guatemala,1985,2500
Guatemala,1986,2500
Guatemala,1987,2500
Guatemala,1988,2500
Guatemala,1989,2500
Guatemala,1990,2500
Guatemala,1991,2500
Guatemala,1992,2500
Guatemala,1993,2500
Guatemala,1994,2500
Guatemala,1995,2500
Guatemala,1996,2500
Guatemala,1997,2500
Guatemala,1998,2500
Guatemala,1999,2500
Guatemala,2000,2500
Guatemala,2001,2500
Guatemala,2002,2500
Guatemala,2003,1500
Guatemala,2004,2500
Guatemala,2005,2500
Guatemala,2006,2500
Guatemala,2007,2500
Guatemala,2008,2500
Guatemala,2009,2500
Guatemala,2010,2500
Guatemala,2011,2500
Guatemala,2012,2500
Guatemala,2013,2500
Guatemala,2014,2500
Guinea,1979,1500
Guinea,1980,1500
Guinea,1981,1500
Guinea,1983,1500
Guinea,1984,1500
Guinea,1985,1500
Guinea,1986,1500
Guinea,1987,1500
Guinea,1988,1500
Guinea,1989,1500
Guinea,1990,1500
Guinea,1991,1500
Guinea,1992,2500
Guinea,1993,1500
Guinea,1994,1500
Guinea,1995,1500
Guinea,1996,1500
Guinea,1997,1500
Guinea,1998,1500
Guinea,1999,1500
Guinea,2000,1500
Guinea,2001,1500
Guinea,2002,1500
Guinea,2003,1500
Guinea,2004,1500
Guinea,2005,1500
Guinea,2006,1500
Guinea,2007,1500
Guinea,2008,1500
Guinea,2009,1500
Guinea,2010,2500
Guinea,2011,1500
Guinea,2012,1500
Guinea,2013,1500
Guinea,2014,1500
Guinea-Bissau,1979,1500
Guinea-Bissau,1980,1500
Guinea-Bissau,1981,1500
Guinea-Bissau,1983,1500
Guinea-Bissau,1984,1500
Guinea-Bissau,1985,1500
Guinea-Bissau,1986,1500
Guinea-Bissau,1987,1500
Guinea-Bissau,1988,1500
Guinea-Bissau,1989,1500
Guinea-Bissau,1990,1500
Guinea-Bissau,1991,2500
Guinea-Bissau,1992,2500
Guinea-Bissau,1993,2500
Guinea-Bissau,1994,2500
Guinea-Bissau,1995,2500
Guinea-Bissau,1996,2500
Guinea-Bissau,1997,2500
Guinea-Bissau,1998,2500
Guinea-Bissau,1999,2500
Guinea-Bissau,2000,2500
Guinea-Bissau,2001,2500
Guinea-Bissau,2002,2500
Guinea-Bissau,2003,1500
Guinea-Bissau,2004,2500
Guinea-Bissau,2005,2500
Guinea-Bissau,2006,2500
Guinea-Bissau,2007,2500
Guinea-Bissau,2008,2500
Guinea-Bissau,2009,2500
Guinea-Bissau,2010,2500
Guinea-Bissau,2011,2500
Guinea-Bissau,2012,1500
Guinea-Bissau,2013,1500
Guinea-Bissau,2014,2500
Guyana,1979,2500
Guyana,1980,2500
Guyana,1981,2500
Guyana,1983,2500
Guyana,1984,2500
Guyana,1985,2500
Guyana,1986,2500
Guyana,1987,2500
Guyana,1988,1500
Guyana,1989,1500
Guyana,1990,1500
Guyana,1991,2500
Guyana,1992,2500
Guyana,1993,2500
Guyana,1994,3500
Guyana,1995,3500
Guyana,1996,3500
Guyana,1997,3500
Guyana,1998,3500
Guyana,1999,3500
Guyana,2000,3500
Guyana,2001,3500
Guyana,2002,3500
Guyana,2003,3500
Guyana,2004,3500
Guyana,2005,3500
Guyana,2006,3500
Guyana,2007,2500
Guyana,2008,3500
Guyana,2009,3500
Guyana,2010,3500
Guyana,2011,2500
Guyana,2012,2500
Guyana,2013,2500
Guyana,2014,2500
Haiti,1979,2500
Haiti,1980,1500
Haiti,1981,1500
Haiti,1983,1500
Haiti,1984,1500
Haiti,1985,1500
Haiti,1986,3500
Haiti,1987,2500
Haiti,1988,1500
Haiti,1989,1500
Haiti,1990,1500
