Entity,Year,"Poverty headcount (below $3.10 per day, 2011 PPP) (World Bank (WDI) (2016))"
Thailand,1981,41.53
Thailand,1988,38.22
Thailand,1990,34.31
Thailand,1992,27.36
Thailand,1994,17.87
Thailand,1996,13.93
Thailand,1998,12.93
Thailand,1999,17.16
Thailand,2000,16.97
Thailand,2002,10.75
Thailand,2004,8.01
Thailand,2006,5.51
Thailand,2007,3.74
Thailand,2008,2.97
Thailand,2009,2.59
Thailand,2010,2.09
Thailand,2011,1.17
Thailand,2012,1.23
Timor,2001,72.84
Timor,2007,80.05
Togo,2006,76.69
Togo,2011,74.54
Tonga,2009,8.19
Trinidad and Tobago,1988,7.7
Trinidad and Tobago,1992,12.24
Tunisia,1985,34.59
Tunisia,1990,27.42
Tunisia,1995,28.69
Tunisia,2000,20.15
Tunisia,2005,13.26
Tunisia,2010,8.4
Turkey,1987,9.75
Turkey,1994,12.08
Turkey,2002,9.94
Turkey,2003,13.19
Turkey,2004,9.08
Turkey,2005,9.38
Turkey,2006,7.78
Turkey,2007,6.32
Turkey,2008,5.34
Turkey,2009,4.57
Turkey,2010,4.25
Turkey,2011,3.99
Turkey,2012,3.1
Turkmenistan,1988,76.22
Turkmenistan,1993,94.24
Turkmenistan,1998,69.14
Uganda,1989,95.62
Uganda,1992,87.8
Uganda,1996,83.37
Uganda,1999,77.46
Uganda,2002,82.48
Uganda,2005,76.33
Uganda,2009,69.37
Uganda,2012,63.03
Ukraine,1988,2.79
Ukraine,1992,5.39
Ukraine,1995,18.96
Ukraine,1996,21.37
Ukraine,1999,34.65
Ukraine,2002,10.58
Ukraine,2003,6.25
Ukraine,2004,4.97
Ukraine,2005,2.26
Ukraine,2006,1.4
Ukraine,2007,0.79
Ukraine,2008,0.4
Ukraine,2009,0.55
Ukraine,2010,0.25
Ukraine,2011,0.17
Ukraine,2012,0.2
Ukraine,2013,0.08
Upper middle income,1981,75.22
Upper middle income,1984,73.41
Upper middle income,1987,66.91
Upper middle income,1990,65.37
Upper middle income,1993,60.8
Upper middle income,1996,53.52
Upper middle income,1999,50.35
Upper middle income,2002,43.07
Upper middle income,2005,32.37
Upper middle income,2008,24.97
Upper middle income,2010,21.04
Upper middle income,2011,17.63
Upper middle income,2012,15.43
Uruguay,1981,4.67
Uruguay,1989,3.08
Uruguay,1992,2.02
Uruguay,1995,2.28
Uruguay,1996,2.76
Uruguay,1997,2.37
Uruguay,1998,2.53
Uruguay,2000,2.63
Uruguay,2001,3.35
Uruguay,2002,4.32
Uruguay,2003,5.22
Uruguay,2004,6.88
Uruguay,2005,6.11
Uruguay,2006,4.67
Uruguay,2007,3.78
Uruguay,2008,2.55
Uruguay,2009,2.11
Uruguay,2010,1.61
Uruguay,2011,1.61
Uruguay,2012,1.67
Uruguay,2013,1.56
Uzbekistan,1988,3.36
Uzbekistan,1998,69.15
Uzbekistan,2000,88.71
Uzbekistan,2002,87.99
Uzbekistan,2003,87.82
Vanuatu,2010,38.8
Venezuela,1981,9.52
Venezuela,1987,10.24
Venezuela,1989,13.91
Venezuela,1992,8.53
Venezuela,1995,18.34
Venezuela,1998,20.29
Venezuela,1999,20.47
Venezuela,2001,19.05
Venezuela,2002,27.83
Venezuela,2003,33.61
Venezuela,2004,29.08
Venezuela,2005,23.97
Venezuela,2006,14.9
Vietnam,1992,77.09
Vietnam,1998,69.11
Vietnam,2002,69.32
Vietnam,2004,58.46
Vietnam,2006,51.15
Vietnam,2008,45.61
Vietnam,2010,18.05
Vietnam,2012,13.86
Zambia,1991,68.17
Zambia,1993,72.87
Zambia,1996,63.3
Zambia,1998,64.25
Zambia,2002,75.08
Zambia,2004,74.02
Zambia,2006,76.86
Zambia,2010,78.87
