Entity,Year,UN Population Division (Median Age) (2015)
Caribbean,1955,20.17
Caribbean,1960,19.93
Caribbean,1965,19.59
Caribbean,1970,19.34
Caribbean,1975,19.83
Caribbean,1980,21.1
Caribbean,1985,22.37
Caribbean,1990,23.76
Caribbean,1995,25.1
Caribbean,2000,26.52
Caribbean,2005,27.69
Caribbean,2010,28.88
Caribbean,2015,30.24
Caribbean,2020,31.84
Caribbean,2025,33.41
Caribbean,2030,34.94
Caribbean,2035,36.39
Caribbean,2040,37.76
Caribbean,2045,39.03
Caribbean,2050,40.21
Caribbean,2055,41.31
Caribbean,2060,42.33
Caribbean,2065,43.27
Caribbean,2070,44.13
Caribbean,2075,44.9
Caribbean,2080,45.58
Caribbean,2085,46.17
Caribbean,2090,46.69
Caribbean,2095,47.16
Caribbean,2100,47.57
Central African Republic,1950,22.53
Central African Republic,1955,22.07
Central African Republic,1960,21.44
Central African Republic,1965,20.81
Central African Republic,1970,20.05
Central African Republic,1975,19.29
Central African Republic,1980,18.91
Central African Republic,1985,18.84
Central African Republic,1990,18.39
Central African Republic,1995,18.58
Central African Republic,2000,18.67
Central African Republic,2005,18.75
Central African Republic,2010,19.37
Central African Republic,2015,20.02
Central African Republic,2020,20.92
Central African Republic,2025,21.87
Central African Republic,2030,22.86
Central African Republic,2035,23.92
Central African Republic,2040,25.11
Central African Republic,2045,26.43
Central African Republic,2050,27.74
Central African Republic,2055,29.03
Central African Republic,2060,30.29
Central African Republic,2065,31.54
Central African Republic,2070,32.75
Central African Republic,2075,33.92
Central African Republic,2080,35.07
Central African Republic,2085,36.22
Central African Republic,2090,37.32
Central African Republic,2095,38.36
Central African Republic,2100,39.34
Central America,1950,18.56
Central America,1955,17.83
Central America,1960,17.13
Central America,1965,16.7
Central America,1970,16.72
Central America,1975,16.82
Central America,1980,17.31
Central America,1985,18.14
Central America,1990,19.29
Central America,1995,20.74
Central America,2000,22.07
Central America,2005,23.43
Central America,2010,24.93
Central America,2015,26.6
Central America,2020,28.34
Central America,2025,30.17
Central America,2030,32.13
Central America,2035,34.07
Central America,2040,35.98
Central America,2045,37.8
Central America,2050,39.53
Central America,2055,41.19
Central America,2060,42.75
Central America,2065,44.18
Central America,2070,45.47
Central America,2075,46.56
Central America,2080,47.48
Central America,2085,48.22
Central America,2090,48.81
Central America,2095,49.28
Central America,2100,49.67
Central Asia,1950,23.68
Central Asia,1955,23.94
Central Asia,1960,23.26
Central Asia,1965,20.64
Central Asia,1970,19.24
Central Asia,1975,19.49
Central Asia,1980,20.46
Central Asia,1985,21.27
Central Asia,1990,21.47
Central Asia,1995,21.76
Central Asia,2000,22.6
Central Asia,2005,23.9
Central Asia,2010,25
Central Asia,2015,26.49
Central Asia,2020,27.91
Central Asia,2025,29.27
Central Asia,2030,30.21
Central Asia,2035,30.83
Central Asia,2040,31.77
Central Asia,2045,33
Central Asia,2050,34.38
Central Asia,2055,35.66
Central Asia,2060,36.68
Central Asia,2065,37.44
Central Asia,2070,37.99
Central Asia,2075,38.54
Central Asia,2080,39.26
Central Asia,2085,40.12
Central Asia,2090,40.97
Central Asia,2095,41.67
Central Asia,2100,42.18
Chad,1950,21.55
Chad,1955,20.65
Chad,1960,19.87
Chad,1965,19.18
Chad,1970,18.57
Chad,1975,18.15
Chad,1980,17.52
Chad,1985,16.82
Chad,1990,16.26
Chad,1995,15.85
Chad,2000,15.56
Chad,2005,15.44
Chad,2010,15.62
Chad,2015,16.02
Chad,2020,16.55
Chad,2025,17.16
Chad,2030,17.86
Chad,2035,18.66
Chad,2040,19.54
Chad,2045,20.55
Chad,2050,21.65
Chad,2055,22.77
Chad,2060,23.88
Chad,2065,25
Chad,2070,26.19
Chad,2075,27.35
Chad,2080,28.5
Chad,2085,29.65
Chad,2090,30.85
Chad,2095,32.07
Chad,2100,33.3
Channel Islands,1950,35.73
Channel Islands,1955,36.11
Channel Islands,1960,36.62
Channel Islands,1965,36.07
Channel Islands,1970,35.23
Channel Islands,1975,34.46
Channel Islands,1980,34.92
Channel Islands,1985,35.8
Channel Islands,1990,35.97
Channel Islands,1995,36.87
Channel Islands,2000,38.14
Channel Islands,2005,39.57
Channel Islands,2010,41.16
Channel Islands,2015,42.64
Channel Islands,2020,43.95
Channel Islands,2025,45.1
Channel Islands,2030,46.08
Channel Islands,2035,46.83
Channel Islands,2040,47.43
Channel Islands,2045,47.83
Channel Islands,2050,47.97
Channel Islands,2055,47.96
Channel Islands,2060,47.93
Channel Islands,2065,47.89
Channel Islands,2070,47.9
Channel Islands,2075,47.98
Channel Islands,2080,48.13
Channel Islands,2085,48.32
Channel Islands,2090,48.54
Channel Islands,2095,48.77
Channel Islands,2100,49.04
Chile,1950,22.15
Chile,1955,21.68
Chile,1960,21.04
Chile,1965,20.79
Chile,1970,20.88
Chile,1975,21.76
Chile,1980,23.07
Chile,1985,24.48
Chile,1990,25.91
Chile,1995,27.58
Chile,2000,29.41
Chile,2005,31.16
Chile,2010,32.81
Chile,2015,34.41
Chile,2020,36.11
Chile,2025,38.01
Chile,2030,40.12
Chile,2035,42.12
Chile,2040,43.97
Chile,2045,45.58
Chile,2050,46.9
Chile,2055,47.97
Chile,2060,48.84
Chile,2065,49.54
Chile,2070,50.14
Chile,2075,50.65
Chile,2080,51.01
Chile,2085,51.21
Chile,2090,51.29
Chile,2095,51.35
Chile,2100,51.44
China,1950,23.69
China,1955,22.01
China,1960,21.08
China,1965,19.63
China,1970,19.16
China,1975,20.13
China,1980,21.68
China,1985,23.39
China,1990,24.7
China,1995,27.03
China,2000,29.83
China,2005,32.58
China,2010,35.19
China,2015,36.96
China,2020,38.74
China,2025,40.7
China,2030,43.2
China,2035,45.75
China,2040,47.74
China,2045,49.21
China,2050,49.59
China,2055,49.73
China,2060,50.12
China,2065,50.8
China,2070,51.33
China,2075,51.42
China,2080,51.06
China,2085,50.68
China,2090,50.6
China,2095,50.8
China,2100,51.09
Colombia,1950,18.72
Colombia,1955,17.73
Colombia,1960,16.87
Colombia,1965,16.5
Colombia,1970,16.81
Colombia,1975,17.84
Colombia,1980,18.94
Colombia,1985,20.17
Colombia,1990,21.64
Colombia,1995,22.97
Colombia,2000,24.39
Colombia,2005,26.08
Colombia,2010,28.01
Colombia,2015,30.05
Colombia,2020,32.18
Colombia,2025,34.3
Colombia,2030,36.4
Colombia,2035,38.37
Colombia,2040,40.18
Colombia,2045,41.89
Colombia,2050,43.44
Colombia,2055,44.83
Colombia,2060,46
Colombia,2065,47.01
Colombia,2070,47.85
Colombia,2075,48.48
Colombia,2080,48.93
Colombia,2085,49.24
Colombia,2090,49.46
Colombia,2095,49.6
Colombia,2100,49.69
Comoros,1950,21.16
Comoros,1955,20.45
Comoros,1960,19.43
Comoros,1965,18.22
Comoros,1970,17.41
Comoros,1975,17.29
Comoros,1980,17.16
Comoros,1985,16.86
Comoros,1990,16.69
Comoros,1995,16.99
Comoros,2000,17.64
Comoros,2005,18.4
Comoros,2010,19.09
Comoros,2015,19.65
Comoros,2020,20.3
Comoros,2025,21.14
Comoros,2030,22.11
Comoros,2035,23.16
Comoros,2040,24.23
Comoros,2045,25.29
Comoros,2050,26.34
Comoros,2055,27.38
Comoros,2060,28.41
Comoros,2065,29.44
Comoros,2070,30.5
Comoros,2075,31.59
Comoros,2080,32.69
Comoros,2085,33.77
Comoros,2090,34.85
Comoros,2095,35.92
Comoros,2100,36.99
Congo,1950,19.98
Congo,1955,19.81
Congo,1960,19.47
Congo,1965,18.92
Congo,1970,18.32
Congo,1975,17.89
Congo,1980,17.5
Congo,1985,17.58
Congo,1990,17.92
Congo,1995,18.42
Congo,2000,18.86
Congo,2005,18.86
Congo,2010,18.95
Congo,2015,18.66
Congo,2020,18.88
Congo,2025,19.41
Congo,2030,20.13
Congo,2035,20.99
Congo,2040,21.74
Congo,2045,22.49
Congo,2050,23.31
Congo,2055,24.19
Congo,2060,25.13
Congo,2065,26.15
Congo,2070,27.17
Congo,2075,28.17
Congo,2080,29.16
Congo,2085,30.15
Congo,2090,31.18
Congo,2095,32.19
Congo,2100,33.19
Costa Rica,1950,18.22
Costa Rica,1955,18.11
Costa Rica,1960,17.67
Costa Rica,1965,17.59
Costa Rica,1970,18.15
Costa Rica,1975,19.3
Costa Rica,1980,20.64
Costa Rica,1985,21.98
Costa Rica,1990,23.14
Costa Rica,1995,24.35
Costa Rica,2000,25.58
Costa Rica,2005,27.37
Costa Rica,2010,29.25
Costa Rica,2015,31.38
Costa Rica,2020,33.57
Costa Rica,2025,35.82
Costa Rica,2030,38.04
Costa Rica,2035,40.19
Costa Rica,2040,42.17
Costa Rica,2045,43.92
Costa Rica,2050,45.34
Costa Rica,2055,46.63
Costa Rica,2060,47.75
Costa Rica,2065,48.72
Costa Rica,2070,49.52
Costa Rica,2075,50.09
Costa Rica,2080,50.4
Costa Rica,2085,50.54
Costa Rica,2090,50.58
Costa Rica,2095,50.61
Costa Rica,2100,50.67
Cote d'Ivoire,1950,18.29
Cote d'Ivoire,1955,19.02
Cote d'Ivoire,1960,19.23
Cote d'Ivoire,1965,19.05
Cote d'Ivoire,1970,18.46
Cote d'Ivoire,1975,17.89
Cote d'Ivoire,1980,17.49
Cote d'Ivoire,1985,17.49
Cote d'Ivoire,1990,17.64
Cote d'Ivoire,1995,18.02
Cote d'Ivoire,2000,18.15
Cote d'Ivoire,2005,17.86
Cote d'Ivoire,2010,17.97
Cote d'Ivoire,2015,18.4
Cote d'Ivoire,2020,18.89
Cote d'Ivoire,2025,19.35
Cote d'Ivoire,2030,19.82
Cote d'Ivoire,2035,20.47
Cote d'Ivoire,2040,21.24
Cote d'Ivoire,2045,22.03
Cote d'Ivoire,2050,22.84
Cote d'Ivoire,2055,23.64
Cote d'Ivoire,2060,24.44
Cote d'Ivoire,2065,25.29
Cote d'Ivoire,2070,26.19
Cote d'Ivoire,2075,27.11
Cote d'Ivoire,2080,28.05
Cote d'Ivoire,2085,29.02
Cote d'Ivoire,2090,30
Cote d'Ivoire,2095,31.04
Cote d'Ivoire,2100,32.09
Croatia,1950,27.9
Croatia,1955,28.24
Croatia,1960,29.24
Croatia,1965,30.7
Croatia,1970,32.13
Croatia,1975,33.05
Croatia,1980,33.46
Croatia,1985,34.34
Croatia,1990,35.77
Croatia,1995,37.91
Croatia,2000,38.95
Croatia,2005,40.53
Croatia,2010,41.71
Croatia,2015,42.83
Croatia,2020,44
Croatia,2025,45.26
Croatia,2030,46.54
Croatia,2035,47.68
Croatia,2040,48.52
Croatia,2045,49.01
Croatia,2050,49.62
Croatia,2055,49.72
Croatia,2060,50.18
Croatia,2065,50.54
Croatia,2070,50.66
Croatia,2075,50.56
Croatia,2080,50.38
Croatia,2085,50.25
Croatia,2090,50.21
Croatia,2095,50.27
Croatia,2100,50.34
Cuba,1950,22.34
Cuba,1955,22.38
Cuba,1960,22.9
Cuba,1965,22.3
Cuba,1970,21.87
Cuba,1975,22.27
Cuba,1980,23.93
Cuba,1985,25.49
Cuba,1990,27.68
Cuba,1995,30.17
Cuba,2000,32.84
Cuba,2005,35.63
Cuba,2010,38.55
Cuba,2015,41.22
Cuba,2020,43.47
Cuba,2025,44.99
Cuba,2030,46.37
Cuba,2035,48
Cuba,2040,49.72
Cuba,2045,50.98
Cuba,2050,51.92
Cuba,2055,52.51
Cuba,2060,52.75
Cuba,2065,52.77
Cuba,2070,52.78
Cuba,2075,52.78
Cuba,2080,52.79
Cuba,2085,52.68
Cuba,2090,52.49
Cuba,2095,52.3
Cuba,2100,52.16
Curacao,1950,22.57
Curacao,1955,21.39
Curacao,1960,19.91
Curacao,1965,19.6
Curacao,1970,19.67
Curacao,1975,20.66
Curacao,1980,23.26
Curacao,1985,25.75
Curacao,1990,28.56
Curacao,1995,31.88
Curacao,2000,35.48
Curacao,2005,38.02
Curacao,2010,39.97
Curacao,2015,40.53
Curacao,2020,40.53
Curacao,2025,40.57
Curacao,2030,41.04
Curacao,2035,41.89
Curacao,2040,42.58
Curacao,2045,42.9
Curacao,2050,42.91
Curacao,2055,42.99
Curacao,2060,43.47
Curacao,2065,44.08
Curacao,2070,44.74
Curacao,2075,45.29
Curacao,2080,45.68
Curacao,2085,45.98
Curacao,2090,46.29
Curacao,2095,46.66
Curacao,2100,47.08
Cyprus,1950,23.7
Cyprus,1955,24.38
Cyprus,1960,23.04
Cyprus,1965,23.38
Cyprus,1970,25.97
Cyprus,1975,27.38
Cyprus,1980,28.33
Cyprus,1985,29.14
Cyprus,1990,29.87
Cyprus,1995,30.97
Cyprus,2000,31.79
Cyprus,2005,32.93
Cyprus,2010,34.18
Cyprus,2015,35.93
Cyprus,2020,37.96
Cyprus,2025,40.1
Cyprus,2030,41.93
Cyprus,2035,43.74
Cyprus,2040,45.49
Cyprus,2045,46.76
Cyprus,2050,47.54
Cyprus,2055,48.01
Cyprus,2060,48.41
Cyprus,2065,48.76
Cyprus,2070,48.96
Cyprus,2075,49.01
Cyprus,2080,48.92
Cyprus,2085,48.72
Cyprus,2090,48.59
Cyprus,2095,48.6
Cyprus,2100,48.73
Czech Republic,1950,32.54
Czech Republic,1955,32.18
Czech Republic,1960,33.24
Czech Republic,1965,33.85
Czech Republic,1970,33.62
Czech Republic,1975,32.75
Czech Republic,1980,32.96
Czech Republic,1985,34.13
Czech Republic,1990,35.29
Czech Republic,1995,36.11
Czech Republic,2000,37.42
Czech Republic,2005,38.7
Czech Republic,2010,39.58
Czech Republic,2015,41.52
Czech Republic,2020,43.43
Czech Republic,2025,45.44
Czech Republic,2030,46.9
Czech Republic,2035,48.11
Czech Republic,2040,48.93
Czech Republic,2045,49.05
Czech Republic,2050,48.14
Czech Republic,2055,47.9
Czech Republic,2060,48.06
Czech Republic,2065,48.07
Czech Republic,2070,47.93
Czech Republic,2075,47.52
Czech Republic,2080,46.98
Czech Republic,2085,46.73
Czech Republic,2090,46.91
Czech Republic,2095,47.32
Czech Republic,2100,47.71
Democratic Republic of Congo,1950,18.11
Democratic Republic of Congo,1955,18.11
Democratic Republic of Congo,1960,18.16
Democratic Republic of Congo,1965,18.18
Democratic Republic of Congo,1970,18.05
Democratic Republic of Congo,1975,17.82
Democratic Republic of Congo,1980,17.65
Democratic Republic of Congo,1985,17.43
Democratic Republic of Congo,1990,17.13
Democratic Republic of Congo,1995,16.8
Democratic Republic of Congo,2000,16.65
Democratic Republic of Congo,2005,16.59
Democratic Republic of Congo,2010,16.67
Democratic Republic of Congo,2015,16.89
Democratic Republic of Congo,2020,17.31
Democratic Republic of Congo,2025,17.9
Democratic Republic of Congo,2030,18.6
Democratic Republic of Congo,2035,19.37
Democratic Republic of Congo,2040,20.23
Democratic Republic of Congo,2045,21.23
Democratic Republic of Congo,2050,22.29
Democratic Republic of Congo,2055,23.37
Democratic Republic of Congo,2060,24.49
Democratic Republic of Congo,2065,25.68
Democratic Republic of Congo,2070,26.91
Democratic Republic of Congo,2075,28.13
Democratic Republic of Congo,2080,29.33
Democratic Republic of Congo,2085,30.57
Democratic Republic of Congo,2090,31.81
Democratic Republic of Congo,2095,33.04
Democratic Republic of Congo,2100,34.23
Denmark,1950,31.67
Denmark,1955,32.4
Denmark,1960,33.03
Denmark,1965,32.79
Denmark,1970,32.54
Denmark,1975,33.03
Denmark,1980,34.28
Denmark,1985,36.02
Denmark,1990,37.15
Denmark,1995,37.71
Denmark,2000,38.42
Denmark,2005,39.55
Denmark,2010,40.59
Denmark,2015,41.61
Denmark,2020,42.33
Denmark,2025,42.43
Denmark,2030,42.33
Denmark,2035,42.74
Denmark,2040,43.35
Denmark,2045,43.82
Denmark,2050,44.11
Denmark,2055,44.33
Denmark,2060,44.11
Denmark,2065,44.11
Denmark,2070,44.43
Denmark,2075,44.95
Denmark,2080,45.44
Denmark,2085,45.79
Denmark,2090,45.97
Denmark,2095,46.12
Denmark,2100,46.4
Djibouti,1950,16.53
Djibouti,1955,17.51
Djibouti,1960,18
Djibouti,1965,17.96
Djibouti,1970,17.45
Djibouti,1975,16.61
Djibouti,1980,16.54
Djibouti,1985,17.35
Djibouti,1990,17.46
Djibouti,1995,18.05
Djibouti,2000,19.12
Djibouti,2005,20.18
Djibouti,2010,22.03
Djibouti,2015,23.6
Djibouti,2020,25.11
Djibouti,2025,26.41
Djibouti,2030,27.74
Djibouti,2035,29.12
Djibouti,2040,30.54
Djibouti,2045,32
Djibouti,2050,33.38
Djibouti,2055,34.68
Djibouti,2060,35.9
Djibouti,2065,36.99
Djibouti,2070,37.93
Djibouti,2075,38.74
Djibouti,2080,39.48
Djibouti,2085,40.2
Djibouti,2090,40.92
Djibouti,2095,41.59
Djibouti,2100,42.21
Dominican Republic,1950,17.1
Dominican Republic,1955,16.81
Dominican Republic,1960,15.98
Dominican Republic,1965,15.53
Dominican Republic,1970,16.05
Dominican Republic,1975,17.01
Dominican Republic,1980,18.12
Dominican Republic,1985,19.16
Dominican Republic,1990,20.21
Dominican Republic,1995,21.3
Dominican Republic,2000,22.44
Dominican Republic,2005,23.55
Dominican Republic,2010,24.75
Dominican Republic,2015,26.11
Dominican Republic,2020,27.58
Dominican Republic,2025,29.07
Dominican Republic,2030,30.56
Dominican Republic,2035,32.16
Dominican Republic,2040,33.78
Dominican Republic,2045,35.44
Dominican Republic,2050,37.12
Dominican Republic,2055,38.73
Dominican Republic,2060,40.26
Dominican Republic,2065,41.69
Dominican Republic,2070,43.03
Dominican Republic,2075,44.25
Dominican Republic,2080,45.37
Dominican Republic,2085,46.34
Dominican Republic,2090,47.18
Dominican Republic,2095,47.87
Dominican Republic,2100,48.41
Eastern Africa,1950,18.41
Eastern Africa,1955,18.17
Eastern Africa,1960,17.82
Eastern Africa,1965,17.44
Eastern Africa,1970,17.15
Eastern Africa,1975,16.9
Eastern Africa,1980,16.79
Eastern Africa,1985,16.61
Eastern Africa,1990,16.57
Eastern Africa,1995,16.8
Eastern Africa,2000,16.9
Eastern Africa,2005,17.12
Eastern Africa,2010,17.46
Eastern Africa,2015,17.99
Eastern Africa,2020,18.68
Eastern Africa,2025,19.49
Eastern Africa,2030,20.42
Eastern Africa,2035,21.44
Eastern Africa,2040,22.48
Eastern Africa,2045,23.53
Eastern Africa,2050,24.59
Eastern Africa,2055,25.71
Eastern Africa,2060,26.86
Eastern Africa,2065,28
Eastern Africa,2070,29.12
Eastern Africa,2075,30.22
Eastern Africa,2080,31.34
Eastern Africa,2085,32.43
Eastern Africa,2090,33.47
Eastern Africa,2095,34.48
Eastern Africa,2100,35.47
Eastern Asia,1950,23.22
Eastern Asia,1955,22.07
Eastern Asia,1960,21.54
Eastern Asia,1965,20.54
Eastern Asia,1970,20.1
Eastern Asia,1975,21.1
Eastern Asia,1980,22.7
Eastern Asia,1985,24.27
Eastern Asia,1990,25.63
Eastern Asia,1995,27.86
Eastern Asia,2000,30.6
Eastern Asia,2005,33.33
Eastern Asia,2010,35.91
Eastern Asia,2015,37.88
Eastern Asia,2020,39.62
Eastern Asia,2025,41.53
Eastern Asia,2030,43.73
Eastern Asia,2035,46.12
Eastern Asia,2040,48.05
Eastern Asia,2045,49.51
Eastern Asia,2050,49.93
Eastern Asia,2055,50.04
Eastern Asia,2060,50.33
Eastern Asia,2065,50.88
Eastern Asia,2070,51.32
Eastern Asia,2075,51.36
Eastern Asia,2080,51.04
Eastern Asia,2085,50.7
Eastern Asia,2090,50.61
Eastern Asia,2095,50.77
Eastern Asia,2100,51.02
Eastern Europe,1950,25.88
Eastern Europe,1955,27.05
Eastern Europe,1960,27.97
Eastern Europe,1965,29.15
Eastern Europe,1970,30.87
Eastern Europe,1975,31.06
Eastern Europe,1980,31.52
Eastern Europe,1985,32.37
Eastern Europe,1990,33.6
Eastern Europe,1995,35.13
Eastern Europe,2000,36.57
Eastern Europe,2005,37.66
Eastern Europe,2010,38.63
Eastern Europe,2015,39.62
Eastern Europe,2020,40.79
Eastern Europe,2025,42.21
Eastern Europe,2030,43.77
Eastern Europe,2035,45.35
Eastern Europe,2040,45.82
Eastern Europe,2045,44.82
Eastern Europe,2050,43.87
Eastern Europe,2055,43.81
Eastern Europe,2060,44.18
Eastern Europe,2065,44.45
Eastern Europe,2070,44.32
Eastern Europe,2075,43.77
Eastern Europe,2080,43.26
Eastern Europe,2085,43.24
Eastern Europe,2090,43.62
Eastern Europe,2095,44.09
Eastern Europe,2100,44.39
Ecuador,1950,20.44
Ecuador,1955,19.25
Ecuador,1960,18.41
Ecuador,1965,17.84
Ecuador,1970,17.7
Ecuador,1975,18.1
Ecuador,1980,18.75
Ecuador,1985,19.55
Ecuador,1990,20.51
Ecuador,1995,21.64
Ecuador,2000,22.75
Ecuador,2005,23.91
Ecuador,2010,25.18
Ecuador,2015,26.65
Ecuador,2020,28.14
Ecuador,2025,29.67
Ecuador,2030,31.25
Ecuador,2035,32.78
Ecuador,2040,34.27
Ecuador,2045,35.82
Ecuador,2050,37.36
Ecuador,2055,38.87
Ecuador,2060,40.34
Ecuador,2065,41.71
Ecuador,2070,42.99
Ecuador,2075,44.15
Ecuador,2080,45.21
Ecuador,2085,46.14
Ecuador,2090,46.97
Ecuador,2095,47.7
Ecuador,2100,48.33
Egypt,1950,20.85
Egypt,1955,21
Egypt,1960,20.17
Egypt,1965,19.2
Egypt,1970,19.35
Egypt,1975,19.59
Egypt,1980,19.76
Egypt,1985,19.8
Egypt,1990,19.82
Egypt,1995,20.12
Egypt,2000,21.3
Egypt,2005,22.64
Egypt,2010,23.94
Egypt,2015,24.73
Egypt,2020,25.28
Egypt,2025,25.75
Egypt,2030,26.46
Egypt,2035,27.23
Egypt,2040,28.3
Egypt,2045,29.71
Egypt,2050,30.99
Egypt,2055,32.13
Egypt,2060,33.13
Egypt,2065,34.07
Egypt,2070,35.1
Egypt,2075,36.31
Egypt,2080,37.56
Egypt,2085,38.8
Egypt,2090,39.98
Egypt,2095,41.04
Egypt,2100,42
El Salvador,1950,18.5
El Salvador,1955,18.16
El Salvador,1960,17.6
El Salvador,1965,17.13
El Salvador,1970,17.07
El Salvador,1975,17.45
El Salvador,1980,17.93
El Salvador,1985,18.61
El Salvador,1990,19.69
El Salvador,1995,21.09
El Salvador,2000,22.24
El Salvador,2005,23.39
El Salvador,2010,24.79
El Salvador,2015,26.66
El Salvador,2020,28.63
El Salvador,2025,30.82
El Salvador,2030,33.14
El Salvador,2035,35.51
El Salvador,2040,37.73
El Salvador,2045,39.88
El Salvador,2050,41.81
El Salvador,2055,43.62
El Salvador,2060,45.32
El Salvador,2065,47.03
El Salvador,2070,48.63
El Salvador,2075,50.06
El Salvador,2080,51.11
El Salvador,2085,51.81
El Salvador,2090,52.19
El Salvador,2095,52.41
El Salvador,2100,52.61
Equatorial Guinea,1950,23.84
Equatorial Guinea,1955,23.09
Equatorial Guinea,1960,22.43
Equatorial Guinea,1965,21.75
Equatorial Guinea,1970,20.95
Equatorial Guinea,1975,17.36
Equatorial Guinea,1980,17.3
Equatorial Guinea,1985,21.19
Equatorial Guinea,1990,21.69
Equatorial Guinea,1995,20.92
Equatorial Guinea,2000,19.22
Equatorial Guinea,2005,19.27
Equatorial Guinea,2010,19.85
Equatorial Guinea,2015,20.45
Equatorial Guinea,2020,20.97
Equatorial Guinea,2025,21.53
Equatorial Guinea,2030,22.28
Equatorial Guinea,2035,23.19
Equatorial Guinea,2040,24.2
Equatorial Guinea,2045,25.32
Equatorial Guinea,2050,26.53
Equatorial Guinea,2055,27.76
Equatorial Guinea,2060,29.03
Equatorial Guinea,2065,30.33
Equatorial Guinea,2070,31.66
Equatorial Guinea,2075,32.98
Equatorial Guinea,2080,34.28
Equatorial Guinea,2085,35.57
Equatorial Guinea,2090,36.84
Equatorial Guinea,2095,38.04
Equatorial Guinea,2100,39.18
Eritrea,1950,17.29
Eritrea,1955,17.19
Eritrea,1960,17.2
Eritrea,1965,17.43
Eritrea,1970,17.38
Eritrea,1975,17.11
Eritrea,1980,16.87
Eritrea,1985,16.64
Eritrea,1990,16.41
Eritrea,1995,15.16
Eritrea,2000,16.45
Eritrea,2005,18.07
Eritrea,2010,18.51
Eritrea,2015,18.6
Eritrea,2020,19.13
Eritrea,2025,20.22
Eritrea,2030,21.68
Eritrea,2035,23.03
Eritrea,2040,24.27
Eritrea,2045,25.46
Eritrea,2050,26.66
Eritrea,2055,27.86
Eritrea,2060,29.07
Eritrea,2065,30.3
Eritrea,2070,31.59
Eritrea,2075,32.86
Eritrea,2080,34.11
Eritrea,2085,35.31
Eritrea,2090,36.47
Eritrea,2095,37.55
Eritrea,2100,38.6
Estonia,1950,29.93
Estonia,1955,30.21
Estonia,1960,32.2
Estonia,1965,33.01
Estonia,1970,33.79
Estonia,1975,34.29
Estonia,1980,33.94
Estonia,1985,34.02
Estonia,1990,34.4
Estonia,1995,36.41
Estonia,2000,37.98
Estonia,2005,39.36
Estonia,2010,40.23
Estonia,2015,41.66
Estonia,2020,42.67
Estonia,2025,43.65
Estonia,2030,44.89
Estonia,2035,46.43
Estonia,2040,47.39
Estonia,2045,46.9
Estonia,2050,45.88
Estonia,2055,46.18
Estonia,2060,46.59
Estonia,2065,46.95
Estonia,2070,47.13
Estonia,2075,46.9
Estonia,2080,46.37
Estonia,2085,46.15
Estonia,2090,46.44
Estonia,2095,46.96
Estonia,2100,47.39
Ethiopia,1950,17.91
Ethiopia,1955,17.98
Ethiopia,1960,18.12
Ethiopia,1965,18.13
Ethiopia,1970,18.01
Ethiopia,1975,17.6
Ethiopia,1980,17.59
Ethiopia,1985,16.98
Ethiopia,1990,16.81
Ethiopia,1995,16.66
Ethiopia,2000,16.61
Ethiopia,2005,16.79
Ethiopia,2010,17.47
Ethiopia,2015,18.62
Ethiopia,2020,19.95
Ethiopia,2025,21.42
Ethiopia,2030,22.87
Ethiopia,2035,24.33
Ethiopia,2040,25.89
Ethiopia,2045,27.55
Ethiopia,2050,29.22
Ethiopia,2055,30.94
Ethiopia,2060,32.66
Ethiopia,2065,34.33
Ethiopia,2070,35.95
Ethiopia,2075,37.46
Ethiopia,2080,38.86
Ethiopia,2085,40.15
Ethiopia,2090,41.33
Ethiopia,2095,42.4
Ethiopia,2100,43.37
Europe,1950,28.94
Europe,1955,29.53
Europe,1960,30.33
Europe,1965,30.85
Europe,1970,31.73
Europe,1975,32.12
Europe,1980,32.64
Europe,1985,33.51
Europe,1990,34.65
Europe,1995,36.08
Europe,2000,37.72
Europe,2005,39.16
Europe,2010,40.44
Europe,2015,41.65
Europe,2020,42.75
Europe,2025,43.87
Europe,2030,45.06
Europe,2035,46.17
Europe,2040,46.74
Europe,2045,46.63
Europe,2050,46.23
Europe,2055,46.13
Europe,2060,46.26
Europe,2065,46.41
Europe,2070,46.46
Europe,2075,46.37
Europe,2080,46.24
Europe,2085,46.26
Europe,2090,46.5
Europe,2095,46.85
Europe,2100,47.18
Fiji,1950,16.58
Fiji,1955,16
Fiji,1960,15.8
Fiji,1965,16.41
Fiji,1970,17.7
Fiji,1975,18.92
Fiji,1980,19.51
Fiji,1985,20.3
Fiji,1990,20.86
Fiji,1995,21.59
Fiji,2000,22.12
Fiji,2005,25.32
Fiji,2010,26.47
Fiji,2015,27.56
Fiji,2020,28.6
Fiji,2025,29.65
Fiji,2030,30.45
Fiji,2035,31.37
Fiji,2040,32.58
Fiji,2045,33.97
Fiji,2050,35.4
Fiji,2055,36.71
Fiji,2060,37.93
Fiji,2065,39.09
Fiji,2070,40.2
Fiji,2075,41.35
Fiji,2080,42.5
Fiji,2085,43.63
Fiji,2090,44.72
Fiji,2095,45.67
Fiji,2100,46.49
Finland,1950,27.75
Finland,1955,27.96
Finland,1960,28.37
Finland,1965,28.66
Finland,1970,29.64
Finland,1975,30.75
Finland,1980,32.79
Finland,1985,34.72
Finland,1990,36.43
Finland,1995,37.81
Finland,2000,39.36
Finland,2005,40.9
Finland,2010,42.02
Finland,2015,42.53
