Entity,Year,"Air pollution death rates (indoor solid fuels) per 100,000- IHME"
Suriname,2010,12.07087335
Suriname,2015,8.357587649
Swaziland,1990,87.61710487
Swaziland,1995,70.72410663
Swaziland,2000,87.02033665
Swaziland,2005,110.1397211
Swaziland,2010,98.97941491
Swaziland,2015,79.45300895
Sweden,1990,0
Sweden,1995,0
Sweden,2000,0
Sweden,2005,0
Sweden,2010,0
Sweden,2015,0
Switzerland,1990,0
Switzerland,1995,0
Switzerland,2000,0
Switzerland,2005,0
Switzerland,2010,0
Switzerland,2015,0
Syria,1990,2.468014281
Syria,1995,1.229270856
Syria,2000,0.604944398
Syria,2005,0.268694407
Syria,2010,0.209845257
Syria,2015,0.219275194
Taiwan,1990,0
Taiwan,1995,0
Taiwan,2000,0
Taiwan,2005,0
Taiwan,2010,0
Taiwan,2015,0
Tajikistan,1990,113.3959042
Tajikistan,1995,104.0485455
Tajikistan,2000,77.56674895
Tajikistan,2005,49.73732284
Tajikistan,2010,36.41527146
Tajikistan,2015,28.41222449
Tanzania,1990,118.5931265
Tanzania,1995,107.3317835
Tanzania,2000,89.38812534
Tanzania,2005,78.38901365
Tanzania,2010,69.78890742
Tanzania,2015,63.84107983
Thailand,1990,36.41202638
Thailand,1995,32.79290686
Thailand,2000,30.40854645
Thailand,2005,28.08074059
Thailand,2010,28.08411955
Thailand,2015,25.0838144
Timor,1990,87.66601095
Timor,1995,73.65563652
Timor,2000,66.96456112
Timor,2005,51.31136859
Timor,2010,49.53276366
Timor,2015,44.22439379
Togo,1990,101.4070469
Togo,1995,99.01493322
Togo,2000,95.14099802
Togo,2005,85.24085279
Togo,2010,76.54281217
Togo,2015,71.24085678
Tonga,1990,44.69745036
Tonga,1995,47.05008469
Tonga,2000,44.84989913
Tonga,2005,38.53328235
Tonga,2010,32.56165946
Tonga,2015,28.08156714
Trinidad and Tobago,1990,5.180666267
Trinidad and Tobago,1995,3.431537334
Trinidad and Tobago,2000,1.843942846
Trinidad and Tobago,2005,0.816538432
Trinidad and Tobago,2010,0.726962117
Trinidad and Tobago,2015,0.814310351
Tunisia,1990,9.659218631
Tunisia,1995,7.386114885
Tunisia,2000,5.177853745
Tunisia,2005,2.015430073
Tunisia,2010,0.540955261
Tunisia,2015,0.344680029
Turkey,1990,24.87852471
Turkey,1995,18.60851335
Turkey,2000,11.40538443
Turkey,2005,6.512717664
Turkey,2010,3.290777749
Turkey,2015,2.033820965
Turkmenistan,1990,6.516296708
Turkmenistan,1995,4.022867142
Turkmenistan,2000,2.27296714
Turkmenistan,2005,1.476318994
Turkmenistan,2010,0.957929842
Turkmenistan,2015,0.617727619
Uganda,1990,99.07488711
Uganda,1995,94.8923931
Uganda,2000,87.16927841
Uganda,2005,76.36045339
Uganda,2010,64.87466744
Uganda,2015,60.06789045
Ukraine,1990,54.15476044
Ukraine,1995,48.63125214
Ukraine,2000,30.72436375
Ukraine,2005,23.84918043
Ukraine,2010,15.22703969
Ukraine,2015,11.69915849
United Arab Emirates,1990,0.063059588
United Arab Emirates,1995,0.032818508
United Arab Emirates,2000,0.017003492
United Arab Emirates,2005,0.008581237
United Arab Emirates,2010,0.005918826
United Arab Emirates,2015,0.006066549
United Kingdom,1990,0
United Kingdom,1995,0
United Kingdom,2000,0
United Kingdom,2005,0
United Kingdom,2010,0
United Kingdom,2015,0
United States,1990,0
United States,1995,0
United States,2000,0
United States,2005,0
United States,2010,0
United States,2015,0
Uruguay,1990,6.152757851
Uruguay,1995,3.906562779
Uruguay,2000,2.409790613
Uruguay,2005,3.526258297
Uruguay,2010,2.473519817
Uruguay,2015,1.133653859
Uzbekistan,1990,49.01231732
Uzbekistan,1995,42.8536121
Uzbekistan,2000,30.60514282
Uzbekistan,2005,25.50627978
Uzbekistan,2010,21.61275188
Uzbekistan,2015,17.54812402
Vanuatu,1990,85.73552477
Vanuatu,1995,82.91497943
Vanuatu,2000,78.78695033
Vanuatu,2005,75.76922653
Vanuatu,2010,73.10466608
Vanuatu,2015,66.9660978
Venezuela,1990,2.104568557
Venezuela,1995,0.748409684
Venezuela,2000,0.223167353
Venezuela,2005,0.111446354
Venezuela,2010,0.118832565
Venezuela,2015,0.123062841
Vietnam,1990,56.44733319
Vietnam,1995,54.57445513
Vietnam,2000,51.40427384
Vietnam,2005,46.77455581
Vietnam,2010,37.14567865
Vietnam,2015,31.00126633
World,1990,63.68372124
World,1995,59.25084115
World,2000,55.24461158
World,2005,50.30489992
World,2010,44.00529142
World,2015,38.7212378
Yemen,1990,93.69330946
Yemen,1995,72.76633987
Yemen,2000,46.31086777
Yemen,2005,36.71569575
Yemen,2010,31.42310015
Yemen,2015,26.63933265
Zambia,1990,115.9034902
Zambia,1995,117.0955016
Zambia,2000,111.6701518
Zambia,2005,102.1139207
Zambia,2010,90.04815365
Zambia,2015,74.29839461
Zimbabwe,1990,54.59961831
Zimbabwe,1995,49.25251706
Zimbabwe,2000,59.80049027
Zimbabwe,2005,73.19799042
Zimbabwe,2010,73.4867237
Zimbabwe,2015,54.10515587
