Entity,Year,Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017)),Closing the poverty gap including/excluding China (PovcalNet (World Bank) (2017))
Macedonia,2008,5.142996,
Macedonia,2010,5.142996,
Macedonia,2011,6.4599525,
Macedonia,2012,6.1728435,
Macedonia,2013,5.5986255,
Madagascar,1981,1369.455837,
Madagascar,1984,1637.680832,
Madagascar,1987,1874.78016,
Madagascar,1990,1952.819715,
Madagascar,1993,2620.98616,
Madagascar,1996,2825.16643,
Madagascar,1999,2932.496651,
Madagascar,2002,4540.354209,
Madagascar,2005,4020.864455,
Madagascar,2008,4555.551568,
Madagascar,2010,5894.372736,
Madagascar,2011,6027.563572,
Madagascar,2012,6064.218515,
Madagascar,2013,6270.58539,
Malawi,1981,1181.309981,
Malawi,1984,1233.735113,
Malawi,1987,1683.910929,
Malawi,1990,2081.741365,
Malawi,1993,1957.54245,
Malawi,1996,1783.383102,
Malawi,1999,1941.400544,
Malawi,2002,2618.88971,
Malawi,2005,2851.585313,
Malawi,2008,3176.264675,
Malawi,2010,3395.552843,
Malawi,2011,3479.124447,
Malawi,2012,3635.486505,
Malawi,2013,3664.742496,
Malaysia,1981,69.820193,
Malaysia,1984,61.661859,
Malaysia,1987,35.902495,
Malaysia,1990,22.731543,
Malaysia,1993,20.492925,
Malaysia,1996,8.846286,
Malaysia,1999,23.821725,
Malaysia,2002,18.61354,
Malaysia,2005,19.68153,
Malaysia,2008,13.20424,
Malaysia,2010,5.850366,
Malaysia,2011,3.962659,
Malaysia,2012,4.025074,
Malaysia,2013,2.0437445,
Maldives,1981,25.5208,
Maldives,1984,23.143482,
Maldives,1987,20.22246,
Maldives,1990,16.996298,
Maldives,1993,13.631436,
Maldives,1996,10.674352,
Maldives,1999,8.34974,
Maldives,2002,6.32472,
Maldives,2005,5.681152,
Maldives,2008,3.020886,
Maldives,2010,3.5666705,
Maldives,2011,2.925183,
Maldives,2012,2.975115,
Maldives,2013,2.70465,
Mali,1981,2798.817591,
Mali,1984,3179.010242,
Mali,1987,3055.153916,
Mali,1990,3139.213744,
Mali,1993,3305.757076,
Mali,1996,3140.34831,
Mali,1999,2093.686209,
Mali,2002,1799.499348,
Mali,2005,1657.831168,
Mali,2008,1627.15905,
Mali,2010,1587.527606,
Mali,2011,1650.812948,
Mali,2012,1814.379084,
Mali,2013,1917.911006,
Mauritania,1981,170.276442,
Mauritania,1984,212.91837,
Mauritania,1987,225.0026075,
Mauritania,1990,224.699548,
Mauritania,1993,208.41062,
Mauritania,1996,96.70164,
Mauritania,1999,93.748717,
Mauritania,2002,99.664272,
Mauritania,2005,72.52623,
Mauritania,2008,64.5599955,
Mauritania,2010,63.9843905,
Mauritania,2011,58.187424,
Mauritania,2012,51.380028,
Mauritania,2013,45.088596,
Mauritius,1981,29.699831,
Mauritius,1984,24.3050945,
Mauritius,1987,11.251344,
Mauritius,1990,6.542479,
Mauritius,1993,4.27196,
Mauritius,1996,2.8995235,
Mauritius,1999,1.882159,
Mauritius,2002,1.16508,
Mauritius,2005,0.7677045,
Mauritius,2008,0.687952,
Mauritius,2010,0.7801875,
Mauritius,2011,0.866875,
Mauritius,2012,0.961191,
Mauritius,2013,0.786429,
Mexico,1981,831.5446425,
Mexico,1984,1186.767132,
Mexico,1987,1748.896734,
Mexico,1990,1757.367836,
Mexico,1993,1575.805375,
Mexico,1996,2888.145939,
Mexico,1999,2935.645141,
Mexico,2002,1830.49325,
Mexico,2005,2519.294788,
Mexico,2008,693.6657465,
Mexico,2010,789.724512,
Mexico,2011,676.1604195,
Mexico,2012,567.1921515,
Mexico,2013,635.021306,
Micronesia (country),1981,2.24694,
Micronesia (country),1984,2.479956,
Micronesia (country),1987,3.0520935,
Micronesia (country),1990,3.141555,
Micronesia (country),1993,2.253875,
Micronesia (country),1996,2.5555475,
Micronesia (country),1999,2.669975,
Micronesia (country),2002,2.1130945,
Micronesia (country),2005,2.0215525,
Micronesia (country),2008,3.016725,
Micronesia (country),2010,3.363475,
Micronesia (country),2011,3.53685,
Micronesia (country),2012,3.81425,
Micronesia (country),2013,4.403725,
Moldova,1981,0,
Moldova,1984,0,
Moldova,1987,0,
Moldova,1990,8.980825,
Moldova,1993,17.191865,
Moldova,1996,214.5557235,
Moldova,1999,320.96567,
Moldova,2002,99.916706,
Moldova,2005,82.88712,
Moldova,2008,6.1894875,
Moldova,2010,2.715746,
Moldova,2011,0.987544,
Moldova,2012,0.987544,
Moldova,2013,0.246886,
Mongolia,1981,38.152209,
Mongolia,1984,26.455638,
Mongolia,1987,19.146148,
Mongolia,1990,21.770352,
Mongolia,1993,60.027973,
Mongolia,1996,79.963324,
Mongolia,1999,96.721058,
Mongolia,2002,40.949788,
Mongolia,2005,13.685529,
Mongolia,2008,3.64781,
Mongolia,2010,1.879385,
Mongolia,2011,1.148436,
Mongolia,2012,1.169241,
Mongolia,2013,0.793364,
Montenegro,1981,4.102746,
Montenegro,1984,2.4966,
Montenegro,1987,1.3114085,
Montenegro,1990,0.761463,
Montenegro,1993,0.5499455,
Montenegro,1996,0.338428,
Montenegro,1999,0.338428,
Montenegro,2002,0.253821,
Montenegro,2005,0.2961245,
Montenegro,2008,0.171988,
Montenegro,2010,0,
Montenegro,2011,0.343976,
Montenegro,2012,2.235844,
Montenegro,2013,0.988931,
Morocco,1981,469.100044,
Morocco,1984,366.1340185,
Morocco,1987,227.110154,
Morocco,1990,115.9289275,
Morocco,1993,191.5828425,
Morocco,1996,173.927026,
Morocco,1999,272.0121985,
Morocco,2002,243.783281,
Morocco,2005,170.7112665,
Morocco,2008,100.009635,
Morocco,2010,82.3926545,
Morocco,2011,67.678665,
Morocco,2012,66.327727,
Morocco,2013,55.67418,
Mozambique,1981,4297.578584,
Mozambique,1984,5681.049362,
Mozambique,1987,5436.571194,
Mozambique,1990,5109.851555,
Mozambique,1993,5726.635891,
Mozambique,1996,5470.527035,
Mozambique,1999,5422.3378,
Mozambique,2002,5605.210283,
Mozambique,2005,5481.932336,
Mozambique,2008,5140.205356,
Mozambique,2010,5000.74528,
Mozambique,2011,4887.880929,
Mozambique,2012,4760.713834,
Mozambique,2013,4635.128613,
Namibia,1981,166.575926,
Namibia,1984,197.9117235,
Namibia,1987,228.9416875,
Namibia,1990,279.773157,
Namibia,1993,297.836058,
Namibia,1996,327.30426,
Namibia,1999,173.492895,
Namibia,2002,169.499722,
Namibia,2005,129.6588405,
Namibia,2008,103.797532,
Namibia,2010,96.593454,
Namibia,2011,92.274336,
Namibia,2012,88.299194,
Namibia,2013,83.767865,
Nepal,1981,3312.305796,
Nepal,1984,3261.289162,
Nepal,1987,3181.515857,
Nepal,1990,3302.331879,
Nepal,1993,3252.223037,
Nepal,1996,3111.949485,
Nepal,1999,2754.163126,
Nepal,2002,2480.974058,
Nepal,2005,2039.793631,
Nepal,2008,1234.366198,
Nepal,2010,594.656832,
Nepal,2011,588.099096,
Nepal,2012,339.46825,
Nepal,2013,312.661701,
Nicaragua,1981,247.611401,
Nicaragua,1984,242.762449,
Nicaragua,1987,234.09786,
Nicaragua,1990,223.94502,
Nicaragua,1993,213.5182475,
Nicaragua,1996,182.203255,
Nicaragua,1999,160.9994925,
Nicaragua,2002,157.75738,
Nicaragua,2005,134.690183,
Nicaragua,2008,148.088603,
Nicaragua,2010,125.391735,
Nicaragua,2011,114.0273505,
Nicaragua,2012,96.643386,
Nicaragua,2013,80.87597,
Niger,1981,761.3818605,
Niger,1984,1377.076015,
Niger,1987,1383.36398,
Niger,1990,1575.460012,
Niger,1993,2127.465207,
Niger,1996,2828.682475,
Niger,1999,2930.183135,
Niger,2002,3141.555,
Niger,2005,3321.136825,
Niger,2008,2568.090141,
Niger,2010,1931.806665,
Niger,2011,1635.096158,
Niger,2012,1560.974184,
Niger,2013,1720.182366,
Nigeria,1981,7058.520672,
Nigeria,1984,10061.13988,
Nigeria,1987,15892.15723,
Nigeria,1990,15444.17426,
Nigeria,1993,20194.19641,
Nigeria,1996,23959.40417,
Nigeria,1999,26667.46549,
Nigeria,2002,27392.4178,
Nigeria,2005,21077.61277,
Nigeria,2008,22867.7353,
Nigeria,2010,23780.97633,
Nigeria,2011,23680.28221,
Nigeria,2012,23789.91832,
Nigeria,2013,23490.73132,
Pakistan,1981,11913.56784,
Pakistan,1984,12962.99077,
Pakistan,1987,14063.68762,
Pakistan,1990,14216.54542,
Pakistan,1993,8796.287424,
Pakistan,1996,2737.23063,
Pakistan,1999,4161.765624,
Pakistan,2002,5772.956837,
Pakistan,2005,2956.673448,
Pakistan,2008,2126.46518,
Pakistan,2010,1698.087456,
Pakistan,2011,1385.061668,
Pakistan,2012,1156.387671,
Pakistan,2013,1281.683703,
Palestine,1981,0,
Palestine,1984,0,
Palestine,1987,0,
Palestine,1990,10.023849,
Palestine,1993,8.306743,
Palestine,1996,7.903126,
Palestine,1999,1.7788275,
Palestine,2002,3.20397,
Palestine,2005,0.690726,
Palestine,2008,5.24286,
Palestine,2010,0.7926705,
Palestine,2011,0.545091,
Palestine,2012,0.2808675,
Palestine,2013,0.578379,
Panama,1981,60.9579565,
Panama,1984,128.217054,
Panama,1987,200.793216,
Panama,1990,275.784145,
Panama,1993,213.9440565,
Panama,1996,196.0018245,
Panama,1999,174.4561665,
Panama,2002,106.70191,
Panama,2005,93.017768,
Panama,2008,37.136925,
Panama,2010,33.138204,
Panama,2011,32.921832,
Panama,2012,37.349136,
Panama,2013,21.13788,
Papua New Guinea,1981,784.286085,
Papua New Guinea,1984,883.85188,
Papua New Guinea,1987,928.8787545,
Papua New Guinea,1990,1068.589184,
Papua New Guinea,1993,890.12112,
Papua New Guinea,1996,943.523394,
Papua New Guinea,1999,1044.75775,
Papua New Guinea,2002,1120.234823,
Papua New Guinea,2005,1039.382432,
Papua New Guinea,2008,877.163766,
Papua New Guinea,2010,738.223815,
Papua New Guinea,2011,668.46465,
Papua New Guinea,2012,623.782445,
Papua New Guinea,2013,604.282612,
Paraguay,1981,11.5654995,
Paraguay,1984,10.6459185,
Paraguay,1987,9.711774,
Paraguay,1990,8.758905,
Paraguay,1993,105.474415,
Paraguay,1996,168.191781,
Paraguay,1999,146.77234,
Paraguay,2002,202.9049235,
Paraguay,2005,102.56865,
Paraguay,2008,67.969935,
Paraguay,2010,90.439335,
Paraguay,2011,84.1888195,
Paraguay,2012,50.882095,
Paraguay,2013,39.0364215,
Peru,1981,540.376587,
Peru,1984,768.2593,
Peru,1987,493.53621,
Peru,1990,994.6391985,
Peru,1993,908.256145,
Peru,1996,1261.016016,
Peru,1999,1281.579678,
Peru,2002,1058.86354,
Peru,2005,884.616117,
Peru,2008,472.711792,
Peru,2010,264.785235,
Peru,2011,235.279584,
Peru,2012,236.350348,
Peru,2013,199.282773,
Philippines,1981,1983.315684,
Philippines,1984,2423.579305,
Philippines,1987,2742.369465,
Philippines,1990,2706.626475,
Philippines,1993,3018.281908,
Philippines,1996,2462.318908,
Philippines,1999,2370.238752,
Philippines,2002,2356.458907,
Philippines,2005,2264.073611,
Philippines,2008,1709.609265,
Philippines,2010,1780.841424,
Philippines,2011,1854.661725,
Philippines,2012,1824.562438,
Philippines,2013,1596.889162,
Poland,1981,34.85531,
Poland,1984,33.267195,
Poland,1987,23.5117305,
Poland,1990,60.7873555,
Poland,1993,8.001603,
Poland,1996,131.236553,
Poland,1999,2.681071,
Poland,2002,2.6512505,
Poland,2005,5.294179,
Poland,2008,0,
Poland,2010,0,
Poland,2011,0,
Poland,2012,0,
Poland,2013,0,
Romania,1981,23.322405,
Romania,1984,28.286478,
Romania,1987,36.6063975,
Romania,1990,45.04976,
Romania,1993,243.074524,
Romania,1996,379.624674,
Romania,1999,205.694874,
Romania,2002,182.3440355,
Romania,2005,39.920634,
Romania,2008,0,
Romania,2010,0,
Romania,2011,0,
Romania,2012,0,
Romania,2013,0,
Russia,1981,116.458068,
Russia,1984,168.2951125,
Russia,1987,263.090321,
Russia,1990,452.492106,
Russia,1993,247.196688,
Russia,1996,626.768656,
Russia,1999,837.139107,
Russia,2002,141.081479,
Russia,2005,149.29668,
Russia,2008,19.798038,
Russia,2010,29.7199425,
Russia,2011,9.914276,
Russia,2012,9.93092,
Russia,2013,9.9524185,
Rwanda,1981,604.664037,
Rwanda,1984,786.195984,
Rwanda,1987,1068.987253,
Rwanda,1990,1374.50313,
Rwanda,1993,1196.24589,
Rwanda,1996,1655.335955,
Rwanda,1999,2027.037392,
Rwanda,2002,2017.792343,
Rwanda,2005,2024.49294,
Rwanda,2008,1845.247463,
Rwanda,2010,1781.174304,
Rwanda,2011,1732.706976,
Rwanda,2012,1729.595935,
Rwanda,2013,1826.482046,
Saint Lucia,1981,26.25591,
Saint Lucia,1984,23.34321,
Saint Lucia,1987,23.836982,
Saint Lucia,1990,15.272257,
Saint Lucia,1993,13.359584,
Saint Lucia,1996,12.85749,
Saint Lucia,1999,12.582864,
Saint Lucia,2002,13.082184,
Saint Lucia,2005,11.883816,
Saint Lucia,2008,10.398339,
Saint Lucia,2010,12.096027,
Saint Lucia,2011,12.170925,
Saint Lucia,2012,12.632796,
Saint Lucia,2013,12.782592,
Samoa,1981,1.952896,
Samoa,1984,1.930704,
Samoa,1987,1.33152,
Samoa,1990,1.55344,
Samoa,1993,1.7330565,
Samoa,1996,1.1907395,
Samoa,1999,0.990318,
Samoa,2002,0.436905,
Samoa,2005,0.212211,
Samoa,2008,0.137313,
Samoa,2010,0.210824,
Samoa,2011,0.158118,
Samoa,2012,0.158118,
Samoa,2013,0.184471,
Sao Tome and Principe,1981,9.285965,
Sao Tome and Principe,1984,8.61327,
Sao Tome and Principe,1987,8.7651465,
Sao Tome and Principe,1990,8.0785815,
Sao Tome and Principe,1993,8.105628,
Sao Tome and Principe,1996,8.059857,
Sao Tome and Principe,1999,7.374679,
Sao Tome and Principe,2002,8.854608,
Sao Tome and Principe,2005,9.715935,
Sao Tome and Principe,2008,9.242968,
Sao Tome and Principe,2010,10.1507595,
Sao Tome and Principe,2011,9.4433895,
Sao Tome and Principe,2012,9.349767,
Sao Tome and Principe,2013,8.825481,
Senegal,1981,1351.495574,
Senegal,1984,1517.898125,
Senegal,1987,1618.011785,
Senegal,1990,1883.800515,
Senegal,1993,1594.676897,
Senegal,1996,1300.736922,
Senegal,1999,1170.842985,
Senegal,2002,1207.635934,
Senegal,2005,1010.575829,
Senegal,2008,1044.073266,
Senegal,2010,1112.684688,
Senegal,2011,1189.646544,
Senegal,2012,1203.154537,
Senegal,2013,1230.723936,
Serbia,1981,43.166214,
Serbia,1984,28.049301,
Serbia,1987,18.874296,
Serbia,1990,12.632796,
Serbia,1993,8.009925,
Serbia,1996,4.756023,
Serbia,1999,4.183192,
Serbia,2002,1.560375,
Serbia,2005,13.931028,
Serbia,2008,1.5291675,
Serbia,2010,0.5055615,
Serbia,2011,1.002801,
Serbia,2012,1.49796,
Serbia,2013,1.986184,
Seychelles,1981,0.4029235,
Seychelles,1984,0.417487,
Seychelles,1987,0.2961245,
Seychelles,1990,0.165053,
Seychelles,1993,0.1019445,
Seychelles,1996,0.127604,
Seychelles,1999,0.061028,
Seychelles,2002,0.061028,
Seychelles,2005,0.05548,
Seychelles,2008,0.0312075,
Seychelles,2010,0.362007,
Seychelles,2011,0.312075,
Seychelles,2012,0.287109,
Seychelles,2013,0.2683845,
Sierra Leone,1981,959.85948,
Sierra Leone,1984,1027.388349,
Sierra Leone,1987,1145.628712,
Sierra Leone,1990,1256.979846,
Sierra Leone,1993,1160.287222,
Sierra Leone,1996,1026.318972,
Sierra Leone,1999,975.747565,
Sierra Leone,2002,793.598403,
Sierra Leone,2005,725.3600835,
Sierra Leone,2008,713.561568,
Sierra Leone,2010,695.462605,
Sierra Leone,2011,684.463695,
Sierra Leone,2012,530.713358,
Sierra Leone,2013,345.437898,
Slovakia,1981,0,
Slovakia,1984,0,
Slovakia,1987,0,
Slovakia,1990,0,
Slovakia,1993,1.478542,
Slovakia,1996,2.6068665,
Slovakia,1999,20.97144,
Slovakia,2002,40.295124,
Slovakia,2005,0.3724095,
Slovakia,2008,0,
Slovakia,2010,7.47593,
Slovakia,2011,7.86429,
Slovakia,2012,4.502202,
Slovakia,2013,4.502202,
Slovenia,1981,0.3973755,
Slovenia,1984,0.4015365,
Slovenia,1987,0.276013,
Slovenia,1990,0.4161,
Slovenia,1993,0.552026,
Slovenia,1996,1.104052,
Slovenia,1999,0.274626,
Slovenia,2002,0,
Slovenia,2005,0.6935,
Slovenia,2008,0.420261,
Slovenia,2010,0.7108375,
Slovenia,2011,0,
Slovenia,2012,0,
Slovenia,2013,0.142861,
Solomon Islands,1981,0,
Solomon Islands,1984,0,
Solomon Islands,1987,0,
Solomon Islands,1990,30.828849,
Solomon Islands,1993,26.455638,
Solomon Islands,1996,23.760697,
Solomon Islands,1999,30.31982,
Solomon Islands,2002,59.521718,
Solomon Islands,2005,56.649241,
Solomon Islands,2008,47.64345,
Solomon Islands,2010,52.92792,
Solomon Islands,2011,44.901351,
Solomon Islands,2012,43.63502,
Solomon Islands,2013,43.651664,
South Africa,1981,1142.177163,
South Africa,1984,1409.168421,
South Africa,1987,1794.984663,
South Africa,1990,1940.6904,
South Africa,1993,2473.814364,
South Africa,1996,3570.138,
South Africa,1999,3732.533508,
South Africa,2002,3580.62372,
South Africa,2005,3015.92054,
South Africa,2008,1788.113465,
South Africa,2010,1778.054248,
South Africa,2011,1751.746325,
South Africa,2012,1750.222012,
South Africa,2013,1752.145088,
South Sudan,1981,847.9320475,
South Sudan,1984,900.3675825,
South Sudan,1987,929.882249,
South Sudan,1990,916.75152,
South Sudan,1993,844.444436,
South Sudan,1996,831.99195,
South Sudan,1999,922.74336,
South Sudan,2002,1007.815005,
South Sudan,2005,1089.7659,
South Sudan,2008,1196.310386,
South Sudan,2010,1303.928409,
South Sudan,2011,1524.792902,
South Sudan,2012,3087.732465,
South Sudan,2013,3007.095753,
Sri Lanka,1981,424.29717,
Sri Lanka,1984,316.578589,
Sri Lanka,1987,248.166201,
Sri Lanka,1990,188.335182,
Sri Lanka,1993,193.0433535,
Sri Lanka,1996,207.109614,
Sri Lanka,1999,197.898547,
Sri Lanka,2002,185.201949,
Sri Lanka,2005,110.151379,
Sri Lanka,2008,61.853265,
Sri Lanka,2010,55.81288,
Sri Lanka,2011,50.606082,
Sri Lanka,2012,41.067683,
Sri Lanka,2013,38.535021,
Sudan,1981,1401.828417,
Sudan,1984,1791.56016,
Sudan,1987,1826.879422,
Sudan,1990,2235.574229,
Sudan,1993,2157.984062,
Sudan,1996,2250.322893,
Sudan,1999,2014.93651,
Sudan,2002,1732.824178,
Sudan,2005,1477.525329,
Sudan,2008,960.978789,
Sudan,2010,976.649115,
Sudan,2011,824.449444,
Sudan,2012,656.4123135,
Sudan,2013,649.140966,
Suriname,1981,37.19934,
Suriname,1984,39.51563,
Suriname,1987,44.431158,
Suriname,1990,45.7495015,
Suriname,1993,49.7704145,
Suriname,1996,51.991695,
Suriname,1999,55.124928,
Suriname,2002,55.05003,
Suriname,2005,51.7538245,
Suriname,2008,52.274643,
Suriname,2010,52.398086,
Suriname,2011,51.821094,
Suriname,2012,52.5236095,
Suriname,2013,52.3030765,
Swaziland,1981,276.90068,
Swaziland,1984,304.593522,
Swaziland,1987,320.2368015,
Swaziland,1990,310.908533,
Swaziland,1993,334.473663,
Swaziland,1996,241.880317,
Swaziland,1999,156.0479025,
Swaziland,2002,130.397418,
Swaziland,2005,128.387655,
Swaziland,2008,128.9597925,
Swaziland,2010,137.324096,
Swaziland,2011,140.2194585,
Swaziland,2012,139.551618,
Swaziland,2013,138.7866875,
Tajikistan,1981,17.327791,
Tajikistan,1984,18.91868,
Tajikistan,1987,22.87163,
Tajikistan,1990,26.831515,
Tajikistan,1993,180.063114,
Tajikistan,1996,813.188391,
Tajikistan,1999,738.6752835,
Tajikistan,2002,455.6468375,
Tajikistan,2005,168.6016395,
Tajikistan,2008,103.574225,
Tajikistan,2010,155.599208,
Tajikistan,2011,234.33365,
Tajikistan,2012,286.5216055,
Tajikistan,2013,274.465108,
Tanzania,1981,4139.562528,
Tanzania,1984,4434.406827,
Tanzania,1987,4733.44264,
Tanzania,1990,4836.118089,
Tanzania,1993,6285.243206,
Tanzania,1996,8174.997418,
Tanzania,1999,9887.110218,
Tanzania,2002,9161.706444,
Tanzania,2005,6416.106656,
Tanzania,2008,5371.484832,
Tanzania,2010,5141.30386,
Tanzania,2011,4895.122456,
Tanzania,2012,4797.653805,
Tanzania,2013,4526.68255,
Thailand,1981,1679.541879,
Thailand,1984,1410.702443,
Thailand,1987,1115.566874,
Thailand,1990,698.440494,
Thailand,1993,323.11552,
Thailand,1996,141.191052,
Thailand,1999,154.714302,
Thailand,2002,97.858398,
Thailand,2005,50.241301,
Thailand,2008,9.216615,
Thailand,2010,4.6249515,
Thailand,2011,4.639515,
Thailand,2012,4.657546,
Thailand,2013,0,
Timor,1981,361.725439,
Timor,1984,377.530304,
Timor,1987,373.2417,
Timor,1990,349.687666,
Timor,1993,312.597899,
Timor,1996,231.943849,
Timor,1999,131.421024,
Timor,2002,81.595823,
Timor,2005,88.895604,
Timor,2008,88.2166675,
Timor,2010,57.87951,
Timor,2011,55.846168,
Timor,2012,35.250605,
Timor,2013,34.697192,
Togo,1981,251.776562,
Togo,1984,376.287552,
Togo,1987,435.566545,
Togo,1990,463.117913,
Togo,1993,780.087636,
Togo,1996,596.106247,
Togo,1999,582.4013,
Togo,2002,765.317473,
Togo,2005,831.218004,
Togo,2008,949.061685,
Togo,2010,1040.064836,
Togo,2011,1057.51607,
Togo,2012,1044.8271,
Togo,2013,1033.280325,
Tonga,1981,1.2795075,
Tonga,1984,1.061055,
Tonga,1987,0.823878,
Tonga,1990,1.01251,
Tonga,1993,0.811395,
Tonga,1996,0.672695,
Tonga,1999,0.59641,
Tonga,2002,0.42997,
Tonga,2005,0.284335,
Tonga,2008,0.20805,
Tonga,2010,0.1387,
Tonga,2011,0.131765,
Tonga,2012,0.131765,
Tonga,2013,0.1601985,
Trinidad and Tobago,1981,0,
Trinidad and Tobago,1984,0,
Trinidad and Tobago,1987,0,
Trinidad and Tobago,1990,5.584062,
Trinidad and Tobago,1993,7.051508,
Trinidad and Tobago,1996,9.000243,
Trinidad and Tobago,1999,4.281669,
Trinidad and Tobago,2002,3.461952,
Trinidad and Tobago,2005,1.62279,
Trinidad and Tobago,2008,1.739298,
Trinidad and Tobago,2010,1.9369455,
Trinidad and Tobago,2011,1.475768,
Trinidad and Tobago,2012,1.208077,
Trinidad and Tobago,2013,1.2170925,
Tunisia,1981,178.334912,
Tunisia,1984,164.531488,
Tunisia,1987,175.76064,
Tunisia,1990,137.90941,
Tunisia,1993,147.393716,
Tunisia,1996,139.3165215,
Tunisia,1999,82.006375,
Tunisia,2002,58.149975,
Tunisia,2005,46.6038935,
Tunisia,2008,36.5356605,
Tunisia,2010,31.4606275,
Tunisia,2011,23.678864,
Tunisia,2012,17.942232,
Tunisia,2013,12.8387655,
Turkey,1981,252.443709,
Turkey,1984,203.649049,
Turkey,1987,134.848301,
Turkey,1990,161.0008795,
Turkey,1993,161.2463785,
Turkey,1996,164.9143,
Turkey,1999,112.33313,
Turkey,2002,99.368841,
Turkey,2005,225.892368,
Turkey,2008,87.805422,
Turkey,2010,50.146985,
Turkey,2011,5.098612,
Turkey,2012,5.1908475,
Turkey,2013,31.715142,
Turkmenistan,1981,315.9690025,
Turkmenistan,1984,265.201335,
Turkmenistan,1987,271.771554,
Turkmenistan,1990,97.4790535,
Turkmenistan,1993,188.4371265,
Turkmenistan,1996,366.3060065,
Turkmenistan,1999,337.3079975,
Turkmenistan,2002,301.46445,
Turkmenistan,2005,207.8592875,
Turkmenistan,2008,80.18247,
Turkmenistan,2010,49.981932,
Turkmenistan,2011,28.35028,
Turkmenistan,2012,17.5684355,
Turkmenistan,2013,11.265214,
Tuvalu,1981,0.3349605,
Tuvalu,1984,0.255208,
Tuvalu,1987,0.187245,
Tuvalu,1990,0.133152,
Tuvalu,1993,0.0936225,
Tuvalu,1996,0.104025,
Tuvalu,1999,0.045771,
Tuvalu,2002,0.036062,
Tuvalu,2005,0.052706,
Tuvalu,2008,0.030514,
Tuvalu,2010,0.040223,
Tuvalu,2011,0.030514,
Tuvalu,2012,0.030514,
Tuvalu,2013,0.029127,
Uganda,1981,4643.089299,
Uganda,1984,5027.81952,
Uganda,1987,5912.813595,
Uganda,1990,4882.682453,
Uganda,1993,3660.526016,
Uganda,1996,3315.129728,
Uganda,1999,4027.963121,
Uganda,2002,4349.304668,
Uganda,2005,3959.152664,
Uganda,2008,3109.685901,
Uganda,2010,2908.174913,
Uganda,2011,2672.922375,
Uganda,2012,2550.73461,
Uganda,2013,2612.213385,
Ukraine,1981,107.965467,
Ukraine,1984,91.507325,
Ukraine,1987,78.253153,
Ukraine,1990,100.760002,
Ukraine,1993,101.323124,
Ukraine,1996,520.528617,
Ukraine,1999,568.3613925,
Ukraine,2002,103.62277,
Ukraine,2005,13.068314,
Ukraine,2008,0,
Ukraine,2010,0,
Ukraine,2011,0,
Ukraine,2012,0,
Ukraine,2013,0,
Uruguay,1981,0,
Uruguay,1984,3.732417,
Uruguay,1987,2.3266925,
Uruguay,1990,4.31357,
Uruguay,1993,3.749061,
Uruguay,1996,3.6062,
Uruguay,1999,3.4432275,
Uruguay,2002,8.313678,
Uruguay,2005,5.7733875,
Uruguay,2008,1.393935,
Uruguay,2010,1.869676,
Uruguay,2011,2.350965,
Uruguay,2012,2.59369,
Uruguay,2013,2.6013185,
Uzbekistan,1981,0,
Uzbekistan,1984,0,
Uzbekistan,1987,0,
Uzbekistan,1990,0,
Uzbekistan,1993,2883.316405,
Uzbekistan,1996,3476.539079,
Uzbekistan,1999,3987.149953,
Uzbekistan,2002,3922.037931,
Uzbekistan,2005,3725.968144,
Uzbekistan,2008,2512.349385,
Uzbekistan,2010,1994.500452,
Uzbekistan,2011,1792.596249,
Uzbekistan,2012,1542.218477,
Uzbekistan,2013,1333.783584,
Vanuatu,1981,2.95431,
Vanuatu,1984,3.2005025,
Vanuatu,1987,3.446695,
Vanuatu,1990,3.6928875,
Vanuatu,1993,3.93908,
Vanuatu,1996,4.197062,
Vanuatu,1999,4.443948,
Vanuatu,2002,4.690834,
Vanuatu,2005,5.184606,
Vanuatu,2008,6.0133385,
Vanuatu,2010,6.208212,
Vanuatu,2011,6.07506,
Vanuatu,2012,6.206825,
Vanuatu,2013,5.9814375,
Venezuela,1981,6.557736,
Venezuela,1984,16.563554,
Venezuela,1987,2.557628,
Venezuela,1990,644.572188,
Venezuela,1993,461.481253,
Venezuela,1996,865.4984025,
Venezuela,1999,886.198684,
Venezuela,2002,1662.84656,
Venezuela,2005,2311.341878,
Venezuela,2008,1248.07808,
Venezuela,2010,1319.3144,
Venezuela,2011,1328.671796,
Venezuela,2012,1324.8624,
Venezuela,2013,1333.44793,
Vietnam,1981,15304.55746,
Vietnam,1984,13438.69224,
Vietnam,1987,11481.01386,
Vietnam,1990,9294.32861,
Vietnam,1993,7041.460572,
Vietnam,1996,5276.59184,
Vietnam,1999,4717.24248,
Vietnam,2002,5720.194663,
Vietnam,2005,3571.091563,
Vietnam,2008,2396.647232,
Vietnam,2010,596.8309545,
Vietnam,2011,475.261098,
Vietnam,2012,357.220463,
Vietnam,2013,379.716216,
World,1981,557044.1924,
World,1984,473222.8738,
World,1987,420562.2065,
World,1990,442063.5373,
World,1993,441609.0521,
World,1996,374860.7451,
World,1999,383501.3938,
World,2002,354533.0971,
World,2005,280147.6734,
World,2008,248009.0366,
World,2010,220295.3701,
World,2011,193871.4341,
World,2012,180514.0665,
World,2013,160850.279,
World no China,1981,,259351.6257
World no China,1984,,261752.7377
World no China,1987,,257200.0344
World no China,1990,,250209.673
