Entity,Year,Fertility (UN Population Division (2015 revision))
Guinea,2015,5.13
Guinea-Bissau,1955,5.9
Guinea-Bissau,1960,5.9
Guinea-Bissau,1965,5.95
Guinea-Bissau,1970,6
Guinea-Bissau,1975,6.1
Guinea-Bissau,1980,6.25
Guinea-Bissau,1985,6.7
Guinea-Bissau,1990,6.68
Guinea-Bissau,1995,6.5
Guinea-Bissau,2000,6.05
Guinea-Bissau,2005,5.6
Guinea-Bissau,2010,5.23
Guinea-Bissau,2015,4.95
Guyana,1955,5.62
Guyana,1960,5.87
Guyana,1965,5.56
Guyana,1970,5.28
Guyana,1975,5
Guyana,1980,4.52
Guyana,1985,4.11
Guyana,1990,3.77
Guyana,1995,3.44
Guyana,2000,3.12
Guyana,2005,2.95
Guyana,2010,2.77
Guyana,2015,2.6
Haiti,1955,6.3
Haiti,1960,6.3
Haiti,1965,6.3
Haiti,1970,6
Haiti,1975,5.6
Haiti,1980,5.8
Haiti,1985,6.21
Haiti,1990,5.7
Haiti,1995,5.15
Haiti,2000,4.62
Haiti,2005,4
Haiti,2010,3.55
Haiti,2015,3.13
High-income countries,1955,2.97
High-income countries,1960,3.03
High-income countries,1965,2.94
High-income countries,1970,2.6
High-income countries,1975,2.34
High-income countries,1980,2.07
High-income countries,1985,1.98
High-income countries,1990,1.91
High-income countries,1995,1.8
High-income countries,2000,1.71
High-income countries,2005,1.69
High-income countries,2010,1.76
High-income countries,2015,1.75
Honduras,1955,7.5
Honduras,1960,7.5
Honduras,1965,7.42
Honduras,1970,7.42
Honduras,1975,7.05
Honduras,1980,6.6
Honduras,1985,6
Honduras,1990,5.37
Honduras,1995,4.92
Honduras,2000,4.34
Honduras,2005,3.63
Honduras,2010,2.99
Honduras,2015,2.47
Hong Kong,1955,4.44
Hong Kong,1960,4.72
Hong Kong,1965,5.31
Hong Kong,1970,3.65
Hong Kong,1975,3.29
Hong Kong,1980,2.31
Hong Kong,1985,1.72
Hong Kong,1990,1.36
Hong Kong,1995,1.24
Hong Kong,2000,0.87
Hong Kong,2005,0.96
Hong Kong,2010,1.03
Hong Kong,2015,1.2
Hungary,1955,2.69
Hungary,1960,2.32
Hungary,1965,1.86
Hungary,1970,1.99
Hungary,1975,2.06
Hungary,1980,2.13
Hungary,1985,1.82
Hungary,1990,1.86
Hungary,1995,1.74
Hungary,2000,1.38
Hungary,2005,1.3
Hungary,2010,1.33
Hungary,2015,1.34
Iceland,1955,3.86
Iceland,1960,4.17
Iceland,1965,3.94
Iceland,1970,3.24
Iceland,1975,2.87
Iceland,1980,2.45
Iceland,1985,2.23
Iceland,1990,2.12
Iceland,1995,2.19
Iceland,2000,2.06
Iceland,2005,1.99
Iceland,2010,2.13
Iceland,2015,1.96
India,1955,5.9
India,1960,5.9
India,1965,5.89
India,1970,5.72
India,1975,5.41
India,1980,4.97
India,1985,4.68
India,1990,4.27
India,1995,3.83
India,2000,3.48
India,2005,3.14
India,2010,2.8
India,2015,2.48
Indonesia,1955,5.49
Indonesia,1960,5.67
Indonesia,1965,5.62
Indonesia,1970,5.57
Indonesia,1975,5.3
Indonesia,1980,4.73
Indonesia,1985,4.11
Indonesia,1990,3.4
Indonesia,1995,2.9
Indonesia,2000,2.55
Indonesia,2005,2.48
Indonesia,2010,2.5
Indonesia,2015,2.5
Iran,1955,6.91
Iran,1960,6.91
Iran,1965,6.91
Iran,1970,6.68
Iran,1975,6.24
Iran,1980,6.28
Iran,1985,6.53
Iran,1990,5.62
Iran,1995,3.95
Iran,2000,2.63
Iran,2005,1.97
Iran,2010,1.79
Iran,2015,1.75
Iraq,1955,7.3
Iraq,1960,6.2
Iraq,1965,6.6
Iraq,1970,7.4
Iraq,1975,7.15
Iraq,1980,6.8
Iraq,1985,6.35
Iraq,1990,6.09
Iraq,1995,5.65
Iraq,2000,5.19
Iraq,2005,4.66
Iraq,2010,4.64
Iraq,2015,4.64
Ireland,1955,3.42
Ireland,1960,3.58
Ireland,1965,4.07
Ireland,1970,3.77
Ireland,1975,3.82
Ireland,1980,3.25
Ireland,1985,2.76
Ireland,1990,2.18
Ireland,1995,1.91
Ireland,2000,1.94
Ireland,2005,1.97
Ireland,2010,2
Ireland,2015,2.01
Israel,1955,4.28
Israel,1960,3.89
Israel,1965,3.85
Israel,1970,3.78
Israel,1975,3.81
Israel,1980,3.47
Israel,1985,3.13
Israel,1990,3.07
Israel,1995,2.93
Israel,2000,2.93
Israel,2005,2.91
Israel,2010,2.91
Israel,2015,3.05
Italy,1955,2.36
Italy,1960,2.29
Italy,1965,2.5
Italy,1970,2.5
Italy,1975,2.32
Italy,1980,1.89
Italy,1985,1.52
Italy,1990,1.35
Italy,1995,1.27
Italy,2000,1.22
Italy,2005,1.3
Italy,2010,1.42
Italy,2015,1.43
Jamaica,1955,4.22
Jamaica,1960,5.08
Jamaica,1965,5.64
Jamaica,1970,5.78
Jamaica,1975,5
Jamaica,1980,4
Jamaica,1985,3.55
Jamaica,1990,3.1
Jamaica,1995,2.84
Jamaica,2000,2.7
Jamaica,2005,2.45
Jamaica,2010,2.28
Jamaica,2015,2.08
Japan,1955,3
Japan,1960,2.16
Japan,1965,1.99
Japan,1970,2.02
Japan,1975,2.13
Japan,1980,1.83
Japan,1985,1.75
Japan,1990,1.66
Japan,1995,1.48
Japan,2000,1.37
Japan,2005,1.3
Japan,2010,1.34
Japan,2015,1.4
Jordan,1955,7.38
Jordan,1960,7.38
Jordan,1965,8
Jordan,1970,8
Jordan,1975,7.79
Jordan,1980,7.38
Jordan,1985,7.05
Jordan,1990,6.02
Jordan,1995,5.09
Jordan,2000,4.34
Jordan,2005,3.85
Jordan,2010,3.59
Jordan,2015,3.51
Kazakhstan,1955,4.41
Kazakhstan,1960,4.56
Kazakhstan,1965,4.43
Kazakhstan,1970,3.67
Kazakhstan,1975,3.46
Kazakhstan,1980,3.06
Kazakhstan,1985,2.96
Kazakhstan,1990,3.03
Kazakhstan,1995,2.55
Kazakhstan,2000,2
Kazakhstan,2005,2.01
Kazakhstan,2010,2.54
Kazakhstan,2015,2.64
Kenya,1955,7.48
Kenya,1960,7.79
Kenya,1965,8.07
Kenya,1970,8.11
Kenya,1975,7.99
Kenya,1980,7.64
Kenya,1985,7.22
Kenya,1990,6.54
Kenya,1995,5.57
Kenya,2000,5.07
Kenya,2005,5
Kenya,2010,4.8
Kenya,2015,4.44
Kiribati,1955,6.1
Kiribati,1960,6.6
Kiribati,1965,6.78
Kiribati,1970,6.04
Kiribati,1975,5
Kiribati,1980,5.1
Kiribati,1985,5
Kiribati,1990,4.8
Kiribati,1995,4.55
Kiribati,2000,4.2
Kiribati,2005,3.96
Kiribati,2010,3.88
Kiribati,2015,3.79
Kuwait,1955,7.2
Kuwait,1960,7.2
Kuwait,1965,7.3
Kuwait,1970,7.4
Kuwait,1975,6.95
Kuwait,1980,5.9
Kuwait,1985,5
Kuwait,1990,3.15
Kuwait,1995,2.4
Kuwait,2000,3
Kuwait,2005,2.6
Kuwait,2010,2.55
Kuwait,2015,2.15
Kyrgyzstan,1955,4.51
Kyrgyzstan,1960,4.83
Kyrgyzstan,1965,5.39
Kyrgyzstan,1970,5.01
Kyrgyzstan,1975,4.73
Kyrgyzstan,1980,4.05
Kyrgyzstan,1985,4.1
Kyrgyzstan,1990,4.02
Kyrgyzstan,1995,3.61
Kyrgyzstan,2000,2.99
Kyrgyzstan,2005,2.5
Kyrgyzstan,2010,2.78
Kyrgyzstan,2015,3.12
Laos,1955,5.94
Laos,1960,5.96
Laos,1965,5.97
Laos,1970,5.98
Laos,1975,5.99
Laos,1980,6.15
Laos,1985,6.36
Laos,1990,6.27
Laos,1995,5.88
Laos,2000,4.81
Laos,2005,3.9
Laos,2010,3.5
Laos,2015,3.1
Latin America and the Carribean,1955,5.89
Latin America and the Carribean,1960,5.9
Latin America and the Carribean,1965,5.94
Latin America and the Carribean,1970,5.53
Latin America and the Carribean,1975,5.03
Latin America and the Carribean,1980,4.48
Latin America and the Carribean,1985,3.95
Latin America and the Carribean,1990,3.43
Latin America and the Carribean,1995,3.01
Latin America and the Carribean,2000,2.75
Latin America and the Carribean,2005,2.52
Latin America and the Carribean,2010,2.27
Latin America and the Carribean,2015,2.15
Latvia,1955,2
Latvia,1960,1.95
Latvia,1965,1.85
Latvia,1970,1.81
Latvia,1975,2
Latvia,1980,1.87
Latvia,1985,2.03
Latvia,1990,2.13
Latvia,1995,1.63
Latvia,2000,1.17
Latvia,2005,1.29
Latvia,2010,1.49
Latvia,2015,1.48
Least developed countries,1955,6.56
Least developed countries,1960,6.61
Least developed countries,1965,6.7
Least developed countries,1970,6.74
Least developed countries,1975,6.73
Least developed countries,1980,6.67
Least developed countries,1985,6.53
Least developed countries,1990,6.19
Least developed countries,1995,5.77
Least developed countries,2000,5.39
Least developed countries,2005,5.01
Least developed countries,2010,4.62
Least developed countries,2015,4.27
Lebanon,1955,5.74
Lebanon,1960,5.72
Lebanon,1965,5.69
Lebanon,1970,5.23
Lebanon,1975,4.67
Lebanon,1980,4.23
Lebanon,1985,3.75
Lebanon,1990,3.23
Lebanon,1995,2.8
Lebanon,2000,2.43
Lebanon,2005,2.01
Lebanon,2010,1.58
Lebanon,2015,1.72
Lesotho,1955,5.84
Lesotho,1960,5.86
Lesotho,1965,5.81
Lesotho,1970,5.8
Lesotho,1975,5.8
Lesotho,1980,5.69
Lesotho,1985,5.46
Lesotho,1990,5.14
Lesotho,1995,4.7
Lesotho,2000,4.37
Lesotho,2005,3.79
Lesotho,2010,3.37
Lesotho,2015,3.26
Less developed regions,1955,6.08
Less developed regions,1960,5.94
Less developed regions,1965,6.13
Less developed regions,1970,6.03
Less developed regions,1975,5.42
Less developed regions,1980,4.59
Less developed regions,1985,4.17
Less developed regions,1990,3.92
Less developed regions,1995,3.39
Less developed regions,2000,3
Less developed regions,2005,2.83
Less developed regions,2010,2.72
Less developed regions,2015,2.65
"Less developed regions, excluding China",1955,6.06
"Less developed regions, excluding China",1960,6.14
"Less developed regions, excluding China",1965,6.13
"Less developed regions, excluding China",1970,5.96
"Less developed regions, excluding China",1975,5.68
"Less developed regions, excluding China",1980,5.27
"Less developed regions, excluding China",1985,4.92
"Less developed regions, excluding China",1990,4.46
"Less developed regions, excluding China",1995,4
"Less developed regions, excluding China",2000,3.63
"Less developed regions, excluding China",2005,3.34
"Less developed regions, excluding China",2010,3.13
"Less developed regions, excluding China",2015,2.98
"Less developed regions, excluding least developed countries",1955,6.01
"Less developed regions, excluding least developed countries",1960,5.85
"Less developed regions, excluding least developed countries",1965,6.05
"Less developed regions, excluding least developed countries",1970,5.94
"Less developed regions, excluding least developed countries",1975,5.25
"Less developed regions, excluding least developed countries",1980,4.32
"Less developed regions, excluding least developed countries",1985,3.87
"Less developed regions, excluding least developed countries",1990,3.64
"Less developed regions, excluding least developed countries",1995,3.09
"Less developed regions, excluding least developed countries",2000,2.69
"Less developed regions, excluding least developed countries",2005,2.52
"Less developed regions, excluding least developed countries",2010,2.42
"Less developed regions, excluding least developed countries",2015,2.37
Liberia,1955,6.27
Liberia,1960,6.35
Liberia,1965,6.47
Liberia,1970,6.59
Liberia,1975,6.8
Liberia,1980,6.93
Liberia,1985,6.96
Liberia,1990,6.72
Liberia,1995,6.27
Liberia,2000,6.05
Liberia,2005,5.68
Liberia,2010,5.23
Liberia,2015,4.83
Libya,1955,7.14
Libya,1960,7.2
Libya,1965,7.3
Libya,1970,7.99
Libya,1975,8.1
Libya,1980,7.67
Libya,1985,6.68
Libya,1990,5.71
Libya,1995,4.22
Libya,2000,3.25
Libya,2005,2.75
Libya,2010,2.66
Libya,2015,2.53
Lithuania,1955,2.71
Lithuania,1960,2.66
Lithuania,1965,2.43
Lithuania,1970,2.3
Lithuania,1975,2.3
Lithuania,1980,2.1
Lithuania,1985,2.04
Lithuania,1990,2.06
Lithuania,1995,1.82
Lithuania,2000,1.47
Lithuania,2005,1.28
Lithuania,2010,1.42
Lithuania,2015,1.57
Low-income countries,1955,6.39
Low-income countries,1960,6.52
Low-income countries,1965,6.47
Low-income countries,1970,6.56
Low-income countries,1975,6.57
Low-income countries,1980,6.47
Low-income countries,1985,6.53
Low-income countries,1990,6.44
Low-income countries,1995,6.23
Low-income countries,2000,6
Low-income countries,2005,5.67
Low-income countries,2010,5.31
Low-income countries,2015,4.89
Lower-middle-income countries,1955,5.82
Lower-middle-income countries,1960,5.89
Lower-middle-income countries,1965,5.89
Lower-middle-income countries,1970,5.79
Lower-middle-income countries,1975,5.58
Lower-middle-income countries,1980,5.25
Lower-middle-income countries,1985,4.93
Lower-middle-income countries,1990,4.49
Lower-middle-income countries,1995,4.01
Lower-middle-income countries,2000,3.61
Lower-middle-income countries,2005,3.31
Lower-middle-income countries,2010,3.08
Lower-middle-income countries,2015,2.9
Luxembourg,1955,1.98
Luxembourg,1960,2.23
Luxembourg,1965,2.4
Luxembourg,1970,2.19
Luxembourg,1975,1.72
Luxembourg,1980,1.49
Luxembourg,1985,1.47
Luxembourg,1990,1.47
Luxembourg,1995,1.66
Luxembourg,2000,1.72
Luxembourg,2005,1.65
Luxembourg,2010,1.62
Luxembourg,2015,1.57
Macao,1955,4.39
Macao,1960,5.11
Macao,1965,4.41
Macao,1970,2.74
Macao,1975,1.79
Macao,1980,1.41
Macao,1985,1.98
Macao,1990,1.94
Macao,1995,1.41
Macao,2000,1.12
Macao,2005,0.83
Macao,2010,0.94
Macao,2015,1.19
Macedonia,1955,5.06
Macedonia,1960,4.14
Macedonia,1965,3.65
Macedonia,1970,3.44
Macedonia,1975,2.86
Macedonia,1980,2.54
Macedonia,1985,2.45
Macedonia,1990,2.27
Macedonia,1995,2.12
Macedonia,2000,1.83
Macedonia,2005,1.64
Macedonia,2010,1.46
Macedonia,2015,1.51
Madagascar,1955,7.3
Madagascar,1960,7.3
Madagascar,1965,7.3
Madagascar,1970,7.3
Madagascar,1975,7.3
Madagascar,1980,7
Madagascar,1985,6.1
Madagascar,1990,6.3
Madagascar,1995,6.14
Madagascar,2000,5.8
Madagascar,2005,5.28
Madagascar,2010,4.83
Madagascar,2015,4.5
Malawi,1955,6.85
Malawi,1960,6.9
Malawi,1965,7
Malawi,1970,7.2
Malawi,1975,7.4
Malawi,1980,7.6
Malawi,1985,7.6
Malawi,1990,7.3
Malawi,1995,6.7
Malawi,2000,6.4
Malawi,2005,6.1
Malawi,2010,5.8
Malawi,2015,5.25
Malaysia,1955,6.23
Malaysia,1960,6.23
Malaysia,1965,6.03
Malaysia,1970,5.21
Malaysia,1975,4.56
Malaysia,1980,3.93
Malaysia,1985,3.73
Malaysia,1990,3.59
Malaysia,1995,3.42
Malaysia,2000,3.18
Malaysia,2005,2.45
Malaysia,2010,2.07
Malaysia,2015,1.97
Maldives,1955,6.03
Maldives,1960,6.81
Maldives,1965,7.12
Maldives,1970,7.22
Maldives,1975,7.17
Maldives,1980,6.85
Maldives,1985,7.26
Maldives,1990,6.66
Maldives,1995,5.16
Maldives,2000,3.52
Maldives,2005,2.57
Maldives,2010,2.26
Maldives,2015,2.18
Mali,1955,6.95
Mali,1960,6.95
Mali,1965,7
Mali,1970,7.1
Mali,1975,7.15
Mali,1980,7.15
Mali,1985,7.15
Mali,1990,7.15
Mali,1995,7.15
Mali,2000,6.95
Mali,2005,6.85
Mali,2010,6.7
Mali,2015,6.35
Malta,1955,4.14
Malta,1960,3.8
Malta,1965,3.15
Malta,1970,2.12
Malta,1975,2.01
Malta,1980,2.12
Malta,1985,1.93
Malta,1990,2.01
Malta,1995,1.99
Malta,2000,1.87
Malta,2005,1.47
Malta,2010,1.39
Malta,2015,1.43
Martinique,1955,5.71
Martinique,1960,5.71
Martinique,1965,5.45
Martinique,1970,5
Martinique,1975,4.08
Martinique,1980,2.65
Martinique,1985,2.14
Martinique,1990,2.14
Martinique,1995,1.96
Martinique,2000,1.9
Martinique,2005,1.92
Martinique,2010,2.04
Martinique,2015,1.95
Mauritania,1955,6.34
Mauritania,1960,6.71
Mauritania,1965,6.79
Mauritania,1970,6.79
Mauritania,1975,6.75
Mauritania,1980,6.57
Mauritania,1985,6.28
Mauritania,1990,6.09
Mauritania,1995,5.85
Mauritania,2000,5.55
Mauritania,2005,5.26
Mauritania,2010,4.97
Mauritania,2015,4.69
Mauritius,1955,5.9
Mauritius,1960,5.9
Mauritius,1965,6.2
Mauritius,1970,4.61
Mauritius,1975,3.47
Mauritius,1980,3.11
Mauritius,1985,2.3
Mauritius,1990,2.31
Mauritius,1995,2.25
Mauritius,2000,2.03
Mauritius,2005,1.93
Mauritius,2010,1.7
Mauritius,2015,1.5
Mayotte,1955,7.91
Mayotte,1960,7.91
Mayotte,1965,7.91
Mayotte,1970,7.91
Mayotte,1975,7.91
Mayotte,1980,7.91
Mayotte,1985,7.35
Mayotte,1990,6.73
Mayotte,1995,5.25
Mayotte,2000,5.08
Mayotte,2005,4.8
Mayotte,2010,4.6
Mayotte,2015,4.1
Melanesia,1955,6.31
Melanesia,1960,6.35
Melanesia,1965,6.24
Melanesia,1970,6.01
Melanesia,1975,5.8
Melanesia,1980,5.55
Melanesia,1985,5.18
Melanesia,1990,4.73
Melanesia,1995,4.49
Melanesia,2000,4.4
Melanesia,2005,4.15
Melanesia,2010,3.93
Melanesia,2015,3.67
Mexico,1955,6.75
Mexico,1960,6.78
Mexico,1965,6.75
Mexico,1970,6.75
Mexico,1975,6.71
Mexico,1980,5.4
Mexico,1985,4.37
Mexico,1990,3.75
Mexico,1995,3.25
Mexico,2000,2.89
Mexico,2005,2.63
Mexico,2010,2.43
Mexico,2015,2.29
Micronesia (country),1955,7.2
Micronesia (country),1960,7
Micronesia (country),1965,6.9
Micronesia (country),1970,6.9
Micronesia (country),1975,6.9
Micronesia (country),1980,6.4
Micronesia (country),1985,6
Micronesia (country),1990,5.2
Micronesia (country),1995,4.79
Micronesia (country),2000,4.53
Micronesia (country),2005,4.05
Micronesia (country),2010,3.62
Micronesia (country),2015,3.33
Middle Africa,1955,6.05
Middle Africa,1960,6.09
Middle Africa,1965,6.2
Middle Africa,1970,6.31
Middle Africa,1975,6.45
Middle Africa,1980,6.6
Middle Africa,1985,6.77
Middle Africa,1990,6.87
Middle Africa,1995,6.83
Middle Africa,2000,6.73
Middle Africa,2005,6.54
Middle Africa,2010,6.24
Middle Africa,2015,5.82
Middle-income countries,1955,5.92
Middle-income countries,1960,5.74
Middle-income countries,1965,5.94
Middle-income countries,1970,5.88
Middle-income countries,1975,5.24
Middle-income countries,1980,4.39
Middle-income countries,1985,3.96
Middle-income countries,1990,3.72
Middle-income countries,1995,3.16
Middle-income countries,2000,2.75
Middle-income countries,2005,2.59
Middle-income countries,2010,2.48
Middle-income countries,2015,2.42
Moldova,1955,3.5
Moldova,1960,3.44
Moldova,1965,3.15
Moldova,1970,2.66
Moldova,1975,2.56
Moldova,1980,2.44
Moldova,1985,2.55
Moldova,1990,2.64
Moldova,1995,2.11
Moldova,2000,1.7
Moldova,2005,1.24
Moldova,2010,1.27
Moldova,2015,1.27
Mongolia,1955,5.6
Mongolia,1960,6.3
Mongolia,1965,7.5
Mongolia,1970,7.5
Mongolia,1975,7.5
Mongolia,1980,6.65
Mongolia,1985,5.75
Mongolia,1990,4.84
Mongolia,1995,3.27
Mongolia,2000,2.4
Mongolia,2005,2.08
Mongolia,2010,2.37
Mongolia,2015,2.68
Montenegro,1955,4.35
Montenegro,1960,3.8
Montenegro,1965,3.42
Montenegro,1970,2.89
Montenegro,1975,2.62
Montenegro,1980,2.31
Montenegro,1985,2.21
Montenegro,1990,2.11
Montenegro,1995,2.05
Montenegro,2000,1.91
Montenegro,2005,1.85
Montenegro,2010,1.82
Montenegro,2015,1.71
More developed regions,1955,2.82
More developed regions,1960,2.81
More developed regions,1965,2.69
More developed regions,1970,2.39
More developed regions,1975,2.15
More developed regions,1980,1.92
More developed regions,1985,1.84
More developed regions,1990,1.81
More developed regions,1995,1.67
More developed regions,2000,1.57
More developed regions,2005,1.58
More developed regions,2010,1.67
More developed regions,2015,1.67
Morocco,1955,6.61
Morocco,1960,6.9
Morocco,1965,7.15
Morocco,1970,6.9
Morocco,1975,6.43
Morocco,1980,5.9
Morocco,1985,5.4
Morocco,1990,4.45
Morocco,1995,3.7
Morocco,2000,2.97
Morocco,2005,2.52
Morocco,2010,2.49
Morocco,2015,2.56
Mozambique,1955,6.6
Mozambique,1960,6.6
Mozambique,1965,6.6
Mozambique,1970,6.6
Mozambique,1975,6.58
Mozambique,1980,6.53
Mozambique,1985,6.44
Mozambique,1990,6.33
Mozambique,1995,6.12
Mozambique,2000,5.85
Mozambique,2005,5.8
Mozambique,2010,5.65
Mozambique,2015,5.45
Myanmar,1955,6
Myanmar,1960,6
Myanmar,1965,6.1
Myanmar,1970,6.1
Myanmar,1975,5.74
Myanmar,1980,5.21
Myanmar,1985,4.7
Myanmar,1990,3.8
Myanmar,1995,3.2
Myanmar,2000,2.95
Myanmar,2005,2.85
Myanmar,2010,2.55
Myanmar,2015,2.25
Namibia,1955,6
Namibia,1960,6.1
Namibia,1965,6.2
Namibia,1970,6.3
Namibia,1975,6.6
Namibia,1980,6.6
Namibia,1985,6.2
Namibia,1990,5.55
Namibia,1995,4.91
Namibia,2000,4.29
Namibia,2005,3.81
Namibia,2010,3.6
Namibia,2015,3.6
Nepal,1955,5.96
Nepal,1960,5.96
Nepal,1965,5.96
Nepal,1970,5.96
Nepal,1975,5.87
Nepal,1980,5.8
Nepal,1985,5.62
Nepal,1990,5.33
Nepal,1995,4.97
Nepal,2000,4.41
Nepal,2005,3.64
Nepal,2010,2.96
Nepal,2015,2.32
Netherlands,1955,3.05
Netherlands,1960,3.1
Netherlands,1965,3.17
Netherlands,1970,2.79
Netherlands,1975,2.06
Netherlands,1980,1.6
Netherlands,1985,1.51
Netherlands,1990,1.55
Netherlands,1995,1.58
Netherlands,2000,1.6
Netherlands,2005,1.73
Netherlands,2010,1.75
Netherlands,2015,1.75
New Caledonia,1955,5.22
New Caledonia,1960,5.22
New Caledonia,1965,5.22
New Caledonia,1970,5.21
New Caledonia,1975,5.2
New Caledonia,1980,3.91
New Caledonia,1985,3.34
New Caledonia,1990,3.03
New Caledonia,1995,2.94
New Caledonia,2000,2.58
New Caledonia,2005,2.26
New Caledonia,2010,2.24
New Caledonia,2015,2.13
New Zealand,1955,3.69
New Zealand,1960,4.07
New Zealand,1965,4.02
New Zealand,1970,3.35
New Zealand,1975,2.84
New Zealand,1980,2.18
New Zealand,1985,1.97
New Zealand,1990,2.03
New Zealand,1995,2.07
New Zealand,2000,1.95
New Zealand,2005,1.95
New Zealand,2010,2.14
New Zealand,2015,2.05
Nicaragua,1955,7.2
Nicaragua,1960,7.5
Nicaragua,1965,7.1
Nicaragua,1970,6.95
Nicaragua,1975,6.79
Nicaragua,1980,6.35
Nicaragua,1985,5.85
Nicaragua,1990,5
Nicaragua,1995,4.2
Nicaragua,2000,3.4
Nicaragua,2005,2.84
Nicaragua,2010,2.56
Nicaragua,2015,2.32
Niger,1955,7.28
Niger,1960,7.35
Niger,1965,7.44
Niger,1970,7.32
Niger,1975,7.52
Niger,1980,7.63
Niger,1985,7.59
Niger,1990,7.69
Niger,1995,7.74
Niger,2000,7.75
Niger,2005,7.72
Niger,2010,7.68
Niger,2015,7.63
Nigeria,1955,6.35
Nigeria,1960,6.35
Nigeria,1965,6.35
Nigeria,1970,6.35
Nigeria,1975,6.61
Nigeria,1980,6.76
Nigeria,1985,6.76
Nigeria,1990,6.6
Nigeria,1995,6.37
Nigeria,2000,6.17
Nigeria,2005,6.05
Nigeria,2010,5.91
Nigeria,2015,5.74
North Korea,1955,3.46
North Korea,1960,5.12
North Korea,1965,3.85
North Korea,1970,4.39
North Korea,1975,4
North Korea,1980,2.68
North Korea,1985,2.8
North Korea,1990,2.36
North Korea,1995,2.25
North Korea,2000,2.01
North Korea,2005,2.01
North Korea,2010,2
North Korea,2015,2
Northern Africa,1955,6.74
Northern Africa,1960,6.83
Northern Africa,1965,6.9
Northern Africa,1970,6.73
Northern Africa,1975,6.4
Northern Africa,1980,6.14
Northern Africa,1985,5.74
Northern Africa,1990,5.1
Northern Africa,1995,4.2
Northern Africa,2000,3.47
Northern Africa,2005,3.13
Northern Africa,2010,3.09
Northern Africa,2015,3.27
Northern America,1955,3.35
Northern America,1960,3.69
Northern America,1965,3.42
Northern America,1970,2.58
Northern America,1975,2.01
Northern America,1980,1.77
Northern America,1985,1.79
Northern America,1990,1.89
Northern America,1995,2
Northern America,2000,1.95
Northern America,2005,1.99
Northern America,2010,2.02
Northern America,2015,1.86
Northern Europe,1955,2.31
Northern Europe,1960,2.51
Northern Europe,1965,2.71
Northern Europe,1970,2.48
Northern Europe,1975,2.05
Northern Europe,1980,1.8
Northern Europe,1985,1.8
Northern Europe,1990,1.85
Northern Europe,1995,1.8
Northern Europe,2000,1.7
Northern Europe,2005,1.66
Northern Europe,2010,1.86
Northern Europe,2015,1.87
Norway,1955,2.6
Norway,1960,2.84
Norway,1965,2.9
Norway,1970,2.72
Norway,1975,2.25
Norway,1980,1.81
Norway,1985,1.69
Norway,1990,1.8
Norway,1995,1.89
Norway,2000,1.86
Norway,2005,1.81
Norway,2010,1.92
Norway,2015,1.8
Oceania,1955,3.84
Oceania,1960,4.05
Oceania,1965,3.95
Oceania,1970,3.55
Oceania,1975,3.23
Oceania,1980,2.72
Oceania,1985,2.58
Oceania,1990,2.49
Oceania,1995,2.49
Oceania,2000,2.45
Oceania,2005,2.43
Oceania,2010,2.51
Oceania,2015,2.42
Oman,1955,7.25
Oman,1960,7.25
Oman,1965,7.25
Oman,1970,7.31
Oman,1975,7.41
Oman,1980,8.1
Oman,1985,8.32
Oman,1990,7.85
Oman,1995,6.27
Oman,2000,4.46
Oman,2005,3.21
Oman,2010,2.9
Oman,2015,2.88
Other non-specified areas,1955,5.9
Other non-specified areas,1960,6.06
Other non-specified areas,1965,5.29
Other non-specified areas,1970,4.41
Other non-specified areas,1975,3.38
Other non-specified areas,1980,2.64
Other non-specified areas,1985,2.2
Other non-specified areas,1990,1.85
Other non-specified areas,1995,1.79
Other non-specified areas,2000,1.73
Other non-specified areas,2005,1.43
Other non-specified areas,2010,1.26
Other non-specified areas,2015,1.07
Pakistan,1955,6.6
Pakistan,1960,6.6
Pakistan,1965,6.6
Pakistan,1970,6.6
Pakistan,1975,6.6
Pakistan,1980,6.6
Pakistan,1985,6.44
Pakistan,1990,6.3
Pakistan,1995,5.67
Pakistan,2000,4.99
Pakistan,2005,4.23
Pakistan,2010,3.98
Pakistan,2015,3.72
Palestine,1955,7.38
Palestine,1960,7.38
Palestine,1965,8
Palestine,1970,8
Palestine,1975,7.69
Palestine,1980,7.5
Palestine,1985,7.05
Palestine,1990,6.76
Palestine,1995,6.61
Palestine,2000,5.8
Palestine,2005,5.03
Palestine,2010,4.6
Palestine,2015,4.28
Panama,1955,5.76
Panama,1960,5.87
Panama,1965,5.79
Panama,1970,5.41
Panama,1975,4.88
Panama,1980,4.19
Panama,1985,3.63
Panama,1990,3.24
Panama,1995,2.92
Panama,2000,2.81
Panama,2005,2.61
Panama,2010,2.54
Panama,2015,2.48
Papua New Guinea,1955,6.24
Papua New Guinea,1960,6.26
Papua New Guinea,1965,6.28
Papua New Guinea,1970,6.21
Papua New Guinea,1975,6.09
Papua New Guinea,1980,5.87
Papua New Guinea,1985,5.47
Papua New Guinea,1990,4.97
Papua New Guinea,1995,4.7
Papua New Guinea,2000,4.64
Papua New Guinea,2005,4.39
Papua New Guinea,2010,4.13
Papua New Guinea,2015,3.84
Paraguay,1955,6.5
Paraguay,1960,6.5
Paraguay,1965,6.45
Paraguay,1970,6.15
Paraguay,1975,5.35
Paraguay,1980,5.2
Paraguay,1985,5.12
Paraguay,1990,4.77
