Entity,Year,Count of terrorist incidents (RAND),Injuries due to terrorism (RAND),Fatalities due to terrorism (RAND)
Iran,1988,1,0,0
Iran,1989,1,0,0
Iran,1991,4,0,0
Iran,1992,4,0,0
Iran,1993,2,0,0
Iran,1994,3,70,25
Iran,1998,7,2,10
Iran,2001,3,3,0
Iran,2003,6,4,0
Iran,2005,26,201,22
Iran,2006,13,56,10
Iran,2007,3,0,6
Iran,2008,8,21,12
Iraq,1975,1,7,2
Iraq,1976,2,300,40
Iraq,1977,2,0,0
Iraq,1979,1,0,0
Iraq,1980,3,0,0
Iraq,1981,3,0,0
Iraq,1982,2,0,0
Iraq,1983,3,0,1
Iraq,1984,3,0,0
Iraq,1985,4,0,0
Iraq,1986,1,32,69
Iraq,1987,5,11,0
Iraq,1989,2,25,0
Iraq,1991,1,1,0
Iraq,1992,10,25,5
Iraq,1993,3,0,1
Iraq,1994,8,9,3
Iraq,1995,7,13,12
Iraq,1996,4,0,5
Iraq,1997,1,0,1
Iraq,1998,4,2,1
Iraq,1999,4,9,9
Iraq,2000,4,0,0
Iraq,2001,3,3,1
Iraq,2002,14,52,3
Iraq,2003,147,1226,539
Iraq,2004,850,4109,2471
Iraq,2005,2349,9405,6247
Iraq,2006,3968,15299,9497
Iraq,2007,2469,16676,7676
Iraq,2008,885,6386,2388
Ireland,1971,1,0,0
Ireland,1972,2,0,0
Ireland,1975,1,0,0
Ireland,1976,2,2,3
Ireland,1979,1,0,4
Ireland,1981,1,0,0
Ireland,1983,2,0,0
Ireland,1993,1,2,0
Ireland,1994,5,1,1
Ireland,1997,2,0,0
Ireland,1998,3,2,0
Ireland,2000,1,0,0
Ireland,2001,1,0,0
Ireland,2002,1,3,0
Ireland,2003,2,0,0
Israel,1968,13,165,21
Israel,1969,6,49,4
Israel,1970,3,92,29
Israel,1971,3,36,5
Israel,1972,19,89,27
Israel,1974,13,195,147
Israel,1975,9,152,35
Israel,1976,7,62,3
Israel,1977,10,104,3
Israel,1978,15,279,64
Israel,1979,30,263,16
Israel,1980,12,40,7
Israel,1981,7,30,1
Israel,1982,6,176,2
Israel,1983,3,55,6
Israel,1984,10,94,4
Israel,1985,45,49,7
Israel,1986,27,118,15
Israel,1987,32,55,18
Israel,1988,31,35,18
Israel,1989,27,40,24
Israel,1990,23,89,14
Israel,1991,15,28,21
Israel,1992,11,23,14
Israel,1993,15,35,13
Israel,1994,24,167,67
Israel,1995,11,218,37
Israel,1996,10,325,65
Israel,1997,6,442,27
Israel,1998,20,88,8
Israel,1999,14,37,4
Israel,2000,19,12,1
Israel,2001,85,918,110
Israel,2002,108,1498,329
Israel,2003,74,794,174
Israel,2004,27,341,65
Israel,2005,75,131,27
Israel,2006,427,139,37
Israel,2007,49,1,4
Israel,2008,306,96,11
Israel,2009,40,21,0
Italy,1968,1,0,0
Italy,1969,2,0,0
Italy,1970,6,0,0
Italy,1971,1,0,0
Italy,1972,9,0,1
Italy,1973,12,18,33
Italy,1974,13,0,0
Italy,1975,4,0,0
Italy,1976,36,2,0
Italy,1977,15,0,1
Italy,1978,6,1,0
Italy,1979,7,31,0
Italy,1980,20,20,8
Italy,1981,21,17,1
Italy,1982,18,36,3
Italy,1983,3,2,0
Italy,1984,9,3,5
Italy,1985,13,172,18
Italy,1986,6,9,4
Italy,1987,4,0,1
Italy,1988,2,17,5
Italy,1989,8,0,0
Italy,1990,1,0,0
Italy,1991,22,7,1
Italy,1992,8,10,0
Italy,1993,3,1,1
Italy,1994,4,2,0
Italy,1996,1,0,0
Italy,1997,1,0,0
Italy,1998,11,2,0
Italy,1999,26,0,1
Italy,2000,11,6,0
Italy,2001,23,3,0
Italy,2002,22,1,1
Italy,2003,34,53,0
Italy,2004,19,6,2
Italy,2005,18,5,0
Italy,2006,6,1,0
Italy,2007,4,0,0
Italy,2008,1,0,0
Italy,2009,3,2,0
Jamaica,1970,1,0,0
Jamaica,1974,2,0,0
Jamaica,1976,2,0,0
Jamaica,1980,1,0,0
Jamaica,1987,2,0,0
Japan,1969,3,0,0
Japan,1970,2,0,0
Japan,1973,2,0,0
Japan,1974,5,15,0
Japan,1975,2,2,0
Japan,1977,1,0,0
Japan,1978,2,0,0
Japan,1979,1,0,0
Japan,1983,8,0,0
Japan,1984,2,0,0
Japan,1985,2,4,2
Japan,1986,3,0,0
Japan,1988,4,23,0
Japan,1989,1,0,0
Japan,1990,3,0,0
Japan,1991,3,0,1
Japan,1992,2,0,0
Japan,1993,4,0,0
Japan,1995,2,5000,12
Japan,1998,9,62,4
Japan,1999,2,0,0
Japan,2001,6,0,0
Japan,2002,4,0,0
Japan,2003,10,1,0
Japan,2004,1,0,0
Japan,2005,1,0,0
Jordan,1969,2,0,0
Jordan,1970,12,2,2
Jordan,1971,6,0,0
Jordan,1972,6,0,0
Jordan,1974,2,0,0
Jordan,1976,1,5,4
Jordan,1977,2,0,0
Jordan,1983,4,0,0
Jordan,1984,4,2,1
Jordan,1985,2,0,2
Jordan,1987,1,1,0
Jordan,1988,2,2,0
Jordan,1990,4,10,0
Jordan,1991,9,0,0
Jordan,1992,2,0,1
Jordan,1993,1,1,0
Jordan,1994,2,1,0
Jordan,1995,1,1,0
Jordan,1996,1,0,0
Jordan,1997,2,6,9
Jordan,1998,7,0,0
Jordan,2000,1,1,0
Jordan,2001,1,0,1
Jordan,2002,3,0,3
Jordan,2003,1,1,0
Jordan,2005,6,100,69
Jordan,2006,1,6,1
Jordan,2008,1,6,0
Kashmir,1995,1,0,0
Kashmir,1998,20,90,214
Kashmir,1999,6,42,17
Kashmir,2000,11,35,10
Kashmir,2001,38,301,117
Kashmir,2002,485,480,559
Kashmir,2003,238,445,295
Kashmir,2004,51,577,119
Kashmir,2005,90,370,135
Kashmir,2006,140,661,116
Kashmir,2007,22,101,23
Kashmir,2008,1,23,1
Kazakhstan,1998,1,0,0
Kazakhstan,2002,1,0,0
Kazakhstan,2004,2,1,1
Kazakhstan,2005,1,0,0
Kazakhstan,2008,2,12,1
Kenya,1976,1,0,0
Kenya,1980,1,85,15
Kenya,1982,1,0,0
Kenya,1989,1,1,1
Kenya,1994,1,0,0
Kenya,1998,1,5000,213
Kenya,2002,4,80,13
Kenya,2003,1,0,0
Kenya,2007,1,30,1
Kuwait,1972,1,0,0
Kuwait,1974,1,0,0
Kuwait,1975,1,0,0
Kuwait,1976,1,0,0
Kuwait,1977,2,0,1
Kuwait,1978,2,0,1
Kuwait,1980,1,0,0
Kuwait,1982,1,1,0
Kuwait,1983,5,62,7
Kuwait,1985,6,102,18
Kuwait,1986,2,1,0
Kuwait,1987,5,0,0
Kuwait,1988,3,2,2
Kuwait,1991,1,0,0
Kuwait,1992,6,7,0
Kuwait,1993,1,0,0
Kuwait,2002,2,1,3
Kuwait,2003,3,13,1
Kuwait,2004,1,1,1
Kyrgyzstan,1998,2,8,2
Kyrgyzstan,2001,3,2,0
Kyrgyzstan,2002,3,2,2
Kyrgyzstan,2003,2,0,21
Kyrgyzstan,2004,1,0,2
Kyrgyzstan,2005,2,0,0
Kyrgyzstan,2007,2,0,1
Laos,1976,2,5,0
Laos,1982,1,0,0
Laos,1989,2,0,1
Laos,1990,1,1,1
Laos,2002,1,2,0
Laos,2004,7,6,1
Latvia,1991,1,0,0
Latvia,1998,5,0,0
Latvia,1999,2,0,0
Latvia,2000,1,35,1
Lebanon,1969,1,0,0
Lebanon,1970,8,5,0
Lebanon,1971,3,0,0
Lebanon,1972,14,5,2
Lebanon,1973,12,16,2
Lebanon,1974,13,8,0
Lebanon,1975,24,19,5
Lebanon,1976,16,7,90
Lebanon,1977,8,8,1
Lebanon,1978,5,0,0
Lebanon,1979,13,24,12
Lebanon,1980,16,4,4
Lebanon,1981,42,605,209
Lebanon,1982,26,83,28
Lebanon,1983,36,434,508
Lebanon,1984,34,77,41
Lebanon,1985,80,264,149
Lebanon,1986,61,73,38
Lebanon,1987,41,39,14
Lebanon,1988,29,34,46
Lebanon,1989,18,142,24
Lebanon,1990,8,20,4
Lebanon,1991,33,12,5
Lebanon,1992,3,0,6
Lebanon,1993,14,11,17
Lebanon,1994,9,19,5
Lebanon,1995,4,3,4
Lebanon,1996,5,11,14
Lebanon,1997,2,1,3
Lebanon,1998,11,9,13
Lebanon,1999,7,0,4
Lebanon,2000,2,0,2
Lebanon,2001,8,1,1
Lebanon,2002,21,10,6
Lebanon,2003,10,12,4
Lebanon,2004,3,7,3
Lebanon,2005,23,149,12
Lebanon,2006,10,0,2
Lebanon,2007,1,20,3
Lebanon,2008,2,60,21
Lesotho,1981,1,0,0
Lesotho,1983,1,0,2
Liberia,1990,1,0,0
Liberia,1992,3,0,11
Liberia,1995,1,1,0
Liberia,1996,2,0,0
Liberia,1999,1,0,0
Libya,1972,1,3,0
Libya,1977,1,0,0
Libya,1978,2,1,3
Libya,1979,2,1,0
Libya,1980,2,0,0
Libya,1981,1,0,0
Libya,1983,1,0,0
Libya,1984,2,0,0
Libya,1985,1,0,0
Libya,1989,1,0,1
Libya,1990,1,0,0
Libya,1998,1,1,4
Lithuania,1997,1,1,0
Lithuania,1998,4,5,0
Lithuania,2007,1,0,0
Luxembourg,1977,1,0,0
Luxembourg,1981,1,0,0
Luxembourg,1983,1,0,0
Luxembourg,1985,1,0,0
Luxembourg,1987,1,0,0
Macedonia,1998,12,14,0
Macedonia,1999,2,3,0
Macedonia,2001,16,11,5
Macedonia,2002,25,10,5
Macedonia,2003,7,2,0
Macedonia,2004,3,0,0
Macedonia,2005,1,0,0
Macedonia,2006,1,0,0
Madagascar,2001,2,0,0
Madagascar,2004,3,37,0
Madagascar,2005,2,0,0
Malaysia,1970,1,0,0
Malaysia,1975,1,3,0
Malaysia,1977,2,1,100
Malaysia,1983,1,0,0
Malaysia,1989,1,4,0
Malaysia,1991,3,1,4
Malaysia,2000,1,0,0
Malaysia,2001,1,2,0
Malaysia,2003,1,0,5
Malaysia,2006,1,0,1
Malaysia,2008,1,0,0
Maldives,2006,1,3,0
Mali,1994,1,0,0
Mali,1997,1,0,0
Malta,1977,1,0,1
Malta,1980,1,0,0
Malta,1983,1,1,0
Malta,1984,2,0,0
Malta,1985,1,0,0
Malta,1987,4,8,0
Malta,1995,1,0,1
Malta,1997,1,0,0
Martinique,1983,1,0,0
Mauritania,1977,2,0,2
Mauritania,1980,3,0,36
Mauritania,1987,1,0,0
Mauritania,1996,1,0,0
Mauritania,2004,1,0,0
Mauritania,2007,1,0,2
Mexico,1972,9,0,0
Mexico,1973,3,0,0
Mexico,1974,14,0,0
Mexico,1975,5,0,0
Mexico,1976,5,1,2
Mexico,1977,6,7,2
Mexico,1981,2,6,0
Mexico,1984,1,0,0
Mexico,1986,2,0,0
Mexico,1987,2,0,0
Mexico,1989,1,0,0
Mexico,1990,1,0,0
Mexico,1991,5,0,0
Mexico,1994,1,0,0
Mexico,1996,2,0,0
Mexico,1998,3,5,4
Mexico,2000,2,4,1
Mexico,2001,2,1,0
Mexico,2003,1,0,0
Mexico,2004,3,0,1
Mexico,2005,7,2,8
Mexico,2006,2,1,2
Mexico,2007,2,0,0
Moldova,1998,2,4,1
Moldova,2001,1,0,0
Moldova,2004,1,0,0
Moldova,2006,2,21,9
Mongolia,1998,1,0,1
Montenegro,1998,7,0,0
Montenegro,2002,5,0,0
Montenegro,2004,1,0,1
Morocco,1973,2,0,0
Morocco,1980,1,0,0
Morocco,1982,1,0,0
Morocco,1985,5,2,4
Morocco,1986,5,2,3
Morocco,1987,1,0,0
Morocco,1989,1,0,0
Morocco,1990,1,0,1
Morocco,1994,1,2,2
Morocco,1995,1,0,1
Morocco,1998,1,0,0
Morocco,2003,6,0,35
Morocco,2007,2,5,2
Mozambique,1971,1,0,23
Mozambique,1979,1,6,0
Mozambique,1981,1,0,0
Mozambique,1982,7,3,1
Mozambique,1983,5,0,2
Mozambique,1984,1,0,0
Mozambique,1985,6,1,5
Mozambique,1986,3,0,0
Mozambique,1987,3,0,2
Mozambique,1988,1,2,0
Mozambique,1989,3,0,4
Mozambique,1991,1,0,0
Mozambique,1993,1,3,0
Mozambique,1994,2,0,0
Myanmar,1973,1,0,0
Myanmar,1983,2,48,21
Myanmar,1989,1,0,0
Myanmar,1993,1,0,0
Myanmar,1997,1,0,1
Myanmar,1998,1,14,1
Myanmar,1999,1,0,10
Myanmar,2000,2,0,11
Myanmar,2001,1,0,0
Myanmar,2002,3,37,11
Myanmar,2003,3,3,1
Myanmar,2004,3,1,0
Myanmar,2005,12,193,23
Myanmar,2006,8,0,1
Myanmar,2007,4,12,0
Myanmar,2008,6,1,1
Namibia,1984,1,4,3
Namibia,1988,1,31,14
Namibia,1989,1,0,1
Nepal,1977,1,0,0
Nepal,1999,4,7,1
Nepal,2001,7,15,19
Nepal,2002,92,81,17
Nepal,2003,36,16,10
Nepal,2004,111,155,72
Nepal,2005,97,104,33
Nepal,2006,98,78,40
Nepal,2007,10,5,1
Nepal,2008,37,164,19
Netherlands,1969,1,0,0
Netherlands,1970,4,0,1
Netherlands,1971,2,5,0
Netherlands,1972,2,0,0
Netherlands,1973,1,1,0
Netherlands,1974,3,0,0
Netherlands,1975,2,7,3
Netherlands,1977,5,0,2
Netherlands,1978,4,11,2
Netherlands,1979,3,0,4
Netherlands,1982,5,1,1
Netherlands,1983,3,0,0
Netherlands,1984,1,1,0
Netherlands,1985,2,0,0
Netherlands,1986,1,0,0
Netherlands,1988,2,3,3
Netherlands,1989,5,5,0
Netherlands,1990,5,3,2
Netherlands,1991,2,0,0
Netherlands,1992,3,0,0
Netherlands,1994,1,7,0
Netherlands,1995,7,2,1
Netherlands,1997,3,0,6
Netherlands,1999,2,0,0
Netherlands,2002,3,0,1
Netherlands,2003,2,0,0
Netherlands,2004,2,0,1
New Zealand,1969,1,0,0
New Zealand,1973,1,0,0
New Zealand,1985,1,0,1
New Zealand,2002,1,0,0
New Zealand,2003,1,0,0
Nicaragua,1974,1,0,4
Nicaragua,1979,4,0,0
Nicaragua,1981,2,0,2
Nicaragua,1982,1,0,4
Nicaragua,1983,3,10,1
Nicaragua,1984,14,32,5
Nicaragua,1985,4,0,0
Nicaragua,1986,3,0,5
Nicaragua,1987,1,0,0
Nicaragua,1988,2,27,2
Nicaragua,1989,1,0,0
Nicaragua,1990,1,1,2
Nicaragua,1992,1,0,0
Nicaragua,1994,2,0,0
Nicaragua,1995,1,0,0
Nicaragua,1996,3,0,0
Nicaragua,1998,1,0,0
Nicaragua,2001,1,13,1
Niger,1997,1,0,0
Nigeria,1988,1,3,0
Nigeria,1992,1,0,0
Nigeria,1993,1,2,1
Nigeria,1997,2,9,0
Nigeria,1998,2,0,0
Nigeria,1999,1,1,0
Nigeria,2000,1,0,0
Nigeria,2001,6,1,0
Nigeria,2002,1,0,0
Nigeria,2004,1,0,0
Nigeria,2006,21,15,12
Nigeria,2007,16,1,5
Nigeria,2008,18,11,22
Nigeria,2009,2,0,0
Norway,1968,1,0,0
Norway,1973,1,0,1
Norway,1979,1,0,0
Norway,1985,1,1,0
Norway,1987,1,3,0
Norway,1991,1,0,0
Norway,1993,1,1,0
Norway,1994,1,0,0
Norway,1998,1,0,0
Norway,2000,1,0,0
Norway,2006,1,0,0
OWID_GDR,1978,2,0,0
OWID_GDR,1985,1,0,0
OWID_GDR,1986,1,0,1
OWID_GDR,1990,1,0,0
OWID_GDR,1996,1,10,0
OWID_GFR,1968,1,0,3
OWID_GFR,1969,9,2,0
OWID_GFR,1970,8,11,1
OWID_GFR,1971,3,0,1
OWID_GFR,1972,12,15,20
OWID_GFR,1973,9,0,1
OWID_GFR,1974,4,4,0
OWID_GFR,1975,4,1,0
OWID_GFR,1976,15,34,1
OWID_GFR,1977,2,0,0
OWID_GFR,1978,17,3,1
OWID_GFR,1979,11,12,1
OWID_GFR,1980,7,1,4
OWID_GFR,1981,23,35,1
OWID_GFR,1982,52,60,2
OWID_GFR,1983,6,23,2
OWID_GFR,1984,14,0,0
OWID_GFR,1985,24,116,7
OWID_GFR,1986,13,203,3
OWID_GFR,1987,12,32,2
OWID_GFR,1988,13,15,0
OWID_GFR,1989,12,9,4
OWID_GFR,1990,4,0,1
OWID_GFR,1991,31,23,5
OWID_GFR,1992,35,11,9
OWID_GFR,1993,18,12,8
OWID_GFR,1994,6,4,0
OWID_GFR,1995,72,30,5
OWID_GFR,1996,20,40,11
OWID_GFR,1997,2,1,0
OWID_GFR,2008,1,0,0
OWID_KOS,1998,63,18,27
OWID_KOS,1999,9,29,5
OWID_KOS,2000,2,1,1
OWID_KOS,2001,9,10,4
OWID_KOS,2002,16,41,6
OWID_KOS,2003,11,1,2
OWID_KOS,2004,9,22,5
OWID_KOS,2005,12,5,1
OWID_KOS,2008,1,4,0
Pakistan,1950,1,,
Pakistan,1951,2,,
Pakistan,1952,6,,
Pakistan,1953,2,,
Pakistan,1954,4,,
Pakistan,1955,1,,
Pakistan,1956,4,,
Pakistan,1957,3,,
Pakistan,1958,1,,
Pakistan,1959,3,,
Pakistan,1960,4,,
Pakistan,1961,3,,
Pakistan,1962,4,,
Pakistan,1963,12,,
Pakistan,1964,26,,
Pakistan,1965,34,,
Pakistan,1966,15,,
Pakistan,1967,4,,
Pakistan,1968,11,,
Pakistan,1969,2,0,0
Pakistan,1970,1,11,4
Pakistan,1971,1,0,0
Pakistan,1972,9,,
Pakistan,1973,8,,
Pakistan,1974,5,2,0
Pakistan,1975,48,,
Pakistan,1976,30,0,0
Pakistan,1977,33,0,0
Pakistan,1978,47,5,4
Pakistan,1979,80,2,1
Pakistan,1980,69,,
Pakistan,1981,84,0,1
Pakistan,1982,164,3,0
Pakistan,1983,254,0,0
Pakistan,1984,202,13,4
Pakistan,1985,81,0,1
Pakistan,1986,19,195,40
Pakistan,1987,,600,111
Pakistan,1988,,1270,192
Pakistan,1989,,80,24
Pakistan,1990,,35,12
Pakistan,1991,,23,8
Pakistan,1992,,1,1
Pakistan,1993,,0,0
Pakistan,1994,,0,0
Pakistan,1995,,164,65
Pakistan,1996,,74,20
Pakistan,1997,,1,12
Pakistan,1998,,401,144
Pakistan,1999,,144,56
Pakistan,2000,,375,73
Pakistan,2001,,248,93
Pakistan,2002,,384,146
Pakistan,2003,,257,145
Pakistan,2004,,746,233
Pakistan,2005,,398,160
Pakistan,2006,,612,243
Pakistan,2007,,562,355
Pakistan,2008,,1539,568
Pakistan,2009,,524,246
Palestine,1970,1,0,1
Palestine,1972,1,3,1
Palestine,1976,1,3,1
Palestine,1977,1,6,0
Palestine,1979,2,0,0
Palestine,1980,1,0,1
Palestine,1985,7,4,3
Palestine,1990,3,22,1
Palestine,1991,2,2,1
Palestine,1993,1,0,1
Palestine,1994,5,256,40
Palestine,1995,5,52,13
Palestine,1996,2,4,0
Palestine,1997,1,6,0
Palestine,1998,31,85,12
Palestine,1999,10,9,0
Palestine,2000,167,80,25
Palestine,2001,328,187,75
Palestine,2002,432,330,209
Palestine,2003,164,119,39
Palestine,2004,351,136,64
Palestine,2005,478,302,71
Palestine,2006,28,14,2
Palestine,2007,16,2,0
Panama,1976,2,0,0
Panama,1977,1,0,0
Panama,1980,1,0,0
Panama,1987,1,0,0
Panama,1989,1,0,0
Panama,1990,5,27,1
Panama,1991,4,0,1
Panama,1992,5,3,1
Panama,1993,1,0,1
Panama,1994,1,0,21
Panama,1996,1,0,0
Papua New Guinea,1990,4,3,1
Papua New Guinea,1995,1,0,0
Paraguay,1970,1,1,1
Paraguay,1973,1,0,0
Paraguay,1976,1,0,1
Paraguay,1980,1,0,3
Paraguay,1998,1,0,0
Paraguay,1999,1,0,0
Paraguay,2000,2,0,0
Paraguay,2004,1,0,0
Paraguay,2005,1,0,0
Paraguay,2006,1,0,0
Peru,1969,1,0,0
Peru,1970,2,0,0
Peru,1973,3,0,0
Peru,1974,12,16,0
Peru,1975,1,0,0
Peru,1977,2,0,0
Peru,1978,2,1,0
Peru,1980,1,0,0
Peru,1981,17,0,0
Peru,1982,8,3,2
Peru,1983,12,12,5
Peru,1984,12,0,0
Peru,1985,15,0,2
Peru,1986,44,56,14
Peru,1987,38,39,7
Peru,1988,15,17,9
Peru,1989,29,42,9
Peru,1990,26,6,11
Peru,1991,44,29,31
Peru,1992,14,13,7
Peru,1993,17,86,8
Peru,1994,2,0,0
Peru,1995,2,0,1
Peru,1996,2,10,17
Peru,1997,3,0,0
Peru,1998,10,4,12
Peru,1999,3,0,8
Peru,2000,4,1,1
Peru,2001,5,8,16
Peru,2002,6,34,10
Peru,2003,3,4,1
Peru,2004,2,0,7
Peru,2005,6,8,17
Peru,2007,2,1,1
Peru,2008,1,0,14
Peru,2009,5,0,0
Philippines,1969,2,0,1
Philippines,1970,5,3,0
Philippines,1971,7,3,1
Philippines,1972,2,0,0
Philippines,1974,1,0,3
Philippines,1975,4,0,0
Philippines,1976,5,23,10
Philippines,1978,3,1,0
Philippines,1980,5,27,0
Philippines,1983,1,0,0
Philippines,1984,1,0,0
Philippines,1985,3,0,31
Philippines,1986,3,3,0
Philippines,1987,18,15,5
Philippines,1988,14,9,10
Philippines,1989,9,5,6
Philippines,1990,36,4,15
Philippines,1991,3,44,3
Philippines,1992,5,1,3
Philippines,1993,3,0,0
Philippines,1994,7,13,1
Philippines,1995,2,0,0
Philippines,1996,5,4,1
Philippines,1997,7,0,3
Philippines,1998,14,92,4
Philippines,1999,8,95,10
Philippines,2000,41,394,48
Philippines,2001,43,174,76
Philippines,2002,43,395,83
Philippines,2003,19,234,54
Philippines,2004,21,179,164
Philippines,2005,41,249,48
Philippines,2006,32,135,33
Philippines,2007,53,241,74
Philippines,2008,126,217,78
Philippines,2009,1,0,0
Poland,1977,1,0,0
Poland,1981,1,3,0
Poland,1990,4,0,0
Poland,1992,1,2,1
Poland,1993,1,0,0
Poland,1996,1,0,1
Poland,1997,1,0,0
Poland,1998,4,3,1
Portugal,1950,1,,
Portugal,1951,1,,
Portugal,1952,1,,
Portugal,1953,1,,
Portugal,1954,8,,
Portugal,1955,2,,
Portugal,1956,1,,
Portugal,1957,2,,
Portugal,1958,2,,
Portugal,1959,3,,
Portugal,1960,4,,
Portugal,1961,2,,
Portugal,1962,6,,
Portugal,1963,12,,
Portugal,1964,3,,
Portugal,1965,2,,
Portugal,1970,,0,0
Portugal,1971,,0,0
Portugal,1973,,0,0
Portugal,1975,,0,0
Portugal,1976,,4,2
Portugal,1977,,0,0
Portugal,1978,,0,0
Portugal,1979,,4,1
Portugal,1980,,0,0
Portugal,1981,,2,0
Portugal,1982,,0,2
Portugal,1983,,2,3
Portugal,1984,,0,0
Portugal,1985,,1,0
Portugal,1986,,0,0
Portugal,1988,,0,1
Puerto Rico,1970,1,0,0
Puerto Rico,1972,1,0,0
Puerto Rico,1973,1,0,0
Puerto Rico,1974,8,2,0
Puerto Rico,1975,2,1,0
Puerto Rico,1977,1,0,0
Puerto Rico,1978,2,0,0
Puerto Rico,1979,2,0,2
Puerto Rico,1998,3,1,0
Qatar,2004,1,1,1
Qatar,2005,1,16,1
Romania,1984,1,0,1
Romania,1985,1,0,2
Romania,1988,1,0,0
Romania,1991,1,2,1
Romania,1994,1,0,1
Russia,1993,2,2,0
Russia,1994,2,0,2
Russia,1995,3,1,1
Russia,1996,7,1,7
Russia,1997,7,0,6
Russia,1998,89,112,65
Russia,1999,49,706,339
Russia,2000,19,191,59
Russia,2001,50,233,43
Russia,2002,104,1130,354
Russia,2003,82,675,261
Russia,2004,130,1205,530
Russia,2005,128,132,75
Russia,2006,120,75,49
Russia,2007,82,156,69
Russia,2008,29,206,49
Russia,2009,8,21,14
Rwanda,1992,1,7,0
Rwanda,1994,4,0,12
Saudi Arabia,1950,1,,
Saudi Arabia,1951,3,,
Saudi Arabia,1952,1,,
Saudi Arabia,1953,3,,
Saudi Arabia,1954,1,,
Saudi Arabia,1955,1,,
Saudi Arabia,1956,3,,
Saudi Arabia,1957,1,,
Saudi Arabia,1958,2,,
Saudi Arabia,1959,4,,
Saudi Arabia,1960,5,,
Saudi Arabia,1961,6,,
Saudi Arabia,1962,12,,
Saudi Arabia,1963,15,,
Saudi Arabia,1964,3,,
Saudi Arabia,1965,3,,
Saudi Arabia,1966,2,,
Saudi Arabia,1979,,560,158
Saudi Arabia,1985,,3,1
Saudi Arabia,1987,,5,1
Saudi Arabia,1989,,16,1
Saudi Arabia,1991,,2,0
Saudi Arabia,1994,,0,0
Saudi Arabia,1995,,160,15
Saudi Arabia,1996,,502,19
Saudi Arabia,1997,,0,0
Saudi Arabia,2000,,6,1
Saudi Arabia,2001,,7,2
Saudi Arabia,2002,,0,2
Saudi Arabia,2003,,181,52
Saudi Arabia,2004,,218,52
Saudi Arabia,2005,,0,6
Saudi Arabia,2006,,4,4
Saudi Arabia,2007,,0,4
Senegal,1995,2,0,0
Serbia,1993,3,0,0
Serbia,1998,5,1,4
Serbia,1999,2,18,0
Serbia,2000,1,2,1
Serbia,2001,2,0,0
Serbia,2002,9,0,1
Serbia,2003,4,5,1
Serbia,2004,3,2,0
Serbia,2005,13,1,2
Serbia,2006,11,0,0
Serbia,2007,16,0,1
Serbia,2008,3,0,0
Serbia,2009,1,0,0
Serbia and Montenegro,2001,2,0,0
Serbia and Montenegro,2002,7,0,2
Serbia and Montenegro,2005,2,0,0
Serbia and Montenegro,2007,1,0,0
Sierra Leone,1992,2,0,8
Sierra Leone,1993,1,1,2
Sierra Leone,1994,3,0,0
Sierra Leone,1995,7,0,10
Sierra Leone,1998,1,0,0
Sierra Leone,1999,6,0,0
Singapore,1974,1,0,0
Singapore,1985,1,0,0
Singapore,1987,2,0,0
Singapore,1988,1,0,0
Slovakia,1998,4,1,1
Slovakia,1999,2,0,0
Slovakia,2004,2,0,0
Slovenia,2002,1,0,0
Somalia,1975,1,0,0
Somalia,1976,2,6,3
Somalia,1984,1,0,0
Somalia,1987,1,0,0
Somalia,1990,3,0,0
Somalia,1991,3,0,1
Somalia,1992,3,2,1
Somalia,1993,20,65,27
Somalia,1994,13,21,20
Somalia,1995,4,1,1
Somalia,1996,6,2,3
Somalia,1997,1,0,0
Somalia,1998,1,0,0
Somalia,1999,1,0,0
Somalia,2001,1,9,18
Somalia,2003,2,0,1
Somalia,2004,1,0,0
Somalia,2005,5,44,24
Somalia,2006,2,18,12
Somalia,2007,97,161,149
Somalia,2008,184,426,300
Somalia,2009,19,71,42
South Africa,1970,1,0,0
South Africa,1974,1,1,0
South Africa,1975,1,32,2
South Africa,1982,1,0,0
South Africa,1983,1,1,0
South Africa,1984,4,2,3
South Africa,1985,3,0,0
South Africa,1988,3,0,0
South Africa,1989,3,0,0
South Africa,1990,2,0,0
South Africa,1992,1,0,0
South Africa,1994,3,17,3
South Africa,1997,1,2,0
South Africa,1998,2,27,1
South Africa,1999,8,81,0
South Africa,2000,11,27,1
South Africa,2001,2,0,1
South Africa,2002,9,3,1
South Africa,2003,1,1,0
South Korea,1971,1,16,1
South Korea,1974,1,1,2
South Korea,1982,2,3,1
South Korea,1983,1,5,1
South Korea,1986,2,19,5
South Korea,1988,15,3,0
South Korea,1989,6,1,0
South Korea,1990,3,0,0
South Korea,1991,2,0,0
South Korea,1993,1,0,0
South Korea,1996,2,0,0
South Korea,1997,1,1,0
South Korea,2002,1,0,0
Spain,1968,1,0,0
Spain,1969,2,0,0
Spain,1970,1,0,0
Spain,1971,2,0,0
Spain,1972,2,0,0
Spain,1973,3,0,1
Spain,1974,5,1,0
Spain,1975,2,1,0
Spain,1976,8,4,0
Spain,1977,8,2,1
Spain,1978,5,0,3
Spain,1979,18,4,0
Spain,1980,10,21,1
Spain,1981,5,3,0
Spain,1982,10,1,2
Spain,1983,18,3,2
Spain,1984,24,89,21
Spain,1985,16,48,5
Spain,1986,31,46,1
Spain,1987,27,21,2
Spain,1988,28,4,0
Spain,1989,17,0,0
Spain,1990,11,0,0
