Entity,Year,Total government expenditure on education (World Bank (2015)),Share of education in government expenditure (World Bank (2015)),Expenditure on primary as % of government expenditure on education (World Bank (2015))
Gambia,2010,4.15601,17.61123,65.32845
Gambia,2011,3.89922,15.11833,63.8134
Gambia,2012,4.09038,13.8003,59.95219
Gambia,2013,2.80663,10.27583,51.80921
Georgia,1998,2.10888,10.85143,
Georgia,1999,2.15513,10.60486,
Georgia,2000,2.18107,12.54072,
Georgia,2001,2.1375,12.36196,
Georgia,2002,2.23501,13.60351,
Georgia,2003,2.0656,12.49294,
Georgia,2004,2.9142,15.03676,
Georgia,2005,2.48431,11.18125,
Georgia,2006,3.00364,12.89539,
Georgia,2007,2.69687,9.48665,
Georgia,2008,2.91956,8.9376,35.99981
Georgia,2009,3.22238,8.99825,
Georgia,2011,2.69622,9.26943,31.24477
Georgia,2012,1.98331,6.70776,34.33925
Germany,1996,4.48694,,
Germany,1998,4.46003,9.37684,17.44593
Germany,2006,4.28476,9.62531,14.73804
Germany,2007,4.34842,10.18212,14.02363
Germany,2008,4.41596,10.16083,13.49708
Germany,2009,4.88767,10.31754,13.54903
Germany,2010,4.921,10.44703,13.48298
Germany,2011,4.81496,10.82095,13.21104
Germany,2012,4.94831,11.2171,12.8105
Ghana,1999,4.11037,14.8927,
Ghana,2001,5.35444,15.59659,41.53529
Ghana,2004,7.53558,22.37925,39.70232
Ghana,2005,7.42208,23.42996,39.45372
Ghana,2006,5.25994,24.16198,36.89679
Ghana,2007,5.51987,24.11957,34.22735
Ghana,2008,5.75796,23.60645,34.57418
Ghana,2009,5.31744,22.67599,33.13483
Ghana,2010,5.5406,21.24422,30.86661
Ghana,2011,8.14097,30.76981,45.48806
Ghana,2012,7.91914,37.68692,32.30511
Ghana,2013,5.93355,21.70402,25.07607
Greece,1998,2.88278,6.701,
Greece,1999,3.01806,6.90314,
Greece,2000,3.21915,7.07659,
Greece,2001,3.36916,7.70515,
Greece,2002,3.44935,7.91812,
Greece,2003,3.43576,7.9529,
Greece,2004,3.68054,8.42267,
Greece,2005,3.96574,9.17249,
Grenada,2003,3.92674,10.80899,36.38402
Guatemala,1996,1.5637,,
Guatemala,2006,2.98401,20.33845,67.15162
Guatemala,2007,3.03874,21.27816,61.99618
Guatemala,2008,3.18454,23.34816,59.78975
Guatemala,2010,2.80307,19.29692,55.5538
Guatemala,2011,2.92014,20.24641,56.42242
Guatemala,2012,2.95786,21.10514,55.54988
Guatemala,2013,2.84226,20.63795,52.71151
Guinea,1999,2.36142,14.65855,
Guinea,2000,2.5934,15.19597,
Guinea,2001,2.08191,10.31576,
Guinea,2002,2.59387,13.06433,
Guinea,2003,2.37102,11.62474,
Guinea,2004,2.21,12.3133,
Guinea,2005,1.84906,10.94747,
Guinea,2008,2.43837,15.67827,40.79846
Guinea,2009,3.21608,13.5834,41.69703
Guinea,2010,3.69186,12.43832,38.90463
Guinea,2011,3.06283,14.25931,35.14098
Guinea,2012,2.47139,9.46061,43.56377
Guinea,2013,3.54088,14.13282,40.13794
Guinea-Bissau,1999,5.24617,16.7431,
Guinea-Bissau,2010,1.86424,9.96159,46.72003
Guinea-Bissau,2011,1.84898,10.55761,50.64565
Guinea-Bissau,2012,2.06464,14.5398,56.24621
Guinea-Bissau,2013,2.35587,16.19138,64.41775
Guyana,1999,8.56106,22.6878,
Guyana,2000,8.48415,17.65684,
Guyana,2001,8.58889,16.55556,
Guyana,2002,8.40805,16.90001,43.0803
Guyana,2003,6.96654,13.81456,38.70894
Guyana,2004,5.52623,11.08074,32.14363
Guyana,2005,8.13973,13.82344,
Guyana,2006,5.08927,13.48169,28.80405
Guyana,2007,3.75228,11.52616,33.94206
Guyana,2009,3.36104,10.34722,32.72708
Guyana,2010,3.66099,11.97244,29.06004
Guyana,2011,3.59123,11.82504,28.51444
Guyana,2012,3.19404,10.26061,30.55537
Honduras,2013,5.87493,19.23051,48.90042
Hong Kong,1996,2.72831,,
Hong Kong,2001,3.9037,22.41878,23.32797
Hong Kong,2002,4.01554,22.20729,23.28514
Hong Kong,2003,4.2853,23.24429,23.3798
Hong Kong,2004,4.55896,23.15106,22.97219
Hong Kong,2005,4.13463,22.47858,23.10701
Hong Kong,2006,3.84279,23.2826,22.20584
Hong Kong,2007,3.45455,22.63778,21.47341
Hong Kong,2008,3.26063,22.9224,21.39712
Hong Kong,2009,4.39213,23.79947,16.28242
Hong Kong,2010,3.51003,19.90941,20.93063
Hong Kong,2011,3.41822,20.14833,20.50594
Hong Kong,2012,3.50961,18.64948,18.65048
Hong Kong,2013,3.76032,20.3008,17.54439
Hong Kong,2014,3.57196,17.6204,18.85407
Hungary,1996,4.35434,,
Hungary,1998,4.42302,8.73522,19.70929
Hungary,1999,4.57708,9.42253,18.93026
Hungary,2000,4.87956,10.32352,19.08233
Hungary,2001,4.95096,10.45495,19.07292
Hungary,2002,5.19788,10.17901,18.10654
Hungary,2003,5.82966,11.82985,16.909
Hungary,2004,5.3774,11.00593,18.97679
Hungary,2005,5.38289,10.80056,20.0893
Hungary,2006,5.35814,10.32768,19.49534
Hungary,2007,5.19448,10.33821,19.05888
Hungary,2008,5.02306,10.27063,16.89833
Hungary,2009,5.01172,9.86443,16.88135
Hungary,2010,4.81825,9.68474,17.8417
Hungary,2011,4.64508,9.30398,16.14951
Iceland,1996,5.14888,,
Iceland,1998,6.79484,16.71814,
Iceland,1999,6.45606,15.58284,36.36103
Iceland,2000,6.48736,15.75082,37.01107
Iceland,2001,6.77809,16.22192,34.50186
Iceland,2002,7.40496,17.10422,36.21417
Iceland,2003,7.31222,16.39488,34.86933
Iceland,2004,7.20723,16.82493,34.75124
Iceland,2005,7.36224,17.80961,35.02579
Iceland,2006,7.34849,17.92521,34.6421
Iceland,2007,7.01096,17.21768,34.28524
Iceland,2008,7.22594,13.03326,33.41234
Iceland,2009,7.3752,15.16028,32.60843
Iceland,2010,7.20091,14.60396,32.37552
Iceland,2011,7.03659,15.41527,33.66935
India,1997,2.82791,10.74359,
India,1998,3.51098,14.77773,
India,1999,4.33929,17.64342,30.04633
India,2000,4.25026,17.49648,37.55736
India,2003,3.55114,12.92223,36.07693
India,2004,3.29476,11.55219,36.37518
India,2005,3.1338,11.53216,35.58925
India,2006,3.09073,11.78109,35.38399
India,2009,3.21076,10.82184,26.68135
India,2010,3.31959,11.74278,25.20659
India,2011,3.7232,13.67652,26.54745
India,2012,3.8256,14.06268,27.21284
Indonesia,1996,1.07855,,
Indonesia,1997,1.07208,,
Indonesia,2001,2.46003,11.59399,
Indonesia,2002,2.64569,14.36723,
Indonesia,2003,3.218,16.27864,
Indonesia,2004,2.74847,14.1703,
Indonesia,2005,2.87282,15.1488,
Indonesia,2007,3.04425,14.94431,48.38247
Indonesia,2008,2.9019,13.67475,49.04317
Indonesia,2009,3.52513,19.30844,47.94577
Indonesia,2010,2.81228,16.65418,44.44568
Indonesia,2011,3.18944,18.06186,42.75231
Indonesia,2012,3.40748,18.09042,41.76111
Indonesia,2013,3.36659,17.59418,42.46006
Iran,1996,3.75548,,
Iran,1999,4.53346,20.11292,
Iran,2000,4.38467,20.63385,
Iran,2001,4.40555,24.42417,25.78937
Iran,2002,4.92935,26.33352,25.94668
Iran,2003,4.82068,21.65296,24.19935
Iran,2004,4.87207,21.47405,23.22785
Iran,2005,4.72296,22.32196,22.43949
Iran,2006,5.05938,19.34813,28.393
Iran,2007,5.04763,19.87443,28.67484
Iran,2008,4.45332,20.57943,27.86351
Iran,2009,4.45065,18.02354,25.40941
Iran,2010,4.25877,18.80435,24.68077
Iran,2011,4.05015,19.1267,27.21379
Iran,2012,3.31111,17.03431,25.4062
Iran,2013,3.31579,21.67391,26.2146
Iran,2014,3.06152,19.67193,26.76389
Ireland,1996,4.75987,,
Ireland,1998,4.30612,12.38154,32.69514
Ireland,1999,4.14717,12.18244,31.61205
Ireland,2000,4.15894,13.38861,30.84112
Ireland,2001,4.11753,12.59213,31.94093
Ireland,2002,4.12974,12.43247,32.52211
Ireland,2003,4.22634,12.75296,34.1786
Ireland,2004,4.50573,13.54971,33.51409
Ireland,2005,4.54981,13.58013,33.64608
Ireland,2006,4.57605,13.42976,33.87118
Ireland,2007,4.72311,13.12946,35.06306
Ireland,2008,5.47034,13.01657,35.95779
Ireland,2009,6.20758,13.04314,35.75473
Ireland,2010,6.14069,9.29551,35.34528
Ireland,2011,5.85089,12.68265,35.71834
Ireland,2012,5.84453,13.83413,36.8972
Israel,1998,6.7094,,36.19837
Israel,1999,6.4695,,35.59937
Israel,2000,6.15953,12.72266,35.42847
Israel,2001,6.43396,12.72572,36.42922
Israel,2002,6.53367,12.6119,36.63361
Israel,2003,6.42538,12.68165,35.89366
Israel,2004,6.009,12.60446,36.89154
Israel,2005,5.81307,12.50637,37.50441
Israel,2006,5.82873,12.92004,37.28659
Israel,2007,5.57333,12.88462,37.90018
Israel,2008,5.59197,13.04756,37.8556
Israel,2009,5.52088,12.91916,38.15643
Israel,2010,5.56116,13.25932,41.17368
Israel,2011,5.63281,13.49082,42.61741
Italy,1996,4.4579,,
Italy,1998,4.46177,9.2389,24.63552
Italy,1999,4.52157,9.54947,25.81831
Italy,2000,4.29715,9.44847,25.81831
Italy,2001,4.667,9.82544,24.07855
Italy,2002,4.44524,9.50514,25.81831
Italy,2003,4.55283,9.64084,25.65385
Italy,2004,4.39519,9.38801,25.79931
Italy,2005,4.24747,9.01373,24.57947
Italy,2006,4.53567,9.52719,25.05577
Italy,2007,4.11659,8.80193,25.08452
Italy,2008,4.40076,9.20517,25.23137
Italy,2009,4.53407,8.86717,25.17905
Italy,2010,4.34919,8.72395,24.97795
Italy,2011,4.14054,8.43019,24.72651
Jamaica,1996,4.16108,,
Jamaica,1997,4.96098,,
Jamaica,2000,5.0151,16.7966,
Jamaica,2001,5.41476,19.99115,
Jamaica,2002,5.42852,18.36393,
Jamaica,2003,4.25685,13.36234,36.43051
Jamaica,2004,3.91255,11.73302,32.63466
Jamaica,2005,4.61707,14.26937,34.22772
Jamaica,2007,5.49138,17.17305,36.89191
Jamaica,2008,6.19327,19.11938,30.2266
Jamaica,2009,6.19928,17.55284,33.2067
Jamaica,2010,6.36821,16.10294,36.31668
Jamaica,2011,6.26177,18.58193,35.46353
Jamaica,2012,6.11707,18.80926,37.24792
Jamaica,2013,6.2562,20.57386,36.28717
Jamaica,2014,5.98413,21.79749,36.41514
Japan,1998,3.42623,10.2068,36.17879
Japan,1999,3.53673,10.33425,35.74702
Japan,2000,3.61888,9.93041,35.02887
Japan,2001,3.57129,9.63897,35.20738
Japan,2002,3.58506,9.85811,35.5792
Japan,2003,3.64257,9.94637,35.36316
Japan,2004,3.59859,9.93784,35.27242
Japan,2005,3.48391,10.29182,35.70568
Japan,2006,3.46274,10.15117,35.69572
Japan,2007,3.46368,10.04298,35.45369
Japan,2008,3.44024,10.32735,35.1957
Japan,2010,3.78135,9.45758,34.90912
Japan,2011,3.77827,9.70961,34.11106
Japan,2012,3.8497,9.48014,33.48106
Japan,2013,3.81849,9.57815,33.39922
Jordan,1996,7.47599,,
Jordan,1997,6.36608,18.4214,
Jordan,1999,4.94514,14.18371,41.66841
Kazakhstan,1996,3.92371,,
Kazakhstan,1997,4.37343,,
Kazakhstan,1999,3.89257,,
Kazakhstan,2000,3.25662,,
Kazakhstan,2002,3.0297,14.75948,
Kazakhstan,2004,2.25591,10.26694,
Kazakhstan,2005,2.26353,10.22782,
Kazakhstan,2006,2.62678,13.26734,
Kazakhstan,2007,2.83139,11.94463,
Kazakhstan,2008,2.58946,13.64712,
Kazakhstan,2009,3.06072,13.0409,
Kazakhstan,2013,2.83413,14.01982,0.68512
Kazakhstan,2014,2.88742,12.60609,0.85737
Kenya,1999,5.32324,24.04598,
Kenya,2000,5.18673,23.06399,68.08704
Kenya,2001,5.20621,22.11042,66.0845
Kenya,2002,6.172,25.62821,
Kenya,2003,6.49427,24.98009,62.9527
Kenya,2004,6.79693,26.66815,62.11754
Kenya,2005,7.33565,27.30884,
Kenya,2006,7.04984,24.95597,54.10875
Kenya,2010,5.50822,20.55599,
Kiribati,1999,10.6302,12.50751,43.04423
Kiribati,2000,11.14303,15.26542,39.00548
Kiribati,2001,11.98812,11.51614,34.33454
Kuwait,1996,5.85954,,
Kuwait,1997,5.58251,,
Kuwait,2001,6.586,17.63889,18.77848
Kuwait,2002,6.5505,14.96518,18.77843
Kuwait,2004,5.53515,14.95361,18.81727
Kuwait,2005,4.73825,13.85411,19.83133
Kuwait,2006,3.76001,13.37001,20.41517
Kyrgyzstan,1996,4.90261,,
Kyrgyzstan,1998,4.91963,13.6927,
Kyrgyzstan,1999,4.08522,11.37496,
Kyrgyzstan,2000,3.50837,11.59721,
Kyrgyzstan,2001,3.85419,13.70554,
Kyrgyzstan,2002,4.44547,15.01681,
Kyrgyzstan,2003,4.47541,15.655,
Kyrgyzstan,2004,4.62243,15.9067,
Kyrgyzstan,2005,4.87384,16.46192,
Kyrgyzstan,2006,5.54986,18.43475,
Kyrgyzstan,2007,6.467,20.32407,
Kyrgyzstan,2008,5.91319,20.17296,
Kyrgyzstan,2009,6.23268,18.1331,
Kyrgyzstan,2010,5.81883,15.68476,
Kyrgyzstan,2011,6.79062,18.1727,
Kyrgyzstan,2012,7.38423,18.19559,
Kyrgyzstan,2013,6.7802,17.773,
Laos,1996,2.42975,,
Laos,1997,2.1302,,
Laos,2000,1.50369,7.26613,
Laos,2001,1.99028,9.11739,
Laos,2002,2.82522,16.20456,45.03373
Laos,2004,2.413,16.24385,
Laos,2005,2.41409,13.73158,62.53258
Laos,2006,2.95879,17.48047,
Laos,2007,3.07842,17.35746,
Laos,2008,2.27855,13.963,
Laos,2010,2.77387,11.89297,
Laos,2014,4.17047,15.35253,
Latvia,1996,3.68828,,
Latvia,1997,3.65048,,
Latvia,1998,3.85527,11.00897,18.778
Latvia,1999,3.50193,9.90669,20.14742
Latvia,2000,2.98851,10.26199,20.89552
Latvia,2001,3.06679,11.1588,19.23077
Latvia,2002,3.26617,11.50504,18.73112
Latvia,2003,3.24727,10.80686,17.16637
Latvia,2004,3.21245,10.19194,16.28647
Latvia,2006,3.2848,9.77717,25.35986
Latvia,2007,3.26785,9.88639,24.82457
Latvia,2008,3.79084,10.37558,26.67222
Latvia,2009,3.91929,9.15413,28.18896
Latvia,2010,3.55563,8.29944,28.48895
Latvia,2011,3.48792,8.95797,27.62784
Latvia,2012,3.20394,8.73077,28.19024
Lebanon,1996,2.08467,,
Lebanon,2001,2.84148,7.42125,
Lebanon,2002,2.55271,7.0563,
Lebanon,2004,2.66674,7.93123,
Lebanon,2005,2.67227,8.42131,
Lebanon,2006,2.80863,7.69319,
Lebanon,2007,2.60987,7.34104,
Lebanon,2008,2.035,5.86977,
Lebanon,2009,1.77877,5.503,
Lebanon,2010,1.63173,5.53429,
Lebanon,2011,1.64626,5.73381,
Lebanon,2012,2.1894,7.10915,
Lebanon,2013,2.57268,8.57552,
Lesotho,1997,13.17703,,
Lesotho,1999,14.1626,23.55235,49.64197
Lesotho,2000,11.492,19.20038,48.63788
Lesotho,2001,10.77399,23.84892,53.22691
Lesotho,2002,11.80636,24.36376,
Lesotho,2003,15.61544,32.10573,
Lesotho,2004,13.27157,27.6499,
Lesotho,2005,14.79096,32.40492,43.03617
Lesotho,2006,13.85772,28.23381,40.12473
Lesotho,2008,12.98201,24.69755,35.99421
Liberia,2008,3.26127,7.27842,
Liberia,2012,2.82069,8.10176,30.72199
Libya,1999,2.26417,8.13873,
Liechtenstein,2003,2.46014,,29.26718
Liechtenstein,2004,2.43333,,29.00164
Liechtenstein,2006,2.05381,,31.03178
Liechtenstein,2007,1.92119,,30.56831
Liechtenstein,2008,2.04837,,31.06497
Liechtenstein,2011,2.55604,,38.62014
Lithuania,1997,,16.71701,
Lithuania,1998,,16.61294,
Lithuania,2003,,,14.79363
Lithuania,2004,17.84838,,14.31399
Lithuania,2005,16.82612,,14.91719
Lithuania,2006,16.64437,14.28965,15.04472
Lithuania,2007,15.85024,13.32594,14.44313
Lithuania,2008,16.69268,13.05296,14.91504
Lithuania,2009,19.25768,12.77762,12.96967
Lithuania,2010,18.31372,12.85883,16.71388
Lithuania,2011,17.69513,12.33635,15.23921
Luxembourg,1996,3.35865,,
Luxembourg,2001,3.60224,9.69806,
Macao,1998,3.68109,,28.94882
Macao,1999,3.69231,,
Macao,2000,3.67962,,24.80577
Macao,2001,2.85865,,
Macao,2002,2.99049,,22.03611
Macao,2003,2.89245,,24.79608
Macao,2004,2.3173,,
Macao,2005,2.34887,,
Macao,2006,2.23985,,
Macao,2007,2.08706,,
Macao,2008,2.22777,,
Macao,2009,2.56586,12.90882,
Macao,2010,2.6076,15.67268,
Macao,2011,2.69069,16.13787,
Macao,2012,3.34046,20.22375,
Macao,2013,2.05939,14.25466,
Macedonia,1996,4.52623,,
Macedonia,2002,3.30015,8.64088,
Madagascar,1997,1.84964,10.64502,
Madagascar,1998,1.87065,9.38266,40.26915
Madagascar,1999,2.76755,15.539,
Madagascar,2000,2.91135,15.89018,
Madagascar,2001,3.25033,17.68298,
Madagascar,2002,2.71621,17.93601,
Madagascar,2003,3.03949,15.76285,
Madagascar,2004,3.2643,12.96052,
Madagascar,2005,3.84817,18.03287,57.30637
Madagascar,2006,3.28253,15.32419,58.65435
Madagascar,2007,3.36988,18.04436,54.69952
Madagascar,2008,2.91041,16.25801,53.57201
Madagascar,2009,3.17751,22.5854,52.28206
Madagascar,2011,2.78112,19.7794,47.06569
Madagascar,2012,2.73217,20.32568,47.35179
Madagascar,2013,2.07999,13.98948,
Malawi,1996,5.38126,,
Malawi,1999,4.99491,,65.2558
Malawi,2000,5.24797,,52.8109
Malawi,2001,4.50898,,45.22538
Malawi,2003,4.21763,16.55257,54.9243
Malawi,2010,4.35638,12.51796,34.76037
Malawi,2011,5.35337,15.213,34.64087
Malawi,2013,7.69988,20.36157,36.73603
Malawi,2014,6.87791,16.33672,49.47836
Malaysia,1996,4.91385,,
Malaysia,1997,4.62038,18.98457,
Malaysia,1999,5.68681,21.18855,
Malaysia,2000,5.97162,21.39068,27.16796
Malaysia,2001,7.48447,24.34852,27.79817
Malaysia,2002,7.65793,25.9036,31.18679
Malaysia,2003,7.50288,24.54244,29.27681
Malaysia,2004,5.92388,21.01292,29.57187
Malaysia,2006,4.48578,16.74557,27.70714
Malaysia,2007,4.37255,16.12466,29.82499
Malaysia,2008,3.95851,14.03864,39.06479
Malaysia,2009,5.97418,18.46463,27.67631
Malaysia,2010,5.11661,18.40623,28.5825
Malaysia,2011,5.93474,20.97702,29.27143
Malaysia,2013,6.29209,21.47878,30.29854
Maldives,2002,5.7039,21.2399,
Maldives,2003,5.36855,20.3462,54.12831
Maldives,2004,4.75694,19.47924,54.12893
Maldives,2005,5.21198,13.01498,54.12952
Maldives,2006,4.96182,13.34758,50.34166
Maldives,2007,4.72755,12.74641,
Maldives,2008,4.79509,12.61971,50.35274
Maldives,2009,7.0041,17.5128,
Maldives,2011,5.96772,17.67886,
Maldives,2012,5.16456,15.29215,
Mali,1998,2.97969,,44.71073
Mali,1999,2.98639,,44.71151
Mali,2000,3.62371,15.32381,
Mali,2001,3.50314,14.49319,
Mali,2002,3.3701,14.52521,
Mali,2003,4.10313,18.28376,
Mali,2004,4.31077,17.73635,
Mali,2005,4.14605,16.2803,
Mali,2008,3.81687,18.03169,39.02518
Mali,2009,4.39837,16.95944,43.99744
Mali,2010,3.7898,16.50394,25.28056
Mali,2011,4.57597,18.25828,38.46856
Mali,2012,4.18676,22.40338,38.31502
Mali,2013,3.91349,16.62345,39.45815
Mali,2014,4.33446,18.22425,43.18799
Malta,1998,4.40561,,23.57741
Malta,2002,4.31127,9.53534,25.02397
Malta,2004,4.79185,10.56516,21.09898
Malta,2007,6.31293,14.53679,21.78029
Malta,2008,5.8462,13.09073,23.11467
Malta,2009,5.44377,12.34974,21.98299
Malta,2010,6.91128,15.73082,21.64769
Malta,2011,7.96375,18.8981,14.78764
Malta,2012,6.75966,15.25658,22.72691
Marshall Islands,1999,14.53904,28.54381,
Marshall Islands,2002,8.66987,14.8142,45.47052
Marshall Islands,2003,12.24,22.50875,
Mauritania,1997,2.34373,,
Mauritania,1999,2.43289,,54.48709
Mauritania,2001,2.8395,,
Mauritania,2002,3.05538,,
Mauritania,2003,3.10349,,
Mauritania,2004,2.51687,8.17586,
Mauritania,2006,2.52458,10.31029,
Mauritania,2008,3.55225,13.88017,42.63684
Mauritania,2010,3.60428,16.03502,47.54608
Mauritania,2011,3.07791,13.68266,45.07309
Mauritania,2012,2.99699,10.01775,47.26514
Mauritania,2013,3.27544,11.40537,43.20938
Mauritius,1999,3.93976,16.76763,
Mauritius,2000,3.81526,14.31736,
Mauritius,2001,3.16975,11.97105,33.17422
Mauritius,2002,3.11292,11.51012,30.528
Mauritius,2003,4.48438,15.91087,31.40319
Mauritius,2004,4.472,16.21239,29.93843
Mauritius,2005,4.20155,15.82166,27.16528
Mauritius,2006,3.81811,14.13833,26.24491
Mauritius,2007,3.32607,12.74995,
Mauritius,2008,3.20384,11.95525,28.39471
Mauritius,2009,3.15771,11.64793,26.45663
Mauritius,2010,3.65578,14.57315,26.96169
Mauritius,2011,3.41084,13.84617,27.10349
Mauritius,2012,3.48589,14.96062,26.41398
Mauritius,2013,3.6769,14.78901,27.47102
Mauritius,2014,4.98984,20.9054,22.6824
Mexico,1998,3.52947,15.78817,35.39793
Mexico,1999,3.6621,16.34315,40.35094
Mexico,2000,4.13411,19.77632,40.35094
Mexico,2001,4.42832,20.84655,39.57124
Mexico,2002,4.63847,20.97145,39.16489
Mexico,2003,5.18674,22.44291,39.28331
Mexico,2004,4.80018,22.20036,40.00292
Mexico,2005,4.90795,22.18896,39.0791
Mexico,2006,4.74132,20.74933,38.82099
Mexico,2007,4.73198,20.24585,38.24865
Mexico,2008,4.85821,18.80036,37.20858
Mexico,2009,5.21749,18.47241,36.21646
Mexico,2010,5.19197,19.42911,35.98383
Mexico,2011,5.1462,19.00752,35.50244
Micronesia (country),1999,6.40977,8.78498,
Micronesia (country),2000,6.70818,9.96512,
Moldova,1996,9.8966,,
Moldova,1999,4.66255,13.87681,
Moldova,2000,4.48642,12.99873,
Moldova,2001,4.84691,16.47752,
Moldova,2002,5.49791,18.08781,
Moldova,2003,5.4249,16.28233,
Moldova,2004,6.77109,19.55373,
Moldova,2005,7.16273,19.35065,
Moldova,2006,7.49893,18.67197,
Moldova,2007,8.29343,19.48785,17.11075
Moldova,2008,8.23733,19.82275,17.35672
Moldova,2009,9.50976,21.01412,17.88562
Moldova,2010,9.11211,22.3361,18.01822
Moldova,2011,8.5597,21.9582,18.8651
Moldova,2012,8.34896,20.82347,18.26737
Moldova,2014,7.50124,18.83653,22.69672
Monaco,1996,1.08224,,
Monaco,1997,1.21242,6.40111,
Monaco,1998,1.20883,6.48977,16.84608
Monaco,1999,1.19528,5.0717,17.23434
Monaco,2000,1.25536,6.3279,15.75302
Monaco,2004,1.24386,5.92595,15.39129
Monaco,2009,1.32877,6.59881,15.05183
Monaco,2010,1.32022,6.36322,15.25156
Monaco,2011,1.59142,8.07617,11.88624
Monaco,2012,1.77513,8.87595,10.25539
Monaco,2013,1.33332,7.05922,13.11917
Monaco,2014,,5.00886,15.99401
Mongolia,1997,3.94897,12.80767,
Mongolia,1998,5.49302,15.17901,
Mongolia,1999,5.14566,15.25156,
Mongolia,2000,5.55037,16.07477,
Mongolia,2002,7.21078,20.31151,
Mongolia,2004,4.32573,13.57351,25.06783
Mongolia,2007,4.69013,13.28645,26.71402
Mongolia,2009,5.14485,14.51142,27.37934
Mongolia,2010,4.6451,14.71111,26.89597
Mongolia,2011,4.60903,12.15085,32.73583
Morocco,1998,5.34362,25.21153,40.49369
Morocco,1999,5.38568,25.76847,38.93294
Morocco,2008,5.5602,17.47064,35.53307
Morocco,2009,5.3758,17.29529,37.72544
Mozambique,1998,2.31234,12.05375,
Mozambique,1999,3.65996,16.92332,
Mozambique,2004,4.45532,18.00154,
Mozambique,2005,5.20143,22.71818,
Mozambique,2006,5.00683,18.55004,57.6559
Mozambique,2012,6.21012,19.76724,51.92901
Mozambique,2013,6.71555,19.03288,49.24664
Namibia,1999,7.21755,23.04277,58.46612
Namibia,2000,6.99139,21.92506,58.7878
Namibia,2001,6.91282,22.77571,58.7878
Namibia,2002,6.76239,21.83686,60.046
Namibia,2003,6.11511,20.32821,63.13306
Namibia,2006,6.03782,21.60299,60.87177
Namibia,2008,6.48408,25.07235,47.60078
Namibia,2010,8.3505,26.19325,40.01321
Nepal,1998,2.89288,,51.20334
Nepal,1999,2.89331,,48.29229
Nepal,2000,2.97515,19.11359,55.02941
Nepal,2001,3.70838,21.61894,55.3618
Nepal,2002,3.15283,20.42635,59.21355
Nepal,2003,3.11435,21.30218,56.471
Nepal,2004,3.17194,21.60618,
Nepal,2005,3.36464,22.27689,
Nepal,2006,3.60536,25.48504,
Nepal,2007,3.51721,21.12867,
Nepal,2008,3.80517,22.11482,62.3792
Nepal,2009,4.66376,19.84753,62.97432
Nepal,2010,4.71699,20.81352,
Nepal,2013,4.08747,21.39802,
Nepal,2014,4.72197,22.09018,50.5744
Netherlands,1996,4.57432,,
Netherlands,1998,4.61254,10.58261,24.85826
Netherlands,1999,4.57832,10.48322,24.83668
Netherlands,2000,4.6189,11.07332,25.00584
Netherlands,2001,4.75615,11.01248,25.92757
Netherlands,2002,4.87973,11.09102,27.0628
Netherlands,2003,5.10994,11.40185,27.38878
Netherlands,2004,5.15019,11.71956,26.31684
Netherlands,2005,5.20605,12.1909,25.91688
Netherlands,2006,5.14168,11.82707,25.15815
Netherlands,2007,4.97065,11.62183,24.83534
Netherlands,2008,5.11925,11.68874,24.55709
Netherlands,2009,5.49481,11.40658,24.86559
Netherlands,2010,5.5558,11.52436,24.31032
Netherlands,2011,5.52617,11.75423,23.69466
Netherlands,2012,5.51428,11.61935,23.76971
New Zealand,1996,6.38369,,
New Zealand,1997,6.15723,,
New Zealand,1999,6.6362,17.72079,27.9069
New Zealand,2001,6.56051,18.2456,27.74658
New Zealand,2002,6.40697,18.31226,26.46568
New Zealand,2003,6.42942,18.29794,25.55097
New Zealand,2004,6.50391,18.56677,25.28022
New Zealand,2005,6.26888,17.75142,25.74121
New Zealand,2006,5.93511,16.55642,24.42916
New Zealand,2007,5.92504,16.36142,23.98573
New Zealand,2008,5.52808,15.37095,22.3729
New Zealand,2009,6.34519,16.75341,22.6461
New Zealand,2010,7.0531,16.64842,24.42957
New Zealand,2011,6.99861,16.67924,24.10865
New Zealand,2012,7.25271,19.35049,26.04821
Nicaragua,1998,2.22585,13.38182,
Nicaragua,1999,2.92365,14.7168,
Nicaragua,2000,3.0016,14.5737,
Nicaragua,2002,2.39101,15.68779,
Nicaragua,2003,2.42201,14.887,
Nicaragua,2010,4.49311,22.75367,39.81187
Niger,1996,2.59498,,
Niger,1999,3.22863,17.11781,
Niger,2000,3.18947,18.78317,
Niger,2001,2.86725,16.59557,
Niger,2002,3.06366,16.65247,
Niger,2003,2.40162,13.8455,72.6454
Niger,2006,3.33406,16.88377,69.48496
Niger,2007,4.02097,17.37597,70.09502
Niger,2008,3.66293,16.17733,69.34212
Niger,2009,4.52603,18.91294,63.41115
Niger,2010,3.73339,18.10404,60.97789
Niger,2011,4.20718,21.67581,56.36256
Niger,2012,4.32767,19.19202,51.94162
Niger,2013,4.90878,18.08446,53.25917
Niger,2014,6.77798,21.66142,52.18609
Norway,1996,7.13815,,
Norway,1997,7.30354,15.90564,
Norway,1998,7.36069,15.24957,26.33783
Norway,1999,6.96642,14.85471,
Norway,2000,6.46468,15.48646,
Norway,2001,6.82941,15.73486,
Norway,2002,7.44132,16.25644,25.469
Norway,2003,7.4198,15.75515,26.63089
