Entity,Year,Total water withdrawal per capita,Total water withdrawal,Municipal water as share of total withdrawal,Municipal water withdrawal,Irrigation water withdrawal,Irrigation water requirement,Industrial water as share of total withdrawal,Industrial water withdrawal,Agricultural water withdrawal,Agricultural water as share of total withdrawal
Jamaica,2005,300.2,0.812,35.47,0.288,0.448,0.129,9.36,0.076,0.448,55.17
Japan,1980,749.3,88.2,15.53,13.7,,,18.71,16.5,58,65.76
Japan,1990,742,91.4,18.6,17,,,17.29,15.8,58.6,64.11
Japan,1995,713.6,89.23,18.31,16.34,58.53,,15.7,14.01,58.88,65.99
Japan,2000,670.5,84.65,19.23,16.28,55.6,,14.55,12.32,56.05,66.21
Japan,2005,652.1,82.98,18.92,15.7,54.05,38.31,15.4,12.78,54.5,65.68
Japan,2010,640.6,81.45,18.92,15.41,53.99,,14.25,11.61,54.43,66.83
Jordan,1975,215.6,0.451,29.05,0.131,,,5.987,0.027,0.293,64.97
Jordan,1980,217.2,0.535,24.86,0.133,,,4.673,0.025,0.377,70.47
Jordan,1985,207.6,0.619,21.81,0.135,,,3.716,0.023,0.461,74.47
Jordan,1990,262.8,0.984,21.75,0.214,,,3.354,0.033,0.737,74.9
Jordan,2000,162.6,0.803,31.01,0.249,,,4.608,0.037,0.517,64.38
Jordan,2005,161.8,0.932,31.55,0.294,,0.3011,5.258,0.049,0.589,63.2
Jordan,2010,121.4,0.849,41.7,0.354,,,3.887,0.033,0.462,54.42
Jordan,2015,145.4,1.104,44.47,0.491,,,3.442,0.038,0.575,52.08
Kazakhstan,1995,2177,33.67,1.732,0.583,,,16.86,5.678,27.41,81.41
Kazakhstan,2000,1312,19.7,4.218,0.831,,,20.66,4.07,14.8,75.13
Kazakhstan,2005,1315,20.72,4.117,0.853,,,28.18,5.839,14.03,67.71
Kazakhstan,2010,1257,21.14,4.153,0.878,,6.448,29.63,6.263,14,66.23
Kenya,1990,81.86,2.049,19.67,0.403,,,3.904,0.08,1.566,76.43
Kenya,2000,,,,,,,,,1.01,
Kenya,2005,62.28,2.32,20.26,0.47,,0.486,4.31,0.1,1.75,75.43
Kenya,2010,75.64,3.218,36.86,1.186,1.602,,3.884,0.125,1.907,59.26
Kuwait,1995,319.1,0.538,37.36,0.201,,,2.416,0.013,0.324,60.22
Kuwait,2000,447.2,0.9132,43.86,0.4005,,,2.278,0.0208,0.4919,53.87
Kuwait,2005,,,,0.4483,,0.119,,0.0233,,
Kyrgyzstan,1995,2131,10.09,2.983,0.301,,,2.864,0.289,9.496,94.11
Kyrgyzstan,2000,2005,10.08,3.175,0.32,,,3.075,0.31,9.45,93.75
Kyrgyzstan,2005,1531,8.007,2.798,0.224,,2.918,4.196,0.336,7.447,93.01
Kyrgyzstan,2010,,,,,,,,,7.1,
Laos,1985,,,,0.0792,,,,0.099,,
Laos,2005,588,3.493,3.722,0.13,3.193,1.521,4.867,0.17,3.193,91.41
Latvia,1995,171.7,0.418,,,,,,,0.036,8.612
Latvia,2000,110.6,0.2563,,,,,,,0.0532,20.76
Latvia,2005,100.5,0.2182,57.29,0.125,,0.0355,19.52,0.0426,0.0506,23.19
Latvia,2010,127.7,0.2602,62.68,0.1631,,,21.64,0.0563,0.0408,15.68
Latvia,2015,125.8,0.2478,64.29,0.1593,,,21.07,0.0522,0.0363,14.65
Lebanon,1975,288.2,0.751,11.05,0.083,,,3.995,0.03,0.638,84.95
Lebanon,1995,418,1.293,28.46,0.368,,,3.867,0.05,0.875,67.67
Lebanon,2000,406.8,1.433,30.29,0.4341,,,5.506,0.0789,0.92,64.2
Lebanon,2005,320.7,1.31,29.01,0.38,,0.529,11.45,0.15,0.78,59.54
Lesotho,1985,32.89,0.05,22,0.011,,,22,0.011,0.028,56
Lesotho,2000,23.24,0.0438,45.66,0.02,0.0038,0.001,45.66,0.02,0.0038,8.676
Liberia,1985,59.2,0.13,27,0.0351,,0.003,13,0.0169,0.078,60
Liberia,2000,42.59,0.1308,54.36,0.0711,0.0123,,36.24,0.0474,0.0123,9.404
Liberia,2005,,,,0.0802,,,,0.0534,,
Libya,1975,422.5,1.2,,,,,,,,
Libya,1980,426.1,1.47,,,,,,,,
Libya,1985,764,3.115,12.62,0.393,,,,,1.965,63.08
Libya,1990,1035,4.76,8.613,0.41,,,1.471,0.07,4.28,89.92
Libya,1995,908.7,4.6,10.87,0.5,,,2.174,0.1,4,86.96
Libya,2000,784,4.326,14.1,0.61,,1.833,3.051,0.132,3.584,82.85
Libya,2005,809.1,4.869,,,,,,,,
Libya,2010,927.9,5.83,12.01,0.7,,,4.803,0.28,4.85,83.19
Lithuania,1995,1218,4.352,4.71,0.205,,,95.11,4.139,0.008,0.1838
Lithuania,2000,806.3,2.768,6.214,0.172,,,91.87,2.543,0.053,1.915
Lithuania,2005,695.2,2.269,,,0.0019,0.0014,,,0.0818,3.605
Lithuania,2010,209.4,0.6314,23.74,0.1499,0.0009,,65.87,0.4159,0.0656,10.39
Luxembourg,1970,84.92,0.0348,,,,,,,,
Luxembourg,1975,102.6,0.0425,,,,,,,,
Luxembourg,1980,95.2,0.0397,,,,,,,,
Luxembourg,1985,159.9,0.067,,,,,,,,
Luxembourg,1990,,,,0.0561,0.0002,,,,,
Luxembourg,1995,130.5,0.0565,74.34,0.042,0.0002,,25.49,0.0144,0.0002,0.354
Luxembourg,2000,136.4,0.0605,76.2,0.0461,,,23.47,0.0142,0.0002,0.3306
Luxembourg,2010,83.57,0.0445,91.24,0.0406,0.00002,,8.315,0.0037,0.0002,0.4494
Luxembourg,2015,76,0.0431,94.66,0.0408,0,,4.64,0.002,0.0003,0.6961
Macedonia,1995,789.7,1.555,13.83,0.215,,,17.62,0.274,1.066,68.55
Macedonia,2000,312.1,0.6332,33.5,0.2121,0.2814,,22.06,0.1397,0.2814,44.44
Macedonia,2005,268.7,0.5512,41.07,0.2264,0.1255,0.0784,36.16,0.1993,0.1255,22.77
Macedonia,2010,,,,,0.3599,,,,,
Macedonia,2015,,,,0.2317,0.1565,,,0.107,,
Madagascar,1985,1543,16.3,1,0.163,,,0,0,16.14,99.02
Madagascar,2000,798.9,13.37,1.786,0.2388,13,4.398,0.9783,0.1308,13,97.23
Madagascar,2005,700,13.56,2.913,0.395,,,1.194,0.1619,13,95.87
Malawi,1985,,,,0.054,,,,0.027,,
Malawi,1990,,,,0.0768,,,,0.0298,,
Malawi,1995,91.23,0.936,10.15,0.095,,,3.419,0.032,0.809,86.43
Malawi,2000,112.4,1.325,9.026,0.1196,1.166,0.3098,3.011,0.0399,1.166,88
Malawi,2005,100.5,1.357,10.55,0.1431,1.166,,3.515,0.0477,1.166,85.92
Malaysia,1990,526.9,10.12,8.083,0.818,,,9.872,0.999,8.3,82.02
Malaysia,1995,251.7,5.488,24.45,1.342,2.505,1.271,29.9,1.641,2.505,45.65
Malaysia,2000,381.3,9.305,32.81,3.053,2.505,,40.27,3.747,2.505,26.92
Malaysia,2005,419,11.2,34.84,3.902,2.505,,42.75,4.788,2.505,22.37
Maldives,1985,16.74,0.0034,97.06,0.0033,,,2.941,0.0001,0,0
Maldives,2000,,,,0.0062,,,,0.0002,,
Maldives,2010,17.11,0.0059,94.92,0.0056,0,,5.085,0.0003,0,0
Mali,1985,168.5,1.36,1.985,0.027,,,1.029,0.014,1.319,96.99
Mali,1995,,,,,,,,,3.725,
Mali,2000,,,,,,1.469,,,4.99,
Mali,2005,376.9,5.186,2.063,0.107,5,,0.0771,0.004,5.075,97.86
Malta,1970,,,,0.016,,,,,,
Malta,1975,,,,0.0179,,,,,,
Malta,1980,61.16,0.02,,,,,,,,
Malta,1985,,,,0.0269,,,,0,,
Malta,1995,147.8,0.056,87.5,0.049,,,0,0,0.007,12.5
Malta,2000,137.5,0.0538,63.94,0.0344,0.0189,,0.9294,0.0005,0.0189,35.13
Malta,2005,138.2,0.0557,61.76,0.0344,0.0203,0.012,1.795,0.001,0.0203,36.45
Malta,2010,96.01,0.0399,37.09,0.0148,0.0241,,2.506,0.001,0.0241,60.4
Malta,2015,108.2,0.0453,33.77,0.0153,0.029,,2.208,0.001,0.029,64.02
Mauritania,1980,449.5,0.73,12.05,0.088,,,3.973,0.029,0.613,83.97
Mauritania,1985,,,,0.1,,,,,1.5,
Mauritania,2000,554.9,1.601,4.741,0.0759,,,1.58,0.0253,1.5,93.69
Mauritania,2005,405.6,1.35,7.067,0.0954,1.223,0.3748,2.356,0.0318,1.223,90.59
Mauritius,1975,390.3,0.36,16.22,0.0584,,,6.889,0.0248,0.2768,76.89
Mauritius,1990,522.6,0.566,,,,,,,,
Mauritius,1995,532.9,0.615,17.56,0.108,,,7.642,0.047,0.46,74.8
Mauritius,2000,507.5,0.61,,,,0.132,,,,
Mauritius,2005,588,0.725,29.52,0.214,,,2.759,0.02,0.491,67.72
Mexico,1980,771.9,56,,,,,,,,
Mexico,1995,,,,,,40,,,62.5,
Mexico,2000,687.6,72.6,13.22,9.6,,,9.504,6.9,56.1,77.27
Mexico,2005,697.8,78.95,14.14,11.16,58.78,26.03,9.145,7.22,60.57,76.72
Mexico,2010,677.7,82.73,14.48,11.98,59.38,,8.948,7.403,63.35,76.57
Mexico,2015,674.4,85.66,14.57,12.48,,,9.135,7.825,65.36,76.3
Moldova,1990,448.7,1.963,13.7,0.269,,,46.82,0.919,0.775,39.48
Moldova,1995,,,,,,,,,0.35,
Moldova,2000,,,,0.164,,,,0.9912,,
Moldova,2005,258,1.065,13.71,0.146,,0.0251,82.86,0.8825,0.036,3.38
Moldova,2010,,,,,,,,,0.039,
Moldova,2015,,,,,,,,,0.038,
Monaco,1990,224.4,0.0067,100,0.0067,,,0,0,0,0
Monaco,1995,192.1,0.006,100,0.006,,,0,0,0,0
Monaco,2000,177.6,0.0058,100,0.0058,,,0,0,0,0
Monaco,2005,156.9,0.0055,100,0.0055,,,0,0,0,0
Monaco,2010,133.7,0.005,100,0.005,,,0,0,0,0
Mongolia,1995,183.2,0.428,19.86,0.085,,0.108,27.1,0.116,0.227,53.04
Mongolia,2005,208.3,0.54,18.15,0.098,0.094,,40.37,0.218,0.224,41.48
Mongolia,2010,196.2,0.551,12.89,0.071,0.129,,43.19,0.238,0.242,43.92
Montenegro,2005,,,,,,,,0.0673,0.0066,
Montenegro,2010,257.9,0.1609,59.91,0.0964,,0.0005,39.03,0.0628,0.0017,1.057
Morocco,1975,481.6,9,,,,,,,,
Morocco,1980,477,10.05,,,,,,,,
Morocco,1985,466.9,11,,,,,,,,
Morocco,1990,426.8,11.04,4.918,0.543,,,2.917,0.322,10.18,92.21
Morocco,1995,403.1,11.26,,,,,,,9.884,87.78
Morocco,2000,501.8,14.82,20.24,3,,,5.169,0.766,11.05,74.56
Morocco,2005,,,,,,5.823,,,,
Morocco,2010,316.2,10.43,10.19,1.063,,,2.033,0.212,9.156,87.79
Mozambique,1990,42.59,0.605,8.76,0.053,,,1.983,0.012,0.54,89.26
Mozambique,2000,45.7,0.8842,19.22,0.1699,0.69,0.1833,2.748,0.0243,0.69,78.04
Mozambique,2005,,,,0.2537,,,,0.0362,,
Mozambique,2015,52.65,1.473,25.25,0.372,1.005,,1.697,0.025,1.076,73.05
Myanmar,1985,706.4,28.26,0.9809,0.2772,,,0.4204,0.1188,27.86,98.58
Myanmar,2000,682.5,33.23,10,3.323,,,1,0.3323,29.57,88.99
Myanmar,2005,,,,,,12.38,,0.4984,,
Namibia,1985,112.3,0.14,,,,,,,0.115,82.14
Namibia,1990,164.5,0.249,28.51,0.071,,,3.213,0.008,0.17,68.27
Namibia,1995,155.3,0.273,26.01,0.071,,,3.846,0.0105,0.1915,70.15
Namibia,2000,147.1,0.288,25.35,0.073,0.144,0.032,4.861,0.014,0.201,69.79
Nepal,1995,,,,0.246,,,,0.005,,
Nepal,2000,390,9.562,2.114,0.2021,9.32,,0.4225,0.0404,9.32,97.47
Nepal,2005,364.4,9.497,1.554,0.1476,9.32,5.428,0.3106,0.0295,9.32,98.14
Netherlands,1980,645.2,9.198,,,,,,,,
Netherlands,1985,638.8,9.349,,,,,,,,
Netherlands,1990,527.7,7.983,16.03,1.28,,,81.66,6.519,0.184,2.305
Netherlands,1995,416.2,6.507,19.47,1.267,0.23,,76.99,5.01,0.23,3.535
Netherlands,2000,554.5,8.914,14.62,1.303,,,84.79,7.558,0.0526,0.5901
Netherlands,2005,665.1,10.95,11.4,1.248,0.0387,0.0425,87.94,9.629,0.0719,0.6566
Netherlands,2010,640,10.72,11.35,1.217,0.023,,88.12,9.446,0.0602,0.5616
New Zealand,1980,376.3,1.2,,,,,,,,
New Zealand,1985,574,1.9,46,0.874,,,10,0.19,0.836,44
New Zealand,2000,792.5,3.14,19.75,0.62,1.6,,6.369,0.2,,
New Zealand,2005,1158,4.908,23.41,1.149,2.53,1.492,19.13,0.939,2.82,57.46
New Zealand,2010,1172,5.201,15.57,0.81,2.8,,22.76,1.184,3.207,61.66
Nicaragua,2000,268.4,1.388,13.04,0.181,,,1.945,0.027,1.18,85.01
Nicaragua,2005,,,,,,0.512,,0.0736,,
Nicaragua,2010,262.9,1.545,18.51,0.286,1.11,,4.764,0.0736,1.185,76.7
Niger,1990,59.23,0.5,16,0.08,,,2,0.01,0.41,82
Niger,1995,,,,,,0.2012,,,,
Niger,2000,,,,0.2554,,,,0.0284,,
Niger,2005,67.7,0.9836,29.93,0.2944,0.6565,,3.325,0.0327,0.6565,66.74
Niger,2010,,,,0.0617,,,,0.0137,,
Nigeria,1985,63.23,5.59,20.13,1.125,,,9.75,0.545,3.92,70.13
Nigeria,2000,79.77,10.31,31.45,3.242,,,15.07,1.554,5.51,53.44
Nigeria,2005,78.63,11.57,35.43,4.099,7.047,1.695,16.98,1.965,5.51,47.62
Nigeria,2010,74.12,12.47,40.1,5,4.549,,15.76,1.965,5.51,44.19
North Korea,1985,,,,1.56,,,,2.27,,
North Korea,1995,,,,,,3.016,,,6.61,
North Korea,2000,,,,0.8576,,,,1.088,,
North Korea,2005,359.1,8.658,10.43,0.9028,,,13.22,1.145,6.61,76.35
Norway,1980,486.9,2,,,,,,,,
Norway,1990,,,,0.75,,,,,,
Norway,1995,548.4,2.42,32.27,0.781,0.1886,,37.56,0.909,0.73,30.17
Norway,2000,528.8,2.399,33.68,0.808,0.1131,,32.64,0.783,0.808,33.68
Norway,2005,641.5,3.026,31.34,0.9482,0.1128,0.0677,40.75,1.233,0.8449,27.92
Norway,2010,,,,0.816,,,,1.071,,
Norway,2015,,,,0.838,,,,,,
Oman,1990,617.7,1.223,4.579,0.056,,,1.554,0.019,1.148,93.87
Oman,2000,585.4,1.36,7.353,0.1,,,2.206,0.03,1.23,90.44
Oman,2005,509.3,1.321,10.14,0.134,,0.721,1.438,0.019,1.168,88.42
Pakistan,1975,2162,153.4,1,1.534,,,1,1.534,150.3,97.98
Pakistan,1990,1370,155.6,1.607,2.5,,,1.607,2.5,150.6,96.79
Pakistan,2000,1196,172.6,3.702,6.39,,,2.01,3.47,162.7,94.26
Pakistan,2005,,,,8,,,,,,
Pakistan,2010,1034,183.5,5.259,9.65,,126.9,0.7629,1.4,172.4,93.95
Palestine,2000,82.52,0.279,36.34,0.1014,,,5.233,0.0146,0.167,59.86
Palestine,2005,111.3,0.418,47.85,0.2,,0.0931,6.938,0.029,0.189,45.22
Panama,2000,,,,0.2067,,,,0.015,,
Panama,2005,,,,0.2629,,,,0.0191,,
Panama,2010,277,1.037,56.03,0.581,0.446,,0.9643,0.01,0.446,43.01
Papua New Guinea,1985,,,,0.029,,,,0.022,,
Papua New Guinea,2000,48.01,0.2714,56.93,0.1545,,,42.7,0.1159,0.001,0.3685
Papua New Guinea,2005,61.39,0.3921,57,0.2235,,,42.74,0.1676,0.001,0.255
Paraguay,1985,110.7,0.43,15,0.0645,,,7,0.0301,0.3354,78
Paraguay,2000,88.95,0.49,20.41,0.1,,,8.163,0.04,0.35,71.43
Paraguay,2010,378.3,2.413,15,0.362,,1.6,6.382,0.154,1.897,78.62
Peru,1990,,,,1.26,,,,,,
Peru,1995,,,,,,5.663,,,,
Peru,2010,452.9,13.66,9.18,1.254,,,2.116,0.289,12.12,88.73
Philippines,1995,,,,4.269,,,,2.296,,
Philippines,2000,,,,5.406,,,,2.907,,
Philippines,2005,886.9,78.9,7.412,5.848,,33.28,9.452,7.458,65.59,83.13
Philippines,2010,849.4,81.56,7.645,6.235,,,10.12,8.254,67.07,82.23
Poland,1970,303.3,10.11,,,,,,,1.681,16.63
Poland,1975,389,13.53,,,0.8246,,,,1.662,12.28
Poland,1980,414.3,15.13,,,0.2906,,,,1.323,8.744
Poland,1985,433.4,16.41,,,0.522,,,,1.606,9.787
Poland,1990,348.7,13.39,21.21,2.84,0.3,,68.56,9.18,1.37,10.23
Poland,1995,331.8,12.8,17.91,2.292,0.11,,73.63,9.425,1.083,8.461
Poland,2000,305,11.73,,,0.0876,,,,1.108,9.446
Poland,2005,312.5,12.03,,,0.0981,0.0314,,,1.122,9.327
Poland,2010,297.3,11.48,,,0.0801,,,,1.102,9.599
Portugal,1990,864.9,8.6,4.651,0.4,5.1,,36.05,3.1,5.1,59.3
Portugal,1995,,,,,,,,,10,
Portugal,2000,1075,11.14,7.828,0.872,6.559,,13.44,1.497,8.767,78.7
Portugal,2005,867.3,9.151,10.67,0.9763,6.567,2.016,,,,
Portugal,2010,,,,0.9105,3.767,,,,,
Puerto Rico,1990,1174,4.21,13.51,0.5689,0.1948,,81.59,3.435,0.2063,4.9
Puerto Rico,2000,1023,3.881,18.29,0.7099,0.1306,,78.36,3.041,0.1306,3.365
Puerto Rico,2005,1113,4.162,21.71,0.9037,0.0624,0.0483,76.5,3.184,0.0739,1.776
Puerto Rico,2010,1124,4.153,22.6,0.9386,0.0528,,75.85,3.15,0.0641,1.543
Qatar,1975,822.4,0.15,23.33,0.035,,,,,,
Qatar,1995,539.4,0.2849,23.13,0.0659,,,2.948,0.0084,0.2106,73.92
Qatar,2000,463.3,0.2939,23.82,0.07,,,4.729,0.0139,0.21,71.45
Qatar,2005,376.6,0.444,39.19,0.174,,0.076,1.802,0.008,0.262,59.01
Romania,1970,456.4,9.59,15.33,1.47,,,49.22,4.72,3.4,35.45
Romania,1975,652.1,14.4,13.89,2,,,46.18,6.65,5.75,39.93
Romania,1980,823,18.8,11.7,2.2,,,52.18,9.81,6.79,36.12
Romania,1985,879.4,20.5,13.02,2.67,,,45.56,9.34,8.49,41.41
Romania,1990,873.2,20.41,11.02,2.25,,,44.39,9.06,9.1,44.59
Romania,1995,550.5,12.46,16.45,2.05,,,59.63,7.43,2.98,23.92
Romania,2000,422,9.222,20.17,1.86,0.784,,66.91,6.17,1.192,12.93
Romania,2005,328.1,6.884,,,0.718,0.379,,,1.099,15.96
Romania,2010,325,6.482,16.24,1.053,0.371,,66.89,4.336,1.093,16.86
Romania,2015,328.9,6.418,15.27,0.98,0.343,,67.05,4.303,1.135,17.68
Russia,1995,521.7,77.1,18.55,14.3,,,61.61,47.5,15.3,19.84
Russia,2000,455.9,66.2,20.24,13.4,,,59.82,39.6,13.2,19.94
Russia,2010,,,,,,9.227,,,,
Russia,2015,425.2,61,,,,,,,,
Rwanda,1985,,,,0.036,,,,0.012,,
Rwanda,1995,,,,,,0.0258,,,,
Rwanda,2000,17.57,0.15,24,0.036,,,8,0.012,0.102,68
Rwanda,2005,,,,0.0614,,,,0.0205,,
Saint Kitts and Nevis,1995,,,,,0.0002,0.00005,,,0.0002,
Saint Kitts and Nevis,2010,290.8,0.0156,98.72,0.0154,,,0,0,0.0002,1.282
Saint Lucia,2005,252.1,0.0429,29.14,0.0125,,0.0076,0,0,0.0304,70.86
Saint Vincent and the Grenadines,1990,,,,,0.0101,0.0025,,,0.0101,
Saint Vincent and the Grenadines,1995,92.59,0.01,,,,,,,,
Saint Vincent and the Grenadines,2015,77.63,0.0085,100,0.0085,,,0.0235,0.000002,0,0
Sao Tome and Principe,1995,53.8,0.007,,,,,,,,
Saudi Arabia,1990,978.2,17.02,8.913,1.517,,,1.134,0.193,15.31,89.95
Saudi Arabia,2000,,,,2.277,,,,0.2897,,
Saudi Arabia,2005,907.5,23.67,8.999,2.13,,11.6,3,0.71,20.83,88
Senegal,1985,198.6,1.36,5,0.068,,,3.015,0.041,1.251,91.99
Senegal,2000,213.8,2.221,4.412,0.098,,0.9494,2.611,0.058,2.065,92.98
Serbia,2005,433.5,3.958,,,0.0924,,,,0.1282,3.239
Serbia,2010,430.7,3.869,,,0.0661,0.0212,,,0.0974,2.517
Serbia,2015,468.9,4.15,,,0.0878,,,,0.1167,2.812
Seychelles,1990,163.7,0.0119,83.19,0.0099,,,9.244,0.0011,0.0009,7.563
Seychelles,2000,,,,0.0108,,,,0.0012,,
Seychelles,2005,150.8,0.0137,65.69,0.009,,0.0002,27.74,0.0038,0.0009,6.569
Sierra Leone,1985,100.5,0.37,7.027,0.026,,,4.054,0.015,0.329,88.92
Sierra Leone,1990,,,,,0.0457,0.011,,,0.0457,
Sierra Leone,2000,42.72,0.1889,50.56,0.0955,0.0457,,25.25,0.0477,0.0457,24.19
Sierra Leone,2005,39.36,0.2122,52.31,0.111,0.0457,,26.15,0.0555,0.0457,21.54
Singapore,1975,81.97,0.19,45,0.0855,,,51,0.0969,0.0076,4
Singapore,2000,,,,0.8771,,,,0.994,,
Singapore,2005,,,,1.078,,,,1.221,,
Slovakia,1995,243.6,1.31,36.79,0.482,,,58.09,0.761,0.067,5.115
Slovakia,2000,203.2,1.094,38.02,0.4159,0.0436,,56.9,0.6225,0.056,5.119
Slovakia,2005,127.6,0.688,52.11,0.3585,0.014,0.0029,44.62,0.307,0.0225,3.27
Slovakia,2010,122.8,0.6653,45.96,0.3058,0.0211,,49.42,0.3288,0.0307,4.614
Slovakia,2015,103.1,0.5593,,,0.0137,,,,0.0229,4.094
Slovenia,1990,,,,0.2593,0.0037,,,,0.0037,
Slovenia,1995,,,,0.2536,0.0048,,,,0.0048,
Slovenia,2000,452.3,0.8992,20.81,0.1871,0.0066,,78.46,0.7055,0.0066,0.734
Slovenia,2005,463.5,0.9349,17.91,0.1674,0.0046,,81.6,0.7629,0.0046,0.492
Slovenia,2010,449.9,0.9281,17.42,0.1617,0.0023,0.0006,82.33,0.7641,0.0023,0.2478
Slovenia,2015,559,1.156,14.19,0.164,0.0036,,85.47,0.988,0.0036,0.3114
Somalia,1985,131.9,0.81,2.963,0.024,,,0,0,0.786,97.04
Somalia,2000,420.3,3.29,0.304,0.01,,,0,0,3.28,99.7
Somalia,2005,370.2,3.298,0.4548,0.015,,0.263,0.0606,0.002,3.281,99.48
South Africa,1990,344.4,13.31,17.14,2.281,,,10.88,1.448,9.58,71.98
South Africa,1995,300.5,12.9,23.97,3.092,,,8.543,1.102,8.708,67.5
South Africa,2000,276.4,12.79,30.52,3.904,,2.137,8.225,1.052,7.836,61.27
South Africa,2005,,,,,,,,0.9475,,
South Africa,2015,284.5,15.5,27,4.185,9.3,,10.48,1.625,9.69,62.52
South Korea,1975,,,,2.27,,,,,,
South Korea,1990,470.6,20.57,21.73,4.47,14.1,,9.723,2,14.1,68.55
South Korea,1995,561.8,25.44,27,6.87,15.29,,12.89,3.28,15.29,60.1
South Korea,2000,623.5,29.16,29.54,8.613,16.1,,15.26,4.45,16.1,55.21
South Korea,2005,605.7,29.2,23.71,6.924,14.49,3.932,,,15.96,54.66
South Sudan,2010,59.92,0.658,29.33,0.193,,,34.19,0.225,0.24,36.47
Spain,1975,983.5,36.08,,,,,,,,
Spain,1980,1045,39.92,,,,,,,,
Spain,1985,1177,45.85,12,5.502,,,26,11.92,28.43,62.01
Spain,1990,936.6,36.9,18.43,6.8,23.7,,17.34,6.4,23.7,64.23
Spain,1995,865.1,34.6,13.03,4.509,23.09,,19.31,6.68,23.41,67.66
Spain,2000,859.5,35.94,15.16,5.448,22.93,,20.72,7.447,23.04,64.11
Spain,2005,786.8,35.57,16.58,5.898,21.2,,18.26,6.495,23.18,65.17
Spain,2010,800.9,37.35,14.21,5.308,23.37,14.06,17.6,6.572,25.47,68.19
Sri Lanka,1990,550.6,9.769,1.996,0.195,,,1.996,0.195,9.379,96.01
Sri Lanka,2000,682.5,13.01,3.82,0.497,,,3.948,0.5136,12,92.24
Sri Lanka,2005,653.6,12.95,6.216,0.805,,3.819,6.417,0.831,11.31,87.34
Sudan,2010,714.1,26.93,3.528,0.95,,,0.2785,0.075,25.91,96.21
Suriname,1985,1198,0.46,6.087,0.028,,,4.783,0.022,0.41,89.13
Suriname,2000,1378,0.67,4.478,0.03,,,2.985,0.02,0.62,92.54
Suriname,2005,1229,0.6159,8.005,0.0493,0.4311,0.167,22,0.1355,0.4311,70
Swaziland,1980,1028,0.657,1.674,0.011,,,2.435,0.016,0.63,95.89
Swaziland,2000,963,1.042,2.303,0.024,0.993,0.313,1.152,0.012,1.006,96.55
Swaziland,2005,,,,0.0413,,,,0.0207,,
Sweden,1970,501.5,4.073,24.09,0.981,0.064,,72.67,2.96,0.132,3.241
Sweden,1975,501.5,4.135,25.1,1.038,0.064,,71.58,2.96,0.137,3.313
Sweden,1980,493.3,4.106,24.5,1.006,0.064,,72.09,2.96,0.14,3.41
Sweden,1985,353,2.97,,,,,,,,
Sweden,1990,342.6,2.973,34.17,1.016,0.107,,59.97,1.783,0.174,5.853
Sweden,1995,306,2.711,38.8,1.052,0.107,,55.66,1.509,0.15,5.533
Sweden,2000,300.3,2.676,38.79,1.038,0.094,,56.17,1.503,0.135,5.045
Sweden,2005,287.3,2.63,38.02,1,0.069,0.0413,57.91,1.523,0.107,4.068
Sweden,2010,281.8,2.689,37.9,1.019,0.062,,58.46,1.572,0.098,3.644
Switzerland,1970,,,,1.14,,,,,,
Switzerland,1975,409.7,2.598,43.46,1.129,,,,,,
Switzerland,1980,408.3,2.589,42.6,1.103,,,,,,
Switzerland,1985,405.1,2.646,43.2,1.143,,,,,,
Switzerland,1990,395.5,2.695,44.23,1.192,,,,,,
Switzerland,1995,360.9,2.559,41.27,1.056,,,,,,
Switzerland,2000,347.7,2.518,42.45,1.069,,,,,0.05,1.986
Switzerland,2005,,,,0.981,,,,,,
Switzerland,2010,249.9,2.005,59.95,1.202,0.1356,0.041,32.05,0.6427,0.1601,7.985
Switzerland,2015,,,,0.917,,,,,,
Syria,1975,413,3.34,,,,,,,,
Syria,1995,952.3,14.43,8.101,1.169,,,2.897,0.418,12.84,88.98
Syria,2000,962.5,16.36,8.435,1.38,,7.123,3.478,0.569,14.41,88.08
Syria,2005,862.8,16.76,8.801,1.475,,,3.672,0.6154,14.67,87.53
Tajikistan,1995,1999,11.87,3.471,0.412,,,4.221,0.501,10.96,92.33
Tajikistan,2000,1867,11.96,3.679,0.44,,,4.682,0.56,10.96,91.64
Tajikistan,2005,1619,11.49,5.631,0.647,,,3.549,0.4078,10.44,90.86
Tajikistan,2010,,,,,,4.281,,,,
Tanzania,1970,,,,0.101,,,,0.024,,
Tanzania,1995,,,,,,,,,1.04,
Tanzania,2000,144.6,5.184,10.17,0.527,4.425,0.973,0.4823,0.025,4.632,89.35
Thailand,1980,,,,0.898,,,,1.123,,
Thailand,1985,,,,1.262,,,,1.297,,
Thailand,1990,,,,1.496,,,,1.436,,
Thailand,2005,863.7,57.31,4.779,2.739,,34.19,4.846,2.777,51.79,90.37
Timor,2000,,,,0.0107,,0.192,,0.0044,,
Timor,2005,1148,1.172,8.447,0.099,,,0.1706,0.002,1.071,91.38
Togo,1985,26.21,0.091,61.54,0.056,,,13.19,0.012,0.023,25.27
Togo,1995,,,,,,0.0066,,,,
Togo,2000,32.87,0.169,52.66,0.089,0.046,,2.367,0.004,0.076,44.97
Togo,2005,,,,0.1407,,,,0.0063,,
Trinidad and Tobago,1995,235.5,0.297,63.16,0.1876,,0.0091,31.58,0.0938,0.0156,5.253
