Entity,Year,Total government spending (%GDP) (IFPRI (2015) and SPEED),Total government spending (per capita) (IFPRI (2015) and SPEED),Total government spending (regional averages) (IFPRI (2015) and SPEED)
Cote d'Ivoire,1999,19.67,559.99,
Cote d'Ivoire,2000,17.77,482.21,
Cote d'Ivoire,2001,17.43,465.33,
Cote d'Ivoire,2002,17.59,454.71,
Cote d'Ivoire,2003,18.01,452.88,
Cote d'Ivoire,2004,18.92,474.88,
Cote d'Ivoire,2005,18.77,472.53,
Cote d'Ivoire,2006,18.96,473.23,
Cote d'Ivoire,2007,20.34,507.61,
Cote d'Ivoire,2008,20.99,526.78,
Cote d'Ivoire,2009,20.89,534.13,
Cote d'Ivoire,2010,21.69,556.74,
Cote d'Ivoire,2011,19.48,466.36,
Cote d'Ivoire,2012,24.49,622.35,
Croatia,1991,14.77,1,
Croatia,1992,16.78,1,
Croatia,1993,17.03,1,
Croatia,1994,19.87,1,
Croatia,1995,22.47,2,
Croatia,1996,21.38,2,
Croatia,1997,19.83,2,
Croatia,1998,20.52,2,
Croatia,1999,21.04,2,
Croatia,2000,19.97,2,
Croatia,2001,22.76,2,
Croatia,2002,34.48,4,
Croatia,2003,34.57,4,
Croatia,2004,34.27,5,
Croatia,2005,33.63,5,
Croatia,2006,33.62,5,
Croatia,2007,34.89,5,
Croatia,2008,34.53,6,
Croatia,2009,36.57,5,
Croatia,2010,37.64,6,
Croatia,2011,36.91,5,
Cyprus,1980,16.35,1,
Cyprus,1981,16.78,1,
Cyprus,1982,17.1,1,
Cyprus,1983,19.39,1,
Cyprus,1984,17.33,1,
Cyprus,1985,17.18,1,
Cyprus,1986,16.6,1,
Cyprus,1987,17.46,1,
Cyprus,1988,17.59,2,
Cyprus,1989,17.29,2,
Cyprus,1990,11.72,1,
Cyprus,1991,12.26,1,
Cyprus,1992,11.84,1,
Cyprus,1993,12.77,1,
Cyprus,1994,13.17,1,
Cyprus,1995,33.4,5,
Cyprus,1996,35.38,5,
Cyprus,1997,36.45,5,
Cyprus,1998,36.67,5,
Cyprus,1999,36.67,5,
Cyprus,2000,37.07,6,
Cyprus,2001,37.96,6,
Cyprus,2002,40,6,
Cyprus,2003,44.56,7,
Cyprus,2004,42.41,7,
Cyprus,2005,43.12,7,
Cyprus,2006,42.57,7,
Cyprus,2007,41.33,7,
Cyprus,2008,42.13,8,
Cyprus,2009,46.25,8,
Cyprus,2010,46.17,8,
Cyprus,2011,46.27,8,
Cyprus,2012,45.76,8,
Czech Republic,1993,56.55,8,
Czech Republic,1994,54.16,8,
Czech Republic,1995,53.01,8,
Czech Republic,1996,41.67,6,
Czech Republic,1997,42.57,6,
Czech Republic,1998,42.96,7,
Czech Republic,1999,42.22,7,
Czech Republic,2000,41.65,7,
Czech Republic,2001,43.9,7,
Czech Republic,2002,45.6,8,
Czech Republic,2003,49.1,9,
Czech Republic,2004,43.28,8,
Czech Republic,2005,43.01,9,
Czech Republic,2006,41.97,9,
Czech Republic,2007,41.04,9,
Czech Republic,2008,41.15,10,
Czech Republic,2009,44.68,10,
Czech Republic,2010,43.74,10,
Czech Republic,2011,43.16,10,
Czech Republic,2012,44.51,10,
Democratic Republic of Congo,1990,0.63,4.16,
Democratic Republic of Congo,1991,0.69,4.06,
Democratic Republic of Congo,1992,5.78,29.13,
Democratic Republic of Congo,1993,5.98,25.07,
Democratic Republic of Congo,1994,4.78,18.56,
Democratic Republic of Congo,1995,8.3,31.46,
Democratic Republic of Congo,1996,11.63,42.5,
Democratic Republic of Congo,1997,10.12,34.21,
Democratic Republic of Congo,1998,10.87,35.41,
Democratic Republic of Congo,1999,11.69,35.71,
Democratic Republic of Congo,2000,10.02,27.84,
Democratic Republic of Congo,2001,10.58,28.05,
Democratic Republic of Congo,2002,14.62,39.05,
Democratic Republic of Congo,2003,19.9,54.6,
Democratic Republic of Congo,2004,21.63,61.46,
Democratic Republic of Congo,2005,34.43,102.47,
Democratic Republic of Congo,2006,31.34,95.7,
Democratic Republic of Congo,2007,30.67,96.74,
Democratic Republic of Congo,2008,32.57,106.03,
Democratic Republic of Congo,2009,34.29,111.57,
Democratic Republic of Congo,2010,29.97,101.65,
Denmark,1980,62.23,12,
Denmark,1981,65.97,13,
Denmark,1982,68.36,14,
Denmark,1983,69.1,15,
Denmark,1984,67.69,15,
Denmark,1985,64.96,15,
Denmark,1986,60.57,15,
Denmark,1987,60.27,15,
Denmark,1988,62.93,15,
Denmark,1989,63.45,15,
Denmark,1990,55.41,14,
Denmark,1991,56.07,14,
Denmark,1992,57.12,14,
Denmark,1993,60.21,15,
Denmark,1994,60.19,16,
Denmark,1995,59.28,16,
Denmark,1996,58.91,16,
Denmark,1997,56.68,16,
Denmark,1998,56.33,16,
Denmark,1999,55.5,17,
Denmark,2000,53.67,16,
Denmark,2001,54.19,17,
Denmark,2002,54.57,17,
Denmark,2003,55.07,17,
Denmark,2004,54.55,17,
Denmark,2005,52.79,17,
Denmark,2006,51.59,17,
Denmark,2007,50.81,17,
Denmark,2008,51.52,17,
Denmark,2009,58.09,18,
Denmark,2010,57.7,18,
Denmark,2011,57.73,18,
Denmark,2012,59.48,19,
Dominican Republic,1980,11.72,488.71,
Dominican Republic,1981,10.55,448.07,
Dominican Republic,1982,8.98,379.26,
Dominican Republic,1983,9.73,420.04,
Dominican Republic,1984,8.84,377.97,
Dominican Republic,1985,9.86,403.51,
Dominican Republic,1986,10.8,447.8,
Dominican Republic,1987,11,492.06,
Dominican Republic,1988,13.36,597.56,
Dominican Republic,1989,10.22,467.52,
Dominican Republic,1990,6.96,296.38,
Dominican Republic,1991,6.56,275.79,
Dominican Republic,1992,9,410.12,
Dominican Republic,1993,11.64,557.88,
Dominican Republic,1994,11.5,553.13,
Dominican Republic,1995,10.32,514.41,
Dominican Republic,1996,10.7,561.54,
Dominican Republic,1997,11.12,619.62,
Dominican Republic,1998,10.7,627.39,
Dominican Republic,1999,12.09,744.79,
Dominican Republic,2000,11.78,754.81,
Dominican Republic,2001,13.14,843.71,
Dominican Republic,2002,13.68,915.38,
Dominican Republic,2003,11.97,786.55,
Dominican Republic,2004,16.56,1,
Dominican Republic,2005,16.77,1,
Dominican Republic,2006,17.24,1,
Dominican Republic,2007,17.61,1,
Dominican Republic,2008,19.56,1,
Dominican Republic,2009,17.2,1,
Dominican Republic,2010,16.41,1,
Dominican Republic,2011,16.11,1,
East Asia and Pacific,1980,,,22.45
East Asia and Pacific,1981,,,24.27
East Asia and Pacific,1982,,,23.85
East Asia and Pacific,1983,,,22.38
East Asia and Pacific,1984,,,22.05
East Asia and Pacific,1985,,,23.68
East Asia and Pacific,1986,,,23.66
East Asia and Pacific,1987,,,23.52
East Asia and Pacific,1988,,,21.26
East Asia and Pacific,1989,,,22.64
East Asia and Pacific,1990,,,22
East Asia and Pacific,1991,,,20.7
East Asia and Pacific,1992,,,20.12
East Asia and Pacific,1993,,,19.85
East Asia and Pacific,1994,,,18.9
East Asia and Pacific,1995,,,19.65
East Asia and Pacific,1996,,,20.25
East Asia and Pacific,1997,,,20.77
East Asia and Pacific,1998,,,21.94
East Asia and Pacific,1999,,,22.05
East Asia and Pacific,2000,,,22.46
East Asia and Pacific,2001,,,23.29
East Asia and Pacific,2002,,,22.85
East Asia and Pacific,2003,,,22.87
East Asia and Pacific,2004,,,23.35
East Asia and Pacific,2005,,,22.95
East Asia and Pacific,2006,,,23.14
East Asia and Pacific,2007,,,21.82
East Asia and Pacific,2008,,,22.45
East Asia and Pacific,2009,,,23.29
East Asia and Pacific,2010,,,23.07
East Asia and Pacific,2011,,,25.24
East Asia and Pacific,2012,,,24.56
Ecuador,2000,24.63,1,
Ecuador,2001,21.17,1,
Ecuador,2002,19.54,1,
Ecuador,2003,19.6,1,
Ecuador,2004,19.54,1,
Ecuador,2005,20.32,1,
Ecuador,2006,19.48,1,
Ecuador,2007,20.43,1,
Ecuador,2008,26.43,2,
Ecuador,2009,20.79,1,
Ecuador,2010,24.73,1,
Egypt,1980,52.08,1,
Egypt,1981,37.59,1,
Egypt,1982,46.23,1,
Egypt,1983,36.14,1,
Egypt,1984,36.1,1,
Egypt,1985,34.22,1,
Egypt,1986,34.68,1,
Egypt,1987,29.65,1,
Egypt,1988,30.33,1,
Egypt,1989,28.27,1,
Egypt,1990,25.98,1,
Egypt,1991,27.52,1,
Egypt,1992,35.61,1,
Egypt,1993,30.76,1,
Egypt,1994,31.75,1,
Egypt,1995,28.06,1,
Egypt,1996,27.73,1,
Egypt,1997,26.4,1,
Egypt,1998,26.21,1,
Egypt,1999,27.25,1,
Egypt,2000,27.73,1,
Egypt,2001,28.17,1,
Egypt,2002,26.4,1,
Egypt,2003,26.03,1,
Egypt,2004,26.2,1,
Egypt,2005,25.91,1,
Egypt,2006,31.56,2,
Egypt,2007,28.19,2,
Egypt,2008,33,2,
Egypt,2009,35.36,3,
Egypt,2010,31.81,2,
Egypt,2011,30.68,2,
Egypt,2012,31.92,2,
El Salvador,1980,14.92,679.92,
El Salvador,1981,16.22,667.57,
El Salvador,1982,16.69,638.97,
El Salvador,1983,14.61,556.02,
El Salvador,1984,15.56,597.46,
El Salvador,1985,16.21,626.39,
El Salvador,1986,10.87,417.48,
El Salvador,1987,10.75,418.4,
El Salvador,1988,9.6,374.86,
El Salvador,1989,8.95,348.57,
El Salvador,1990,9.47,375.88,
El Salvador,1991,10.56,427.67,
El Salvador,1992,11.67,500.27,
El Salvador,1993,12.77,579.02,
El Salvador,1994,14.51,687.69,
El Salvador,1995,13.69,681.73,
El Salvador,1996,13.63,683.76,
El Salvador,1997,12.34,640.08,
El Salvador,1998,9.07,484.71,
El Salvador,1999,10.07,553.26,
El Salvador,2000,9.96,556.63,
El Salvador,2001,14.25,806.12,
El Salvador,2002,16.92,975.76,
El Salvador,2003,15.49,910.44,
El Salvador,2004,15.83,944.44,
El Salvador,2005,16.89,1,
El Salvador,2006,17.46,1,
El Salvador,2007,14.57,959.79,
El Salvador,2008,15.55,1,
El Salvador,2009,18.36,1,
El Salvador,2010,17.31,1,
El Salvador,2011,18.62,1,
El Salvador,2012,16.19,1,
Equatorial Guinea,2007,23.74,9,
Equatorial Guinea,2008,27,11,
Equatorial Guinea,2009,59.13,26,
Estonia,1993,77.4,5,
Estonia,1994,56.56,4,
Estonia,1995,41.38,3,
Estonia,1996,39.58,3,
Estonia,1997,37.52,3,
Estonia,1998,39.2,4,
Estonia,1999,40.15,4,
Estonia,2000,36.12,4,
Estonia,2001,34.8,4,
Estonia,2002,35.77,4,
Estonia,2003,34.82,5,
Estonia,2004,33.98,5,
Estonia,2005,33.6,5,
Estonia,2006,33.6,6,
Estonia,2007,33.98,6,
Estonia,2008,39.67,7,
Estonia,2009,44.75,7,
Estonia,2010,40.45,6,
Estonia,2011,37.55,7,
Estonia,2012,39.46,7,
Ethiopia,1980,16.03,101.49,
Ethiopia,1981,15.02,93.79,
Ethiopia,1982,16.19,99.23,
Ethiopia,1983,19.35,124.54,
Ethiopia,1984,18.63,112.86,
Ethiopia,1985,17.44,90.9,
Ethiopia,1986,18.87,104.45,
Ethiopia,1987,17.97,109.68,
Ethiopia,1988,20.02,118.89,
Ethiopia,1989,21.88,125.25,
Ethiopia,1990,20.83,118.37,
Ethiopia,1991,16.7,85.06,
Ethiopia,1992,12.93,57.92,
Ethiopia,1993,13.11,64.29,
Ethiopia,1994,17.27,84.68,
Ethiopia,1995,17.27,86.99,
Ethiopia,1996,16.29,90.03,
Ethiopia,1997,17.52,97.34,
Ethiopia,1998,20.6,106.72,
Ethiopia,1999,22.32,118.18,
Ethiopia,2000,26.04,142.1,
Ethiopia,2001,31.87,183.01,
Ethiopia,2002,26.79,151.68,
Ethiopia,2003,28.19,151.76,
Ethiopia,2004,23.74,141.07,
Ethiopia,2005,24.58,158.83,
Ethiopia,2006,23.43,163.23,
Ethiopia,2007,21.6,163.29,
Ethiopia,2008,19.42,158.33,
Ethiopia,2009,17.73,153.13,
Ethiopia,2010,19.55,185.15,
Ethiopia,2011,25.94,266.13,
Euro Zone,1980,,,47.6
Euro Zone,1981,,,50.56
Euro Zone,1982,,,52.49
Euro Zone,1983,,,53.14
Euro Zone,1984,,,52.49
Euro Zone,1985,,,52.23
Euro Zone,1986,,,52.45
Euro Zone,1987,,,52.46
Euro Zone,1988,,,51.27
Euro Zone,1989,,,50.55
Euro Zone,1990,,,43.69
Euro Zone,1991,,,43.73
Euro Zone,1992,,,44.58
Euro Zone,1993,,,47.19
Euro Zone,1994,,,45
Euro Zone,1995,,,46.79
Euro Zone,1996,,,45.53
Euro Zone,1997,,,44.18
Euro Zone,1998,,,44.27
Euro Zone,1999,,,43.85
Euro Zone,2000,,,42.53
Euro Zone,2001,,,43.48
Euro Zone,2002,,,44.75
Euro Zone,2003,,,45.36
Euro Zone,2004,,,44.5
Euro Zone,2005,,,44.2
Euro Zone,2006,,,43.55
Euro Zone,2007,,,42.94
Euro Zone,2008,,,44.86
Euro Zone,2009,,,48.53
Euro Zone,2010,,,48.54
Euro Zone,2011,,,46.9
Euro Zone,2012,,,47.51
Europe and Central Asia,1980,,,43.93
Europe and Central Asia,1981,,,39.63
Europe and Central Asia,1982,,,32.79
Europe and Central Asia,1983,,,27.82
Europe and Central Asia,1984,,,29.17
Europe and Central Asia,1985,,,32.12
Europe and Central Asia,1986,,,36.06
Europe and Central Asia,1987,,,32.77
Europe and Central Asia,1988,,,33.43
Europe and Central Asia,1989,,,36.58
Europe and Central Asia,1990,,,35.12
Europe and Central Asia,1991,,,31.62
Europe and Central Asia,1992,,,32.15
Europe and Central Asia,1993,,,27.14
Europe and Central Asia,1994,,,30.32
Europe and Central Asia,1995,,,29.5
Europe and Central Asia,1996,,,26.28
Europe and Central Asia,1997,,,26.98
Europe and Central Asia,1998,,,28.38
Europe and Central Asia,1999,,,26.58
Europe and Central Asia,2000,,,25.68
Europe and Central Asia,2001,,,24.05
Europe and Central Asia,2002,,,24.56
Europe and Central Asia,2003,,,24.77
Europe and Central Asia,2004,,,25.59
Europe and Central Asia,2005,,,26.94
Europe and Central Asia,2006,,,27.88
Europe and Central Asia,2007,,,29.77
Europe and Central Asia,2008,,,31.9
Europe and Central Asia,2009,,,34.37
Europe and Central Asia,2010,,,33.28
Europe and Central Asia,2011,,,32.31
Europe and Central Asia,2012,,,32.96
Fiji,1980,25.69,1,
Fiji,1981,27.39,1,
Fiji,1982,28.8,1,
Fiji,1983,28.56,1,
Fiji,1984,28.42,1,
Fiji,1985,27.96,1,
Fiji,1986,25.95,1,
Fiji,1987,26.91,1,
Fiji,1988,24.76,1,
Fiji,1989,25.42,1,
Fiji,1990,26.1,1,
Fiji,1991,27.99,1,
Fiji,1992,27.76,1,
Fiji,1993,29.59,1,
Fiji,1994,29.11,1,
Fiji,1995,28.33,1,
Fiji,1996,29.45,1,
Fiji,1997,30.29,1,
Fiji,1998,29.45,1,
Fiji,1999,26.75,1,
Fiji,2000,30.05,1,
Fiji,2001,29.95,1,
Fiji,2002,29.44,1,
Fiji,2003,28.27,1,
Fiji,2004,27.4,1,
Fiji,2005,27.35,1,
Fiji,2006,28.48,1,
Fiji,2007,31.04,2,
Fiji,2008,28.4,1,
Fiji,2009,32.57,2,
Fiji,2010,30.17,1,
Fiji,2011,35.23,2,
Finland,1980,55.24,9,
Finland,1981,56.15,10,
Finland,1982,58.6,10,
Finland,1983,61.47,11,
Finland,1984,58.48,11,
Finland,1985,60.05,11,
Finland,1986,61.06,12,
Finland,1987,62.14,13,
Finland,1988,59.73,13,
Finland,1989,58.11,13,
Finland,1990,48.2,11,
Finland,1991,57.14,12,
Finland,1992,62.44,12,
Finland,1993,64.87,13,
Finland,1994,63.61,13,
Finland,1995,61.52,13,
Finland,1996,60.09,13,
Finland,1997,56.56,13,
Finland,1998,52.93,13,
Finland,1999,51.72,13,
Finland,2000,48.34,13,
Finland,2001,47.95,13,
Finland,2002,48.99,13,
Finland,2003,50.3,14,
Finland,2004,50.22,15,
Finland,2005,50.35,15,
Finland,2006,49.19,15,
Finland,2007,47.39,15,
Finland,2008,49.21,16,
Finland,2009,56.12,17,
Finland,2010,55.79,17,
Finland,2011,55.15,17,
Finland,2012,56.65,17,
France,1995,54.39,14,
France,1996,54.5,14,
France,1997,54.18,14,
France,1998,52.76,14,
France,1999,52.6,14,
France,2000,51.69,14,
France,2001,51.66,15,
France,2002,52.87,15,
France,2003,53.4,15,
France,2004,53.26,15,
France,2005,53.57,16,
France,2006,52.98,16,
France,2007,52.61,16,
France,2008,53.28,16,
France,2009,56.77,17,
France,2010,56.57,17,
France,2011,55.89,17,
France,2012,56.65,17,
Gambia,1980,15.17,198.3,
Gambia,1981,13.52,201.67,
Gambia,1982,12.1,200.17,
Gambia,1983,14.85,212.52,
Gambia,1984,13.76,194.44,
Gambia,1985,11.93,166.89,
Gambia,1986,11.44,156.08,
Gambia,1987,11.38,152.6,
Gambia,1988,10.72,144.08,
Gambia,1989,10.1,134.56,
Gambia,1990,10.57,140.22,
Gambia,1991,11.36,149.61,
Gambia,1992,8.87,117.22,
Gambia,1993,10.1,133.85,
Georgia,1997,18.32,420.27,
Georgia,1998,15.78,384.14,
Georgia,1999,15.74,395.15,
Georgia,2000,12.87,332.04,
Georgia,2001,9.06,247.08,
Georgia,2002,10.75,312.83,
Georgia,2003,9.21,303.01,
Georgia,2004,13.41,459.65,
Georgia,2005,19.55,719.46,
Georgia,2006,25.33,1,
Georgia,2007,28.18,1,
Georgia,2008,35.11,1,
Georgia,2009,40.02,1,
Georgia,2010,34.74,1,
Georgia,2011,31.47,1,
Georgia,2012,31.53,1,
Germany,1980,34.5,7,
Germany,1981,35.46,7,
Germany,1982,35.76,7,
Germany,1983,35.2,7,
Germany,1984,35.43,7,
Germany,1985,34.86,7,
Germany,1986,34.27,7,
Germany,1987,34.8,7,
Germany,1988,34.5,8,
Germany,1989,33.16,8,
Germany,1990,39.08,9,
Germany,1991,46.25,12,
Germany,1992,47.18,12,
Germany,1993,48.15,12,
Germany,1994,47.82,12,
Germany,1995,54.86,14,
Germany,1996,49.06,13,
Germany,1997,48.22,13,
Germany,1998,48,13,
Germany,1999,48.22,13,
Germany,2000,45.1,13,
Germany,2001,47.61,14,
Germany,2002,47.95,14,
Germany,2003,48.46,14,
Germany,2004,47.07,14,
Germany,2005,46.91,14,
Germany,2006,45.35,14,
Germany,2007,43.51,14,
Germany,2008,44.08,14,
Germany,2009,48.28,15,
Germany,2010,47.86,15,
Germany,2011,45.16,15,
Germany,2012,44.69,15,
Ghana,1980,6.8,198.56,
Ghana,1981,6.63,181.6,
Ghana,1982,6.88,169.64,
Ghana,1983,5,113.75,
Ghana,1984,6.16,146.88,
Ghana,1985,8.32,202.06,
Ghana,1986,8.62,213.69,
Ghana,1987,8.54,215.69,
Ghana,1988,8.54,221.68,
Ghana,1989,8.65,229.63,
Ghana,1990,7.82,208.57,
Ghana,1991,8.25,225.3,
Ghana,1992,10.34,285.47,
Ghana,1993,13.11,368.9,
Ghana,1994,21.25,601.13,
Ghana,1995,21.98,630.69,
Ghana,1996,20.31,594.87,
Ghana,1997,20.55,613.15,
Ghana,1998,20.23,617.78,
Ghana,1999,19.91,620.54,
Ghana,2000,17.29,548.52,
Ghana,2001,19.66,636.22,
Ghana,2002,16.32,539.47,
Ghana,2003,17.73,601.25,
Ghana,2004,20.34,707.75,
Ghana,2005,19.7,709.38,
Ghana,2006,21.69,795.62,
Ghana,2007,24.45,930.46,
Ghana,2008,24.54,987.08,
Ghana,2009,24.23,988.63,
Ghana,2010,26.44,1,
Ghana,2011,25.54,1,
Greece,1980,37.6,6,
Greece,1981,42.52,7,
Greece,1982,55.51,9,
Greece,1983,46.56,7,
Greece,1984,52.72,8,
Greece,1985,52.75,8,
Greece,1986,51.54,8,
Greece,1987,55.71,9,
Greece,1988,55.14,9,
Greece,1989,62.05,10,
Greece,1990,45.2,7,
Greece,1991,42.05,7,
Greece,1992,44.53,7,
Greece,1993,46.83,8,
Greece,1994,44.97,7,
Greece,1995,46.17,8,
Greece,1996,44.48,7,
Greece,1997,45.28,8,
Greece,1998,44.73,8,
Greece,1999,44.88,8,
Greece,2000,47.17,9,
Greece,2001,45.78,9,
Greece,2002,45.51,9,
Greece,2003,45.15,10,
Greece,2004,45.94,11,
Greece,2005,44.6,10,
Greece,2006,45.4,11,
Greece,2007,47.5,12,
Greece,2008,50.6,13,
Greece,2009,53.98,13,
Greece,2010,51.43,12,
Greece,2011,52,11,
Greece,2012,53.59,11,
Grenada,1991,30.75,1,
Grenada,1992,26.87,1,
Grenada,1993,28.87,1,
Grenada,1994,32.18,2,
Grenada,1995,28.01,1,
Grenada,1996,28.67,1,
Grenada,1997,29.09,2,
Grenada,1998,28.71,2,
Grenada,1999,28.75,2,
Grenada,2000,22.52,1,
Grenada,2001,24.02,2,
Grenada,2002,24.59,2,
Grenada,2003,23.82,2,
Grenada,2004,24.81,2,
Grenada,2005,24.74,2,
Grenada,2006,31.21,3,
Grenada,2007,27.2,2,
Grenada,2008,28.13,3,
Grenada,2009,25.62,2,
Grenada,2010,24.84,2,
Grenada,2011,26.21,2,
Grenada,2012,26.81,2,
Guatemala,1980,13.55,747.06,
Guatemala,1981,15.24,825.53,
Guatemala,1982,13.97,711.65,
Guatemala,1983,12.3,595.41,
Guatemala,1984,12.02,570.79,
Guatemala,1985,10.56,486.62,
Guatemala,1986,10.71,482.61,
Guatemala,1987,12.54,571.49,
Guatemala,1988,13.41,620.55,
Guatemala,1989,13.14,618.09,
Guatemala,1990,11.26,533.43,
Guatemala,1991,10.13,486.14,
Guatemala,1992,11.65,572.64,
Guatemala,1993,10.88,542.82,
Guatemala,1994,9.99,506.69,
Guatemala,1995,9.96,518.25,
Guatemala,1996,10.12,529.69,
Guatemala,1997,10.83,578.22,
Guatemala,1998,12.2,666.63,
Guatemala,1999,13.58,755.02,
Guatemala,2000,14.32,805.54,
Guatemala,2001,14.51,815.56,
Guatemala,2002,13.87,790.02,
Guatemala,2003,15.13,861.8,
Guatemala,2004,13.41,768.59,
Guatemala,2005,13.72,791.94,
Guatemala,2006,14.67,870.71,
Guatemala,2007,14.28,879.13,
Guatemala,2008,13.64,846.19,
Guatemala,2009,14.19,863.59,
Guatemala,2010,15.14,924.77,
Guatemala,2011,14.98,929.7,
Guatemala,2012,14.63,911.46,
Guinea-Bissau,1983,15.66,180.78,
Guinea-Bissau,1984,18.58,221.09,
Guinea-Bissau,1985,20.05,243.16,
Guinea-Bissau,1986,12.57,147.61,
Guinea-Bissau,1987,15.97,193.71,
Guinea-Bissau,1988,15.78,200.17,
Guinea-Bissau,1989,15.69,203.4,
Guinea-Bissau,1990,9.61,125.85,
Guinea-Bissau,1991,6.48,85.42,
Guinea-Bissau,1992,3.42,44.58,
Guinea-Bissau,1993,2.22,28.89,
Guinea-Bissau,1994,1.64,21.44,
Guinea-Bissau,1995,1.43,19.17,
Guinea-Bissau,1996,1.78,24.32,
Guinea-Bissau,1997,1.91,27.22,
Guinea-Bissau,1998,1.45,14.76,
Guinea-Bissau,1999,1.82,19.43,
Guinea-Bissau,2000,2.54,28.58,
Guinea-Bissau,2001,2.11,23.7,
Guinea-Bissau,2002,1.58,17.12,
Guinea-Bissau,2003,1.94,20.64,
Guinea-Bissau,2004,2.54,27.01,
Guinea-Bissau,2005,2.17,24,
Guinea-Bissau,2006,1.9,21,
Guinea-Bissau,2007,1.87,20.88,
Guinea-Bissau,2008,2.09,23.58,
Guinea-Bissau,2009,2.22,25.37,
Guinea-Bissau,2010,2.16,25.21,
Guinea-Bissau,2011,2.16,25.93,
Guinea-Bissau,2012,1.94,22.05,
High income,1980,,,28.33
High income,1981,,,28.79
High income,1982,,,29.4
High income,1983,,,31.22
High income,1984,,,31.39
High income,1985,,,28.65
High income,1986,,,27.29
High income,1987,,,26.97
High income,1988,,,25.62
High income,1989,,,25.84
High income,1990,,,26.25
High income,1991,,,24.58
High income,1992,,,25.89
High income,1993,,,25.15
High income,1994,,,24.26
High income,1995,,,24.34
High income,1996,,,24.23
High income,1997,,,24.38
High income,1998,,,24.58
High income,1999,,,24.37
High income,2000,,,23.53
High income,2001,,,23.78
High income,2002,,,24.05
High income,2003,,,24.04
High income,2004,,,22.47
High income,2005,,,22.24
High income,2006,,,23.43
High income,2007,,,23.69
High income,2008,,,24.87
High income,2009,,,26.74
High income,2010,,,27.25
High income,2011,,,28.63
High income,2012,,,28.23
Hungary,1981,73.27,8,
Hungary,1982,69.79,8,
Hungary,1983,71.62,8,
Hungary,1984,69.23,8,
Hungary,1985,69.36,8,
Hungary,1986,76.23,9,
Hungary,1987,74.44,9,
Hungary,1988,73.27,9,
Hungary,1989,74.6,10,
Hungary,1990,39.02,5,
Hungary,1991,46.59,5,
Hungary,1992,50.7,5,
Hungary,1993,51.66,5,
Hungary,1994,51.2,5,
Hungary,1995,55.83,6,
Hungary,1996,51.35,6,
Hungary,1997,49.94,6,
Hungary,1998,51.2,6,
Hungary,1999,49.22,6,
Hungary,2000,47.76,6,
Hungary,2001,47.84,6,
Hungary,2002,51.51,7,
Hungary,2003,49.66,7,
Hungary,2004,49.06,7,
Hungary,2005,50.1,8,
Hungary,2006,52.19,9,
Hungary,2007,50.69,8,
Hungary,2008,49.24,8,
Hungary,2009,51.45,8,
Hungary,2010,49.97,8,
Hungary,2011,50.04,8,
Hungary,2012,48.7,8,
Iceland,1980,34.12,7,
Iceland,1981,34.81,7,
Iceland,1982,36.33,8,
Iceland,1983,38.25,8,
Iceland,1984,34.5,7,
Iceland,1985,37.29,8,
Iceland,1986,40.62,9,
Iceland,1987,38.82,10,
Iceland,1988,43.15,11,
Iceland,1989,45.07,11,
Iceland,1990,33.95,8,
Iceland,1991,35.58,9,
Iceland,1992,35.5,8,
Iceland,1993,34.77,8,
Iceland,1994,34.45,8,
Iceland,1995,34.04,8,
Iceland,1996,34.2,8,
Iceland,1997,30.74,8,
Iceland,1998,41.3,11,
Iceland,1999,42.05,12,
Iceland,2000,41.87,12,
Iceland,2001,42.6,13,
Iceland,2002,44.25,13,
Iceland,2003,45.61,14,
Iceland,2004,43.99,14,
Iceland,2005,42.25,14,
Iceland,2006,41.64,15,
Iceland,2007,42.27,15,
Iceland,2008,57.67,21,
Iceland,2009,50.96,17,
Iceland,2010,51.56,16,
Iceland,2011,47.39,15,
Iceland,2012,47.43,15,
India,1980,12.41,140.86,
India,1981,12.21,144.34,
India,1982,12.84,153.96,
India,1983,12.95,163.22,
India,1984,14.22,181.67,
India,1985,15.38,202.72,
India,1986,16.56,223.97,
India,1987,16.78,232.72,
India,1988,16.44,245.39,
India,1989,16.77,261.3,
India,1990,16.16,260.72,
India,1991,15.95,253.22,
India,1992,15.77,258.98,
India,1993,15.75,266.25,
India,1994,15.09,269.16,
India,1995,14.73,277.54,
India,1996,14.58,289.88,
India,1997,15.03,306.66,
India,1998,14.88,316.29,
India,1999,15.44,345.62,
India,2000,15.95,365.49,
India,2001,15.9,376.98,
India,2002,16.58,401.51,
India,2003,15.57,402.19,
India,2004,15.15,417.43,
India,2005,15.39,456.52,
India,2006,15.49,495.09,
India,2007,14.71,509.02,
India,2008,17.42,617.89,
India,2009,16.69,633.1,
India,2010,16.56,686.52,
India,2011,15.48,673.74,
Indonesia,1980,21.23,542.75,
Indonesia,1981,19.64,529.68,
Indonesia,1982,19.39,522.81,
Indonesia,1983,16.72,479.48,
Indonesia,1984,15.2,456.41,
Indonesia,1985,18.14,546.45,
Indonesia,1986,16.69,521.66,
Indonesia,1987,15.65,503.59,
Indonesia,1988,15.92,531.66,
Indonesia,1989,16.15,577.38,
Indonesia,1990,16.71,639.9,
Indonesia,1991,15.04,616.57,
Indonesia,1992,16.82,726.77,
Indonesia,1993,15.18,691.48,
Indonesia,1994,12.92,622.75,
