Entity,Year,"Share of energy from cereals, roots and tubers (FAO (2017))"
Indonesia,2009,69
Indonesia,2010,70
Indonesia,2011,70
Iran,1992,62
Iran,1993,62
Iran,1994,62
Iran,1995,61
Iran,1996,61
Iran,1997,60
Iran,1998,60
Iran,1999,60
Iran,2000,60
Iran,2001,60
Iran,2002,60
Iran,2003,59
Iran,2004,59
Iran,2005,58
Iran,2006,56
Iran,2007,55
Iran,2008,54
Iran,2009,54
Iran,2010,53
Iran,2011,53
Iraq,1992,67
Iraq,1993,67
Iraq,1994,62
Iraq,1995,59
Iraq,1996,57
Iraq,1997,56
Iraq,1998,57
Iraq,1999,59
Iraq,2000,61
Iraq,2001,61
Iraq,2002,62
Iraq,2003,63
Iraq,2004,63
Iraq,2005,62
Iraq,2006,62
Iraq,2007,64
Iraq,2008,64
Iraq,2009,64
Iraq,2010,63
Iraq,2011,62
Ireland,1992,33
Ireland,1993,34
Ireland,1994,34
Ireland,1995,34
Ireland,1996,34
Ireland,1997,33
Ireland,1998,33
Ireland,1999,32
Ireland,2000,32
Ireland,2001,31
Ireland,2002,31
Ireland,2003,31
Ireland,2004,32
Ireland,2005,32
Ireland,2006,32
Ireland,2007,32
Ireland,2008,32
Ireland,2009,32
Ireland,2010,33
Ireland,2011,34
Israel,1992,37
Israel,1993,37
Israel,1994,37
Israel,1995,37
Israel,1996,36
Israel,1997,35
Israel,1998,34
Israel,1999,34
Israel,2000,34
Israel,2001,33
Israel,2002,33
Israel,2003,34
Israel,2004,34
Israel,2005,35
Israel,2006,35
Israel,2007,35
Israel,2008,35
Israel,2009,35
Israel,2010,35
Israel,2011,35
Italy,1992,34
Italy,1993,34
Italy,1994,34
Italy,1995,34
Italy,1996,34
Italy,1997,34
Italy,1998,34
Italy,1999,34
Italy,2000,34
Italy,2001,34
Italy,2002,34
Italy,2003,34
Italy,2004,34
Italy,2005,34
Italy,2006,33
Italy,2007,33
Italy,2008,33
Italy,2009,33
Italy,2010,34
Italy,2011,34
Jamaica,1992,41
Jamaica,1993,41
Jamaica,1994,41
Jamaica,1995,43
Jamaica,1996,42
Jamaica,1997,41
Jamaica,1998,40
Jamaica,1999,40
Jamaica,2000,39
Jamaica,2001,38
Jamaica,2002,37
Jamaica,2003,37
Jamaica,2004,37
Jamaica,2005,37
Jamaica,2006,38
Jamaica,2007,38
Jamaica,2008,38
Jamaica,2009,39
Jamaica,2010,39
Jamaica,2011,40
Japan,1992,42
Japan,1993,42
Japan,1994,42
Japan,1995,42
Japan,1996,41
Japan,1997,41
Japan,1998,41
Japan,1999,41
Japan,2000,41
Japan,2001,41
Japan,2002,41
Japan,2003,41
Japan,2004,41
Japan,2005,41
Japan,2006,41
Japan,2007,41
Japan,2008,41
Japan,2009,41
Japan,2010,41
Japan,2011,41
Jordan,1992,51
Jordan,1993,49
Jordan,1994,48
Jordan,1995,49
Jordan,1996,52
Jordan,1997,53
Jordan,1998,53
Jordan,1999,52
Jordan,2000,51
Jordan,2001,50
Jordan,2002,48
Jordan,2003,49
Jordan,2004,47
Jordan,2005,48
Jordan,2006,47
Jordan,2007,48
Jordan,2008,48
Jordan,2009,49
Jordan,2010,49
Jordan,2011,48
Kazakhstan,1992,58
Kazakhstan,1993,60
Kazakhstan,1994,60
Kazakhstan,1995,60
Kazakhstan,1996,61
Kazakhstan,1997,62
Kazakhstan,1998,62
Kazakhstan,1999,61
Kazakhstan,2000,59
Kazakhstan,2001,57
Kazakhstan,2002,54
Kazakhstan,2003,51
Kazakhstan,2004,49
Kazakhstan,2005,46
Kazakhstan,2006,43
Kazakhstan,2007,42
Kazakhstan,2008,40
Kazakhstan,2009,39
Kazakhstan,2010,39
Kazakhstan,2011,39
Kenya,1992,55
Kenya,1993,55
Kenya,1994,55
Kenya,1995,55
Kenya,1996,56
Kenya,1997,56
Kenya,1998,56
Kenya,1999,55
Kenya,2000,55
Kenya,2001,56
Kenya,2002,55
Kenya,2003,56
Kenya,2004,55
Kenya,2005,56
Kenya,2006,56
Kenya,2007,56
Kenya,2008,56
Kenya,2009,55
Kenya,2010,56
Kenya,2011,56
Kiribati,1992,43
Kiribati,1993,42
Kiribati,1994,42
Kiribati,1995,42
Kiribati,1996,41
Kiribati,1997,41
Kiribati,1998,41
Kiribati,1999,41
Kiribati,2000,40
Kiribati,2001,40
Kiribati,2002,39
Kiribati,2003,40
Kiribati,2004,40
Kiribati,2005,40
Kiribati,2006,40
Kiribati,2007,39
Kiribati,2008,39
Kiribati,2009,39
Kiribati,2010,40
Kiribati,2011,41
Kuwait,1992,48
Kuwait,1993,47
Kuwait,1994,42
Kuwait,1995,40
Kuwait,1996,39
Kuwait,1997,38
Kuwait,1998,38
Kuwait,1999,39
Kuwait,2000,39
Kuwait,2001,40
Kuwait,2002,40
Kuwait,2003,41
Kuwait,2004,42
Kuwait,2005,42
Kuwait,2006,42
Kuwait,2007,41
Kuwait,2008,41
Kuwait,2009,41
Kuwait,2010,41
Kuwait,2011,43
Kyrgyzstan,1992,55
Kyrgyzstan,1993,60
Kyrgyzstan,1994,58
Kyrgyzstan,1995,62
Kyrgyzstan,1996,63
Kyrgyzstan,1997,64
Kyrgyzstan,1998,61
Kyrgyzstan,1999,59
Kyrgyzstan,2000,57
Kyrgyzstan,2001,59
Kyrgyzstan,2002,59
Kyrgyzstan,2003,60
Kyrgyzstan,2004,60
Kyrgyzstan,2005,59
Kyrgyzstan,2006,58
Kyrgyzstan,2007,56
Kyrgyzstan,2008,55
Kyrgyzstan,2009,54
Kyrgyzstan,2010,54
Kyrgyzstan,2011,54
Laos,1992,84
Laos,1993,84
Laos,1994,83
Laos,1995,82
Laos,1996,81
Laos,1997,81
Laos,1998,81
Laos,1999,80
Laos,2000,79
Laos,2001,78
Laos,2002,77
Laos,2003,76
Laos,2004,76
Laos,2005,75
Laos,2006,74
Laos,2007,73
Laos,2008,73
Laos,2009,73
Laos,2010,73
Laos,2011,72
Latvia,1992,47
Latvia,1993,47
Latvia,1994,47
Latvia,1995,46
Latvia,1996,44
Latvia,1997,43
Latvia,1998,43
Latvia,1999,43
Latvia,2000,42
Latvia,2001,41
Latvia,2002,39
Latvia,2003,38
Latvia,2004,38
Latvia,2005,37
Latvia,2006,35
Latvia,2007,34
Latvia,2008,34
Latvia,2009,34
Latvia,2010,33
Latvia,2011,33
Lebanon,1992,37
Lebanon,1993,37
Lebanon,1994,37
Lebanon,1995,37
Lebanon,1996,37
Lebanon,1997,37
Lebanon,1998,37
Lebanon,1999,37
Lebanon,2000,37
Lebanon,2001,37
Lebanon,2002,37
Lebanon,2003,38
Lebanon,2004,39
Lebanon,2005,39
Lebanon,2006,40
Lebanon,2007,40
Lebanon,2008,39
Lebanon,2009,39
Lebanon,2010,39
Lebanon,2011,39
Lesotho,1992,78
Lesotho,1993,79
Lesotho,1994,80
Lesotho,1995,80
Lesotho,1996,80
Lesotho,1997,80
Lesotho,1998,80
Lesotho,1999,80
Lesotho,2000,80
Lesotho,2001,80
Lesotho,2002,80
Lesotho,2003,81
Lesotho,2004,81
Lesotho,2005,81
Lesotho,2006,81
Lesotho,2007,80
Lesotho,2008,81
Lesotho,2009,81
Lesotho,2010,81
Lesotho,2011,80
Liberia,1992,67
Liberia,1993,63
Liberia,1994,61
Liberia,1995,58
Liberia,1996,58
Liberia,1997,59
Liberia,1998,60
Liberia,1999,61
Liberia,2000,63
Liberia,2001,65
Liberia,2002,66
Liberia,2003,66
Liberia,2004,65
Liberia,2005,64
Liberia,2006,64
Liberia,2007,65
Liberia,2008,66
Liberia,2009,67
Liberia,2010,67
Liberia,2011,66
Lithuania,1992,53
Lithuania,1993,51
Lithuania,1994,53
Lithuania,1995,54
Lithuania,1996,55
Lithuania,1997,54
Lithuania,1998,54
Lithuania,1999,53
Lithuania,2000,51
Lithuania,2001,49
Lithuania,2002,47
Lithuania,2003,45
Lithuania,2004,44
Lithuania,2005,43
Lithuania,2006,41
Lithuania,2007,40
Lithuania,2008,39
Lithuania,2009,39
Lithuania,2010,39
Lithuania,2011,39
Luxembourg,2000,25
Luxembourg,2001,25
Luxembourg,2002,25
Luxembourg,2003,25
Luxembourg,2004,24
Luxembourg,2005,23
Luxembourg,2006,24
Luxembourg,2007,25
Luxembourg,2008,27
Luxembourg,2009,28
Luxembourg,2010,29
Luxembourg,2011,30
Macedonia,1992,49
Macedonia,1993,50
Macedonia,1994,48
Macedonia,1995,47
Macedonia,1996,45
Macedonia,1997,46
Macedonia,1998,45
Macedonia,1999,44
Macedonia,2000,42
Macedonia,2001,40
Macedonia,2002,41
Macedonia,2003,40
Macedonia,2004,39
Macedonia,2005,39
Macedonia,2006,39
Macedonia,2007,37
Macedonia,2008,36
Macedonia,2009,36
Macedonia,2010,37
Macedonia,2011,37
Madagascar,1992,74
Madagascar,1993,74
Madagascar,1994,74
Madagascar,1995,74
Madagascar,1996,74
Madagascar,1997,74
Madagascar,1998,74
Madagascar,1999,75
Madagascar,2000,76
Madagascar,2001,77
Madagascar,2002,78
Madagascar,2003,78
Madagascar,2004,78
Madagascar,2005,78
Madagascar,2006,78
Madagascar,2007,78
Madagascar,2008,78
Madagascar,2009,79
Madagascar,2010,79
Madagascar,2011,79
Malawi,1992,73
Malawi,1993,73
Malawi,1994,73
Malawi,1995,74
Malawi,1996,74
Malawi,1997,74
Malawi,1998,75
Malawi,1999,76
Malawi,2000,76
Malawi,2001,75
Malawi,2002,75
Malawi,2003,73
Malawi,2004,73
Malawi,2005,73
Malawi,2006,73
Malawi,2007,73
Malawi,2008,72
Malawi,2009,71
Malawi,2010,71
Malawi,2011,71
Malaysia,1992,44
Malaysia,1993,45
Malaysia,1994,44
Malaysia,1995,44
Malaysia,1996,43
Malaysia,1997,43
Malaysia,1998,44
Malaysia,1999,45
Malaysia,2000,46
Malaysia,2001,45
Malaysia,2002,45
Malaysia,2003,45
Malaysia,2004,46
Malaysia,2005,47
Malaysia,2006,47
Malaysia,2007,47
Malaysia,2008,47
Malaysia,2009,46
Malaysia,2010,46
Malaysia,2011,45
Maldives,1992,51
Maldives,1993,48
Maldives,1994,45
Maldives,1995,43
Maldives,1996,45
Maldives,1997,46
Maldives,1998,46
Maldives,1999,46
Maldives,2000,45
Maldives,2001,45
Maldives,2002,43
Maldives,2003,44
Maldives,2004,44
Maldives,2005,43
Maldives,2006,42
Maldives,2007,41
Maldives,2008,41
Maldives,2009,41
Maldives,2010,41
Maldives,2011,41
Mali,1992,69
Mali,1993,70
Mali,1994,69
Mali,1995,70
Mali,1996,69
Mali,1997,70
Mali,1998,69
Mali,1999,68
Mali,2000,68
Mali,2001,68
Mali,2002,68
Mali,2003,67
Mali,2004,67
Mali,2005,67
Mali,2006,67
Mali,2007,67
Mali,2008,67
Mali,2009,67
Mali,2010,67
Mali,2011,68
Malta,1992,35
Malta,1993,35
Malta,1994,36
Malta,1995,37
Malta,1996,37
Malta,1997,36
Malta,1998,36
Malta,1999,36
Malta,2000,37
Malta,2001,37
Malta,2002,37
Malta,2003,37
Malta,2004,37
Malta,2005,36
Malta,2006,36
Malta,2007,36
Malta,2008,35
Malta,2009,34
Malta,2010,35
Malta,2011,35
Mauritania,1992,56
Mauritania,1993,56
Mauritania,1994,57
Mauritania,1995,56
Mauritania,1996,55
Mauritania,1997,55
Mauritania,1998,55
Mauritania,1999,54
Mauritania,2000,53
Mauritania,2001,51
Mauritania,2002,50
Mauritania,2003,51
Mauritania,2004,51
Mauritania,2005,52
Mauritania,2006,51
Mauritania,2007,51
Mauritania,2008,51
Mauritania,2009,51
Mauritania,2010,51
Mauritania,2011,51
Mauritius,1992,48
Mauritius,1993,48
Mauritius,1994,47
Mauritius,1995,46
Mauritius,1996,46
Mauritius,1997,47
Mauritius,1998,47
Mauritius,1999,47
Mauritius,2000,47
Mauritius,2001,47
Mauritius,2002,46
Mauritius,2003,46
Mauritius,2004,47
Mauritius,2005,47
Mauritius,2006,47
Mauritius,2007,47
Mauritius,2008,47
Mauritius,2009,48
Mauritius,2010,49
Mauritius,2011,49
Mexico,1992,48
Mexico,1993,47
Mexico,1994,47
Mexico,1995,47
Mexico,1996,47
Mexico,1997,47
Mexico,1998,47
Mexico,1999,47
Mexico,2000,47
Mexico,2001,47
Mexico,2002,46
Mexico,2003,46
Mexico,2004,45
Mexico,2005,45
Mexico,2006,45
Mexico,2007,45
Mexico,2008,44
Mexico,2009,44
Mexico,2010,44
Mexico,2011,44
Moldova,1992,52
Moldova,1993,54
Moldova,1994,53
Moldova,1995,56
Moldova,1996,57
Moldova,1997,58
Moldova,1998,58
Moldova,1999,60
Moldova,2000,61
Moldova,2001,61
Moldova,2002,60
Moldova,2003,58
Moldova,2004,58
Moldova,2005,55
Moldova,2006,53
Moldova,2007,49
Moldova,2008,46
Moldova,2009,46
Moldova,2010,46
Moldova,2011,46
Mongolia,1992,44
Mongolia,1993,44
Mongolia,1994,44
Mongolia,1995,47
Mongolia,1996,48
Mongolia,1997,48
Mongolia,1998,47
Mongolia,1999,45
Mongolia,2000,45
Mongolia,2001,46
Mongolia,2002,48
Mongolia,2003,50
Mongolia,2004,50
Mongolia,2005,49
Mongolia,2006,50
Mongolia,2007,49
Mongolia,2008,49
Mongolia,2009,47
Mongolia,2010,47
Mongolia,2011,47
Montenegro,2006,40
Montenegro,2007,38
Montenegro,2008,38
Montenegro,2009,37
Montenegro,2010,36
Montenegro,2011,35
Morocco,1992,64
Morocco,1993,64
Morocco,1994,63
Morocco,1995,64
Morocco,1996,65
Morocco,1997,65
Morocco,1998,64
Morocco,1999,64
Morocco,2000,64
Morocco,2001,64
Morocco,2002,64
Morocco,2003,64
Morocco,2004,64
Morocco,2005,64
Morocco,2006,63
Morocco,2007,63
Morocco,2008,62
Morocco,2009,62
Morocco,2010,62
Morocco,2011,61
Mozambique,1992,75
Mozambique,1993,75
Mozambique,1994,76
Mozambique,1995,75
Mozambique,1996,75
Mozambique,1997,74
Mozambique,1998,75
Mozambique,1999,76
Mozambique,2000,76
Mozambique,2001,77
Mozambique,2002,76
Mozambique,2003,76
Mozambique,2004,75
Mozambique,2005,75
Mozambique,2006,74
Mozambique,2007,73
Mozambique,2008,73
Mozambique,2009,73
Mozambique,2010,73
Mozambique,2011,73
Myanmar,1992,68
Myanmar,1993,69
Myanmar,1994,69
Myanmar,1995,70
Myanmar,1996,70
Myanmar,1997,69
Myanmar,1998,69
Myanmar,1999,68
Myanmar,2000,68
Myanmar,2001,68
Myanmar,2002,67
Myanmar,2003,66
Myanmar,2004,64
Myanmar,2005,62
Myanmar,2006,60
Myanmar,2007,59
Myanmar,2008,57
Myanmar,2009,55
Myanmar,2010,53
Myanmar,2011,52
Namibia,1992,61
Namibia,1993,62
Namibia,1994,63
Namibia,1995,63
Namibia,1996,64
Namibia,1997,64
Namibia,1998,64
Namibia,1999,62
Namibia,2000,61
Namibia,2001,59
Namibia,2002,59
Namibia,2003,60
Namibia,2004,60
Namibia,2005,59
Namibia,2006,58
Namibia,2007,58
Namibia,2008,57
Namibia,2009,56
Namibia,2010,55
Namibia,2011,55
Nepal,1992,77
Nepal,1993,76
Nepal,1994,76
Nepal,1995,75
Nepal,1996,75
Nepal,1997,76
Nepal,1998,76
Nepal,1999,75
Nepal,2000,75
Nepal,2001,74
Nepal,2002,74
Nepal,2003,73
Nepal,2004,73
Nepal,2005,73
Nepal,2006,73
Nepal,2007,73
Nepal,2008,72
Nepal,2009,72
Nepal,2010,71
Nepal,2011,70
Netherlands,1992,22
Netherlands,1993,22
Netherlands,1994,22
Netherlands,1995,23
Netherlands,1996,24
Netherlands,1997,23
Netherlands,1998,23
Netherlands,1999,22
Netherlands,2000,21
Netherlands,2001,21
Netherlands,2002,22
Netherlands,2003,23
Netherlands,2004,23
Netherlands,2005,23
Netherlands,2006,23
Netherlands,2007,23
Netherlands,2008,24
Netherlands,2009,25
Netherlands,2010,26
Netherlands,2011,27
New Zealand,1992,27
New Zealand,1993,28
New Zealand,1994,29
New Zealand,1995,29
New Zealand,1996,29
New Zealand,1997,29
New Zealand,1998,31
New Zealand,1999,32
New Zealand,2000,32
New Zealand,2001,30
New Zealand,2002,29
New Zealand,2003,28
New Zealand,2004,28
New Zealand,2005,27
New Zealand,2006,27
New Zealand,2007,27
New Zealand,2008,27
New Zealand,2009,28
New Zealand,2010,28
New Zealand,2011,28
Nicaragua,1992,49
Nicaragua,1993,49
Nicaragua,1994,48
Nicaragua,1995,50
Nicaragua,1996,52
Nicaragua,1997,53
Nicaragua,1998,53
Nicaragua,1999,52
Nicaragua,2000,50
Nicaragua,2001,51
Nicaragua,2002,52
Nicaragua,2003,54
Nicaragua,2004,55
Nicaragua,2005,54
Nicaragua,2006,53
Nicaragua,2007,53
Nicaragua,2008,52
Nicaragua,2009,52
Nicaragua,2010,51
Nicaragua,2011,51
Niger,1992,77
Niger,1993,76
Niger,1994,76
Niger,1995,75
Niger,1996,73
Niger,1997,73
Niger,1998,72
Niger,1999,71
Niger,2000,70
Niger,2001,69
Niger,2002,68
Niger,2003,67
Niger,2004,66
Niger,2005,65
Niger,2006,64
Niger,2007,64
Niger,2008,63
Niger,2009,62
Niger,2010,62
Niger,2011,61
Nigeria,1992,67
Nigeria,1993,68
Nigeria,1994,68
Nigeria,1995,68
Nigeria,1996,68
Nigeria,1997,67
Nigeria,1998,67
Nigeria,1999,66
Nigeria,2000,66
Nigeria,2001,65
Nigeria,2002,64
Nigeria,2003,63
Nigeria,2004,63
Nigeria,2005,63
Nigeria,2006,63
Nigeria,2007,63
Nigeria,2008,64
Nigeria,2009,65
Nigeria,2010,65
Nigeria,2011,66
North Korea,1992,63
North Korea,1993,65
North Korea,1994,66
North Korea,1995,67
North Korea,1996,68
North Korea,1997,68
North Korea,1998,69
North Korea,1999,70
North Korea,2000,69
North Korea,2001,68
North Korea,2002,67
North Korea,2003,68
North Korea,2004,68
North Korea,2005,68
North Korea,2006,69
North Korea,2007,69
North Korea,2008,69
North Korea,2009,68
North Korea,2010,68
North Korea,2011,69
Norway,1992,33
Norway,1993,33
Norway,1994,32
Norway,1995,32
Norway,1996,32
Norway,1997,32
Norway,1998,32
Norway,1999,32
Norway,2000,32
Norway,2001,32
Norway,2002,32
Norway,2003,32
Norway,2004,32
Norway,2005,32
Norway,2006,32
Norway,2007,32
Norway,2008,32
Norway,2009,32
Norway,2010,31
Norway,2011,31
Oman,1992,42
Oman,1993,40
Oman,1994,40
Oman,1995,39
Oman,1996,40
Oman,1997,39
Oman,1998,39
Oman,1999,40
Oman,2000,40
Oman,2001,39
Oman,2002,39
Oman,2003,38
Oman,2004,38
Oman,2005,38
Oman,2006,39
Oman,2007,39
Oman,2008,38
Oman,2009,38
Oman,2010,37
Oman,2011,38
Pakistan,1992,55
Pakistan,1993,54
Pakistan,1994,55
Pakistan,1995,54
Pakistan,1996,53
Pakistan,1997,52
Pakistan,1998,52
Pakistan,1999,53
Pakistan,2000,52
Pakistan,2001,52
Pakistan,2002,51
Pakistan,2003,50
Pakistan,2004,51
Pakistan,2005,50
Pakistan,2006,50
Pakistan,2007,49
Pakistan,2008,49
Pakistan,2009,49
Pakistan,2010,49
Pakistan,2011,50
Panama,1992,41
Panama,1993,42
Panama,1994,44
Panama,1995,44
Panama,1996,42
Panama,1997,40
Panama,1998,40
Panama,1999,39
Panama,2000,40
Panama,2001,40
Panama,2002,43
Panama,2003,45
Panama,2004,45
Panama,2005,46
Panama,2006,45
Panama,2007,45
Panama,2008,45
Panama,2009,45
Panama,2010,45
Panama,2011,45
Paraguay,1992,44
Paraguay,1993,43
Paraguay,1994,42
Paraguay,1995,42
Paraguay,1996,42
Paraguay,1997,42
Paraguay,1998,43
Paraguay,1999,43
Paraguay,2000,42
Paraguay,2001,42
Paraguay,2002,42
Paraguay,2003,42
Paraguay,2004,42
Paraguay,2005,42
Paraguay,2006,43
Paraguay,2007,43
Paraguay,2008,44
Paraguay,2009,44
Paraguay,2010,44
Paraguay,2011,44
Peru,1992,58
Peru,1993,59
Peru,1994,60
Peru,1995,60
Peru,1996,59
Peru,1997,60
Peru,1998,59
Peru,1999,59
Peru,2000,59
Peru,2001,59
Peru,2002,58
Peru,2003,58
Peru,2004,58
Peru,2005,59
Peru,2006,59
Peru,2007,59
Peru,2008,58
Peru,2009,57
Peru,2010,57
Peru,2011,57
Philippines,1992,57
Philippines,1993,57
Philippines,1994,57
Philippines,1995,57
Philippines,1996,57
Philippines,1997,57
Philippines,1998,57
Philippines,1999,57
Philippines,2000,57
Philippines,2001,57
Philippines,2002,58
Philippines,2003,58
Philippines,2004,58
Philippines,2005,59
Philippines,2006,60
Philippines,2007,60
Philippines,2008,60
Philippines,2009,60
Philippines,2010,60
Philippines,2011,59
Poland,1992,42
Poland,1993,42
Poland,1994,43
Poland,1995,43
Poland,1996,43
Poland,1997,43
Poland,1998,42
Poland,1999,42
Poland,2000,42
Poland,2001,42
Poland,2002,42
Poland,2003,42
Poland,2004,42
Poland,2005,42
Poland,2006,42
Poland,2007,42
Poland,2008,42
Poland,2009,41
Poland,2010,41
Poland,2011,41
Portugal,1992,37
Portugal,1993,36
Portugal,1994,36
Portugal,1995,36
Portugal,1996,35
Portugal,1997,34
Portugal,1998,34
Portugal,1999,33
Portugal,2000,33
Portugal,2001,32
Portugal,2002,32
Portugal,2003,32
Portugal,2004,33
Portugal,2005,33
Portugal,2006,33
Portugal,2007,33
Portugal,2008,33
Portugal,2009,32
Portugal,2010,32
Portugal,2011,32
Romania,1992,46
Romania,1993,47
Romania,1994,49
Romania,1995,49
Romania,1996,49
Romania,1997,50
Romania,1998,50
Romania,1999,51
Romania,2000,50
Romania,2001,49
Romania,2002,49
Romania,2003,47
Romania,2004,47
Romania,2005,46
Romania,2006,45
Romania,2007,44
Romania,2008,43
Romania,2009,44
Romania,2010,44
Romania,2011,45
Russia,1992,49
Russia,1993,48
Russia,1994,49
Russia,1995,49
Russia,1996,49
Russia,1997,49
Russia,1998,49
Russia,1999,49
Russia,2000,48
Russia,2001,47
Russia,2002,46
Russia,2003,46
Russia,2004,45
Russia,2005,44
Russia,2006,43
Russia,2007,43
Russia,2008,42
Russia,2009,42
Russia,2010,41
Russia,2011,41
Rwanda,1992,49
Rwanda,1993,50
Rwanda,1994,50
Rwanda,1995,48
Rwanda,1996,45
Rwanda,1997,44
Rwanda,1998,44
Rwanda,1999,43
Rwanda,2000,47
Rwanda,2001,53
Rwanda,2002,56
Rwanda,2003,57
Rwanda,2004,55
Rwanda,2005,55
Rwanda,2006,53
Rwanda,2007,52
Rwanda,2008,51
Rwanda,2009,50
Rwanda,2010,51
Rwanda,2011,50
Saint Kitts and Nevis,1992,35
Saint Kitts and Nevis,1993,35
Saint Kitts and Nevis,1994,34
Saint Kitts and Nevis,1995,32
Saint Kitts and Nevis,1996,30
Saint Kitts and Nevis,1997,28
Saint Kitts and Nevis,1998,29
Saint Kitts and Nevis,1999,29
Saint Kitts and Nevis,2000,28
Saint Kitts and Nevis,2001,28
Saint Kitts and Nevis,2002,27
Saint Kitts and Nevis,2003,27
Saint Kitts and Nevis,2004,27
Saint Kitts and Nevis,2005,27
Saint Kitts and Nevis,2006,27
Saint Kitts and Nevis,2007,27
Saint Kitts and Nevis,2008,28
Saint Kitts and Nevis,2009,29
Saint Kitts and Nevis,2010,29
Saint Kitts and Nevis,2011,30
Saint Vincent and the Grenadines,1992,37
Saint Vincent and the Grenadines,1993,38
Saint Vincent and the Grenadines,1994,40
Saint Vincent and the Grenadines,1995,42
Saint Vincent and the Grenadines,1996,42
Saint Vincent and the Grenadines,1997,41
Saint Vincent and the Grenadines,1998,41
Saint Vincent and the Grenadines,1999,41
Saint Vincent and the Grenadines,2000,42
Saint Vincent and the Grenadines,2001,42
Saint Vincent and the Grenadines,2002,41
Saint Vincent and the Grenadines,2003,39
Saint Vincent and the Grenadines,2004,38
Saint Vincent and the Grenadines,2005,37
Saint Vincent and the Grenadines,2006,36
Saint Vincent and the Grenadines,2007,36
Saint Vincent and the Grenadines,2008,35
Saint Vincent and the Grenadines,2009,35
Saint Vincent and the Grenadines,2010,34
Saint Vincent and the Grenadines,2011,35
Samoa,1992,32
Samoa,1993,30
Samoa,1994,30
Samoa,1995,30
Samoa,1996,31
Samoa,1997,31
Samoa,1998,30
Samoa,1999,32
Samoa,2000,31
Samoa,2001,31
Samoa,2002,31
Samoa,2003,31
Samoa,2004,31
Samoa,2005,30
Samoa,2006,29
Samoa,2007,29
Samoa,2008,29
Samoa,2009,29
Samoa,2010,29
Samoa,2011,29
Sao Tome and Principe,1992,52
Sao Tome and Principe,1993,53
Sao Tome and Principe,1994,53
Sao Tome and Principe,1995,53
Sao Tome and Principe,1996,53
Sao Tome and Principe,1997,53
Sao Tome and Principe,1998,52
Sao Tome and Principe,1999,51
Sao Tome and Principe,2000,51
Sao Tome and Principe,2001,50
Sao Tome and Principe,2002,50
Sao Tome and Principe,2003,49
Sao Tome and Principe,2004,48
Sao Tome and Principe,2005,48
Sao Tome and Principe,2006,48
Sao Tome and Principe,2007,48
Sao Tome and Principe,2008,47
Sao Tome and Principe,2009,47
Sao Tome and Principe,2010,47
Sao Tome and Principe,2011,47
Saudi Arabia,1992,49
Saudi Arabia,1993,51
Saudi Arabia,1994,52
Saudi Arabia,1995,53
Saudi Arabia,1996,53
Saudi Arabia,1997,53
Saudi Arabia,1998,53
Saudi Arabia,1999,52
Saudi Arabia,2000,51
Saudi Arabia,2001,51
Saudi Arabia,2002,50
Saudi Arabia,2003,50
Saudi Arabia,2004,50
Saudi Arabia,2005,50
Saudi Arabia,2006,50
Saudi Arabia,2007,50
Saudi Arabia,2008,51
Saudi Arabia,2009,51
Saudi Arabia,2010,50
Saudi Arabia,2011,48
Senegal,1992,65
Senegal,1993,61
Senegal,1994,60
Senegal,1995,60
Senegal,1996,61
Senegal,1997,60
Senegal,1998,60
Senegal,1999,60
Senegal,2000,61
Senegal,2001,61
Senegal,2002,62
Senegal,2003,62
Senegal,2004,64
Senegal,2005,64
Senegal,2006,64
Senegal,2007,64
Senegal,2008,63
Senegal,2009,62
Senegal,2010,60
Senegal,2011,60
Serbia,2006,39
Serbia,2007,38
Serbia,2008,38
Serbia,2009,38
Serbia,2010,39
Serbia,2011,40
Serbia and Montenegro,1992,36
Serbia and Montenegro,1993,39
Serbia and Montenegro,1994,36
Serbia and Montenegro,1995,36
Serbia and Montenegro,1996,33
Serbia and Montenegro,1997,33
Serbia and Montenegro,1998,33
Serbia and Montenegro,1999,32
Serbia and Montenegro,2000,31
Serbia and Montenegro,2001,30
Serbia and Montenegro,2002,29
Serbia and Montenegro,2003,27
Serbia and Montenegro,2004,27
Serbia and Montenegro,2005,26
Sierra Leone,1992,61
Sierra Leone,1993,61
Sierra Leone,1994,61
Sierra Leone,1995,62
Sierra Leone,1996,62
Sierra Leone,1997,61
Sierra Leone,1998,62
Sierra Leone,1999,63
Sierra Leone,2000,64
Sierra Leone,2001,64
Sierra Leone,2002,63
Sierra Leone,2003,63
Sierra Leone,2004,62
Sierra Leone,2005,61
Sierra Leone,2006,61
Sierra Leone,2007,62
Sierra Leone,2008,62
Sierra Leone,2009,63
Sierra Leone,2010,63
Sierra Leone,2011,63
Slovakia,1993,37
Slovakia,1994,39
Slovakia,1995,38
Slovakia,1996,38
Slovakia,1997,37
Slovakia,1998,37
Slovakia,1999,37
Slovakia,2000,38
Slovakia,2001,38
Slovakia,2002,39
Slovakia,2003,38
Slovakia,2004,38
Slovakia,2005,38
Slovakia,2006,37
Slovakia,2007,37
Slovakia,2008,37
Slovakia,2009,37
Slovakia,2010,35
Slovakia,2011,35
Slovenia,1992,42
Slovenia,1993,39
Slovenia,1994,40
Slovenia,1995,39
Slovenia,1996,39
Slovenia,1997,39
Slovenia,1998,39
Slovenia,1999,39
Slovenia,2000,39
Slovenia,2001,39
