Entity,Year,Technology Diffusion (Comin and Hobijn (2004) and others)
Vacuum,1965,83.5
Vacuum,1966,85.6
Vacuum,1967,87
Vacuum,1968,89.1
Vacuum,1969,90.7
Vacuum,1970,92
Vacuum,1971,94.4
Vacuum,1972,96.9
Vacuum,1973,97.5
Vacuum,1974,98.4
Vacuum,1975,99.2
Vacuum,1976,99.5
Vacuum,1978,99.9
Videocassette recorder,1992,73.8
Videocassette recorder,1998,85.2
Videocassette recorder,2003,90
Videocassette recorder,2005,92.2
Videocassette recorder,2010,92.1
Videocassette recorder,2011,90.9
Washer,1920,39
Washer,1930,55
Washer,1960,73
Washer,1970,70
Washer,1984,73
Washer,1987,75
Washer,1989,75
Washer,1992,84.8
Washer,1998,90.9
Washer,2003,92.2
Washer,2005,84
Washer,2010,85.3
Washer,2011,85.2
Washing machine,1930,10
Washing machine,1931,12
Washing machine,1932,13
Washing machine,1933,15
Washing machine,1934,17
Washing machine,1935,19
Washing machine,1936,20
Washing machine,1937,22
Washing machine,1938,24
Washing machine,1939,25
Washing machine,1940,24
Washing machine,1941,22
Washing machine,1942,20
Washing machine,1943,19
Washing machine,1944,18
Washing machine,1945,17
Washing machine,1946,15
Washing machine,1947,16
Washing machine,1948,16
Washing machine,1949,17
Washing machine,1950,18
Washing machine,1951,19
Washing machine,1952,20
Washing machine,1953,22
Washing machine,1954,26
Washing machine,1955,29
Washing machine,1956,32
Washing machine,1957,35
Washing machine,1958,37
Washing machine,1959,38
Washing machine,1960,41
Washing machine,1961,43
Washing machine,1962,45
Washing machine,1963,47
Washing machine,1964,49
Washing machine,1965,50
Washing machine,1966,52
Washing machine,1967,53
Washing machine,1968,55
Washing machine,1969,58
Washing machine,1970,59
Washing machine,1971,61
Washing machine,1972,64
Washing machine,1973,66
Washing machine,1974,68
Washing machine,1975,70
Washing machine,1976,71
Washing machine,1977,72
Washing machine,1978,73
Washing machine,1979,73
Washing machine,1980,72
Washing machine,1981,71
Washing machine,1982,69
Washing machine,1983,69
Washing machine,1984,71
Washing machine,1985,71
Washing machine,1986,72
Washing machine,1987,73
Washing machine,1988,74
Washing machine,1989,76
Washing machine,1990,76
Washing machine,1991,77
Washing machine,1992,77
Washing machine,1993,77
Washing machine,1994,77
Washing machine,1995,77
Washing machine,1996,77
Washing machine,1997,77
Washing machine,1998,78
Washing machine,1999,78
Washing machine,2000,78
Washing machine,2001,79
Washing machine,2002,80
Washing machine,2003,81
Washing machine,2004,81
Washing machine,2005,81
Washing machine,2006,81
Washing machine,2007,80
Washing machine,2008,79
Water Heater,1933,1
Water Heater,1953,12
Water Heater,1960,20
Water Heater,1970,23
Water Heater,1982,29
Water Heater,1983,31
Water Heater,1986,35
