Entity,Year,"Average harmonised learning outcome score (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the minimum threshold (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the intermediate threshold (Altinok, Angrist, and Patrinos (2018)) ","Share of students achieving the advanced threshold (Altinok, Angrist, and Patrinos (2018)) "
Swaziland,2000,365.36,56.87,13.7,3.13
Swaziland,2005,335.26,52.19,8.92,1.12
Sweden,1970,426.84,96.55,66.77,19.82
Sweden,1975,444.48,97.59999999999999,71.75,22.21
Sweden,1980,411.55,76.65000000000001,46.7,8.949999999999999
Sweden,1985,470.88,81.59,53.95,17.95
Sweden,1990,500.74,87.48,61.34,20.31
Sweden,1995,526.21,96.33,80.03,25.83
Sweden,2000,512.31,92.25,77.16,24.56
Sweden,2005,497.58,92.28,71.20999999999999,13.18
Sweden,2010,494.59,91.2,69.78,12.56
Sweden,2015,509.15,92.77,74.7,17.86
Switzerland,1990,556.52,98.09,88.66,46.2
Switzerland,1995,553.21,98.94,89.20999999999999,39.54
Switzerland,2000,544.22,92.25,73.88,27.5
Switzerland,2005,550.35,91.89,76.54000000000001,30.01
Switzerland,2010,552.37,93.61,80.79000000000001,35.39
Switzerland,2015,543.83,91.62000000000001,77.11,31.93
Syria,2005,371.79,52.5,15.3,1.76
Syria,2010,390.86,62.8,26.77,1.98
Taiwan,1990,571.59,100,94.70999999999999,51.64
Taiwan,2000,558.12,96.20999999999999,86.3,55.07
Taiwan,2005,580.93,96.64,90.62000000000001,53.76
Taiwan,2010,596.9,96.92,91.69,60.93
Taiwan,2015,597.75,97.33,92.41,63.21
Tanzania,2000,361.22,54.98,17.37,2.71
Tanzania,2005,352.92,57.32,21.26,2.18
Thailand,1970,470.32,92.18000000000001,57.05,11.74
Thailand,1975,474.66,92.34,59.19,11.74
Thailand,1980,460.29,79.56,53.59,10.65
Thailand,1985,472.73,83.58,56.84,10.85
Thailand,1990,485.65,87.95,60.39,11.06
Thailand,1995,492.41,93.19,68.69,11.73
Thailand,2000,464.65,83.75,55.04,7.97
Thailand,2005,454.84,80.74,53.04,7.94
Thailand,2010,444.63,76.18000000000001,48.04,7.21
Thailand,2015,440.25,73.81999999999999,41.87,6.94
Togo,2000,253.11,29.12,3.57,0
Togo,2005,302.13,34.46,7.18,0
Togo,2010,283.23,39.05,15.23,0
Trinidad and Tobago,2010,435.06,69.62000000000001,38.86,6.65
Trinidad and Tobago,2015,438.75,70.3,40.61,7.57
Tunisia,2000,404.39,77.24,39.8,3.34
Tunisia,2005,374.56,54.73,15.4,.62
Tunisia,2010,386.94,59.53,18.67,.62
Tunisia,2015,384.12,55.24,20.59,2.56
Turkey,2000,424.62,70.87000000000001,32.98,4.39
Turkey,2005,431.15,72.04000000000001,39.28,6.19
Turkey,2010,456.62,74.09,47.81,12.23
Turkey,2015,470.39,79.45,55.8,15.93
Uganda,2000,331.1,41.89,13.47,3.68
Uganda,2005,329.42,39.07,5.76,.63
Ukraine,2005,467.87,83.7,55.26,9.5
Ukraine,2010,478.3,84.63,58.79,11.85
United Arab Emirates,2010,433.55,71.33,35.95,5.71
United Arab Emirates,2015,460.49,80.84,51.37,12.15
United Arab Emirates (Abu Dhabi),2010,428.68,73.83,35.98,4.18
United Arab Emirates (Abu Dhabi),2015,437.07,73.75,42.3,8.800000000000001
United Arab Emirates (Dubai),2005,457.03,82.34999999999999,50.24,8.619999999999999
United Arab Emirates (Dubai),2010,465.68,82.83,52.15,8.789999999999999
United Arab Emirates (Dubai),2015,510.09,91.44,71.51000000000001,23.49
United Kingdom,1990,511,90.08,70.39,29.76
United Kingdom,2000,545.0700000000001,93.8,75.2,24.47
United Kingdom,2005,510.27,85.25,64.43000000000001,19.79
United Kingdom,2010,513.6900000000001,89.90000000000001,69.52,19.27
United Kingdom,2015,515.8,88.62000000000001,69.98,21.95
United States,1970,470.27,77.95999999999999,56.77,17.93
United States,1975,471.4,77.58,57.55,18.21
United States,1980,477.28,79.03,59.17,18.52
United States,1985,477.74,81.47,59.07,17.68
United States,1990,494.25,85.72,63.08,18.57
United States,1995,506.23,89.77,70.84999999999999,21.15
United States,2000,510.81,90.81999999999999,72.39,22.77
United States,2005,515.4,92.58,74.34,21.9
United States,2010,523.88,93.31,76.99,24.77
United States,2015,529.09,93.3,78.13,29.84
United States (Indiana State),2005,522.61,93.74,78.26000000000001,22.93
United States (Massachusetts),2005,554.97,96.49,87.47,40.56
United States (Massachusetts),2015,522.62,91.18000000000001,74.44,22.81
United States (Minnesota),2005,543.01,97.02,85.13,32.85
United States (North Carolina),2015,495.27,85.13,62.1,14.76
Uruguay,2005,457.86,73.91,47.58,8.279999999999999
Uruguay,2010,450.02,74.93000000000001,47.03,8.35
Uruguay,2015,445.45,72.65000000000001,43.19,6.8
Venezuela,1995,331.43,12.57,0,0
Venezuela,2010,422.71,68.37000000000001,35.17,3.06
Vietnam,2015,520.04,91.18000000000001,71.98,20.23
Yemen,2005,296,31.58,8.59,0
Yemen,2010,297.2,40,15.06,0
Zambia,1995,355.24,0,0,0
Zambia,2000,243.48,7.52,0,0
Zambia,2005,324.46,27.5,7.05,0
Zanzibar,1995,347.7,17.84,0,0
Zanzibar,2000,310.54,34.33,2.47,0
Zanzibar,2005,321.88,38.04,1.87,.57
Zimbabwe,2005,342.99,48.27,14.58,2.52
