Entity,Year,Iron and steel production (Correlates of War: National Material Capabilities (v4.0)),"Military expenditure (1816-1913, current prices) (Correlates of War: National Material Capabilities (v4.0))","Military expenditure (1914-2007, current prices) (Correlates of War: National Material Capabilities (v4.0))",Military personnel (Correlates of War: National Material Capabilities (v4.0))
Canada,1996,14735,,8624000,66
Canada,1997,15553,,7801000,61
Canada,1998,15930,,7677000,60
Canada,1999,16235,,8395000,60
Canada,2000,16595,,8320000,59
Canada,2001,15276,,7745000,57
Canada,2002,16002,,8522000,52
Canada,2003,15929,,10102000,52
Canada,2004,16305,,11501000,57
Canada,2005,15327,,13224000,62
Canada,2006,15493,,15103000,62
Canada,2007,15572,,18491000,63
Cape Verde,1976,,,1000,3
Cape Verde,1977,,,1000,2
Cape Verde,1978,,,2000,4
Cape Verde,1979,,,1000,4
Cape Verde,1980,,,1100,4
Cape Verde,1981,,,1300,4
Cape Verde,1982,,,,4
Cape Verde,1983,,,,4
Cape Verde,1984,,,,6
Cape Verde,1985,,,,6
Cape Verde,1986,,,,4
Cape Verde,1987,,,,4
Cape Verde,1988,,,,3
Cape Verde,1989,,,,3
Cape Verde,1990,,,,1
Cape Verde,1991,,,3660,1
Cape Verde,1992,,,3560,1
Cape Verde,1993,,,3000,1
Cape Verde,1994,,,4000,1
Cape Verde,1995,,,4000,1
Cape Verde,1996,,,4000,1
Cape Verde,1997,,,4000,1
Cape Verde,1998,,,4000,1
Cape Verde,1999,,,7000,1
Cape Verde,2000,,,4000,1
Cape Verde,2001,,,4000,1
Cape Verde,2002,,,5000,1
Cape Verde,2003,,,6000,1
Cape Verde,2004,,,7000,1
Cape Verde,2005,,,7000,1
Cape Verde,2006,,,7000,1
Cape Verde,2007,,,8000,1
Central African Republic,1961,,,822,
Central African Republic,1962,,,1001,
Central African Republic,1963,,,1001,
Central African Republic,1964,,,2001,2
Central African Republic,1965,,,2313,2
Central African Republic,1966,,,2382,2
Central African Republic,1967,,,3832,2
Central African Republic,1968,,,4493,2
Central African Republic,1969,,,5878,2
Central African Republic,1970,,,4865,2
Central African Republic,1971,,,5297,2
Central African Republic,1972,,,5202,3
Central African Republic,1973,,,7256,3
Central African Republic,1974,,,6931,3
Central African Republic,1975,,,8277,3
Central African Republic,1976,,,8013,4
Central African Republic,1977,,,7652,7
Central African Republic,1978,,,10144,4
Central African Republic,1979,,,13971,4
Central African Republic,1980,,,13902,4
Central African Republic,1981,,,15030,4
Central African Republic,1982,,,15630,5
Central African Republic,1983,,,17823,4
Central African Republic,1984,,,16209,5
Central African Republic,1985,,,11811,5
Central African Republic,1986,,,17004,5
Central African Republic,1987,,,18670,5
Central African Republic,1988,,,21980,5
Central African Republic,1989,,,18000,5
Central African Republic,1990,,,20851,4
Central African Republic,1991,,,,4
Central African Republic,1992,,,27960,4
Central African Republic,1993,,,14100,4
Central African Republic,1994,,,20000,4
Central African Republic,1995,,,24000,4
Central African Republic,1996,,,31000,5
Central African Republic,1997,,,39000,5
Central African Republic,1998,,,50000,4
Central African Republic,1999,,,45000,3
Central African Republic,2000,,,14000,3
Central African Republic,2001,,,15000,3
Central African Republic,2002,,,11000,3
Central African Republic,2003,,,15000,3
Central African Republic,2004,,,15000,2
Central African Republic,2005,,,15000,2
Central African Republic,2006,,,16000,3
Central African Republic,2007,,,18000,3
Chad,1961,,,1620,
Chad,1962,,,1292,
Chad,1963,,,1487,2
Chad,1964,,,1787,2
Chad,1965,,,3322,4
Chad,1966,,,5777,5
Chad,1967,,,5979,5
Chad,1968,,,6239,6
Chad,1969,,,7835,5
Chad,1970,,,7922,7
Chad,1971,,,14163,8
Chad,1972,,,15281,10
Chad,1973,,,15954,10
Chad,1974,,,15322,10
Chad,1975,,,18906,11
Chad,1976,,,25010,11
Chad,1977,,,29999,9
Chad,1978,,,41349,5
Chad,1979,,,50020,5
Chad,1980,,,62031,3
Chad,1981,,,55003,3
Chad,1982,,,52040,3
Chad,1983,,,52498,4
Chad,1984,,,55682,16
Chad,1985,,,36880,16
Chad,1986,,,48660,22
Chad,1987,,,34300,30
Chad,1988,,,77890,33
Chad,1989,,,57990,33
Chad,1990,,,59318,50
Chad,1991,,,21000,50
Chad,1992,,,35340,38
Chad,1993,,,38300,30
Chad,1994,,,29000,40
Chad,1995,,,34000,40
Chad,1996,,,40000,40
Chad,1997,,,43000,35
Chad,1998,,,64000,30
Chad,1999,,,47000,30
Chad,2000,,,14000,30
Chad,2001,,,13000,30
Chad,2002,,,34000,30
Chad,2003,,,41000,30
Chad,2004,,,51000,30
Chad,2005,,,56000,30
Chad,2006,,,59000,30
Chad,2007,,,70000,17
Chile,1839,,,,3
Chile,1840,,,,3
Chile,1841,,,,3
Chile,1842,,,,2
Chile,1843,,,,2
Chile,1844,,,,2
Chile,1845,,,,2
Chile,1846,,,,2
Chile,1847,,,,3
Chile,1848,,,,2
Chile,1849,,,,3
Chile,1850,,,,3
Chile,1851,,,,3
Chile,1852,,,,3
Chile,1853,,311,,3
Chile,1854,,,,4
Chile,1855,,,,4
Chile,1856,,,,3
Chile,1857,,,,4
Chile,1858,,,,3
Chile,1859,,,,4
Chile,1860,,,,4
Chile,1861,,,,4
Chile,1862,,,,4
Chile,1863,,,,4
Chile,1864,,401,,4
Chile,1865,,,,4
Chile,1866,,,,4
Chile,1867,,401,,4
Chile,1868,,489,,4
Chile,1869,,497,,5
Chile,1870,,537,,6
Chile,1871,,563,,6
Chile,1872,,627,,5
Chile,1873,,711,,5
Chile,1874,,640,,5
Chile,1875,,663,,5
Chile,1876,,544,,4
Chile,1877,,,,5
Chile,1878,,,,5
Chile,1879,,,,5
Chile,1880,,,,5
Chile,1881,,,,14
Chile,1882,,414,,16
Chile,1883,,413,,16
Chile,1884,,409,,14
Chile,1885,,158,,10
Chile,1886,,134,,8
Chile,1887,,117,,8
Chile,1888,,148,,8
Chile,1889,,296,,8
Chile,1890,,226,,10
Chile,1891,,,,9
Chile,1892,,124,,9
Chile,1893,,119,,8
Chile,1894,,114,,8
Chile,1895,,990,,12
Chile,1896,,1241,,12
Chile,1897,,1456,,13
Chile,1898,,1590,,22
Chile,1899,,1756,,22
Chile,1900,,1274,,21
Chile,1901,,,,23
Chile,1902,,1812,,19
Chile,1903,,1703,,20
Chile,1904,,,,13
Chile,1905,,1914,,13
Chile,1906,,2232,,12
Chile,1907,,2480,,21
Chile,1908,,1237,,22
Chile,1909,,4315,,24
Chile,1910,,3455,,24
Chile,1911,,3764,,26
Chile,1912,,4462,,34
Chile,1913,,5015,,33
Chile,1914,,,15997,27
Chile,1915,,,12040,27
Chile,1916,,,14115,27
Chile,1917,,,,27
Chile,1918,,,13804,27
Chile,1919,,,15351,29
Chile,1920,,,13789,30
Chile,1921,,,23784,31
Chile,1922,,,16141,31
Chile,1923,,,15284,28
Chile,1924,,,14901,25
Chile,1925,,,16850,23
Chile,1926,,,25163,27
Chile,1927,,,26831,30
Chile,1928,,,26779,27
Chile,1929,,,28628,25
Chile,1930,,,25265,23
Chile,1931,,,21986,21
Chile,1932,,,18368,20
Chile,1933,,,10416,22
Chile,1934,,,10439,20
Chile,1935,,,14707,24
Chile,1936,,,14219,24
Chile,1937,,,16196,26
Chile,1938,,,18506,23
Chile,1939,,,17336,24
Chile,1940,,,31007,
Chile,1941,,,36175,
Chile,1942,,,41300,
Chile,1943,,,61951,
Chile,1944,,,67114,
Chile,1945,,,87764,
Chile,1946,21,,56849,34
Chile,1947,31,,70740,35
Chile,1948,30,,71415,36
Chile,1949,32,,90032,38
Chile,1950,56,,119355,39
Chile,1951,178,,145161,39
Chile,1952,243,,193548,40
Chile,1953,313,,377419,50
Chile,1954,321,,119782,55
Chile,1955,290,,168966,42
Chile,1956,381,,170627,42
Chile,1957,388,,133638,41
Chile,1958,348,,119130,40
Chile,1959,415,,91742,41
Chile,1960,422,,103514,41
Chile,1961,363,,113295,63
Chile,1962,495,,136847,63
Chile,1963,489,,107530,75
Chile,1964,544,,119070,70
Chile,1965,441,,136667,70
Chile,1966,540,,136023,65
Chile,1967,596,,140503,70
Chile,1968,526,,133679,70
Chile,1969,601,,125684,70
Chile,1970,547,,165731,70
Chile,1971,610,,250000,70
Chile,1972,581,,300000,75
Chile,1973,508,,378378,75
Chile,1974,596,,530048,90
Chile,1975,458,,332112,110
Chile,1976,448,,388004,111
Chile,1977,509,,524873,111
Chile,1978,574,,629644,111
Chile,1979,657,,951001,111
Chile,1980,704,,1455820,116
Chile,1981,644,,2103330,116
Chile,1982,492,,1349873,116
Chile,1983,618,,1649556,126
Chile,1984,692,,1622342,123
Chile,1985,689,,760000,124
Chile,1986,706,,744390,127
Chile,1987,726,,790000,127
Chile,1988,899,,670270,96
Chile,1989,800,,645500,95
Chile,1990,772,,541410,95
Chile,1991,805,,1000000,90
Chile,1992,1013,,1020000,92
Chile,1993,1063,,1002000,92
Chile,1994,1040,,1614000,102
Chile,1995,1014,,1947000,102
Chile,1996,1178,,2038000,102
Chile,1997,1167,,2922000,102
Chile,1998,1171,,3071000,100
Chile,1999,1291,,2586000,88
Chile,2000,1352,,3158000,87
Chile,2001,1247,,2841000,88
Chile,2002,1279,,2703000,80
Chile,2003,1377,,2735000,77
Chile,2004,1579,,3424000,77
Chile,2005,1537,,4143000,78
Chile,2006,1627,,4677000,78
Chile,2007,1679,,5238000,76
China,1860,10,,,1000
China,1861,10,,,1000
China,1862,10,,,1000
China,1863,10,,,1000
China,1864,10,,,1000
China,1865,10,,,1000
China,1866,10,,,1000
China,1867,10,,,1000
China,1868,10,,,1000
China,1869,10,,,1000
China,1870,10,,,1000
China,1871,10,,,1000
China,1872,10,,,1000
China,1873,10,,,1000
China,1874,10,,,1000
China,1875,10,,,1000
China,1876,10,,,1000
China,1877,10,,,1000
China,1878,10,,,1000
China,1879,10,,,1000
China,1880,20,,,1000
China,1881,20,,,1000
China,1882,20,,,1000
China,1883,20,,,1000
China,1884,20,,,1000
China,1885,20,,,1000
China,1886,20,,,1000
China,1887,20,,,1000
China,1888,20,,,1000
China,1889,20,,,1000
China,1890,20,,,1000
China,1891,20,,,1000
China,1892,20,,,1000
China,1893,20,,,1000
China,1894,20,,,1000
China,1895,20,,,1000
China,1896,20,2994,,1000
China,1897,20,2660,,1000
China,1898,20,11968,,1000
China,1899,20,11967,,1000
China,1900,,12241,,1000
China,1901,,5155,,1000
China,1902,,8769,,1000
China,1903,,8765,,1000
China,1904,,8761,,1000
China,1905,,10105,,1000
China,1906,,11022,,1000
China,1907,9,,,1000
China,1908,23,,,1000
China,1909,37,,,1000
China,1910,50,,,1000
China,1911,39,11880,,1003
China,1912,3,,,450
China,1913,43,18408,,450
China,1914,56,,67785,460
China,1915,48,,,500
China,1916,45,,89499,850
China,1917,43,,,900
China,1918,57,,193472,1300
China,1919,35,,214511,1380
China,1920,68,,,1442
China,1921,77,,,1504
China,1922,30,,,1566
China,1923,30,,,1628
China,1924,30,,,1700
China,1925,30,,177669,1700
China,1926,30,,,1700
China,1927,30,,64307,1700
China,1928,30,,105698,1700
China,1929,20,,111605,1700
China,1930,15,,101852,1700
China,1931,15,,73381,1700
China,1932,20,,75541,1700
China,1933,35,,108653,1700
China,1934,50,,137458,1700
China,1935,50,,146954,1700
China,1936,50,,148278,1700
China,1937,40,,407941,2000
China,1938,52,,103151,900
China,1939,62,,173755,1488
China,1940,45,,217589,2036
China,1941,63,,244000,2584
China,1942,96,,61724,3132
China,1943,70,,331806,3680
China,1944,40,,195582,4228
China,1945,48,,228612,4775
China,1946,60,,789300,4158
China,1947,70,,257474,4015
China,1948,76,,214176,3690
China,1949,158,,2030000,2570
China,1950,606,,2558000,4000
China,1951,896,,3094000,3000
China,1952,1349,,2709000,3026
China,1953,1774,,2538205,3052
China,1954,2225,,2538205,3078
China,1955,2853,,2575000,3000
China,1956,4465,,5539170,3130
China,1957,5350,,6219080,3156
China,1958,8000,,5894070,3182
China,1959,13870,,6612470,3208
China,1960,18660,,6727610,3234
China,1961,8700,,7953200,2200
China,1962,6670,,9329700,2300
China,1963,7620,,10690350,2500
China,1964,9640,,12851090,2750
China,1965,12230,,13787580,2400
China,1966,15320,,15931440,2600
China,1967,10290,,16389240,2710
China,1968,9040,,17856960,2800
China,1969,13330,,20299920,2830
China,1970,17790,,23775520,2850
China,1971,21320,,21600000,2970
China,1972,23380,,22500000,3040
China,1973,25220,,24500000,3250
China,1974,21120,,26800000,4300
China,1975,23900,,28500000,4300
China,1976,20460,,31700000,4300
China,1977,23740,,32700000,4300
China,1978,31780,,35000000,4500
China,1979,34480,,30000000,4600
China,1980,37120,,28500000,4650
China,1981,35600,,30500000,4750
China,1982,37160,,33000000,4350
China,1983,40020,,34500000,4100
China,1984,43470,,23850000,4100
China,1985,46790,,6350000,4100
China,1986,52200,,5830000,4030
China,1987,56280,,5640000,3530
China,1988,59430,,5860000,3780
China,1989,61590,,6670000,3900
China,1990,66350,,6060000,3500
China,1991,71000,,18790000,3200
China,1992,80940,,24300000,3160
China,1993,89539,,27400000,3030
China,1994,92613,,28945000,2930
China,1995,95360,,32929000,2930
China,1996,101237,,36176000,2650
China,1997,108911,,36551000,2600
China,1998,114588,,38191000,2600
China,1999,123954,,39889000,2400
China,2000,127236,,42000000,2810
China,2001,150906,,46049000,2310
China,2002,182249,,68963000,2270
China,2003,222413,,75500000,2250
China,2004,280486,,87150000,2252
China,2005,355790,,29873000,2255
China,2006,422989,,35223000,2255
China,2007,494899,,46174000,2255
Colombia,1831,,,,3
Colombia,1832,,,,3
Colombia,1833,,,,3
Colombia,1834,,,,3
Colombia,1835,,,,3
Colombia,1836,,,,3
Colombia,1837,,,,3
Colombia,1838,,,,3
Colombia,1839,,,,6
Colombia,1840,,,,20
Colombia,1841,,,,25
Colombia,1842,,,,6
Colombia,1843,,599,,5
Colombia,1844,,,,4
Colombia,1845,,,,4
Colombia,1846,,,,4
Colombia,1847,,,,4
Colombia,1848,,,,4
Colombia,1849,,,,4
Colombia,1850,,,,4
Colombia,1851,,,,4
Colombia,1852,,,,2
Colombia,1853,,,,2
Colombia,1854,,,,2
Colombia,1855,,,,2
Colombia,1856,,,,2
Colombia,1857,,,,1
Colombia,1858,,,,1
Colombia,1859,,,,1
Colombia,1860,,,,1
Colombia,1861,,,,1
Colombia,1862,,,,1
Colombia,1863,,,,4
Colombia,1864,,,,2
Colombia,1865,,71,,2
Colombia,1866,,56,,2
Colombia,1867,,138,,2
Colombia,1868,,50,,2
Colombia,1869,,167,,2
Colombia,1870,,78,,2
Colombia,1871,,77,,2
Colombia,1872,,130,,2
Colombia,1873,,184,,2
Colombia,1874,,110,,2
Colombia,1875,,57,,1
Colombia,1876,,82,,3
Colombia,1877,,228,,2
Colombia,1878,,227,,3
Colombia,1879,,196,,3
Colombia,1880,,204,,2
Colombia,1881,,194,,3
Colombia,1882,,435,,3
Colombia,1883,,,,3
Colombia,1884,,,,3
Colombia,1885,,,,3
Colombia,1886,,,,3
Colombia,1887,,,,7
Colombia,1888,,,,7
Colombia,1889,,,,7
Colombia,1890,,,,6
Colombia,1891,,,,6
Colombia,1892,,,,6
Colombia,1893,,,,6
Colombia,1894,,,,6
Colombia,1895,,,,6
Colombia,1896,,,,6
Colombia,1897,,183,,1
Colombia,1898,,182,,1
Colombia,1899,,505,,1
Colombia,1900,,504,,1
Colombia,1901,,266,,1
Colombia,1902,,,,1
Colombia,1903,,,,15
Colombia,1904,,,,10
Colombia,1905,,315,,5
Colombia,1906,,355,,6
Colombia,1907,,570,,7
Colombia,1908,,532,,7
Colombia,1909,,426,,7
Colombia,1910,,491,,7
Colombia,1911,,395,,6
Colombia,1912,,,,6
Colombia,1913,,395,,6
Colombia,1914,,,3001,6
Colombia,1915,,,2641,6
Colombia,1916,,,2380,6
Colombia,1917,,,,6
Colombia,1918,,,,6
Colombia,1919,,,2133,6
Colombia,1920,,,4177,6
Colombia,1921,,,4177,6
Colombia,1922,,,3870,6
Colombia,1923,,,2804,6
Colombia,1924,,,2987,6
Colombia,1925,,,3360,6
Colombia,1926,,,3862,7
Colombia,1927,,,7305,8
Colombia,1928,,,8036,9
Colombia,1929,,,7476,9
Colombia,1930,,,4145,7
Colombia,1931,,,3864,8
Colombia,1932,,,3637,8
Colombia,1933,,,5712,8
Colombia,1934,,,9888,13
Colombia,1935,,,4697,13
Colombia,1936,,,7484,12
Colombia,1937,,,7151,15
Colombia,1938,,,7409,18
Colombia,1939,,,23070,15
Colombia,1940,,,8514,
Colombia,1941,,,8571,
Colombia,1942,,,9142,
Colombia,1943,,,8914,11
Colombia,1944,,,12342,11
Colombia,1945,,,14857,11
Colombia,1946,,,16331,17
Colombia,1947,,,27404,17
Colombia,1948,,,32710,17
Colombia,1949,,,36261,17
Colombia,1950,,,41327,17
Colombia,1951,,,56122,17
Colombia,1952,,,59761,17
Colombia,1953,,,85259,18
Colombia,1954,,,109562,19
Colombia,1955,77,,108367,12
Colombia,1956,90,,112749,17
Colombia,1957,114,,115139,15
Colombia,1958,121,,51256,19
Colombia,1959,109,,37673,17
Colombia,1960,157,,49531,18
Colombia,1961,181,,61194,55
Colombia,1962,194,,99104,55
Colombia,1963,200,,107222,50
Colombia,1964,200,,119111,55
Colombia,1965,204,,135333,50
Colombia,1966,174,,108586,50
Colombia,1967,207,,120518,50
Colombia,1968,199,,143047,50
Colombia,1969,206,,136932,50
Colombia,1970,239,,167206,45
Colombia,1971,248,,190096,50
Colombia,1972,275,,103128,50
Colombia,1973,263,,104878,50
Colombia,1974,244,,113183,50
Colombia,1975,266,,130072,50
Colombia,1976,252,,143396,60
Colombia,1977,209,,164949,60
Colombia,1978,265,,168359,60
Colombia,1979,234,,211751,60
Colombia,1980,420,,301170,60
Colombia,1981,420,,374116,65
Colombia,1982,422,,420228,70
Colombia,1983,482,,456089,70
Colombia,1984,507,,427886,70
Colombia,1985,525,,274050,66
Colombia,1986,632,,402970,76
Colombia,1987,691,,272990,86
Colombia,1988,777,,240510,76
Colombia,1989,711,,346320,91
Colombia,1990,733,,904060,110
Colombia,1991,700,,1180000,110
Colombia,1992,657,,1100000,139
Colombia,1993,715,,1232000,139
Colombia,1994,694,,1183000,146
Colombia,1995,714,,1791000,146
Colombia,1996,695,,2562000,146
Colombia,1997,734,,2542000,149
Colombia,1998,636,,2574000,154
Colombia,1999,534,,2164000,155
Colombia,2000,660,,3062000,152
Colombia,2001,638,,2861000,158
Colombia,2002,664,,3008000,158
Colombia,2003,668,,3234000,200
Colombia,2004,730,,3971000,203
Colombia,2005,842,,4937000,207
Colombia,2006,1220,,5377000,207
Colombia,2007,1245,,6806000,209
Comoros,1979,,,,1
Comoros,1980,,,2639,1
Comoros,1981,,,2900,1
Comoros,1982,,,1816,1
Comoros,1983,,,,1
Comoros,1984,,,1601,1
Comoros,1985,,,,1
Comoros,1986,,,,1
Comoros,1987,,,3030,1
Comoros,1988,,,,1
Comoros,1989,,,,1
Comoros,1990,,,,1
Comoros,1991,,,,1
Comoros,1992,,,,1
Congo,1960,,,400,
Congo,1961,,,2000,
Congo,1962,,,4335,1
Congo,1963,,,4000,2
Congo,1964,,,5003,2
Congo,1965,,,5003,4
Congo,1966,,,7737,5
Congo,1967,,,8985,5
Congo,1968,,,9216,3
Congo,1969,,,9463,3
Congo,1970,,,6000,6
Congo,1971,,,13661,6
Congo,1972,,,12735,9
Congo,1973,,,19443,7
Congo,1974,,,24158,7
Congo,1975,,,33492,7
Congo,1976,,,34333,10
Congo,1977,,,36634,7
Congo,1978,,,38114,11
Congo,1979,,,52651,16
Congo,1980,,,48980,16
Congo,1981,,,56401,14
Congo,1982,,,52300,11
Congo,1983,,,69008,11
Congo,1984,,,49000,15
Congo,1985,,,55650,15
Congo,1986,,,115000,13
Congo,1987,,,100510,14
Congo,1988,,,71553,51
Congo,1989,,,74923,51
Congo,1990,,,86880,9
Congo,1991,,,,9
Congo,1992,,,125630,10
Congo,1993,,,,10
Congo,1994,,,38000,10
Congo,1995,,,49000,10
Congo,1996,,,56000,10
Congo,1997,,,74000,10
Congo,1998,,,83000,10
Congo,1999,,,73000,10
Congo,2000,,,73000,10
Congo,2001,,,80000,10
Congo,2002,,,93000,10
Congo,2003,,,49000,10
Congo,2004,,,76000,10
Congo,2005,,,79000,10
Congo,2006,,,84000,10
Congo,2007,,,94000,10
Costa Rica,1920,,,743,1
Costa Rica,1921,,,,1
Costa Rica,1922,,,413,1
Costa Rica,1923,,,397,1
Costa Rica,1924,,,521,1
Costa Rica,1925,,,590,1
Costa Rica,1926,,,656,
Costa Rica,1927,,,650,
Costa Rica,1928,,,675,
Costa Rica,1929,,,675,
Costa Rica,1930,,,675,
Costa Rica,1931,,,650,
Costa Rica,1932,,,632,
Costa Rica,1933,,,533,
Costa Rica,1934,,,650,
Costa Rica,1935,,,600,
Costa Rica,1936,,,437,
Costa Rica,1937,,,493,
Costa Rica,1938,,,456,
Costa Rica,1939,,,498,
Costa Rica,1942,,,953,
Costa Rica,1943,,,1239,1
Costa Rica,1944,,,1517,1
Costa Rica,1945,,,1368,1
Costa Rica,1946,,,1174,1
Costa Rica,1947,,,1411,1
Costa Rica,1948,,,3051,1
Costa Rica,1949,,,1340,
Costa Rica,1950,,,1199,
Costa Rica,1951,,,1693,
Costa Rica,1952,,,1728,
Costa Rica,1953,,,1746,
Costa Rica,1954,,,1975,
Costa Rica,1955,,,2046,
Costa Rica,1956,,,2116,
Costa Rica,1957,,,2399,
Costa Rica,1958,,,2328,
Costa Rica,1959,,,2346,
Costa Rica,1960,,,2399,
Costa Rica,1961,,,2381,
Costa Rica,1962,,,2120,
Costa Rica,1963,,,2165,2
Costa Rica,1964,,,2105,2
Costa Rica,1965,,,2331,2
Costa Rica,1966,,,2556,2
Costa Rica,1967,,,2632,2
Costa Rica,1968,,,3609,2
Costa Rica,1969,,,3985,2
Costa Rica,1970,,,4135,2
Costa Rica,1971,,,6023,2
Costa Rica,1972,,,6384,2
Costa Rica,1973,,,8033,2
Costa Rica,1974,,,10802,2
Costa Rica,1975,,,12736,2
Costa Rica,1976,,,16103,3
Costa Rica,1977,,,18436,5
Costa Rica,1978,,,22054,5
Costa Rica,1979,,,21004,6
Costa Rica,1980,,,24737,6
Costa Rica,1981,,,21304,6
Costa Rica,1982,,,22993,6
Costa Rica,1983,,,28009,7
Costa Rica,1984,,,20111,8
Costa Rica,1985,,,29300,8
Costa Rica,1986,,,30900,8
Costa Rica,1987,,,25000,8
Costa Rica,1988,,,21000,8
Costa Rica,1989,,,57000,8
Costa Rica,1990,,,62670,8
Costa Rica,1991,,,55310,8
Costa Rica,1992,,,60700,8
Costa Rica,1993,,,95500,8
Costa Rica,1994,,,25000,8
Costa Rica,1995,,,48000,8
Costa Rica,1996,,,53000,8
Costa Rica,1997,,,59000,10
Costa Rica,1998,,,70000,10
Costa Rica,1999,,,69000,10
Costa Rica,2000,,,83000,
Costa Rica,2001,,,76000,
Costa Rica,2002,,,96000,
Costa Rica,2003,,,94000,
Costa Rica,2004,,,98000,
Costa Rica,2005,,,95000,
Costa Rica,2006,,,123000,
Costa Rica,2007,,,159000,
Cote d'Ivoire,1960,,,2000,1
Cote d'Ivoire,1961,,,4000,4
Cote d'Ivoire,1962,,,8702,4
Cote d'Ivoire,1963,,,8005,7
Cote d'Ivoire,1964,,,11108,7
Cote d'Ivoire,1965,,,12809,5
Cote d'Ivoire,1966,,,13109,6
Cote d'Ivoire,1967,,,16711,5
Cote d'Ivoire,1968,,,17010,7
Cote d'Ivoire,1969,,,16609,5
Cote d'Ivoire,1970,,,16564,6
Cote d'Ivoire,1971,,,19125,6
Cote d'Ivoire,1972,,,21807,6
Cote d'Ivoire,1973,,,28738,6
Cote d'Ivoire,1974,,,41164,7
Cote d'Ivoire,1975,,,45884,7
Cote d'Ivoire,1976,,,43761,8
Cote d'Ivoire,1977,,,52916,9
Cote d'Ivoire,1978,,,87750,8
Cote d'Ivoire,1979,,,95901,6
Cote d'Ivoire,1980,,,116081,6
Cote d'Ivoire,1981,,,92312,7
Cote d'Ivoire,1982,,,87569,7
Cote d'Ivoire,1983,,,86762,8
Cote d'Ivoire,1984,,,72345,8
Cote d'Ivoire,1985,,,71670,8
Cote d'Ivoire,1986,,,93620,8
Cote d'Ivoire,1987,,,119680,8
Cote d'Ivoire,1988,,,173000,8
Cote d'Ivoire,1989,,,130000,8
Cote d'Ivoire,1990,,,128583,15
Cote d'Ivoire,1991,,,131000,15
Cote d'Ivoire,1992,,,80800,15
Cote d'Ivoire,1993,,,126000,15
Cote d'Ivoire,1994,,,82000,15
Cote d'Ivoire,1995,,,98000,15
Cote d'Ivoire,1996,,,96000,15
Cote d'Ivoire,1997,,,101000,15
Cote d'Ivoire,1998,,,121000,15
Cote d'Ivoire,1999,,,130000,15
Cote d'Ivoire,2000,,,82000,8
Cote d'Ivoire,2001,,,80000,14
Cote d'Ivoire,2002,,,144000,17
Cote d'Ivoire,2003,,,172000,17
Cote d'Ivoire,2004,,,188000,17
Cote d'Ivoire,2005,,,190000,17
Cote d'Ivoire,2006,,,266000,17
Cote d'Ivoire,2007,,,290000,17
Croatia,1992,102,,561000,103
Croatia,1993,74,,1340000,80
Croatia,1994,63,,1000000,70
Croatia,1995,45,,1773000,60
Croatia,1996,46,,1308000,58
Croatia,1997,69,,1241000,58
Croatia,1998,101,,1089000,58
Croatia,1999,74,,662000,60
Croatia,2000,71,,509000,61
Croatia,2001,58,,512000,58
Croatia,2002,34,,553000,51
Croatia,2003,41,,596000,21
Croatia,2004,86,,606000,20
Croatia,2005,73,,600000,20
Croatia,2006,81,,693000,21
Croatia,2007,75,,843000,21
Cuba,1902,,,,3
Cuba,1903,,,,3
Cuba,1904,,,,4
Cuba,1905,,,,4
Cuba,1906,,6161,,4
Cuba,1909,,,,5
Cuba,1910,,,,5
Cuba,1911,,,,5
Cuba,1912,,,,5
Cuba,1913,,7293,,11
Cuba,1914,,,,13
Cuba,1915,,,,15
Cuba,1916,,,,18
Cuba,1917,,,,19
Cuba,1918,,,,19
Cuba,1919,,,14374,18
Cuba,1920,,,16979,18
Cuba,1921,,,17444,18
Cuba,1922,,,14133,12
Cuba,1923,,,9506,12
Cuba,1924,,,9516,12
Cuba,1925,,,12043,13
Cuba,1926,,,12471,13
Cuba,1927,,,12313,13
Cuba,1928,,,12846,13
Cuba,1929,,,12734,13
Cuba,1930,,,11988,13
Cuba,1931,,,10100,13
Cuba,1932,,,9795,13
Cuba,1933,,,7894,13
Cuba,1934,,,12195,13
Cuba,1935,,,14488,16
Cuba,1936,,,18385,16
Cuba,1937,,,18485,19
Cuba,1938,,,18385,19
Cuba,1939,,,18477,19
Cuba,1940,,,17416,19
Cuba,1941,,,,19
Cuba,1942,,,15794,20
Cuba,1943,,,,20
Cuba,1944,,,,20
Cuba,1945,,,,21
Cuba,1946,,,,18
Cuba,1947,,,,18
Cuba,1948,,,39943,18
Cuba,1949,,,,19
Cuba,1950,,,39175,20
Cuba,1951,,,,20
Cuba,1952,,,56000,20
Cuba,1953,,,53000,21
Cuba,1954,,,,21
Cuba,1955,,,54000,13
Cuba,1956,3,,51000,13
Cuba,1957,12,,56100,19
Cuba,1958,20,,,19
Cuba,1959,29,,,19
Cuba,1960,37,,175000,46
Cuba,1961,46,,175000,270
Cuba,1962,54,,200000,270
Cuba,1963,63,,200000,80
Cuba,1964,52,,200000,110
Cuba,1965,36,,140000,110
Cuba,1966,67,,230000,110
Cuba,1967,120,,170000,110
Cuba,1968,120,,213000,110
Cuba,1969,119,,186000,140
Cuba,1970,140,,228000,140
Cuba,1971,111,,290000,140
Cuba,1972,187,,267000,140
Cuba,1973,221,,270000,140
Cuba,1974,250,,282000,140
Cuba,1975,298,,326000,120
Cuba,1976,250,,,125
Cuba,1977,330,,770000,200
Cuba,1978,324,,1031579,210
Cuba,1979,313,,1136486,210
