Entity,Year,IIASA rates of no education projections (IIASA (2015)),Total number of people aged 15+ with no education (millions) (IIASA (2015)),"No education, 1970-2050 (IIASA (2015))","Primary education, 1970-2050 (IIASA (2015))","Secondary education, 1970-2050 (IIASA (2015))","Tertiary education, 1970-2050 (IIASA (2015))","Aged 0-14, 1970-2050 (IIASA (2015))","Tertiary education for those aged 15+ (proportion), 1970-2050 (IIASA (2015))"
Dominican Republic,1980,0.022815047,,77377.91681,2121993.555,951613.481,240545.0471,2453000,7.092523053
Dominican Republic,1985,0.02037867,,80632.89342,2326989.18,1202183.542,346924.3843,2602980,8.767956982
Dominican Republic,1990,0.018144361,,82413.68248,2539928.69,1440728.284,479039.3443,2761540,10.54662578
Dominican Republic,1995,0.015992539,,82007.50281,2716677.105,1658923.225,670252.1669,2918120,13.07079692
Dominican Republic,2000,0.013845333,,79106.55531,2812562.505,1890047.003,931873.9366,2993120,16.3097796
Dominican Republic,2005,0.011852166,,74629.7742,2857787.593,2232662.67,1131639.994,3049700,17.97189629
Dominican Republic,2010,0.009982086,,69121.34379,2882573.731,2612487.665,1360356.418,3080270,19.64544336
Dominican Republic,2015,0.008318402,,62971.27363,2852396.754,3028394.937,1626353.634,3087000,21.48386505
Dominican Republic,2020,0.00687266,,56478.51344,2784886.445,3448565.677,1927923.374,3031530,23.46018038
Dominican Republic,2025,0.005636154,,49827.36075,2679555.013,3849226.606,2262057.506,2947840,25.58695671
Dominican Republic,2030,0.004576251,,43158.3717,2541998.907,4226999.643,2618788.346,2884030,27.76803673
Dominican Republic,2035,0.003664193,,36565.59601,2408430.148,4541468.992,2992701.873,2816410,29.98949703
Dominican Republic,2040,0.00288288,,30163.41509,2251615.456,4802962.969,3378202.079,2725690,32.28729988
Dominican Republic,2045,0.002219055,,24093.70522,2075335.232,4995685.422,3762526.518,2622770,34.65325995
Dominican Republic,2050,0.001658288,,18500.95742,1885293.197,5122388.839,4130478.499,2522730,37.02253135
Ecuador,1970,0.232023471,,770661.3184,1755584.269,686655.8648,108578.5475,2642880,3.268980921
Ecuador,1975,0.199290591,,773492.6221,2026101.907,908330,173305.4706,3018310,4.465220319
Ecuador,1980,0.168267465,,766247.9676,2309885.429,1198620.419,278996.1843,3396060,6.126734764
Ecuador,1985,0.140524042,,752334.8039,2609914.452,1568205.415,423325.3294,3729570,7.907036326
Ecuador,1990,0.117389488,,736091.9587,2935675.197,2000597.367,598145.4778,3983960,9.539024382
Ecuador,1995,0.098301485,,712654.307,3279767.658,2453050.11,804207.9256,4130580,11.09301273
Ecuador,2000,0.083905532,,676872.6415,3499243.275,2738398.26,1152565.825,4237810,14.28727402
Ecuador,2005,0.072008624,,633802.7879,3625383.263,3143716.542,1398859.634,4325650,15.89294959
Ecuador,2010,0.061092493,,583979.2567,3713702.773,3582936.569,1678317.795,4387840,17.55757885
Ecuador,2015,0.050722785,,531983.2922,3805368.827,4126433.273,2024268.209,4360180,19.30070427
Ecuador,2020,0.041807523,,475000.1301,3833454.015,4631836.321,2421304.233,4300790,21.31130617
Ecuador,2025,0.034251732,,415653.0357,3796262.205,5080680.033,2842646.023,4236610,23.42471776
Ecuador,2030,0.027823033,,356902.4563,3704905.913,5492187.26,3273594.457,4162520,25.51994907
Ecuador,2035,0.022387807,,301052.4595,3577797.224,5856505.651,3711806.454,4069540,27.60289876
Ecuador,2040,0.017857647,,249484.4213,3408371.801,6157774.718,4155101.969,3953010,29.74147452
Ecuador,2045,0.014113042,,202991.8262,3203065.876,6384281.468,4592939.836,3822850,31.93249491
Ecuador,2050,0.011051812,,162193.7846,2968897.6,6528373.437,5016299.394,3688100,34.18083938
Egypt,1970,0.676210623,,13966542.12,2889700.194,3295394.139,502493.548,15629020,2.43289622
Egypt,1975,0.612823599,,14187215.63,3705524.769,4485007.86,772821.7362,17165890,3.33824064
Egypt,1980,0.560675335,,14347597.72,4537746.451,5596060.37,1108445.46,19083600,4.331582483
Egypt,1985,0.502114326,,14408958.91,5284278.385,7447436.395,1555896.306,21194960,5.421889466
Egypt,1990,0.443442328,,14460011.32,5982392.764,10011935.99,2154209.925,23300790,6.606273278
Egypt,1995,0.380817248,,14180213.86,6594136.59,13433197.21,3028722.34,24085560,8.133796269
Egypt,2000,0.32560332,,13880283.95,7192742.604,16859996.55,4696406.892,24379500,11.01681841
Egypt,2005,0.278471454,,13523362.6,7678505.327,21086402.35,6274562.367,24532760,12.92050324
Egypt,2010,0.239760694,,12968728.54,8024001.645,24940710.84,8156861.815,25580860,15.08008162
Egypt,2015,0.205520362,,12274670.85,8267371.947,29096720.25,10086077.41,26790090,16.88757531
Egypt,2020,0.175107099,,11492953.15,8405832.388,33487320.52,12247744.52,27574320,18.66071305
Egypt,2025,0.148218107,,10624679.27,8419745.508,37922589.68,14715720.32,27713950,20.52896052
Egypt,2030,0.124680923,,9675821.55,8291815.108,42147224.79,17489805.89,27363720,22.53705413
Egypt,2035,0.104297522,,8661151.152,8014719.278,45856726.75,20510134.75,26962340,24.69828999
Egypt,2040,0.086578596,,7611714.873,7611464.239,49035343.59,23658297.37,26629950,26.90986474
Egypt,2045,0.07121319,,6576704.322,7132065.952,51738095.5,26905468.9,26256450,29.1335016
Egypt,2050,0.057994285,,5589062.061,6612131.293,53894216.2,30277225.2,25605290,31.41682831
El Salvador,1970,,,806555.0012,739573.6209,349236.1325,34035.24533,1730070,1.764032618
El Salvador,1975,,,816857.5017,876767.4218,490920.4268,56194.64967,1932550,2.507861228
El Salvador,1980,,,798656.5889,988546.5129,650403.1189,87503.77931,2099370,3.465345245
El Salvador,1985,,,744740.0483,1045773.743,780280.0858,120746.1228,2196150,4.486135179
El Salvador,1990,,,712189.9312,1145008.607,1003033.806,165397.6557,2216020,5.466552609
El Salvador,1995,,,687223.8438,1293209.045,1307345.572,235181.539,2266020,6.675680082
El Salvador,2000,,,649979.8927,1389504.34,1556064.684,391687.5592,2272000,9.823534711
El Salvador,2005,,,604309.8435,1449290.911,1840729.427,501161.9379,2152740,11.40172532
El Salvador,2010,,,556589.2021,1502758.381,2176084.108,621266.6496,1980780,12.79195466
El Salvador,2015,,,507037.7775,1532634.853,2539578.335,763306.3985,1822200,14.28728503
El Salvador,2020,,,457291.1337,1542484.437,2907570.292,931233.6252,1769730,15.94966082
El Salvador,2025,,,407573.6863,1528115.592,3256765.685,1115462.291,1707760,17.68352764
El Salvador,2030,,,358924.5132,1492134.529,3583490.884,1312135.7,1613420,19.44859703
El Salvador,2035,,,311979.2037,1447624.427,3875760.168,1519581.526,1503410,21.238199
El Salvador,2040,,,267064.1497,1386098.453,4134409.419,1737936.403,1400970,23.09394003
El Salvador,2045,,,224491.8337,1309072.485,4347632.218,1965491.576,1311580,25.0486772
El Salvador,2050,,,184618.6773,1218343.662,4507607.824,2197771.417,1223490,27.10506699
Eritrea,1970,0.82014966,,829007.2768,140158.0482,36707.41999,4927.254968,836200,0.487460919
Eritrea,1975,0.784366814,,906492.7268,191428.4422,48458.59034,9320.240693,959700,0.806458483
Eritrea,1980,0.760674027,,993288.1441,231314.309,66576.98109,14620.56577,1163100,1.119663484
Eritrea,1985,0.705104344,,1032914.405,303810.7724,106300.6731,21884.14978,1341840,1.493890395
Eritrea,1990,0.612561119,,1038523.87,424407.0885,200592.6296,31856.41191,1462610,1.879013077
Eritrea,1995,0.528279754,,899486.0893,476757.3355,289045.0958,37381.47938,1510100,2.195462384
Eritrea,2000,0.436803388,,880499.5334,590923.1479,470787.4384,73569.88017,1645850,3.649697892
Eritrea,2005,0.350897793,,905044.3368,821535.0272,727883.0111,124762.5575,1883370,4.837211207
Eritrea,2010,0.293779654,,890101.0169,997824.4985,968113.1423,173786.6069,2185190,5.735862358
Eritrea,2015,0.245730425,,869865.8745,1155968.878,1280678.396,233406.1457,2472330,6.593544268
Eritrea,2020,0.203504482,,839755.8624,1311733.548,1674013.348,300970.7917,2627810,7.293656148
Eritrea,2025,0.167004523,,805843.9209,1457990.294,2170306.234,391141.5697,2647380,8.106087233
Eritrea,2030,0.137366426,,763860.8099,1571106.914,2715667.371,510118.2254,2663410,9.173545311
Eritrea,2035,0.113609394,,712984.7615,1686833.788,3222669.587,653267.1953,2729810,10.4093796
Eritrea,2040,0.094164002,,654788.075,1768169.464,3718451.264,812289.6336,2827260,11.68140438
Eritrea,2045,0.077698708,,591735.4678,1819134.724,4221970.172,982929.3234,2874740,12.90650011
Eritrea,2050,0.063455659,,525668.2026,1842412.683,4747369.122,1168573.999,2851090,14.10635698
Estonia,1970,0.027675261,,29437.62135,366648.8424,594263.5524,73329.98385,301340,6.893989156
Estonia,1975,0.020990929,,23509.42048,328050.8541,676889.5149,91530.21056,312040,8.172486166
Estonia,1980,0.016156049,,18631.47883,282838.9217,740875.7737,110873.8258,319680,9.614282253
Estonia,1985,0.012608734,,14963.54081,240679.9303,798879.5303,132236.9986,337060,11.14269091
Estonia,1990,0.009822068,,11972.3154,201796.7285,854622.2049,150528.7512,346400,12.34935444
Estonia,1995,0.007930613,,9039.709429,154943.1393,823336.1294,152531.0219,297510,13.38167495
Estonia,2000,0.006883587,,7719.281946,124054.8514,829180.9331,160448.9273,247800,14.30786123
Estonia,2005,0.005912746,,6740.259983,100297.4029,860347.1697,172569.3316,204090,15.13826933
Estonia,2010,0.005091641,,5715.115648,70191.97875,860588.5312,185955.0927,205550,16.5668826
Estonia,2015,0.004447839,,4853.094087,45832.80758,841419.4507,199007.3869,214880,18.238939
Estonia,2020,0.003929412,,4189.459819,30586.18559,823186.2758,208217.7968,219000,19.52933387
Estonia,2025,0.003510923,,3696.400467,19312.28073,815258.8798,214561.0915,205320,20.37948825
Estonia,2030,0.003195756,,3327.688401,9842.645164,805632.9519,222480.2891,192360,21.36596548
Estonia,2035,0.002947681,,3022.958263,7408.036032,781634.3955,233472.5278,179700,22.76586012
Estonia,2040,0.002729047,,2733.74908,5967.71328,747185.3361,245836.2256,174220,24.54133725
Estonia,2045,0.002506208,,2437.429618,4986.799501,707551.2634,257581.2374,175690,26.48495758
Estonia,2050,0.002249101,,2122.836447,4180.728999,669662.346,267894.2421,177330,28.38283205
Ethiopia,1970,0.955314945,,15601076.41,606200.1234,107795.7735,15747.69499,12760180,0.096429297
Ethiopia,1975,0.941763978,,17522234.56,863993.6809,192954.605,26577.15407,14676420,0.14284369
Ethiopia,1980,0.917563435,,18525394.71,1189754.709,434628.7383,39991.84658,15779060,0.198079753
Ethiopia,1985,0.889813647,,21006765.07,1693190.266,836431.2214,71663.44699,18302120,0.303555131
Ethiopia,1990,0.852233347,,23638677.59,2423061.816,1551116.69,124473.909,21785210,0.44875952
Ethiopia,1995,0.813740208,,26545922.58,3298604.674,2574123.29,203459.4561,26179070,0.623685764
Ethiopia,2000,0.788883432,,29810161.44,4319231.994,3324612.556,333783.9968,30124910,0.883311771
Ethiopia,2005,0.759882572,,33335715.34,5215739.83,4824411.117,493695.372,33033750,1.125371108
Ethiopia,2010,0.726220024,,37223504.12,6433379.824,6888739.544,710886.7804,34401190,1.386919977
Ethiopia,2015,0.689060304,,41030051.36,7627345.886,9874877.508,1012660.762,35936360,1.700666485
Ethiopia,2020,0.648937413,,44450727.77,8963141.243,13666226.88,1417615.687,37995530,2.069581091
Ethiopia,2025,0.606350273,,47460670.24,10416779.21,18455000.03,1940245.92,40655630,2.47882855
Ethiopia,2030,0.562808178,,49988763.82,11802451.73,24426107.48,2602928.237,42156200,2.930557164
Ethiopia,2035,0.519861458,,51902500.09,13673860.41,30829308.62,3433430.923,42390060,3.438964215
Ethiopia,2040,0.478555091,,53095243.37,15383154.22,38017992.59,4452682.051,41865100,4.013266593
Ethiopia,2045,0.439211989,,53534844.02,16884182.37,45801426.37,5667941.375,41281500,4.650107515
Ethiopia,2050,0.401670285,,53240668.96,18161899.06,54065276.14,7080345.166,40786090,5.341713985
Europe,1970,,39.40432161,,,,,,
Europe,1975,,36.07936594,,,,,,
Europe,1980,,32.89006803,,,,,,
Europe,1985,,29.63542419,,,,,,
Europe,1990,,26.57090023,,,,,,
Europe,1995,,23.54875444,,,,,,
Europe,2000,,21.33661845,,,,,,
Europe,2005,,19.73308722,,,,,,
Europe,2010,,17.70370106,,,,,,
Europe,2015,,15.57340654,,,,,,
Europe,2020,,13.5568611,,,,,,
Europe,2025,,11.78464266,,,,,,
Europe,2030,,10.26495382,,,,,,
Europe,2035,,8.961270705,,,,,,
Europe,2040,,7.816729094,,,,,,
Europe,2045,,6.784155983,,,,,,
Europe,2050,,5.829735241,,,,,,
Fiji,1970,,,,,,,227890,
Fiji,1975,,,,,,,231640,
Fiji,1980,,,,,,,249490,
Fiji,1985,,,,,,,278030,
Fiji,1990,,,,,,,279770,
Fiji,1995,,,,,,,283670,
Fiji,2000,,,,,,,284590,
Fiji,2005,,,,,,,251860,
Fiji,2010,,,,,,,249890,
Fiji,2015,,,,,,,252150,
Fiji,2020,,,,,,,245020,
Fiji,2025,,,,,,,225960,
Fiji,2030,,,,,,,209130,
Fiji,2035,,,,,,,197280,
Fiji,2040,,,,,,,187190,
Fiji,2045,,,,,,,176100,
Fiji,2050,,,,,,,164420,
Finland,1970,7.03E-7,,2.442573,490454.7983,2633028.562,349514.1969,1133000,10.06375459
Finland,1975,3.88E-7,,1.426266,448884.2932,2768876.203,456588.0779,1037090,12.42636325
Finland,1980,2.09E-7,,0.79766,403581.3016,2833034.868,572333.0328,970620,15.0260054
Finland,1985,1.02E-7,,0.40109,356921.6149,2894088.443,699689.5413,951530,17.7105207
Finland,1990,3.76E-8,,0.151447,308981.1258,2886623.194,827685.5284,963150,20.57235567
Finland,1995,5.06E-9,,0.0209,262791.7925,2909758.431,963249.7555,972010,23.29053038
Finland,2000,4.25E-10,,0.0018,218272.8967,2952596.866,1065274.813,939750,25.14727233
Finland,2005,,,0,178967.1709,2966338.595,1189467.467,911670,27.4401313
Finland,2010,,,0,142209.5459,2978741.245,1319016.228,887240,29.70779338
Finland,2015,,,0,109038.8535,2942971.281,1445473.088,895180,32.13959935
Finland,2020,,,0,80383.88843,2880001.23,1572181.298,926660,34.6863378
Finland,2025,,,0,56654.38583,2821131.571,1683934.586,954180,36.91446177
Finland,2030,,,0,38064.16206,2753587.803,1782785.123,983760,38.97277608
Finland,2035,,,0,24429.69894,2669875.109,1877765.826,996040,41.07035907
Finland,2040,,,0,15099.32932,2571659.758,1968326.429,998860,43.21162406
Finland,2045,,,0,9162.162634,2463145.973,2055345.602,1004890,45.39537962
Finland,2050,,,0,5596.437658,2352646.758,2139149.768,1022190,47.56421744
France,1970,0.011099406,,423644.9961,20024520.4,15471582.24,2248512.367,12604670,5.891052846
France,1975,0.011354052,,455350.7195,18598030.73,18070766.11,2980542.443,12611150,7.431904954
France,1980,0.011301007,,473231.8274,16906896.17,20733972.82,3761089.179,12056020,8.981664749
France,1985,0.010978479,,478245.2555,15072687.51,23415875.94,4595261.302,11739270,10.54876709
France,1990,0.01057192,,478356.8728,13347657.95,25753956.09,5667899.091,11393400,12.52633348
France,1995,0.010235766,,480666.1258,11940382.93,27404231.47,7134189.477,11287950,15.19222742
France,2000,0.009768233,,468448.3169,10115697.14,28464806.7,8907349.78,11120940,18.57388793
France,2005,0.009277737,,461877.6669,8868925.113,29966492.8,10486146.05,11234670,21.06352175
France,2010,0.00856048,,437503.4241,7590110.805,30946619.85,12133112.98,11530910,23.74044767
France,2015,0.007680546,,402394.2136,6394173.681,31803191.35,13791596.63,11832690,26.32418344
France,2020,0.006662064,,357696.3605,5309829.704,32531098.13,15492897.58,11992770,28.8553892
France,2025,0.005579965,,306846.3117,4341123.027,33046680.97,17296075.09,11994570,31.45271309
France,2030,0.004537002,,254547.6662,3494889.077,33165543.98,19189831.83,12008760,34.2035397
France,2035,0.003593003,,204794.7993,2802279.496,32899036.95,21092109.52,12059040,37.00485601
France,2040,0.00277463,,160049.7098,2228565.077,32353094.17,22941553.28,12155440,39.77159473
France,2045,0.002083147,,121261.2612,1764505.796,31585332.38,24739511.15,12248890,42.50000283
France,2050,0.001508142,,88541.49503,1394770.38,30732713.26,26492947.97,12266050,45.12589229
French Polynesia,1970,,,,,,,50930,
French Polynesia,1975,,,,,,,54550,
French Polynesia,1980,,,,,,,60400,
French Polynesia,1985,,,,,,,65350,
French Polynesia,1990,,,,,,,69010,
French Polynesia,1995,,,,,,,73210,
French Polynesia,2000,,,,,,,78370,
French Polynesia,2005,,,,,,,69240,
French Polynesia,2010,,,,,,,68240,
French Polynesia,2015,,,,,,,66220,
French Polynesia,2020,,,,,,,68020,
French Polynesia,2025,,,,,,,69480,
French Polynesia,2030,,,,,,,68410,
French Polynesia,2035,,,,,,,66250,
French Polynesia,2040,,,,,,,64260,
French Polynesia,2045,,,,,,,63120,
French Polynesia,2050,,,,,,,62380,
Gabon,1970,0.671005832,,237884.9876,74113.2254,39896.69946,2625.08755,174780,0.74046247
Gabon,1975,0.567592376,,218716.0462,96561.91649,64314.31466,5747.722607,209780,1.491597708
Gabon,1980,0.469941087,,199776.6554,117196.7272,97690.14144,10446.47595,257240,2.457358319
Gabon,1985,0.383536212,,182382.975,137209.3786,139468.0178,16469.62864,317900,3.463425786
Gabon,1990,0.308871138,,168359.4801,159551.6492,194006.9175,23161.95327,384950,4.249275936
Gabon,1995,0.24540753,,154506.1266,184919.7681,258362.4571,31801.64818,457100,5.051167932
Gabon,2000,0.188250462,,136364.8699,212323.0895,332049.9273,43642.11327,505930,6.024754034
Gabon,2005,0.143058796,,118300.6734,236839.4324,415446.1696,56351.15763,528680,6.814440292
Gabon,2010,0.108056012,,99891.12367,252884.6942,500503.2107,71159.33933,534010,7.697575285
Gabon,2015,0.081401534,,82910.85333,261336.2532,584785.9269,89508.62138,539070,8.787919567
Gabon,2020,0.060902275,,67794.23903,265434.4903,669783.2512,110152.3285,545630,9.895424025
Gabon,2025,0.045173104,,54529.61229,264577.637,755744.5751,132273.8166,545490,10.95775056
Gabon,2030,0.033373543,,43442.60105,259261.3936,842370.9378,156632.8637,542860,12.03287436
Gabon,2035,0.024702447,,34389.48869,252752.884,921305.1431,183701.5638,533940,13.19553822
Gabon,2040,0.018405113,,27160.0743,242826.2924,992000.0502,213694.5228,522440,14.48107901
Gabon,2045,0.013715635,,21279.08246,230424.8594,1053529.056,246214.1418,511130,15.86996653
Gabon,2050,0.010076399,,16324.95119,216214.3586,1106616.457,280961.8428,498440,17.34206462
Germany,1970,1.31E-6,,78.850418,2911119.802,50792282.76,6315938.588,18149870,10.52315832
Germany,1975,7.37E-7,,45.487272,3113659.801,51498668.58,7130106.128,16931090,11.54813692
Germany,1980,3.77E-7,,24.032065,3448795.044,52376319.29,7989591.635,14473870,12.51998032
Germany,1985,1.68E-7,,10.952843,3292418.598,52941333.99,9010196.464,12440910,13.81000856
Germany,1990,6.29E-8,,4.18955,2694604.703,53546070.95,10417360.16,12638560,15.62806251
Germany,1995,8.45E-9,,0.577983,2673924.15,53905330,11818115.27,13307960,17.27861067
Germany,2000,1.03E-9,,0.0714,2825905.658,53936582.85,12693546.49,12913610,18.27565665
Germany,2005,,,0,3209992.421,53997468,13573092.89,11725600,19.17630233
Germany,2010,,,0,3264026.467,53517394.13,14478389.46,11092260,20.31774917
Germany,2015,,,0,3044257.753,52800684.2,15440220.64,10466600,21.65979579
Germany,2020,,,0,2814533.449,51613116.24,16329784.75,10328080,23.07854274
Germany,2025,,,0,2624131.671,50073220.46,17111392.43,10295720,24.51181802
Germany,2030,,,0,2450064.742,48457305.11,17788337.43,10323660,25.89439448
Germany,2035,,,0,2569608.403,46566231.57,18377854.28,10162850,27.22092826
Germany,2040,,,0,2649781.404,44591640.19,18939554,9898710,28.61782232
Germany,2045,,,0,2685683.326,42417686.02,19518514.54,9657030,30.20418683
Germany,2050,,,0,2678586.239,40018741.43,20110858.94,9529560,32.01948667
Ghana,1970,0.624245514,,3131334.104,564309.7691,1242107.903,78438.2237,3954540,1.563701209
Ghana,1975,0.557038757,,3161863.395,710489.5726,1679481.555,124365.4771,4563720,2.190998857
Ghana,1980,0.506898114,,3163099.992,819946.5308,2097207.821,159855.6567,4994860,2.561744211
Ghana,1985,0.455854441,,3369206.501,1050484.277,2761164.221,210115.0015,5789970,2.842860971
Ghana,1990,0.406714655,,3509613.964,1278441.038,3577732.667,263392.3301,6503170,3.052344836
Ghana,1995,0.35146128,,3566941.869,1571513.587,4662193.206,348241.338,7253970,3.431324391
Ghana,2000,0.297430282,,3525113.958,1894351.082,5953097.835,479337.1226,7870450,4.044390543
Ghana,2005,0.25047515,,3441367.927,2210077.266,7464009.119,623904.3802,8585190,4.541000742
Ghana,2010,0.210581129,,3306123.015,2480845.374,9097095.258,815932.9669,9411840,5.197026388
Ghana,2015,0.177207024,,3141076.271,2687798.632,10844480.88,1052105.707,10257150,5.935561721
Ghana,2020,0.148543225,,2951123.096,2856511.282,12730796.03,1328669.554,10928090,6.687788132
Ghana,2025,0.124361469,,2740242.607,2968159.855,14673694,1652402.118,11357760,7.49915916
Ghana,2030,0.103925744,,2514551.693,3023436.886,16630763.81,2026905.073,11699210,8.377144025
Ghana,2035,0.086559649,,2277351.502,3080976.332,18495381.77,2455910.766,11996660,9.334649196
Ghana,2040,0.071676514,,2031115.057,3084961.427,20281013.54,2940156.778,12238260,10.37559082
Ghana,2045,0.058751817,,1777403.047,3036497.429,21960493.09,3478339.47,12366750,11.49760408
Ghana,2050,0.047493642,,1521330.297,2937494.571,23505522.07,4067946.59,12323120,12.69951709
Greece,1970,0.16016724,,1058192.923,3724262.05,1560969.667,263375.361,2186200,3.986428543
Greece,1975,0.13202249,,909118.7485,3778382.828,1864736.869,333851.5546,2160460,4.848202022
Greece,1980,0.107243477,,798184.2464,3932125.485,2254679.598,457740.67,2199780,6.150171644
Greece,1985,0.084520193,,660864.2368,3882487.731,2685643.613,590014.419,2115320,7.545896718
Greece,1990,0.067235135,,551648.1441,3763094.744,3139916.392,750100.72,1955740,9.142262784
Greece,1995,0.051553063,,457031.3049,3672674.57,3751938.534,983615.5908,1790690,11.09516913
Greece,2000,0.040349148,,375512.9744,3467168.714,4198095.969,1265812.344,1668980,13.60124754
Greece,2005,0.033843869,,322031.746,3211705.786,4490362.458,1491116.607,1606960,15.67086352
Greece,2010,0.028598174,,275995.7622,2931149.914,4746666.903,1697004.975,1654900,17.58405405
Greece,2015,0.023829274,,231723.8135,2630707.862,4979783.047,1882119.106,1662490,19.35473565
Greece,2020,0.01959914,,191277.4979,2323495.87,5189456.587,2055254.419,1637110,21.05904718
Greece,2025,0.015987215,,156847.6233,2027762.015,5403864.497,2222341.611,1530680,22.65195544
Greece,2030,0.013175494,,129318.8537,1751578.697,5543044.854,2391162.048,1475270,24.3620642
Greece,2035,0.01102448,,107705.0335,1508048.324,5594465.534,2559406.089,1455380,26.19758787
Greece,2040,0.009323055,,90173.90206,1296528.32,5574294.676,2711143.982,1463020,28.03044347
Greece,2045,0.007842877,,74799.18306,1117926.157,5502660.922,2841826.362,1467520,29.79724238
Greece,2050,0.006416041,,60143.69275,969810.7919,5390740.159,2953262.805,1447310,31.50497345
Grenada,1970,,,,,,,46550,
Grenada,1975,,,,,,,39380,
Grenada,1980,,,,,,,35580,
Grenada,1985,,,,,,,38040,
Grenada,1990,,,,,,,37460,
Grenada,1995,,,,,,,38150,
Grenada,2000,,,,,,,35580,
Grenada,2005,,,,,,,30920,
Grenada,2010,,,,,,,28790,
Grenada,2015,,,,,,,28120,
Grenada,2020,,,,,,,28300,
Grenada,2025,,,,,,,27210,
Grenada,2030,,,,,,,25060,
Grenada,2035,,,,,,,22780,
Grenada,2040,,,,,,,21210,
Grenada,2045,,,,,,,20260,
Grenada,2050,,,,,,,19280,
Guadeloupe,1970,,,,,,,137100,
Guadeloupe,1975,,,,,,,137900,
Guadeloupe,1980,,,,,,,108830,
Guadeloupe,1985,,,,,,,106060,
Guadeloupe,1990,,,,,,,102650,
Guadeloupe,1995,,,,,,,103980,
Guadeloupe,2000,,,,,,,105610,
Guadeloupe,2005,,,,,,,107190,
Guadeloupe,2010,,,,,,,103580,
Guadeloupe,2015,,,,,,,98930,
Guadeloupe,2020,,,,,,,96600,
Guadeloupe,2025,,,,,,,95500,
Guadeloupe,2030,,,,,,,96330,
Guadeloupe,2035,,,,,,,96920,
Guadeloupe,2040,,,,,,,95360,
Guadeloupe,2045,,,,,,,92400,
Guadeloupe,2050,,,,,,,89620,
Guam,1970,,,,,,,33890,
Guam,1975,,,,,,,35590,
Guam,1980,,,,,,,37180,
Guam,1985,,,,,,,38770,
Guam,1990,,,,,,,40410,
Guam,1995,,,,,,,45010,
Guam,2000,,,,,,,47320,
Guam,2005,,,,,,,49520,
Guam,2010,,,,,,,49240,
Guam,2015,,,,,,,48030,
Guam,2020,,,,,,,47320,
Guam,2025,,,,,,,47320,
Guam,2030,,,,,,,47370,
Guam,2035,,,,,,,46710,
Guam,2040,,,,,,,45450,
Guam,2045,,,,,,,43990,
Guam,2050,,,,,,,42720,
Guatemala,1970,0.542787448,,1628867.136,1079132.902,244298.2671,48631.69481,2429140,1.620554122
Guatemala,1975,0.505693508,,1731231.611,1278875.617,345975.9821,67396.79043,2784490,1.968663186
Guatemala,1980,0.467297745,,1789741.017,1485998.921,463970.4913,90269.5709,3182320,2.356920164
Guatemala,1985,0.424286058,,1826339.335,1729990.101,630189.1186,117981.4447,3626930,2.740886159
Guatemala,1990,0.382068329,,1858659.264,2036682.028,814391.6563,154997.0514,4039530,3.186138828
Guatemala,1995,0.34198381,,1885866.302,2372559.118,1051750.532,204314.0487,4487140,3.70503979
Guatemala,2000,0.302256642,,1898836.674,2735027.748,1349327.256,299008.3213,4945730,4.759611622
Guatemala,2005,0.266387668,,1924793.803,3149394.706,1755997.973,395349.9525,5483260,5.471565415
Guatemala,2010,0.231298267,,1944911.346,3622571.664,2320513.79,520675.5626,5970450,6.192125702
Guatemala,2015,0.198836922,,1953092.845,4114227.414,3062608.417,692657.7421,6314860,7.05168387
Guatemala,2020,0.169976964,,1935685.033,4583110.23,3958406.919,910723.4957,6457050,7.997272915
Guatemala,2025,0.144966628,,1892138.338,5002105.503,4976334.659,1181655.427,6498300,9.053281101
Guatemala,2030,0.123462492,,1824441.515,5356253.054,6090518.656,1506080.601,6550670,10.19185663
Guatemala,2035,0.105086964,,1734997.876,5664815.889,7226361.061,1883940.35,6591080,11.410825
Guatemala,2040,0.089426102,,1627592.408,5889164.603,8371584.341,2312076.39,6528920,12.70342485
Guatemala,2045,0.076062115,,1506191.6,6022551.704,9488807.463,2784575.467,6404040,14.0620024
Guatemala,2050,0.06461861,,1374789.374,6061737.09,10544859.43,3294054.457,6239980,15.48289672
Guinea,1970,0.932477055,,2037956.578,105869.8818,28016.86598,13686.67468,1754890,0.626240531
Guinea,1975,0.899643712,,2049694.254,145631.8781,59206.74645,23807.12106,1826360,1.044932761
Guinea,1980,0.87002591,,2248407.958,194096.8682,96387.40639,45407.76743,1906800,1.757062548
Guinea,1985,0.833622087,,2419137.951,261456.7875,151516.8819,69848.37972,2161580,2.40693806
Guinea,1990,0.805559932,,2703209.407,346088.6997,213529.8735,92862.01944,2558990,2.7673003
Guinea,1995,0.767322508,,3124000.125,491681.0029,333993.6974,121625.1744,3372020,2.987379324
Guinea,2000,0.721401902,,3315366.508,606620.952,524139.9734,149599.9923,3692360,3.25519724
Guinea,2005,0.67503433,,3440441.668,775365.0591,701065.4202,179819.2576,3944820,3.528156666
Guinea,2010,0.627314161,,3608149.109,984016.4134,937318.5845,222257.7354,4282280,3.864181347
Guinea,2015,0.578511079,,3872716.981,1226212.494,1309167.774,286185.9252,4618820,4.275079463
Guinea,2020,0.529209099,,4123176.293,1496691.218,1801649.184,369687.7672,4795690,4.744937307
Guinea,2025,0.481161556,,4345762.747,1775126.987,2433012.191,477914.3047,4802610,5.291452932
