Entity,Year,"Literacy rates (World Bank, CIA World Factbook, and other sources)"
Qatar,2010,96.283737
Qatar,2011,96.406868
Qatar,2012,96.678589
Qatar,2013,97.477852
Qatar,2014,97.746689
Qatar,2015,97.757088
Romania,1992,96.709976
Romania,2002,97.297592
Romania,2011,98.604286
Romania,2015,98.757027
Russia,1820,8
Russia,1870,15
Russia,1989,97.986053
Russia,2002,99.440971
Russia,2010,99.684273
Russia,2015,99.719566
Rwanda,1978,38.243431
Rwanda,1991,57.853489
Rwanda,2000,64.888603
Rwanda,2010,65.852272
Rwanda,2012,68.331032
Rwanda,2015,71.2435
Saint Helena,1987,97
Saint Kitts and Nevis,2003,97.800003
Saint Lucia,2001,90.099998
Saint Pierre and Miquelon,1982,99
Saint Vincent and the Grenadines,1970,95.632156
Samoa,1991,97.944328
Samoa,2004,98.540482
Samoa,2011,98.973259
Samoa,2015,99.015007
San Marino,2011,96
Sao Tome and Principe,1981,57.324261
Sao Tome and Principe,1991,73.242416
Sao Tome and Principe,2001,84.908508
Sao Tome and Principe,2008,69.536392
Sao Tome and Principe,2012,90.143097
Sao Tome and Principe,2015,91.747108
Saudi Arabia,1992,70.821648
Saudi Arabia,2000,79.350937
Saudi Arabia,2004,82.857742
Saudi Arabia,2013,94.426338
Saudi Arabia,2015,94.842369
Senegal,1988,26.868851
Senegal,2002,39.275249
Senegal,2006,41.891151
Senegal,2009,49.695129
Senegal,2011,52.05196
Senegal,2013,42.817501
Senegal,2015,55.624851
Serbia,2003,96.39724
Serbia,2011,97.96241
Serbia,2015,98.002892
Seychelles,1987,84.229218
Seychelles,1994,87.81115
Seychelles,2002,91.836456
Seychelles,2010,93.954231
Seychelles,2015,95.321083
Sierra Leone,2004,34.82679
Sierra Leone,2014,47.186241
Sierra Leone,2015,48.4319
Singapore,1980,82.906052
Singapore,1990,89.096001
Singapore,2000,92.5494
Singapore,2010,95.85733
Singapore,2011,96.179337
Singapore,2012,96.36306
Singapore,2013,96.540154
Singapore,2014,96.71666
Singapore,2015,96.774628
Slovakia,2004,99.599998
Slovenia,1991,99.524521
Slovenia,2004,99.651787
Slovenia,2014,99.710052
Slovenia,2015,99.71476
Small states,1990,77.28492
Small states,2000,81.477959
Small states,2010,85.654785
Solomon Islands,1999,76.599998
Solomon Islands,2011,84.099998
Somalia,2001,37.799999
South Africa,1980,76.200493
South Africa,1996,82.4021
South Africa,2007,88.717247
South Africa,2009,92.894859
South Africa,2010,92.877319
South Africa,2011,93.102142
South Africa,2012,93.729469
South Africa,2014,94.1399
South Africa,2015,94.597939
South Asia,1990,46.487602
South Asia,2000,58.085419
South Asia,2010,66.691177
South Asia (IDA & IBRD),1990,46.487602
South Asia (IDA & IBRD),2000,58.085419
South Asia (IDA & IBRD),2010,66.691177
South Korea,2008,97.965942
South Sudan,2008,26.83128
South Sudan,2015,31.97625
Spain,1475,3
Spain,1550,4
Spain,1650,5
Spain,1750,8
Spain,1820,20
Spain,1870,30
Spain,1981,92.809769
Spain,1991,96.494972
Spain,2004,97.165123
Spain,2005,97.750687
Spain,2007,97.938843
Spain,2008,97.630608
Spain,2009,97.679268
Spain,2010,97.748901
Spain,2011,97.783752
Spain,2012,97.894539
Spain,2013,98.079132
Spain,2014,98.093979
Spain,2015,98.11451
Sri Lanka,1981,86.777924
Sri Lanka,2001,90.682747
Sri Lanka,2006,90.80883
Sri Lanka,2008,90.557953
Sri Lanka,2010,91.181358
Sri Lanka,2015,92.614166
Sub-Saharan Africa,2000,56.981934
Sub-Saharan Africa,2010,60.880547
Sub-Saharan Africa (excluding high income),2000,56.976406
Sub-Saharan Africa (excluding high income),2010,60.875755
Sub-Saharan Africa (IDA & IBRD),1990,52.531582
Sub-Saharan Africa (IDA & IBRD),2000,56.981934
Sub-Saharan Africa (IDA & IBRD),2010,60.880547
Sudan,2000,61.345871
Sudan,2008,53.51738
Sudan,2015,58.601318
Suriname,2004,89.598061
Suriname,2008,94.620941
Suriname,2010,94.675751
Suriname,2015,95.538986
Swaziland,1976,55.325039
Swaziland,1986,67.23938
Swaziland,2000,81.660698
Swaziland,2010,83.098289
Swaziland,2015,87.470192
Sweden,1475,1
Sweden,1550,1
Sweden,1650,23
Sweden,1750,48
Sweden,1820,75
Sweden,1870,80
Sweden,2003,99
Switzerland,2003,99
Syria,1981,55.654499
Syria,2002,82.888252
Syria,2004,80.844521
Syria,2014,85.915817
Syria,2015,86.303932
Taiwan,2003,96.099998
Tajikistan,1989,97.694023
Tajikistan,2000,99.451248
Tajikistan,2014,99.76841
Tajikistan,2015,99.781052
Tanzania,1988,59.1138
Tanzania,2002,69.430901
Tanzania,2010,67.800697
Tanzania,2012,78.100594
Tanzania,2015,80.359497
Thailand,1980,87.981758
Thailand,2000,92.646538
Thailand,2005,93.506477
Thailand,2010,96.430908
Thailand,2013,93.702072
Thailand,2015,93.983017
Timor,2001,37.599998
Timor,2007,50.599998
Timor,2010,58.308979
Timor,2015,64.066139
Togo,2000,53.177601
Togo,2006,56.888371
Togo,2009,57.09338
Togo,2011,60.409939
Togo,2015,66.53759
Tonga,1976,99.592461
Tonga,1996,98.905373
Tonga,2006,99.018463
Tonga,2011,99.385529
Tonga,2015,99.397858
Trinidad and Tobago,1980,94.970322
Trinidad and Tobago,1990,96.938553
Trinidad and Tobago,2004,98.288513
Trinidad and Tobago,2014,98.919487
Trinidad and Tobago,2015,98.969582
Tunisia,1984,48.190701
Tunisia,1994,59.06181
Tunisia,2004,74.296997
Tunisia,2007,77.190399
Tunisia,2008,77.561127
Tunisia,2010,79.130577
Tunisia,2011,79.653908
Tunisia,2012,80.21875
Tunisia,2015,81.054192
Turkey,1975,61.627682
Turkey,1980,65.694344
Turkey,1985,75.968239
Turkey,1990,79.232452
Turkey,2004,87.365494
Turkey,2005,88.229057
Turkey,2006,88.119392
Turkey,2007,88.655899
Turkey,2009,90.816719
Turkey,2010,92.660599
Turkey,2011,94.106087
Turkey,2012,94.919746
Turkey,2013,95.25666
Turkey,2014,95.439629
Turkey,2015,95.688103
Turkmenistan,1995,98.77832
Turkmenistan,2014,99.672852
Turkmenistan,2015,99.692932
Turks and Caicos Islands,1970,98
Uganda,1991,56.10738
Uganda,2002,68.142509
Uganda,2006,71.373138
Uganda,2010,73.211884
Uganda,2012,70.198219
Uganda,2015,73.809837
Ukraine,2001,99.430412
Ukraine,2014,99.753471
Ukraine,2015,99.764107
United Arab Emirates,1975,53.514881
United Arab Emirates,1985,71.235298
United Arab Emirates,2005,90.033852
United Arab Emirates,2015,92.986366
United Kingdom,1475,5
United Kingdom,1550,16
United Kingdom,1650,53
United Kingdom,1750,54
United Kingdom,1820,53
United Kingdom,1870,76
United Kingdom,2003,99
United States,1870,80
United States,1880,83
United States,1890,86.699997
United States,1900,89.300003
United States,1910,92.300003
United States,1920,94
United States,1930,95.699997
United States,1940,97.099998
United States,1947,97.300003
United States,1950,96.800003
United States,1952,97.5
United States,1959,97.800003
United States,1969,99
United States,1979,99.400002
United States,2003,99
Upper middle income,1990,81.918854
Upper middle income,2000,90.65731
Upper middle income,2010,94.26899
Uruguay,1900,59
Uruguay,1910,65
Uruguay,1920,70
Uruguay,1930,76
Uruguay,1940,81
Uruguay,1950,86
Uruguay,1960,89
Uruguay,1970,93
Uruguay,1971,93
Uruguay,1972,93
Uruguay,1973,93
Uruguay,1974,94
Uruguay,1975,93.861069
Uruguay,1985,95.379982
Uruguay,1996,96.781807
Uruguay,2006,97.789627
Uruguay,2007,97.863892
Uruguay,2008,98.163559
Uruguay,2009,98.267899
Uruguay,2010,98.072708
Uruguay,2011,98.335899
Uruguay,2012,98.395943
Uruguay,2013,98.363869
Uruguay,2014,98.435928
Uruguay,2015,98.442101
Uzbekistan,2000,98.642578
Uzbekistan,2013,99.994858
Uzbekistan,2014,99.980553
Uzbekistan,2015,99.995193
Vanuatu,1979,52.87392
Vanuatu,1994,68.46003
Vanuatu,1999,74
Vanuatu,2004,78.080978
Vanuatu,2014,84.510811
Vanuatu,2015,85.058678
Vatican,2011,100
Venezuela,1900,28
Venezuela,1910,29
Venezuela,1920,32
Venezuela,1930,36
Venezuela,1940,42
Venezuela,1950,51
Venezuela,1960,62
Venezuela,1970,76
Venezuela,1971,77
Venezuela,1972,78
Venezuela,1973,79
Venezuela,1974,80
Venezuela,1975,80
Venezuela,1976,81
Venezuela,1977,82
Venezuela,1978,83
Venezuela,1979,83
Venezuela,1980,84
Venezuela,1981,84.732201
Venezuela,1990,89.825249
Venezuela,2001,92.979828
Venezuela,2007,95.15464
Venezuela,2009,95.511993
Venezuela,2011,94.770218
Venezuela,2015,95.399246
Vietnam,1979,83.825943
Vietnam,1989,87.596451
Vietnam,1999,90.278297
Vietnam,2000,90.156128
Vietnam,2009,93.520447
Vietnam,2015,94.514267
Virgin Islands,2005,90
Wallis and Futuna,1969,50
World,1820,12
World,1870,19
World,1880,20
World,1890,21
World,1900,21
World,1910,26
World,1920,32
World,1930,33
World,1940,42
World,1950,36
World,1960,42
World,1990,75.901077
World,2000,81.902908
World,2010,85.315758
Yemen,1994,37.09
Yemen,2004,54.199181
Yemen,2014,68.789421
Yemen,2015,69.961952
Zambia,1990,64.99826
Zambia,1999,68.001793
Zambia,2002,69.149223
Zambia,2007,61.428291
Zambia,2010,83.007668
Zambia,2015,85.117264
Zimbabwe,1982,77.794167
Zimbabwe,1992,83.512581
Zimbabwe,2011,83.58271
Zimbabwe,2015,86.873482
