Entity,Year,age-standardized_death_rate_per_100k_both_sexes,age-standardized_death_rate_per_100k_female,age-standardized_death_rate_per_100k_male
Bulgaria,2006,25.55,7.76,47.19
Bulgaria,2007,25.97,8.45,47.37
Bulgaria,2008,26.46,8.16,48.88
Bulgaria,2009,24.9,8.07,45.65
Bulgaria,2010,24.81,7.6,46.06
Bulgaria,2011,25.14,8.85,45.16
Bulgaria,2012,26.43,9.32,47.39
Bulgaria,2013,26.3,8.69,48.02
Bulgaria,2014,25.19,9.78,44.26
Bulgaria,2015,25.15,9.77,44.01
Bulgaria,2016,23.96,9.21,42.34
Bulgaria,2017,23.85,9.55,41.62
Bulgaria,2018,23.74,10.49,40.34
Bulgaria,2019,24.36,10.68,41.75
Canada,1950,9.63,3.24,15.64
Canada,1951,10.14,3.73,16.2
Canada,1952,11.26,4.02,18.15
Canada,1953,11.93,3.77,19.78
Canada,1954,12.59,3.89,21.01
Canada,1955,13.67,4.74,22.4
Canada,1956,14.08,4.03,23.86
Canada,1957,14.29,3.88,24.5
Canada,1958,14.85,3.84,25.77
Canada,1959,15.29,4.11,26.5
Canada,1960,15.9,3.99,27.94
Canada,1961,16.79,4.36,29.41
Canada,1962,17.99,5.03,31.24
Canada,1963,18.88,4.78,33.46
Canada,1964,19.31,5.16,34.03
Canada,1965,20.04,5.61,35.25
Canada,1966,20.86,5.79,37.06
Canada,1967,22.85,6.33,40.8
Canada,1968,23.14,6.64,41.22
Canada,1969,23.85,6.66,42.88
Canada,1970,25.11,7.14,45.26
Canada,1971,25.81,7.29,46.95
Canada,1972,27.07,8.7,48.31
Canada,1973,28.2,9.27,50.26
Canada,1974,29.6,9.99,52.67
Canada,1975,29.41,10.34,52.25
Canada,1976,30.71,10.74,54.54
Canada,1977,31.64,11.9,55.66
Canada,1978,32.7,12.7,57.12
Canada,1979,33.92,13.88,58.57
Canada,1980,34.91,14.5,60.14
Canada,1981,34.68,15.26,58.98
Canada,1982,37.71,16.89,63.67
Canada,1983,37.08,16.78,62.69
Canada,1984,38.74,18.63,64.17
Canada,1985,38.47,20.01,62.19
Canada,1986,39.28,20.36,63.59
Canada,1987,39.76,21.55,63.33
Canada,1988,41.18,22.56,65.38
Canada,1989,41.33,22.67,65.45
Canada,1990,41.13,23.17,64.42
Canada,1991,41.35,24.61,63.0
Canada,1992,40.25,24.44,60.81
Canada,1993,40.88,25.79,60.54
Canada,1994,40.05,25.9,58.45
Canada,1995,38.66,25.23,56.19
Canada,1996,39.83,27.38,56.46
Canada,1997,38.16,26.11,54.07
Canada,1998,39.25,27.87,54.27
Canada,1999,39.41,27.97,54.37
Canada,2000,37.22,27.69,49.76
Canada,2001,37.23,27.56,49.87
Canada,2002,37.55,28.28,49.69
Canada,2003,36.79,28.23,48.08
Canada,2004,36.43,28.86,46.4
Canada,2005,36.11,28.59,45.88
Canada,2006,35.59,29.22,44.01
Canada,2007,35.21,28.71,43.58
Canada,2008,34.36,28.62,41.74
Canada,2009,34.11,28.51,41.3
Canada,2010,33.36,28.33,39.8
Canada,2011,32.23,27.37,38.42
Canada,2012,31.95,27.41,37.77
Canada,2013,30.84,27.17,35.53
Canada,2014,30.86,26.94,35.88
Canada,2015,29.45,26.12,33.79
Canada,2016,28.46,25.62,32.12
Canada,2017,27.71,24.76,31.51
Canada,2018,26.49,23.67,30.06
Canada,2019,25.28,22.53,28.75
Cape Verde,1980,4.43,3.94,4.86
Cape Verde,2011,10.11,5.55,17.52
Chile,1955,8.9,4.97,13.29
Chile,1956,9.14,4.46,14.59
Chile,1957,8.72,5.12,12.83
Chile,1958,8.76,5.12,12.79
Chile,1959,9.37,4.81,14.79
Chile,1960,9.95,5.41,15.17
Chile,1961,9.49,5.46,14.04
Chile,1962,9.54,5.26,14.28
Chile,1963,10.82,5.89,16.4
Chile,1964,10.12,5.48,15.38
Chile,1965,10.41,5.44,16.03
Chile,1966,11.11,6.14,16.95
Chile,1967,12.26,6.74,18.63
Chile,1968,11.81,5.51,19.0
Chile,1969,12.95,6.46,20.65
Chile,1970,12.31,6.2,19.54
Chile,1971,12.78,6.35,20.28
Chile,1972,12.5,5.42,20.88
Chile,1973,13.61,5.74,22.86
Chile,1974,11.59,5.26,19.54
Chile,1975,12.24,5.45,21.18
Chile,1976,12.98,6.09,21.56
Chile,1977,13.47,6.04,22.97
Chile,1978,12.68,5.33,21.84
Chile,1979,13.61,6.68,22.31
Chile,1980,13.89,6.34,23.45
Chile,1981,13.51,6.09,23.03
Chile,1982,14.46,6.22,24.9
Chile,1983,14.84,6.52,25.45
Chile,1984,14.21,6.53,23.9
Chile,1985,15.4,6.97,26.22
Chile,1986,14.5,7.01,24.15
Chile,1987,14.16,6.95,23.36
Chile,1988,13.97,6.42,23.77
Chile,1989,14.29,6.99,23.82
Chile,1990,14.37,7.14,23.54
Chile,1991,15.41,7.04,26.45
Chile,1992,15.07,7.33,24.98
Chile,1993,15.16,8.04,24.58
Chile,1994,14.25,7.36,23.28
Chile,1995,14.44,7.57,23.6
Chile,1996,14.83,7.77,24.37
Chile,1997,14.13,8.21,22.12
Chile,1998,13.84,7.48,22.37
Chile,1999,13.74,7.77,21.59
Chile,2000,13.64,7.81,21.52
Chile,2001,13.98,8.2,21.61
Chile,2002,13.79,8.21,21.14
Chile,2003,13.09,8.0,19.89
Chile,2004,13.94,8.32,21.36
Chile,2005,13.96,8.69,20.94
Chile,2006,14.14,8.92,21.17
Chile,2007,13.83,8.91,20.26
Chile,2008,13.03,8.76,18.61
Chile,2009,13.46,8.83,19.62
Chile,2010,13.65,8.66,20.17
Chile,2011,13.83,9.3,19.82
Chile,2012,13.68,9.81,18.69
Chile,2013,14.01,9.89,19.37
Chile,2014,13.65,9.61,18.91
Chile,2015,13.39,9.55,18.37
Chile,2016,13.12,9.42,17.96
Chile,2017,13.03,9.69,17.45
Chile,2018,12.76,9.21,17.39
Colombia,1953,4.5,3.14,6.06
Colombia,1954,3.59,3.02,4.27
Colombia,1955,3.78,3.28,4.35
Colombia,1956,4.2,2.84,5.68
Colombia,1957,4.34,3.13,5.7
Colombia,1958,3.79,3.12,4.52
Colombia,1959,4.24,2.84,5.86
Colombia,1960,4.27,2.54,6.23
Colombia,1961,4.49,3.31,5.81
Colombia,1962,4.99,3.37,6.74
Colombia,1963,5.07,3.19,7.16
Colombia,1964,5.61,3.43,8.03
Colombia,1965,5.37,3.77,7.14
Colombia,1966,5.99,4.08,8.07
Colombia,1967,6.25,4.13,8.62
Colombia,1968,5.84,3.51,8.45
Colombia,1969,5.78,3.51,8.3
Colombia,1972,6.74,4.67,9.12
Colombia,1974,6.73,4.27,9.71
Colombia,1975,6.95,4.56,9.91
Colombia,1976,8.01,5.08,11.61
Colombia,1977,7.8,5.23,10.94
Colombia,1984,10.56,6.65,15.43
Colombia,1985,11.73,7.56,16.93
Colombia,1986,12.04,7.55,17.66
Colombia,1987,11.46,7.28,16.55
Colombia,1988,10.81,6.85,15.6
Colombia,1989,11.2,7.28,15.95
Colombia,1990,10.77,6.82,15.62
Colombia,1991,11.59,7.85,16.17
Colombia,1992,11.9,8.26,16.26
Colombia,1993,11.92,8.17,16.31
Colombia,1994,11.68,7.66,16.48
Colombia,1995,11.1,7.55,15.45
Colombia,1996,11.34,7.92,15.49
Colombia,1997,11.31,7.93,15.46
Colombia,1998,10.53,7.16,14.62
Colombia,1999,11.39,8.04,15.48
Colombia,2000,11.09,7.69,15.3
Colombia,2001,11.17,7.7,15.39
Colombia,2002,11.25,7.83,15.43
Colombia,2003,11.39,8.27,15.23
Colombia,2004,11.84,8.4,16.06
Colombia,2005,11.7,8.28,15.92
Colombia,2006,11.62,8.28,15.74
Colombia,2007,11.29,7.87,15.53
Colombia,2008,10.89,7.7,14.83
Colombia,2009,10.65,7.59,14.42
Colombia,2010,10.5,7.67,14.0
Colombia,2011,10.06,7.27,13.52
Colombia,2012,9.88,7.57,12.76
Colombia,2013,9.88,7.14,13.31
Colombia,2014,10.12,7.54,13.34
Colombia,2015,10.06,7.74,12.99
Colombia,2016,9.73,7.32,12.74
Colombia,2017,9.61,7.25,12.58
Colombia,2018,9.09,7.15,11.52
Colombia,2019,8.37,6.37,10.86
Costa Rica,1961,3.92,3.35,4.33
Costa Rica,1962,5.68,3.03,8.32
Costa Rica,1963,5.37,4.58,6.21
Costa Rica,1964,7.67,5.96,9.35
Costa Rica,1965,4.76,2.82,6.77
Costa Rica,1966,5.69,3.69,7.68
Costa Rica,1967,6.88,4.91,8.84
Costa Rica,1968,8.82,5.7,12.06
Costa Rica,1969,6.23,4.76,7.65
Costa Rica,1970,6.82,5.96,7.71
Costa Rica,1971,6.53,6.16,6.91
Costa Rica,1972,9.92,6.49,13.48
Costa Rica,1973,6.14,3.49,8.86
Costa Rica,1974,8.44,6.74,10.17
Costa Rica,1975,10.6,7.54,13.75
Costa Rica,1976,9.38,5.47,13.41
Costa Rica,1977,9.6,6.11,13.57
Costa Rica,1978,10.25,6.71,14.03
Costa Rica,1979,9.18,5.34,13.41
Costa Rica,1980,11.29,7.26,15.44
Costa Rica,1981,14.28,9.14,19.57
Costa Rica,1982,13.98,9.16,19.03
Costa Rica,1983,10.41,5.34,15.77
Costa Rica,1984,13.62,7.12,20.57
Costa Rica,1985,13.57,7.51,21.24
Costa Rica,1986,11.34,6.92,16.5
Costa Rica,1987,12.86,8.04,18.5
Costa Rica,1988,13.93,6.27,23.79
Costa Rica,1989,13.25,8.94,18.41
Costa Rica,1990,11.63,5.58,18.74
Costa Rica,1991,10.4,5.76,15.93
Costa Rica,1992,11.23,6.05,17.36
Costa Rica,1993,11.52,6.87,16.75
Costa Rica,1994,10.61,5.32,16.94
Costa Rica,1995,10.33,6.46,14.83
Costa Rica,1996,10.68,5.83,16.34
Costa Rica,1997,9.37,6.01,13.44
Costa Rica,1998,7.88,4.4,11.97
Costa Rica,1999,9.37,5.35,14.06
Costa Rica,2000,9.13,5.91,12.91
Costa Rica,2001,8.64,4.89,13.17
Costa Rica,2002,7.35,4.13,11.21
Costa Rica,2003,8.27,5.18,11.9
Costa Rica,2004,7.76,5.09,10.88
Costa Rica,2005,7.34,4.88,10.29
Costa Rica,2006,6.2,3.31,9.69
Costa Rica,2007,5.97,3.45,8.94
Costa Rica,2008,5.45,3.43,7.74
Costa Rica,2009,5.57,3.47,8.05
Costa Rica,2010,6.59,4.14,9.41
Costa Rica,2011,6.5,3.63,9.79
Costa Rica,2012,6.25,3.7,9.19
Costa Rica,2013,5.88,3.51,8.6
Costa Rica,2014,5.59,3.78,7.68
Costa Rica,2015,5.72,4.06,7.65
Costa Rica,2016,5.52,4.03,7.31
Costa Rica,2017,5.23,3.54,7.22
Costa Rica,2018,6.11,4.22,8.35
Costa Rica,2019,6.42,4.41,8.62
Costa Rica,2020,5.87,3.47,8.64
Croatia,1985,30.59,6.94,63.83
Croatia,1986,31.01,8.85,62.27
Croatia,1987,32.64,8.1,66.77
Croatia,1988,33.86,8.3,69.43
Croatia,1989,33.78,9.04,68.13
Croatia,1990,34.49,9.03,69.72
Croatia,1991,33.8,9.27,67.61
Croatia,1992,32.93,9.3,65.33
Croatia,1993,33.03,8.19,67.27
Croatia,1994,33.44,9.11,68.1
Croatia,1995,32.24,8.64,64.74
Croatia,1996,37.73,11.14,76.04
Croatia,1997,38.1,10.45,77.87
Croatia,1998,40.77,12.49,82.36
Croatia,1999,39.13,11.24,80.63
Croatia,2000,40.55,13.26,80.64
Croatia,2001,36.22,11.08,70.57
Croatia,2002,35.07,11.72,66.59
Croatia,2003,35.27,12.39,66.0
Croatia,2004,34.53,12.08,65.49
Croatia,2005,34.3,12.32,63.63
Croatia,2006,35.3,13.04,64.93
Croatia,2007,35.15,13.17,64.6
Croatia,2008,34.78,13.7,62.9
Croatia,2009,34.87,13.36,63.09
Croatia,2010,34.22,14.34,60.63
Croatia,2011,34.85,15.83,59.86
Croatia,2012,33.76,14.66,59.2
Croatia,2013,33.83,15.34,58.13
Croatia,2014,33.97,16.4,56.96
Croatia,2015,33.6,15.5,57.21
Croatia,2016,33.56,15.42,57.19
Croatia,2017,34.85,17.85,56.98
Croatia,2019,32.45,17.74,51.73
Cuba,1964,29.29,16.57,40.34
Cuba,1968,28.84,15.3,41.22
Cuba,1969,28.65,13.82,42.25
Cuba,1970,30.58,16.77,42.59
Cuba,1971,30.95,16.02,44.05
Cuba,1972,31.66,16.7,45.07
Cuba,1973,32.58,17.32,46.28
Cuba,1974,31.07,16.07,44.74
Cuba,1975,29.58,16.07,41.83
Cuba,1976,32.34,16.62,46.74
Cuba,1977,32.86,17.0,47.38
Cuba,1978,30.38,14.8,44.56
Cuba,1979,29.2,15.09,42.47
Cuba,1980,28.95,14.98,42.03
Cuba,1981,30.73,14.82,45.68
Cuba,1982,31.19,15.71,45.76
Cuba,1983,32.11,17.03,46.27
Cuba,1984,30.97,16.05,45.41
Cuba,1985,30.39,15.78,44.52
Cuba,1986,31.65,16.33,46.49
Cuba,1987,30.19,15.9,44.4
Cuba,1988,33.96,18.1,49.37
Cuba,1989,29.94,16.25,43.95
Cuba,1990,29.84,16.04,43.97
Cuba,1991,29.49,15.5,43.95
Cuba,1992,29.72,16.75,43.22
Cuba,1993,27.45,15.65,39.8
Cuba,1994,27.12,14.03,40.86
Cuba,1995,27.62,14.82,41.16
Cuba,1996,28.44,15.4,42.34
Cuba,1997,28.27,16.24,41.39
Cuba,1998,28.62,16.11,42.32
Cuba,1999,28.3,16.36,41.51
Cuba,2000,28.83,17.4,41.51
Cuba,2001,28.59,17.37,41.05
Cuba,2002,30.34,18.45,43.58
Cuba,2003,31.37,19.19,44.91
Cuba,2004,31.15,19.22,44.46
Cuba,2005,31.15,19.95,43.78
Cuba,2006,30.99,19.92,43.46
Cuba,2007,32.13,20.57,45.2
Cuba,2008,32.73,21.83,45.1
Cuba,2009,32.02,21.29,44.22
Cuba,2010,31.64,21.66,43.06
Cuba,2011,30.07,20.5,40.94
Cuba,2012,29.96,20.3,41.01
Cuba,2013,29.86,20.8,40.3
Cuba,2014,30.35,21.17,40.94
Cuba,2015,29.95,20.37,41.04
Cuba,2016,29.37,20.4,39.67
Cuba,2017,29.4,20.39,39.87
Cuba,2018,28.44,19.97,38.27
Cuba,2019,27.88,20.56,36.35
Cyprus,1999,6.35,3.54,9.75
Cyprus,2000,5.05,0.62,10.05
Cyprus,2004,16.03,4.1,30.04
Cyprus,2005,16.67,8.91,26.04
Cyprus,2006,14.09,5.64,23.87
Cyprus,2007,14.49,6.24,23.84
Cyprus,2008,15.0,5.72,25.83
Cyprus,2009,18.08,7.61,29.91
Cyprus,2010,15.1,5.72,25.72
Cyprus,2011,18.26,7.15,30.89
Cyprus,2012,18.91,7.06,32.45
Cyprus,2013,17.25,4.53,31.82
Cyprus,2014,17.73,6.5,30.49
Cyprus,2015,16.77,7.16,27.56
Cyprus,2016,17.25,7.91,27.87
Cyprus,2017,19.69,6.63,34.31
Cyprus,2018,17.44,7.84,28.37
Czechia,1986,42.91,9.49,88.23
Czechia,1987,42.05,10.14,85.81
Czechia,1988,42.09,9.61,86.34
Czechia,1989,41.19,10.26,83.44
Czechia,1990,42.34,10.37,85.52
Czechia,1991,41.8,11.67,82.55
Czechia,1992,41.78,11.69,82.57
Czechia,1993,40.52,11.22,80.26
Czechia,1994,39.15,12.49,74.79
Czechia,1995,40.09,12.9,77.14
Czechia,1996,38.37,12.91,72.49
Czechia,1997,37.76,12.49,71.78
Czechia,1998,36.2,12.87,67.67
Czechia,1999,37.07,13.93,67.6
Czechia,2000,37.22,13.88,68.51
Czechia,2001,35.92,14.5,64.66
Czechia,2002,34.98,13.82,63.68
Czechia,2003,34.36,14.34,61.41
Czechia,2004,34.64,14.2,62.13
Czechia,2005,33.15,14.31,58.3
Czechia,2006,32.44,14.95,55.84
Czechia,2007,31.52,14.54,53.88
Czechia,2008,30.34,14.58,51.12
Czechia,2009,29.94,14.25,50.62
Czechia,2010,30.0,14.75,49.96
Czechia,2011,29.44,15.77,47.48
Czechia,2012,28.82,16.0,45.57
Czechia,2013,27.22,15.09,43.09
Czechia,2014,26.01,14.75,40.68
Czechia,2015,25.38,14.75,39.39
Czechia,2016,25.17,14.51,38.97
Czechia,2017,25.22,15.28,38.33
Czechia,2018,23.81,15.25,34.91
Czechia,2019,23.52,14.69,34.97
Czechia,2020,22.89,14.55,33.7
Denmark,1951,10.3,3.98,17.17
Denmark,1952,11.96,4.69,19.85
Denmark,1953,11.95,4.89,19.6
Denmark,1954,12.18,4.65,20.35
Denmark,1955,13.87,5.21,23.35
Denmark,1956,14.27,4.19,25.32
Denmark,1957,15.7,5.78,26.62
Denmark,1958,14.96,5.02,25.95
Denmark,1959,17.66,5.37,31.25
Denmark,1960,18.49,6.53,31.82
Denmark,1961,19.71,6.14,34.85
Denmark,1962,19.59,6.72,34.03
Denmark,1963,21.59,6.94,38.15
Denmark,1964,21.96,7.24,38.59
Denmark,1965,23.55,7.78,41.53
Denmark,1966,22.9,7.43,40.62
Denmark,1967,24.96,9.34,42.94
Denmark,1968,25.03,8.25,44.53
Denmark,1969,26.03,9.17,45.73
Denmark,1970,25.78,9.81,44.55
Denmark,1971,28.16,10.36,49.24
Denmark,1972,30.8,11.5,53.83
Denmark,1973,28.45,10.37,50.27
Denmark,1974,29.62,10.96,52.19
Denmark,1975,29.96,12.14,51.56
Denmark,1976,31.47,14.36,52.82
Denmark,1977,31.21,12.93,53.86
Denmark,1978,34.15,14.53,58.31
Denmark,1979,35.41,16.02,59.74
Denmark,1980,35.11,15.89,59.49
Denmark,1981,36.83,17.69,61.45
Denmark,1982,36.8,17.58,61.35
Denmark,1983,39.35,21.86,62.15
Denmark,1984,39.86,22.92,62.05
Denmark,1985,39.68,21.61,63.35
Denmark,1986,39.09,21.77,61.65
Denmark,1987,40.55,25.08,61.02
Denmark,1988,40.83,26.3,60.28
Denmark,1989,39.87,23.7,61.09
Denmark,1990,40.4,26.14,59.3
Denmark,1991,39.42,28.09,54.72
Denmark,1992,38.81,26.47,55.43
Denmark,1993,41.05,27.73,59.01
Denmark,1994,41.28,30.69,56.06
Denmark,1995,41.74,30.71,56.91
Denmark,1996,40.58,29.88,55.38
Denmark,1997,40.83,32.05,52.93
Denmark,1998,38.08,29.83,49.55
Denmark,1999,39.11,31.07,50.14
Denmark,2000,39.22,30.44,50.78
Denmark,2001,38.63,31.27,48.87
Denmark,2002,37.19,30.54,46.32
Denmark,2003,38.01,31.37,47.11
Denmark,2004,39.1,32.82,47.82
Denmark,2005,38.65,33.88,45.7
Denmark,2006,39.68,33.67,47.82
Denmark,2007,35.05,30.17,41.67
Denmark,2008,36.98,32.39,43.27
Denmark,2009,35.68,32.42,40.51
Denmark,2010,35.76,32.22,40.71
Denmark,2011,33.68,31.02,37.39
Denmark,2012,34.47,31.04,39.24
Denmark,2013,33.18,29.84,37.55
Denmark,2014,32.97,29.28,37.65
Denmark,2015,31.53,29.35,34.79
Denmark,2016,30.69,28.48,33.73
Denmark,2017,29.96,27.34,33.33
Denmark,2018,26.95,25.29,29.29
Dominican Republic,1965,2.72,1.42,3.89
Dominican Republic,1966,2.44,1.69,3.13
Dominican Republic,1967,3.5,2.35,4.59
Dominican Republic,1968,4.1,2.42,5.72
Dominican Republic,1969,2.86,1.93,3.71
Dominican Republic,1970,2.78,1.12,4.32
Dominican Republic,1971,4.37,3.61,5.01
Dominican Republic,1972,3.68,1.8,5.5
Dominican Republic,1973,3.08,1.65,4.37
Dominican Republic,1974,3.09,1.67,4.42
Dominican Republic,1975,2.99,1.51,4.35
Dominican Republic,1976,3.44,1.85,4.94
Dominican Republic,1977,4.44,4.08,4.84
Dominican Republic,1978,4.12,2.91,5.25
Dominican Republic,1979,3.71,2.38,4.92
Dominican Republic,1980,4.1,2.39,5.75
Dominican Republic,1981,4.87,2.44,7.29
Dominican Republic,1982,5.75,3.54,7.86
Dominican Republic,1983,6.43,4.13,8.75
Dominican Republic,1984,6.17,3.65,8.78
Dominican Republic,1985,5.38,2.26,8.58
Dominican Republic,1986,5.2,3.27,7.07
Dominican Republic,1987,5.71,3.95,7.38
Dominican Republic,1988,5.64,3.77,7.37
Dominican Republic,1989,5.96,4.3,7.6
Dominican Republic,1990,5.42,3.02,7.74
Dominican Republic,1991,5.07,3.73,6.35
Dominican Republic,1992,5.13,3.32,6.9
Dominican Republic,1994,5.42,3.61,7.22
Dominican Republic,1995,4.91,3.47,6.37
Dominican Republic,1996,6.01,3.85,8.18
Dominican Republic,1997,6.79,5.06,8.51
Dominican Republic,1998,7.18,5.25,9.14
Dominican Republic,1999,7.98,5.39,10.54
Dominican Republic,2000,6.37,3.78,9.02
Dominican Republic,2001,7.32,5.46,9.28
Dominican Republic,2002,7.6,5.93,9.24
Dominican Republic,2003,6.82,5.08,8.64
Dominican Republic,2004,6.86,5.02,8.79
Dominican Republic,2005,7.12,5.28,9.05
Dominican Republic,2006,6.42,5.14,7.74
Dominican Republic,2007,6.24,4.58,7.87
Dominican Republic,2008,5.86,4.19,7.6
Dominican Republic,2009,6.15,4.08,8.3
Dominican Republic,2010,6.61,5.34,7.94
Dominican Republic,2011,7.29,5.4,9.35
Dominican Republic,2012,6.52,5.33,7.83
Dominican Republic,2013,6.76,5.22,8.43
Dominican Republic,2014,6.39,4.85,8.12
Dominican Republic,2015,4.79,3.94,5.76
Dominican Republic,2016,5.48,4.73,6.33
Dominican Republic,2017,5.2,4.35,6.13
Dominican Republic,2018,5.78,4.7,7.02
Ecuador,1966,3.49,2.3,4.83
Ecuador,1967,3.39,1.85,5.07
Ecuador,1968,2.63,2.32,3.04
Ecuador,1969,3.51,2.6,4.58
Ecuador,1970,2.89,1.81,4.15
Ecuador,1971,3.2,1.97,4.67
Ecuador,1972,3.12,2.04,4.31
Ecuador,1973,2.51,1.7,3.37
Ecuador,1974,3.04,1.85,4.46
Ecuador,1975,2.94,2.16,3.81
Ecuador,1977,3.46,1.99,5.06
Ecuador,1978,3.54,2.04,5.21
Ecuador,1979,4.66,2.59,6.91
Ecuador,1980,4.52,2.53,6.71
Ecuador,1981,4.2,2.71,5.91
Ecuador,1982,5.85,3.86,8.01
Ecuador,1983,4.5,2.21,7.11
Ecuador,1984,6.2,3.93,8.7
Ecuador,1985,6.65,3.53,10.13
Ecuador,1986,6.24,3.75,9.11
Ecuador,1987,5.46,3.18,7.92
Ecuador,1988,5.62,3.32,8.23
Ecuador,1989,5.37,3.44,7.58
Ecuador,1990,5.62,3.07,8.53
Ecuador,1991,5.82,3.44,8.63
Ecuador,1992,5.78,3.16,8.77
Ecuador,1993,5.92,3.65,8.44
Ecuador,1994,5.48,3.8,7.4
Ecuador,1995,6.48,5.07,8.15
Ecuador,1996,5.84,4.23,7.69
Ecuador,1997,6.15,4.52,7.97
Ecuador,1998,6.15,4.37,8.16
Ecuador,1999,5.69,4.28,7.32
Ecuador,2000,5.66,3.78,7.86
Ecuador,2001,5.89,4.29,7.74
Ecuador,2002,6.2,4.11,8.59
Ecuador,2003,5.49,3.75,7.52
Ecuador,2004,6.15,4.79,7.76
Ecuador,2005,6.35,4.79,8.15
Ecuador,2006,5.79,4.13,7.79
Ecuador,2007,5.91,4.56,7.51
Ecuador,2008,5.86,4.16,7.87
Ecuador,2009,6.0,4.68,7.66
Ecuador,2010,6.16,4.51,8.08
Ecuador,2011,6.21,4.74,7.96
Ecuador,2012,6.1,4.9,7.58
Ecuador,2013,5.02,3.92,6.34
Ecuador,2014,5.37,4.7,6.21
Ecuador,2015,5.12,4.09,6.37
Ecuador,2016,5.05,4.51,5.7
Ecuador,2017,5.55,4.9,6.35
Ecuador,2018,5.02,4.07,6.18
Ecuador,2019,5.64,4.5,6.99
Ecuador,2020,4.49,3.82,5.29
Egypt,1965,1.51,0.88,2.24
Egypt,1966,1.38,0.7,2.15
Egypt,1967,1.49,0.75,2.34
Egypt,1970,1.47,0.76,2.29
Egypt,1971,1.37,0.71,2.15
Egypt,1972,1.48,0.8,2.24
Egypt,1973,1.44,0.7,2.31
Egypt,1974,1.44,0.76,2.2
Egypt,1975,1.66,0.87,2.6
Egypt,1976,1.74,1.05,2.51
Egypt,1977,1.42,0.9,2.0
Egypt,1978,1.52,0.86,2.27
Egypt,1979,1.8,0.75,2.98
Egypt,1980,1.8,0.93,2.77
Egypt,1987,2.48,1.3,3.88
Egypt,1991,2.54,1.24,4.07
Egypt,1992,2.85,1.58,4.35
Egypt,2000,2.98,1.59,4.62
Egypt,2001,3.63,1.91,5.63
Egypt,2002,3.65,1.94,5.68
Egypt,2003,3.95,2.09,6.14
Egypt,2004,4.41,2.53,6.67
Egypt,2005,4.55,2.69,6.81
Egypt,2006,4.52,2.56,6.85
Egypt,2007,4.45,2.52,6.73
Egypt,2008,4.89,2.94,7.24
Egypt,2009,5.03,3.05,7.38
Egypt,2010,5.26,3.21,7.67
Egypt,2011,5.4,3.18,8.05
Egypt,2012,5.37,3.37,7.72
Egypt,2013,5.51,3.06,8.36
Egypt,2014,6.19,3.93,8.47
Egypt,2015,6.19,3.89,8.53
Egypt,2016,6.13,3.85,8.45
Egypt,2017,6.47,4.49,8.26
Egypt,2018,6.55,4.31,8.59
Egypt,2019,4.81,2.96,6.96
El Salvador,1990,3.0,1.99,4.36
El Salvador,1991,2.67,2.5,2.8
El Salvador,1992,2.62,1.89,3.71
El Salvador,1993,3.35,2.53,4.38
El Salvador,1995,2.18,1.95,2.6
El Salvador,1996,4.46,4.06,5.06
El Salvador,1997,3.76,3.32,4.25
El Salvador,1998,3.46,2.83,4.3
El Salvador,1999,3.41,3.19,3.72
El Salvador,2000,4.73,4.25,5.35
El Salvador,2001,5.1,4.44,5.94
El Salvador,2002,4.96,3.63,6.57
El Salvador,2003,5.18,4.52,6.03
El Salvador,2004,4.61,4.39,4.88
El Salvador,2005,4.93,4.41,5.66
El Salvador,2006,4.9,4.24,5.79
El Salvador,2007,4.55,4.1,5.14
El Salvador,2008,4.71,3.68,6.04
El Salvador,2009,3.73,3.47,4.03
El Salvador,2010,4.15,3.74,4.69
El Salvador,2011,4.55,3.97,5.29
El Salvador,2012,4.65,3.95,5.59
El Salvador,2013,4.54,3.68,5.67
El Salvador,2014,4.21,3.68,4.9
El Salvador,2015,3.08,2.54,3.76
El Salvador,2016,3.25,2.77,3.89
El Salvador,2017,2.59,2.34,2.94
El Salvador,2018,2.76,2.44,3.17
Estonia,1981,29.26,8.1,66.46
Estonia,1982,29.52,6.53,69.39
Estonia,1985,28.45,6.47,65.7
Estonia,1986,29.23,7.06,66.0
Estonia,1987,30.14,7.76,66.5
Estonia,1988,33.49,8.43,74.7
Estonia,1989,33.36,9.01,72.61
Estonia,1990,31.89,7.83,70.3
Estonia,1991,37.64,8.64,84.56
Estonia,1992,33.94,8.25,75.6
Estonia,1993,32.95,8.22,72.6
Estonia,1994,32.45,7.83,71.29
Estonia,1995,33.64,7.39,76.25
Estonia,1996,31.34,8.14,69.52
Estonia,1997,33.73,9.73,71.76
Estonia,1998,32.67,8.24,71.2
Estonia,1999,29.82,8.33,66.2
Estonia,2000,30.43,8.14,66.37
Estonia,2001,30.07,8.76,65.94
Estonia,2002,30.17,8.58,65.63
Estonia,2003,30.61,8.53,67.53
Estonia,2004,28.5,10.11,59.44
Estonia,2005,27.28,9.28,57.4
Estonia,2006,29.94,9.75,63.88
Estonia,2007,29.01,8.54,63.96
Estonia,2008,28.61,9.13,62.18
Estonia,2009,24.8,8.55,52.55
Estonia,2010,25.42,8.35,55.03
Estonia,2011,25.72,9.75,53.07
Estonia,2012,26.77,10.17,55.02
Estonia,2013,25.46,10.76,50.2
Estonia,2014,26.92,10.54,54.34
Estonia,2015,25.23,10.1,50.95
Estonia,2016,24.32,11.02,46.53
Estonia,2017,22.8,9.05,45.75
