Entity,Year,Child deaths (United Nations Population Division (2015))
Kiribati,2012,189
Kuwait,1952,1369
Kuwait,1957,1243
Kuwait,1962,1597
Kuwait,1967,2105
Kuwait,1972,2279
Kuwait,1977,1998
Kuwait,1982,1601
Kuwait,1987,1026
Kuwait,1992,596
Kuwait,1997,598
Kuwait,2002,591
Kuwait,2007,737
Kuwait,2012,785
Kyrgyzstan,1952,10396
Kyrgyzstan,1957,12079
Kyrgyzstan,1962,13113
Kyrgyzstan,1967,11856
Kyrgyzstan,1972,11357
Kyrgyzstan,1977,10650
Kyrgyzstan,1982,11344
Kyrgyzstan,1987,11190
Kyrgyzstan,1992,9697
Kyrgyzstan,1997,6865
Kyrgyzstan,2002,5152
Kyrgyzstan,2007,5743
Kyrgyzstan,2012,3540
Laos,1952,20947
Laos,1957,21661
Laos,1962,22353
Laos,1967,23501
Laos,1972,24925
Laos,1977,25591
Laos,1982,26258
Laos,1987,26406
Laos,1992,25650
Laos,1997,21019
Laos,2002,16058
Laos,2007,13160
Laos,2012,10758
Latvia,1952,3633
Latvia,1957,2050
Latvia,1962,1242
Latvia,1967,911
Latvia,1972,890
Latvia,1977,989
Latvia,1982,919
Latvia,1987,778
Latvia,1992,682
Latvia,1997,407
Latvia,2002,257
Latvia,2007,212
Latvia,2012,158
Lebanon,1952,5164
Lebanon,1957,5224
Lebanon,1962,5058
Lebanon,1967,4500
Lebanon,1972,4034
Lebanon,1977,3701
Lebanon,1982,3256
Lebanon,1987,2531
Lebanon,1992,2038
Lebanon,1997,1431
Lebanon,2002,1029
Lebanon,2007,693
Lebanon,2012,918
Lesotho,1952,8044
Lesotho,1957,7656
Lesotho,1962,7410
Lesotho,1967,7944
Lesotho,1972,8304
Lesotho,1977,8095
Lesotho,1982,7360
Lesotho,1987,6660
Lesotho,1992,5371
Lesotho,1997,6366
Lesotho,2002,6751
Lesotho,2007,6059
Lesotho,2012,4995
Liberia,1952,14956
Liberia,1957,16628
Liberia,1962,18258
Liberia,1967,18828
Liberia,1972,19621
Liberia,1977,20708
Liberia,1982,22293
Liberia,1987,22863
Liberia,1992,20865
Liberia,1997,20441
Liberia,2002,17912
Liberia,2007,14182
Liberia,2012,13070
Libya,1952,20178
Libya,1957,21134
Libya,1962,17513
Libya,1967,15731
Libya,1972,13646
Libya,1977,10899
Libya,1982,8268
Libya,1987,6717
Libya,1992,4752
Libya,1997,4072
Libya,2002,3928
Libya,2007,3953
Libya,2012,3911
Lithuania,1952,8055
Lithuania,1957,4895
Lithuania,1962,2879
Lithuania,1967,1804
Lithuania,1972,1469
Lithuania,1977,1456
Lithuania,1982,1283
Lithuania,1987,1099
Lithuania,1992,1018
Lithuania,1997,541
Lithuania,2002,308
Lithuania,2007,230
Lithuania,2012,150
Luxembourg,1952,235
Luxembourg,1957,230
Luxembourg,1962,186
Luxembourg,1967,124
Luxembourg,1972,95
Luxembourg,1977,67
Luxembourg,1982,62
Luxembourg,1987,49
Luxembourg,1992,48
Luxembourg,1997,35
Luxembourg,2002,33
Luxembourg,2007,19
Luxembourg,2012,12
Macao,1952,551
Macao,1957,411
Macao,1962,310
Macao,1967,200
Macao,1972,137
Macao,1977,97
Macao,1982,131
Macao,1987,129
Macao,1992,91
Macao,1997,56
Macao,2002,35
Macao,2007,29
Macao,2012,34
Macedonia,1952,7483
Macedonia,1957,5829
Macedonia,1962,4638
Macedonia,1967,4027
Macedonia,1972,3108
Macedonia,1977,2738
Macedonia,1982,2264
Macedonia,1987,1632
Macedonia,1992,977
Macedonia,1997,562
Macedonia,2002,349
Macedonia,2007,286
Macedonia,2012,249
Madagascar,1952,60773
Madagascar,1957,64247
Madagascar,1962,66064
Madagascar,1967,68349
Madagascar,1972,72041
Madagascar,1977,75222
Madagascar,1982,70569
Madagascar,1987,82059
Madagascar,1992,85308
Madagascar,1997,73616
Madagascar,2002,58728
Madagascar,2007,48873
Madagascar,2012,43297
Malawi,1952,53859
Malawi,1957,57417
Malawi,1962,63344
Malawi,1967,70531
Malawi,1972,74592
Malawi,1977,80010
Malawi,1982,85817
Malawi,1987,100288
Malawi,1992,95385
Malawi,1997,83496
Malawi,2002,75985
Malawi,2007,61674
Malawi,2012,49026
Malaysia,1952,37721
Malaysia,1957,34440
Malaysia,1962,30134
Malaysia,1967,23060
Malaysia,1972,18073
Malaysia,1977,14269
Malaysia,1982,12364
Malaysia,1987,10229
Malaysia,1992,8425
Malaysia,1997,6577
Malaysia,2002,4473
Malaysia,2007,4142
Malaysia,2012,4184
Maldives,1952,1245
Maldives,1957,1550
Maldives,1962,1680
Maldives,1967,1594
Maldives,1972,1397
Maldives,1977,1161
Maldives,1982,1112
Maldives,1987,967
Maldives,1992,706
Maldives,1997,406
Maldives,2002,203
Maldives,2007,116
Maldives,2012,80
Mali,1952,103431
Mali,1957,105060
Mali,1962,107905
Mali,1967,108777
Mali,1972,106891
Mali,1977,105725
Mali,1982,103493
Mali,1987,101433
Mali,1992,103420
Mali,1997,107434
Mali,2002,112728
Mali,2007,97103
Mali,2012,88207
Malta,1952,518
Malta,1957,331
Malta,1962,222
Malta,1967,134
Malta,1972,115
Malta,1977,111
Malta,1982,89
Malta,1987,77
Malta,1992,61
Malta,1997,47
Malta,2002,32
Malta,2007,26
Malta,2012,21
Martinique,1952,1036
Martinique,1957,895
Martinique,1962,767
Martinique,1967,616
Martinique,1972,398
Martinique,1977,207
Martinique,1982,158
Martinique,1987,132
Martinique,1992,98
Martinique,1997,74
Martinique,2002,54
Martinique,2007,46
Martinique,2012,32
Mauritania,1952,9412
Mauritania,1957,9835
Mauritania,1962,9862
Mauritania,1967,10001
Mauritania,1972,10259
Mauritania,1977,10394
Mauritania,1982,9923
Mauritania,1987,9888
Mauritania,1992,10453
Mauritania,1997,10883
Mauritania,2002,12105
Mauritania,2007,12464
Mauritania,2012,11672
Mauritius,1952,3838
Mauritius,1957,2927
Mauritius,1962,2591
Mauritius,1967,2197
Mauritius,1972,1963
Mauritius,1977,1078
Mauritius,1982,665
Mauritius,1987,572
Mauritius,1992,478
Mauritius,1997,443
Mauritius,2002,316
Mauritius,2007,254
Mauritius,2012,207
Mayotte,1952,149
Mayotte,1957,137
Mayotte,1962,133
Mayotte,1967,124
Mayotte,1972,115
Mayotte,1977,104
Mayotte,1982,94
Mayotte,1987,86
Mayotte,1992,68
Mayotte,1997,62
Mayotte,2002,54
Mayotte,2007,46
Mayotte,2012,35
Melanesia,1952,22601
Melanesia,1957,22129
Melanesia,1962,21323
Melanesia,1967,19752
Melanesia,1972,20102
Melanesia,1977,18611
Melanesia,1982,16467
Melanesia,1987,17060
Melanesia,1992,16783
Melanesia,1997,17084
Melanesia,2002,16273
Melanesia,2007,15006
Melanesia,2012,14544
Mexico,1952,269464
Mexico,1957,254594
Mexico,1962,242638
Mexico,1967,243816
Mexico,1972,236300
Mexico,1977,179997
Mexico,1982,136868
Mexico,1987,117511
Mexico,1992,100352
Mexico,1997,83336
Mexico,2002,61662
Mexico,2007,59524
Mexico,2012,55681
Micronesia (country),1952,220
Micronesia (country),1957,224
Micronesia (country),1962,220
Micronesia (country),1967,219
Micronesia (country),1972,195
Micronesia (country),1977,170
Micronesia (country),1982,188
Micronesia (country),1987,187
Micronesia (country),1992,183
Micronesia (country),1997,167
Micronesia (country),2002,141
Micronesia (country),2007,112
Micronesia (country),2012,99
Moldova,1952,6787
Moldova,1957,6677
Moldova,1962,5520
Moldova,1967,4004
Moldova,1972,3928
Moldova,1977,4158
Moldova,1982,3710
Moldova,1987,3337
Moldova,1992,2513
Moldova,1997,1702
Moldova,2002,1011
Moldova,2007,852
Moldova,2012,603
Mongolia,1952,9085
Mongolia,1957,10013
Mongolia,1962,9902
Mongolia,1967,9628
Mongolia,1972,9417
Mongolia,1977,9854
Mongolia,1982,10469
Mongolia,1987,9979
Mongolia,1992,5818
Mongolia,1997,3630
Mongolia,2002,2311
Mongolia,2007,2106
Mongolia,2012,2194
Montenegro,1952,1734
Montenegro,1957,1622
Montenegro,1962,1132
Montenegro,1967,660
Montenegro,1972,412
Montenegro,1977,342
Montenegro,1982,322
Montenegro,1987,258
Montenegro,1992,197
Montenegro,1997,111
Montenegro,2002,106
Montenegro,2007,96
Montenegro,2012,55
Morocco,1952,117331
Morocco,1957,132166
Morocco,1962,136493
Morocco,1967,129024
Morocco,1972,118058
Morocco,1977,108832
Morocco,1982,91303
Morocco,1987,67252
Morocco,1992,49258
Morocco,1997,36697
Morocco,2002,29107
Morocco,2007,25138
Morocco,2012,22056
Mozambique,1952,117894
Mozambique,1957,117038
Mozambique,1962,117780
Mozambique,1967,120786
Mozambique,1972,122754
Mozambique,1977,131605
Mozambique,1982,150845
Mozambique,1987,148648
Mozambique,1992,153340
Mozambique,1997,141430
Mozambique,2002,123406
Mozambique,2007,110265
Mozambique,2012,103687
Myanmar,1952,262488
Myanmar,1957,236092
Myanmar,1962,224098
Myanmar,1967,187749
Myanmar,1972,180263
Myanmar,1977,172257
Myanmar,1982,161744
Myanmar,1987,136866
Myanmar,1992,113926
Myanmar,1997,101083
Myanmar,2002,91463
Myanmar,2007,76129
Myanmar,2012,59287
Namibia,1952,5570
Namibia,1957,5327
Namibia,1962,5159
Namibia,1967,5108
Namibia,1972,5261
Namibia,1977,5127
Namibia,1982,4724
Namibia,1987,4576
Namibia,1992,4525
Namibia,1997,4464
Namibia,2002,4539
Namibia,2007,3510
Namibia,2012,2968
Nepal,1952,138839
Nepal,1957,147038
Nepal,1962,144328
Nepal,1967,138102
Nepal,1972,134290
Nepal,1977,132027
Nepal,1982,124395
Nepal,1987,110885
Nepal,1992,92542
Nepal,1997,73066
Nepal,2002,52006
Nepal,2007,35389
Nepal,2012,23768
Netherlands,1952,6985
Netherlands,1957,5672
Netherlands,1962,5059
Netherlands,1967,4262
Netherlands,1972,3107
Netherlands,1977,2202
Netherlands,1982,1836
Netherlands,1987,1696
Netherlands,1992,1507
Netherlands,1997,1285
Netherlands,2002,1186
Netherlands,2007,927
Netherlands,2012,747
New Caledonia,1952,395
New Caledonia,1957,342
New Caledonia,1962,320
New Caledonia,1967,305
New Caledonia,1972,288
New Caledonia,1977,224
New Caledonia,1982,170
New Caledonia,1987,135
New Caledonia,1992,121
New Caledonia,1997,100
New Caledonia,2002,81
New Caledonia,2007,65
New Caledonia,2012,62
New Zealand,1952,1737
New Zealand,1957,1760
New Zealand,1962,1645
New Zealand,1967,1373
New Zealand,1972,1237
New Zealand,1977,930
New Zealand,1982,757
New Zealand,1987,726
New Zealand,1992,556
New Zealand,1997,449
New Zealand,2002,395
New Zealand,2007,393
New Zealand,2012,331
Nicaragua,1952,18387
Nicaragua,1957,19459
Nicaragua,1962,18286
Nicaragua,1967,17545
Nicaragua,1972,17561
Nicaragua,1977,18331
Nicaragua,1982,17275
Nicaragua,1987,13656
Nicaragua,1992,9121
Nicaragua,1997,6188
Nicaragua,2002,4348
Nicaragua,2007,3803
Nicaragua,2012,2985
Niger,1952,49021
Niger,1957,56656
Niger,1962,65256
Niger,1967,73339
Niger,1972,83424
Niger,1977,93964
Niger,1982,102638
Niger,1987,120616
Niger,1992,128560
Niger,1997,123527
Niger,2002,114099
Niger,2007,104245
Niger,2012,89099
Nigeria,1952,605136
Nigeria,1957,613048
Nigeria,1962,621764
Nigeria,1967,641528
Nigeria,1972,677318
Nigeria,1977,715350
Nigeria,1982,753966
Nigeria,1987,840990
Nigeria,1992,933132
Nigeria,1997,983190
Nigeria,2002,958058
Nigeria,2007,892018
Nigeria,2012,848802
North Korea,1952,59039
North Korea,1957,49865
North Korea,1962,48475
North Korea,1967,41888
North Korea,1972,31926
North Korea,1977,17609
North Korea,1982,15823
North Korea,1987,14266
North Korea,1992,24120
North Korea,1997,34175
North Korea,2002,14594
North Korea,2007,12731
North Korea,2012,10201
Norway,1952,1880
Norway,1957,1566
Norway,1962,1390
Norway,1967,1188
Norway,1972,933
Norway,1977,646
Norway,1982,511
Norway,1987,573
Norway,1992,448
Norway,1997,316
Norway,2002,267
Norway,2007,231
Norway,2012,190
Oman,1952,8167
Oman,1957,7493
Oman,1962,7002
Oman,1967,6602
Oman,1972,6292
Oman,1977,5954
Oman,1982,5233
Oman,1987,3974
Oman,1992,2671
Oman,1997,1622
Oman,2002,996
Oman,2007,713
Oman,2012,702
Pakistan,1952,576428
Pakistan,1957,512722
Pakistan,1962,482482
Pakistan,1967,466914
Pakistan,1972,469952
Pakistan,1977,500346
Pakistan,1982,547748
Pakistan,1987,591536
Pakistan,1992,576060
Pakistan,1997,531612
Pakistan,2002,473302
Pakistan,2007,467236
Pakistan,2012,458722
Palestine,1952,9034
Palestine,1957,9169
Palestine,1962,9595
Palestine,1967,8091
Palestine,1972,6805
Palestine,1977,5907
Palestine,1982,4863
Palestine,1987,4309
Palestine,1992,4329
Palestine,1997,4035
Palestine,2002,3642
Palestine,2007,3559
Palestine,2012,3513
Panama,1952,4769
Panama,1957,4832
Panama,1962,4729
Panama,1967,4501
Panama,1972,3977
Panama,1977,3237
Panama,1982,2799
Panama,1987,2430
Panama,1992,2191
Panama,1997,2099
Panama,2002,1817
Panama,2007,1588
Panama,2012,1471
Papua New Guinea,1952,18741
Papua New Guinea,1957,18295
Papua New Guinea,1962,17668
Papua New Guinea,1967,16458
Papua New Guinea,1972,16934
Papua New Guinea,1977,15595
Papua New Guinea,1982,13617
Papua New Guinea,1987,14108
Papua New Guinea,1992,14158
Papua New Guinea,1997,14832
Papua New Guinea,2002,14435
Papua New Guinea,2007,13380
Papua New Guinea,2012,13099
Paraguay,1952,6959
Paraguay,1957,7299
Paraguay,1962,7140
Paraguay,1967,7289
Paraguay,1972,6778
Paraguay,1977,7248
Paraguay,1982,7973
Paraguay,1987,8321
Paraguay,1992,7861
Paraguay,1997,7205
Paraguay,2002,6029
Paraguay,2007,5463
Paraguay,2012,4891
Peru,1952,101631
Peru,1957,106216
Peru,1962,107937
Peru,1967,107768
Peru,1972,94714
Peru,1977,87667
Peru,1982,72778
Peru,1987,61865
Peru,1992,50754
Peru,1997,36967
Peru,2002,24904
Peru,2007,19887
Peru,2012,17963
Philippines,1952,130220
Philippines,1957,132881
Philippines,1962,131247
Philippines,1967,125709
Philippines,1972,119482
Philippines,1977,139170
Philippines,1982,132615
Philippines,1987,105044
Philippines,1992,100965
Philippines,1997,95616
Philippines,2002,90323
Philippines,2007,75139
Philippines,2012,70216
Poland,1952,69735
Poland,1957,52001
Poland,1962,34428
Poland,1967,22034
Poland,1972,18455
Poland,1977,17508
Poland,1982,16062
Poland,1987,12142
Poland,1992,9837
Poland,1997,4941
Poland,2002,3081
Poland,2007,2869
Poland,2012,2196
Polynesia,1952,1551
Polynesia,1957,1459
Polynesia,1962,1447
Polynesia,1967,1354
Polynesia,1972,1174
Polynesia,1977,995
Polynesia,1982,793
Polynesia,1987,629
Polynesia,1992,540
Polynesia,1997,428
Polynesia,2002,367
Polynesia,2007,317
Polynesia,2012,265
Portugal,1952,27898
Portugal,1957,25538
Portugal,1962,22093
Portugal,1967,14625
Portugal,1972,10110
Portugal,1977,6349
Portugal,1982,3653
Portugal,1987,2212
Portugal,1992,1384
Portugal,1997,953
Portugal,2002,703
Portugal,2007,451
Portugal,2012,363
Puerto Rico,1952,6226
Puerto Rico,1957,4790
Puerto Rico,1962,4061
Puerto Rico,1967,2686
Puerto Rico,1972,2116
Puerto Rico,1977,1561
Puerto Rico,1982,1344
Puerto Rico,1987,1016
Puerto Rico,1992,858
Puerto Rico,1997,756
Puerto Rico,2002,522
Puerto Rico,2007,442
Puerto Rico,2012,330
Qatar,1952,224
Qatar,1957,238
Qatar,1962,254
Qatar,1967,257
Qatar,1972,241
Qatar,1977,266
Qatar,1982,295
Qatar,1987,250
Qatar,1992,185
Qatar,1997,161
Qatar,2002,157
Qatar,2007,160
Qatar,2012,196
Romania,1952,47834
Romania,1957,40577
Romania,1962,20475
Romania,1967,25551
Romania,1972,20036
Romania,1977,16345
Romania,1982,12480
Romania,1987,12415
Romania,1992,7999
Romania,1997,5934
Romania,2002,4436
Romania,2007,3094
Romania,2012,2429
Russia,1952,398828
Russia,1957,226530
Russia,1962,123722
Russia,1967,74930
Russia,1972,65661
Russia,1977,74938
Russia,1982,74890
Russia,1987,67258
Russia,1992,45302
Russia,1997,34439
Russia,2002,28036
Russia,2007,21173
Russia,2012,18755
Rwanda,1952,33430
Rwanda,1957,36743
Rwanda,1962,38053
Rwanda,1967,39419
Rwanda,1972,46152
Rwanda,1977,53245
Rwanda,1982,52705
Rwanda,1987,63980
Rwanda,1992,156296
Rwanda,1997,50550
Rwanda,2002,48589
Rwanda,2007,32384
Rwanda,2012,26725
Saint Lucia,1952,746
Saint Lucia,1957,727
Saint Lucia,1962,502
Saint Lucia,1967,341
Saint Lucia,1972,256
Saint Lucia,1977,182
Saint Lucia,1982,130
Saint Lucia,1987,103
Saint Lucia,1992,90
Saint Lucia,1997,71
Saint Lucia,2002,58
Saint Lucia,2007,45
Saint Lucia,2012,42
Saint Vincent and the Grenadines,1952,584
Saint Vincent and the Grenadines,1957,683
Saint Vincent and the Grenadines,1962,535
Saint Vincent and the Grenadines,1967,347
Saint Vincent and the Grenadines,1972,222
Saint Vincent and the Grenadines,1977,147
Saint Vincent and the Grenadines,1982,130
Saint Vincent and the Grenadines,1987,98
Saint Vincent and the Grenadines,1992,73
Saint Vincent and the Grenadines,1997,62
Saint Vincent and the Grenadines,2002,56
Saint Vincent and the Grenadines,2007,47
Saint Vincent and the Grenadines,2012,38
Samoa,1952,693
Samoa,1957,691
Samoa,1962,692
Samoa,1967,645
Samoa,1972,563
Samoa,1977,463
Samoa,1982,376
Samoa,1987,298
Samoa,1992,243
Samoa,1997,201
Samoa,2002,165
Samoa,2007,145
Samoa,2012,119
Sao Tome and Principe,1952,553
Sao Tome and Principe,1957,496
Sao Tome and Principe,1962,490
Sao Tome and Principe,1967,408
Sao Tome and Principe,1972,416
Sao Tome and Principe,1977,367
Sao Tome and Principe,1982,407
Sao Tome and Principe,1987,403
Sao Tome and Principe,1992,413
Sao Tome and Principe,1997,418
Sao Tome and Principe,2002,428
Sao Tome and Principe,2007,400
Sao Tome and Principe,2012,397
Saudi Arabia,1952,46421
Saudi Arabia,1957,47298
Saudi Arabia,1962,49318
Saudi Arabia,1967,49965
Saudi Arabia,1972,46181
Saudi Arabia,1977,41150
Saudi Arabia,1982,36940
Saudi Arabia,1987,30196
Saudi Arabia,1992,22499
Saudi Arabia,1997,16526
Saudi Arabia,2002,12694
Saudi Arabia,2007,11314
Saudi Arabia,2012,11137
Senegal,1952,39007
Senegal,1957,42790
Senegal,1962,47546
Senegal,1967,55448
Senegal,1972,59286
Senegal,1977,55020
Senegal,1982,50015
Senegal,1987,44534
Senegal,1992,45345
Senegal,1997,50126
Senegal,2002,45788
Senegal,2007,37968
Senegal,2012,29584
Serbia,1952,25143
Serbia,1957,18786
Serbia,1962,14707
Serbia,1967,11245
Serbia,1972,8786
Serbia,1977,7292
Serbia,1982,6209
Serbia,1987,3923
Serbia,1992,2789
Serbia,1997,2433
Serbia,2002,1866
Serbia,2007,1442
Serbia,2012,1070
Seychelles,1952,151
Seychelles,1957,152
Seychelles,1962,153
Seychelles,1967,145
Seychelles,1972,100
Seychelles,1977,66
Seychelles,1982,43
Seychelles,1987,28
Seychelles,1992,26
Seychelles,1997,22
Seychelles,2002,22
Seychelles,2007,21
Seychelles,2012,22
Sierra Leone,1952,38312
Sierra Leone,1957,38705
Sierra Leone,1962,39675
Sierra Leone,1967,40188
Sierra Leone,1972,36982
Sierra Leone,1977,36404
Sierra Leone,1982,37906
Sierra Leone,1987,43516
Sierra Leone,1992,48427
Sierra Leone,1997,44381
Sierra Leone,2002,44128
Sierra Leone,2007,40704
Sierra Leone,2012,31288
Singapore,1952,4131
Singapore,1957,3591
Singapore,1962,2126
Singapore,1967,1515
Singapore,1972,1135
Singapore,1977,644
Singapore,1982,476
Singapore,1987,345
Singapore,1992,331
Singapore,1997,276
Singapore,2002,170
Singapore,2007,150
Singapore,2012,125
Slovakia,1952,8437
Slovakia,1957,4230
Slovakia,1962,2816
Slovakia,1967,2480
Slovakia,1972,2578
Slovakia,1977,2527
Slovakia,1982,1932
Slovakia,1987,1394
Slovakia,1992,1028
Slovakia,1997,661
Slovakia,2002,479
Slovakia,2007,435
Slovakia,2012,351
Slovenia,1952,913
Slovenia,1957,675
Slovenia,1962,579
Slovenia,1967,568
Slovenia,1972,533
Slovenia,1977,486
Slovenia,1982,460
Slovenia,1987,314
Slovenia,1992,185
Slovenia,1997,114
Slovenia,2002,88
Slovenia,2007,74
Slovenia,2012,75
Solomon Islands,1952,829
Solomon Islands,1957,865
Solomon Islands,1962,896
Solomon Islands,1967,927
Solomon Islands,1972,1069
Solomon Islands,1977,1072
Solomon Islands,1982,1120
Solomon Islands,1987,1517
Solomon Islands,1992,1409
Solomon Islands,1997,1242
Solomon Islands,2002,1033
Solomon Islands,2007,911
Solomon Islands,2012,818
Somalia,1952,38406
Somalia,1957,38963
Somalia,1962,39779
Somalia,1967,40920
Somalia,1972,42152
Somalia,1977,54225
Somalia,1982,59269
Somalia,1987,59817
Somalia,1992,66565
Somalia,1997,58254
Somalia,2002,59396
Somalia,2007,59995
Somalia,2012,57798
South Africa,1952,96568
South Africa,1957,93782
South Africa,1962,94330
South Africa,1967,94957
South Africa,1972,97263
South Africa,1977,95432
South Africa,1982,85898
South Africa,1987,75049
South Africa,1992,67077
South Africa,1997,76964
South Africa,2002,86477
South Africa,2007,82668
South Africa,2012,60372
South Korea,1952,143951
South Korea,1957,152798
South Korea,1962,132139
South Korea,1967,88780
South Korea,1972,49917
South Korea,1977,37459
South Korea,1982,26185
South Korea,1987,13614
South Korea,1992,9187
South Korea,1997,5683
South Korea,2002,3639
South Korea,2007,2841
South Korea,2012,1754
South Sudan,1952,53090
South Sudan,1957,52105
South Sudan,1962,54662
South Sudan,1967,56743
South Sudan,1972,58773
South Sudan,1977,60610
South Sudan,1982,66248
South Sudan,1987,66261
South Sudan,1992,55518
South Sudan,1997,51330
South Sudan,2002,51093
South Sudan,2007,51446
South Sudan,2012,51689
Spain,1952,49257
Spain,1957,39829
Spain,1962,32895
Spain,1967,25302
Spain,1972,18586
Spain,1977,12532
Spain,1982,7195
Spain,1987,4582
Spain,1992,3438
Spain,1997,2475
Spain,2002,2261
Spain,2007,2342
Spain,2012,1620
Sri Lanka,1952,44988
Sri Lanka,1957,40978
Sri Lanka,1962,35024
Sri Lanka,1967,30378
Sri Lanka,1972,24878
Sri Lanka,1977,20432
Sri Lanka,1982,16350
Sri Lanka,1987,12078
Sri Lanka,1992,9171
Sri Lanka,1997,7054
Sri Lanka,2002,5947
Sri Lanka,2007,4450
Sri Lanka,2012,3360
Sudan,1952,64173
Sudan,1957,65586
Sudan,1962,68827
Sudan,1967,73258
Sudan,1972,78544
Sudan,1977,87708
Sudan,1982,98263
Sudan,1987,106349
Sudan,1992,119463
Sudan,1997,124501
Sudan,2002,122638
Sudan,2007,114482
Sudan,2012,104351
Suriname,1952,1216
Suriname,1957,1239
Suriname,1962,1166
Suriname,1967,1029
Suriname,1972,889
Suriname,1977,632
Suriname,1982,573
Suriname,1987,575
Suriname,1992,516
Suriname,1997,422
Suriname,2002,340
Suriname,2007,305
Suriname,2012,234
Swaziland,1952,3542
Swaziland,1957,3662
Swaziland,1962,3889
Swaziland,1967,4179
Swaziland,1972,4213
Swaziland,1977,4138
Swaziland,1982,3913
Swaziland,1987,3837
Swaziland,1992,3472
Swaziland,1997,3983
Swaziland,2002,4413
Swaziland,2007,4095
Swaziland,2012,3488
Sweden,1952,2753
Sweden,1957,2250
Sweden,1962,2127
Sweden,1967,1777
Sweden,1972,1416
Sweden,1977,968
Sweden,1982,771
Sweden,1987,812
Sweden,1992,757
Sweden,1997,430
Sweden,2002,394
Sweden,2007,360
Sweden,2012,390
Switzerland,1952,3046
Switzerland,1957,2619
Switzerland,1962,2648
Switzerland,1967,2182
Switzerland,1972,1571
Switzerland,1977,927
Switzerland,1982,742
Switzerland,1987,686
Switzerland,1992,641
Switzerland,1997,485
Switzerland,2002,414
Switzerland,2007,379
Switzerland,2012,359
Syria,1952,36776
Syria,1957,37098
Syria,1962,36059
Syria,1967,33883
Syria,1972,30643
Syria,1977,27045
Syria,1982,22830
Syria,1987,18410
Syria,1992,14347
Syria,1997,12443
Syria,2002,10512
Syria,2007,9079
Syria,2012,9843
Tajikistan,1952,15369
Tajikistan,1957,18065
Tajikistan,1962,19344
Tajikistan,1967,19880
Tajikistan,1972,20661
Tajikistan,1977,20848
Tajikistan,1982,23452
Tajikistan,1987,26311
Tajikistan,1992,24841
Tajikistan,1997,21389
Tajikistan,2002,15845
Tajikistan,2007,12261
Tajikistan,2012,12703
Tanzania,1952,103176
Tanzania,1957,109977
Tanzania,1962,120722
Tanzania,1967,130935
Tanzania,1972,138802
Tanzania,1977,145447
Tanzania,1982,158503
Tanzania,1987,174462
Tanzania,1992,196802
Tanzania,1997,194651
Tanzania,2002,161269
Tanzania,2007,135655
Tanzania,2012,102091
Thailand,1952,176213
Thailand,1957,172861
Thailand,1962,165946
Thailand,1967,153161
Thailand,1972,122312
Thailand,1977,91795
Thailand,1982,67406
Thailand,1987,48074
Thailand,1992,34230
Thailand,1997,24768
Thailand,2002,18878
Thailand,2007,13605
Thailand,2012,10689
Timor,1952,8149
Timor,1957,7854
Timor,1962,7783
Timor,1967,7569
Timor,1972,6955
Timor,1977,8798
Timor,1982,7110
Timor,1987,6209
Timor,1992,5974
Timor,1997,4831
Timor,2002,3183
Timor,2007,2315
Timor,2012,2356
Togo,1952,21336
Togo,1957,20192
Togo,1962,19536
Togo,1967,20695
Togo,1972,21709
Togo,1977,21676
Togo,1982,22113
Togo,1987,22852
Togo,1992,23145
Togo,1997,23983
Togo,2002,25548
Togo,2007,23308
Togo,2012,21346
Tonga,1952,183
Tonga,1957,183
Tonga,1962,187
Tonga,1967,172
Tonga,1972,134
Tonga,1977,123
Tonga,1982,116
Tonga,1987,98
Tonga,1992,92
Tonga,1997,82
Tonga,2002,80
Tonga,2007,75
Tonga,2012,66
Trinidad and Tobago,1952,2961
Trinidad and Tobago,1957,2603
Trinidad and Tobago,1962,2145
Trinidad and Tobago,1967,1687
Trinidad and Tobago,1972,1450
Trinidad and Tobago,1977,1335
Trinidad and Tobago,1982,1285
Trinidad and Tobago,1987,1044
Trinidad and Tobago,1992,796
Trinidad and Tobago,1997,692
Trinidad and Tobago,2002,694
Trinidad and Tobago,2007,670
Trinidad and Tobago,2012,622
Tunisia,1952,51378
Tunisia,1957,52410
Tunisia,1962,50693
Tunisia,1967,43540
Tunisia,1972,34215
Tunisia,1977,25037
Tunisia,1982,16952
Tunisia,1987,12785
Tunisia,1992,8109
Tunisia,1997,5855
Tunisia,2002,4271
Tunisia,2007,3625
Tunisia,2012,4119
Turkey,1952,333740
Turkey,1957,348382
Turkey,1962,322178
Turkey,1967,292190
Turkey,1972,273210
Turkey,1977,235722
Turkey,1982,192657
Turkey,1987,145486
Turkey,1992,108878
Turkey,1997,72660
Turkey,2002,47554
Turkey,2007,31482
Turkey,2012,25855
Turkmenistan,1952,10145
Turkmenistan,1957,11136
Turkmenistan,1962,12551
Turkmenistan,1967,11710
Turkmenistan,1972,11701
Turkmenistan,1977,11604
Turkmenistan,1982,11959
Turkmenistan,1987,12461
Turkmenistan,1992,12367
Turkmenistan,1997,8719
Turkmenistan,2002,7254
Turkmenistan,2007,7055
Turkmenistan,2012,6702
Uganda,1952,74788
Uganda,1957,76710
Uganda,1962,78888
Uganda,1967,81796
Uganda,1972,90486
Uganda,1977,103811
Uganda,1982,122016
Uganda,1987,146234
Uganda,1992,162791
Uganda,1997,167399
Uganda,2002,154986
Uganda,2007,149656
