Entity,Year,Mean monthly per capita expenditure in 2011 int-$ (PovcalNet 2017),Median monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)
Latvia,2012,545.5700000000001,448.22
Lesotho,1987,52.45,29.19
Lesotho,1994,65.24,28.51
Lesotho,2003,69.5,44.05
Lesotho,2010,75.72,44.41
Liberia,2007,54.42,44.06
Lithuania,1988,396.56,368.66
Lithuania,1993,155.81,126.11
Lithuania,1996,306.1,258.26
Lithuania,1998,325.84,272.9
Lithuania,1999,321.66,270.46
Lithuania,2000,303.04,257.37
Lithuania,2001,301.61,252.63
Lithuania,2002,301.24,254.39
Lithuania,2003,414.76,330.42
Lithuania,2004,429.84,346.98
Lithuania,2005,433.79,356.94
Lithuania,2006,540.06,442.55
Lithuania,2007,638.28,522.5
Lithuania,2008,555.0700000000001,433.43
Lithuania,2009,567.65,463.32
Lithuania,2010,510.66,447.35
Lithuania,2011,558.4400000000001,478.45
Lithuania,2012,601.98,493.52
Luxembourg,2004,2141.2,1842.67
Luxembourg,2005,2209.34,1900.53
Luxembourg,2006,2188.75,1864.38
Luxembourg,2007,2214.33,1895.08
Luxembourg,2008,2209.95,1828.18
Luxembourg,2009,2195.29,1901.47
Luxembourg,2010,2153.48,1856.89
Luxembourg,2011,2128.71,1817.48
Luxembourg,2012,2155,1762.81
Macedonia,1998,239.01,214.58
Macedonia,2000,211.6,180.4
Macedonia,2002,352.16,277.17
Macedonia,2003,343.39,266.92
Macedonia,2004,349.84,273.89
Macedonia,2005,366.03,279.67
Macedonia,2006,377.33,271.49
Macedonia,2008,363.15,248.56
Madagascar,1993,60.6,41.52
Madagascar,1997,57.98,44.37
Madagascar,1999,58.19,44.25
Madagascar,2001,59.02,37.38
Madagascar,2005,52.78,38.97
Madagascar,2010,44.11,32.09
Madagascar,2012,46.66,32.81
Malawi,1998,113.13,45.96
Malawi,2004,53.72,38.88
Malawi,2010,57.94,38.01
Malaysia,1984,378.71,244.29
Malaysia,1987,365.35,241.2
Malaysia,1989,357.3,239.09
Malaysia,1992,396.57,258.76
Malaysia,1995,412.6,266
Malaysia,1997,514.27,327.88
Malaysia,2004,639.38,432.47
Malaysia,2007,587.42,397.33
Malaysia,2009,627.05,424.45
Maldives,2003,160.56,115.44
Maldives,2010,198.52,154.71
Mali,1994,37.67,22.17
Mali,2001,68.63,49.66
Mali,2006,77.45,57.39
Mali,2010,73.09999999999999,58.5
Mauritania,1987,95.37000000000001,71.18000000000001
Mauritania,1993,110.82,67.27
Mauritania,1996,126.05,97.95
Mauritania,2000,138.15,104.85
Mauritania,2004,148.49,108.68
Mauritania,2008,160.22,130.6
Mauritania,2014,175.37,147.84
Mauritius,2007,335.26,261.02
Mauritius,2012,351.49,276.11
Mexico,1984,302.54,193.73
Mexico,1989,367.26,208.77
Mexico,1992,279.14,170.63
Mexico,1994,290.53,172.81
Mexico,1996,215.76,139.5
Mexico,1998,226.04,146.59
Mexico,2000,275.04,167.1
Mexico,2002,271.23,170.67
Mexico,2004,337.41,233.73
Mexico,2005,330.73,207.38
Mexico,2006,363.75,232.54
Mexico,2008,351.01,225.67
Mexico,2010,355.05,228.52
Mexico,2012,369.86,234.45
Mexico,2014,341.5,215.01
Micronesia (country),2005,198.45,140.74
Micronesia (country),2013,158.85,116.79
Micronesia (Urban),2000,137.99,65.99
Moldova,1988,449.92,412.68
Moldova,1992,147.12,122.84
Moldova,1997,136.54,108.07
Moldova,1998,112.1,85.70999999999999
Moldova,1999,98.22,69
Moldova,2000,91.06,71.58
Moldova,2001,108.48,83.05
Moldova,2002,133.74,106.41
Moldova,2003,159.83,126.11
Moldova,2004,157.08,126.35
Moldova,2005,142.3,112.76
Moldova,2006,241.76,194.45
Moldova,2007,273.91,222.92
Moldova,2008,266.84,214.89
Moldova,2009,266.37,220.01
Moldova,2010,272.42,225.58
Moldova,2011,279.64,235.6
Moldova,2012,272.9,233.46
Moldova,2013,291.82,250.89
Moldova,2014,284.48,246.16
Mongolia,1995,138.8,115.87
Mongolia,1998,92.94,82.09999999999999
Mongolia,2002,146.65,122.45
Mongolia,2008,243.39,191.84
Mongolia,2010,244.93,200.75
Mongolia,2011,266.96,213.98
Mongolia,2012,305.32,248.67
Mongolia,2014,321.71,267.14
Montenegro,2005,376.67,322.61
Montenegro,2006,389.87,334.27
Montenegro,2007,479.59,408.63
Montenegro,2008,504.29,427.12
Montenegro,2009,494.77,416.98
Montenegro,2010,447.28,394.43
Montenegro,2011,440.4,376.22
Montenegro,2012,413.14,345.86
Montenegro,2013,420.01,348.03
Montenegro,2014,441.22,367.37
Morocco,1985,166.94,127.4
Morocco,1991,229.82,171.11
Morocco,1999,191.87,142.94
Morocco,2001,197.54,142.13
Morocco,2007,238.74,172.04
Mozambique,1996,39.08,26.37
Mozambique,2003,47.84,31.06
Mozambique,2009,59.56,40.71
Namibia,1994,196.41,
Namibia,2004,211.34,85.44
Namibia,2010,237.07,103.81
Nepal,1985,49.56,41.22
Nepal,1996,63.5,49.35
Nepal,2003,92.22,61.58
Nepal,2010,119.01,96.25
Netherlands,2004,1396.97,1209.88
Netherlands,2005,1413.22,1222.3
Netherlands,2006,1501.38,1275.63
Netherlands,2007,1573.14,1348.56
Netherlands,2008,1573.96,1359.45
Netherlands,2009,1551.98,1367.42
Netherlands,2010,1528.37,1355.55
Netherlands,2011,1517.31,1339.5
Netherlands,2012,1496.93,1318.62
Nicaragua,1993,179.68,112.66
Nicaragua,1998,171.96,118.06
Nicaragua,2001,156.44,110.67
Nicaragua,2005,155.15,113.05
Nicaragua,2009,229.39,158.6
Nicaragua,2014,288.89,194.55
Niger,1993,47.31,36.94
Niger,1994,41.27,30.02
Niger,2005,52.84,35.9
Niger,2007,55.28,40.41
Niger,2011,71.48,57.58
Niger,2014,77.62000000000001,61.14
Nigeria,1985,81.83,63.17
Nigeria,1992,69.39,49.33
Nigeria,1996,70.84,43.24
Nigeria,2004,70.76000000000001,54.31
Nigeria,2010,75.86,54.1
Norway,2004,1647.5,1345.98
Norway,2005,1667.9,1398.5
Norway,2006,1604.72,1451.51
Norway,2007,1777.85,1564.39
Norway,2008,1856.54,1637.67
Norway,2009,1857.89,1661.37
Norway,2010,1864.96,1677.99
Norway,2011,1954.82,1781.87
Norway,2012,2000.46,1811.78
Pakistan,1987,62.22,49.43
Pakistan,1991,63.15,51.45
Pakistan,1997,101.87,84.20999999999999
Pakistan,1999,101.34,79.88
Pakistan,2002,90.18000000000001,73.16
Pakistan,2005,108.77,85.63
Pakistan,2006,111.26,86.69
Pakistan,2008,115.78,91.25
Pakistan,2011,122.07,99.95999999999999
Pakistan,2012,126.3,101.57
Pakistan,2014,134.53,109.85
Palestine,2004,369.25,297.3
Palestine,2005,388.29,311.41
Palestine,2006,389.09,313.2
Palestine,2007,358.35,287.08
Palestine,2009,410.83,325.07
Panama,1989,288.78,165.31
Panama,1991,308.18,174.7
Panama,1995,393.62,227.9
Panama,1997,407.95,225.25
Panama,1998,390.64,221.77
Panama,1999,410.43,235.77
Panama,2000,412.3,230.74
Panama,2001,369.32,208.52
Panama,2002,404.6,224.09
Panama,2003,415.89,230.98
Panama,2004,418.75,241.7
Panama,2005,410.8,239.75
Panama,2006,419.65,241.94
Panama,2007,438.44,267.52
Panama,2008,522.58,320.67
Panama,2009,528.66,320.31
Panama,2010,541.9400000000001,334.38
Panama,2011,593.1,366.43
Panama,2012,604.33,374.97
Panama,2013,628.27,394.69
Panama,2014,630.31,404.19
Papua New Guinea,1996,92.52,51.46
Papua New Guinea,2010,97.63,70.33
Paraguay,1990,423.59,305.75
Paraguay,1995,401.07,216.87
Paraguay,1997,430.66,258.31
Paraguay,1999,391.55,229.03
Paraguay,2001,394.29,231.08
Paraguay,2002,321.62,177.81
Paraguay,2003,364.64,202.61
Paraguay,2004,353.16,208.66
Paraguay,2005,359.3,220.97
Paraguay,2006,333.98,200.51
Paraguay,2007,357.54,220.65
Paraguay,2008,383.66,235.52
Paraguay,2009,385.71,251.52
Paraguay,2010,424.5,267.6
Paraguay,2011,475.68,297.28
Paraguay,2012,460.77,316.59
Paraguay,2013,522.75,341.39
Paraguay,2014,570.91,350.58
Peru,1986,179.74,122.18
Peru,1994,188.25,136.13
Peru,1997,254.34,153.18
Peru,1998,277.25,156.29
Peru,1999,272.62,152.51
Peru,2000,241.08,154.15
Peru,2001,233.03,145.19
Peru,2002,269.27,160.65
Peru,2003,280.75,164.32
Peru,2004,284.36,179.66
Peru,2005,272.59,169.38
Peru,2006,304.01,191.34
Peru,2007,340.34,217.37
Peru,2008,349.65,236.95
Peru,2009,363.91,246.28
Peru,2010,377.8,265.31
Peru,2011,393.08,282.8
Peru,2012,413.82,300.37
Peru,2013,419.3,303.55
Peru,2014,424.12,309.29
Philippines,1985,118.88,85.31
Philippines,1988,124.72,88.5
Philippines,1991,133.66,90.75
Philippines,1994,135.52,94.03
Philippines,1997,169.92,110.8
Philippines,2000,167.41,108.57
Philippines,2003,168.43,114.39
Philippines,2006,169.84,114.19
Philippines,2009,177.53,121.68
Philippines,2012,174.02,119.18
Poland,1985,446.62,403.54
Poland,1987,456.29,411.35
Poland,1989,574.13,512.66
Poland,1993,264.6,236.84
Poland,1996,184.53,150.81
Poland,1998,405.8,333.77
Poland,1999,398.74,327.83
Poland,2000,398.15,327.55
Poland,2001,392.8,322.99
Poland,2002,396.22,319.92
Poland,2003,437.29,349.98
Poland,2004,455.2,363.61
Poland,2005,408.37,328.4
Poland,2006,435.29,353.21
Poland,2007,462.65,376.83
Poland,2008,494.87,401.73
Poland,2009,503.66,407.94
Poland,2010,507.38,414.01
Poland,2011,500,414.17
Poland,2012,497,410.84
Poland,2013,502.28,414.4
Poland,2014,508.95,426.19
Portugal,2004,830.9500000000001,624.9400000000001
Portugal,2005,829.4,617.78
Portugal,2006,847.51,633.6900000000001
Portugal,2007,850.8200000000001,663.24
Portugal,2008,843.27,661.7000000000001
Portugal,2009,862.03,698.5
Portugal,2010,847.2000000000001,672.37
Portugal,2011,811.26,639.09
Portugal,2012,763.76,614.06
Romania,1989,426.28,398.8
Romania,1992,284.36,261.72
Romania,1994,121.67,107.12
Romania,1998,216.59,185.1
Romania,1999,149.06,129.59
Romania,2000,143.83,125.57
Romania,2001,158.57,138.49
Romania,2002,163.95,142.55
Romania,2003,174.01,150.76
Romania,2004,193.91,167.6
Romania,2005,204.88,177.37
Romania,2006,209.31,180.2
Romania,2007,229.05,196.93
Romania,2008,271.78,236.79
Romania,2009,276.34,243.88
Romania,2010,265.26,234.6
Romania,2011,259.78,233.07
Romania,2012,264.86,235.64
Romania,2013,266.57,238.08
Russia,1988,172,159.19
Russia,1993,424.63,282.72
Russia,1996,404.12,284.36
Russia,1997,369.03,286.54
Russia,1998,331.99,258.76
Russia,1999,264.48,208.6
Russia,2000,289.89,229.22
Russia,2001,328.37,248.88
Russia,2002,361.62,279.48
Russia,2003,395.03,290.04
Russia,2004,432.43,317.64
Russia,2005,468.31,337.71
Russia,2006,502.68,364.85
Russia,2007,590.6900000000001,416.78
Russia,2008,656.75,468.71
Russia,2009,626.91,461.57
Russia,2010,719.49,524.39
Russia,2011,746.87,543.1
Russia,2012,786.43,563.54
Rwanda,1985,59.81,49.66
Rwanda,2000,54.08,33.67
Rwanda,2006,70.08,40.59
Rwanda,2011,83.98,48.37
Rwanda,2014,82.56999999999999,48.4
Saint Lucia,1995,103.13,75.99
Samoa,2008,302.45,209.26
Sao Tome and Principe,2001,94.45,77.98
Sao Tome and Principe,2010,86.95,72.78
Senegal,1991,63.78,36.64
Senegal,1994,71.52,51.19
Senegal,2001,83,58.44
Senegal,2006,93.2,70.38
Senegal,2011,95.98,71.29000000000001
Serbia,2002,395,330.81
Serbia,2003,377.37,312.94
Serbia,2004,340.81,278.35
Serbia,2005,338.45,281.64
Serbia,2006,366.61,316.23
Serbia,2007,406.62,349.2
Serbia,2008,408.87,354.62
Serbia,2009,403.43,350.17
Serbia,2010,390.58,337.84
Serbia,2013,386.22,339.26
Seychelles,2000,584.29,422.06
Seychelles,2006,530.72,381.58
Seychelles,2013,699.05,461.87
Sierra Leone,1990,60.81,
Sierra Leone,2003,70.34,50.71
Sierra Leone,2011,70.84,55.78
Slovakia,1988,600.04,557.39
Slovakia,1992,532.88,498.93
Slovakia,1996,459.69,429.75
Slovakia,2004,402.66,344.29
Slovakia,2005,463.74,395.1
Slovakia,2006,513.0700000000001,441.37
Slovakia,2007,521.98,444.94
Slovakia,2008,530.34,458.09
Slovakia,2009,487.89,429.02
Slovakia,2010,894.12,814.66
Slovakia,2011,927.35,857.38
Slovakia,2012,851.49,795.4400000000001
Slovenia,1987,584.1,532.22
Slovenia,1993,633.14,534.86
Slovenia,1998,711.53,615.41
Slovenia,2002,745.91,640.05
Slovenia,2003,736.16,631.11
Slovenia,2004,901.06,815.9
Slovenia,2005,933.09,847.16
Slovenia,2006,965.06,878.33
Slovenia,2007,1016.42,925.43
Slovenia,2008,1046.71,955.5
Slovenia,2009,1053.05,954.7000000000001
Slovenia,2010,1054.46,957.92
Slovenia,2011,1045.44,952.48
Slovenia,2012,1002.28,909.81
Solomon Islands,2005,94.45,62.72
South Africa,1993,227.37,103.91
South Africa,1996,203.89,87.09
South Africa,2001,194.22,94.37000000000001
South Africa,2006,273.61,101.62
South Africa,2009,340.48,134.56
South Africa,2011,358.24,140.42
South Sudan,2009,98.29000000000001,69.56999999999999
Spain,2004,1019.2,862.13
Spain,2005,1045.48,905.17
Spain,2006,1075.19,926.1
Spain,2007,1102.48,949.91
Spain,2008,1271.65,1082.89
Spain,2009,1271.46,1072.89
Spain,2010,1201.84,1006.14
Spain,2011,1157.91,974.22
Spain,2012,1102.65,937.61
Sri Lanka,1985,126.48,103.39
Sri Lanka,1991,132.56,105.98
Sri Lanka,1996,144.17,109.3
Sri Lanka,2002,173.84,120.65
Sri Lanka,2007,206.81,145.92
Sri Lanka,2010,204.43,154.59
Sri Lanka,2013,228.33,165.08
Sudan,2009,138.89,112.1
Suriname,1999,217.41,139.11
Swaziland,1995,46.6,23.49
Swaziland,2001,110.84,60.15
Swaziland,2009,117.23,68.63
Sweden,2004,1217.39,1088.6
Sweden,2005,1228.65,1115.8
Sweden,2006,1304.26,1170.32
Sweden,2007,1373.11,1226.98
Sweden,2008,1453.45,1288.35
Sweden,2009,1473.14,1303.1
Sweden,2010,1489.94,1322.25
Sweden,2011,1497.74,1327.22
Sweden,2012,1534.88,1357.05
Switzerland,2007,1921.76,1571.35
Switzerland,2008,1936.07,1593.06
Switzerland,2009,1929.39,1591.48
Switzerland,2010,1935.35,1621.51
Switzerland,2011,1964.17,1662.35
Switzerland,2012,2013.28,1681.71
Tajikistan,1999,62.97,54.19
Tajikistan,2003,92.88,76.19
Tajikistan,2004,123.02,100.04
Tajikistan,2007,139.65,118.94
Tajikistan,2009,164.54,139.22
Tajikistan,2012,95.97,79.54000000000001
Tajikistan,2013,98.84999999999999,82.53
Tajikistan,2014,104.75,87.09
Tanzania,1992,52.88,42.19
Tanzania,2000,37.36,28.28
Tanzania,2007,75.81999999999999,55.28
Tanzania,2012,81.08,60.27
Thailand,1981,166.1,111.38
Thailand,1988,173.62,116.69
Thailand,1990,194.14,123.79
Thailand,1992,233.69,142.56
Thailand,1994,245.69,164.4
Thailand,1996,266.78,180.72
Thailand,1998,266.73,184.81
Thailand,1999,254.92,172.31
Thailand,2000,251.49,170.42
Thailand,2002,284.31,198.29
Thailand,2004,320.87,223.58
Thailand,2006,359.66,255.65
Thailand,2007,358.35,261.97
Thailand,2008,378.71,274.57
Thailand,2009,392.65,288.9
Thailand,2010,404.1,295.8
Thailand,2011,410.16,309.02
Thailand,2012,442.17,326.68
Thailand,2013,449.2,336.44
Timor,2001,84.58,64.15000000000001
Timor,2007,75.25,60.28
Togo,2006,76.19,52.65
Togo,2011,79.87000000000001,53.35
Tonga,2001,310.59,242.78
Tonga,2009,296.24,226.4
Trinidad and Tobago,1988,431.26,319.63
Trinidad and Tobago,1992,302.77,234.02
Tunisia,1985,178.41,126.4
Tunisia,1990,191.93,145.81
Tunisia,1995,195.52,143.29
Tunisia,2000,231.35,171.32
Tunisia,2005,253.7,197.27
Tunisia,2010,288.18,231.49
Turkey,1987,311.5,217.28
Turkey,1994,293.82,217.44
Turkey,2002,319.01,235.18
Turkey,2003,294.32,213.23
Turkey,2004,355.2,269.22
Turkey,2005,370.89,275.01
Turkey,2006,372.72,289.62
Turkey,2007,392.99,310.1
Turkey,2008,434.77,344.12
Turkey,2009,430.21,335.91
Turkey,2010,437.5,338.3
Turkey,2011,478.59,360.04
Turkey,2012,497.06,370.54
Turkey,2013,517.27,390.37
Turkmenistan,1988,76.14,65.72
Turkmenistan,1998,90.47,66.3
Tuvalu,2010,248.56,180.34
Uganda,1989,33.35,23.63
Uganda,1992,59.07,42.91
Uganda,1996,66.69,49.14
Uganda,2000,65.16,45.6
Uganda,2002,71.58,47.44
Uganda,2005,79.68000000000001,54.79
Uganda,2009,98.87000000000001,66.55
Uganda,2012,103.07,73.7
Ukraine,1988,192.71,177.78
Ukraine,1992,212.12,187.29
Ukraine,1993,213.3,184.91
Ukraine,1995,223.17,171.2
Ukraine,1996,186.52,150.61
Ukraine,1999,132.69,115.23
Ukraine,2002,201.56,173.72
Ukraine,2003,225.72,193.33
Ukraine,2004,252.7,218.02
Ukraine,2005,299.38,256.75
Ukraine,2006,324.07,275.77
Ukraine,2007,308.07,270.13
Ukraine,2008,352.72,309.95
Ukraine,2009,326.73,289.96
Ukraine,2010,348.5,311.64
Ukraine,2011,362.07,323.66
Ukraine,2012,377.17,337.75
Ukraine,2013,398.55,357.03
Ukraine,2014,384.28,343.12
United Kingdom,2004,1397.52,1134.19
United Kingdom,2005,1382.29,1159.23
United Kingdom,2006,1484.25,1220.08
United Kingdom,2007,1554.35,1251.65
United Kingdom,2008,1429.21,1167.03
United Kingdom,2009,1421.58,1181.78
United Kingdom,2010,1409.37,1165.22
United Kingdom,2011,1368.52,1152.41
United Kingdom,2012,1350.13,1151.09
United States,1986,1581.82,1289.17
United States,1991,1621.09,1325.92
United States,1994,1679.55,1319.83
United States,1997,1782.63,1372.05
United States,2000,1898.2,1469.04
United States,2004,1919.78,1501.04
United States,2007,1966.96,1529.33
United States,2010,1897.4,1486.31
United States,2013,1917.39,1465.7
Uruguay,1981,536.08,389.2
Uruguay,1989,640.93,476.47
Uruguay,2006,523.22,345.47
Uruguay,2007,566.61,370.29
Uruguay,2008,617.52,415.64
Uruguay,2009,660.66,445.77
Uruguay,2010,660.13,449.23
Uruguay,2011,702.47,506.69
Uruguay,2012,700.42,526.68
Uruguay,2013,727.5700000000001,543.62
Uruguay,2014,764.05,574.98
Uruguay (Urban),1992,653.36,500.89
Uruguay (Urban),1995,681.55,508.95
Uruguay (Urban),1996,668.23,490.53
Uruguay (Urban),1997,664.4500000000001,489.03
Uruguay (Urban),1998,711.22,518.93
Uruguay (Urban),2000,684.06,491.54
Uruguay (Urban),2001,646.2000000000001,440.07
Uruguay (Urban),2002,576.42,390.93
Uruguay (Urban),2003,480.35,324.5
Uruguay (Urban),2004,488.46,329.97
Uruguay (Urban),2005,499.7,348.53
Uzbekistan,1988,196.85,170.77
Uzbekistan,1998,86.06,63.12
Uzbekistan,2000,55.79,44.21
Uzbekistan,2002,59.26,47.42
Uzbekistan,2003,57.5,45.27
Vanuatu,2010,142.93,110.78
Venezuela,1981,628.31,347.65
Venezuela,1987,557.63,320.67
Venezuela,1989,339.37,253.26
Venezuela,1992,382.35,286.5
Venezuela,1995,304.92,208.12
Venezuela,1998,312.54,213.69
Venezuela,1999,290.42,198.82
Venezuela,2001,302.89,205.61
Venezuela,2002,245.65,164.42
Venezuela,2003,204.12,140.55
Venezuela,2004,228.82,159.91
Venezuela,2005,298.6,204.82
Venezuela,2006,353.7,256.3
Vietnam,1993,76.64,58.34
Vietnam,1999,92.75,69.92
Vietnam,2002,92.26000000000001,67.65000000000001
Vietnam,2004,109.02,81.70999999999999
Vietnam,2006,121.9,92.49
Vietnam,2008,135.06,101.66
Vietnam,2010,241.25,166.86
Vietnam,2012,245.59,186.85
Vietnam,2014,257.04,198.9
Zambia,1991,93.40000000000001,49.68
Zambia,1993,84.41,51.47
Zambia,1996,109.16,70.29000000000001
Zambia,1998,108.09,68.7
Zambia,2003,82.42,58.24
Zambia,2005,87.78,48.54
Zambia,2007,80.81999999999999,44.2
Zambia,2010,78.64,40.81
Zimbabwe,2011,147.38,102.55
