Entity,Year,Ratio of exports and imports to GDP (PWT v8.1 (2015))
Burkina Faso,1963,21
Burkina Faso,1964,14
Burkina Faso,1965,16
Burkina Faso,1966,17
Burkina Faso,1967,19
Burkina Faso,1968,22
Burkina Faso,1969,22
Burkina Faso,1970,22
Burkina Faso,1971,26
Burkina Faso,1972,27
Burkina Faso,1973,28
Burkina Faso,1974,33
Burkina Faso,1975,35
Burkina Faso,1976,36
Burkina Faso,1977,37
Burkina Faso,1978,34
Burkina Faso,1979,36
Burkina Faso,1980,39
Burkina Faso,1981,39
Burkina Faso,1982,41
Burkina Faso,1983,38
Burkina Faso,1984,43
Burkina Faso,1985,41
Burkina Faso,1986,38
Burkina Faso,1987,39
Burkina Faso,1988,38
Burkina Faso,1989,32
Burkina Faso,1990,35
Burkina Faso,1991,34
Burkina Faso,1992,28
Burkina Faso,1993,30
Burkina Faso,1994,39
Burkina Faso,1995,40
Burkina Faso,1996,38
Burkina Faso,1997,37
Burkina Faso,1998,41
Burkina Faso,1999,34
Burkina Faso,2000,35
Burkina Faso,2001,32
Burkina Faso,2002,31
Burkina Faso,2003,31
Burkina Faso,2004,37
Burkina Faso,2005,36
Burkina Faso,2006,37
Burkina Faso,2007,36
Burkina Faso,2008,36
Burkina Faso,2009,40
Burkina Faso,2010,43
Burkina Faso,2011,52
Burundi,1960,14
Burundi,1961,14
Burundi,1962,16
Burundi,1963,12
Burundi,1964,13
Burundi,1965,12
Burundi,1966,13
Burundi,1967,12
Burundi,1968,13
Burundi,1969,12
Burundi,1970,12
Burundi,1971,13
Burundi,1972,14
Burundi,1973,13
Burundi,1974,14
Burundi,1975,16
Burundi,1976,16
Burundi,1977,18
Burundi,1978,18
Burundi,1979,21
Burundi,1980,17
Burundi,1981,16
Burundi,1982,19
Burundi,1983,18
Burundi,1984,18
Burundi,1985,15
Burundi,1986,16
Burundi,1987,17
Burundi,1988,18
Burundi,1989,17
Burundi,1990,20
Burundi,1991,22
Burundi,1992,22
Burundi,1993,26
Burundi,1994,22
Burundi,1995,26
Burundi,1996,14
Burundi,1997,16
Burundi,1998,18
Burundi,1999,15
Burundi,2000,19
Burundi,2001,19
Burundi,2002,20
Burundi,2003,23
Burundi,2004,23
Burundi,2005,35
Burundi,2006,42
Burundi,2007,39
Burundi,2008,47
Burundi,2009,60
Burundi,2010,63
Burundi,2011,57
Cambodia,1970,17
Cambodia,1971,17
Cambodia,1972,17
Cambodia,1973,17
Cambodia,1974,17
Cambodia,1975,17
Cambodia,1976,17
Cambodia,1977,17
Cambodia,1978,17
Cambodia,1979,17
Cambodia,1980,17
Cambodia,1981,17
Cambodia,1982,17
Cambodia,1983,16
Cambodia,1984,17
Cambodia,1985,15
Cambodia,1986,15
Cambodia,1987,19
Cambodia,1988,14
Cambodia,1989,13
Cambodia,1990,11
Cambodia,1991,10
Cambodia,1992,12
Cambodia,1993,42
Cambodia,1994,58
Cambodia,1995,77
Cambodia,1996,69
Cambodia,1997,79
Cambodia,1998,76
Cambodia,1999,94
Cambodia,2000,112
Cambodia,2001,114
Cambodia,2002,120
Cambodia,2003,123
Cambodia,2004,135
Cambodia,2005,137
Cambodia,2006,145
Cambodia,2007,138
Cambodia,2008,133
Cambodia,2009,105
Cambodia,2010,114
Cambodia,2011,114
Cameroon,1960,69
Cameroon,1961,64
Cameroon,1962,66
Cameroon,1963,52
Cameroon,1964,53
Cameroon,1965,56
Cameroon,1966,52
Cameroon,1967,50
Cameroon,1968,55
Cameroon,1969,54
Cameroon,1970,59
Cameroon,1971,58
Cameroon,1972,58
Cameroon,1973,59
Cameroon,1974,59
Cameroon,1975,59
Cameroon,1976,61
Cameroon,1977,59
Cameroon,1978,60
Cameroon,1979,58
Cameroon,1980,53
Cameroon,1981,50
Cameroon,1982,46
Cameroon,1983,45
Cameroon,1984,47
Cameroon,1985,45
Cameroon,1986,39
Cameroon,1987,38
Cameroon,1988,42
Cameroon,1989,43
Cameroon,1990,41
Cameroon,1991,38
Cameroon,1992,39
Cameroon,1993,36
Cameroon,1994,40
Cameroon,1995,41
Cameroon,1996,42
Cameroon,1997,40
Cameroon,1998,39
Cameroon,1999,39
Cameroon,2000,43
Cameroon,2001,45
Cameroon,2002,41
Cameroon,2003,41
Cameroon,2004,39
Cameroon,2005,42
Cameroon,2006,44
Cameroon,2007,49
Cameroon,2008,52
Cameroon,2009,37
Cameroon,2010,40
Cameroon,2011,42
Canada,1950,41
Canada,1951,44
Canada,1952,40
Canada,1953,39
Canada,1954,37
Canada,1955,39
Canada,1956,40
Canada,1957,38
Canada,1958,35
Canada,1959,36
Canada,1960,35
Canada,1961,36
Canada,1962,36
Canada,1963,36
Canada,1964,37
Canada,1965,37
Canada,1966,39
Canada,1967,40
Canada,1968,41
Canada,1969,42
Canada,1970,42
Canada,1971,41
Canada,1972,42
Canada,1973,45
Canada,1974,49
Canada,1975,47
Canada,1976,45
Canada,1977,47
Canada,1978,50
Canada,1979,53
Canada,1980,54
Canada,1981,53
Canada,1982,47
Canada,1983,48
Canada,1984,54
Canada,1985,54
Canada,1986,55
Canada,1987,52
Canada,1988,53
Canada,1989,51
Canada,1990,52
Canada,1991,51
Canada,1992,55
Canada,1993,60
Canada,1994,67
Canada,1995,71
Canada,1996,73
Canada,1997,77
Canada,1998,81
Canada,1999,83
Canada,2000,85
Canada,2001,81
Canada,2002,79
Canada,2003,72
Canada,2004,73
Canada,2005,72
Canada,2006,70
Canada,2007,68
Canada,2008,69
Canada,2009,59
Canada,2010,61
Canada,2011,64
Cape Verde,1960,140
Cape Verde,1961,87
Cape Verde,1962,94
Cape Verde,1963,112
Cape Verde,1964,112
Cape Verde,1965,112
Cape Verde,1966,97
Cape Verde,1967,95
Cape Verde,1968,94
Cape Verde,1969,102
Cape Verde,1970,93
Cape Verde,1971,93
Cape Verde,1972,93
Cape Verde,1973,94
Cape Verde,1974,94
Cape Verde,1975,92
Cape Verde,1976,92
Cape Verde,1977,94
Cape Verde,1978,95
Cape Verde,1979,96
Cape Verde,1980,84
Cape Verde,1981,92
Cape Verde,1982,102
Cape Verde,1983,102
Cape Verde,1984,100
Cape Verde,1985,102
Cape Verde,1986,93
Cape Verde,1987,84
Cape Verde,1988,76
Cape Verde,1989,81
Cape Verde,1990,86
Cape Verde,1991,81
Cape Verde,1992,84
Cape Verde,1993,82
Cape Verde,1994,86
Cape Verde,1995,83
Cape Verde,1996,80
Cape Verde,1997,88
Cape Verde,1998,77
Cape Verde,1999,78
Cape Verde,2000,82
Cape Verde,2001,80
Cape Verde,2002,89
Cape Verde,2003,71
Cape Verde,2004,76
Cape Verde,2005,76
Cape Verde,2006,80
Cape Verde,2007,87
Cape Verde,2008,89
Cape Verde,2009,76
Cape Verde,2010,76
Cape Verde,2011,82
Cayman Islands,1970,143
Cayman Islands,1971,143
Cayman Islands,1972,143
Cayman Islands,1973,143
Cayman Islands,1974,143
Cayman Islands,1975,143
Cayman Islands,1976,143
Cayman Islands,1977,143
Cayman Islands,1978,143
Cayman Islands,1979,143
Cayman Islands,1980,143
Cayman Islands,1981,142
Cayman Islands,1982,142
Cayman Islands,1983,147
Cayman Islands,1984,142
Cayman Islands,1985,140
Cayman Islands,1986,139
Cayman Islands,1987,144
Cayman Islands,1988,134
Cayman Islands,1989,129
Cayman Islands,1990,123
Cayman Islands,1991,112
Cayman Islands,1992,128
Cayman Islands,1993,125
Cayman Islands,1994,123
Cayman Islands,1995,122
Cayman Islands,1996,122
Cayman Islands,1997,124
Cayman Islands,1998,123
Cayman Islands,1999,123
Cayman Islands,2000,123
Cayman Islands,2001,123
Cayman Islands,2002,123
Cayman Islands,2003,123
Cayman Islands,2004,123
Cayman Islands,2005,123
Cayman Islands,2006,123
Cayman Islands,2007,123
Cayman Islands,2008,123
Cayman Islands,2009,123
Cayman Islands,2010,123
Cayman Islands,2011,123
Central African Republic,1960,57
Central African Republic,1961,62
Central African Republic,1962,62
Central African Republic,1963,64
Central African Republic,1964,69
Central African Republic,1965,65
Central African Republic,1966,71
Central African Republic,1967,73
Central African Republic,1968,74
Central African Republic,1969,65
Central African Republic,1970,74
Central African Republic,1971,67
Central African Republic,1972,59
Central African Republic,1973,65
Central African Republic,1974,71
Central African Republic,1975,61
Central African Republic,1976,52
Central African Republic,1977,60
Central African Republic,1978,57
Central African Republic,1979,58
Central African Republic,1980,66
Central African Republic,1981,58
Central African Republic,1982,56
Central African Republic,1983,61
Central African Republic,1984,59
Central African Republic,1985,54
Central African Republic,1986,47
Central African Republic,1987,46
Central African Republic,1988,43
Central African Republic,1989,47
Central African Republic,1990,43
Central African Republic,1991,44
Central African Republic,1992,43
Central African Republic,1993,40
Central African Republic,1994,48
Central African Republic,1995,50
Central African Republic,1996,47
Central African Republic,1997,56
Central African Republic,1998,51
Central African Republic,1999,43
Central African Republic,2000,46
Central African Republic,2001,40
Central African Republic,2002,36
Central African Republic,2003,36
Central African Republic,2004,33
Central African Republic,2005,35
Central African Republic,2006,37
Central African Republic,2007,38
Central African Republic,2008,34
Central African Republic,2009,31
Central African Republic,2010,33
Central African Republic,2011,33
Chad,1960,43
Chad,1961,46
Chad,1962,47
Chad,1963,45
Chad,1964,50
Chad,1965,42
Chad,1966,43
Chad,1967,43
Chad,1968,44
Chad,1969,40
Chad,1970,49
Chad,1971,47
Chad,1972,49
Chad,1973,55
Chad,1974,56
Chad,1975,47
Chad,1976,52
Chad,1977,51
Chad,1978,51
Chad,1979,50
Chad,1980,51
Chad,1981,52
Chad,1982,48
Chad,1983,52
Chad,1984,57
Chad,1985,36
Chad,1986,62
Chad,1987,72
Chad,1988,48
Chad,1989,52
Chad,1990,44
Chad,1991,32
Chad,1992,52
Chad,1993,56
Chad,1994,56
Chad,1995,60
Chad,1996,55
Chad,1997,58
Chad,1998,57
Chad,1999,58
Chad,2000,63
Chad,2001,70
Chad,2002,83
Chad,2003,75
Chad,2004,82
Chad,2005,80
Chad,2006,79
Chad,2007,77
Chad,2008,76
Chad,2009,65
Chad,2010,70
Chad,2011,73
Chile,1951,45
Chile,1952,46
Chile,1953,32
Chile,1954,28
Chile,1955,33
Chile,1956,40
Chile,1957,49
Chile,1958,40
Chile,1959,47
Chile,1960,48
Chile,1961,38
Chile,1962,32
Chile,1963,21
Chile,1964,30
Chile,1965,27
Chile,1966,30
Chile,1967,28
Chile,1968,27
Chile,1969,31
Chile,1970,28
Chile,1971,23
Chile,1972,23
Chile,1973,29
Chile,1974,39
Chile,1975,51
Chile,1976,44
Chile,1977,41
Chile,1978,43
Chile,1979,47
Chile,1980,48
Chile,1981,41
Chile,1982,40
Chile,1983,44
Chile,1984,45
Chile,1985,50
Chile,1986,51
Chile,1987,53
Chile,1988,57
Chile,1989,62
Chile,1990,61
Chile,1991,57
Chile,1992,55
Chile,1993,53
Chile,1994,53
Chile,1995,55
Chile,1996,55
Chile,1997,55
Chile,1998,54
Chile,1999,55
Chile,2000,60
Chile,2001,63
Chile,2002,64
Chile,2003,67
Chile,2004,70
Chile,2005,72
Chile,2006,74
Chile,2007,77
Chile,2008,81
Chile,2009,67
Chile,2010,70
Chile,2011,73
China,1952,6
China,1953,5
China,1954,6
China,1955,5
China,1956,6
China,1957,6
China,1958,6
China,1959,7
China,1960,9
China,1961,8
China,1962,7
China,1963,8
China,1964,7
China,1965,7
China,1966,7
China,1967,7
China,1968,7
China,1969,6
China,1970,5
China,1971,6
China,1972,7
China,1973,8
China,1974,10
China,1975,9
China,1976,9
China,1977,9
China,1978,14
China,1979,17
China,1980,21
China,1981,24
China,1982,21
China,1983,19
China,1984,20
China,1985,22
China,1986,22
China,1987,28
China,1988,30
China,1989,28
China,1990,28
China,1991,31
China,1992,30
China,1993,28
China,1994,39
China,1995,36
China,1996,36
China,1997,38
China,1998,36
China,1999,37
China,2000,44
China,2001,43
China,2002,48
China,2003,57
China,2004,65
China,2005,68
China,2006,69
China,2007,68
China,2008,62
China,2009,48
China,2010,55
China,2011,58
Colombia,1950,15
Colombia,1951,19
Colombia,1952,19
Colombia,1953,22
Colombia,1954,21
Colombia,1955,19
Colombia,1956,18
Colombia,1957,21
Colombia,1958,25
Colombia,1959,23
Colombia,1960,22
Colombia,1961,20
Colombia,1962,18
Colombia,1963,18
Colombia,1964,18
Colombia,1965,16
Colombia,1966,20
Colombia,1967,17
Colombia,1968,20
Colombia,1969,20
Colombia,1970,23
Colombia,1971,23
Colombia,1972,21
Colombia,1973,22
Colombia,1974,25
Colombia,1975,24
Colombia,1976,24
Colombia,1977,24
Colombia,1978,24
Colombia,1979,23
Colombia,1980,25
Colombia,1981,22
Colombia,1982,21
Colombia,1983,19
Colombia,1984,20
Colombia,1985,21
Colombia,1986,25
Colombia,1987,24
Colombia,1988,24
Colombia,1989,25
Colombia,1990,28
Colombia,1991,27
Colombia,1992,27
Colombia,1993,29
Colombia,1994,29
Colombia,1995,29
Colombia,1996,29
Colombia,1997,29
Colombia,1998,29
Colombia,1999,29
Colombia,2000,33
Colombia,2001,34
Colombia,2002,33
Colombia,2003,37
Colombia,2004,36
Colombia,2005,36
Colombia,2006,38
Colombia,2007,36
Colombia,2008,38
Colombia,2009,34
Colombia,2010,34
Colombia,2011,39
Comoros,1960,62
Comoros,1961,54
Comoros,1962,50
Comoros,1963,59
Comoros,1964,53
Comoros,1965,58
Comoros,1966,56
Comoros,1967,48
Comoros,1968,41
Comoros,1969,48
Comoros,1970,62
Comoros,1971,62
Comoros,1972,62
Comoros,1973,62
Comoros,1974,62
Comoros,1975,62
Comoros,1976,63
Comoros,1977,62
Comoros,1978,62
Comoros,1979,64
Comoros,1980,61
Comoros,1981,61
Comoros,1982,70
Comoros,1983,74
Comoros,1984,65
Comoros,1985,67
Comoros,1986,58
Comoros,1987,58
Comoros,1988,60
Comoros,1989,54
Comoros,1990,49
Comoros,1991,54
Comoros,1992,60
Comoros,1993,58
Comoros,1994,67
Comoros,1995,64
Comoros,1996,60
Comoros,1997,61
Comoros,1998,47
Comoros,1999,47
Comoros,2000,49
Comoros,2001,46
Comoros,2002,46
Comoros,2003,49
Comoros,2004,48
Comoros,2005,50
Comoros,2006,53
Comoros,2007,56
Comoros,2008,63
Comoros,2009,62
Comoros,2010,65
Comoros,2011,66
Congo,1960,71
Congo,1961,66
Congo,1962,69
Congo,1963,74
Congo,1964,75
Congo,1965,71
Congo,1966,62
Congo,1967,65
Congo,1968,66
Congo,1969,68
Congo,1970,71
Congo,1971,81
Congo,1972,78
Congo,1973,77
Congo,1974,95
Congo,1975,86
Congo,1976,89
Congo,1977,97
Congo,1978,89
Congo,1979,95
Congo,1980,107
Congo,1981,118
Congo,1982,124
Congo,1983,110
Congo,1984,107
Congo,1985,102
Congo,1986,94
Congo,1987,80
Congo,1988,81
Congo,1989,83
Congo,1990,89
Congo,1991,81
Congo,1992,85
Congo,1993,85
Congo,1994,131
Congo,1995,121
Congo,1996,115
Congo,1997,137
Congo,1998,145
Congo,1999,127
Congo,2000,122
Congo,2001,125
Congo,2002,122
Congo,2003,121
Congo,2004,119
Congo,2005,120
Congo,2006,120
Congo,2007,140
Congo,2008,162
Congo,2009,144
Congo,2010,140
Congo,2011,143
Cook Islands,1970,219
Cook Islands,1971,195
Cook Islands,1972,189
Cook Islands,1973,192
Cook Islands,1974,192
Cook Islands,1975,210
Cook Islands,1976,215
Cook Islands,1977,214
Cook Islands,1978,212
Cook Islands,1979,238
Cook Islands,1980,228
Cook Islands,1981,241
Cook Islands,1982,211
Cook Islands,1983,220
Cook Islands,1984,216
Cook Islands,1985,210
Cook Islands,1986,218
Cook Islands,1987,246
Cook Islands,1988,176
Cook Islands,1989,153
Cook Islands,1990,187
Cook Islands,1991,172
Cook Islands,1992,151
Cook Islands,1993,149
Cook Islands,1994,125
Cook Islands,1995,121
Cook Islands,1996,121
Cook Islands,1997,140
Cook Islands,1998,132
Cook Islands,1999,156
Cook Islands,2000,158
Cook Islands,2001,148
Cook Islands,2002,132
Cook Islands,2003,133
Cook Islands,2004,125
Cook Islands,2005,136
Cook Islands,2006,145
Cook Islands,2007,168
Cook Islands,2008,157
Cook Islands,2009,156
Cook Islands,2010,160
Cook Islands,2011,158
Costa Rica,1950,46
Costa Rica,1951,47
Costa Rica,1952,50
Costa Rica,1953,48
Costa Rica,1954,47
Costa Rica,1955,46
Costa Rica,1956,45
Costa Rica,1957,47
Costa Rica,1958,46
Costa Rica,1959,42
Costa Rica,1960,43
Costa Rica,1961,43
Costa Rica,1962,45
Costa Rica,1963,46
Costa Rica,1964,49
Costa Rica,1965,51
Costa Rica,1966,51
Costa Rica,1967,51
Costa Rica,1968,55
Costa Rica,1969,54
Costa Rica,1970,57
Costa Rica,1971,59
Costa Rica,1972,61
Costa Rica,1973,62
Costa Rica,1974,75
Costa Rica,1975,63
Costa Rica,1976,58
Costa Rica,1977,61
Costa Rica,1978,59
Costa Rica,1979,59
Costa Rica,1980,58
Costa Rica,1981,83
Costa Rica,1982,79
Costa Rica,1983,66
Costa Rica,1984,62
Costa Rica,1985,58
Costa Rica,1986,56
Costa Rica,1987,62
Costa Rica,1988,64
Costa Rica,1989,67
Costa Rica,1990,69
Costa Rica,1991,71
Costa Rica,1992,75
Costa Rica,1993,78
Costa Rica,1994,77
Costa Rica,1995,78
Costa Rica,1996,82
Costa Rica,1997,85
Costa Rica,1998,98
Costa Rica,1999,98
Costa Rica,2000,94
Costa Rica,2001,86
Costa Rica,2002,90
Costa Rica,2003,95
Costa Rica,2004,96
Costa Rica,2005,102
Costa Rica,2006,104
Costa Rica,2007,102
Costa Rica,2008,101
Costa Rica,2009,84
Costa Rica,2010,78
Costa Rica,2011,80
Cote d'Ivoire,1960,62
Cote d'Ivoire,1961,70
Cote d'Ivoire,1962,65
Cote d'Ivoire,1963,62
Cote d'Ivoire,1964,66
Cote d'Ivoire,1965,74
Cote d'Ivoire,1966,72
Cote d'Ivoire,1967,71
Cote d'Ivoire,1968,75
Cote d'Ivoire,1969,70
Cote d'Ivoire,1970,71
Cote d'Ivoire,1971,71
Cote d'Ivoire,1972,72
Cote d'Ivoire,1973,78
Cote d'Ivoire,1974,88
Cote d'Ivoire,1975,77
Cote d'Ivoire,1976,81
Cote d'Ivoire,1977,82
Cote d'Ivoire,1978,77
Cote d'Ivoire,1979,76
Cote d'Ivoire,1980,80
Cote d'Ivoire,1981,81
Cote d'Ivoire,1982,79
Cote d'Ivoire,1983,73
Cote d'Ivoire,1984,77
Cote d'Ivoire,1985,79
Cote d'Ivoire,1986,70
Cote d'Ivoire,1987,63
Cote d'Ivoire,1988,58
Cote d'Ivoire,1989,56
Cote d'Ivoire,1990,53
Cote d'Ivoire,1991,52
Cote d'Ivoire,1992,56
Cote d'Ivoire,1993,53
Cote d'Ivoire,1994,70
Cote d'Ivoire,1995,69
Cote d'Ivoire,1996,75
Cote d'Ivoire,1997,78
Cote d'Ivoire,1998,76
Cote d'Ivoire,1999,71
Cote d'Ivoire,2000,74
Cote d'Ivoire,2001,74
Cote d'Ivoire,2002,80
Cote d'Ivoire,2003,75
Cote d'Ivoire,2004,85
Cote d'Ivoire,2005,93
Cote d'Ivoire,2006,98
Cote d'Ivoire,2007,92
Cote d'Ivoire,2008,91
Cote d'Ivoire,2009,92
Cote d'Ivoire,2010,87
Cote d'Ivoire,2011,83
Croatia,1990,108
Croatia,1991,136
Croatia,1992,98
Croatia,1993,91
Croatia,1994,79
Croatia,1995,76
Croatia,1996,77
Croatia,1997,84
Croatia,1998,77
Croatia,1999,79
Croatia,2000,86
Croatia,2001,91
Croatia,2002,90
Croatia,2003,93
Croatia,2004,92
Croatia,2005,91
Croatia,2006,92
Croatia,2007,92
Croatia,2008,92
Croatia,2009,77
Croatia,2010,79
Croatia,2011,84
Cuba,1970,77
Cuba,1971,77
Cuba,1972,77
Cuba,1973,77
Cuba,1974,77
Cuba,1975,77
Cuba,1976,77
Cuba,1977,77
Cuba,1978,77
Cuba,1979,77
Cuba,1980,77
Cuba,1981,77
Cuba,1982,77
Cuba,1983,77
Cuba,1984,76
Cuba,1985,79
Cuba,1986,76
Cuba,1987,77
Cuba,1988,75
Cuba,1989,76
Cuba,1990,71
Cuba,1991,51
Cuba,1992,35
Cuba,1993,29
Cuba,1994,28
Cuba,1995,29
Cuba,1996,33
Cuba,1997,33
Cuba,1998,33
Cuba,1999,32
Cuba,2000,31
Cuba,2001,29
Cuba,2002,25
Cuba,2003,27
Cuba,2004,31
Cuba,2005,39
Cuba,2006,37
Cuba,2007,38
Cuba,2008,45
Cuba,2009,33
Cuba,2010,40
Cuba,2011,39
Cyprus,1950,57
Cyprus,1951,70
Cyprus,1952,57
Cyprus,1953,52
Cyprus,1954,60
Cyprus,1955,62
Cyprus,1956,71
Cyprus,1957,73
Cyprus,1958,75
Cyprus,1959,78
Cyprus,1960,78
Cyprus,1961,75
Cyprus,1962,76
Cyprus,1963,77
Cyprus,1964,70
Cyprus,1965,73
Cyprus,1966,76
Cyprus,1967,75
Cyprus,1968,83
Cyprus,1969,85
Cyprus,1970,88
Cyprus,1971,86
Cyprus,1972,88
Cyprus,1973,96
Cyprus,1974,99
Cyprus,1975,95
Cyprus,1976,117
Cyprus,1977,120
Cyprus,1978,109
Cyprus,1979,113
Cyprus,1980,113
Cyprus,1981,118
Cyprus,1982,120
Cyprus,1983,119
Cyprus,1984,127
Cyprus,1985,112
Cyprus,1986,98
Cyprus,1987,102
Cyprus,1988,106
Cyprus,1989,116
Cyprus,1990,113
Cyprus,1991,109
Cyprus,1992,115
Cyprus,1993,99
Cyprus,1994,100
Cyprus,1995,101
Cyprus,1996,105
Cyprus,1997,106
Cyprus,1998,101
Cyprus,1999,102
Cyprus,2000,111
Cyprus,2001,111
Cyprus,2002,104
Cyprus,2003,96
Cyprus,2004,99
Cyprus,2005,100
Cyprus,2006,100
Cyprus,2007,103
Cyprus,2008,103
Cyprus,2009,87
Cyprus,2010,90
Cyprus,2011,89
Czech Republic,1990,76
Czech Republic,1991,85
Czech Republic,1992,94
Czech Republic,1993,94
Czech Republic,1994,91
Czech Republic,1995,100
Czech Republic,1996,98
Czech Republic,1997,104
Czech Republic,1998,105
Czech Republic,1999,107
Czech Republic,2000,124
Czech Republic,2001,127
Czech Republic,2002,116
Czech Republic,2003,119
Czech Republic,2004,125
Czech Republic,2005,126
Czech Republic,2006,131
Czech Republic,2007,134
Czech Republic,2008,127
Czech Republic,2009,114
Czech Republic,2010,130
Czech Republic,2011,141
Democratic Republic of Congo,1950,82
Democratic Republic of Congo,1951,85
Democratic Republic of Congo,1952,89
Democratic Republic of Congo,1953,79
Democratic Republic of Congo,1954,85
Democratic Republic of Congo,1955,85
Democratic Republic of Congo,1956,89
Democratic Republic of Congo,1957,88
Democratic Republic of Congo,1958,78
Democratic Republic of Congo,1959,80
Democratic Republic of Congo,1960,99
Democratic Republic of Congo,1961,51
Democratic Republic of Congo,1962,40
Democratic Republic of Congo,1963,159
Democratic Republic of Congo,1964,176
Democratic Republic of Congo,1965,135
Democratic Republic of Congo,1966,160
Democratic Republic of Congo,1967,78
Democratic Republic of Congo,1968,74
Democratic Republic of Congo,1969,69
Democratic Republic of Congo,1970,87
Democratic Republic of Congo,1971,80
Democratic Republic of Congo,1972,78
Democratic Republic of Congo,1973,82
Democratic Republic of Congo,1974,98
Democratic Republic of Congo,1975,73
Democratic Republic of Congo,1976,83
Democratic Republic of Congo,1977,87
Democratic Republic of Congo,1978,49
Democratic Republic of Congo,1979,46
Democratic Republic of Congo,1980,73
Democratic Republic of Congo,1981,77
Democratic Republic of Congo,1982,63
Democratic Republic of Congo,1983,75
Democratic Republic of Congo,1984,133
Democratic Republic of Congo,1985,133
Democratic Republic of Congo,1986,121
Democratic Republic of Congo,1987,151
Democratic Republic of Congo,1988,168
Democratic Republic of Congo,1989,50
Democratic Republic of Congo,1990,59
Democratic Republic of Congo,1991,45
Democratic Republic of Congo,1992,34
Democratic Republic of Congo,1993,20
Democratic Republic of Congo,1994,43
Democratic Republic of Congo,1995,52
Democratic Republic of Congo,1996,60
Democratic Republic of Congo,1997,34
Democratic Republic of Congo,1998,63
Democratic Republic of Congo,1999,41
Democratic Republic of Congo,2000,43
Democratic Republic of Congo,2001,39
Democratic Republic of Congo,2002,46
Democratic Republic of Congo,2003,55
Democratic Republic of Congo,2004,65
Democratic Republic of Congo,2005,79
Democratic Republic of Congo,2006,80
Democratic Republic of Congo,2007,134
Democratic Republic of Congo,2008,135
Democratic Republic of Congo,2009,107
Democratic Republic of Congo,2010,145
Democratic Republic of Congo,2011,139
Denmark,1950,59
Denmark,1951,68
Denmark,1952,64
Denmark,1953,62
Denmark,1954,65
Denmark,1955,67
Denmark,1956,68
Denmark,1957,68
Denmark,1958,67
Denmark,1959,67
Denmark,1960,67
Denmark,1961,63
Denmark,1962,62
Denmark,1963,62
Denmark,1964,63
Denmark,1965,62
Denmark,1966,60
Denmark,1967,58
Denmark,1968,58
Denmark,1969,58
Denmark,1970,60
Denmark,1971,58
Denmark,1972,56
Denmark,1973,60
Denmark,1974,67
Denmark,1975,62
Denmark,1976,63
Denmark,1977,62
Denmark,1978,59
Denmark,1979,63
Denmark,1980,68
Denmark,1981,74
Denmark,1982,74
Denmark,1983,72
Denmark,1984,74
Denmark,1985,75
Denmark,1986,67
Denmark,1987,64
Denmark,1988,66
Denmark,1989,70
Denmark,1990,70
Denmark,1991,72
Denmark,1992,69
Denmark,1993,68
Denmark,1994,70
Denmark,1995,71
Denmark,1996,71
Denmark,1997,74
Denmark,1998,74
Denmark,1999,76
Denmark,2000,87
Denmark,2001,88
Denmark,2002,89
Denmark,2003,84
Denmark,2004,86
Denmark,2005,93
Denmark,2006,101
Denmark,2007,102
Denmark,2008,106
Denmark,2009,91
Denmark,2010,95
Denmark,2011,102
Djibouti,1970,86
Djibouti,1971,86
Djibouti,1972,85
Djibouti,1973,86
Djibouti,1974,86
Djibouti,1975,84
Djibouti,1976,88
Djibouti,1977,88
Djibouti,1978,75
Djibouti,1979,96
Djibouti,1980,90
Djibouti,1981,99
Djibouti,1982,111
Djibouti,1983,115
Djibouti,1984,128
Djibouti,1985,140
Djibouti,1986,132
Djibouti,1987,130
Djibouti,1988,123
Djibouti,1989,117
Djibouti,1990,191
Djibouti,1991,196
Djibouti,1992,121
Djibouti,1993,124
Djibouti,1994,106
Djibouti,1995,95
Djibouti,1996,97
Djibouti,1997,100
Djibouti,1998,106
Djibouti,1999,94
Djibouti,2000,107
Djibouti,2001,110
Djibouti,2002,119
Djibouti,2003,119
Djibouti,2004,115
Djibouti,2005,117
Djibouti,2006,114
Djibouti,2007,108
Djibouti,2008,97
Djibouti,2009,94
Djibouti,2010,100
Djibouti,2011,97
Dominica,1970,95
Dominica,1971,99
Dominica,1972,95
Dominica,1973,92
Dominica,1974,92
Dominica,1975,88
Dominica,1976,85
Dominica,1977,85
Dominica,1978,90
Dominica,1979,99
Dominica,1980,96
Dominica,1981,95
Dominica,1982,93
Dominica,1983,85
Dominica,1984,87
Dominica,1985,81
Dominica,1986,86
Dominica,1987,88
Dominica,1988,94
Dominica,1989,96
Dominica,1990,105
Dominica,1991,105
Dominica,1992,98
Dominica,1993,92
Dominica,1994,92
Dominica,1995,99
Dominica,1996,106
Dominica,1997,111
Dominica,1998,104
Dominica,1999,105
Dominica,2000,101
Dominica,2001,87
Dominica,2002,86
Dominica,2003,78
Dominica,2004,83
Dominica,2005,90
Dominica,2006,89
Dominica,2007,92
Dominica,2008,97
Dominica,2009,87
Dominica,2010,95
Dominica,2011,94
Dominican Republic,1951,77
Dominican Republic,1952,80
Dominican Republic,1953,74
Dominican Republic,1954,72
Dominican Republic,1955,78
Dominican Republic,1956,75
Dominican Republic,1957,74
Dominican Republic,1958,75
Dominican Republic,1959,71
Dominican Republic,1960,65
Dominican Republic,1961,58
