Entity,Year,Poverty headcount at $1.90 a day (2011 PPP) (World Bank (WDI) (2015))
Thailand,1990,9.37
Thailand,1992,6.65
Thailand,1994,3.19
Thailand,1996,2.25
Thailand,1998,1.5
Thailand,1999,2.54
Thailand,2000,2.55
Thailand,2002,1.14
Thailand,2004,0.75
Thailand,2006,0.69
Thailand,2007,0.34
Thailand,2008,0.15
Thailand,2009,0.17
Thailand,2010,0.14
Thailand,2011,0.04
Thailand,2012,0.06
Timor,2001,44.22
Timor,2007,46.76
Togo,2006,55.55
Togo,2011,54.18
Tonga,2009,1.09
Trinidad and Tobago,1988,0.67
Trinidad and Tobago,1992,3.41
Tunisia,1985,13.93
Tunisia,1990,9.82
Tunisia,1995,10.86
Tunisia,2000,5.32
Tunisia,2005,3.09
Tunisia,2010,1.99
Turkey,1987,1.61
Turkey,1994,2.57
Turkey,2002,1.71
Turkey,2003,3.74
Turkey,2004,2.12
Turkey,2005,2.48
Turkey,2006,1.88
Turkey,2007,1.43
Turkey,2008,0.36
Turkey,2009,0.87
Turkey,2010,0.78
Turkey,2011,0.28
Turkey,2012,0.26
Turkmenistan,1988,39.4
Turkmenistan,1993,80.85
Turkmenistan,1998,42.26
Uganda,1989,87.95
Uganda,1992,68.11
Uganda,1996,59.6
Uganda,1999,52.13
Uganda,2002,62.21
Uganda,2005,53.18
Uganda,2009,41.46
Uganda,2012,33.24
Ukraine,1988,0.39
Ukraine,1992,1.58
Ukraine,1995,5.38
Ukraine,1996,5.37
Ukraine,1999,8.26
Ukraine,2002,1.67
Ukraine,2003,0.63
Ukraine,2004,0.56
Ukraine,2005,0.26
Ukraine,2006,0.13
Ukraine,2007,0.04
Ukraine,2008,0.01
Ukraine,2009,0.07
Ukraine,2010,0
Ukraine,2011,0
Ukraine,2012,0
Ukraine,2013,0
Upper middle income,1981,63
Upper middle income,1984,55.14
Upper middle income,1987,43.93
Upper middle income,1990,46.26
Upper middle income,1993,39.84
Upper middle income,1996,30.16
Upper middle income,1999,28.95
Upper middle income,2002,23.3
Upper middle income,2005,14.35
Upper middle income,2008,10.69
Upper middle income,2010,8.48
Upper middle income,2011,6.38
Upper middle income,2012,5.42
Uruguay,1981,0
Uruguay,1989,0.7
Uruguay,1992,0.45
Uruguay,1995,0.68
Uruguay,1996,0.81
Uruguay,1997,0.68
Uruguay,1998,0.9
Uruguay,2000,0.57
Uruguay,2001,0.75
Uruguay,2002,1.08
Uruguay,2003,1.31
Uruguay,2004,1.49
Uruguay,2005,1.54
Uruguay,2006,0.89
Uruguay,2007,0.61
Uruguay,2008,0.33
Uruguay,2009,0.34
Uruguay,2010,0.23
Uruguay,2011,0.32
Uruguay,2012,0.4
Uruguay,2013,0.34
Uzbekistan,1988,0
Uzbekistan,1998,45.47
Uzbekistan,2000,68.08
Uzbekistan,2002,65.57
Uzbekistan,2003,66.79
Vanuatu,2010,15.36
Venezuela,1981,1.27
Venezuela,1987,0.82
Venezuela,1989,7.83
Venezuela,1992,4.31
Venezuela,1995,8.56
Venezuela,1998,11.44
Venezuela,1999,10.16
Venezuela,2001,9.59
Venezuela,2002,16.03
Venezuela,2003,20.03
Venezuela,2004,17.46
Venezuela,2005,17.01
Venezuela,2006,9.24
Vietnam,1992,49.21
Vietnam,1998,34.79
Vietnam,2002,38.78
Vietnam,2004,27.12
Vietnam,2006,22.01
Vietnam,2008,16.17
Vietnam,2010,4.78
Vietnam,2012,3.23
World,1981,44.3
World,1984,41.16
World,1987,37.25
World,1990,37.1
World,1993,34.65
World,1996,29.69
World,1999,29.08
World,2002,26.29
World,2005,21.59
World,2008,18.65
World,2010,16.27
World,2011,14.12
World,2012,12.73
Zambia,1991,54.05
Zambia,1993,54.54
Zambia,1996,41.76
Zambia,1998,42.14
Zambia,2002,49.44
Zambia,2004,56.69
Zambia,2006,60.46
Zambia,2010,64.43
