Entity,Year,Human Development Index (Prados de la Escosura)
Gambia,1985,0.15
Gambia,1990,0.16
Gambia,1995,0.17
Gambia,2000,0.19
Gambia,2005,0.20
Gambia,2007,0.21
Gambia,2010,0.24
Gambia,2015,0.25
Georgia,1990,0.53
Georgia,1995,0.46
Georgia,2000,0.48
Georgia,2005,0.50
Georgia,2007,0.52
Georgia,2010,0.52
Georgia,2015,0.58
Germany,1870,0.22
Germany,1880,0.23
Germany,1890,0.27
Germany,1900,0.29
Germany,1913,0.32
Germany,1925,0.34
Germany,1929,0.37
Germany,1933,0.38
Germany,1938,0.41
Germany,1950,0.43
Germany,1955,0.44
Germany,1960,0.47
Germany,1965,0.49
Germany,1970,0.52
Germany,1975,0.55
Germany,1980,0.56
Germany,1985,0.57
Germany,1990,0.60
Germany,1995,0.63
Germany,2000,0.68
Germany,2005,0.70
Germany,2007,0.71
Germany,2010,0.74
Germany,2015,0.80
Ghana,1870,0.02
Ghana,1880,0.03
Ghana,1890,0.03
Ghana,1900,0.04
Ghana,1913,0.05
Ghana,1925,0.06
Ghana,1929,0.06
Ghana,1933,0.06
Ghana,1938,0.07
Ghana,1950,0.12
Ghana,1955,0.14
Ghana,1960,0.15
Ghana,1965,0.17
Ghana,1970,0.18
Ghana,1975,0.19
Ghana,1980,0.20
Ghana,1985,0.21
Ghana,1990,0.23
Ghana,1995,0.25
Ghana,2000,0.25
Ghana,2005,0.27
Ghana,2007,0.27
Ghana,2010,0.29
Ghana,2015,0.33
Greece,1870,0.11
Greece,1880,0.12
Greece,1890,0.13
Greece,1900,0.15
Greece,1913,0.16
Greece,1925,0.20
Greece,1929,0.22
Greece,1933,0.24
Greece,1938,0.26
Greece,1950,0.29
Greece,1955,0.33
Greece,1960,0.35
Greece,1965,0.39
Greece,1970,0.44
Greece,1975,0.46
Greece,1980,0.49
Greece,1985,0.52
Greece,1990,0.54
Greece,1995,0.57
Greece,2000,0.58
Greece,2005,0.66
Greece,2007,0.71
Greece,2010,0.76
Greece,2015,0.75
Guatemala,1913,0.07
Guatemala,1925,0.07
Guatemala,1929,0.07
Guatemala,1933,0.07
Guatemala,1938,0.09
Guatemala,1950,0.14
Guatemala,1955,0.15
Guatemala,1960,0.16
Guatemala,1965,0.19
Guatemala,1970,0.20
Guatemala,1975,0.22
Guatemala,1980,0.24
Guatemala,1985,0.26
Guatemala,1990,0.28
Guatemala,1995,0.30
Guatemala,2000,0.34
Guatemala,2005,0.36
Guatemala,2007,0.39
Guatemala,2010,0.40
Guatemala,2015,0.41
Guinea,1870,0.02
Guinea,1880,0.02
Guinea,1890,0.02
Guinea,1900,0.02
Guinea,1913,0.02
Guinea,1925,0.03
Guinea,1929,0.03
Guinea,1933,0.03
Guinea,1938,0.04
Guinea,1950,0.04
Guinea,1955,0.05
Guinea,1960,0.06
Guinea,1965,0.08
Guinea,1970,0.09
Guinea,1975,0.10
Guinea,1980,0.12
Guinea,1985,0.13
Guinea,1990,0.13
Guinea,1995,0.13
Guinea,2000,0.15
Guinea,2005,0.17
Guinea,2007,0.19
Guinea,2010,0.18
Guinea,2015,0.19
Guinea-Bissau,1870,0.02
Guinea-Bissau,1880,0.02
Guinea-Bissau,1890,0.02
Guinea-Bissau,1900,0.02
Guinea-Bissau,1913,0.02
Guinea-Bissau,1925,0.02
Guinea-Bissau,1929,0.02
Guinea-Bissau,1933,0.02
Guinea-Bissau,1938,0.02
Guinea-Bissau,1950,0.04
Guinea-Bissau,1955,0.06
Guinea-Bissau,1960,0.07
Guinea-Bissau,1965,0.09
Guinea-Bissau,1970,0.10
Guinea-Bissau,1975,0.11
Guinea-Bissau,1980,0.12
Guinea-Bissau,1985,0.13
Guinea-Bissau,1990,0.13
Guinea-Bissau,1995,0.15
Guinea-Bissau,2000,0.16
Guinea-Bissau,2005,0.18
Guinea-Bissau,2007,0.20
Guinea-Bissau,2010,0.21
Guinea-Bissau,2015,0.23
Guyana,1950,0.24
Guyana,1955,0.27
Guyana,1960,0.30
Guyana,1965,0.33
Guyana,1970,0.33
Guyana,1975,0.35
Guyana,1980,0.36
Guyana,1985,0.35
Guyana,1990,0.36
Guyana,1995,0.38
Guyana,2000,0.42
Guyana,2005,0.44
Guyana,2007,0.45
Guyana,2010,0.39
Guyana,2015,0.39
Haiti,1950,0.09
Haiti,1955,0.11
Haiti,1960,0.12
Haiti,1965,0.13
Haiti,1970,0.14
Haiti,1975,0.16
Haiti,1980,0.17
Haiti,1985,0.18
Haiti,1990,0.20
Haiti,1995,0.22
Haiti,2000,0.23
Haiti,2005,0.23
Haiti,2007,0.23
Haiti,2010,0.23
Haiti,2015,0.25
Honduras,1913,0.09
Honduras,1925,0.09
Honduras,1929,0.11
Honduras,1933,0.10
Honduras,1938,0.11
Honduras,1950,0.15
Honduras,1955,0.16
Honduras,1960,0.18
Honduras,1965,0.20
Honduras,1970,0.22
Honduras,1975,0.23
Honduras,1980,0.26
Honduras,1985,0.29
Honduras,1990,0.32
Honduras,1995,0.33
Honduras,2000,0.35
Honduras,2005,0.39
Honduras,2007,0.41
Honduras,2010,0.42
Honduras,2015,0.43
Hong Kong,1870,0.05
Hong Kong,1913,0.08
Hong Kong,1950,0.23
Hong Kong,1955,0.27
Hong Kong,1960,0.31
Hong Kong,1965,0.35
Hong Kong,1970,0.37
Hong Kong,1975,0.41
Hong Kong,1980,0.45
Hong Kong,1985,0.48
Hong Kong,1990,0.53
Hong Kong,1995,0.56
Hong Kong,2000,0.59
Hong Kong,2005,0.66
Hong Kong,2007,0.67
Hong Kong,2010,0.74
Hong Kong,2015,0.80
Hungary,1870,0.10
Hungary,1880,0.13
Hungary,1890,0.15
Hungary,1900,0.17
Hungary,1913,0.19
Hungary,1925,0.23
Hungary,1929,0.26
Hungary,1933,0.28
Hungary,1938,0.30
Hungary,1950,0.35
Hungary,1955,0.39
Hungary,1960,0.43
Hungary,1965,0.46
Hungary,1970,0.45
Hungary,1975,0.46
Hungary,1980,0.46
Hungary,1985,0.49
Hungary,1990,0.49
Hungary,1995,0.49
Hungary,2000,0.52
Hungary,2005,0.58
Hungary,2007,0.60
Hungary,2010,0.60
Hungary,2015,0.62
Iceland,1980,0.59
Iceland,1985,0.61
Iceland,1990,0.63
Iceland,1995,0.66
Iceland,2000,0.71
Iceland,2005,0.79
Iceland,2007,0.81
Iceland,2010,0.83
Iceland,2015,0.90
India,1870,0.03
India,1880,0.03
India,1890,0.04
India,1900,0.04
India,1913,0.04
India,1925,0.06
India,1929,0.07
India,1933,0.07
India,1938,0.08
India,1950,0.11
India,1955,0.12
India,1960,0.14
India,1965,0.16
India,1970,0.17
India,1975,0.18
India,1980,0.20
India,1985,0.21
India,1990,0.23
India,1995,0.25
India,2000,0.27
India,2005,0.29
India,2007,0.31
India,2010,0.33
India,2015,0.38
Indonesia,1870,0.02
Indonesia,1880,0.02
Indonesia,1890,0.02
Indonesia,1900,0.02
Indonesia,1913,0.04
Indonesia,1925,0.06
Indonesia,1929,0.07
Indonesia,1933,0.07
Indonesia,1938,0.08
Indonesia,1950,0.10
Indonesia,1955,0.13
Indonesia,1960,0.15
Indonesia,1965,0.17
Indonesia,1970,0.20
Indonesia,1975,0.22
Indonesia,1980,0.25
Indonesia,1985,0.29
Indonesia,1990,0.33
Indonesia,1995,0.35
Indonesia,2000,0.38
Indonesia,2005,0.41
Indonesia,2007,0.43
Indonesia,2010,0.45
Indonesia,2015,0.47
Iran,1870,0.03
Iran,1913,0.04
Iran,1950,0.12
Iran,1955,0.12
Iran,1960,0.15
Iran,1965,0.18
Iran,1970,0.22
Iran,1975,0.25
Iran,1980,0.28
Iran,1985,0.29
Iran,1990,0.33
Iran,1995,0.36
Iran,2000,0.39
Iran,2005,0.42
Iran,2007,0.42
Iran,2010,0.44
Iran,2015,0.51
Iraq,1870,0.03
Iraq,1913,0.04
Iraq,1950,0.11
Iraq,1955,0.14
Iraq,1960,0.17
Iraq,1965,0.19
Iraq,1970,0.21
Iraq,1975,0.24
Iraq,1980,0.27
Iraq,1985,0.28
Iraq,1990,0.27
Iraq,1995,0.25
Iraq,2000,0.27
Iraq,2005,0.28
Iraq,2007,0.33
Iraq,2010,0.35
Iraq,2015,0.35
Ireland,1870,0.17
Ireland,1880,0.20
Ireland,1890,0.22
Ireland,1900,0.24
Ireland,1913,0.28
Ireland,1925,0.31
Ireland,1929,0.33
Ireland,1933,0.33
Ireland,1938,0.34
Ireland,1950,0.40
Ireland,1955,0.43
Ireland,1960,0.46
Ireland,1965,0.48
Ireland,1970,0.49
Ireland,1975,0.50
Ireland,1980,0.52
Ireland,1985,0.55
Ireland,1990,0.58
Ireland,1995,0.61
Ireland,2000,0.65
Ireland,2005,0.73
Ireland,2007,0.80
Ireland,2010,0.83
Ireland,2015,0.85
Israel,1950,0.32
Israel,1955,0.37
Israel,1960,0.43
Israel,1965,0.45
Israel,1970,0.45
Israel,1975,0.46
Israel,1980,0.49
Israel,1985,0.53
Israel,1990,0.54
Israel,1995,0.58
Israel,2000,0.63
Israel,2005,0.69
Israel,2007,0.74
Israel,2010,0.75
Israel,2015,0.81
Italy,1870,0.12
Italy,1880,0.13
Italy,1890,0.15
Italy,1900,0.17
Italy,1913,0.20
Italy,1925,0.23
Italy,1929,0.25
Italy,1933,0.26
Italy,1938,0.29
Italy,1950,0.33
Italy,1955,0.36
Italy,1960,0.39
Italy,1965,0.41
Italy,1970,0.48
Italy,1975,0.49
Italy,1980,0.53
Italy,1985,0.54
Italy,1990,0.57
Italy,1995,0.60
Italy,2000,0.65
Italy,2005,0.71
Italy,2007,0.75
Italy,2010,0.76
Italy,2015,0.81
Jamaica,1870,0.08
Jamaica,1880,0.10
Jamaica,1890,0.12
Jamaica,1900,0.13
Jamaica,1913,0.13
Jamaica,1925,0.15
Jamaica,1929,0.17
Jamaica,1933,0.17
Jamaica,1938,0.20
Jamaica,1950,0.26
Jamaica,1955,0.28
Jamaica,1960,0.33
Jamaica,1965,0.36
Jamaica,1970,0.38
Jamaica,1975,0.41
Jamaica,1980,0.41
Jamaica,1985,0.41
Jamaica,1990,0.42
Jamaica,1995,0.43
Jamaica,2000,0.44
Jamaica,2005,0.44
Jamaica,2007,0.45
Jamaica,2010,0.45
Jamaica,2015,0.48
Japan,1870,0.09
Japan,1880,0.13
Japan,1890,0.14
Japan,1900,0.18
Japan,1913,0.21
Japan,1925,0.23
Japan,1929,0.26
Japan,1933,0.28
Japan,1938,0.30
Japan,1950,0.36
Japan,1955,0.42
Japan,1960,0.45
Japan,1965,0.49
Japan,1970,0.52
Japan,1975,0.56
Japan,1980,0.60
Japan,1985,0.63
Japan,1990,0.66
Japan,1995,0.67
Japan,2000,0.72
Japan,2005,0.76
Japan,2007,0.78
Japan,2010,0.80
Japan,2015,0.83
Jordan,1950,0.13
Jordan,1955,0.18
Jordan,1960,0.20
Jordan,1965,0.22
Jordan,1970,0.27
Jordan,1975,0.30
Jordan,1980,0.35
Jordan,1985,0.38
Jordan,1990,0.39
Jordan,1995,0.42
Jordan,2000,0.44
Jordan,2005,0.48
Jordan,2007,0.48
Jordan,2010,0.49
Jordan,2015,0.52
Kazakhstan,1990,0.51
Kazakhstan,1995,0.47
Kazakhstan,2000,0.46
Kazakhstan,2005,0.53
Kazakhstan,2007,0.53
Kazakhstan,2010,0.53
Kazakhstan,2015,0.58
Kenya,1870,0.04
Kenya,1880,0.04
Kenya,1890,0.04
Kenya,1900,0.04
Kenya,1913,0.05
Kenya,1925,0.05
Kenya,1929,0.05
Kenya,1933,0.05
Kenya,1938,0.06
Kenya,1950,0.11
Kenya,1955,0.12
Kenya,1960,0.14
Kenya,1965,0.15
Kenya,1970,0.17
Kenya,1975,0.20
Kenya,1980,0.24
Kenya,1985,0.26
Kenya,1990,0.27
Kenya,1995,0.26
Kenya,2000,0.25
Kenya,2005,0.26
Kenya,2007,0.26
Kenya,2010,0.28
Kenya,2015,0.31
Kuwait,1950,0.19
Kuwait,1955,0.24
Kuwait,1960,0.30
Kuwait,1965,0.33
Kuwait,1970,0.37
Kuwait,1975,0.38
Kuwait,1980,0.41
Kuwait,1985,0.43
Kuwait,1990,0.44
Kuwait,1995,0.43
Kuwait,2000,0.51
Kuwait,2005,0.57
Kuwait,2007,0.55
Kuwait,2010,0.57
Kuwait,2015,0.54
Kyrgyzstan,1990,0.48
Kyrgyzstan,1995,0.43
Kyrgyzstan,2000,0.43
Kyrgyzstan,2005,0.45
Kyrgyzstan,2007,0.46
Kyrgyzstan,2010,0.47
Kyrgyzstan,2015,0.49
Laos,1950,0.08
Laos,1955,0.10
Laos,1960,0.11
Laos,1965,0.11
Laos,1970,0.13
Laos,1975,0.14
Laos,1980,0.19
Laos,1985,0.20
Laos,1990,0.22
Laos,1995,0.24
Laos,2000,0.27
Laos,2005,0.30
Laos,2007,0.31
Laos,2010,0.34
Laos,2015,0.36
Latvia,1980,0.51
Latvia,1985,0.52
Latvia,1990,0.53
Latvia,1995,0.48
Latvia,2000,0.52
Latvia,2005,0.60
Latvia,2007,0.63
Latvia,2010,0.63
Latvia,2015,0.63
Lebanon,1950,0.23
Lebanon,1955,0.25
Lebanon,1960,0.26
Lebanon,1965,0.30
Lebanon,1970,0.33
Lebanon,1975,0.35
Lebanon,1980,0.37
Lebanon,1985,0.37
Lebanon,1990,0.37
Lebanon,1995,0.40
Lebanon,2000,0.44
Lebanon,2005,0.45
Lebanon,2007,0.44
Lebanon,2010,0.47
Lebanon,2015,0.51
Lesotho,1870,0.03
Lesotho,1880,0.04
Lesotho,1890,0.05
Lesotho,1900,0.06
Lesotho,1913,0.06
Lesotho,1925,0.07
Lesotho,1929,0.07
Lesotho,1933,0.09
Lesotho,1938,0.10
Lesotho,1950,0.13
Lesotho,1955,0.14
Lesotho,1960,0.15
Lesotho,1965,0.18
Lesotho,1970,0.19
Lesotho,1975,0.21
Lesotho,1980,0.24
Lesotho,1985,0.25
Lesotho,1990,0.28
Lesotho,1995,0.29
Lesotho,2000,0.27
Lesotho,2005,0.25
Lesotho,2007,0.26
Lesotho,2010,0.25
Lesotho,2015,0.28
Liberia,1870,0.02
Liberia,1880,0.02
Liberia,1890,0.02
Liberia,1900,0.03
Liberia,1913,0.04
Liberia,1925,0.03
Liberia,1929,0.04
Liberia,1933,0.04
Liberia,1938,0.05
Liberia,1950,0.08
Liberia,1955,0.09
Liberia,1960,0.10
Liberia,1965,0.12
Liberia,1970,0.14
Liberia,1975,0.14
Liberia,1980,0.15
Liberia,1985,0.15
Liberia,1990,0.15
Liberia,1995,0.17
Liberia,2000,0.23
Liberia,2005,0.21
Liberia,2007,0.22
Liberia,2010,0.23
Liberia,2015,0.24
Libya,1870,0.03
Libya,1880,0.04
Libya,1890,0.04
Libya,1900,0.04
Libya,1913,0.05
Libya,1925,0.06
Libya,1929,0.07
Libya,1933,0.07
Libya,1938,0.08
Libya,1950,0.11
Libya,1955,0.13
Libya,1960,0.16
Libya,1965,0.20
Libya,1970,0.25
Libya,1975,0.27
Libya,1980,0.33
Libya,1985,0.34
Libya,1990,0.37
Libya,1995,0.42
Libya,2000,0.46
Libya,2005,0.48
Libya,2007,0.51
Libya,2010,0.53
Libya,2015,0.45
Lithuania,1980,0.54
Lithuania,1985,0.53
Lithuania,1990,0.52
Lithuania,1995,0.49
Lithuania,2000,0.53
Lithuania,2005,0.61
Lithuania,2007,0.63
Lithuania,2010,0.64
Lithuania,2015,0.65
Macedonia,1990,0.48
Macedonia,1995,0.43
Macedonia,2000,0.46
Macedonia,2005,0.48
Macedonia,2007,0.49
Macedonia,2010,0.50
Macedonia,2015,0.51
Madagascar,1870,0.04
Madagascar,1880,0.05
Madagascar,1890,0.05
Madagascar,1900,0.06
Madagascar,1913,0.07
Madagascar,1925,0.08
Madagascar,1929,0.09
Madagascar,1933,0.09
Madagascar,1938,0.10
Madagascar,1950,0.12
Madagascar,1955,0.13
Madagascar,1960,0.14
Madagascar,1965,0.16
Madagascar,1970,0.17
Madagascar,1975,0.19
Madagascar,1980,0.20
Madagascar,1985,0.20
Madagascar,1990,0.20
Madagascar,1995,0.20
Madagascar,2000,0.22
Madagascar,2005,0.25
Madagascar,2007,0.25
Madagascar,2010,0.26
Madagascar,2015,0.27
Malawi,1870,0.02
Malawi,1880,0.02
Malawi,1890,0.03
Malawi,1900,0.03
Malawi,1913,0.04
Malawi,1925,0.05
Malawi,1929,0.05
Malawi,1933,0.06
Malawi,1938,0.07
Malawi,1950,0.07
Malawi,1955,0.09
Malawi,1960,0.11
Malawi,1965,0.11
Malawi,1970,0.12
Malawi,1975,0.14
Malawi,1980,0.15
Malawi,1985,0.16
Malawi,1990,0.17
Malawi,1995,0.20
Malawi,2000,0.22
Malawi,2005,0.22
Malawi,2007,0.23
Malawi,2010,0.23
Malawi,2015,0.28
Malaysia,1870,0.03
Malaysia,1880,0.04
Malaysia,1890,0.04
Malaysia,1900,0.05
Malaysia,1913,0.06
Malaysia,1925,0.07
Malaysia,1929,0.09
Malaysia,1933,0.10
Malaysia,1938,0.12
Malaysia,1950,0.18
Malaysia,1955,0.21
Malaysia,1960,0.23
Malaysia,1965,0.24
Malaysia,1970,0.27
Malaysia,1975,0.30
Malaysia,1980,0.33
Malaysia,1985,0.36
Malaysia,1990,0.39
Malaysia,1995,0.42
Malaysia,2000,0.46
Malaysia,2005,0.48
Malaysia,2007,0.50
Malaysia,2010,0.51
Malaysia,2015,0.52
Mali,1870,0.02
Mali,1880,0.02
Mali,1890,0.02
Mali,1900,0.02
Mali,1913,0.02
Mali,1925,0.02
Mali,1929,0.03
Mali,1933,0.03
Mali,1938,0.03
Mali,1950,0.04
Mali,1955,0.05
Mali,1960,0.06
Mali,1965,0.07
Mali,1970,0.08
Mali,1975,0.09
Mali,1980,0.10
Mali,1985,0.10
Mali,1990,0.11
Mali,1995,0.12
Mali,2000,0.14
Mali,2005,0.17
Mali,2007,0.17
Mali,2010,0.18
Mali,2015,0.21
Malta,1980,0.42
Malta,1985,0.45
Malta,1990,0.49
Malta,1995,0.52
Malta,2000,0.56
Malta,2005,0.59
Malta,2007,0.60
Malta,2010,0.62
Malta,2015,0.63
Mauritania,1870,0.02
Mauritania,1880,0.02
Mauritania,1890,0.02
Mauritania,1900,0.02
Mauritania,1913,0.02
Mauritania,1925,0.02
Mauritania,1929,0.02
Mauritania,1933,0.03
Mauritania,1938,0.03
Mauritania,1950,0.04
Mauritania,1955,0.05
Mauritania,1960,0.06
Mauritania,1965,0.09
Mauritania,1970,0.11
Mauritania,1975,0.12
Mauritania,1980,0.15
Mauritania,1985,0.17
Mauritania,1990,0.18
Mauritania,1995,0.19
Mauritania,2000,0.20
Mauritania,2005,0.21
Mauritania,2007,0.22
Mauritania,2010,0.23
Mauritania,2015,0.25
Mauritius,1870,0.05
Mauritius,1880,0.06
Mauritius,1890,0.07
Mauritius,1900,0.08
Mauritius,1913,0.09
Mauritius,1925,0.11
Mauritius,1929,0.12
Mauritius,1933,0.12
Mauritius,1938,0.12
Mauritius,1950,0.21
Mauritius,1955,0.24
Mauritius,1960,0.28
Mauritius,1965,0.30
Mauritius,1970,0.30
Mauritius,1975,0.32
Mauritius,1980,0.34
Mauritius,1985,0.36
Mauritius,1990,0.39
Mauritius,1995,0.41
Mauritius,2000,0.44
Mauritius,2005,0.47
Mauritius,2007,0.49
Mauritius,2010,0.50
Mauritius,2015,0.54
Mexico,1870,0.05
Mexico,1880,0.06
Mexico,1890,0.06
Mexico,1900,0.07
Mexico,1913,0.09
Mexico,1925,0.12
Mexico,1929,0.12
Mexico,1933,0.13
Mexico,1938,0.15
Mexico,1950,0.21
Mexico,1955,0.24
Mexico,1960,0.26
Mexico,1965,0.29
Mexico,1970,0.32
Mexico,1975,0.35
Mexico,1980,0.39
Mexico,1985,0.42
Mexico,1990,0.43
Mexico,1995,0.44
Mexico,2000,0.47
Mexico,2005,0.50
Mexico,2007,0.51
Mexico,2010,0.52
Mexico,2015,0.54
Moldova,1980,0.41
Moldova,1985,0.44
Moldova,1990,0.47
Moldova,1995,0.43
Moldova,2000,0.43
Moldova,2005,0.46
Moldova,2007,0.46
Moldova,2010,0.47
Moldova,2015,0.50
Mongolia,1980,0.32
Mongolia,1985,0.35
Mongolia,1990,0.36
Mongolia,1995,0.34
Mongolia,2000,0.36
Mongolia,2005,0.41
Mongolia,2007,0.42
Mongolia,2010,0.45
Mongolia,2015,0.50
Morocco,1870,0.03
Morocco,1880,0.03
Morocco,1890,0.03
Morocco,1900,0.04
Morocco,1913,0.04
Morocco,1925,0.04
Morocco,1929,0.05
Morocco,1933,0.06
Morocco,1938,0.06
Morocco,1950,0.10
Morocco,1955,0.12
Morocco,1960,0.13
Morocco,1965,0.15
Morocco,1970,0.16
Morocco,1975,0.17
Morocco,1980,0.20
Morocco,1985,0.23
Morocco,1990,0.25
Morocco,1995,0.27
Morocco,2000,0.30
Morocco,2005,0.33
Morocco,2007,0.35
Morocco,2010,0.37
Morocco,2015,0.42
Mozambique,1870,0.03
Mozambique,1880,0.03
Mozambique,1890,0.03
Mozambique,1900,0.03
Mozambique,1913,0.03
Mozambique,1925,0.04
Mozambique,1929,0.04
Mozambique,1933,0.05
Mozambique,1938,0.06
Mozambique,1950,0.06
Mozambique,1955,0.09
Mozambique,1960,0.10
Mozambique,1965,0.10
Mozambique,1970,0.12
Mozambique,1975,0.12
Mozambique,1980,0.15
Mozambique,1985,0.14
Mozambique,1990,0.15
Mozambique,1995,0.16
Mozambique,2000,0.19
Mozambique,2005,0.21
Mozambique,2007,0.23
Mozambique,2010,0.23
Mozambique,2015,0.28
Myanmar,1870,0.04
Myanmar,1880,0.04
Myanmar,1890,0.06
Myanmar,1900,0.06
Myanmar,1913,0.08
Myanmar,1925,0.08
Myanmar,1929,0.09
Myanmar,1933,0.09
Myanmar,1938,0.10
Myanmar,1950,0.10
Myanmar,1955,0.14
Myanmar,1960,0.15
Myanmar,1965,0.17
Myanmar,1970,0.19
Myanmar,1975,0.20
Myanmar,1980,0.23
Myanmar,1985,0.25
Myanmar,1990,0.25
Myanmar,1995,0.27
Myanmar,2000,0.29
Myanmar,2005,0.31
Myanmar,2007,0.34
Myanmar,2010,0.36
Myanmar,2015,0.39
Namibia,1870,0.04
Namibia,1880,0.04
Namibia,1890,0.06
Namibia,1900,0.07
Namibia,1913,0.08
Namibia,1925,0.08
Namibia,1929,0.09
Namibia,1933,0.08
Namibia,1938,0.08
Namibia,1950,0.12
Namibia,1955,0.13
Namibia,1960,0.14
Namibia,1965,0.19
Namibia,1970,0.22
Namibia,1975,0.25
Namibia,1980,0.31
Namibia,1985,0.33
Namibia,1990,0.35
Namibia,1995,0.36
Namibia,2000,0.34
Namibia,2005,0.35
Namibia,2007,0.35
Namibia,2010,0.38
Namibia,2015,0.41
Nepal,1870,0.02
Nepal,1913,0.02
Nepal,1950,0.04
Nepal,1955,0.05
Nepal,1960,0.08
Nepal,1965,0.09
Nepal,1970,0.10
Nepal,1975,0.12
Nepal,1980,0.13
Nepal,1985,0.16
Nepal,1990,0.19
Nepal,1995,0.22
Nepal,2000,0.24
Nepal,2005,0.27
Nepal,2007,0.30
Nepal,2010,0.31
Nepal,2015,0.34
Netherlands,1870,0.21
Netherlands,1880,0.23
Netherlands,1890,0.26
Netherlands,1900,0.29
Netherlands,1913,0.33
Netherlands,1925,0.37
Netherlands,1929,0.40
Netherlands,1933,0.40
Netherlands,1938,0.42
Netherlands,1950,0.48
Netherlands,1955,0.49
Netherlands,1960,0.51
Netherlands,1965,0.51
Netherlands,1970,0.54
Netherlands,1975,0.56
Netherlands,1980,0.59
Netherlands,1985,0.60
Netherlands,1990,0.64
Netherlands,1995,0.69
Netherlands,2000,0.76
Netherlands,2005,0.79
Netherlands,2007,0.81
Netherlands,2010,0.83
Netherlands,2015,0.86
New Zealand,1870,0.24
New Zealand,1880,0.29
New Zealand,1890,0.30
New Zealand,1900,0.33
New Zealand,1913,0.38
New Zealand,1925,0.41
New Zealand,1929,0.42
New Zealand,1933,0.41
New Zealand,1938,0.43
New Zealand,1950,0.49
New Zealand,1955,0.52
New Zealand,1960,0.53
New Zealand,1965,0.55
New Zealand,1970,0.54
New Zealand,1975,0.55
New Zealand,1980,0.56
New Zealand,1985,0.57
New Zealand,1990,0.59
New Zealand,1995,0.65
New Zealand,2000,0.73
New Zealand,2005,0.80
New Zealand,2007,0.81
New Zealand,2010,0.82
New Zealand,2015,0.86
Nicaragua,1913,0.07
Nicaragua,1925,0.08
Nicaragua,1929,0.09
Nicaragua,1933,0.10
Nicaragua,1938,0.11
Nicaragua,1950,0.15
Nicaragua,1955,0.17
Nicaragua,1960,0.19
Nicaragua,1965,0.22
Nicaragua,1970,0.23
Nicaragua,1975,0.25
Nicaragua,1980,0.26
Nicaragua,1985,0.27
Nicaragua,1990,0.28
Nicaragua,1995,0.30
Nicaragua,2000,0.35
Nicaragua,2005,0.38
Nicaragua,2007,0.39
Nicaragua,2010,0.39
Nicaragua,2015,0.42
Niger,1870,0.02
Niger,1880,0.02
Niger,1890,0.02
Niger,1900,0.02
Niger,1913,0.02
Niger,1925,0.02
Niger,1929,0.02
Niger,1933,0.03
Niger,1938,0.03
Niger,1950,0.03
Niger,1955,0.04
Niger,1960,0.04
Niger,1965,0.06
Niger,1970,0.07
Niger,1975,0.07
Niger,1980,0.08
Niger,1985,0.09
Niger,1990,0.09
Niger,1995,0.09
Niger,2000,0.11
Niger,2005,0.12
Niger,2007,0.14
Niger,2010,0.13
Niger,2015,0.17
Nigeria,1870,0.02
Nigeria,1880,0.02
Nigeria,1890,0.02
Nigeria,1900,0.02
Nigeria,1913,0.02
Nigeria,1925,0.04
Nigeria,1929,0.04
Nigeria,1933,0.05
Nigeria,1938,0.06
Nigeria,1950,0.08
Nigeria,1955,0.09
Nigeria,1960,0.10
Nigeria,1965,0.11
Nigeria,1970,0.12
Nigeria,1975,0.15
Nigeria,1980,0.16
Nigeria,1985,0.18
Nigeria,1990,0.19
Nigeria,1995,0.20
Nigeria,2000,0.21
Nigeria,2005,0.22
Nigeria,2007,0.23
Nigeria,2010,0.23
Nigeria,2015,0.26
Norway,1870,0.25
Norway,1880,0.26
Norway,1890,0.28
Norway,1900,0.30
Norway,1913,0.33
Norway,1925,0.36
Norway,1929,0.37
Norway,1933,0.38
Norway,1938,0.41
Norway,1950,0.46
Norway,1955,0.48
Norway,1960,0.50
Norway,1965,0.51
Norway,1970,0.55
Norway,1975,0.57
Norway,1980,0.59
Norway,1985,0.61
Norway,1990,0.62
Norway,1995,0.67
Norway,2000,0.73
Norway,2005,0.82
Norway,2007,0.84
Norway,2010,0.83
Norway,2015,0.84
Oman,1950,0.06
Oman,1955,0.08
Oman,1960,0.10
Oman,1965,0.12
Oman,1970,0.15
Oman,1975,0.19
Oman,1980,0.21
Oman,1985,0.27
Oman,1990,0.33
Oman,1995,0.38
Oman,2000,0.41
Oman,2005,0.44
Oman,2007,0.47
Oman,2010,0.49
Oman,2015,0.53
Pakistan,1950,0.09
Pakistan,1955,0.11
Pakistan,1960,0.11
Pakistan,1965,0.13
Pakistan,1970,0.15
Pakistan,1975,0.16
Pakistan,1980,0.18
Pakistan,1985,0.18
Pakistan,1990,0.21
Pakistan,1995,0.23
Pakistan,2000,0.24
Pakistan,2005,0.26
Pakistan,2007,0.28
Pakistan,2010,0.29
Pakistan,2015,0.29
Panama,1950,0.25
Panama,1955,0.27
Panama,1960,0.29
Panama,1965,0.32
Panama,1970,0.35
Panama,1975,0.39
Panama,1980,0.43
Panama,1985,0.43
Panama,1990,0.43
Panama,1995,0.45
Panama,2000,0.48
Panama,2005,0.51
Panama,2007,0.52
Panama,2010,0.54
Panama,2015,0.57
Paraguay,1950,0.26
Paraguay,1955,0.28
Paraguay,1960,0.29
Paraguay,1965,0.30
Paraguay,1970,0.31
